participant,time,condition,attitude,risk,age,will_learn
p075,Pre,control,3,0.13,32,-0.33
p075,Post,control,3,0.13,32,-0.33
p076,Pre,intervention,5,-1.8,36,-0.73
p076,Post,intervention,6,-1.8,36,-0.73
p077,Pre,control,5,0.25,38,-0.14
p077,Post,control,5,0.25,38,-0.14
p078,Pre,intervention,7,0.08,36,1.46
p078,Post,intervention,8,0.08,36,1.46
p079,Pre,control,3,-0.38,34,-0.34
p079,Post,control,3,-0.38,34,-0.34
p080,Pre,intervention,5,-1.01,34,0.19
p080,Post,intervention,7,-1.01,34,0.19
p081,Pre,control,4,0.27,34,-0.9
p081,Post,control,4,0.27,34,-0.9
p082,Pre,intervention,5,0.13,32,0.64
p082,Post,intervention,7,0.13,32,0.64
p083,Pre,control,2,-0.73,33,-1.42
p083,Post,control,3,-0.73,33,-1.42
p084,Pre,intervention,6,1.55,36,0.32
p084,Post,intervention,8,1.55,36,0.32
p085,Pre,control,6,-1.07,36,0.78
p085,Post,control,6,-1.07,36,0.78
p086,Pre,intervention,5,-0.93,35,0.63
p086,Post,intervention,7,-0.93,35,0.63
p087,Pre,control,4,1.15,37,0.74
p087,Post,control,4,1.15,37,0.74
p088,Pre,intervention,7,-0.03,36,1.3
p088,Post,intervention,8,-0.03,36,1.3
p089,Pre,control,4,-1,38,-0.52
p089,Post,control,4,-1,38,-0.52
p090,Pre,intervention,6,-0.44,36,0.03
p090,Post,intervention,7,-0.44,36,0.03
p091,Pre,control,4,-0.56,37,0.57
p091,Post,control,4,-0.56,37,0.57
p092,Pre,intervention,5,0.2,38,0.43
p092,Post,intervention,6,0.2,38,0.43
p093,Pre,control,7,1.12,39,1.03
p093,Post,control,7,1.12,39,1.03
p094,Pre,intervention,6,1.71,36,0.3
p094,Post,intervention,8,1.71,36,0.3
p095,Pre,control,3,-0.08,36,0.48
p095,Post,control,3,-0.08,36,0.48
p096,Pre,intervention,5,0.61,37,-1.09
p096,Post,intervention,6,0.61,37,-1.09
p097,Pre,control,3,-0.87,34,-0.01
p097,Post,control,4,-0.87,34,-0.01
p098,Pre,intervention,5,-0.69,36,-0.68
p098,Post,intervention,7,-0.69,36,-0.68
p099,Pre,control,5,0.28,35,0.82
p099,Post,control,5,0.28,35,0.82
p100,Pre,intervention,6,0.38,36,-0.41
p100,Post,intervention,7,0.38,36,-0.41
p101,Pre,control,2,0.91,34,-0.77
p101,Post,control,2,0.91,34,-0.77
p102,Pre,intervention,4,1.1,37,0.83
p102,Post,intervention,5,1.1,37,0.83
p103,Pre,control,2,-0.87,32,0.4
p103,Post,control,2,-0.87,32,0.4
p104,Pre,intervention,4,-0,36,0.56
p104,Post,intervention,5,-0,36,0.56
p105,Pre,control,2,0.18,33,0.9
p105,Post,control,2,0.18,33,0.9
p106,Pre,intervention,4,0.04,34,-0.69
p106,Post,intervention,6,0.04,34,-0.69
p107,Pre,control,6,0.4,36,0.63
p107,Post,control,7,0.4,36,0.63
p108,Pre,intervention,4,0.52,33,0.19
p108,Post,intervention,6,0.52,33,0.19
p109,Pre,control,3,0.08,38,-0.35
p109,Post,control,3,0.08,38,-0.35
p110,Pre,intervention,6,0.58,37,0.56
p110,Post,intervention,7,0.58,37,0.56
p111,Pre,control,4,-0.39,35,1.12
p111,Post,control,4,-0.39,35,1.12
p112,Pre,intervention,8,-0.15,37,0.81
p112,Post,intervention,9,-0.15,37,0.81
p113,Pre,control,4,-0.32,33,-0.18
p113,Post,control,4,-0.32,33,-0.18
p114,Pre,intervention,0,0.44,36,0.66
p114,Post,intervention,2,0.44,36,0.66
p115,Pre,control,2,-1.52,35,-1
p115,Post,control,3,-1.52,35,-1
p116,Pre,intervention,6,-0.13,35,-0.02
p116,Post,intervention,8,-0.13,35,-0.02
p117,Pre,control,2,-0.38,33,-0.08
p117,Post,control,3,-0.38,33,-0.08
p118,Pre,intervention,3,-0.04,36,-0.04
p118,Post,intervention,5,-0.04,36,-0.04
p119,Pre,control,3,-0.17,33,0.84
p119,Post,control,4,-0.17,33,0.84
p120,Pre,intervention,2,-0.51,35,0.84
p120,Post,intervention,4,-0.51,35,0.84
p121,Pre,control,5,0.7,34,0.5
p121,Post,control,5,0.7,34,0.5
p122,Pre,intervention,5,0.16,35,-0.75
p122,Post,intervention,7,0.16,35,-0.75
p123,Pre,control,3,0.04,36,0.18
p123,Post,control,3,0.04,36,0.18
p124,Pre,intervention,2,-0.33,36,-0.45
p124,Post,intervention,4,-0.33,36,-0.45
p125,Pre,control,4,0.59,36,0.4
p125,Post,control,4,0.59,36,0.4
p126,Pre,intervention,6,1,37,-0.45
p126,Post,intervention,7,1,37,-0.45
p127,Pre,control,4,1.5,37,-0.65
p127,Post,control,4,1.5,37,-0.65
p128,Pre,intervention,7,0.32,36,0.55
p128,Post,intervention,8,0.32,36,0.55
p129,Pre,control,6,-0.21,36,0.58
p129,Post,control,7,-0.21,36,0.58
p130,Pre,intervention,3,-1.21,34,-1.1
p130,Post,intervention,4,-1.21,34,-1.1
p131,Pre,control,5,-0.48,33,-1.39
p131,Post,control,5,-0.48,33,-1.39
p132,Pre,intervention,4,0.61,32,-0.06
p132,Post,intervention,6,0.61,32,-0.06
p133,Pre,control,5,-1.02,35,0.82
p133,Post,control,6,-1.02,35,0.82
p134,Pre,intervention,6,0.8,33,0.97
p134,Post,intervention,8,0.8,33,0.97
p135,Pre,control,3,-0.28,34,-0.13
p135,Post,control,4,-0.28,34,-0.13
p136,Pre,intervention,5,1.17,37,0.07
p136,Post,intervention,6,1.17,37,0.07
p137,Pre,control,5,-0.13,34,0.4
p137,Post,control,6,-0.13,34,0.4
p138,Pre,intervention,5,-0.62,34,-0.85
p138,Post,intervention,7,-0.62,34,-0.85
p139,Pre,control,1,-0.96,37,0.59
p139,Post,control,2,-0.96,37,0.59
p140,Pre,intervention,5,-0.36,33,0.12
p140,Post,intervention,6,-0.36,33,0.12
p141,Pre,control,5,1.12,35,-0.41
p141,Post,control,5,1.12,35,-0.41
p142,Pre,intervention,7,-0.34,39,-0.79
p142,Post,intervention,9,-0.34,39,-0.79
p143,Pre,control,4,-0.56,28,0.8
p143,Post,control,5,-0.56,28,0.8
p144,Pre,intervention,6,0.05,38,-0.47
p144,Post,intervention,7,0.05,38,-0.47
p145,Pre,control,3,0.83,36,0.19
p145,Post,control,3,0.83,36,0.19
p146,Pre,intervention,4,0.45,36,-0.09
p146,Post,intervention,5,0.45,36,-0.09
p147,Pre,control,4,-0.33,38,0.19
p147,Post,control,4,-0.33,38,0.19
p148,Pre,intervention,5,-0.21,36,0.37
p148,Post,intervention,7,-0.21,36,0.37
p149,Pre,control,3,0.07,33,-0.58
p149,Post,control,3,0.07,33,-0.58
p150,Pre,intervention,7,1.37,39,-1.25
p150,Post,intervention,8,1.37,39,-1.25
p151,Pre,control,1,-0.96,34,-1.24
p151,Post,control,2,-0.96,34,-1.24
p152,Pre,intervention,4,-0.89,33,0.25
p152,Post,intervention,5,-0.89,33,0.25
p153,Pre,control,6,0.29,35,0.5
p153,Post,control,6,0.29,35,0.5
p154,Pre,intervention,7,-0.84,36,0.25
p154,Post,intervention,8,-0.84,36,0.25
p155,Pre,control,5,-0.1,33,-1.02
p155,Post,control,5,-0.1,33,-1.02
p156,Pre,intervention,4,-1.06,35,-0.08
p156,Post,intervention,5,-1.06,35,-0.08
p157,Pre,control,4,0.86,35,-0.1
p157,Post,control,4,0.86,35,-0.1
p158,Pre,intervention,6,0.1,35,-0.93
p158,Post,intervention,7,0.1,35,-0.93
p159,Pre,control,7,0.05,32,0.19
p159,Post,control,7,0.05,32,0.19
p160,Pre,intervention,6,0.7,33,0.82
p160,Post,intervention,8,0.7,33,0.82
p161,Pre,control,4,-0.63,39,0.2
p161,Post,control,4,-0.63,39,0.2
p162,Pre,intervention,4,-0.76,36,-0.45
p162,Post,intervention,5,-0.76,36,-0.45
p163,Pre,control,6,-0.08,34,0.92
p163,Post,control,6,-0.08,34,0.92
p164,Pre,intervention,4,0.53,38,0.26
p164,Post,intervention,6,0.53,38,0.26
p165,Pre,control,2,-0.18,34,-0.64
p165,Post,control,2,-0.18,34,-0.64
p166,Pre,intervention,3,-0.16,38,0.65
p166,Post,intervention,5,-0.16,38,0.65
p167,Pre,control,5,0.38,36,-0.52
p167,Post,control,5,0.38,36,-0.52
p168,Pre,intervention,5,-0.32,35,0.37
p168,Post,intervention,7,-0.32,35,0.37
p169,Pre,control,5,0.87,33,-0.09
p169,Post,control,6,0.87,33,-0.09
p170,Pre,intervention,3,0.58,37,-0.51
p170,Post,intervention,4,0.58,37,-0.51
p171,Pre,control,6,-1.11,32,0.82
p171,Post,control,6,-1.11,32,0.82
p172,Pre,intervention,4,-0.2,37,-0.68
p172,Post,intervention,5,-0.2,37,-0.68
p173,Pre,control,5,-0.31,33,-0.61
p173,Post,control,5,-0.31,33,-0.61
p174,Pre,intervention,6,1.08,34,0.87
p174,Post,intervention,7,1.08,34,0.87
p175,Pre,control,3,-0.7,35,0.74
p175,Post,control,3,-0.7,35,0.74
p176,Pre,intervention,6,0.07,34,0.11
p176,Post,intervention,7,0.07,34,0.11
p177,Pre,control,2,0.12,38,0.17
p177,Post,control,3,0.12,38,0.17
p178,Pre,intervention,7,0.22,33,0
p178,Post,intervention,9,0.22,33,0
p179,Pre,control,5,0.39,38,0.66
p179,Post,control,5,0.39,38,0.66
p180,Pre,intervention,6,-0.97,35,0.38
p180,Post,intervention,7,-0.97,35,0.38
p181,Pre,control,3,0.35,35,0.32
p181,Post,control,3,0.35,35,0.32
p182,Pre,intervention,2,-1.15,37,-1.22
p182,Post,intervention,3,-1.15,37,-1.22
p183,Pre,control,3,-0.41,32,0.57
p183,Post,control,4,-0.41,32,0.57
p184,Pre,intervention,4,0.81,34,-0.55
p184,Post,intervention,5,0.81,34,-0.55
p185,Pre,control,2,-0.19,37,-0.35
p185,Post,control,2,-0.19,37,-0.35
p186,Pre,intervention,2,0.31,30,-0.11
p186,Post,intervention,4,0.31,30,-0.11
p187,Pre,control,3,0.32,35,-0.67
p187,Post,control,4,0.32,35,-0.67
p188,Pre,intervention,8,0.07,32,0.45
p188,Post,intervention,9,0.07,32,0.45
p189,Pre,control,4,0.18,37,-0.59
p189,Post,control,4,0.18,37,-0.59
p190,Pre,intervention,6,0.78,35,1.07
p190,Post,intervention,8,0.78,35,1.07
p191,Pre,control,5,0.59,31,0.27
p191,Post,control,5,0.59,31,0.27
p192,Pre,intervention,7,-0.89,33,0.43
p192,Post,intervention,8,-0.89,33,0.43
p193,Pre,control,1,0.12,40,-1.39
p193,Post,control,2,0.12,40,-1.39
p194,Pre,intervention,3,-0.86,35,-1.01
p194,Post,intervention,5,-0.86,35,-1.01
p195,Pre,control,3,-1.47,36,-0.99
p195,Post,control,3,-1.47,36,-0.99
p196,Pre,intervention,3,-0.88,32,-0.8
p196,Post,intervention,5,-0.88,32,-0.8
p197,Pre,control,5,-0.19,37,1.51
p197,Post,control,5,-0.19,37,1.51
p198,Pre,intervention,2,0.74,37,-0.58
p198,Post,intervention,3,0.74,37,-0.58
p199,Pre,control,4,-0.17,34,1.12
p199,Post,control,5,-0.17,34,1.12
p200,Pre,intervention,4,0.55,33,0.09
p200,Post,intervention,5,0.55,33,0.09
