PID,educ,neuro,O,C,E,A,N,acc_rate
ppt51,ND,Desc,0.557,-0.656,1.678,-2.371,-0.555,73
ppt52,UG,None,-0.573,0.568,0.465,0.238,0.844,22
ppt53,ND,Desc,1.359,0.894,-0.994,2.006,0.074,67
ppt54,PG,None,1.689,-1.619,-1.335,-0.216,0.743,46
ppt55,ND,Pic,-0.59,1.887,-0.247,0.266,-0.622,73
ppt56,PG,None,1.465,0.509,-1.519,-0.881,0.633,42
ppt57,PG,Pic,-0.425,0.143,1.169,0.164,-0.038,41
ppt58,UG,None,-0.911,-0.823,0.713,-1.469,-0.305,42
ppt59,ND,None,0.418,-0.306,0.9,-0.984,0.576,59
ppt60,UG,Desc,-0.057,-0.698,-0.999,0.474,0.296,55
ppt61,UG,None,-0.177,-0.811,0.705,0.344,-0.641,36
ppt62,ND,None,0.738,0.741,0.537,-1.709,-0.406,53
ppt63,UG,Desc,0.017,-0.251,0.959,0.409,-0.053,65
ppt64,ND,None,1.125,-0.581,1.55,0.184,-0.125,76
ppt65,UG,None,1.432,-0.923,1.83,0.349,-1.022,52
ppt66,ND,Desc,-0.112,-1.294,0.376,-0.398,-0.674,68
ppt67,ND,None,0.62,1.778,-0.607,0.205,0.184,70
ppt68,UG,Desc,-0.074,1.593,-1.339,0.058,-0.196,65
ppt69,UG,Pic,0.886,-0.025,-0.014,-0.706,-0.985,54
ppt70,UG,None,0.158,-0.069,-0.659,0.153,-0.584,47
ppt71,ND,None,0.487,-2.289,-0.7,0.797,1.262,52
ppt72,UG,Desc,-0.682,-0.715,0.071,-0.368,0.725,42
ppt73,ND,Desc,0.341,0.815,1.394,-0.795,-0.872,66
ppt74,PG,Desc,-2.889,-0.297,-1.665,0.278,1.342,45
ppt75,PG,Desc,0.197,0.348,0.141,1.656,-0.552,41
ppt76,PG,None,0.22,-0.753,1.744,0.513,-0.929,19
ppt77,ND,Desc,-1.044,0.17,-0.436,-1.699,-0.426,52
ppt78,PG,Desc,0.642,-1.973,0.817,-1.308,-0.406,49
ppt79,ND,Desc,1.433,0.482,-2.114,0.361,0.18,67
ppt80,ND,Pic,0.291,-1.409,-0.424,1.752,-1.222,73
ppt81,ND,None,-0.836,-0.852,0.513,0.668,0.393,60
ppt82,PG,Desc,1.52,2.447,-2.035,-1.252,-0.054,27
ppt83,PG,Desc,-1.186,-0.25,0.139,0.148,1.156,44
ppt84,UG,Pic,1.058,-1.532,-0.09,-0.958,-1.462,43
ppt85,PG,Pic,0.951,-1.192,-1.087,0.856,-2.036,47
ppt86,PG,Pic,1.72,1.642,-0.6,1.719,1.391,47
ppt87,ND,Desc,0.881,0.494,-0.761,-0.311,-0.501,75
ppt88,UG,Desc,0.307,-0.416,0.573,-0.934,1.265,57
ppt89,ND,Desc,0.57,-0.864,0.905,0.232,1.366,55
ppt90,PG,Pic,0.707,-2.529,-0.76,0.042,-0.351,35
ppt91,PG,Desc,-0.64,-1.183,0.929,-0.978,0.244,23
ppt92,PG,Desc,-0.341,0.111,-0.124,-0.23,-1.206,44
ppt93,PG,None,-1.231,0.962,0.489,-0.483,-0.427,40
ppt94,UG,Pic,1,-1.637,-2.442,1.458,0.119,62
ppt95,PG,None,-0.43,-1.004,0.502,-1.483,-0.857,40
ppt96,ND,None,-0.305,0.92,0.392,0.491,0.165,53
ppt97,PG,None,0.51,-0.028,1.772,2.036,0.408,41
ppt98,ND,None,-0.016,-0.668,-2.332,-1.27,1.697,50
ppt99,PG,Desc,1.097,1.159,-0.386,0.485,-1.339,46
ppt100,UG,None,1.682,1.764,-0.255,1.944,-0.779,62
ppt101,UG,None,0.384,-0.164,-0.324,0.036,2.074,51
ppt102,PG,Desc,-0.63,-0.886,-1.281,-0.79,-0.96,42
ppt103,PG,None,1.441,-0.706,0.925,0.811,0.307,48
ppt104,UG,Pic,0.45,1.435,0.931,-0.795,-0.296,58
ppt105,PG,Pic,-0.879,0.047,0.391,2.401,-1.346,49
ppt106,ND,Pic,0.028,1.364,0.542,-0.44,1.217,77
ppt107,ND,Desc,-0.367,-0.353,-0.816,-0.056,-1.199,70
ppt108,ND,Pic,-1.524,-0.193,1.764,-0.659,-0.187,76
ppt109,UG,Desc,0.713,-0.924,-0.322,2.169,0.907,50
ppt110,UG,Desc,-0.528,-0.296,-0.733,2.252,-0.291,54
ppt111,PG,Pic,-0.422,0.303,-0.426,-1.604,-1.113,32
ppt112,UG,Pic,-0.019,-0.71,-0.075,-0.02,0.734,44
ppt113,PG,None,-0.013,1.194,1.802,-1.097,1.477,33
ppt114,ND,Desc,0.398,1.308,-0.293,0.796,1.542,82
ppt115,ND,Desc,-1.377,1.654,0.848,-0.454,-1.403,69
ppt116,PG,Desc,-0.098,1.594,-0.981,0.881,-0.298,51
ppt117,UG,None,-0.651,0.164,-1.43,-1.134,1.218,37
ppt118,ND,None,-0.056,0.134,1.097,1.165,0.405,63
ppt119,UG,Pic,0.106,1.773,1.297,0.075,1.035,55
ppt120,UG,Desc,0.531,-0.603,-0.527,0.866,0.196,54
ppt121,ND,None,0.39,-0.408,-0.225,0.961,0.711,51
ppt122,PG,Pic,-2.403,-0.144,-0.011,-0.269,-1.164,36
ppt123,UG,Desc,-1.116,-0.508,-1.066,-0.134,0.529,60
ppt124,ND,Pic,2.402,-0.327,-0.341,1.772,0.686,87
ppt125,UG,None,-0.279,0.345,0.51,-0.189,-0.442,52
ppt126,UG,Desc,-0.464,-0.772,0.143,0.214,-0.055,60
ppt127,UG,None,-1.277,0.678,0.716,0.659,-0.33,50
ppt128,PG,Desc,1.803,-1.109,1.693,0.454,0.225,41
ppt129,UG,Pic,1.027,0.237,0.131,0.781,0.275,51
ppt130,PG,Pic,-0.256,0.374,-0.112,-0.627,-0.828,28
ppt131,PG,None,1.587,-0.11,1.283,-1.622,2.142,54
ppt132,ND,Desc,-0.165,1.044,-1.377,0.45,-0.1,58
ppt133,PG,Desc,-0.986,0.077,-0.34,0.47,-0.527,29
ppt134,ND,Desc,-0.707,1.069,0.879,-0.944,-1.259,67
ppt135,PG,None,2.498,-1.319,-1.346,-0.175,-0.108,51
ppt136,UG,None,-0.62,-0.389,-2.433,0.095,2.185,39
ppt137,UG,Desc,-0.1,-0.11,-1.772,0.796,0.698,60
ppt138,UG,Desc,1.343,0.616,0.976,0.915,1.923,45
ppt139,UG,None,-0.636,0.763,0.061,0.737,1.132,42
ppt140,PG,Pic,0.223,-0.967,-0.842,-1.01,-0.058,39
ppt141,UG,None,1.16,-0.636,-0.731,0.264,0.497,45
ppt142,ND,None,-1.989,-1.426,-0.587,-0.564,-0.248,61
ppt143,PG,Desc,0.421,-1.147,-0.846,0.774,-0.027,40
ppt144,UG,Desc,-0.324,0.865,2.19,-0.935,1.399,48
ppt145,ND,Desc,-1.129,-1.87,-1.037,-0.309,-1.398,59
ppt146,ND,Pic,-0.71,-1.063,0.333,0.635,-0.143,74
ppt147,PG,Desc,-1.606,-1.107,1.282,0.87,-1.074,42
ppt148,PG,None,-0.381,1.083,0.496,0.998,-0.111,46
ppt149,PG,None,0.984,-0.604,-0.779,-0.669,-0.926,52
ppt150,ND,Desc,-0.253,0.099,0.168,0.66,-0.44,65
ppt151,UG,Desc,-1.536,-0.376,-1.433,0.813,0.94,54
ppt152,UG,Pic,-1.487,0.57,0.461,-1.489,-1.083,51
ppt153,UG,Pic,-0.334,0.205,-0.328,0.464,-0.87,45
ppt154,ND,None,0.075,0.244,0.701,1.011,1.49,68
ppt155,PG,Pic,-0.284,0.079,0.995,-0.124,-0.556,42
ppt156,ND,None,-0.478,-0.051,-0.626,-1.043,-0.049,65
ppt157,ND,Pic,-0.569,1.474,-0.256,0.222,-0.709,67
ppt158,UG,Pic,-0.239,0.501,1.972,0.878,2.391,50
ppt159,ND,Pic,0.189,0.733,-1.137,0.186,-0.488,72
ppt160,ND,Desc,0.763,0.323,-1.165,0.354,-1.648,68
ppt161,ND,Desc,-0.135,0.679,-0.763,-0.119,-0.684,62
ppt162,UG,Pic,-0.144,-0.648,1.361,2.027,-0.256,52
ppt163,ND,Pic,0.074,0.803,-0.248,-0.867,-0.034,67
ppt164,UG,Pic,0.788,-1.366,-0.314,-0.815,0.607,53
ppt165,ND,None,0.944,0.945,0.812,2.349,1.064,53
ppt166,UG,Pic,-0.318,-0.065,-1.967,-2.514,0.401,55
ppt167,ND,None,1.595,2.649,0.019,-2.424,0.224,66
ppt168,PG,None,0.521,-1.454,-0.976,0.121,-0.415,54
ppt169,PG,Desc,-0.164,-0.357,-1.455,-0.326,1.114,42
ppt170,PG,Desc,0.002,2.285,0.62,-0.398,1.316,23
ppt171,PG,Desc,-0.005,-1.114,1.124,0.152,1.087,41
ppt172,PG,Pic,0.696,-0.048,-0.221,-1.41,-0.411,37
ppt173,PG,None,-0.732,1.246,-1.062,-0.871,1.7,37
ppt174,PG,Pic,0.375,0.681,-2.596,-0.814,-0.003,41
ppt175,PG,Desc,-0.045,0.515,-0.664,0.528,0.635,39
ppt176,ND,Pic,1.466,0.004,-0.223,0.916,-0.39,85
ppt177,PG,Pic,0.407,0.291,1.382,1.364,-0.826,41
ppt178,PG,Pic,1.146,-1.685,-1.029,-1.835,0.328,46
ppt179,PG,None,-0.331,0.441,0.691,-1.451,2.09,42
ppt180,ND,None,0.594,1.005,-0.511,-0.017,0.382,58
ppt181,UG,Pic,-0.621,-0.78,0.58,-2.19,0.482,59
ppt182,ND,Desc,0.388,1.971,0.806,3.056,0.335,66
ppt183,PG,Pic,0.573,1.18,-1.225,-1.834,0.76,43
ppt184,PG,Pic,0.857,-0.452,-0.012,0.255,0.847,30
ppt185,UG,None,-0.473,-1.363,0.559,-0.938,-0.139,41
ppt186,UG,None,0.717,0.129,0.848,-0.2,0.412,48
ppt187,PG,None,0.541,0.233,-0.812,-1.334,1.146,43
ppt188,ND,Desc,0.697,-0.454,1.585,-1.031,-0.719,69
ppt189,UG,Desc,-1.641,1.709,-1.041,-2.24,-0.073,39
ppt190,ND,None,0.919,-0.39,-1.215,-0.544,0.242,63
ppt191,ND,Desc,-0.689,-0.036,0.488,-0.325,1.245,66
ppt192,UG,Desc,-1.518,-0.391,-1.457,0.235,-0.339,49
ppt193,ND,Pic,1.178,0.38,1.785,1.394,0.105,93
ppt194,PG,None,-0.766,-2.098,0.864,-0.419,-0.509,53
ppt195,ND,Desc,-0.059,0.567,2.025,0.303,-0.466,61
ppt196,UG,Pic,-1.384,-0.641,0.655,0.739,-0.291,49
ppt197,UG,None,-0.32,-2.129,0.002,-1.007,0.016,37
ppt198,UG,None,-0.393,-0.057,-2.94,-0.925,-0.308,58
ppt199,PG,Desc,-1.733,-1.091,-0.011,-0.534,0.341,38
ppt200,ND,None,-0.82,1.13,-0.066,1.98,-0.623,58
ppt201,UG,Desc,-0.751,0.524,-0.429,0.169,0.39,51
ppt202,UG,None,1.208,1.314,-0.511,0.194,-0.501,22
ppt203,PG,Desc,-1.157,3.81,0.176,0.877,1.568,32
ppt204,UG,Pic,-0.255,0.892,-1.523,0.38,1.381,50
ppt205,UG,Pic,-0.035,-3.008,-2.412,0.129,-0.503,48
ppt206,ND,None,-0.626,-0.259,-0.418,0.353,0.772,46
ppt207,PG,Desc,-0.331,0.308,0.642,-0.232,-0.922,51
ppt208,UG,None,-0.543,-2.592,-1.228,-1.541,-0.376,44
ppt209,PG,None,-1.208,0.005,0.424,0.069,2.049,23
ppt210,ND,Desc,-0.054,-0.384,-0.468,-0.261,0.545,62
ppt211,ND,Pic,-0.039,-1.569,1.502,0.343,0.39,73
ppt212,PG,None,-1.467,-1.556,-0.078,1.049,-0.719,49
ppt213,PG,Pic,-2,0.231,-1.335,-0.251,-0.638,26
ppt214,UG,Pic,0.425,-2.033,-0.708,0.456,0.069,38
ppt215,ND,None,-0.621,1.324,-1.117,0.294,-0.338,48
ppt216,PG,Pic,1.034,-0.936,1.149,0.223,0.735,34
ppt217,ND,None,-0.156,0.766,-0.248,2.236,-0.994,71
ppt218,UG,Pic,1.869,-0.681,-0.305,-0.344,-1.652,60
ppt219,UG,Desc,-1.286,-1.43,1.556,-0.466,2.606,39
ppt220,PG,Pic,1.163,-0.404,0.891,0.802,0.347,30
ppt221,UG,Desc,-0.301,-0.367,-1.055,1.348,1.278,58
ppt222,PG,Pic,-1.189,1.282,0.997,-1.846,-0.796,28
ppt223,PG,None,-1.048,0.279,-0.451,-1.663,1.226,38
ppt224,PG,None,-1.016,0.628,-0.199,-1.912,0.624,34
ppt225,PG,None,0.667,0.364,1.034,-0.591,0.182,57
ppt226,PG,Desc,-1.37,-0.362,0.667,0.763,1.186,44
ppt227,UG,None,-1.225,-0.573,-0.974,0.715,-0.981,45
ppt228,PG,None,-0.926,0.536,-0.355,-0.697,1.616,48
ppt229,UG,Desc,-0.18,0.307,-0.971,-2.402,-2.106,42
ppt230,UG,Pic,2.308,-0.434,1.568,0.464,0.065,41
ppt231,PG,None,-0.159,0.056,0.071,-0.313,-0.006,38
ppt232,UG,Desc,-0.038,0.045,0.688,-1.355,-0.207,49
ppt233,ND,Pic,1.063,-1.174,0.715,-0.931,0.763,91
ppt234,ND,Pic,-0.934,-0.289,-1.399,0.183,-1.159,87
ppt235,ND,Desc,-0.415,1.512,0.987,0.158,0.677,67
ppt236,PG,Desc,-0.309,-0.167,2.021,-1.01,-0.668,56
ppt237,UG,Desc,-0.652,1.442,0.211,-0.494,0.776,43
ppt238,ND,Desc,0.365,-0.484,-0.145,-0.766,-0.215,60
ppt239,UG,Desc,-1.914,-0.388,1.078,1.194,-0.517,52
ppt240,PG,None,0.402,2.165,0.936,1.112,0.697,43
ppt241,UG,None,0.7,-0.43,0.02,-1.119,1.521,49
ppt242,UG,None,1.587,-0.169,-1.573,0.651,0.988,38
ppt243,UG,None,0.494,-1.905,-1.085,0.934,-1.638,45
ppt244,ND,Pic,-1.254,-2.265,2.676,1.104,-0.238,81
ppt245,PG,None,0.409,-0.813,-2.245,-0.541,-1.576,40
ppt246,ND,Pic,0.476,0.74,0.164,-0.941,-1.874,80
ppt247,UG,None,0.042,0.278,-0.34,-0.463,-0.013,45
ppt248,UG,Pic,2.206,-0.198,-1.344,-0.961,-0.365,53
ppt249,ND,Pic,-0.743,-0.334,-0.137,-0.505,0.795,67
ppt250,ND,None,1.512,0.398,0.497,-0.174,1.782,55
ppt251,UG,Pic,2.075,-0.424,1.66,-0.04,-0.01,54
ppt252,UG,Desc,-1.665,1.125,0.217,0.525,0.162,46
ppt253,PG,Pic,-0.248,0.208,0.823,-0.774,-0.595,40
ppt254,PG,Pic,-0.07,-0.885,0.168,1.132,-0.238,33
ppt255,PG,Desc,-0.06,0.992,-0.063,1.92,-0.016,48
ppt256,PG,None,0.412,1.48,1.195,-1.247,0.061,47
ppt257,PG,None,0.83,0.595,-0.984,0.211,-0.978,33
ppt258,ND,Pic,-1.805,0.947,-1.497,0.176,-0.904,69
ppt259,ND,Desc,0.769,-0.121,0.469,-0.954,-2.472,75
ppt260,PG,Pic,1.02,1.19,-0.789,-0.394,-0.854,40
ppt261,ND,None,0.782,0.376,-0.023,1.8,-1.133,61
ppt262,ND,None,0.576,-1.316,-2.202,-1.664,0.667,61
ppt263,UG,None,-0.207,1.155,0.254,0.421,-1.8,38
ppt264,PG,Pic,-0.166,-0.366,0.676,1.711,-1.788,19
ppt265,ND,None,0.184,0.394,0.355,0.727,-0.141,67
ppt266,ND,Desc,-0.394,0.083,0.576,0.933,-0.79,63
ppt267,UG,None,0.91,-0.146,-1.85,0.689,-0.261,59
ppt268,UG,Pic,-0.077,0.853,-1.224,0.749,1.315,43
ppt269,ND,Desc,1.1,-1.025,-1.962,-1.956,-0.105,80
ppt270,ND,Pic,0.333,0.596,-1.101,-0.013,-1.276,73
