purch_rating,price,ppt,condition
53,30,ppt_10,item_only
33,35,ppt_10,item_only
45,40,ppt_10,item_only
58,45,ppt_10,item_only
56,50,ppt_10,item_only
64,55,ppt_10,item_only
56,60,ppt_10,item_only
66,65,ppt_10,item_only
50,70,ppt_10,item_only
69,75,ppt_10,item_only
64,80,ppt_10,item_only
64,85,ppt_10,item_only
66,90,ppt_10,item_only
59,95,ppt_10,item_only
37,100,ppt_10,item_only
55,5,ppt_11,item_only
31,10,ppt_11,item_only
47,15,ppt_11,item_only
45,20,ppt_11,item_only
44,25,ppt_11,item_only
66,30,ppt_11,item_only
45,35,ppt_11,item_only
56,40,ppt_11,item_only
74,45,ppt_11,item_only
63,50,ppt_11,item_only
67,55,ppt_11,item_only
48,60,ppt_11,item_only
55,65,ppt_11,item_only
72,70,ppt_11,item_only
39,75,ppt_11,item_only
47,80,ppt_11,item_only
72,85,ppt_11,item_only
52,90,ppt_11,item_only
58,95,ppt_11,item_only
72,100,ppt_11,item_only
37,5,ppt_12,item_only
26,10,ppt_12,item_only
44,15,ppt_12,item_only
58,20,ppt_12,item_only
48,25,ppt_12,item_only
39,30,ppt_12,item_only
55,35,ppt_12,item_only
37,40,ppt_12,item_only
19,45,ppt_12,item_only
32,50,ppt_12,item_only
47,55,ppt_12,item_only
52,60,ppt_12,item_only
61,65,ppt_12,item_only
31,70,ppt_12,item_only
55,75,ppt_12,item_only
63,80,ppt_12,item_only
63,85,ppt_12,item_only
52,90,ppt_12,item_only
48,95,ppt_12,item_only
72,100,ppt_12,item_only
38,5,ppt_13,item_only
28,10,ppt_13,item_only
34,15,ppt_13,item_only
47,20,ppt_13,item_only
40,25,ppt_13,item_only
63,30,ppt_13,item_only
63,35,ppt_13,item_only
40,40,ppt_13,item_only
32,45,ppt_13,item_only
53,50,ppt_13,item_only
71,55,ppt_13,item_only
57,60,ppt_13,item_only
61,65,ppt_13,item_only
51,70,ppt_13,item_only
44,75,ppt_13,item_only
80,80,ppt_13,item_only
75,85,ppt_13,item_only
62,90,ppt_13,item_only
80,95,ppt_13,item_only
85,100,ppt_13,item_only
49,5,ppt_14,item_only
52,10,ppt_14,item_only
40,15,ppt_14,item_only
35,20,ppt_14,item_only
53,25,ppt_14,item_only
41,30,ppt_14,item_only
32,35,ppt_14,item_only
53,40,ppt_14,item_only
30,45,ppt_14,item_only
32,50,ppt_14,item_only
61,55,ppt_14,item_only
31,60,ppt_14,item_only
52,65,ppt_14,item_only
54,70,ppt_14,item_only
52,75,ppt_14,item_only
43,80,ppt_14,item_only
56,85,ppt_14,item_only
41,90,ppt_14,item_only
65,95,ppt_14,item_only
78,100,ppt_14,item_only
60,5,ppt_15,item_only
54,10,ppt_15,item_only
57,15,ppt_15,item_only
76,20,ppt_15,item_only
54,25,ppt_15,item_only
75,30,ppt_15,item_only
80,35,ppt_15,item_only
68,40,ppt_15,item_only
66,45,ppt_15,item_only
62,50,ppt_15,item_only
78,55,ppt_15,item_only
61,60,ppt_15,item_only
60,65,ppt_15,item_only
74,70,ppt_15,item_only
46,75,ppt_15,item_only
86,80,ppt_15,item_only
74,85,ppt_15,item_only
74,90,ppt_15,item_only
52,95,ppt_15,item_only
65,100,ppt_15,item_only
14,5,ppt_16,model
34,10,ppt_16,model
46,15,ppt_16,model
38,20,ppt_16,model
53,25,ppt_16,model
31,30,ppt_16,model
45,35,ppt_16,model
69,40,ppt_16,model
62,45,ppt_16,model
55,50,ppt_16,model
52,55,ppt_16,model
66,60,ppt_16,model
93,65,ppt_16,model
62,70,ppt_16,model
64,75,ppt_16,model
99,80,ppt_16,model
75,85,ppt_16,model
57,90,ppt_16,model
82,95,ppt_16,model
64,100,ppt_16,model
39,5,ppt_17,model
57,10,ppt_17,model
56,15,ppt_17,model
45,20,ppt_17,model
40,25,ppt_17,model
56,30,ppt_17,model
73,35,ppt_17,model
55,40,ppt_17,model
50,45,ppt_17,model
49,50,ppt_17,model
58,55,ppt_17,model
83,60,ppt_17,model
44,65,ppt_17,model
73,70,ppt_17,model
59,75,ppt_17,model
83,80,ppt_17,model
66,85,ppt_17,model
60,90,ppt_17,model
68,95,ppt_17,model
77,100,ppt_17,model
25,5,ppt_18,model
39,10,ppt_18,model
19,15,ppt_18,model
48,20,ppt_18,model
69,25,ppt_18,model
40,30,ppt_18,model
37,35,ppt_18,model
41,40,ppt_18,model
72,45,ppt_18,model
75,50,ppt_18,model
42,55,ppt_18,model
73,60,ppt_18,model
58,65,ppt_18,model
78,70,ppt_18,model
80,75,ppt_18,model
76,80,ppt_18,model
84,85,ppt_18,model
85,90,ppt_18,model
82,95,ppt_18,model
91,100,ppt_18,model
49,5,ppt_19,model
54,10,ppt_19,model
49,15,ppt_19,model
32,20,ppt_19,model
43,25,ppt_19,model
48,30,ppt_19,model
24,35,ppt_19,model
42,40,ppt_19,model
51,45,ppt_19,model
53,50,ppt_19,model
40,55,ppt_19,model
56,60,ppt_19,model
54,65,ppt_19,model
42,70,ppt_19,model
62,75,ppt_19,model
62,80,ppt_19,model
66,85,ppt_19,model
42,90,ppt_19,model
67,95,ppt_19,model
56,100,ppt_19,model
38,5,ppt_20,model
22,10,ppt_20,model
49,15,ppt_20,model
41,20,ppt_20,model
35,25,ppt_20,model
51,30,ppt_20,model
36,35,ppt_20,model
35,40,ppt_20,model
44,45,ppt_20,model
53,50,ppt_20,model
60,55,ppt_20,model
46,60,ppt_20,model
62,65,ppt_20,model
66,70,ppt_20,model
61,75,ppt_20,model
79,80,ppt_20,model
75,85,ppt_20,model
68,90,ppt_20,model
74,95,ppt_20,model
66,100,ppt_20,model
50,5,ppt_21,model
41,10,ppt_21,model
52,15,ppt_21,model
48,20,ppt_21,model
68,25,ppt_21,model
45,30,ppt_21,model
43,35,ppt_21,model
53,40,ppt_21,model
47,45,ppt_21,model
46,50,ppt_21,model
65,55,ppt_21,model
84,60,ppt_21,model
64,65,ppt_21,model
73,70,ppt_21,model
69,75,ppt_21,model
85,80,ppt_21,model
74,85,ppt_21,model
71,90,ppt_21,model
89,95,ppt_21,model
70,100,ppt_21,model
67,5,ppt_22,model
53,10,ppt_22,model
44,15,ppt_22,model
58,20,ppt_22,model
54,25,ppt_22,model
59,30,ppt_22,model
71,35,ppt_22,model
41,40,ppt_22,model
60,45,ppt_22,model
94,50,ppt_22,model
74,55,ppt_22,model
69,60,ppt_22,model
95,65,ppt_22,model
79,70,ppt_22,model
79,75,ppt_22,model
82,80,ppt_22,model
67,85,ppt_22,model
63,90,ppt_22,model
68,95,ppt_22,model
83,100,ppt_22,model
45,5,ppt_23,model
22,10,ppt_23,model
17,15,ppt_23,model
45,20,ppt_23,model
53,25,ppt_23,model
50,30,ppt_23,model
55,35,ppt_23,model
56,40,ppt_23,model
43,45,ppt_23,model
53,50,ppt_23,model
50,55,ppt_23,model
41,60,ppt_23,model
51,65,ppt_23,model
71,70,ppt_23,model
39,75,ppt_23,model
60,80,ppt_23,model
85,85,ppt_23,model
51,90,ppt_23,model
72,95,ppt_23,model
62,100,ppt_23,model
22,5,ppt_24,model
41,10,ppt_24,model
26,15,ppt_24,model
34,20,ppt_24,model
28,25,ppt_24,model
34,30,ppt_24,model
59,35,ppt_24,model
62,40,ppt_24,model
66,45,ppt_24,model
74,50,ppt_24,model
78,55,ppt_24,model
68,60,ppt_24,model
48,65,ppt_24,model
53,70,ppt_24,model
59,75,ppt_24,model
78,80,ppt_24,model
66,85,ppt_24,model
83,90,ppt_24,model
58,95,ppt_24,model
62,100,ppt_24,model
30,5,ppt_25,model
41,10,ppt_25,model
43,15,ppt_25,model
48,20,ppt_25,model
62,25,ppt_25,model
30,30,ppt_25,model
53,35,ppt_25,model
56,40,ppt_25,model
63,45,ppt_25,model
58,50,ppt_25,model
72,55,ppt_25,model
56,60,ppt_25,model
55,65,ppt_25,model
70,70,ppt_25,model
66,75,ppt_25,model
83,80,ppt_25,model
84,85,ppt_25,model
87,90,ppt_25,model
70,95,ppt_25,model
82,100,ppt_25,model
42,5,ppt_26,model
62,10,ppt_26,model
48,15,ppt_26,model
48,20,ppt_26,model
57,25,ppt_26,model
67,30,ppt_26,model
67,35,ppt_26,model
66,40,ppt_26,model
58,45,ppt_26,model
62,50,ppt_26,model
65,55,ppt_26,model
72,60,ppt_26,model
70,65,ppt_26,model
52,70,ppt_26,model
86,75,ppt_26,model
75,80,ppt_26,model
74,85,ppt_26,model
74,90,ppt_26,model
85,95,ppt_26,model
69,100,ppt_26,model
67,5,ppt_27,model
57,10,ppt_27,model
37,15,ppt_27,model
38,20,ppt_27,model
28,25,ppt_27,model
54,30,ppt_27,model
43,35,ppt_27,model
50,40,ppt_27,model
85,45,ppt_27,model
68,50,ppt_27,model
85,55,ppt_27,model
79,60,ppt_27,model
86,65,ppt_27,model
78,70,ppt_27,model
49,75,ppt_27,model
78,80,ppt_27,model
42,85,ppt_27,model
62,90,ppt_27,model
73,95,ppt_27,model
75,100,ppt_27,model
36,5,ppt_28,model
54,10,ppt_28,model
40,15,ppt_28,model
50,20,ppt_28,model
23,25,ppt_28,model
50,30,ppt_28,model
56,35,ppt_28,model
59,40,ppt_28,model
38,45,ppt_28,model
45,50,ppt_28,model
48,55,ppt_28,model
32,60,ppt_28,model
67,65,ppt_28,model
66,70,ppt_28,model
73,75,ppt_28,model
70,80,ppt_28,model
86,85,ppt_28,model
69,90,ppt_28,model
67,95,ppt_28,model
60,100,ppt_28,model
80,5,ppt_29,model
20,10,ppt_29,model
38,15,ppt_29,model
35,20,ppt_29,model
39,25,ppt_29,model
45,30,ppt_29,model
67,35,ppt_29,model
58,40,ppt_29,model
66,45,ppt_29,model
50,50,ppt_29,model
52,55,ppt_29,model
52,60,ppt_29,model
47,65,ppt_29,model
75,70,ppt_29,model
65,75,ppt_29,model
54,80,ppt_29,model
75,85,ppt_29,model
94,90,ppt_29,model
65,95,ppt_29,model
79,100,ppt_29,model
60,5,ppt_30,model
42,10,ppt_30,model
61,15,ppt_30,model
51,20,ppt_30,model
61,25,ppt_30,model
46,30,ppt_30,model
51,35,ppt_30,model
75,40,ppt_30,model
72,45,ppt_30,model
54,50,ppt_30,model
40,55,ppt_30,model
74,60,ppt_30,model
73,65,ppt_30,model
72,70,ppt_30,model
78,75,ppt_30,model
77,80,ppt_30,model
68,85,ppt_30,model
74,90,ppt_30,model
49,95,ppt_30,model
55,100,ppt_30,model
