ppt,trial_n,sentence,condition,belief,statement
ppt_14,trial_12,7,fluent,50.88528673109588,Mickey Mouse was originally called Mortimer
ppt_14,trial_13,8,fluent,45.20278254528384,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_14,trial_14,2,fluent,46.31032000159092,The first speeding fine was given in 1896
ppt_14,trial_15,15,disfluent,56.87490004479292,Pigs don't sweat
ppt_14,trial_16,12,disfluent,47.569018969528734,A hashtag is technically called an octothorp
ppt_14,trial_17,10,fluent,50.64417835589748,You can draw a line 35 miles long using one pencil
ppt_14,trial_18,18,disfluent,41.31359503015194,Rabbits can't be sick
ppt_14,trial_19,19,disfluent,45.10594713730208,The dot over a lowercase i and j is called a tittle
ppt_14,trial_20,5,fluent,48.104908659544606,The largest snowflake was bigger than most pizzas
ppt_15,trial_01,19,fluent,45.779167686716654,The dot over a lowercase i and j is called a tittle
ppt_15,trial_02,18,fluent,53.577433090108194,Rabbits can't be sick
ppt_15,trial_03,16,fluent,62.47209736256818,The Eiffel Tower grows 6 inches in summer
ppt_15,trial_04,8,disfluent,42.93432159374794,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_15,trial_05,11,fluent,52.4902691908271,The Sahara desert is only 25% sand
ppt_15,trial_06,10,disfluent,42.41082679202292,You can draw a line 35 miles long using one pencil
ppt_15,trial_07,20,fluent,55.79523839128657,The square root of 16 is 4
ppt_15,trial_08,14,fluent,52.98307209671072,Sloths don't fart
ppt_15,trial_09,7,disfluent,46.31143664931504,Mickey Mouse was originally called Mortimer
ppt_15,trial_10,12,fluent,42.220422155361554,A hashtag is technically called an octothorp
ppt_15,trial_11,17,fluent,53.753444492240476,Flamingos are pink because of their diet
ppt_15,trial_12,6,disfluent,50.09283522938082,Water makes different sounds depending on its temperature
ppt_15,trial_13,5,disfluent,52.07449941741218,The largest snowflake was bigger than most pizzas
ppt_15,trial_14,9,disfluent,51.15563153689338,It's impossible to hum while holding your nose
ppt_15,trial_15,3,disfluent,48.276940850555384,Honey doesn't go off
ppt_15,trial_16,13,fluent,56.008310492820605,It would take 19 minutes to fall to the center of the earth
ppt_15,trial_17,4,disfluent,52.24021788266137,A dog was voted mayor of a town in Minnesot 4 times
ppt_15,trial_18,1,disfluent,47.22301992699738,Candy floss was invented by a dentist
ppt_15,trial_19,15,fluent,43.67281445171384,Pigs don't sweat
ppt_15,trial_20,2,disfluent,38.00664727931618,The first speeding fine was given in 1896
ppt_16,trial_01,8,fluent,53.57912141412542,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_16,trial_02,4,fluent,54.95045990392248,A dog was voted mayor of a town in Minnesot 4 times
ppt_16,trial_03,18,disfluent,45.292524183029386,Rabbits can't be sick
ppt_16,trial_04,19,disfluent,41.92589405426744,The dot over a lowercase i and j is called a tittle
ppt_16,trial_05,13,disfluent,43.08984285648218,It would take 19 minutes to fall to the center of the earth
ppt_16,trial_06,5,fluent,47.288057025938265,The largest snowflake was bigger than most pizzas
ppt_16,trial_07,16,disfluent,48.210910472588935,The Eiffel Tower grows 6 inches in summer
ppt_16,trial_08,20,disfluent,50.417392187960004,The square root of 16 is 4
ppt_16,trial_09,6,fluent,49.842192955536035,Water makes different sounds depending on its temperature
ppt_16,trial_10,11,disfluent,38.17994106585291,The Sahara desert is only 25% sand
ppt_16,trial_11,9,fluent,48.550963744342056,It's impossible to hum while holding your nose
ppt_16,trial_12,10,fluent,39.07280190266583,You can draw a line 35 miles long using one pencil
ppt_16,trial_13,12,disfluent,46.56408035956033,A hashtag is technically called an octothorp
ppt_16,trial_14,14,disfluent,42.358252406579886,Sloths don't fart
ppt_16,trial_15,3,fluent,50.88341671905528,Honey doesn't go off
ppt_16,trial_16,2,fluent,49.088640628860034,The first speeding fine was given in 1896
ppt_16,trial_17,1,fluent,47.28632836804174,Candy floss was invented by a dentist
ppt_16,trial_18,17,disfluent,44.624946799698975,Flamingos are pink because of their diet
ppt_16,trial_19,7,fluent,38.78917559894174,Mickey Mouse was originally called Mortimer
ppt_16,trial_20,15,disfluent,49.93623281289775,Pigs don't sweat
ppt_17,trial_01,5,disfluent,39.91419145137447,The largest snowflake was bigger than most pizzas
ppt_17,trial_02,10,disfluent,39.418242139300986,You can draw a line 35 miles long using one pencil
ppt_17,trial_03,8,disfluent,50.6508551171798,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_17,trial_04,3,disfluent,53.16000491678063,Honey doesn't go off
ppt_17,trial_05,19,fluent,44.11086543075376,The dot over a lowercase i and j is called a tittle
ppt_17,trial_06,1,disfluent,42.98541238330737,Candy floss was invented by a dentist
ppt_17,trial_07,11,fluent,48.890964187661055,The Sahara desert is only 25% sand
ppt_17,trial_08,4,disfluent,43.14441774629404,A dog was voted mayor of a town in Minnesot 4 times
ppt_17,trial_09,13,fluent,54.48028414312738,It would take 19 minutes to fall to the center of the earth
ppt_17,trial_10,12,fluent,52.72813684565293,A hashtag is technically called an octothorp
ppt_17,trial_11,7,disfluent,42.548755601184375,Mickey Mouse was originally called Mortimer
ppt_17,trial_12,16,fluent,54.7095608122923,The Eiffel Tower grows 6 inches in summer
ppt_17,trial_13,17,fluent,58.47330692742115,Flamingos are pink because of their diet
ppt_17,trial_14,2,disfluent,44.489507742480406,The first speeding fine was given in 1896
ppt_17,trial_15,14,fluent,50.074640994360536,Sloths don't fart
ppt_17,trial_16,15,fluent,41.795758048020645,Pigs don't sweat
ppt_17,trial_17,20,fluent,55.15191887017139,The square root of 16 is 4
ppt_17,trial_18,18,fluent,43.717805393503454,Rabbits can't be sick
ppt_17,trial_19,6,disfluent,46.726426250402824,Water makes different sounds depending on its temperature
ppt_17,trial_20,9,disfluent,53.862505006704495,It's impossible to hum while holding your nose
ppt_18,trial_01,3,fluent,55.75094712871624,Honey doesn't go off
ppt_18,trial_02,19,disfluent,42.31302046507997,The dot over a lowercase i and j is called a tittle
ppt_18,trial_03,2,fluent,41.4304900798991,The first speeding fine was given in 1896
ppt_18,trial_04,1,fluent,38.75979819286469,Candy floss was invented by a dentist
ppt_18,trial_05,17,disfluent,51.790315569750305,Flamingos are pink because of their diet
ppt_18,trial_06,8,fluent,48.098150818730126,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_18,trial_07,6,fluent,49.299138410271766,Water makes different sounds depending on its temperature
ppt_18,trial_08,12,disfluent,52.403466339433315,A hashtag is technically called an octothorp
ppt_18,trial_09,11,disfluent,48.07845799577736,The Sahara desert is only 25% sand
ppt_18,trial_10,7,fluent,66.18295334359883,Mickey Mouse was originally called Mortimer
ppt_18,trial_11,15,disfluent,47.178490158173304,Pigs don't sweat
ppt_18,trial_12,5,fluent,58.279312880827646,The largest snowflake was bigger than most pizzas
ppt_18,trial_13,10,fluent,48.150403637871726,You can draw a line 35 miles long using one pencil
ppt_18,trial_14,16,disfluent,48.315633471079806,The Eiffel Tower grows 6 inches in summer
ppt_18,trial_15,20,disfluent,60.55391130033306,The square root of 16 is 4
ppt_18,trial_16,13,disfluent,48.71381919738478,It would take 19 minutes to fall to the center of the earth
ppt_18,trial_17,14,disfluent,40.250322445336394,Sloths don't fart
ppt_18,trial_18,9,fluent,42.58161521354568,It's impossible to hum while holding your nose
ppt_18,trial_19,18,disfluent,40.81480527794837,Rabbits can't be sick
ppt_18,trial_20,4,fluent,59.97526837734108,A dog was voted mayor of a town in Minnesot 4 times
ppt_19,trial_01,14,fluent,50.097715837088856,Sloths don't fart
ppt_19,trial_02,2,disfluent,47.33020709793306,The first speeding fine was given in 1896
ppt_19,trial_03,6,disfluent,53.81844871737695,Water makes different sounds depending on its temperature
ppt_19,trial_04,16,fluent,49.37204405570727,The Eiffel Tower grows 6 inches in summer
ppt_19,trial_05,5,disfluent,35.90939996056586,The largest snowflake was bigger than most pizzas
ppt_19,trial_06,15,fluent,42.23014193318136,Pigs don't sweat
ppt_19,trial_07,11,fluent,62.2911133875247,The Sahara desert is only 25% sand
ppt_19,trial_08,10,disfluent,47.62697043313943,You can draw a line 35 miles long using one pencil
ppt_19,trial_09,13,fluent,42.919686652959044,It would take 19 minutes to fall to the center of the earth
ppt_19,trial_10,1,disfluent,49.57554097668932,Candy floss was invented by a dentist
ppt_19,trial_11,18,fluent,58.78547246717161,Rabbits can't be sick
ppt_19,trial_12,4,disfluent,42.70201934508185,A dog was voted mayor of a town in Minnesot 4 times
ppt_19,trial_13,17,fluent,41.429684053556294,Flamingos are pink because of their diet
ppt_19,trial_14,3,disfluent,46.96560203776481,Honey doesn't go off
ppt_19,trial_15,19,fluent,41.868316483517724,The dot over a lowercase i and j is called a tittle
ppt_19,trial_16,12,fluent,46.19926531035013,A hashtag is technically called an octothorp
ppt_19,trial_17,8,disfluent,55.564123364267445,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_19,trial_18,7,disfluent,47.69559203710791,Mickey Mouse was originally called Mortimer
ppt_19,trial_19,20,fluent,51.90677092508368,The square root of 16 is 4
ppt_19,trial_20,9,disfluent,40.77138299828781,It's impossible to hum while holding your nose
ppt_2,trial_01,5,fluent,51.654246455272556,The largest snowflake was bigger than most pizzas
ppt_2,trial_02,9,fluent,43.76030091476686,It's impossible to hum while holding your nose
ppt_2,trial_03,7,fluent,41.54089064320783,Mickey Mouse was originally called Mortimer
ppt_2,trial_04,20,disfluent,62.85928182712071,The square root of 16 is 4
ppt_2,trial_05,10,fluent,42.25841474750932,You can draw a line 35 miles long using one pencil
ppt_2,trial_06,6,fluent,54.83545307211166,Water makes different sounds depending on its temperature
ppt_2,trial_07,18,disfluent,50.221221402192,Rabbits can't be sick
ppt_2,trial_08,2,fluent,49.36844264291779,The first speeding fine was given in 1896
ppt_2,trial_09,15,disfluent,45.418881967114054,Pigs don't sweat
ppt_2,trial_10,4,fluent,50.969706610282266,A dog was voted mayor of a town in Minnesot 4 times
ppt_2,trial_11,14,disfluent,48.844670467721194,Sloths don't fart
ppt_2,trial_12,1,fluent,50.36259358402098,Candy floss was invented by a dentist
ppt_2,trial_13,3,fluent,44.54536373923061,Honey doesn't go off
ppt_2,trial_14,16,disfluent,45.76935103582036,The Eiffel Tower grows 6 inches in summer
ppt_2,trial_15,11,disfluent,53.58259926000133,The Sahara desert is only 25% sand
ppt_2,trial_16,12,disfluent,35.397183667947374,A hashtag is technically called an octothorp
ppt_2,trial_17,13,disfluent,46.4271858774628,It would take 19 minutes to fall to the center of the earth
ppt_2,trial_18,8,fluent,48.26012992906527,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_2,trial_19,17,disfluent,45.27307356165277,Flamingos are pink because of their diet
ppt_2,trial_20,19,disfluent,43.04747887332953,The dot over a lowercase i and j is called a tittle
ppt_20,trial_01,18,disfluent,44.986453384312554,Rabbits can't be sick
ppt_20,trial_02,7,fluent,45.473963299858816,Mickey Mouse was originally called Mortimer
ppt_20,trial_03,14,disfluent,40.57317426446553,Sloths don't fart
ppt_20,trial_04,13,disfluent,39.49705085930408,It would take 19 minutes to fall to the center of the earth
ppt_20,trial_05,5,fluent,46.837719420491595,The largest snowflake was bigger than most pizzas
ppt_20,trial_06,8,fluent,51.47923082959733,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_20,trial_07,1,fluent,46.587758485401864,Candy floss was invented by a dentist
ppt_20,trial_08,17,disfluent,55.330496397260454,Flamingos are pink because of their diet
ppt_20,trial_09,15,disfluent,48.31525240141052,Pigs don't sweat
ppt_20,trial_10,10,fluent,48.08615679103506,You can draw a line 35 miles long using one pencil
ppt_20,trial_11,3,fluent,49.49566553637354,Honey doesn't go off
ppt_20,trial_12,4,fluent,42.44115096603133,A dog was voted mayor of a town in Minnesot 4 times
ppt_20,trial_13,9,fluent,36.72001088283433,It's impossible to hum while holding your nose
ppt_20,trial_14,2,fluent,55.05779940653529,The first speeding fine was given in 1896
ppt_20,trial_15,16,disfluent,47.58565752742962,The Eiffel Tower grows 6 inches in summer
ppt_20,trial_16,19,disfluent,48.71159846093576,The dot over a lowercase i and j is called a tittle
ppt_20,trial_17,12,disfluent,50.10732661808525,A hashtag is technically called an octothorp
ppt_20,trial_18,6,fluent,47.796818601465844,Water makes different sounds depending on its temperature
ppt_20,trial_19,20,disfluent,58.11169340942718,The square root of 16 is 4
ppt_20,trial_20,11,disfluent,62.80605317898804,The Sahara desert is only 25% sand
ppt_21,trial_01,16,fluent,53.7831750392328,The Eiffel Tower grows 6 inches in summer
ppt_21,trial_02,2,disfluent,44.593030651989075,The first speeding fine was given in 1896
ppt_21,trial_03,4,disfluent,56.94438801847274,A dog was voted mayor of a town in Minnesot 4 times
ppt_21,trial_04,8,disfluent,53.53525263304848,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_21,trial_05,19,fluent,45.08216252709958,The dot over a lowercase i and j is called a tittle
ppt_21,trial_06,7,disfluent,42.11067050395264,Mickey Mouse was originally called Mortimer
ppt_21,trial_07,15,fluent,48.55211542639299,Pigs don't sweat
ppt_21,trial_08,12,fluent,52.33314962833003,A hashtag is technically called an octothorp
ppt_21,trial_09,17,fluent,50.41514161836631,Flamingos are pink because of their diet
ppt_21,trial_10,9,disfluent,47.22476771922327,It's impossible to hum while holding your nose
ppt_21,trial_11,11,fluent,52.533014915656466,The Sahara desert is only 25% sand
ppt_21,trial_12,13,fluent,49.55499132702986,It would take 19 minutes to fall to the center of the earth
ppt_21,trial_13,10,disfluent,40.808344581677154,You can draw a line 35 miles long using one pencil
ppt_21,trial_14,18,fluent,47.91803468752684,Rabbits can't be sick
ppt_21,trial_15,1,disfluent,43.2380814223924,Candy floss was invented by a dentist
ppt_21,trial_16,14,fluent,52.693248395284826,Sloths don't fart
ppt_21,trial_17,5,disfluent,46.09388039141341,The largest snowflake was bigger than most pizzas
ppt_21,trial_18,3,disfluent,47.073564815177505,Honey doesn't go off
ppt_21,trial_19,20,fluent,53.779925066022315,The square root of 16 is 4
ppt_21,trial_20,6,disfluent,57.30548457545229,Water makes different sounds depending on its temperature
ppt_22,trial_01,2,fluent,51.21253200529468,The first speeding fine was given in 1896
ppt_22,trial_02,11,disfluent,51.761696936668976,The Sahara desert is only 25% sand
ppt_22,trial_03,1,fluent,45.26274212900989,Candy floss was invented by a dentist
ppt_22,trial_04,19,disfluent,43.443369760714546,The dot over a lowercase i and j is called a tittle
ppt_22,trial_05,14,disfluent,53.69785464057473,Sloths don't fart
ppt_22,trial_06,12,disfluent,49.02689602282172,A hashtag is technically called an octothorp
ppt_22,trial_07,3,fluent,57.55387619260389,Honey doesn't go off
ppt_22,trial_08,18,disfluent,48.74151100840814,Rabbits can't be sick
ppt_22,trial_09,16,disfluent,56.376441244276656,The Eiffel Tower grows 6 inches in summer
ppt_22,trial_10,6,fluent,60.49070894178022,Water makes different sounds depending on its temperature
ppt_22,trial_11,8,fluent,50.27646532157293,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_22,trial_12,20,disfluent,57.86785333374996,The square root of 16 is 4
ppt_22,trial_13,7,fluent,41.50224699041516,Mickey Mouse was originally called Mortimer
ppt_22,trial_14,10,fluent,52.81630577530638,You can draw a line 35 miles long using one pencil
ppt_22,trial_15,15,disfluent,50.37981015448631,Pigs don't sweat
ppt_22,trial_16,17,disfluent,54.142055857424445,Flamingos are pink because of their diet
ppt_22,trial_17,13,disfluent,43.796766457965894,It would take 19 minutes to fall to the center of the earth
ppt_22,trial_18,4,fluent,55.43289328709119,A dog was voted mayor of a town in Minnesot 4 times
ppt_22,trial_19,5,fluent,52.81799593343417,The largest snowflake was bigger than most pizzas
ppt_22,trial_20,9,fluent,49.7062293456854,It's impossible to hum while holding your nose
ppt_23,trial_01,13,fluent,54.09777506699659,It would take 19 minutes to fall to the center of the earth
ppt_23,trial_02,18,fluent,53.54158219269807,Rabbits can't be sick
ppt_23,trial_03,6,disfluent,50.843071389138075,Water makes different sounds depending on its temperature
ppt_23,trial_04,10,disfluent,44.444905080122375,You can draw a line 35 miles long using one pencil
ppt_23,trial_05,7,disfluent,40.51451492220654,Mickey Mouse was originally called Mortimer
ppt_23,trial_06,1,disfluent,44.22059530233021,Candy floss was invented by a dentist
ppt_23,trial_07,8,disfluent,44.483278087312584,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_23,trial_08,11,fluent,45.995273352495985,The Sahara desert is only 25% sand
ppt_23,trial_09,4,disfluent,47.389799833267375,A dog was voted mayor of a town in Minnesot 4 times
ppt_23,trial_10,5,disfluent,48.12634531144715,The largest snowflake was bigger than most pizzas
ppt_23,trial_11,2,disfluent,41.55120462998321,The first speeding fine was given in 1896
ppt_23,trial_12,16,fluent,44.99843660382217,The Eiffel Tower grows 6 inches in summer
ppt_23,trial_13,20,fluent,51.03849278132823,The square root of 16 is 4
ppt_23,trial_14,19,fluent,46.65408857492146,The dot over a lowercase i and j is called a tittle
ppt_23,trial_15,3,disfluent,45.408851888347165,Honey doesn't go off
ppt_23,trial_16,17,fluent,47.78343099556805,Flamingos are pink because of their diet
ppt_23,trial_17,12,fluent,44.65544237343247,A hashtag is technically called an octothorp
ppt_23,trial_18,15,fluent,42.913576407754384,Pigs don't sweat
ppt_23,trial_19,9,disfluent,46.04215812687016,It's impossible to hum while holding your nose
ppt_23,trial_20,14,fluent,41.16647362666008,Sloths don't fart
ppt_24,trial_01,12,disfluent,50.36072766078171,A hashtag is technically called an octothorp
ppt_24,trial_02,4,fluent,48.4739547526421,A dog was voted mayor of a town in Minnesot 4 times
ppt_24,trial_03,7,fluent,51.623818039965464,Mickey Mouse was originally called Mortimer
ppt_24,trial_04,19,disfluent,44.62126386392732,The dot over a lowercase i and j is called a tittle
ppt_24,trial_05,16,disfluent,42.197558455632986,The Eiffel Tower grows 6 inches in summer
ppt_24,trial_06,5,fluent,45.56314411988468,The largest snowflake was bigger than most pizzas
ppt_24,trial_07,11,disfluent,52.37227627891332,The Sahara desert is only 25% sand
ppt_24,trial_08,10,fluent,52.69044744309539,You can draw a line 35 miles long using one pencil
ppt_24,trial_09,17,disfluent,49.270615199570116,Flamingos are pink because of their diet
ppt_24,trial_10,3,fluent,50.11587794151823,Honey doesn't go off
ppt_24,trial_11,18,disfluent,45.825116718225445,Rabbits can't be sick
ppt_24,trial_12,14,disfluent,36.27745387992788,Sloths don't fart
ppt_24,trial_13,1,fluent,55.73121392493492,Candy floss was invented by a dentist
ppt_24,trial_14,15,disfluent,48.70162944706323,Pigs don't sweat
ppt_24,trial_15,6,fluent,48.56496437236018,Water makes different sounds depending on its temperature
ppt_24,trial_16,9,fluent,49.271318743749276,It's impossible to hum while holding your nose
ppt_24,trial_17,13,disfluent,47.21919084549945,It would take 19 minutes to fall to the center of the earth
