ppt,age,height,[I am the life of the party.],[I feel little concern for others.],[I am always prepared.],[I get stressed out easily.],[I have a rich vocabulary.],[I don't talk a lot.],[I am interested in people.],[I leave my belongings around.],[I am relaxed most of the time.],[I have difficulty understanding abstract ideas.],[I feel comfortable around people.],[I insult people.],[I pay attention to details.],[I worry about things.],[I have a vivid imagination.],[I keep in the background.],[I sympathize with others' feelings.],[I make a mess of things.],[I seldom feel blue.],[I am not interested in abstract ideas.],[I start conversations.],[I am not interested in other people's problems.],[I get chores done right away.],[I am easily disturbed.],[I have excellent ideas.],[I have little to say.],[I have a soft heart.],[I often forget to put things back in their proper place.],[I get upset easily.],[I do not have a good imagination.],[I talk to a lot of different people at parties.],[I am not really interested in others.],[I like order.],[I change my mood a lot.],[I am quick to understand things.],[I don't like to draw attention to myself.],[I take time out for others.],[I shirk my duties.],[I have frequent mood swings.],[I use difficult words.],[I don't mind being the center of attention.],[I feel others' emotions.],[I follow a schedule.],[I get irritated easily.],[I spend time reflecting on things.],[I am quiet around strangers.],[I make people feel at ease.],[I am exacting in my work.],[I often feel blue.],[I am full of ideas.]
11,23,159,Neither Accurate nor Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Very Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Accurate,Very Inaccurate,Moderately Accurate,NA,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Very Accurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate
12,25,166,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Very Accurate,Very Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Accurate,Moderately Inaccurate,Very Inaccurate,Very Accurate,Moderately Accurate,Very Accurate,Moderately Accurate,Very Accurate,Moderately Inaccurate,Very Inaccurate,Very Inaccurate,Moderately Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Very Accurate,Very Accurate,Moderately Inaccurate,Moderately Inaccurate,Very Inaccurate,Very Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,Very Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate
13,20,176,Very Inaccurate,Moderately Inaccurate,Very Accurate,Very Accurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Very Inaccurate,Moderately Inaccurate,Very Inaccurate,Very Accurate,Very Accurate,Very Accurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Very Accurate,Very Inaccurate,Very Inaccurate,Very Inaccurate,Very Inaccurate,Very Inaccurate,Very Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Moderately Accurate,Moderately Inaccurate,Very Inaccurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Very Accurate,Moderately Accurate,Moderately Accurate,Very Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Very Accurate
14,25,182,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Inaccurate,Very Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Very Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Inaccurate,Very Inaccurate,Moderately Inaccurate,Very Inaccurate,Very Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Accurate,Very Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Accurate,Moderately Accurate
15,26,167,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Neither Accurate nor Inaccurate,Very Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,Very Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Very Inaccurate,Moderately Accurate,NA,Neither Accurate nor Inaccurate,Moderately Accurate,Very Accurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Inaccurate
16,21,171,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Very Accurate,Very Accurate,Very Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Very Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Very Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Accurate,Very Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Accurate
17,24,151,Moderately Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Very Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Very Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,Very Inaccurate,Very Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Very Accurate,Very Inaccurate,Moderately Accurate,Very Accurate,Very Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Very Accurate,Neither Accurate nor Inaccurate,Very Accurate
18,21,158,Moderately Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Very Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Very Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate
19,21,167,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate
20,26,151,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Accurate,Very Accurate,Moderately Inaccurate,Very Accurate,Moderately Accurate,Very Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Very Accurate,Very Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Accurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate
21,29,165,Very Inaccurate,Moderately Accurate,Moderately Accurate,Very Accurate,Very Accurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Very Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Accurate,Very Accurate,Very Accurate,Moderately Inaccurate,Very Inaccurate,Very Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Very Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,Very Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Very Accurate,Very Accurate,Moderately Accurate,Moderately Accurate,Very Accurate,Neither Accurate nor Inaccurate,Very Accurate,Very Accurate,Very Inaccurate,Moderately Inaccurate,Very Accurate,Very Accurate,Very Accurate,Very Accurate,Moderately Inaccurate,Very Accurate,Very Accurate,Very Accurate
22,20,165,Very Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Very Inaccurate,Very Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Very Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Very Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate
23,22,169,Moderately Accurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Inaccurate,Very Inaccurate,Very Accurate,Very Inaccurate,Moderately Accurate,Very Accurate,Very Accurate,Moderately Inaccurate,Very Accurate,Moderately Inaccurate,Very Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Very Accurate,Very Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Very Accurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Accurate,Moderately Accurate,Very Inaccurate,Very Accurate,Moderately Inaccurate,Very Accurate,Moderately Accurate,Moderately Accurate,Very Accurate
24,27,155,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Moderately Inaccurate,Very Accurate,Very Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Very Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Very Inaccurate,Moderately Accurate
