id,type,amount
81,No Music,22.04496192000316
82,No Music,17.65778920791981
83,Pop Music,25.831621222594688
84,Classical Music,22.67599137392108
85,No Music,23.891479933509217
86,Pop Music,20.470579677117644
87,Classical Music,26.4121654195538
88,No Music,23.01343841813135
89,Pop Music,22.245851503328183
90,Classical Music,25.177699265985858
91,Pop Music,19.504613392627974
92,No Music,23.917060008266613
93,Classical Music,23.7781789224285
94,Classical Music,24.70485235330698
95,Classical Music,23.253260571014646
96,Classical Music,24.54764084238732
97,Pop Music,26.98075017054366
98,No Music,22.437462985583938
99,Pop Music,22.812993271361087
100,No Music,21.927784656544
101,Pop Music,23.649481695280755
102,Classical Music,23.112684598335854
103,Pop Music,28.330927140741814
104,Pop Music,23.936181916123623
105,No Music,25.978761340153003
106,Classical Music,26.666530175842286
107,No Music,26.25852993199659
108,Pop Music,25.7484984380037
109,Classical Music,25.91160660830972
110,No Music,27.599639467991352
111,Pop Music,22.061733275217463
112,Classical Music,21.396102816858573
113,Classical Music,25.20964206585157
114,Pop Music,22.531394436611855
115,Classical Music,26.733261192838313
116,Pop Music,20.708987461073903
117,Classical Music,21.545768179892356
118,Pop Music,20.165663213624224
119,Classical Music,23.202093005771765
120,Classical Music,24.696699265116457
121,Pop Music,20.815408831307984
122,Classical Music,24.4710385200285
123,Pop Music,20.22164177996283
124,No Music,20.655990742194277
125,No Music,15.271356422237531
126,Pop Music,26.134223715844964
127,Pop Music,23.755369600233394
128,No Music,25.597771363729283
129,Pop Music,18.436444892239084
130,No Music,18.74267709471706
131,Pop Music,23.682845703030168
132,No Music,21.049681484076896
133,No Music,22.172625174707356
134,No Music,20.124750687631984
135,Pop Music,17.380147799329745
136,Classical Music,23.660597643697578
137,Classical Music,24.72968500836175
138,Classical Music,25.712471296748006
139,Pop Music,18.40991044358478
140,Classical Music,23.4738648035836
141,No Music,23.48058026276714
142,Classical Music,21.238758171643934
143,Classical Music,22.016419454809878
144,No Music,18.841771099726433
145,No Music,17.503749859921776
146,No Music,24.403024572330057
147,No Music,23.98033534294701
148,No Music,23.293772185916822
149,No Music,22.417849934367986
150,Classical Music,23.97167471913259
151,No Music,18.47594100780686
152,Pop Music,23.268537346255236
153,No Music,19.091660523496056
154,Classical Music,25.11638233354723
155,No Music,27.35515275873807
156,Classical Music,23.043367190174326
157,No Music,27.229484528334904
158,No Music,23.433595333264318
159,Classical Music,22.141661806494927
160,Classical Music,26.859884669105817
161,No Music,33.42630448445884
162,No Music,13.708355502911186
163,Classical Music,22.314424057116277
164,Pop Music,18.466385433816487
165,Classical Music,25.76029965658319
166,Pop Music,24.967558711594076
167,No Music,22.381545385697734
168,Pop Music,20.973246263702883
169,Classical Music,21.913797521168867
170,Pop Music,23.701946970624395
171,No Music,22.80513135268583
172,No Music,28.78789942700592
173,Pop Music,21.51152455273718
174,Pop Music,19.375406096466534
175,No Music,26.726768033244124
176,No Music,19.761900418237275
177,Pop Music,23.462398407859233
178,Classical Music,24.01751692720636
179,Classical Music,24.98987276821242
180,No Music,22.72432877923177
181,No Music,19.022892803626963
182,No Music,22.247934062091012
183,Classical Music,23.221411139028813
184,No Music,22.746319707490066
185,Classical Music,22.368926132704665
186,No Music,20.015214114108137
187,Pop Music,19.32288959571263
188,Classical Music,22.34772631172396
189,Pop Music,19.605598246474294
190,Pop Music,22.08915834627554
191,No Music,25.269801821331793
192,Pop Music,17.59457852815373
193,Pop Music,21.051452763035723
194,Classical Music,27.046702968726052
195,Pop Music,25.109302664886652
196,No Music,20.78544638341947
197,Classical Music,19.873397684506042
198,No Music,25.872045858931134
199,No Music,22.713633639586757
200,Classical Music,26.150101267108127
201,Classical Music,25.49411929430097
202,Pop Music,18.958161390832803
203,No Music,22.567772281374566
204,Classical Music,22.523207906856033
205,Pop Music,25.105512979860052
206,Classical Music,26.400066561227487
207,Pop Music,24.153175119243812
208,Classical Music,23.968327982623844
209,Classical Music,22.141827789257185
210,Pop Music,23.0665251096486
211,Classical Music,23.09142138176048
212,No Music,21.481755943582005
213,Pop Music,22.944194685412157
214,Pop Music,17.51625685360685
215,Pop Music,22.52622945482184
216,No Music,14.251778393810905
217,Classical Music,24.56914087936034
218,Classical Music,24.059736899132368
219,No Music,19.369824744862335
220,No Music,26.318071541225017
221,No Music,19.92989429429668
222,Classical Music,24.553635848042436
223,Classical Music,26.63455670712034
224,Pop Music,20.16976339058087
225,Classical Music,24.2157992677256
226,Pop Music,18.30872077636625
227,No Music,25.143448510218466
228,No Music,21.999253644264527
229,Classical Music,25.480923564300475
230,Pop Music,28.941512072712356
231,No Music,20.02671900049678
232,Classical Music,24.593708837786515
233,Classical Music,23.108210375247793
234,No Music,21.173945705950594
235,Classical Music,24.710461969029126
236,No Music,18.66558237272757
237,Pop Music,24.761697421095818
238,Pop Music,27.57259557927687
239,Classical Music,25.416401262369313
240,No Music,24.251634036344253
241,Classical Music,22.11316995424631
242,No Music,21.14560906234189
243,No Music,22.06916390537876
244,Classical Music,24.62155487467956
245,Classical Music,26.18951409395582
246,No Music,21.906706418188218
247,No Music,22.70940259679464
248,Classical Music,22.214885206881796
249,Classical Music,27.940598708589054
250,Pop Music,24.444172922462158
251,Classical Music,23.340173269190814
252,Classical Music,26.972708043647618
253,No Music,19.79739313778883
254,Pop Music,24.14159836920715
255,No Music,15.058248061561343
256,No Music,25.96051704970389
257,Classical Music,23.50253937636542
258,Pop Music,17.420044537087726
259,No Music,19.419069705149884
260,Classical Music,21.80739306934944
261,Classical Music,24.321591972006324
262,No Music,23.54233898500455
263,Pop Music,18.595993197753177
264,Pop Music,18.85117253292096
265,No Music,24.768781993740184
266,No Music,21.690360477453808
267,Pop Music,24.947650221329273
268,Pop Music,22.75876851754585
269,No Music,24.746591289217548
270,Pop Music,22.987593729265292
271,Classical Music,21.933466503898348
272,Classical Music,23.113712048113094
273,Classical Music,23.051461580226317
274,Classical Music,22.832461011868084
275,Pop Music,21.11683403171318
276,No Music,18.691783378474238
277,No Music,30.150737668093683
278,No Music,29.991146725827118
279,Classical Music,21.592676745615442
280,Classical Music,22.59896670854566
281,Pop Music,24.30809017635544
282,Pop Music,26.73159455191796
283,Pop Music,22.964111268227096
284,Pop Music,21.109737419798915
285,Pop Music,23.617335225550804
286,Classical Music,26.272318017623245
287,No Music,22.34759858123617
288,Classical Music,21.972383348091704
289,No Music,23.246303515496614
290,Pop Music,15.595575388829335
291,No Music,22.880051520001384
292,Classical Music,23.673037693018145
293,Classical Music,24.91946098496797
294,Classical Music,26.76403869196542
295,No Music,22.014426303070625
296,Pop Music,20.463604819431026
297,No Music,22.96107177642293
298,Classical Music,24.649985948715425
299,Classical Music,25.78197431277955
300,Classical Music,25.67461961897401
301,No Music,20.689886280401755
302,No Music,21.613318824259668
303,No Music,25.943910609463206
304,Pop Music,24.456689423927504
305,Pop Music,18.646781646336343
306,No Music,23.985292436794253
307,Pop Music,23.822411893167423
308,Pop Music,26.674393927669875
309,No Music,18.772866593198437
310,No Music,17.714681146968022
311,No Music,22.01574983867885
312,Classical Music,24.11563942034006
313,No Music,17.995246459332908
314,Pop Music,28.83226419950839
315,No Music,24.233897642889932
316,Pop Music,18.803706107675264
317,No Music,21.25317093185387
318,No Music,21.818957341605387
319,Pop Music,20.283064174493127
320,Classical Music,26.427275383240822
321,No Music,20.750722380182022
322,No Music,21.859293892931255
323,Pop Music,18.34432588477393
324,Pop Music,22.980948586258332
325,Pop Music,22.535804176329613
326,Pop Music,19.30941649501331
327,No Music,23.294714724894824
328,Classical Music,23.093620034298127
329,Classical Music,26.876342872885544
330,Classical Music,25.894134913917192
331,No Music,18.631061590895417
332,Pop Music,20.146688084537356
333,Pop Music,22.503738665272362
334,No Music,22.62652319647661
335,Pop Music,27.591647967984635
336,Pop Music,20.03696877769
337,Pop Music,21.241953015594785
338,Classical Music,20.964173420380696
339,Pop Music,23.731841811592066
340,Pop Music,26.01099918264412
341,Classical Music,25.762265135628496
342,No Music,14.25404990105288
343,No Music,20.08550323709023
344,Pop Music,22.993452146726582
345,No Music,22.403130731824813
346,Pop Music,19.90704751405536
347,Pop Music,22.440590845276205
348,Classical Music,27.760893306590237
349,No Music,23.148879483635728
350,No Music,20.434254614702787
351,Pop Music,18.734066279198085
352,Classical Music,19.048705392099617
353,Pop Music,17.704638990070702
354,Pop Music,21.601669355393813
355,No Music,18.460293742504362
356,Pop Music,20.637650733310938
357,Pop Music,20.81008406463123
358,Pop Music,23.18953890118086
359,Pop Music,28.383073365649686
360,Classical Music,26.21965723978814
