att1,att2,att3,att4,att5,sn1,sn2,sn3,sn4,sn5,pbc1,pbc2,pbc3,pbc4,pbc5,int1,int2,int3,int4,int5,nep1,nep2,nep3,nep4,nep5,awar1,awar2,awar3,awar4,awar5,resp1,resp2,resp3,resp4,resp5,pn1,pn2,pn3,pn4,pn5,cb1,cb2,cb3,cb4,cb5,cb6,cb7,cb8,ewv2,ewv5
4,5,3,4,3,2,2,3,3,3,3,3,3,2,3,4,5,4,4,3,4,1,2,2,4,4,3,3,4,3,2,1,1,2,3,4,2,3,2,3,3,3,3,2,2,2,2,3,2,2
4,5,3,4,3,2,3,4,4,3,5,4,4,3,4,2,4,3,3,1,3,3,4,4,4,3,2,2,4,3,3,2,2,3,2,3,2,2,2,2,2,2,1,2,3,2,4,3,4,3
5,4,4,4,4,2,2,4,3,5,2,2,4,1,3,4,2,4,2,2,3,2,3,3,4,3,2,4,2,3,2,2,3,4,2,4,3,3,4,3,2,3,3,2,2,2,2,2,1,3
4,3,2,3,3,4,4,1,2,5,4,2,2,3,2,2,2,2,3,3,3,4,4,4,2,3,2,3,3,3,2,4,4,3,3,3,1,2,2,3,5,2,3,2,3,3,3,3,3,4
3,4,2,3,2,2,2,2,3,3,3,1,2,2,3,1,3,3,2,2,3,2,2,3,4,3,3,2,4,2,1,3,4,2,2,5,2,3,4,3,4,3,1,4,3,1,2,4,2,3
3,3,2,3,4,4,1,2,3,4,4,3,4,2,3,3,2,3,3,2,3,2,3,2,3,1,1,3,4,3,3,3,2,4,2,2,4,2,4,3,2,2,3,3,3,4,4,2,4,2
1,3,2,3,4,4,3,4,4,5,4,4,3,5,2,4,5,5,4,3,4,3,5,3,3,3,3,4,3,2,3,4,4,2,4,3,3,2,2,3,3,5,4,4,4,3,3,3,4,4
4,2,3,3,2,1,3,3,3,3,3,2,3,4,2,2,3,3,1,3,4,3,3,3,3,3,2,3,3,3,2,3,3,1,2,2,1,4,2,3,3,3,2,2,3,3,3,4,3,3
3,4,3,3,1,1,3,4,3,2,4,3,5,4,3,2,4,4,3,3,4,3,5,4,3,3,2,3,3,2,3,3,4,4,3,2,2,3,2,2,4,3,4,3,3,1,3,5,3,2
2,5,1,4,3,2,2,4,4,3,2,3,3,2,3,5,1,3,3,3,3,4,2,4,4,4,2,4,4,4,3,4,4,1,3,3,4,3,4,3,2,2,3,3,3,3,4,4,1,3
2,4,2,3,3,2,2,3,2,2,2,2,3,3,3,1,2,3,1,2,4,4,5,3,3,3,3,2,2,3,2,2,2,2,3,2,4,3,5,2,2,3,2,3,3,2,3,3,4,2
2,4,1,3,3,2,4,2,2,2,4,4,3,5,3,3,4,3,3,2,5,4,2,5,4,4,2,4,5,2,2,2,3,2,3,2,3,3,3,3,3,2,3,2,3,2,3,4,3,4
3,3,2,3,1,2,2,3,2,3,1,1,4,2,1,3,3,4,4,5,4,4,4,4,2,4,2,3,4,3,3,3,2,5,1,5,3,3,4,2,3,2,3,4,4,3,3,4,4,4
3,2,2,2,4,2,3,2,3,3,2,2,2,4,4,3,2,4,2,3,5,5,4,3,2,4,2,3,4,4,2,1,3,3,2,4,2,2,3,4,3,2,2,3,2,4,3,3,4,2
3,3,4,3,2,1,2,3,3,2,3,4,5,3,3,4,3,4,2,5,4,2,3,4,4,3,2,3,4,4,3,3,2,4,3,2,1,2,2,2,5,3,4,5,5,4,5,4,4,4
2,2,2,2,1,2,1,3,2,3,1,2,2,1,2,3,2,3,4,1,4,3,4,4,4,5,3,3,3,3,1,3,3,3,1,2,2,2,3,3,3,1,2,2,2,2,4,4,2,2
4,3,2,3,4,2,4,3,4,3,3,3,2,3,2,1,3,4,2,3,2,3,2,2,2,3,2,4,3,2,3,3,3,2,1,4,2,3,3,3,1,2,2,2,3,2,3,3,4,4
3,2,3,3,4,3,2,3,4,4,3,3,2,1,4,2,2,2,2,2,3,4,1,3,3,3,3,3,4,3,2,3,3,2,2,3,3,2,4,4,4,3,4,4,3,3,4,3,5,4
3,3,3,4,2,4,3,2,4,3,4,3,1,3,3,4,3,4,4,2,4,4,2,2,4,3,3,3,3,4,2,4,3,1,3,3,1,2,3,2,4,5,3,3,3,3,4,2,3,3
3,3,2,3,3,3,3,2,1,3,4,3,3,3,3,3,4,4,3,2,4,2,2,3,3,2,2,3,2,3,3,3,3,3,2,3,2,4,3,2,3,3,2,3,3,2,3,2,1,3
4,4,3,3,4,3,3,4,4,4,3,4,4,3,3,3,3,4,3,2,2,3,1,2,2,3,4,4,2,3,2,3,3,2,4,4,3,3,2,3,4,3,3,4,4,5,4,5,5,5
2,2,1,4,2,4,2,3,3,2,4,2,2,2,3,3,3,5,3,3,3,4,2,4,3,2,3,2,1,3,4,2,2,4,2,3,4,3,4,4,3,2,3,2,1,3,3,4,3,3
1,3,3,4,2,2,2,3,4,3,2,3,1,3,1,3,2,4,4,3,3,4,5,4,4,3,4,3,2,3,3,3,2,2,3,1,2,2,2,2,2,3,4,3,3,4,4,3,2,2
4,1,2,3,4,3,2,3,4,3,4,2,1,2,3,3,3,3,3,3,2,3,3,2,3,2,2,4,3,4,1,2,2,3,3,3,1,1,3,1,2,2,3,2,1,3,2,2,4,3
2,4,3,4,3,3,1,2,4,3,4,2,2,4,2,4,5,4,4,4,3,2,3,3,2,3,2,4,3,4,5,4,2,3,3,3,3,4,3,4,3,2,3,3,4,3,3,3,5,4
2,5,2,4,5,4,1,3,3,3,2,3,2,3,1,2,5,3,2,3,4,5,5,4,2,3,3,5,5,5,4,3,2,3,3,4,4,4,4,4,4,3,4,3,4,3,4,5,4,2
5,5,3,3,4,2,2,3,4,3,3,1,1,3,2,3,5,3,3,4,3,3,2,2,2,4,2,3,3,4,2,2,4,3,3,3,1,3,2,3,3,4,4,3,3,4,4,3,3,3
4,5,4,4,5,3,3,2,5,4,5,2,5,4,3,4,4,3,3,2,4,4,3,3,4,3,3,5,4,4,2,2,3,4,3,4,4,4,4,4,5,2,5,4,5,2,5,3,3,2
1,2,3,2,5,2,3,4,2,3,3,2,4,4,2,3,5,4,4,3,4,2,4,3,3,4,3,5,4,3,4,3,2,2,3,3,2,3,4,4,3,2,3,3,3,2,4,5,4,2
3,3,2,4,4,4,3,5,4,4,1,2,3,2,3,2,2,4,4,3,4,4,4,4,3,3,3,4,5,3,2,1,1,2,2,4,2,3,2,2,2,3,3,4,3,2,4,4,4,4
4,3,2,3,1,2,3,2,3,2,3,3,3,2,3,3,3,3,2,3,3,3,2,4,3,3,2,2,3,2,2,4,2,4,3,3,2,5,3,3,2,3,4,2,2,3,2,3,3,3
3,3,2,3,4,3,3,3,3,3,2,2,3,1,1,2,4,3,2,3,3,2,4,3,1,2,2,2,2,2,3,3,2,3,4,4,4,2,4,3,3,1,3,2,3,2,2,4,4,4
2,4,4,3,4,3,4,3,4,3,3,2,1,3,3,4,3,4,4,3,3,1,4,1,2,3,2,5,4,3,1,4,2,2,3,2,3,2,3,3,2,2,2,2,4,3,2,3,3,3
4,4,4,4,3,3,3,3,4,4,2,3,3,2,2,4,3,4,3,3,2,3,2,3,2,2,3,5,2,4,4,4,2,5,3,5,4,3,5,5,2,2,4,3,4,4,3,3,3,2
3,3,2,3,3,2,3,2,3,3,1,2,1,1,2,3,5,3,2,3,3,3,2,4,3,3,2,3,3,2,3,3,4,3,3,3,5,4,3,3,3,3,3,4,3,2,2,3,2,3
3,3,3,4,3,3,4,3,3,3,3,3,2,2,2,1,2,3,2,2,1,3,3,4,4,1,2,4,3,3,3,3,3,3,5,3,3,4,3,2,3,4,2,3,2,2,3,3,2,3
2,1,2,3,1,4,2,3,1,4,4,5,3,4,4,3,3,3,2,2,3,4,4,4,3,4,3,4,4,3,3,3,3,4,4,2,2,4,3,2,2,3,2,3,3,2,3,3,2,2
2,3,3,3,3,3,1,1,5,4,3,1,3,2,3,3,1,3,2,2,4,4,3,2,3,4,3,4,2,3,2,3,3,3,4,2,4,3,3,3,3,2,3,2,3,2,4,3,4,2
3,4,4,4,5,2,2,3,3,3,3,2,3,3,4,2,2,4,2,4,4,3,3,3,2,2,2,3,1,2,3,4,2,3,5,4,4,3,5,5,3,2,3,3,2,3,3,4,4,3
3,5,3,5,4,3,5,2,5,4,3,3,2,3,3,3,5,5,4,2,4,3,4,4,4,4,5,5,5,5,3,3,3,2,3,4,4,4,4,3,5,4,4,4,4,3,5,5,3,4
3,4,2,4,4,2,1,3,2,2,3,4,5,5,2,3,3,4,3,3,4,3,3,3,4,5,4,5,5,5,4,2,3,3,3,2,3,4,5,4,4,2,4,2,2,2,3,3,3,1
3,3,3,2,3,2,3,5,3,3,2,2,2,2,1,3,2,1,3,2,2,3,2,3,3,3,2,3,2,3,4,2,3,4,4,3,2,3,3,2,2,2,3,3,2,3,2,3,2,2
5,4,1,4,5,2,3,3,3,1,2,3,5,3,4,2,3,3,5,4,3,2,3,1,1,1,2,3,3,2,2,3,3,3,3,5,3,4,4,4,3,4,3,3,4,2,3,3,3,4
1,4,2,3,3,3,3,1,3,2,3,3,3,2,4,2,3,3,3,3,3,2,2,2,3,4,2,4,3,4,2,2,4,3,4,2,2,3,4,4,3,2,3,4,3,2,2,4,3,4
3,3,2,2,1,1,1,2,2,3,2,3,2,3,2,3,1,4,1,3,3,3,2,1,2,3,2,3,3,3,1,1,2,2,1,3,3,1,3,2,2,3,4,2,3,3,3,3,3,1
3,3,2,2,2,3,3,3,3,2,3,4,1,5,3,3,2,4,4,3,4,5,4,4,4,4,4,3,4,3,4,5,4,4,4,4,2,3,2,3,3,1,3,3,3,1,3,2,4,2
4,3,4,3,5,2,3,2,3,1,4,5,4,3,3,3,5,5,4,3,3,3,2,3,3,3,4,3,2,3,3,3,3,4,3,4,3,3,5,2,5,4,3,3,3,4,5,4,3,2
3,3,2,3,4,2,4,1,2,2,3,3,3,3,4,5,2,4,2,2,2,1,1,1,1,2,3,3,3,2,2,2,3,2,2,2,3,3,3,2,3,2,4,4,3,2,2,3,1,4
3,3,2,4,3,2,2,3,1,3,3,5,3,3,3,3,3,2,2,1,3,2,5,4,2,4,3,3,3,2,2,1,2,3,2,2,3,1,2,2,4,4,3,3,3,2,3,1,1,2
4,3,1,3,2,4,3,3,3,3,3,5,3,3,4,3,2,3,3,3,4,3,4,4,4,4,2,4,4,2,1,3,3,2,1,4,3,3,4,2,3,4,2,4,3,3,3,4,5,3
3,2,1,2,1,2,2,2,2,2,5,4,4,2,4,2,4,3,2,2,4,3,4,4,3,4,4,4,4,4,5,4,4,2,4,3,2,2,4,2,3,2,3,4,5,3,5,3,4,3
3,3,1,3,4,2,2,2,3,2,3,2,4,1,3,1,3,2,3,3,3,4,3,2,2,4,1,3,4,3,2,5,3,4,4,4,4,4,3,3,2,1,4,2,4,1,3,4,4,2
5,3,3,3,4,3,2,3,3,2,4,2,3,2,3,3,3,4,4,2,4,3,4,2,3,3,2,4,4,2,2,2,3,3,1,5,3,3,3,3,3,3,3,2,2,4,2,4,3,3
2,3,2,3,3,5,4,4,4,5,2,1,2,2,1,2,4,2,3,1,4,3,3,4,5,5,5,5,4,3,5,5,4,5,5,4,4,3,4,4,3,1,4,4,2,3,4,5,5,4
4,4,4,3,4,3,3,3,2,3,4,4,3,4,5,5,5,5,4,5,2,4,4,3,3,2,3,3,4,3,3,2,2,4,5,3,4,3,4,3,5,4,4,3,3,4,5,5,3,3
3,3,1,2,4,1,2,3,2,2,3,2,1,4,3,3,4,3,2,1,4,3,5,3,5,2,3,4,4,4,3,3,2,2,3,3,3,2,3,3,4,3,3,3,4,2,4,5,4,3
3,5,2,3,1,2,3,1,3,1,3,3,4,3,3,2,1,4,3,2,3,3,4,3,4,4,3,4,4,4,3,2,3,3,4,2,1,2,2,2,3,3,1,3,3,2,3,4,3,4
1,3,2,3,4,1,1,1,3,2,3,3,2,3,3,1,2,3,1,1,3,3,1,2,5,3,3,3,3,2,3,2,3,2,2,4,4,3,5,5,3,2,2,2,2,2,4,3,4,3
2,4,4,3,3,2,4,5,4,2,3,2,2,4,3,2,4,3,3,2,3,4,2,3,4,4,4,5,3,3,3,2,3,4,3,2,3,5,4,2,3,3,3,4,3,2,4,3,3,2
2,2,2,5,3,3,4,3,2,2,3,2,3,3,3,4,3,4,3,4,4,5,5,5,4,5,4,4,5,4,3,4,5,5,3,4,4,5,5,4,4,5,4,4,4,4,4,4,3,4
3,4,4,5,4,2,4,4,3,2,2,2,2,3,3,3,5,4,3,4,4,2,4,4,4,3,3,2,2,3,4,3,3,4,5,2,5,4,4,4,4,2,5,3,3,4,4,4,3,4
1,4,1,3,2,2,1,2,4,3,4,4,3,2,5,2,3,1,3,2,3,2,2,2,3,3,3,3,3,3,3,2,2,2,2,4,2,2,2,3,2,2,1,3,3,2,4,4,3,3
2,2,3,2,1,3,4,2,3,4,3,3,3,3,3,3,3,3,2,3,4,4,5,3,3,3,2,3,3,2,3,3,3,2,3,1,1,3,2,3,3,3,2,3,2,2,3,3,4,4
3,4,2,4,4,4,2,1,3,4,2,3,3,3,2,3,2,2,2,2,3,3,2,4,2,4,3,4,3,4,4,2,3,2,3,3,3,4,4,2,3,3,3,2,3,2,3,3,3,2
3,4,1,2,3,2,4,2,2,3,1,4,3,3,4,4,4,3,3,3,4,3,4,3,5,4,1,4,3,2,3,4,3,5,3,3,3,3,3,4,4,3,3,3,2,3,3,5,3,4
3,3,2,4,2,2,4,3,3,3,3,4,2,3,2,4,3,4,3,2,3,2,3,2,3,3,3,4,3,2,2,3,3,3,3,3,4,4,5,2,2,2,3,3,3,2,3,4,2,3
4,2,3,3,3,2,3,3,3,3,2,2,3,4,2,3,3,2,1,2,5,4,3,3,2,3,3,4,3,3,3,3,3,1,2,2,2,3,3,4,2,2,2,2,4,1,4,2,4,4
3,3,2,3,3,4,3,1,3,3,2,2,2,3,2,2,2,2,1,2,4,2,5,3,4,3,4,3,4,3,2,2,1,3,2,4,4,4,4,3,2,1,2,4,2,2,3,3,4,3
4,4,2,3,3,3,3,3,4,3,2,1,4,1,2,3,2,3,3,3,3,4,4,3,3,4,2,4,4,3,1,3,2,3,3,2,3,3,4,5,1,3,3,2,4,1,4,4,3,2
4,5,3,4,3,3,1,3,3,4,2,3,3,3,2,2,4,2,3,3,3,2,2,2,2,4,3,4,4,4,4,4,3,3,5,3,4,3,4,4,3,4,4,3,3,3,4,4,2,2
4,2,1,3,3,3,2,2,1,3,2,5,4,3,3,2,3,4,2,2,3,5,2,3,3,5,4,4,2,5,3,2,3,2,3,4,2,2,3,3,3,2,2,3,2,2,3,3,2,3
3,3,2,4,4,1,2,2,2,2,3,5,2,4,4,2,3,3,2,2,4,2,4,3,2,3,4,5,3,4,4,4,3,3,4,4,2,4,4,4,2,2,3,3,4,3,3,3,3,5
2,3,3,3,2,3,5,4,3,4,4,4,2,4,2,3,2,3,3,2,3,3,3,2,1,2,2,3,2,2,2,3,2,2,4,4,2,3,3,3,2,2,1,3,2,3,4,2,1,4
3,3,2,3,2,3,3,5,3,4,3,4,3,1,3,5,3,5,4,3,3,4,5,4,4,4,2,4,3,3,3,3,2,1,3,1,2,3,2,4,3,4,4,4,4,4,5,3,4,4
2,1,2,5,3,3,4,2,3,4,4,4,4,3,5,2,5,3,1,1,3,2,2,3,2,3,3,1,4,3,3,3,2,1,1,3,2,3,2,4,4,3,1,3,1,3,4,3,2,3
4,3,2,3,2,2,3,1,4,2,3,2,2,3,2,3,3,3,3,3,3,2,4,4,2,2,4,3,4,4,3,3,2,3,2,3,1,2,3,3,3,3,3,3,3,4,3,4,3,3
3,3,3,3,4,2,2,2,1,1,2,2,3,2,3,2,2,1,2,3,4,5,4,5,3,2,3,4,4,2,4,3,3,4,4,4,2,2,4,3,3,3,2,2,1,2,2,2,4,4
2,2,1,2,3,5,3,4,3,5,4,3,4,2,3,2,2,3,4,3,5,4,4,3,4,4,4,4,4,3,4,4,3,3,3,3,1,3,2,3,2,2,2,3,2,1,2,2,1,1
4,3,3,4,2,4,4,3,4,4,2,1,4,2,3,2,4,2,3,3,3,2,2,2,2,3,3,1,2,3,2,3,2,3,3,2,3,2,3,3,3,2,3,3,4,2,4,3,5,3
3,2,2,3,2,2,3,3,4,2,5,4,4,4,3,3,5,5,3,3,3,4,3,2,3,2,1,3,3,3,5,2,3,3,1,1,2,3,2,3,3,3,1,2,3,4,3,3,4,4
3,4,2,3,4,3,3,1,4,4,4,3,5,2,4,3,3,3,2,2,2,3,4,2,2,3,4,4,2,4,5,3,4,4,3,5,2,3,3,4,3,4,3,3,2,3,4,3,4,4
4,2,3,4,4,1,3,2,1,2,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,4,2,3,4,3,4,4,4,5,3,4,3,3,2,3,3,3,2,2,2,3,4,4
3,4,2,3,4,3,4,3,4,2,5,4,5,3,4,4,2,4,2,3,4,4,5,3,2,3,4,3,3,3,4,2,2,3,3,2,4,4,4,3,3,3,2,4,5,2,4,4,3,4
3,3,2,3,3,3,4,1,1,3,1,2,1,2,2,1,4,3,3,1,2,3,3,4,4,2,2,2,3,2,4,3,3,2,3,3,4,3,1,3,2,2,2,2,2,1,2,2,2,3
3,1,1,4,3,3,3,2,2,3,4,4,4,2,4,3,3,3,3,4,4,4,2,5,4,3,3,4,4,3,2,3,3,4,3,1,1,2,3,2,4,4,2,3,4,4,2,3,4,4
5,5,2,3,5,2,2,3,4,2,2,3,2,1,2,2,5,5,3,2,3,2,4,4,2,3,2,3,4,3,4,3,3,3,4,3,2,3,3,5,2,3,2,2,2,3,3,4,3,3
3,4,3,2,3,2,2,2,3,4,2,2,4,3,2,1,4,3,3,3,4,4,2,2,3,3,2,2,3,2,1,2,1,1,3,2,2,3,3,3,3,2,3,1,2,1,3,3,2,2
4,4,2,3,4,2,1,2,2,1,1,2,1,2,2,2,2,3,1,2,3,3,3,3,4,3,2,4,2,1,1,3,3,3,5,1,3,4,3,3,4,2,4,2,3,2,2,3,2,3
2,3,2,4,3,2,1,4,3,3,2,3,4,4,4,3,2,3,2,2,3,1,3,3,2,2,2,4,3,2,1,1,2,2,4,3,1,1,1,2,3,3,3,3,4,3,4,4,4,2
4,3,3,3,3,2,2,2,2,3,5,5,3,4,3,4,3,5,3,2,2,4,3,3,3,4,3,4,5,4,4,2,4,3,4,4,4,3,4,3,5,3,4,4,3,1,5,3,4,4
4,5,3,3,5,2,2,3,2,2,4,4,4,4,3,3,4,3,3,4,2,3,3,2,3,4,2,3,3,3,4,2,3,2,4,2,4,4,4,3,3,5,4,4,3,3,4,3,3,4
2,3,2,4,4,3,2,2,4,4,5,4,4,3,3,3,5,4,4,3,4,2,4,3,3,3,2,4,3,2,4,4,4,4,4,5,3,4,3,3,3,2,2,3,2,4,4,4,2,1
5,3,3,4,3,1,2,3,2,3,4,2,3,3,5,4,5,3,3,3,4,2,4,3,3,3,4,4,3,3,2,4,2,3,3,5,4,3,4,3,4,4,4,2,2,3,4,2,3,2
4,4,2,4,4,3,3,3,3,4,4,3,3,3,4,3,2,3,4,1,4,4,3,4,3,3,2,3,4,2,3,3,3,4,4,4,2,4,3,3,4,3,4,2,3,2,4,2,2,1
3,2,2,2,3,3,3,3,4,3,5,5,4,3,5,3,4,4,4,3,4,3,3,5,3,4,2,4,3,3,4,4,3,3,2,3,3,3,3,4,3,3,5,4,3,4,5,3,4,4
4,4,4,4,5,3,2,4,4,3,4,4,2,3,3,4,3,4,3,2,4,4,4,3,4,2,5,3,4,3,1,3,1,5,2,3,4,2,3,2,3,2,4,3,4,2,4,2,4,5
3,4,3,2,4,3,3,3,5,3,4,3,1,3,3,4,4,4,5,3,3,1,3,2,2,4,3,2,3,3,1,1,2,2,3,2,2,4,4,3,3,4,2,3,3,3,4,5,5,4
5,4,5,4,3,4,1,3,3,5,5,4,3,4,4,3,4,4,4,3,3,3,4,4,2,4,4,4,4,3,4,2,3,4,4,5,4,3,5,4,4,3,5,4,5,5,4,5,5,4
2,4,2,3,5,2,1,3,4,4,5,4,4,4,4,2,3,4,3,1,3,3,3,2,1,2,1,3,3,2,3,3,4,1,3,1,3,3,3,3,3,2,3,2,2,2,3,2,3,5
4,3,3,4,4,3,1,2,2,3,1,1,2,2,1,2,4,4,3,2,4,3,5,4,4,4,2,3,5,2,4,3,5,5,5,5,5,5,4,5,3,3,4,4,4,2,4,3,2,2
3,2,3,2,2,3,2,1,2,4,2,2,2,2,4,3,2,2,2,2,3,3,3,5,4,4,2,4,4,2,2,3,3,2,5,3,1,2,2,3,3,3,3,4,2,2,3,3,4,4
3,2,2,1,3,2,2,3,2,2,1,2,2,3,2,1,2,2,2,2,4,1,3,2,4,3,3,4,5,5,2,3,2,3,4,2,4,2,3,3,2,1,3,1,3,2,3,3,3,3
3,3,2,2,3,1,3,4,3,2,3,3,4,5,3,3,1,3,3,1,4,4,5,3,3,3,3,4,4,3,3,3,3,3,4,3,3,3,4,2,4,5,3,3,4,3,4,4,4,3
4,3,3,3,3,3,4,5,3,4,3,3,3,3,4,3,3,3,3,4,4,3,4,3,5,3,2,3,2,3,3,3,2,2,2,3,2,2,4,2,2,1,3,3,3,2,3,4,3,3
3,3,3,3,2,3,3,3,2,4,2,2,1,1,4,2,3,2,3,3,4,5,2,3,3,1,2,2,3,3,2,2,3,3,1,1,3,2,3,2,4,3,3,2,3,2,3,3,2,4
2,3,3,4,2,3,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,3,4,5,3,4,3,2,3,4,4,3,4,2,4,5,4,4,4,4,4,2,4,4,3,4
3,3,2,3,3,2,4,3,4,4,2,2,1,2,1,3,2,3,3,2,3,2,2,4,4,3,3,4,3,3,2,2,2,3,3,4,2,2,3,3,3,3,4,3,4,3,4,4,3,3
4,3,3,3,2,2,3,3,3,3,2,2,2,3,2,2,2,3,2,2,4,4,4,3,4,4,3,3,5,3,3,3,4,3,3,5,2,2,3,4,2,2,3,3,3,2,4,3,3,2
3,3,2,3,2,4,1,4,4,4,5,4,1,3,3,1,1,2,3,2,4,3,4,4,3,3,3,4,4,3,3,1,1,2,2,1,3,2,2,3,2,3,2,2,3,2,2,3,4,2
1,3,2,2,2,3,2,4,2,5,2,1,1,1,1,2,2,2,2,2,3,3,4,2,3,3,3,3,3,1,1,3,4,3,3,2,4,3,4,2,1,1,2,2,2,1,2,4,3,4
1,2,1,3,3,2,1,1,3,3,3,4,2,3,2,4,3,2,3,2,4,3,1,3,3,2,4,4,3,5,4,2,2,4,4,2,2,2,4,4,3,4,5,4,5,4,5,4,5,3
3,4,2,3,3,3,4,3,4,3,3,3,2,2,3,2,4,2,4,2,3,2,1,3,3,2,2,2,3,2,1,1,2,3,4,3,2,2,3,2,3,4,2,3,3,2,3,3,5,4
3,4,3,3,1,3,4,3,4,3,3,3,2,2,2,4,3,4,2,2,3,1,1,2,4,4,3,2,5,3,4,2,3,2,3,3,4,3,3,2,2,1,3,4,3,1,3,3,4,4
5,2,3,4,2,3,1,3,3,2,3,3,3,3,3,5,4,5,2,3,2,2,2,1,2,3,2,2,4,2,2,1,1,2,2,1,4,1,2,1,3,3,4,4,3,3,4,4,5,3
3,4,3,3,4,4,3,2,2,4,2,3,2,2,3,3,5,2,3,3,5,3,4,3,4,5,3,3,4,4,2,3,2,3,3,3,4,3,4,3,3,3,3,3,4,4,3,4,2,3
4,3,4,3,3,3,3,3,2,4,2,2,3,3,3,3,3,4,3,2,4,3,4,4,4,4,3,5,5,4,2,3,3,5,2,4,2,2,4,3,2,3,2,4,4,3,5,2,2,4
5,5,2,4,4,2,3,3,2,3,2,2,3,2,2,2,3,3,3,3,4,3,4,3,5,4,3,4,4,3,4,4,2,4,4,4,5,4,5,4,4,4,1,3,3,2,3,3,4,3
2,3,2,3,3,2,3,2,1,3,3,5,3,3,4,4,3,4,4,4,4,3,1,2,1,4,3,4,3,3,2,2,3,2,3,3,1,4,2,2,4,4,3,3,3,2,3,4,4,2
4,2,1,2,4,1,3,4,3,3,2,3,4,3,3,1,3,3,3,2,4,2,3,3,2,1,1,4,3,2,1,2,3,3,1,2,1,3,2,2,3,3,4,4,4,3,4,5,4,4
5,3,2,3,5,4,3,3,4,4,3,3,3,2,3,5,4,2,3,3,4,4,5,4,4,4,4,2,3,4,2,4,2,3,3,4,3,4,3,4,3,3,4,4,3,2,5,4,4,3
4,4,2,5,4,4,3,2,3,2,3,2,3,3,3,4,3,4,4,3,4,4,3,2,2,3,2,4,2,4,3,2,2,1,1,4,3,3,3,4,3,5,5,4,3,4,4,2,4,4
2,2,2,3,2,4,4,4,4,3,3,4,4,3,3,3,2,4,3,4,4,3,2,4,3,4,4,5,4,2,3,3,3,2,2,3,3,3,3,3,4,4,5,4,4,4,4,4,3,3
2,2,1,2,2,3,2,2,1,4,3,5,4,5,3,3,3,2,2,2,2,2,1,2,2,3,1,3,4,3,3,2,2,1,2,2,1,2,2,1,1,3,1,1,1,1,1,1,3,4
3,4,2,3,4,3,2,3,4,3,2,3,2,3,1,4,3,4,4,2,2,3,3,3,4,3,3,3,3,3,1,3,2,2,4,3,2,2,3,3,3,3,2,3,2,4,2,4,2,2
3,4,3,5,4,3,3,2,4,5,4,3,2,3,3,3,4,4,3,3,4,3,3,3,3,3,3,4,5,4,3,3,3,3,3,4,3,4,5,3,2,2,4,2,2,2,3,2,4,3
4,3,4,3,2,2,3,3,4,4,3,4,5,2,3,2,5,3,3,3,3,3,5,5,4,4,2,3,4,3,4,3,2,3,5,4,2,3,3,3,4,4,4,4,3,3,4,4,2,4
