id,age,sex,handedness,lab_session,participation_order,first_condition,visualcue_attempt1,visualcue_attempt2,visualcue_attempt3,visualcue_attempt4,visualcue_attempt5,auditorycue_attempt1,auditorycue_attempt2,auditorycue_attempt3,auditorycue_attempt4,auditorycue_attempt5
R_87g6cEGlwaY5pqU,18,Female,right,Friday_PM,myself_first,visual_first,0,24,19,24,28,21,16,3,0,18
R_24rMfu2sqKG15,18,Female,right,Friday_PM,partner_first,visual_first,18,13,24,14,26,10,,,20,19
R_8P5bpvnMa2z0UYW,18,Female,right,Friday_PM,myself_first,visual_first,12,22,21,21,21,13,11,17,10,14
R_8esKFkw7kAfeEe2,18,Male,right,Friday_PM,partner_first,visual_first,,,12.5,,15,13,17,8,,1.1
R_8vdIHur1lCHsBYT,18,Male,right,Friday_PM,myself_first,visual_first,10.1,12,12.6,5,9.5,6.5,21.5,,2.7,8
R_81aM6WuQ1E6YBEv,18,Female,left,Friday_PM,partner_first,visual_first,14,3,4,16,10,12,5,1,11.5,3
R_2rPyhjzFQAfUboo,18,Female,right,Friday_PM,myself_first,visual_first,26,24,14,18,18,10,,,10,27
R_2ykZ7e9DPduLeq5,18,Female,right,Friday_PM,partner_first,auditory_first,5.2,15.8,5.5,13.5,11.4,,25.5,,15,13.4
R_2HEykmEJOUymTGp,18,Female,right,Friday_PM,myself_first,visual_first,5,19,12.6,11.3,11.2,23,9.5,0.5,,6.5
R_2F3ZJQwNPWaJpXb,18,Female,right,Friday_PM,myself_first,visual_first,16,21,17,13,10,24,24,,4,12
R_8qsup33tRVfTtvr,18,Female,right,Friday_PM,partner_first,visual_first,16,21,17,13,10,24,24,,4,12
R_2RN0pPl7RMagB0t,18,Prefer not to say,right,Friday_PM,partner_first,visual_first,25,,10.5,20.5,6.1,9.3,17.6,,9.9,12.7
R_8dYfqkf1J316S9D,18,Female,right,Friday_PM,myself_first,visual_first,25,28,23,21,12,28,25,19,1,10
R_8GDCionDtnrox7S,17,Male,left,Friday_PM,partner_first,visual_first,28,25,23,21,12,28,25,19,1,10
R_8B9HGqvj6j6uEaU,18,Male,right,Friday_PM,myself_first,visual_first,9,4.5,11,9,15,,,18,8,12
R_8rkKjJSdPRSCfWI,22,Male,right,Friday_PM,partner_first,visual_first,18,20,17,18,13,22,,,,29
R_80pK20XfVhnUkBW,22,Male,right,Friday_PM,partner_first,visual_first,18,20,17,18,13,22,,,,29
R_2ckm54WF2HYdEsN,19,Female,right,Friday_PM,partner_first,visual_first,18,13,17,19,14,9,5,6,2,2
R_26MD8jkwQ2kFtCN,18,Female,right,Friday_PM,partner_first,visual_first,17.4,,11,2.8,13.1,12.4,21.8,20.9,17,
R_2sQCVq5bc8zawNY,17,Female,right,Friday_AM,myself_first,auditory_first,11.5,13.5,10,3,5.5,12,13,,,
R_2CV4NXqU0oyWjlD,18,Female,right,Friday_PM,partner_first,visual_first,13,13,13,28,21,14,20,17,11,14
R_8O8YkvS0syrAVdT,18,Female,right,Friday_PM,myself_first,visual_first,12,14,15,12,18,14,17,2,12,3
R_8VBqVhHhPJ5Uipb,18,Female,right,Friday_AM,partner_first,auditory_first,20,,17,11,13,20,7,,,30
R_2yaux7tC3mv887k,18,Male,right,Wednesday_AM,partner_first,visual_first,,5,29,24,18.5,,,16,16,
R_223a9he9GkswuL1,18,Male,left,Wednesday_AM,myself_first,visual_first,,,16,16,,,5,29,24,18.5
R_8qeoWCIMKrNZgLw,18,Female,right,Wednesday_AM,myself_first,visual_first,,15,,24,23,15,22,2,3,10
R_8q4dPRtpz0bzMyt,18,Female,right,Wednesday_AM,myself_first,visual_first,11,11,17.5,11,14,3,9,6,12,1
R_2y17iMsalMC97ZH,19,Female,right,Wednesday_AM,partner_first,auditory_first,17,10,19,11,9,4,1,16,18,8
R_2eRoFh0rbN4bhvz,18,Female,right,Wednesday_AM,partner_first,visual_first,23,,19,6,14,,,21,1,1
R_2fcJyOwnYuHUg,19,Female,right,Wednesday_AM,myself_first,visual_first,24,17,9,15.5,11,,,7,,
R_2YNHL8A1SGjU0KZ,17,Female,right,Wednesday_AM,partner_first,visual_first,19,14,15,16,24,23,,12,1.5,
R_8GvQuPU6Zvi6MNc,18,Male,right,Wednesday_AM,partner_first,auditory_first,16,15,22,11,13,19,20,,13,
R_2ugxZFz4jACiGAx,18,Female,right,Wednesday_AM,myself_first,visual_first,25,14,10.5,2,3,18,7,8.5,26,1
R_8q4pdVnxd1mHEsY,18,Female,right,Wednesday_AM,myself_first,visual_first,11.5,20,11,8,13,,7.3,4.5,13,
R_8zHfzrz6srS5Io5,18,Female,left,Wednesday_AM,myself_first,visual_first,4,16,5,10,18,27,27.5,,1,
R_8Bb76dCc3vQktlO,18,Female,right,Wednesday_AM,partner_first,visual_first,9.8,13,16,1,16.3,,,,,
R_2jdCvFfJztI6FIz,18,Male,right,Wednesday_AM,myself_first,auditory_first,10,14,4,13,7,,,15,28,16
R_2mk52lSc0DIMFUj,18,Female,right,Wednesday_AM,myself_first,visual_first,19,20,22,17,25,, ,, ,18
R_8mwDGNhPkF6JCzD,18,Female,right,Wednesday_AM,myself_first,auditory_first,12.5,11,6.5,15,23,13.5,,,21.5,
R_2IuWXeApT5B8djj,18,Female,right,Wednesday_AM,myself_first,visual_first,20,21,13,21,18,8,17,13,13,21
R_2GQa16OqtO1zZzH,20,Female,right,Wednesday_AM,partner_first,visual_first,23,20,19,19,22,,12,,12,8
R_2qdjkb1J0mHbd14,18,Female,right,Wednesday_AM,myself_first,visual_first,22,12,29,18,24,9,,4,12,
R_8BUXAduS0q6ivmN,18,Male,right,Wednesday_AM,myself_first,visual_first,27,23,,,24,,,,4,
R_8PRe3RuKkYEPeAd,17,Male,left,Wednesday_AM,partner_first,visual_first,13,4,12,6,6, ,12,7,8,10
R_2sBoutBB7vRYPRv,17,Female,left,Wednesday_AM,partner_first,auditory_first,,,,,,4,6,9,28,13
R_8n76SNYxijeSGJP,18,Female,right,Wednesday_AM,partner_first,auditory_first,28,15,18,9,18,7,25,16,13,3
R_8RR0jN4oH2FsW,16,Female,right,Wednesday_AM,partner_first,auditory_first,11.5,5,10,8,11,,13,18,12.5,12
R_2CQv5bTSK9AhSug,19,Female,right,Wednesday_AM,partner_first,visual_first,21,,12,9,,1,9,20,6,
R_2dimtIFGb4Mnwzt,19,Female,right,Wednesday_AM,myself_first,,1,8,8,12,8,10,11,5,19,7
R_8hEb0J1493atnvr,18,Female,right,Wednesday_AM,partner_first,visual_first,15,11,18,11,9,5,17,9,6,9
R_8712ypzz6ttcgDc,19,Female,right,Wednesday_AM,myself_first,visual_first,14.5,21.1,20.5,12.9,13.2,29,,1,,
R_8UYhxS5YH0URr5q,18,Female,right,Wednesday_AM,myself_first,auditory_first,25,5,24,20,17.5,,30,5.5,5,
R_8QQMvPa7VYyVHX3,19,Male,right,Wednesday_AM,partner_first,visual_first,17.1,11,14,15.2,13,5.7,28,7.8,,
R_2003A39wpFGqpKD,20,Female,right,Wednesday_AM,partner_first,visual_first,21.8,16.5,30,9.6,11.5,,20.5,11.5,,17
R_2HFz2rRU0D137eM,18,Female,right,Wednesday_AM,partner_first,visual_first,20.9,21,23.2,15,20.1,23.6,24.5,,,29.1
R_2kh6XR3GbTfOF6C,18,Female,right,Wednesday_AM,myself_first,visual_first,8.5,19,11.5,14,10.5,3,,24,,5
R_8FwixqNQsBldTLb,21,Female,right,Wednesday_AM,partner_first,auditory_first,,3,,,11.9,6.8,9,3,6,9
R_8iPsOA8AtCjuv0N,18,Female,right,Friday_AM,myself_first,visual_first,22,30,24,27,30,,,,,
R_2P5n4S7rfgq946U,18,Male,right,Friday_AM,myself_first,visual_first,20,18,18,19,18.5,,,,,
R_8fI60YsBiyMkLLT,18,Female,right,Friday_AM,partner_first,visual_first,22,18,21,16,14,,,,,
R_8im6aee3AfcGZPU,18,Female,right,Friday_AM,myself_first,visual_first,13,8,12,12,16,19,21,,1,
R_2Sl2oFbm0pFqjYt,18,Female,right,Friday_AM,partner_first,visual_first,18,8,9,10,9,20,2,7,11,5
R_2Dm3rObp5oto6I1,19,Female,right,Friday_AM,myself_first,visual_first,13,20,9,12,11,,7,16,13,
R_2Eh6A9YXt5JgN6V,18,Female,right,Friday_AM,partner_first,auditory_first,15,18,22,6,14,28,0,7,25,0
R_2Gf7T7CQqUNrNWn,19,Female,right,Friday_AM,partner_first,auditory_first,14.5,13.2,12,8,5,,18,21.5,,27.4
R_8RkDGdlkN8pe4sB,17,Female,right,Friday_AM,myself_first,visual_first,21,17.5,25.5,18,8,6,,19,17,
R_20RLxNEF5iEAFBn,18,Female,right,Friday_AM,myself_first,visual_first,1,16,22,6,21,27,,3,3,10
R_2mvT48GS4rEAwgN,18,Female,right,Friday_AM,myself_first,visual_first,15,,20,17,,2,13,,2,13
R_8FwCVGfzdGrLYVN,18,Female,right,Friday_AM,partner_first,visual_first,22,20,28,26,9,27,,2,3,12
R_2DbPvSrUFa1Bwhb,18,Female,right,Friday_AM,partner_first,visual_first,1,16,22,6,21,27,,2,3,12
R_8MIXPALPBgEroZ3,19,Female,right,Friday_AM,partner_first,auditory_first,8,20,9,11,4,13,,3,15,6
R_2OkK5d0awoGX1ec,18,Female,right,Friday_AM,myself_first,auditory_first,,18.7,13,18.5,14,7.5,25,16,22.5,17.9
R_8ml4blWXNEfHx3G,18,Female,right,Friday_AM,partner_first,auditory_first,14.1,17,19.5,7.5,9.2,21,11.6,14.1,15.8,18.3
R_2sDQw3bnJ67nkTT,18,Female,right,Friday_AM,myself_first,auditory_first,13,8,9,22,8,22,21,23,6,10
R_2Dc0obuLZxDuZ66,18,Female,right,Friday_AM,partner_first,visual_first,12,22.5,9.5,18,21,9,,25,15,29
R_8Zi0mUJ6ONTAfYt,17,Female,right,Friday_AM,myself_first,visual_first,7,5,5,16,4,4,14,28,3,24
R_2U9ECZVntpRqOvD,18,Female,right,Friday_AM,myself_first,visual_first,22.5,24,21.5,18,17,,4.5,,13,26.5
R_20HpR5Z0IUqL9NX,18,Female,right,Friday_AM,partner_first,auditory_first,27,11,17,20,15,,27,,20,
R_8efObpOx059QMQs,18,Female,right,Friday_AM,myself_first,visual_first,18,18,8,12,14,30,,27,,25
R_2O2C9wb4pF7TGOQ,18,Female,right,Friday_AM,partner_first,visual_first,5,23,20,8,16,20,,,30,17
R_2kGn20lQZWcKBIj,19,Female,right,Friday_AM,partner_first,auditory_first,13.2,16,26.8,26,15.1,16,25.3,27.4,6.1,
R_2saV7URQ5iNLfrf,21,Male,right,Friday_AM,myself_first,visual_first,14,15.2,11,19,9.3,,,,13,
R_8kFwxwM8dFYCquh,19,Female,left,Friday_AM,myself_first,visual_first,19,15,13,16,8,23,28,23,18,7
R_8NRqqfrVE1KzO5K,20,Male,right,Friday_AM,partner_first,auditory_first,14,9,11,8,10,29,15,22,,27
R_8fVspvQxuW9IC4e,19,Female,right,Friday_PM,myself_first,visual_first,9,9.5,8.5,15,1,2,10,4,6,11
R_8NK7nLsdmKjvATT,20,Female,right,Friday_PM,myself_first,auditory_first,24,16,26,17,24,,,,27,
R_8CeLPgrTkXBGO21,18,Female,right,Friday_PM,partner_first,auditory_first,14,12,14,13,5,18,13,12,11,4
R_8p3cYBoci2IzFl5,18,Female,right,Friday_PM,partner_first,,18,9.5,7.5,4,15,2,22,24,0,7
R_8NDpTHKfwZbNjCe,18,Female,right,Friday_PM,myself_first,visual_first,2,17,5.3,4.5,14.5,3.5,2,13.5,0.5,
R_8QGICEuLXiqdHZu,17,Female,right,Friday_PM,myself_first,visual_first,3,18,13,15,14,10,8,9,5,
R_2E5mtZF7d3LkRbT,19,Female,right,Friday_PM,myself_first,visual_first,15,23,25,20,19,21,23,18,15,29
R_8dPRFcYn4qi5wzP,18,Male,right,Friday_PM,partner_first,auditory_first,2,6,9,4,15,4,13,8,17,23
R_8rHNCkE4heonrNS,20,Female,right,Friday_PM,partner_first,visual_first,16,12,11,6,4,6,14,6,16,4
R_8OYcXkN4UdSoZ2x,20,Male,right,Friday_PM,myself_first,visual_first,15,13,12,9,13.5,27,,8,,16
R_2jm6iXk2MhPl4jx,18,Female,right,Friday_PM,partner_first,visual_first,17,9,13,13,11,,7,,,18
R_2VjpJXacDaq1BwB,18,Male,right,Friday_PM,myself_first,auditory_first,14,12,7,8,9,28,2,13,,1
R_2LPyI9KnNBLC0I9,19,Female,right,Friday_PM,myself_first,auditory_first,6,11,7,10,11,11,16,12,9,14
R_8IaxGMRIXqc0rab,19,Female,right,Friday_PM,myself_first,visual_first,15.5,,17.7,15,15,,,5.3,30,30
R_8E5jsLE2EB408TW,19,Female,right,Friday_PM,partner_first,visual_first,21.5,23,13,12.5,19,,,29,15,16
R_8kU1lyMh8GAMELg,18,Female,right,Friday_PM,partner_first,,19,24,13.5,13.8,19,,30,18,8,30
R_8OW0tIYukVlDfCF,18,Female,right,Friday_PM,myself_first,visual_first,16,15,13,13,4,15,22,23,,20
R_8daIEvGYdO7WIDU,27,Female,right,Friday_PM,partner_first,visual_first,12,11.5,5,8,8,24,3,4.5,,14
R_8HtpyO1dSqapWhy,19,Male,right,Friday_PM,partner_first,visual_first,19,13,13,15,,17,24,,,
R_8KNqAaxJ3pq5E5z,21,Female,right,Friday_PM,partner_first,visual_first,12.5,23,,6,3,23,17,5,8,0
R_2jYzEO1Fr3RAVxw,19,Female,right,Friday_PM,myself_first,visual_first,17,12.5,16,16,8.5,7.5,11.5,0,,22
R_81jiaSc0A6tQw5m,18,Female,right,Friday_PM,myself_first,visual_first,22,11,9.5,10,12.5,,23.5,9,,4
R_81np3JhODFg2HKN,18,Male,right,Friday_PM,partner_first,visual_first,16,12,14,14,16,,,,,16
R_2QmPZFXzGIXZ1Gp,18,Female,left,Friday_PM,myself_first,auditory_first,12,11,9,16,12,,19,,,
R_8gefwWslVFlkkg6,18,Female,right,Friday_PM,partner_first,visual_first,2,13,6,7,8,12,8,4,15,21
R_8pngSpPp4dP5iSN,17,Female,right,Friday_PM,partner_first,visual_first,22,19.2,10.4,12.4,19.6,9.6,,29.1,,17.8
R_2R7Q3EKGIfj6VWj,18,Female,right,Friday_PM,myself_first,visual_first,14.5,18,12.3,4.3,17.6,17.8,24.1,26.4,27.1,28.9
R_8PdGl4fC4Dp2s3D,18,Female,right,Friday_PM,partner_first,visual_first,20,25,25,22,20,,6,,,1.5
R_23rfIjHXMYn1g7T,20,Prefer not to say,right,Friday_PM,myself_first,auditory_first,25,28,20,13,17,13,15,7,10.5,15
R_8VmBholCkpBwvLd,19,Male,right,Friday_PM,myself_first,auditory_first,14,13,18,20,15,13,12,,8,10
R_8jBrSQw534KjWHT,19,Female,right,Friday_PM,partner_first,visual_first,17.5,14,12,7,14,27,12.5,29,25,28
