ppt,task,condition,group,score
ppt_20,task_01,A,2,11.7
ppt_20,task_02,A,2,6.4
ppt_20,task_03,A,2,10.2
ppt_20,task_04,A,2,11.8
ppt_20,task_05,A,2,11.3
ppt_20,task_06,B,2,10.7
ppt_20,task_07,B,2,9.1
ppt_20,task_08,B,2,11.9
ppt_20,task_09,B,2,9.6
ppt_20,task_10,B,2,10.4
