motiv,funding,schoolid,grade
4.14,4.79,Balfron High School,25.75
2.23,4.79,Balfron High School,38.64
3.8600000000000003,4.79,Balfron High School,34.57
3.55,4.79,Balfron High School,42.28
3.15,4.79,Balfron High School,62.68
4.68,4.79,Balfron High School,46.28
3.51,4.79,Balfron High School,78.13
4.63,4.79,Balfron High School,56.55
4.33,4.79,Balfron High School,28.5
3.2800000000000002,4.79,Balfron High School,58.31
3.16,4.79,Balfron High School,19.13
5.13,4.79,Balfron High School,28.56
4.2,4.79,Balfron High School,43.97
4.55,4.79,Balfron High School,48.16
5.09,4.79,Balfron High School,40.6
3.16,4.79,Balfron High School,25.91
2.85,4.79,Balfron High School,57.2
4.11,4.79,Balfron High School,37.72
2.8,4.79,Balfron High School,40.06
4.18,4.79,Balfron High School,26.9
3.76,4.79,Balfron High School,50.67
1.7799999999999998,4.79,Balfron High School,40.98
4.64,4.79,Balfron High School,59.44
4.3,4.79,Balfron High School,33.14
5.21,9.1,Fettes College,53.2
4.01,9.1,Fettes College,48.6
3.92,9.1,Fettes College,59.74
4.15,9.1,Fettes College,46.03
5.35,9.1,Fettes College,73.42
4.81,9.1,Fettes College,67.16
5.34,9.1,Fettes College,52.51
3.45,9.1,Fettes College,59.54
7.25,9.1,Fettes College,47.91
4.24,9.1,Fettes College,44.98
5.98,9.1,Fettes College,45.39
5.44,9.1,Fettes College,71.69
6.07,9.1,Fettes College,52.49
5.77,9.1,Fettes College,74.26
5.76,9.1,Fettes College,90.88
4.97,9.1,Fettes College,43.3
5.5,9.1,Fettes College,67.94
5.47,9.1,Fettes College,40.95
5.24,9.1,Fettes College,52.92
4.03,9.1,Fettes College,69.04
5.99,9.1,Fettes College,70.05
5.8,9.1,Fettes College,74.97
5.93,9.1,Fettes College,32.43
4.78,9.1,Fettes College,54.02
4.77,9.1,Fettes College,65.91
6.3100000000000005,9.1,Fettes College,54.05
6.38,9.1,Fettes College,87.07
4.4399999999999995,9.1,Fettes College,33.81
5.2,9.1,Fettes College,59.67
6.5600000000000005,9.1,Fettes College,50.97
5.35,7.27,Madras College,68.59
6.15,7.27,Madras College,56.45
5.65,7.27,Madras College,61.9
3.56,7.27,Madras College,59.9
3.4699999999999998,7.27,Madras College,46.1
5.33,7.27,Madras College,35.75
5.41,7.27,Madras College,58.89
5.09,7.27,Madras College,67.28
5.18,7.27,Madras College,59.62
5.1,7.27,Madras College,55.18
4.84,7.27,Madras College,79.18
5.41,7.27,Madras College,54.99
5.22,7.27,Madras College,42.48
5.16,7.27,Madras College,46.05
5.97,7.27,Madras College,54.12
3.6,7.27,Madras College,66.1
4.28,7.27,Madras College,43.75
4.42,7.27,Madras College,64.37
4.48,7.27,Madras College,53.71
4.93,7.27,Madras College,58.63
4.68,7.27,Madras College,74.53
4.48,7.27,Madras College,44.96
4.85,7.27,Madras College,50.76
3.73,7.27,Madras College,32.56
4.41,7.27,Madras College,71.37
5.22,7.27,Madras College,47.88
6.05,7.27,Madras College,52.67
6.12,7.27,Madras College,45.71
3.66,7.27,Madras College,66.23
5.79,7.27,Madras College,59.83
5.24,7.86,Calderglen High School,79.98
5.16,7.86,Calderglen High School,54.22
4.53,7.86,Calderglen High School,46.61
4.11,7.86,Calderglen High School,46.43
6.11,7.86,Calderglen High School,56.27
2.68,7.86,Calderglen High School,62.68
4.53,7.86,Calderglen High School,76.3
4.93,7.86,Calderglen High School,40.29
4.47,7.86,Calderglen High School,73.94
3.45,7.86,Calderglen High School,52.91
2.65,7.86,Calderglen High School,66.24
5.08,7.86,Calderglen High School,61.78
4.93,7.86,Calderglen High School,53.15
2.82,7.86,Calderglen High School,55.78
4.98,7.86,Calderglen High School,53.4
3.5700000000000003,7.86,Calderglen High School,37.27
4.86,7.86,Calderglen High School,55.06
4.61,7.86,Calderglen High School,57.27
5.85,7.86,Calderglen High School,69.41
3.45,7.86,Calderglen High School,46.85
3.3200000000000003,7.86,Calderglen High School,49.72
4.01,7.86,Calderglen High School,52.18
3.59,7.86,Calderglen High School,87.07
1.83,7.86,Calderglen High School,55
4.47,7.86,Calderglen High School,60.02
4.0600000000000005,7.86,Calderglen High School,75.47
3.45,7.86,Calderglen High School,51.43
4.95,7.86,Calderglen High School,71.79
2.74,7.86,Calderglen High School,58.68
3.42,7.86,Calderglen High School,51.99
3.75,5.16,St Roch's Secondary School,37.16
3.73,5.16,St Roch's Secondary School,51.96
5.54,5.16,St Roch's Secondary School,61.76
5.84,5.16,St Roch's Secondary School,32.79
5.59,5.16,St Roch's Secondary School,49.83
3.05,5.16,St Roch's Secondary School,19.27
3.54,5.16,St Roch's Secondary School,37.1
3.1399999999999997,5.16,St Roch's Secondary School,58.56
5.98,5.16,St Roch's Secondary School,63.26
4.73,5.16,St Roch's Secondary School,46.18
6.86,5.16,St Roch's Secondary School,51.07
5.06,5.16,St Roch's Secondary School,62.8
4.42,5.16,St Roch's Secondary School,48.52
5.21,5.16,St Roch's Secondary School,24.3
6.45,5.16,St Roch's Secondary School,52.88
5.35,5.16,St Roch's Secondary School,45.96
6.75,5.16,St Roch's Secondary School,50.73
6.72,5.16,St Roch's Secondary School,63.63
5.49,5.16,St Roch's Secondary School,31.06
3.4299999999999997,5.16,St Roch's Secondary School,64.75
6.45,5.16,St Roch's Secondary School,55.04
7.52,5.16,St Roch's Secondary School,64.61
6,5.16,St Roch's Secondary School,39.83
4.85,5.16,St Roch's Secondary School,79.67
5.29,5.16,St Roch's Secondary School,62.93
4.18,5.16,St Roch's Secondary School,54.3
5.45,5.16,St Roch's Secondary School,15.15
4.5,5.16,St Roch's Secondary School,38.81
5.06,5.16,St Roch's Secondary School,44.3
7.32,5.16,St Roch's Secondary School,41.03
4.32,7.05,Wallace Hall Academy,56.14
2,7.05,Wallace Hall Academy,32.88
3.88,7.05,Wallace Hall Academy,52.69
5.08,7.05,Wallace Hall Academy,50.83
5.12,7.05,Wallace Hall Academy,46.01
4.66,7.05,Wallace Hall Academy,49.24
5.09,7.05,Wallace Hall Academy,36.53
4.29,7.05,Wallace Hall Academy,34.14
5.27,7.05,Wallace Hall Academy,44.91
5.11,7.05,Wallace Hall Academy,61.61
5.67,7.05,Wallace Hall Academy,58.92
4.35,7.05,Wallace Hall Academy,43.44
7.88,7.05,Wallace Hall Academy,72.88
5.74,7.05,Wallace Hall Academy,70.31
5.41,7.05,Wallace Hall Academy,28.82
4.32,7.05,Wallace Hall Academy,30.54
2.54,7.05,Wallace Hall Academy,32.16
2.24,7.05,Wallace Hall Academy,49
5.84,7.05,Wallace Hall Academy,59.06
5.09,7.05,Wallace Hall Academy,65.18
2.43,7.05,Wallace Hall Academy,45.89
5.15,7.05,Wallace Hall Academy,48.43
4.14,7.05,Wallace Hall Academy,41.66
4.25,7.05,Wallace Hall Academy,69.76
4.25,7.05,Wallace Hall Academy,82.1
3.83,7.05,Wallace Hall Academy,53.82
3.74,7.05,Wallace Hall Academy,44
5.53,7.05,Wallace Hall Academy,61.71
5.16,7.05,Wallace Hall Academy,26.88
5.16,7.05,Wallace Hall Academy,51.43
3.46,7.65,The High School of Glasgow,67.79
4.14,7.65,The High School of Glasgow,64.2
3.69,7.65,The High School of Glasgow,25.34
4.32,7.65,The High School of Glasgow,61.03
4.21,7.65,The High School of Glasgow,53.84
5.6899999999999995,7.65,The High School of Glasgow,61.19
4.22,7.65,The High School of Glasgow,49.98
3.98,7.65,The High School of Glasgow,50.76
4.4399999999999995,7.65,The High School of Glasgow,40.22
3.79,7.65,The High School of Glasgow,61.88
3.58,7.65,The High School of Glasgow,71.99
6.9,7.65,The High School of Glasgow,50.5
4.93,7.65,The High School of Glasgow,43.19
4.51,7.65,The High School of Glasgow,65.45
4.05,7.65,The High School of Glasgow,50.27
3,7.65,The High School of Glasgow,23.32
4.93,7.65,The High School of Glasgow,65.55
4.09,7.65,The High School of Glasgow,31.97
2.13,7.65,The High School of Glasgow,62.14
2.84,7.65,The High School of Glasgow,38.75
5.18,7.65,The High School of Glasgow,51.67
5.1,7.65,The High School of Glasgow,58.71
6.0600000000000005,7.65,The High School of Glasgow,31.54
2.2,7.65,The High School of Glasgow,55.9
4.4,7.65,The High School of Glasgow,48.96
3.42,7.65,The High School of Glasgow,51.49
4.72,7.65,The High School of Glasgow,62.96
5.49,7.65,The High School of Glasgow,54.51
3.77,7.65,The High School of Glasgow,59.71
3.49,7.65,The High School of Glasgow,42.79
3.9299999999999997,5.15,Rothesay Academy,33.35
4.48,5.15,Rothesay Academy,46.86
3.58,5.15,Rothesay Academy,51.71
5.19,5.15,Rothesay Academy,42.89
4.4,5.15,Rothesay Academy,23.92
5.4,5.15,Rothesay Academy,56.81
4.82,5.15,Rothesay Academy,39.28
5.71,5.15,Rothesay Academy,51.14
3.92,5.15,Rothesay Academy,59.36
4.9,5.15,Rothesay Academy,34.6
4.16,5.15,Rothesay Academy,50.28
3.76,5.15,Rothesay Academy,54.63
7.15,5.15,Rothesay Academy,48.68
5.29,5.15,Rothesay Academy,41.58
5.41,5.15,Rothesay Academy,42.06
3.98,5.15,Rothesay Academy,40.18
4.34,5.15,Rothesay Academy,31.67
3.24,5.15,Rothesay Academy,41.49
5.98,5.15,Rothesay Academy,47.72
4.54,5.15,Rothesay Academy,39.69
4.97,5.15,Rothesay Academy,45.14
5.46,5.15,Rothesay Academy,34.59
3.85,5.15,Rothesay Academy,32.24
4.66,5.15,Rothesay Academy,44.72
3.6799999999999997,5.15,Rothesay Academy,34.05
4.43,5.15,Rothesay Academy,43.7
5.57,5.15,Rothesay Academy,37.66
2.55,5.15,Rothesay Academy,46.82
3.29,5.15,Rothesay Academy,24.25
4.39,5.15,Rothesay Academy,48.24
3.15,5.47,Kelvinside Academy,43.91
4.28,5.47,Kelvinside Academy,51.65
4.15,5.47,Kelvinside Academy,35.56
4.21,5.47,Kelvinside Academy,32.23
5.8,5.47,Kelvinside Academy,62.23
5.48,5.47,Kelvinside Academy,28.74
6.65,5.47,Kelvinside Academy,43.43
4.75,5.47,Kelvinside Academy,36.88
5.66,5.47,Kelvinside Academy,36.7
4.63,5.47,Kelvinside Academy,25.91
5.17,5.47,Kelvinside Academy,38.11
4.73,5.47,Kelvinside Academy,47.07
7.27,5.47,Kelvinside Academy,62.45
6.79,5.47,Kelvinside Academy,35.35
3.73,5.47,Kelvinside Academy,44.42
6.3,5.47,Kelvinside Academy,40.98
5.92,5.47,Kelvinside Academy,40.6
5.03,5.47,Kelvinside Academy,40.76
5.88,5.47,Kelvinside Academy,58.59
4.1899999999999995,5.47,Kelvinside Academy,50.84
6.2,5.47,Kelvinside Academy,37.15
5.17,5.47,Kelvinside Academy,35.85
4.42,5.47,Kelvinside Academy,32.53
5.75,5.47,Kelvinside Academy,58.5
3.88,5.47,Kelvinside Academy,31.23
4.17,5.47,Kelvinside Academy,26.93
5.18,5.47,Kelvinside Academy,32.54
6.26,5.47,Kelvinside Academy,62.47
4.94,5.47,Kelvinside Academy,44.07
5.68,5.47,Kelvinside Academy,27.25
4.82,3.79,Fernhill School,36.75
4.16,3.79,Fernhill School,31.4
5.87,3.79,Fernhill School,32.32
5.16,3.79,Fernhill School,47.18
4.73,3.79,Fernhill School,49.38
6.85,3.79,Fernhill School,42.73
5.9,3.79,Fernhill School,16.6
6.09,3.79,Fernhill School,27.52
5.76,3.79,Fernhill School,57.59
6.4,3.79,Fernhill School,55.24
6.67,3.79,Fernhill School,60
6,3.79,Fernhill School,38.49
4.86,3.79,Fernhill School,45.51
4.99,3.79,Fernhill School,52.17
7.09,3.79,Fernhill School,63.5
5.59,3.79,Fernhill School,28.61
5.47,3.79,Fernhill School,33.05
3.7800000000000002,3.79,Fernhill School,14.19
5.07,3.79,Fernhill School,34.01
4.66,3.79,Fernhill School,26.55
5.19,3.79,Fernhill School,48.47
5.2,3.79,Fernhill School,47.66
5.73,3.79,Fernhill School,41.55
4.96,3.79,Fernhill School,27.89
5.1,3.79,Fernhill School,46.36
5.12,3.79,Fernhill School,39.86
3.12,3.79,Fernhill School,31.05
5.6,3.79,Fernhill School,66.33
2.92,3.79,Fernhill School,39.95
7.17,3.79,Fernhill School,70.24
5.05,6.77,Castlebay School,51.91
4.21,6.77,Castlebay School,25.87
4.76,6.77,Castlebay School,44.11
6.48,6.77,Castlebay School,56.58
5.47,6.77,Castlebay School,57.97
6.3,6.77,Castlebay School,45.64
4.38,6.77,Castlebay School,73.01
4.23,6.77,Castlebay School,45.5
4.67,6.77,Castlebay School,43.64
5.02,6.77,Castlebay School,56
5.53,6.77,Castlebay School,51.25
5.18,6.77,Castlebay School,28.27
5.31,6.77,Castlebay School,50.84
5.57,6.77,Castlebay School,31.7
5.91,6.77,Castlebay School,59.65
5.19,6.77,Castlebay School,51.74
4.3100000000000005,6.77,Castlebay School,67.37
4.8,6.77,Castlebay School,57.9
6.13,6.77,Castlebay School,38.82
4.68,6.77,Castlebay School,54.46
5.63,6.77,Castlebay School,69.67
5.38,6.77,Castlebay School,51.02
5.31,6.77,Castlebay School,53.39
3.8600000000000003,6.77,Castlebay School,19.9
4.18,6.77,Castlebay School,32.38
5.45,6.77,Castlebay School,62.65
5.39,6.77,Castlebay School,51.87
3.6100000000000003,6.77,Castlebay School,48.28
5.79,6.77,Castlebay School,48.39
5.32,6.77,Castlebay School,66.48
3.1,6.25,Braes High School,44.19
2.8,6.25,Braes High School,31.79
4.35,6.25,Braes High School,72.12
3.05,6.25,Braes High School,39.98
2.98,6.25,Braes High School,49.89
2.32,6.25,Braes High School,28.72
3.7,6.25,Braes High School,51.35
4.24,6.25,Braes High School,55.14
4.52,6.25,Braes High School,29.34
3.21,6.25,Braes High School,53.95
3.26,6.25,Braes High School,42.39
3.17,6.25,Braes High School,58.31
3.7199999999999998,6.25,Braes High School,31.31
3.7,6.25,Braes High School,41.51
2.96,6.25,Braes High School,62.04
2.75,6.25,Braes High School,43.19
2.29,6.25,Braes High School,34.12
3.87,6.25,Braes High School,37.3
4.12,6.25,Braes High School,39.96
4.14,6.25,Braes High School,28.99
4.11,6.25,Braes High School,56.52
3.0700000000000003,6.25,Braes High School,20.32
2.1,6.25,Braes High School,35.82
1.0899999999999999,6.25,Braes High School,52.81
3.1100000000000003,6.25,Braes High School,33.88
4.02,6.25,Braes High School,68.81
3.75,6.25,Braes High School,45.69
2.58,6.25,Braes High School,52.92
3.21,6.25,Braes High School,29.46
3.92,6.25,Braes High School,52.32
5.74,7.7,Dyce Academy,71.55
6.46,7.7,Dyce Academy,66.46
6.99,7.7,Dyce Academy,80.53
5.82,7.7,Dyce Academy,66.43
7.76,7.7,Dyce Academy,77.63
4.9,7.7,Dyce Academy,65.45
6.47,7.7,Dyce Academy,78.06
6.9399999999999995,7.7,Dyce Academy,76.12
7.109999999999999,7.7,Dyce Academy,67.82
6.39,7.7,Dyce Academy,64.88
7.720000000000001,7.7,Dyce Academy,79.22
3.83,7.7,Dyce Academy,75.02
8.69,7.7,Dyce Academy,53.14
8.370000000000001,7.7,Dyce Academy,70.85
6.8100000000000005,7.7,Dyce Academy,71.08
7.0600000000000005,7.7,Dyce Academy,69.57
4.04,7.7,Dyce Academy,59.89
4.84,7.7,Dyce Academy,44.34
5.46,7.7,Dyce Academy,69.06
7.35,7.7,Dyce Academy,53.7
6.47,7.7,Dyce Academy,49.58
5.31,7.7,Dyce Academy,56.4
6.23,7.7,Dyce Academy,48.28
6.36,7.7,Dyce Academy,78.04
5.04,7.7,Dyce Academy,65.07
7.32,7.7,Dyce Academy,74.36
6.42,7.7,Dyce Academy,55.31
6.54,7.7,Dyce Academy,68.42
6.02,7.7,Dyce Academy,56.8
6.92,7.7,Dyce Academy,60.16
6.66,7.36,Moffat Academy,58.04
5.52,7.36,Moffat Academy,54.54
5.06,7.36,Moffat Academy,58.78
4.25,7.36,Moffat Academy,42.97
5.84,7.36,Moffat Academy,69.36
6.32,7.36,Moffat Academy,82.32
5.53,7.36,Moffat Academy,52.35
4.27,7.36,Moffat Academy,62.77
6.83,7.36,Moffat Academy,52.3
6.08,7.36,Moffat Academy,50.69
4.09,7.36,Moffat Academy,40.66
5.61,7.36,Moffat Academy,57.1
5.08,7.36,Moffat Academy,32.31
5.09,7.36,Moffat Academy,74.63
5.01,7.36,Moffat Academy,55.51
4.47,7.36,Moffat Academy,68.14
6.25,7.36,Moffat Academy,74.22
3.9299999999999997,7.36,Moffat Academy,48.68
4.32,7.36,Moffat Academy,66.86
4.94,7.36,Moffat Academy,55.16
4.9,7.36,Moffat Academy,46.63
5.87,7.36,Moffat Academy,40.04
3.15,7.36,Moffat Academy,55.85
5.71,7.36,Moffat Academy,75.63
5.24,7.36,Moffat Academy,51
5.9,7.36,Moffat Academy,37.51
4.85,7.36,Moffat Academy,56.82
7.18,7.36,Moffat Academy,47.61
4.67,7.36,Moffat Academy,42.03
8.8,7.36,Moffat Academy,60.94
4.23,7.03,St Ninian's High School,64.96
6.36,7.03,St Ninian's High School,42.43
6.64,7.03,St Ninian's High School,56.71
4.3,7.03,St Ninian's High School,60.07
5.53,7.03,St Ninian's High School,63.68
5.46,7.03,St Ninian's High School,39.6
4.37,7.03,St Ninian's High School,76.69
7.390000000000001,7.03,St Ninian's High School,52.94
5.32,7.03,St Ninian's High School,67.49
7.24,7.03,St Ninian's High School,59.66
6.8,7.03,St Ninian's High School,59.12
5.63,7.03,St Ninian's High School,39.97
4.13,7.03,St Ninian's High School,64.32
6.57,7.03,St Ninian's High School,79.24
6.48,7.03,St Ninian's High School,59.01
3.8899999999999997,7.03,St Ninian's High School,47.31
5.86,7.03,St Ninian's High School,66.87
6.48,7.03,St Ninian's High School,55.48
5.2,7.03,St Ninian's High School,51.58
6.09,7.03,St Ninian's High School,67.01
6.26,7.03,St Ninian's High School,46.8
4.69,7.03,St Ninian's High School,45.11
5.29,7.03,St Ninian's High School,72.9
4.32,7.03,St Ninian's High School,51.49
4.08,7.03,St Ninian's High School,72.15
5.91,7.03,St Ninian's High School,48.2
6.02,7.03,St Ninian's High School,84.13
4.46,7.03,St Ninian's High School,67.79
6.97,7.03,St Ninian's High School,54.2
5.37,7.03,St Ninian's High School,50.89
2.86,6.89,Carluke High School,71.02
5.65,6.89,Carluke High School,57.31
4.76,6.89,Carluke High School,66.66
6.38,6.89,Carluke High School,44.59
5.51,6.89,Carluke High School,47.39
4.12,6.89,Carluke High School,38.46
3.96,6.89,Carluke High School,64.39
4.9,6.89,Carluke High School,68.22
6.0600000000000005,6.89,Carluke High School,50.2
4.16,6.89,Carluke High School,37.99
4.5,6.89,Carluke High School,78.26
5.6899999999999995,6.89,Carluke High School,64.12
6.22,6.89,Carluke High School,58.49
4.64,6.89,Carluke High School,30.88
6.24,6.89,Carluke High School,53.07
5.79,6.89,Carluke High School,57.53
3.71,6.89,Carluke High School,51.06
5.65,6.89,Carluke High School,58.83
6.39,6.89,Carluke High School,58.48
5.33,6.89,Carluke High School,51.57
5.96,6.89,Carluke High School,60.75
6.55,6.89,Carluke High School,61.77
5.4,6.89,Carluke High School,44.16
6.24,6.89,Carluke High School,76.84
4.13,6.89,Carluke High School,71.57
4.72,6.89,Carluke High School,54.23
5.07,6.89,Carluke High School,47.89
4.32,6.89,Carluke High School,45.41
3.54,6.89,Carluke High School,74
5.51,6.89,Carluke High School,61.26
2.71,4.59,Alness Academy,26
3.76,4.59,Alness Academy,35.03
4.74,4.59,Alness Academy,71.18
5.39,4.59,Alness Academy,44.71
5.8100000000000005,4.59,Alness Academy,77.02
4.21,4.59,Alness Academy,23.86
4.45,4.59,Alness Academy,38.81
3.3,4.59,Alness Academy,73.64
6.08,4.59,Alness Academy,37.53
4.05,4.59,Alness Academy,15.09
3.8,4.59,Alness Academy,29.54
2.52,4.59,Alness Academy,37.26
4.82,4.59,Alness Academy,54.31
2.91,4.59,Alness Academy,44.39
2.26,4.59,Alness Academy,18.39
4.4,4.59,Alness Academy,55.27
4.66,4.59,Alness Academy,52.47
3.02,4.59,Alness Academy,33.11
3.87,4.59,Alness Academy,32.67
2.47,4.59,Alness Academy,44.24
5.06,4.59,Alness Academy,59.83
4.14,4.59,Alness Academy,29.19
4.93,4.59,Alness Academy,61.23
3.49,4.59,Alness Academy,44.13
5.44,4.59,Alness Academy,47.18
4.05,4.59,Alness Academy,48.31
5.48,4.59,Alness Academy,31.06
3.92,4.59,Alness Academy,69.59
5.08,4.59,Alness Academy,60.38
6.03,4.59,Alness Academy,42.91
4.53,4.28,Lomond School,34.62
2.99,4.28,Lomond School,36.14
4,4.28,Lomond School,17.75
5.79,4.28,Lomond School,61.43
4.04,4.28,Lomond School,39.74
4.03,4.28,Lomond School,42.75
5.49,4.28,Lomond School,45.12
4.49,4.28,Lomond School,38.02
5.21,4.28,Lomond School,43.96
6.77,4.28,Lomond School,53.95
5.09,4.28,Lomond School,57.39
6.71,4.28,Lomond School,4.73
4.12,4.28,Lomond School,28.13
3.99,4.28,Lomond School,30.61
3.24,4.28,Lomond School,28.19
5.39,4.28,Lomond School,24.36
5.8100000000000005,4.28,Lomond School,47.55
4.17,4.28,Lomond School,28.77
5.26,4.28,Lomond School,36.24
6.07,4.28,Lomond School,41.86
4.57,4.28,Lomond School,51.51
5.1,4.28,Lomond School,47.72
5.54,4.28,Lomond School,37.29
4.76,4.28,Lomond School,52.56
5.42,4.28,Lomond School,42.02
5.8100000000000005,4.28,Lomond School,49.87
6.6,4.28,Lomond School,47.57
5.62,4.28,Lomond School,36.27
3.8600000000000003,4.28,Lomond School,28.15
3.7800000000000002,4.28,Lomond School,48.04
5.9399999999999995,5.93,Boroughmuir High School,21.34
5.09,5.93,Boroughmuir High School,67.68
4.52,5.93,Boroughmuir High School,53.66
5.35,5.93,Boroughmuir High School,43.84
4.94,5.93,Boroughmuir High School,51.43
7.74,5.93,Boroughmuir High School,65.48
4.11,5.93,Boroughmuir High School,55.82
3.58,5.93,Boroughmuir High School,29.98
5.48,5.93,Boroughmuir High School,63.46
6.1,5.93,Boroughmuir High School,43.31
5.77,5.93,Boroughmuir High School,65.38
6.58,5.93,Boroughmuir High School,51.98
6.84,5.93,Boroughmuir High School,77.3
4.08,5.93,Boroughmuir High School,65.81
5.63,5.93,Boroughmuir High School,39.26
4.58,5.93,Boroughmuir High School,49.28
4.46,5.93,Boroughmuir High School,68.09
4.85,5.93,Boroughmuir High School,61.35
5.08,5.93,Boroughmuir High School,52.25
4.57,5.93,Boroughmuir High School,46.9
8.36,5.93,Boroughmuir High School,51.95
2.72,5.93,Boroughmuir High School,55.2
