mobility,balance,endurance,flexibility,strength,coordination,fine_motor,respiratory
507,22.36,16.59,10,32,1.484,19.12,599
607,25.96,16.98,11,42,1.548,20.75,520
530,21.66,18.03,11,38,1.416,18.47,701
627,25.45,12.32,8,23,1.94,23.44,479
528,19.12,15.44,8,31,1.654,21.1,481
631,21.21,16.08,12,49,1.808,22.82,548
514,19.71,15.57,10,27,1.382,17.6,522
528,17.71,14.11,10,31,1.551,18.67,606
516,17.12,14.29,10,32,1.566,19.07,556
499,17.56,14.22,9,39,1.393,19.43,518
535,17.74,12.63,9,29,1.455,18.93,490
497,16.52,15.78,9,32,1.216,17.22,617
549,24.79,9.1,10,33,1.584,20.13,332
407,15.17,18.63,8,28,1.061,15.63,671
426,18.74,12.07,8,36,1.253,18.28,397
454,11.35,17.55,9,19,1.317,15.92,674
501,11.98,18.65,8,25,1.328,17.57,687
424,19.3,16.06,8,30,1.324,18.58,646
490,22.55,11.39,9,32,1.413,18.77,427
585,23.17,14.36,10,37,1.741,22.03,636
508,22.62,14.49,9,36,1.69,21.62,525
546,20.29,13.42,9,35,1.306,19.32,540
464,15.49,13.7,9,35,1.484,19.59,594
566,21.89,16.12,9,35,1.544,20.84,576
588,22.76,12.5,10,43,1.667,21.95,440
652,22.09,15.36,9,31,1.802,22.47,553
457,15.05,16.1,9,25,1.351,17.18,635
444,12.91,18.54,10,32,0.998,14.99,711
471,18.51,12.79,9,36,1.317,18.56,439
568,29.95,15.12,11,48,1.767,22.89,564
490,18.16,14.47,8,37,1.451,20.88,603
614,22.56,15.38,10,40,1.758,22.11,632
522,16.43,16.16,10,36,1.331,18.21,571
580,24.64,12.34,11,45,1.621,21.58,391
564,23.64,16.8,9,31,1.811,21.83,586
543,21.23,16.24,11,40,1.54,19.77,650
