ID,age,gender,handedness,lab_session,participation_order,first_condition,visualcue_attempt1,visualcue_attempt2,visualcue_attempt3,visualcue_attempt4,visualcue_attempt5,auditorycue_attempt1,auditorycue_attempt2,auditorycue_attempt3,auditorycue_attempt4,auditorycue_attempt5
R_1gi2MXPvyTbXlKG,18,Female,Right,Tuesday_AM,Partner_First,Auditory_First,11.5,10.5,11,13,14.5,10,19,17,13,12
R_1mjW4aJQp0CEMwC,17,Female,Right,Tuesday_AM,Myself_First,Visual_First,10,4,4,21,20,20,22,18,17,23
R_DGggNleKSUHhTkB,20,Male,Right,Tuesday_AM,Partner_First,Visual_First,17,16,12,8,20,19,4,2,8,14
R_OJAYDGCEPcPArbr,19,Male,Right,Tuesday_AM,Partner_First,Auditory_First,NA,NA,NA,NA,NA,5.5,19,15.5,1.3,2.3
R_272ODpvjScaaAW5,19,Male,Right,Tuesday_AM,Partner_First,NA,12.5,14,9,0.1,14,NA,27.5,28.5,16.5,15.5
R_2ClWrTOyW8qZ6pb,17,Female,Right,Tuesday_AM,Partner_First,Visual_First,17,16,16,22,11,15,30,14,12,18
R_3RvHXuzRHve5VNI,18,Female,Right,Tuesday_AM,Myself_First,NA,17,16,16,22,11,15,30,14,12,18
R_1mmvIts2Jmtdhtu,20,Female,Right,Tuesday_AM,Myself_First,Visual_First,26,18,10,15,15,17,28,1,27,20.5
R_2VvwmAE2xUtHDmI,19,Female,Right,Tuesday_AM,Partner_First,Visual_First,26,18,10,15,15,17,28,1,27,20.5
R_3nDfeoa9SxRhied,18,Female,Right,Tuesday_AM,Myself_First,Visual_First,12.9,18.4,13.2,7.2,15.8,10,22.4,26.3,5.2,15.4
R_2dGrxxW1n1ZtOC2,18,Female,Left,Tuesday_AM,Myself_First,Auditory_First,10.9,8,1,9,16.5,15.5,27,18,17.9,23.5
R_2YtT1M0LPgnAlG6,19,Male,Right,Tuesday_AM,Partner_First,Auditory_First,20.4,11.4,22.9,16.3,16.3,5.5,19,15.5,1.3,2.3
R_28YifxPHIaR9JgG,19,Male,Right,Tuesday_AM,Partner_First,Auditory_First,11,12.2,18.8,15.7,12.4,8.7,16.5,30,34,14.3
R_Z34JVgzpaWPpXa1,20,Female,Right,Tuesday_AM,Myself_First,Visual_First,21,27,16,15,23,27,23,7,16,7
R_en5kdpOsPAFs2Dn,19,Female,Right,Tuesday_AM,Myself_First,Visual_First,19,25.5,17.4,14,16,NA,NA,NA,NA,NA
R_W0Ard3oRCBNgXrr,19,Female,Right,Tuesday_AM,Myself_First,Visual_First,24,12,21,16,22,21,13,1,16,27
R_C4DCwprFCJirJ8R,19,Female,Right,Tuesday_AM,Myself_First,Visual_First,21,16,24,12,10,21,11,1,16,27
R_bekB2Udtyr12r1T,18,Female,Right,Tuesday_AM,Partner_First,Visual_First,6,9,11,11,16,7,20,20,30,30
R_1DnY59cVEaCjjbV,18,Female,Right,Tuesday_AM,Partner_First,Visual_First,15,25.4,28.1,11.5,23.5,7.4,19.1,26.1,28.6,28.6
R_1mQVcJ3SjUL7AFE,18,Female,Right,Tuesday_AM,Myself_First,Visual_First,15,25.4,28.1,11.5,23.5,7.4,19.1,26,28.6,28.6
R_8G007BusMBfgB8J,18,Female,Right,Tuesday_AM,Myself_First,Visual_First,10,15,15,9.5,15,10,10,19,7,14
R_3FWmStnriuBsjLA,18,Female,Right,Tuesday_AM,Partner_First,Auditory_First,11.5,22,11,22.5,13,NA,NA,NA,NA,NA
R_dgPjB0UhOkavKYp,18,Female,Right,Tuesday_AM,Myself_First,Visual_First,19,20,26.5,20.5,5.5,5.5,22,16.5,13.5,1.5
R_1pmMBNUJeWJzINx,18,Female,Right,Tuesday_AM,Myself_First,Visual_First,17.5,3,18,19,17,24,28,5,19,4
R_25GFMuotxXuPBM9,19,Female,Right,Tuesday_AM,Partner_First,Visual_First,28,8,29.5,14,10,23.5,20,11.5,11,6
R_2Cgnh8XMx9seNdU,19,Female,Right,Tuesday_AM,Myself_First,Visual_First,15,15.5,15,18,17,30,12,25,30,30
R_0pO5kBp1TVFWphv,18,Female,Right,Tuesday_AM,Partner_First,Visual_First,10,10,12,3,5,15,20,NA,NA,2
R_2aWvKKGyA30yLsQ,18,Female,Right,Tuesday_AM,Partner_First,Visual_First,19,29,15,20,15,27,18,12,27,10
R_2tF3UODw6RW3Tf7,33,Female,Right,Tuesday_AM,Partner_First,Visual_First,26,19,4,16,18,24,10,1,28,28
R_3P5MWnVwceDZYNt,19,Female,Right,Tuesday_AM,Myself_First,Visual_First,24,13,18,10,15,14,17,24,10,30
R_x3qGhjHkO8LQiml,18,Female,Right,Tuesday_AM,Partner_First,Visual_First,18,13,17,5,7,4,4,11,22,9
R_21pUjV6VdBC0wd9,18,Female,Right,Tuesday_AM,Partner_First,Visual_First,5.3,13.5,10.4,9.5,10.2,19.5,21,29.5,11.4,23.5
R_2SCclpN5RauhUjM,18,Prefer not to say,Right,Tuesday_AM,Myself_First,Auditory_First,12.5,11.5,1.5,3.5,14.5,0.5,8.5,0.2,2,11.5
R_1JLrd53kg3n06VV,18,Female,Right,Tuesday_AM,Myself_First,Auditory_First,15,6,16,14,18,8,30,23,30,1
R_3m1w3ed0eKH3jOc,18,Female,Right,Tuesday_AM,Myself_First,Auditory_First,9,7,12,7,10,4,3,22,16,4
R_30knZKPeK0W1hOy,18,Male,Right,Tuesday_AM,Myself_First,Visual_First,10,11,6,9,9,3,4,5,22,12
R_27J64DBLsIbySjK,17,Female,Right,Tuesday_AM,Partner_First,Visual_First,14,20,13.5,26.5,23,30,30,30,30,19
R_1CrMDnknanJdhCL,18,Female,Right,Tuesday_AM,Partner_First,Visual_First,10.5,12,11,10,5,20,19,7,13,17
R_1qaDSeVGmUMkkuu,18,Male,Right,Tuesday_AM,Partner_First,NA,8,15,2,13,11,23,24,14,19,27
R_1q9yjwDY1XgjblN,18,Female,Right,Tuesday_AM,Partner_First,Auditory_First,1,22,23,16,6,10,9,8,13,10
R_3rMsHvD15iz07vQ,18,Female,Right,Tuesday_AM,Partner_First,Visual_First,13,12,15,14,16,29,30,13,26,8
R_1PYwdz3Kol0ZvLj,18,Female,Right,Tuesday_AM,Partner_First,NA,15,17,14,14,15,27,29,15,23,19
R_2sR5jQMqINXLDDX,18,Female,Right,Tuesday_AM,Partner_First,Visual_First,28,2.5,3,19,14.5,20,26,5.5,NA,NA
R_3sBoTIZhQw1890u,18,Female,Right,Tuesday_AM,Myself_First,Auditory_First,16,10,15,19,13,21,21,30,30,30
R_qW3ZSbUjEqU9Wtr,19,Female,Right,Friday_PM,Partner_First,Auditory_First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_324w4ve2EiPnuE1,19,Female,Right,Tuesday_AM,Partner_First,Auditory_First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_ukVUJ9SOs8LCkqB,19,Female,Right,Friday_PM,Myself_First,Visual_First,22,19,25,18,NA,NA,NA,NA,3,NA
R_1CdnuGOMTMFtaYf,17,Female,Right,Friday_PM,Partner_First,Visual_First,NA,24,30,15,20,22,NA,6,NA,NA
R_27pU8l9qQzYuJHc,18,Female,Right,Friday_PM,Myself_First,Auditory_First,5,10,10,17,11,30,3.5,8,11,7
R_28zygR6LvWWKwbn,19,Female,Right,Friday_PM,Partner_First,Visual_First,28,23,22,15,14,5,NA,6,14,1
R_1EXaBJYGSQyrHPz,20,Female,Right,Friday_PM,Myself_First,Auditory_First,25,20,17,14,6,17,6,6,11,12
R_2UgukziUSLHObIf,18,Female,Right,Friday_PM,Partner_First,Visual_First,25,10,6.5,13.5,12,20,7,21,17,4
R_3k1zQ5Ac19fkXeR,19,Female,Right,Friday_PM,Myself_First,Visual_First,13,5,7,5,6,25,17,17,4,26
R_1LGTQ6Bz2I5CDLS,35,Male,Right,Friday_PM,Myself_First,Visual_First,26,22,16.5,26.5,21,3,12.5,17,8.5,23
R_3DknE84mk545QvH,17,Female,Right,Friday_PM,Partner_First,Auditory_First,22,15,NA,15,14,NA,13,NA,1,NA
R_1jWl4dO3s43jTVT,18,Female,Left,Friday_PM,Myself_First,Auditory_First,NA,NA,10,15,6,17,NA,NA,25,21
R_2xEKSF1Ij8J9UN0,18,Female,Right,Friday_PM,Myself_First,Visual_First,15,16,4,4,4,5,4,4,4,12
R_BwVFWuLQs2DtD6F,17,Female,Right,Friday_PM,Partner_First,Visual_First,18,7,9,11,11,5,6,8,26,11
R_111IEbZ1XogSIaV,17,Female,Right,Friday_PM,Myself_First,Visual_First,22,22,22,30,23,NA,NA,12,25,NA
R_shR1DcH2ZAYAUKt,21,Female,Right,Friday_PM,Myself_First,Visual_First,0,8,13,11,12,1,0,26,22,9
R_1LOuHqwJIHZ0imn,20,Female,Right,Friday_PM,Partner_First,Visual_First,6,6,18,22,6,20,18,25,6,2
R_3lREd2OzAsPVTvD,17,Female,Right,Friday_PM,Myself_First,Visual_First,20,16,18,12,17,26,5,27,25,10
R_1o0XPhkaEC5bAgA,19,Male,Left,Friday_PM,Partner_First,Visual_First,NA,14,NA,8,11,NA,20,NA,27,24
R_1dHsVm9xpxzHHY7,18,Female,Right,Friday_PM,Partner_First,Visual_First,16,11,6,12,14,22,0,1,11,1
R_OfMociK1qw24VeV,19,Female,Right,Friday_PM,Partner_First,Visual_First,0,11,13,14.5,0,0,27,17.5,29,29
R_2tEbtU1Z9HgnUHs,19,Female,Right,Friday_PM,Partner_First,Visual_First,18,19,15,14,12,NA,NA,NA,NA,NA
R_5ANqRt3leHeCyrv,19,Female,Right,Friday_PM,Myself_First,Auditory_First,18,19,15,14,12,NA,NA,NA,NA,NA
R_247p3oW6J0p4jOv,18,Female,Right,Friday_PM,Partner_First,Visual_First,17,0,11,6,1,0,0,0,0,23
R_1QxAN7aqBJaqX,18,Male,Left,Friday_PM,Myself_First,Visual_First,0,11,13,14.5,0,0,27,17.5,29,29
R_3scPSj6d5mfZjCH,19,Male,Right,Friday_PM,Myself_First,Auditory_First,9.2,13,14.5,12.2,11.8,20.5,17.5,0,12,0
R_d4CRnCeULzBa6gF,20,Female,Right,Friday_PM,Partner_First,Visual_First,25.6,21.8,20.8,14.8,12,0,0,0,30,18.2
R_1ibz29xTwIzRcG9,17,Male,Right,Friday_PM,Partner_First,NA,21.5,24,18.5,21,13,0,14,26,28,17
R_5oGqbTPb6Soj9hn,18,Male,Right,Friday_PM,Partner_First,Visual_First,23,16,14,12,20,19,18,13,25,19
R_3MokzObAvNrgPem,18,Female,Right,Friday_PM,Myself_First,Visual_First,24,30,19,30,23,20,25,29,6,10
R_1pVSCEPQQZDStou,18,Female,Right,Friday_PM,Partner_First,Visual_First,22,13,17,18,23,15,24,18,25,23
R_1JQM0G7sV2NBEtt,18,Female,Right,Friday_PM,Myself_First,Visual_First,15,12,13,14,19,27,24,25,18,20
R_1GE6WzAxseXsZWr,18,Female,Right,Friday_PM,Myself_First,Visual_First,20,3.5,15,12.5,14,27,16,5,15,22
R_OwXYdfu1nmwaPv3,18,Female,Right,Friday_PM,Partner_First,Visual_First,7,20,22,11,9.5,20,9.5,14.5,2.5,20
R_xyDypzwYxmMCtYR,19,Female,Right,Friday_PM,Partner_First,Visual_First,15,26,20,19,13,NA,4.5,9,NA,11
R_3EGzl7LzywS5H60,18,Male,Right,Friday_PM,Myself_First,Visual_First,13,23,14,8.5,11.5,20,19,14,NA,15
R_31FRb1xG5fRFPHC,18,Female,Right,Friday_PM,Myself_First,Auditory_First,4,25,23,17,16,8,0,20,5,8
R_2EhFewW451NuJWD,18,Female,Left,Friday_PM,Myself_First,NA,13,12,13,10,16,18,26,30,13,18
R_1LnuvbX9XOVqi4T,20,Female,Right,Friday_PM,Partner_First,Auditory_First,17,18,18,19,12,2,7,16,29,11
R_12eTYuJWNqbwqku,19,Female,Right,Friday_PM,Partner_First,NA,15.5,17,11,12.5,13.5,23.5,4,20,10,15.5
R_1DpfNaf2KKLeNUD,18,Female,Right,Friday_PM,Myself_First,Visual_First,22,19,17,15,17,8,9.5,11,8.5,5
R_yCHrd35IYAKXzih,19,Male,Right,Friday_PM,Myself_First,Auditory_First,16,3,3,18,13,24,1,6,4,2
R_3O8QHEpYjs7QtUr,17,Female,Right,Tuesday_AM,Myself_First,Visual_First,26,19,18,18,16,5,16,13,4,12
R_239yTMqC98KGptD,27,Male,Right,Monday_PM,Partner_First,Visual_First,1,1,11,1,1,11,1,1,1,1
R_1OGIbjm9vNsLqZS,18,Female,Right,Monday_PM,Myself_First,Visual_First,8,9,11,2,6,16,1,30,9,9
R_2s1t2KwmAIuAiCo,17,Female,Right,Monday_PM,Partner_First,Auditory_First,7,10,11,8,12,18,24,23,2,14
R_21H9QCaUuOqrjyj,19,Female,Right,Monday_PM,Myself_First,Visual_First,19,19,9,11,11,24,21,26,22,4
R_yK03t9IP7jR1R6h,21,Female,Right,Monday_PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3iRtY6dbiDowz4s,17,Female,Right,Monday_PM,Partner_First,Visual_First,30,20,17,13,13,24,22,22,30,3
R_R4Ej8rr5YATtR4J,18,Female,Right,Monday_PM,Myself_First,Visual_First,14,17,17,20,9,NA,NA,12,17,13
R_3ncJeb4fSz33Ugy,18,Female,Right,Monday_PM,Myself_First,Auditory_First,17,20,24,22,19,10,NA,NA,10,NA
R_1g16jy0fQZztC0R,17,Male,Right,Monday_PM,Partner_First,Visual_First,7,19,9,12,14,30,NA,23,16,NA
R_1EhSIDqT1KHurrL,17,Female,Right,Monday_PM,Partner_First,Auditory_First,12,10,7,12,6,12,8,24,15,25
R_29upgmZrlFJKe5k,18,Female,Right,Monday_PM,Myself_First,NA,17,20,19,22,7,19,22,30,20,30
R_1FCIcxuscCGM0,26,Male,Left,Monday_PM,Partner_First,Visual_First,26,17,18,19,13,NA,NA,18,NA,NA
R_bdA6z1SyZUyOeel,19,Male,Left,Monday_PM,Partner_First,Auditory_First,10.9,6.8,7.9,10,2.5,11.8,NA,14,NA,NA
R_vlgScL4mWhm5OBH,19,Male,Right,Monday_PM,Myself_First,Auditory_First,6.9,8.1,9.5,7.3,9,NA,27.6,13.2,20.9,28
R_3rUHaXPHe0lGeS4,17,Male,Right,Monday_PM,Partner_First,Visual_First,7,27,17,14,9,30,NA,23,14,NA
R_2E6kQJNNfg7HCpo,18,Female,Right,Monday_PM,Myself_First,Auditory_First,NA,7.5,19.3,15,16.8,9.6,NA,NA,20.5,NA
R_3jUa4oo9pW6ujfn,18,Male,Right,Monday_PM,Partner_First,NA,8.3,4.6,12,11.5,19,27,19,22,13.4,17
R_3HZ8JsA0RdW4XiO,19,Female,Right,Monday_PM,Myself_First,Auditory_First,20.2,13.2,18.3,22,15,26.4,30,30,30,11
R_3iBVcdKQ7OmXLWJ,19,Female,Right,Monday_PM,Partner_First,Visual_First,NA,17,NA,24,12.5,NA,18.5,NA,8,13.8
R_3QPO357pYXVZulY,19,Male,Right,Monday_PM,Myself_First,Visual_First,17,4.9,11.5,13.1,18.2,25.9,12,18.5,6.9,23
R_1FttUNd1pi38Nu1,21,Male,Right,Monday_PM,Myself_First,Auditory_First,15,13,13.5,12.5,10,6.5,29,24.5,4,26.8
R_217ct1jBPRg7DwF,21,Male,Right,Monday_PM,Partner_First,Visual_First,10.5,13.9,11,16.5,21.5,18.3,21.5,28.5,17,28
R_1dzcGt8bqaWeLN8,18,Female,Right,Monday_PM,Myself_First,Auditory_First,17,6,9,8.5,11.4,1.5,8.5,NA,NA,NA
R_2Y6aJyfqct4L8Z0,19,Female,Right,Monday_PM,Partner_First,Auditory_First,6,14,8,4,13,2,NA,19,7,NA
R_3nH1tP3D7L7PZ4Z,18,Female,Right,Monday_PM,Partner_First,NA,25,NA,22,13,18,23,NA,NA,2,11
R_210ad3KJNquuZho,19,Female,Right,Monday_PM,Partner_First,Auditory_First,9,5,11,4.1,10.5,27,19.5,18.5,24.4,27
R_27J38UEkEBixMfI,18,Female,Right,Monday_PM,Myself_First,Visual_First,26.5,25.6,13.2,3.1,14.5,7.6,14.1,15.9,25.3,27
R_sCrBxxNJMaYQWtP,18,Male,Right,Monday_PM,Partner_First,Visual_First,17.5,19.5,24,26,23,31,26,22,12.5,30
R_1P7r966PIYa98gO,18,Female,Left,Monday_PM,Partner_First,Visual_First,21,16,13,16.5,14,1,6,25.5,17,4
R_3Ny9YOTSHNRlert,19,Female,Right,Monday_PM,Myself_First,Visual_First,12,15,17,5.5,13,11,28.5,7.5,14.5,14
R_3r2rzZPDkLGBCui,18,Female,Right,Monday_PM,Myself_First,Visual_First,15,23,22,17,25,19,9,18,18,20
R_12PidVcGQWdxt8q,19,Female,Right,Monday_PM,Partner_First,Auditory_First,12,21,20,7,21,17,1,15,15,18
R_3HOoKpgbbriQAJM,18,Female,Right,Monday_PM,Partner_First,Visual_First,NA,17,NA,24,12.5,NA,18.5,NA,8,13.8
R_1CwhweyN2R9hzwV,18,Male,Right,Monday_PM,Myself_First,Visual_First,12,6,8,13,4,30,8,35,4,4
R_2WTOJ4N9PH589ky,19,Female,Right,Monday_PM,Partner_First,Visual_First,9,7,10,11,4,22,18,4,30,10
R_3PiUCNxZqaqMyIU,22,Female,Right,Monday_PM,Myself_First,Visual_First,2,16,21,17,19,5,19,2,7,19
R_sGdv0o74NUvlU0p,20,Female,Right,Monday_PM,Partner_First,Auditory_First,24,9,24,18,4,19,1,29,11,11
R_2sR7Mk0hUH44VyO,18,Female,Right,Monday_PM,Partner_First,Auditory_First,15,16,8,12,12,17,13,25,11,20
R_3rSRilfjNSP1V5e,19,Female,Right,Monday_PM,Myself_First,Visual_First,20,19,18,26,26,7,8,6,18,22
R_2t6dEVOIr2mKwDf,17,Female,Right,Monday_PM,Myself_First,Visual_First,10,13,12,7,10,4,2,17,5,29
R_Uc23lXa5gaI5aet,17,Male,Right,Monday_PM,Partner_First,NA,14,13,14,11,8,20,17,11,21,29
R_32VlkwCpjUIMfdj,18,Female,Right,Tuesday_AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_33gaAp63xH4KPmF,18,Female,Right,Tuesday_AM,Myself_First,Visual_First,13.5,19,7,10,15.5,25,22.5,3.5,9,8.5
R_A05BIyxHyRF6w5b,19,Female,Right,Tuesday_AM,Partner_First,Visual_First,13,9.5,15.2,5,16,16.5,28.5,27,19,15
R_3I6mgPZr3itva3X,18,Male,Right,Tuesday_AM,Myself_First,Visual_First,5.7,12.5,8.5,6.6,10.1,18,6.1,16.6,11.5,22.1
R_3e8PAdVSUKwAxQZ,19,Female,Right,Tuesday_AM,Myself_First,Visual_First,NA,NA,14,18,7,14,9,7,20,16
R_11Y2SFv8hePoEDc,23,Female,Right,Tuesday_AM,Partner_First,NA,NA,NA,20,28,16,1,NA,10,NA,NA
R_1OknACSIfqcuVPl,18,Male,Left,Tuesday_AM,Myself_First,Visual_First,NA,NA,20,28,16,1,NA,10,NA,NA
R_3oA7jYgY10zmRqd,19,Female,Right,Tuesday_AM,Partner_First,NA,15,11,10,12,9,8,18,24,5,15
R_2upV6AxTKfD4dK4,19,Female,Right,Tuesday_AM,Myself_First,Visual_First,20,17.5,16,17,16,18,7,17,16,25
R_3IXNmLnp1tjwmBS,23,Female,Right,Tuesday_AM,Partner_First,Visual_First,NA,NA,20,28,16,1,NA,10,NA,NA
R_3PYNwyRx4d8oIAe,18,Female,Right,Tuesday_AM,Myself_First,Visual_First,25,0,0,14,0,19,10,20,20,0
R_3GlbZJdjvK4E09C,17,Female,Right,Tuesday_AM,Myself_First,NA,16,11,16,15,16,10,7,9,6,4
R_USAPfHW6bznwFgJ,17,Male,Right,Tuesday_AM,Partner_First,Visual_First,16,11,16,15,16,10,7,9,6,4
R_2uwx51X1izXPLSr,17,Female,Right,Tuesday_AM,Myself_First,NA,20,0,1,7,4,0,0,15,28,0
R_3oAwXojnvYEQnxA,18,Male,Right,Tuesday_AM,Myself_First,Visual_First,12,10.3,14,11,7,9,20,12,17,NA
R_3J42JbdDWfMQBzc,18,Male,Right,Tuesday_AM,Partner_First,Visual_First,17.2,13.1,15.3,10.4,4.1,9.5,13,5,19.5,30
R_2THJH4N2lkgpDs5,18,Female,Right,Tuesday_AM,Myself_First,Visual_First,25,15,17,15,12,30,20,16,22,14
R_3lM5oTbmmwedq6h,19,Female,Right,Tuesday_AM,Partner_First,NA,25,15,17,15,12,30,20,16,22,14
