"license_issue_date","license_number","animals_name","species","primary_breed","secondary_breed","zip_code","weight_kg"
"September 24 2018","8001247","Barkley","Dog","Bulldog, French",NA,"98103",25.8937441779894
"February 09 2018","S139966","Miso","Dog","Spaniel, Cavalier King Charles","Poodle, Miniature","98103",17.1575464800083
"May 23 2018","138324","Miki","Dog","Poodle, Miniature","American Eskimo","98103",28.1633434307359
"October 17 2018","730563","Pepi","Dog","Chihuahua, Short Coat","Mix","98103",28.7177060892935
"January 22 2018","26346","Ruby","Dog","Spaniel, Tibetan",NA,"98103",13.3733701784903
"September 06 2018","S133370","Alvin","Dog","Retriever, Labrador","German Shepherd","98103",25.8532738379542
"September 29 2017","S143602","Daisy","Dog","Australian Cattle Dog","Mix","98103",26.5501995627755
"January 23 2018","899888","Maya","Dog","Retriever, Labrador",NA,"98103",24.9903020941864
"August 08 2017","280701","Archie","Dog","Dachshund, Standard Wire Haired",NA,"98103",25.541491806185
"September 18 2018","8001041","Anubis","Dog","German Shepherd","Mix","98103",16.7438517843652
"November 30 2018","895189","Kona","Dog","Spaniel, English Springer",NA,"98103",16.0132143772631
"October 26 2018","728471","Nellie","Dog","Border Collie",NA,"98103",28.0872451717422
"October 16 2018","S103615","Louie","Dog","Chow Chow",NA,"98103",2.64076721445045
"July 24 2018","S147321","Calhoun","Dog","Beagle",NA,"98103",26.3400895052523
"August 07 2018","S147771","Juneau","Dog","Retriever, Labrador","Australian Cattle Dog","98103",13.3128047423016
"June 01 2018","280772","Perry","Dog","Terrier","Miniature Pinscher","98103",5.8709720171733
"March 13 2018","S113579","Boon","Dog","Siberian Husky",NA,"98103",17.3504499495776
"July 18 2017","S136307","Charlie","Dog","German Shepherd",NA,"98103",30.1283829913052
"May 08 2018","84313","Gus","Dog","Briard",NA,"98103",11.4039725080841
"October 25 2018","8002192","Pixie","Dog","Miniature Pinscher",NA,"98103",17.1104357822443
"March 08 2017","S128681","Ella","Dog","Retriever, Labrador",NA,"98103",19.9476598750747
"November 07 2017","904131","Josie","Dog","Retriever, Nova Scotia Duck Tolling",NA,"98103",28.2926906047492
"January 22 2018","S106846","Maxfield","Dog","Chihuahua, Short Coat","Terrier, Rat","98103",25.9509890438602
"February 06 2018","950744","Maggie","Dog","Dachshund, Standard Long Haired","Australian Shepherd","98103",16.6745090771588
"August 08 2018","S145555","Kaneel","Dog","Beauceron","Mix","98103",39.2856230222666
"January 17 2017","S126795","Maya","Dog","Border Collie","Australian Shepherd","98103",21.6737604133962
"June 06 2018","S144051","Fiona","Dog","Terrier, Pit Bull","Terrier, Pit Bull","98103",32.864198282347
"December 21 2018","8004021","Leila","Dog","Border Collie","Retriever, Flat-Coated","98103",7.8510996910113
"March 15 2017","S129084","Daxter","Dog","Bichon Frise",NA,"98103",20.6495135247795
"November 27 2018","8003295","Kilo","Dog","Pomeranian","American Eskimo","98103",17.46707185187
"April 26 2017","S130406","Lucky","Dog","Retriever, Labrador","Poodle, Standard","98103",23.8007277930371
"November 09 2018","8002603","Molly","Dog","Pekingese","Pomeranian","98103",22.0216801850363
"October 11 2018","8001765","Chewy","Dog","Spaniel, Cavalier King Charles","Mix","98103",22.1530463398988
"November 19 2018","S121913","Coda","Dog","Australian Shepherd",NA,"98103",18.6187010559446
"April 14 2018","138761","Pippin","Dog","Retriever, Labrador","Mix","98103",13.7175018593245
"December 30 2016","955781","Ziggy Sugar","Dog","Retriever, Labrador","Poodle, Standard","98103",13.1066206032532
"December 01 2018","S101883","Chavo","Dog","Pomeranian","Poodle, Miniature","98103",21.7689670598247
"December 11 2017","960176","Violet","Dog","Rhodesian Ridgeback",NA,"98103",30.1819396325903
"August 08 2018","S145547","Faolan","Dog","Siberian Husky",NA,"98103",23.8635558478787
"July 21 2017","139602","Harper","Dog","Greyhound",NA,"98103",23.5212610613702
"July 05 2018","S117744","Genepi","Dog","Greater Swiss Mountain Dog",NA,"98103",27.5358780196754
"May 09 2018","S126568","Lula Bell","Dog","Mixed Breed, Large (over 44 lbs fully grown)","Mix","98103",24.2238033129526
"September 11 2018","8000838","Larry","Dog","Mixed Breed, Large (over 44 lbs fully grown)","Retriever, Labrador","98103",32.4629318005622
"December 20 2016","955145","Harvey","Dog","Retriever, Labrador",NA,"98103",14.3428323574108
"January 28 2017","18358","Harrison","Dog","Shih Tzu",NA,"98103",14.1686097904487
"May 22 2018","283749","Chayse","Dog","Boxer","Retriever, Labrador","98103",9.93045203655524
"October 08 2018","834709","Tanner","Dog","Spaniel, American Cocker",NA,"98103",18.2959131031828
"March 16 2018","S111725","Yeti","Dog","Australian Shepherd, Miniature",NA,"98103",21.2423247922736
"May 10 2017","280752","Gordy","Dog","Border Collie","Rottweiler","98103",25.3325846101109
"March 16 2018","S141510","Laika","Dog","Terrier",NA,"98103",15.3412636227719
"March 23 2017","130223","Rosie","Dog","Pomeranian",NA,"98103",18.0003790344818
"April 27 2017","215894","Metabo","Dog","Chihuahua, Short Coat","Mix","98103",11.1851361496132
"March 24 2017","84553","Rex","Dog","Hound","Basenji","98103",16.8422474024102
"June 02 2017","S131549","Baxter","Dog","Basset Hound",NA,"98103",18.037894039655
"June 26 2018","S145226","Chloe","Dog","Retriever, Labrador",NA,"98103",16.9328355724406
"November 07 2017","S106564","Iggy","Dog","Dachshund, Miniature Smooth Haired",NA,"98103",18.6827035622343
"September 21 2018","8001156","Cleo","Dog","Cur, Mountain",NA,"98103",27.2822947040492
"September 14 2018","8000922","Prince","Dog","Papillon","Mix","98103",26.1588209874166
"August 02 2018","S132515","Juliette","Dog","Maltese","Poodle, Miniature","98103",26.7334435435389
"November 29 2018","8003365","Shadow","Dog","Terrier, American Staffordshire","Mix","98103",15.3788335396128
"June 29 2018","S121925","Jackson","Dog","Retriever, Labrador",NA,"98103",16.2454853907667
"April 29 2017","S129580","Keto","Dog","Retriever","Retriever, Golden","98103",10.043997838751
"February 13 2018","S140577","Dexter","Dog","Vizsla, Smooth Haired",NA,"98103",10.6584706662585
"September 28 2018","581560","Ringo","Dog","Australian Cattle Dog",NA,"98103",32.4314878957979
"July 12 2017","S133546","Barney","Dog","Terrier, Cairn","Mix","98103",22.490784469935
"November 16 2018","S118288","Zeus","Dog","Bichon Frise","Terrier, West Highland White","98103",40.5577832163898
"April 04 2018","136835","Cal","Dog","Pug","Beagle","98103",23.3281417646
"April 13 2018","217563","Murray","Dog","Dachshund, Standard Smooth Haired","Chihuahua, Short Coat","98103",21.3365303100318
"May 02 2017","216645","Gidget","Dog","Terrier, American Pit Bull","Mix","98103",24.1879478460347
"July 03 2018","S132091","Clover","Dog","Terrier, Boston",NA,"98103",11.4172410734438
"November 24 2018","901876","Derby","Dog","Retriever, Labrador",NA,"98103",18.6014879126037
"March 21 2018","S101667","Grommet","Dog","Australian Shepherd",NA,"98103",21.3374069756641
"June 29 2018","S144968","Lexi","Dog","German Shepherd",NA,"98103",20.0521174605391
"April 05 2018","S141946","Ruby","Dog","Retriever",NA,"98103",20.6314305454824
"June 17 2017","S130860","Prim","Dog","Papillon",NA,"98103",30.3999330698633
"March 05 2018","S141301","Charlie Chaplin","Dog","Australian Shepherd, Miniature",NA,"98103",14.7747869116217
"December 20 2017","960485","Phinney","Dog","Beagle",NA,"98103",18.3229088483375
"September 24 2018","731319","Oscar","Dog","Retriever, Labrador",NA,"98103",14.2668626628232
"August 14 2017","S109616","Luna","Dog","Retriever, Golden",NA,"98103",NA
"May 24 2018","S146603","Lucy","Dog","Retriever, Golden",NA,"98103",32.0789042709261
"December 08 2018","S125611","Tommy","Dog","Retriever, Labrador","Beagle","98103",16.2449154808147
"April 17 2018","S115630","Gustopher","Dog","Schnauzer, Giant","Retriever, Labrador","98103",10.285991498579
"January 09 2017","21452","Prince Uno","Dog","American Eskimo","Mix","98103",15.4658114002707
"May 29 2018","S115304","Kona","Dog","Australian Shepherd",NA,"98103",22.9681454400163
"December 23 2016","S125075","Marty","Dog","Miniature Pinscher",NA,"98103",21.2234336503839
"June 01 2018","216203","Digger","Dog","Retriever, Golden",NA,"98103",20.1529940651651
"December 06 2018","S150163","Semmy","Dog","Terrier, American Pit Bull","Mix","98103",7.61192880315681
"December 06 2016","S125630","Maya","Dog","Retriever, Labrador",NA,"98103",25.7271195083423
"August 10 2017","576558","Gage Louis","Dog","Bichon Frise",NA,"98103",18.9339854742848
"June 07 2017","S102238","Junie","Dog","Australian Cattle Dog","Retriever, Labrador","98103",12.2274901629404
"January 31 2017","28068","Zoey","Dog","Australian Shepherd",NA,"98103",23.3960079759168
"June 12 2018","S132225","Pippa","Dog","Newfoundland",NA,"98103",30.7994306187981
"July 24 2018","S119905","Mamie","Dog","Retriever, Labrador",NA,"98103",22.8191948320664
"December 15 2017","959328","Conan","Dog","Pug",NA,"98103",13.7258519031233
"July 15 2017","S131269","Bixby","Dog","Chihuahua, Short Coat","Mix","98103",22.0370123603665
"July 20 2017","361093","Smoky","Cat","Domestic Shorthair",NA,"98103",4.84834463934525
"October 05 2017","S123084","Jasmine","Cat","Domestic Shorthair","Mix","98103",4.76816930640109
"September 07 2018","S120840","Mustard","Cat","Domestic Shorthair",NA,"98103",4.15394367479589
"November 05 2018","S152199","Callie","Cat","Domestic Shorthair","Mix","98103",4.69096823024856
"December 08 2018","949761","Chrissie","Cat","Domestic Shorthair",NA,"98103",4.36354319219773
"August 22 2018","577820","Molly","Cat","Domestic Shorthair",NA,"98103",4.5038721371732
"December 28 2016","956876","Bella","Cat","Domestic Longhair",NA,"98103",4.50839072018379
"August 08 2017","584186","Maple Syrup","Cat","Domestic Shorthair",NA,"98103",4.66333298796162
"May 14 2018","S131819","Willy","Cat","Domestic Shorthair","Mix","98103",4.70221030282843
"April 04 2017","S129475","Nyx","Cat","American Shorthair",NA,"98103",4.20164599137772
"May 14 2018","S134580",NA,"Cat","Domestic Shorthair","Mix","98103",4.59660513301156
"September 01 2018","S118889","Bubbles","Cat","Domestic Shorthair","Mix","98103",5.09959864319063
"May 06 2017","S102577","Abe","Cat","Maine Coon","Mix","98103",4.6171960017958
"April 13 2017","833636","Mombi","Cat","Domestic Longhair",NA,"98103",4.31069851916138
"December 18 2017","S107938","Mia","Cat","Domestic Shorthair","Mix","98103",4.10954807701486
"June 10 2017","349629","Orion","Cat","Domestic Shorthair",NA,"98103",4.88993547446115
"May 30 2017","79347322","Mr Darcy","Cat","Domestic Shorthair",NA,"98103",4.15741698256487
"September 03 2018","8000612","Rosie","Cat","Domestic Shorthair","Mix","98103",4.44240733158868
"December 04 2018","8003497","Oliver","Cat","Domestic Shorthair","Mix","98103",4.66805860980643
"January 06 2018","S139298","Milo","Cat","Domestic Shorthair",NA,"98103",4.13118146048874
"September 21 2018","S121342","Isabeau","Cat","Domestic Shorthair","Mix","98103",4.11336700143555
"May 08 2018","204863","Cinder","Cat","Domestic Shorthair",NA,"98103",4.17545079590863
"January 17 2018","S139573","Hoku","Cat","Domestic Shorthair",NA,"98103",4.2338243758396
"April 18 2018","S142885","Sydney","Cat","Maine Coon","American Shorthair","98103",4.73330362238554
"July 16 2018","S119479","Vera Neumann","Cat","Domestic Medium Hair",NA,"98103",3.89880893753717
"August 29 2018","S133774","Poppy","Cat","Domestic Shorthair",NA,"98103",4.56418015143384
"December 25 2018","S104169","Mittens","Cat","Domestic Shorthair","Mix","98103",4.48875399380469
"July 18 2018","S114717","Ringa","Cat","Domestic Shorthair",NA,"98103",4.14561979065724
"August 29 2017","577580",NA,"Cat","Domestic Longhair",NA,"98103",4.26905103675983
"July 29 2017","S132653","Louisette","Cat","Domestic Shorthair","Mix","98103",4.34879954623101
"April 14 2017","142766","Leon","Cat","Domestic Medium Hair",NA,"98103",3.83219770218881
"March 10 2017","142090",NA,"Cat","Domestic Shorthair",NA,"98103",4.59587514292907
"November 17 2018","S123357","Pillow","Cat","Ragdoll",NA,"98103",5.28620172713688
"January 19 2018","S110380","Akira","Cat","Mix","Domestic Shorthair","98103",4.53786697974556
"October 14 2018","824013","Connera","Cat","Domestic Shorthair",NA,"98103",4.49213929133259
"August 18 2017","73087","Fifille","Cat","Domestic Longhair",NA,"98103",4.26512617646539
"May 23 2018","284621","Bingley","Cat","Domestic Longhair",NA,"98103",4.82152632057104
"September 07 2018","S120839","Tootsie Roll","Cat","Domestic Shorthair",NA,"98103",4.36903250398439
"July 06 2018","203193",NA,"Cat","Domestic Shorthair",NA,"98103",4.73642082032472
"June 26 2018","S116397","Lily","Cat","Siamese","Mix","98103",4.50530354253382
"May 23 2018","204824","Penelope","Cat","Domestic Shorthair",NA,"98103",4.7104190909756
"December 10 2015","573197","Sasha","Cat","Domestic Shorthair",NA,"98103",4.82044985395311
"September 16 2018","S142501","India","Cat","Domestic Shorthair","Mix","98103",4.59838559701281
"January 15 2018","S134424","Pi","Cat","Domestic Shorthair","Mix","98103",4.31944401819442
"November 28 2018","S152250","Lolo","Cat","Domestic Longhair","Mix","98103",4.17175500780041
"June 23 2018","S135144",NA,"Cat","Domestic Shorthair","Mix","98103",4.0447015057799
"May 26 2017","276755","Smilla","Cat","Domestic Shorthair",NA,"98103",3.85469955109057
"March 01 2018","S134465","Petrol","Cat","Domestic Shorthair","Mix","98103",4.03142153031754
"December 29 2017","S108576","Niera","Cat","Domestic Medium Hair",NA,"98103",4.7193620849249
"April 02 2017","S126685","Kit","Cat","Domestic Shorthair","Mix","98103",4.03795005026409
"July 20 2017","S132852","Kitty","Cat","American Shorthair",NA,"98103",4.29433765340388
"March 22 2018","140685","Martin","Cat","Domestic Shorthair",NA,"98103",4.30064120475364
"May 21 2018","S143981","Baker","Dog","Retriever, Golden",NA,"98103-5711",28.0771161193176
"June 05 2017","356678","Mongo","Dog","Retriever, Labrador","Mix","98104",7.36330086408908
"October 18 2018","S146099","Cosmo","Dog","Terrier, Cairn","Mix","98104",24.3201888864133
"March 20 2018","S117511","Buster","Dog","Terrier",NA,"98104",30.9561075837475
"May 18 2017","210106","Jiro","Dog","Shiba Inu",NA,"98104",23.0221922535124
"January 06 2018","959549","Jiro","Dog","Siberian Husky",NA,"98104",19.8420858068139
"August 01 2016","275576","Gazelle","Dog","Terrier, Rat",NA,"98104",23.402057976909
"February 06 2018","S140378","Sam","Dog","Chihuahua, Short Coat","Pug","98104",22.0841308533991
"April 03 2018","S140847","Maggie","Dog","Terrier","Mix","98104",28.641941555559
"July 24 2018","583980","Henri","Dog","Lhasa Apso","Shih Tzu","98104",10.774229277414
"January 16 2018","S139532","Hugo","Dog","Terrier, Boston","Dachshund, Standard Smooth Haired","98104",26.2526019838511
"January 10 2018","S137484","Biggie","Dog","Terrier, Jack Russell",NA,"98104",7.46706380269766
"August 02 2017","216906","Charlie","Dog","Shih Tzu",NA,"98104",22.6430693683443
"July 05 2017","80124","Shilo","Dog","Newfoundland","Bernese Mountain Dog","98104",25.5075248345892
"November 21 2017","S138366","Nukka","Dog","Keeshond","Samoyed","98104",23.3936003133772
"November 17 2018","S122947","Seshen","Cat","Abyssinian",NA,"98104",4.63563454410098
"August 30 2018","8000493","Indy","Cat","Domestic Medium Hair","Mix","98104",4.26783970063386
"June 12 2018","S144670","Toby LeRone","Cat","American Shorthair",NA,"98104",4.59722747160349
"May 14 2018","S114490","Snoqualmie","Cat","Balinese","Mix","98104",3.93848310867857
"January 31 2017","725489","Mac","Cat","Domestic Shorthair",NA,"98104",4.1761511960994
"August 27 2018","S146871","Zara","Cat","Domestic Medium Hair","Mix","98104",4.47780887198555
"February 15 2017","S127195","Wolverine","Cat","Domestic Shorthair","Mix","98104",4.34686838652178
"May 02 2018","S130502","Miss Hiss","Cat","Domestic Longhair",NA,"98104",4.80263548976338
"April 08 2018","S134497","Charles","Cat","Domestic Shorthair","Mix","98104",3.82987685896824
"July 11 2018","83042","Tommy Girl","Cat","Domestic Shorthair",NA,"98104",4.3777833125874
"June 06 2017","141869","Chewbacca","Dog","Dachshund, Standard Long Haired","Chihuahua, Short Coat","98105",25.0865541796874
"March 13 2017","S129073","Brutus","Dog","Rottweiler",NA,"98105",14.509505010249
"September 03 2018","8000617","Joe","Dog","Retriever, Golden","Poodle, Standard","98105",10.4685227294537
"August 22 2018","8000267","Louie","Dog","Poodle, Toy",NA,"98105",22.882856521289
"April 03 2018","S130057","Robbie","Dog","German Shepherd",NA,"98105",8.62481897850781
"March 17 2017","S101622","Emma","Dog","Retriever, Golden","Poodle, Standard","98105",32.9334540298211
"March 28 2018","S141862","Cobalt","Dog","Retriever, Labrador","German Shepherd","98105",12.8198426565777
"September 06 2016","959935","Violet","Dog","Spaniel, American Cocker","Chow Chow","98105",24.8153099263027
"October 15 2018","S101665","Chomsky","Dog","Chihuahua, Short Coat","Mix","98105",NA
"January 23 2018","S139806","Jasmine","Dog","Shih Tzu",NA,"98105",17.9635106482009
"September 05 2018","727922","Luna Nero","Dog","Retriever, Labrador","Poodle, Standard","98105",16.9459812983814
"July 26 2018","585912","Remy","Dog","German Shepherd","Belgian Malinois","98105",33.4414829735516
"December 14 2018","S125855","Rita","Dog","Retriever, Labrador","Terrier, Russell","98105",11.8269315071752
"April 25 2017","S130298","Zamboni","Dog","Australian Shepherd",NA,"98105",24.5660665196196
"July 05 2018","S144979","Daisy","Dog","Retriever, Labrador","Mix","98105",22.6264126551159
"February 02 2018","S140262","Lily","Dog","Border Collie","Welsh Corgi, Cardigan","98105",19.5465509077679
"October 14 2018","830694","Frankie","Dog","Lhasa Apso","Pomeranian","98105",23.3803324797892
"November 13 2017","S107648","Miss Ellie","Dog","Terrier, Tibetan",NA,"98105",9.53056989158311
"May 11 2018","S131385","Pip","Dog","Terrier, Silky",NA,"98105",20.5969945732001
"June 06 2017","S132087","Foz","Dog","Spaniel, Tibetan",NA,"98105",17.8699375737957
"March 20 2018","S128673","Bo","Dog","Chihuahua, Long Coat",NA,"98105",23.4461846559144
"December 26 2018","8004134","Maggie","Dog","Terrier, American Pit Bull","Mix","98105",18.7193723609434
"August 03 2018","731849","Bobo","Dog","Poodle, Toy",NA,"98105",11.6845921765797
"December 16 2018","828535","DInah","Dog","Havanese",NA,"98105",19.2088224591998
"April 12 2017","216673","Toby","Dog","Australian Shepherd",NA,"98105",22.3784767354221
"December 19 2017","S107797","Bluebell","Dog","Retriever, Labrador","Mix","98105",19.1188882057337
"April 10 2018","216214","Rhuben","Dog","Retriever, Labrador","Boxer","98105",28.1303334583021
"August 17 2018","8000160","Indigo","Dog","German Shepherd","Mix","98105",32.1993326677114
"March 16 2018","S141522","Melba","Dog","Poodle, Miniature","Retriever, Golden","98105",24.3190323884702
"December 15 2017","S108363","Agnes","Dog","Retriever, Labrador",NA,"98105",15.4818924424716
"July 12 2018","S145857","Pippa","Dog","Chihuahua, Short Coat","Pekingese","98105",24.3578096400608
"October 05 2017","S136434","Jasper","Dog","German Shepherd","Mix","98105",20.51421041681
"September 11 2017","S109835","Josie","Dog","Portuguese Water Dog",NA,"98105",19.6762140370877
