schoolid,ppt,age,interv,ABS
South Fork Conservatory,4,19,0,NA
South Fork Conservatory,5,12,0,60.3951925406581
South Fork Conservatory,5,13,0,46.5525424785104
South Fork Conservatory,5,14,0,47.9179293354148
South Fork Conservatory,5,15,0,45.5073988605978
South Fork Conservatory,5,16,0,65.0555056907957
South Fork Conservatory,5,17,0,54.2104684122668
South Fork Conservatory,5,18,0,NA
South Fork Conservatory,5,19,0,NA
South Fork Conservatory,6,12,0,53.7451022907326
South Fork Conservatory,6,13,0,57.8628148179883
South Fork Conservatory,6,14,0,67.6593143571775
South Fork Conservatory,6,15,0,60.9353952097461
South Fork Conservatory,6,16,0,69.6861405007053
South Fork Conservatory,6,17,0,NA
South Fork Conservatory,6,18,0,NA
South Fork Conservatory,6,19,0,NA
South Fork Conservatory,7,12,0,34.4424932513325
South Fork Conservatory,7,13,0,28.1515434862682
South Fork Conservatory,7,14,0,55.6534322881451
South Fork Conservatory,7,15,0,45.6796168143763
South Fork Conservatory,7,16,0,43.8182188517922
South Fork Conservatory,7,17,0,38.0443261304894
South Fork Conservatory,7,18,0,NA
South Fork Conservatory,7,19,0,NA
South Fork Conservatory,8,12,0,41.1270550277198
South Fork Conservatory,8,13,0,60.2718391537229
South Fork Conservatory,8,14,0,69.8543418838934
South Fork Conservatory,8,15,0,69.284048797344
South Fork Conservatory,8,16,0,NA
South Fork Conservatory,8,17,0,NA
South Fork Conservatory,8,18,0,NA
South Fork Conservatory,8,19,0,NA
Central High,1,12,1,42.041947172687
Central High,1,13,1,56.1865527526944
Central High,1,14,1,53.2626401269512
Central High,1,15,1,44.7868262869238
Central High,1,16,1,34.7020166355525
Central High,1,17,1,40.5703215114289
Central High,1,18,1,NA
Central High,1,19,1,NA
Central High,2,12,1,58.288772490515
Central High,2,13,1,46.8521635387442
Central High,2,14,1,54.2249278678847
Central High,2,15,1,NA
Central High,2,16,1,NA
Central High,2,17,1,NA
Central High,2,18,1,NA
Central High,2,19,1,NA
Central High,3,12,1,64.7600400319618
Central High,3,13,1,75.1528172778112
Central High,3,14,1,60.8851401044491
Central High,3,15,1,62.8137507771745
Central High,3,16,1,NA
Central High,3,17,1,NA
Central High,3,18,1,NA
Central High,3,19,1,NA
Central High,4,12,1,51.7620793766463
Central High,4,13,1,53.684245193085
Central High,4,14,1,42.1889584512899
Central High,4,15,1,45.7565186272573
Central High,4,16,1,51.1237267694157
Central High,4,17,1,47.5293210521049
Central High,4,18,1,NA
Central High,4,19,1,NA
Central High,5,12,1,46.2236776480005
Central High,5,13,1,33.9604995740449
Central High,5,14,1,51.0438403633907
Central High,5,15,1,45.7303440010858
Central High,5,16,1,46.459347835042
Central High,5,17,1,53.5661854572369
Central High,5,18,1,37.0000388428507
Central High,5,19,1,NA
Central High,6,12,1,61.9921614439595
Central High,6,13,1,48.6962404979546
Central High,6,14,1,51.3286523103442
Central High,6,15,1,36.285566574006
Central High,6,16,1,48.4196909727654
Central High,6,17,1,NA
Central High,6,18,1,NA
Central High,6,19,1,NA
Central High,7,12,1,59.696762753754
Central High,7,13,1,52.5801882734017
Central High,7,14,1,55.0084691330081
Central High,7,15,1,54.5536886633231
Central High,7,16,1,NA
Central High,7,17,1,NA
Central High,7,18,1,NA
Central High,7,19,1,NA
Central High,8,12,1,53.9761958175723
Central High,8,13,1,51.5212024238843
Central High,8,14,1,52.397192489776
Central High,8,15,1,39.2048983104807
Central High,8,16,1,62.3032272633818
Central High,8,17,1,70.3646807775199
Central High,8,18,1,72.8407556544433
Central High,8,19,1,NA
Central High,9,12,1,54.7805308709428
Central High,9,13,1,62.4168625461392
Central High,9,14,1,56.9026872130544
Central High,9,15,1,49.0631625624458
Central High,9,16,1,57.4400445796729
Central High,9,17,1,NA
Central High,9,18,1,NA
Central High,9,19,1,NA
Elk Grove School,1,12,0,39.2593491218791
Elk Grove School,1,13,0,40.5408905001633
Elk Grove School,1,14,0,40.6603127004599
Elk Grove School,1,15,0,32.3770034268317
Elk Grove School,1,16,0,51.8211090487124
Elk Grove School,1,17,0,NA
Elk Grove School,1,18,0,NA
Elk Grove School,1,19,0,NA
Elk Grove School,2,12,0,50.9792836416559
Elk Grove School,2,13,0,45.7939708289268
Elk Grove School,2,14,0,45.6251281297484
Elk Grove School,2,15,0,50.9252082451275
Elk Grove School,2,16,0,NA
Elk Grove School,2,17,0,NA
Elk Grove School,2,18,0,NA
Elk Grove School,2,19,0,NA
Elk Grove School,3,12,0,53.7904900832514
Elk Grove School,3,13,0,57.0189417592651
Elk Grove School,3,14,0,58.9548068571201
Elk Grove School,3,15,0,58.3026274501201
Elk Grove School,3,16,0,67.2081080033924
Elk Grove School,3,17,0,NA
Elk Grove School,3,18,0,NA
Elk Grove School,3,19,0,NA
Elk Grove School,4,12,0,48.469506413448
Elk Grove School,4,13,0,52.9449606524838
Elk Grove School,4,14,0,40.0783900525963
Elk Grove School,4,15,0,47.8851589121856
Elk Grove School,4,16,0,NA
Elk Grove School,4,17,0,NA
Elk Grove School,4,18,0,NA
Elk Grove School,4,19,0,NA
Elk Grove School,5,12,0,42.97647682238
Elk Grove School,5,13,0,51.0806289399646
Elk Grove School,5,14,0,41.8603859710566
Elk Grove School,5,15,0,48.0304623532774
Elk Grove School,5,16,0,49.886192658345
Elk Grove School,5,17,0,47.1011620243059
Elk Grove School,5,18,0,NA
Elk Grove School,5,19,0,NA
Elk Grove School,6,12,0,52.680702442893804
Elk Grove School,6,13,0,56.9649913801712
Elk Grove School,6,14,0,43.2346887138983
Elk Grove School,6,15,0,55.5369959816417
Elk Grove School,6,16,0,58.2402296469561
Elk Grove School,6,17,0,35.1313538761729
Elk Grove School,6,18,0,NA
Elk Grove School,6,19,0,NA
Elk Grove School,7,12,0,30.7099154342951
Elk Grove School,7,13,0,53.7781299518107
Elk Grove School,7,14,0,49.5424999059289
Elk Grove School,7,15,0,55.0510371215487
Elk Grove School,7,16,0,50.1384389781208
Elk Grove School,7,17,0,NA
Elk Grove School,7,18,0,NA
Elk Grove School,7,19,0,NA
Elk Grove School,8,12,0,46.2531812818519
Elk Grove School,8,13,0,47.4145175064038
Elk Grove School,8,14,0,57.7261685505409
Elk Grove School,8,15,0,43.8456587768277
Elk Grove School,8,16,0,NA
Elk Grove School,8,17,0,NA
Elk Grove School,8,18,0,NA
Elk Grove School,8,19,0,NA
Woodside University,1,12,1,42.1117669983156
Woodside University,1,13,1,30.9091737142756
Woodside University,1,14,1,39.2556472996853
Woodside University,1,15,1,29.0659140253217
Woodside University,1,16,1,32.0535013824803
Woodside University,1,17,1,14.5626513415523
Woodside University,1,18,1,NA
Woodside University,1,19,1,NA
Woodside University,2,12,1,39.8979952797278
Woodside University,2,13,1,31.6747199400376
Woodside University,2,14,1,44.2974773361786
Woodside University,2,15,1,30.4864753483861
Woodside University,2,16,1,20.8267113830991
Woodside University,2,17,1,NA
Woodside University,2,18,1,NA
Woodside University,2,19,1,NA
Woodside University,3,12,1,41.1897268123507
Woodside University,3,13,1,59.3847592858646
Woodside University,3,14,1,37.2440176947599
Woodside University,3,15,1,43.5630589597456
Woodside University,3,16,1,46.7825547414478
Woodside University,3,17,1,NA
Woodside University,3,18,1,NA
Woodside University,3,19,1,NA
Woodside University,4,12,1,54.5315644640285
Woodside University,4,13,1,54.2706383096992
Woodside University,4,14,1,43.1951886363495
Woodside University,4,15,1,44.9870447775266
Woodside University,4,16,1,52.442190729274
Woodside University,4,17,1,34.5014050356306
Woodside University,4,18,1,NA
Woodside University,4,19,1,NA
Woodside University,5,12,1,54.0396004300102
Woodside University,5,13,1,56.5847253024775
Woodside University,5,14,1,53.2606702660011
Woodside University,5,15,1,58.4101291660247
Woodside University,5,16,1,72.9220498029353
Woodside University,5,17,1,69.1030468642814
Woodside University,5,18,1,NA
Woodside University,5,19,1,NA
Woodside University,6,12,1,55.1437220542909
Woodside University,6,13,1,56.3488189982729
Woodside University,6,14,1,65.3605488418938
Woodside University,6,15,1,52.8591755356139
Woodside University,6,16,1,NA
Woodside University,6,17,1,NA
Woodside University,6,18,1,NA
Woodside University,6,19,1,NA
Woodside University,7,12,1,51.0912532988672
Woodside University,7,13,1,59.2920195410499
Woodside University,7,14,1,40.5874358100645
Woodside University,7,15,1,56.3978842719147
Woodside University,7,16,1,NA
Woodside University,7,17,1,NA
Woodside University,7,18,1,NA
Woodside University,7,19,1,NA
Woodside University,8,12,1,40.9111165623157
Woodside University,8,13,1,47.0409500158431
Woodside University,8,14,1,31.48010719577
Woodside University,8,15,1,40.0698300402635
Woodside University,8,16,1,37.3198520185398
Woodside University,8,17,1,NA
Woodside University,8,18,1,NA
Woodside University,8,19,1,NA
Woodside University,9,12,1,39.5926770867744
Woodside University,9,13,1,55.8653474835497
Woodside University,9,14,1,17.4953952213911
Woodside University,9,15,1,23.4924998528764
Woodside University,9,16,1,14.9747347513969
Woodside University,9,17,1,17.510116255113
Woodside University,9,18,1,NA
Woodside University,9,19,1,NA
Woodside University,10,12,1,51.3197917831066
Woodside University,10,13,1,48.5675298104724
Woodside University,10,14,1,43.84217471166
Woodside University,10,15,1,NA
Woodside University,10,16,1,NA
Woodside University,10,17,1,NA
Woodside University,10,18,1,NA
Woodside University,10,19,1,NA
Woodside University,11,12,1,37.0998647897132
Woodside University,11,13,1,33.3860528533978
Woodside University,11,14,1,45.8910124297866
Woodside University,11,15,1,NA
Woodside University,11,16,1,NA
Woodside University,11,17,1,NA
Woodside University,11,18,1,NA
Woodside University,11,19,1,NA
Woodside University,12,12,1,62.8812319197391
Woodside University,12,13,1,45.330083680808
Woodside University,12,14,1,40.4358611436774
Woodside University,12,15,1,51.9426978488169
Woodside University,12,16,1,40.3948652380674
Woodside University,12,17,1,60.6705481540774
Woodside University,12,18,1,NA
Woodside University,12,19,1,NA
Woodside University,13,12,1,60.9926646611054
Woodside University,13,13,1,52.6750212637701
Woodside University,13,14,1,41.6690273724857
Woodside University,13,15,1,55.3336241744853
Woodside University,13,16,1,46.1392272732223
Woodside University,13,17,1,NA
Woodside University,13,18,1,NA
Woodside University,13,19,1,NA
Woodside University,14,12,1,43.1656834842045
Woodside University,14,13,1,57.1741428630444
Woodside University,14,14,1,36.7534332056714
Woodside University,14,15,1,NA
Woodside University,14,16,1,NA
Woodside University,14,17,1,NA
Woodside University,14,18,1,NA
Woodside University,14,19,1,NA
Woodside University,15,12,1,40.6072708129786
Woodside University,15,13,1,43.7217344175614
Woodside University,15,14,1,57.1555749606895
Woodside University,15,15,1,69.7095592850448
Woodside University,15,16,1,59.076981231848
Woodside University,15,17,1,NA
Woodside University,15,18,1,NA
Woodside University,15,19,1,NA
Woodside University,16,12,1,39.7458746309374
Woodside University,16,13,1,35.289769513024
Woodside University,16,14,1,31.34227948827
Woodside University,16,15,1,44.368844532678
Woodside University,16,16,1,NA
Woodside University,16,17,1,NA
Woodside University,16,18,1,NA
Woodside University,16,19,1,NA
Eastwood Institute,1,12,0,53.8386970948852
Eastwood Institute,1,13,0,47.8030104962581
Eastwood Institute,1,14,0,69.8991538780213
Eastwood Institute,1,15,0,55.3039554506614
Eastwood Institute,1,16,0,56.7424166167038
Eastwood Institute,1,17,0,56.346556846755
Eastwood Institute,1,18,0,NA
Eastwood Institute,1,19,0,NA
Eastwood Institute,2,12,0,58.4277019451281
Eastwood Institute,2,13,0,40.5486289058383
Eastwood Institute,2,14,0,39.2238406304025
Eastwood Institute,2,15,0,57.282494321270804
Eastwood Institute,2,16,0,NA
Eastwood Institute,2,17,0,NA
Eastwood Institute,2,18,0,NA
Eastwood Institute,2,19,0,NA
Eastwood Institute,3,12,0,43.1881883632356
Eastwood Institute,3,13,0,46.9961951890851
Eastwood Institute,3,14,0,51.2511390733502
Eastwood Institute,3,15,0,57.8772359688476
Eastwood Institute,3,16,0,51.0675203842653
Eastwood Institute,3,17,0,49.4059607963458
Eastwood Institute,3,18,0,NA
Eastwood Institute,3,19,0,NA
Eastwood Institute,4,12,0,52.792656648838
Eastwood Institute,4,13,0,50.3363747823276
Eastwood Institute,4,14,0,54.9559774844518
Eastwood Institute,4,15,0,52.424543348971
Eastwood Institute,4,16,0,61.8337928493718
Eastwood Institute,4,17,0,64.5051947518925
Eastwood Institute,4,18,0,NA
Eastwood Institute,4,19,0,NA
Eastwood Institute,5,12,0,48.6096536366518
Eastwood Institute,5,13,0,34.3563010398694
Eastwood Institute,5,14,0,46.8769768332275
Eastwood Institute,5,15,0,49.1831388826919
Eastwood Institute,5,16,0,67.9693112984901
Eastwood Institute,5,17,0,49.1731672846467
Eastwood Institute,5,18,0,NA
Eastwood Institute,5,19,0,NA
Eastwood Institute,6,12,0,34.9740015431115
Eastwood Institute,6,13,0,43.0123313106798
Eastwood Institute,6,14,0,44.8124858139578
Eastwood Institute,6,15,0,58.0183081403764
Eastwood Institute,6,16,0,NA
Eastwood Institute,6,17,0,NA
Eastwood Institute,6,18,0,NA
Eastwood Institute,6,19,0,NA
Eastwood Institute,7,12,0,46.0770716993895
Eastwood Institute,7,13,0,51.0735732881937
Eastwood Institute,7,14,0,43.6332250744644
Eastwood Institute,7,15,0,53.4319944580765
Eastwood Institute,7,16,0,56.982205168358
Eastwood Institute,7,17,0,NA
Eastwood Institute,7,18,0,NA
Eastwood Institute,7,19,0,NA
Eastwood Institute,8,12,0,58.0692525534738
Eastwood Institute,8,13,0,48.6779328460017
Eastwood Institute,8,14,0,44.066786136542
Eastwood Institute,8,15,0,47.0084781919488
Eastwood Institute,8,16,0,55.5332910347924
Eastwood Institute,8,17,0,NA
Eastwood Institute,8,18,0,NA
Eastwood Institute,8,19,0,NA
Eastwood Institute,9,12,0,45.7610863366919
Eastwood Institute,9,13,0,39.3405160803218
Eastwood Institute,9,14,0,40.7270158467351
Eastwood Institute,9,15,0,34.1032943220444
Eastwood Institute,9,16,0,21.9340116960841
Eastwood Institute,9,17,0,41.5718695171256
Eastwood Institute,9,18,0,30.9116365289417
Eastwood Institute,9,19,0,NA
Eastwood Institute,10,12,0,52.0881224768029
Eastwood Institute,10,13,0,66.1498036978584
Eastwood Institute,10,14,0,64.6198287656549
Eastwood Institute,10,15,0,40.5384833049986
Eastwood Institute,10,16,0,56.1870610783183
Eastwood Institute,10,17,0,NA
Eastwood Institute,10,18,0,NA
Eastwood Institute,10,19,0,NA
Oak Park Technical School,1,12,1,64.7063885992965
Oak Park Technical School,1,13,1,56.8258380896366
Oak Park Technical School,1,14,1,54.7675383162117
Oak Park Technical School,1,15,1,50.7417910858016
Oak Park Technical School,1,16,1,39.864819673878
Oak Park Technical School,1,17,1,54.2022293274489
Oak Park Technical School,1,18,1,NA
Oak Park Technical School,1,19,1,NA
Oak Park Technical School,2,12,1,44.8508410019139
Oak Park Technical School,2,13,1,42.5030339007457
Oak Park Technical School,2,14,1,53.6534276960717
Oak Park Technical School,2,15,1,53.4196044905306
Oak Park Technical School,2,16,1,53.837988516755
Oak Park Technical School,2,17,1,NA
Oak Park Technical School,2,18,1,NA
Oak Park Technical School,2,19,1,NA
Oak Park Technical School,3,12,1,45.5344324185717
Oak Park Technical School,3,13,1,61.9646582721271
Oak Park Technical School,3,14,1,61.7890145061156
Oak Park Technical School,3,15,1,38.5626012338721
Oak Park Technical School,3,16,1,55.4785141648887
Oak Park Technical School,3,17,1,43.4642495643098
Oak Park Technical School,3,18,1,NA
Oak Park Technical School,3,19,1,NA
Oak Park Technical School,4,12,1,64.8147319167738
Oak Park Technical School,4,13,1,42.7587970458382
Oak Park Technical School,4,14,1,46.1346015247535
Oak Park Technical School,4,15,1,45.5750183853875
Oak Park Technical School,4,16,1,48.8021112040855
Oak Park Technical School,4,17,1,NA
Oak Park Technical School,4,18,1,NA
Oak Park Technical School,4,19,1,NA
Oak Park Technical School,5,12,1,35.6528001334398
Oak Park Technical School,5,13,1,34.2622115971966
Oak Park Technical School,5,14,1,56.8942653532344
Oak Park Technical School,5,15,1,29.9838252763869
Oak Park Technical School,5,16,1,38.9716372716861
Oak Park Technical School,5,17,1,NA
Oak Park Technical School,5,18,1,NA
Oak Park Technical School,5,19,1,NA
Oak Park Technical School,6,12,1,39.6689163325079
Oak Park Technical School,6,13,1,56.2097862634351
Oak Park Technical School,6,14,1,29.2412628240134
Oak Park Technical School,6,15,1,37.3660504037265
Oak Park Technical School,6,16,1,53.6337699228293
Oak Park Technical School,6,17,1,NA
Oak Park Technical School,6,18,1,NA
Oak Park Technical School,6,19,1,NA
Oak Park Technical School,7,12,1,47.5829661482119
Oak Park Technical School,7,13,1,51.9305915531124
Oak Park Technical School,7,14,1,37.525549078814
Oak Park Technical School,7,15,1,52.1840050800235
Oak Park Technical School,7,16,1,50.4412708316299
Oak Park Technical School,7,17,1,NA
Oak Park Technical School,7,18,1,NA
Oak Park Technical School,7,19,1,NA
Oak Park Technical School,8,12,1,47.1396226613681
Oak Park Technical School,8,13,1,46.119587861188
Oak Park Technical School,8,14,1,50.132252537144
Oak Park Technical School,8,15,1,44.8324488970932
Oak Park Technical School,8,16,1,58.1003227294196
Oak Park Technical School,8,17,1,NA
Oak Park Technical School,8,18,1,NA
Oak Park Technical School,8,19,1,NA
Oak Park Technical School,9,12,1,33.0827920672507
Oak Park Technical School,9,13,1,33.5919324349578
Oak Park Technical School,9,14,1,24.2160293277079
Oak Park Technical School,9,15,1,32.521543657902
Oak Park Technical School,9,16,1,30.7152953675126
Oak Park Technical School,9,17,1,NA
Oak Park Technical School,9,18,1,NA
Oak Park Technical School,9,19,1,NA
Oak Park Technical School,10,12,1,34.5696213808591
Oak Park Technical School,10,13,1,54.2826806384238
Oak Park Technical School,10,14,1,41.6827064905985
Oak Park Technical School,10,15,1,30.9077295166242
Oak Park Technical School,10,16,1,39.6512992248121
Oak Park Technical School,10,17,1,NA
Oak Park Technical School,10,18,1,NA
Oak Park Technical School,10,19,1,NA
Oak Park Technical School,11,12,1,29.1626198591888
Oak Park Technical School,11,13,1,25.3737310920032
Oak Park Technical School,11,14,1,35.1556264284265
Oak Park Technical School,11,15,1,10.4372740202386
Oak Park Technical School,11,16,1,0
Oak Park Technical School,11,17,1,NA
Oak Park Technical School,11,18,1,NA
Oak Park Technical School,11,19,1,NA
Central Grammar School,1,12,0,48.0318898913558
Central Grammar School,1,13,0,43.8351607026
Central Grammar School,1,14,0,45.0734622861024
Central Grammar School,1,15,0,42.8292509454097
Central Grammar School,1,16,0,NA
Central Grammar School,1,17,0,NA
Central Grammar School,1,18,0,NA
Central Grammar School,1,19,0,NA
Central Grammar School,2,12,0,50.1888133018711
Central Grammar School,2,13,0,48.5862246599322
Central Grammar School,2,14,0,62.0674915963555
Central Grammar School,2,15,0,64.5578552275097
Central Grammar School,2,16,0,NA
Central Grammar School,2,17,0,NA
Central Grammar School,2,18,0,NA
Central Grammar School,2,19,0,NA
Central Grammar School,3,12,0,56.6440805765274
Central Grammar School,3,13,0,50.6370130364521
Central Grammar School,3,14,0,57.177609654444
Central Grammar School,3,15,0,74.2675545320473
Central Grammar School,3,16,0,60.9481350938684
Central Grammar School,3,17,0,72.242077186233
Central Grammar School,3,18,0,NA
Central Grammar School,3,19,0,NA
Central Grammar School,4,12,0,47.2330739484678
Central Grammar School,4,13,0,50.3544755637471
Central Grammar School,4,14,0,57.1549126453035
Central Grammar School,4,15,0,68.9009370387401
Central Grammar School,4,16,0,71.0948468357616
Central Grammar School,4,17,0,69.7353205782484
Central Grammar School,4,18,0,NA
Central Grammar School,4,19,0,NA
Central Grammar School,5,12,0,37.613983169034
Central Grammar School,5,13,0,38.3011803288909
Central Grammar School,5,14,0,37.4445444168982
Central Grammar School,5,15,0,33.5226272531547
Central Grammar School,5,16,0,34.5273326841774
Central Grammar School,5,17,0,42.377004497607
Central Grammar School,5,18,0,NA
Central Grammar School,5,19,0,NA
Central Grammar School,6,12,0,40.331746588878
Central Grammar School,6,13,0,28.4352614720526
Central Grammar School,6,14,0,22.9678270336886
Central Grammar School,6,15,0,20.2967591247256
Central Grammar School,6,16,0,24.5869767424367
Central Grammar School,6,17,0,21.6944295641323
Central Grammar School,6,18,0,NA
Central Grammar School,6,19,0,NA
Central Grammar School,7,12,0,44.4569209165652
Central Grammar School,7,13,0,41.5327677989734
Central Grammar School,7,14,0,43.645458234214
Central Grammar School,7,15,0,53.7029244659695
Central Grammar School,7,16,0,43.6697719821988
Central Grammar School,7,17,0,NA
Central Grammar School,7,18,0,NA
Central Grammar School,7,19,0,NA
Central Grammar School,8,12,0,44.1033677307931
Central Grammar School,8,13,0,46.6328975430071
Central Grammar School,8,14,0,42.1886825316293
Central Grammar School,8,15,0,61.2930704028782
Central Grammar School,8,16,0,NA
Central Grammar School,8,17,0,NA
Central Grammar School,8,18,0,NA
Central Grammar School,8,19,0,NA
Central Grammar School,9,12,0,42.08866874938
Central Grammar School,9,13,0,45.8739019519625
Central Grammar School,9,14,0,51.3745061156037
Central Grammar School,9,15,0,47.3221042006584
Central Grammar School,9,16,0,36.3792324127414
Central Grammar School,9,17,0,41.4323149764123
Central Grammar School,9,18,0,NA
Central Grammar School,9,19,0,NA
Central Grammar School,10,12,0,51.8858994639092
Central Grammar School,10,13,0,45.8658436580487
Central Grammar School,10,14,0,49.9735276621453
Central Grammar School,10,15,0,36.0674332677913
Central Grammar School,10,16,0,50.4466771375478
Central Grammar School,10,17,0,NA
Central Grammar School,10,18,0,NA
Central Grammar School,10,19,0,NA
Central Grammar School,11,12,0,41.4884962868423
Central Grammar School,11,13,0,43.5232720971351
Central Grammar School,11,14,0,46.5411880372048
Central Grammar School,11,15,0,38.816258803773
Central Grammar School,11,16,0,NA
Central Grammar School,11,17,0,NA
Central Grammar School,11,18,0,NA
Central Grammar School,11,19,0,NA
Clearwater Charter School,1,12,1,56.9568041499961
Clearwater Charter School,1,13,1,30.7444594094041
Clearwater Charter School,1,14,1,50.1008640013861
Clearwater Charter School,1,15,1,35.2995895595756
Clearwater Charter School,1,16,1,NA
Clearwater Charter School,1,17,1,NA
Clearwater Charter School,1,18,1,NA
Clearwater Charter School,1,19,1,NA
Clearwater Charter School,2,12,1,61.3604441417217
Clearwater Charter School,2,13,1,54.3905075127082
Clearwater Charter School,2,14,1,61.9678644516491
Clearwater Charter School,2,15,1,56.933563582545
Clearwater Charter School,2,16,1,46.889392769203
Clearwater Charter School,2,17,1,NA
Clearwater Charter School,2,18,1,NA
Clearwater Charter School,2,19,1,NA
Clearwater Charter School,3,12,1,40.2318258198323
Clearwater Charter School,3,13,1,39.8482902570241
Clearwater Charter School,3,14,1,41.543143135101
Clearwater Charter School,3,15,1,40.9715919171792
Clearwater Charter School,3,16,1,56.643270942792
Clearwater Charter School,3,17,1,54.6714483167989
Clearwater Charter School,3,18,1,NA
Clearwater Charter School,3,19,1,NA
Clearwater Charter School,4,12,1,49.5572388812261
Clearwater Charter School,4,13,1,48.1170246342046
Clearwater Charter School,4,14,1,62.545113340155
Clearwater Charter School,4,15,1,72.9705500630476
Clearwater Charter School,4,16,1,74.1902768411421
Clearwater Charter School,4,17,1,78.161849350398
Clearwater Charter School,4,18,1,74.9663439257241
Clearwater Charter School,4,19,1,NA
Clearwater Charter School,5,12,1,45.1159968832802
Clearwater Charter School,5,13,1,44.1886495859547
Clearwater Charter School,5,14,1,47.8775171215409
Clearwater Charter School,5,15,1,NA
Clearwater Charter School,5,16,1,NA
Clearwater Charter School,5,17,1,NA
Clearwater Charter School,5,18,1,NA
