t1_q1,t1_q2,t1_q3,t1_q4,t1_q5,t1_q6,task,t2_q1,t2_q2,t2_q3,t2_q4,t2_q5,t2_q6
Agree,Disagree,Strongly Disagree,Neither Disagree nor Agree,Agree,Disagree,nothing,Agree,Disagree,Strongly Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree
Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree
Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,nothing,Neither Disagree nor Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree
Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,nothing,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree
Agree,Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Agree,Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,Disagree,nothing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,Disagree
Neither Disagree nor Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,nothing,Neither Disagree nor Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree
Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,nothing,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,nothing,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree
Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,nothing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,Disagree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,nothing,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree
Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Agree,nothing,Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree,nothing,Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,nothing,Disagree,Agree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree
Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,nothing,Disagree,Neither Disagree nor Agree,Agree,Agree,Disagree,Agree
Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree,nothing,Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree
Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,nothing,Neither Disagree nor Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree
Strongly Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,nothing,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,nothing,Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,nothing,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Agree
Disagree,Disagree,Disagree,Agree,Agree,Disagree,nothing,Disagree,Disagree,Disagree,Agree,Agree,Disagree
Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,nothing,Agree,Disagree,Neither Disagree nor Agree,Disagree,Agree,Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,nothing,Agree,Agree,Agree,Disagree,Disagree,Agree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Disagree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,nothing,Agree,Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree
Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree
Agree,Disagree,Strongly Disagree,Neither Disagree nor Agree,Agree,Disagree,nothing,Agree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Disagree
Disagree,Disagree,Disagree,Agree,Agree,Disagree,nothing,Disagree,Disagree,Disagree,Agree,Agree,Disagree
Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,nothing,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree
Neither Disagree nor Agree,Agree,Agree,Disagree,Disagree,Agree,nothing,Agree,Agree,Agree,Disagree,Disagree,Agree
Agree,Agree,Agree,Disagree,Disagree,Agree,nothing,Agree,Neither Disagree nor Agree,Strongly Agree,Disagree,Neither Disagree nor Agree,Agree
Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Agree,Strongly Agree,Disagree,Disagree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Agree,Agree,Disagree,Disagree,Agree
Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,nothing,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree
Neither Disagree nor Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,nothing,Neither Disagree nor Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree
Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,nothing,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Strongly Agree,Agree,Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree
Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Agree,nothing,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Agree
Disagree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,nothing,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Agree,Disagree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Agree,Disagree
Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Disagree,Neither Disagree nor Agree,Disagree,Agree,Strongly Agree,Disagree,nothing,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Agree,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree
Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,nothing,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Agree,Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,nothing,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree
Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,nothing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Disagree,Agree,nothing,Disagree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree
Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,nothing,Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree
Strongly Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,nothing,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree
Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Agree,Agree,Disagree,Neither Disagree nor Agree,Agree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,nothing,Agree,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Agree
Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,nothing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Disagree,nothing,Neither Disagree nor Agree,Disagree,Disagree,Agree,Agree,Disagree
Agree,Disagree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,nothing,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree
Agree,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Agree,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,nothing,Strongly Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree
Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,nothing,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,nothing,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree
Strongly Agree,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Strongly Agree,Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,nothing,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Agree
Strongly Agree,Disagree,Neither Disagree nor Agree,Disagree,Agree,Disagree,nothing,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree
Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Disagree,nothing,Neither Disagree nor Agree,Disagree,Disagree,Agree,Agree,Disagree
Neither Disagree nor Agree,Agree,Agree,Strongly Disagree,Disagree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Agree,Agree,Strongly Disagree,Disagree,Neither Disagree nor Agree
Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,nothing,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree
Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Disagree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,nothing,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree
Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,nothing,Neither Disagree nor Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Agree,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,nothing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Agree,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Disagree,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,nothing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,nothing,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree
Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,nothing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,nothing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,nothing,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Disagree
Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,Disagree,nothing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,nothing,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Disagree
Neither Disagree nor Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,nothing,Neither Disagree nor Agree,Disagree,Disagree,Agree,Agree,Disagree
Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,nothing,Disagree,Disagree,Neither Disagree nor Agree,Strongly Agree,Strongly Agree,Disagree
Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,nothing,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree
Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,nothing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Disagree,Disagree,Agree,Agree,Disagree,nothing,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,Disagree
Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Agree,nothing,Agree,Agree,Agree,Disagree,Disagree,Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
