v5,v6,kstot,age,male,toomuchscience,solveprob
643,2,8,47,0,4,1
645,2,9,44,1,,
646,2,7,58,0,3,1
647,2,8,27,1,,
649,2,12,35,1,1,3
650,2,3,36,1,3,3
651,2,10,49,0,,
652,2,11,45,0,,
653,2,9,18,0,3,0
654,2,9,45,0,0,0
656,2,5,58,0,,
657,2,13,26,0,0,0
659,2,12,72,0,3,0
660,2,12,36,1,0,0
661,2,10,30,1,0,1
662,2,11,61,1,0,0
663,2,10,46,0,,
664,2,7,55,0,,
665,2,12,53,1,,
666,2,9,30,0,0,0
667,2,9,73,1,,
668,2,12,39,0,,
670,2,10,40,1,,
672,2,13,49,0,3,1
673,2,12,41,0,,
674,2,7,66,0,0,0
675,2,6,27,1,,0
677,2,8,37,0,2,0
678,2,7,20,0,,
679,2,11,27,1,,
680,2,5,59,0,3,3
681,2,9,79,1,,
682,2,5,49,1,2,2
683,2,6,68,0,,
684,2,8,52,1,,
685,2,5,70,1,,
686,2,5,34,0,3,2
688,2,9,49,0,,
689,2,8,69,0,,
690,2,9,48,0,3,2
691,2,13,25,0,2,1
692,2,8,58,0,0,0
694,2,7,27,0,,
695,2,11,27,1,,
696,2,10,57,1,,
697,2,10,27,1,3,2
700,2,6,60,1,0,4
702,2,10,43,0,,
703,2,7,45,1,4,0
704,2,11,92,0,,
705,2,10,35,0,3,0
706,2,12,62,0,,
707,2,11,77,0,,
708,2,9,33,0,0,0
709,2,12,43,1,0,0
710,2,12,62,1,0,1
711,2,11,27,0,,
712,2,7,51,0,,
713,2,12,53,1,1,0
715,2,11,41,0,0,0
716,2,7,75,0,,
718,2,5,59,0,2,2
719,2,6,32,0,,
720,2,7,39,1,,
721,2,5,59,0,,
722,2,6,39,0,2,2
723,2,9,42,0,2,2
724,2,9,55,0,2,3
725,2,7,59,0,,
726,2,5,57,0,,
727,2,6,33,1,,
728,2,8,32,0,,
729,2,6,68,1,,
730,2,6,46,0,,
731,2,7,23,0,2,3
732,2,5,42,1,,
733,2,10,29,1,,
734,2,7,48,0,,
735,2,8,59,0,2,2
736,2,3,55,0,,
737,2,6,34,1,,
738,2,7,42,0,,
739,2,9,48,0,3,3
740,2,7,51,0,,
741,2,7,68,0,2,2
742,2,6,36,1,,
743,2,8,31,0,,
744,2,7,40,1,3,2
745,2,5,74,0,,
746,2,11,46,0,,
747,2,12,52,0,0,0
748,2,9,79,0,3,0
749,2,11,48,0,,
750,2,12,52,1,,
751,2,10,22,1,,
752,2,11,54,0,2,0
753,2,9,55,0,,
754,2,11,76,0,1,3
755,2,12,35,1,1,1
756,2,11,55,0,3,0
757,2,9,52,0,0,3
758,2,11,42,0,0,3
759,2,8,76,0,,
760,2,7,44,0,,
761,2,11,61,1,2,0
762,2,6,50,1,,
763,2,12,65,0,,
767,2,13,26,1,0,1
768,2,13,44,1,2,0
769,2,13,67,1,3,3
770,2,11,24,1,4,0
772,2,11,79,1,,
773,2,10,27,0,3,0
774,2,12,27,0,,
775,2,11,80,1,,
776,2,10,76,0,3,0
777,2,11,53,0,2,0
779,2,12,32,0,1,4
780,2,7,57,0,1,1
781,2,9,51,0,4,0
785,2,13,54,1,1,1
787,2,9,41,0,3,0
790,2,5,52,0,,
791,2,12,26,1,,
792,2,7,44,1,4,0
793,2,13,50,1,0,4
794,2,12,53,1,,
795,2,12,49,1,0,4
796,2,11,49,1,0,0
797,2,8,50,0,3,3
798,2,6,56,0,0,0
801,2,6,41,0,2,0
804,2,7,54,1,2,0
805,2,7,84,1,,
806,2,7,27,1,2,0
807,2,7,76,1,,
808,2,12,51,1,,
809,2,9,47,0,2,4
810,2,10,48,0,,
811,2,10,54,1,3,0
812,2,11,58,1,,
813,2,9,74,1,0,0
814,2,8,47,0,2,0
815,2,12,51,1,0,0
816,2,7,56,1,1,3
817,2,9,66,0,,
818,2,11,54,1,,
820,2,12,63,0,,
821,2,8,35,0,,
822,2,11,38,0,2,1
823,2,6,29,0,1,0
824,2,5,67,1,,
826,2,9,45,1,,
827,2,7,62,0,3,0
828,2,7,64,0,,
829,2,7,67,1,,
830,2,5,20,0,4,2
831,2,12,51,1,,
833,2,8,60,1,0,0
834,2,13,24,1,,
835,2,10,32,0,,
839,2,11,39,0,1,1
840,2,11,23,1,,
843,2,12,67,1,2,0
844,2,10,40,0,,
845,2,8,61,1,,
847,2,11,55,1,,
848,2,11,26,0,0,0
849,2,10,59,0,,
850,2,12,54,0,,
851,2,9,60,0,0,2
852,2,3,75,1,2,
853,2,5,74,1,,
854,2,10,51,0,2,0
856,2,8,17,1,2,0
857,2,12,57,1,0,0
858,2,6,57,0,,
859,2,11,41,0,,
860,2,13,36,1,,
861,2,5,53,0,,
862,2,8,26,1,,
864,2,6,48,0,,
865,2,8,22,0,,
866,2,7,60,0,,
870,2,10,47,0,2,1
871,2,8,55,1,1,1
872,2,12,38,0,,
873,2,9,71,1,1,1
874,2,9,43,0,,
875,2,11,46,1,,
876,2,8,36,1,0,1
877,2,13,63,1,,
878,2,7,66,0,3,1
879,2,10,76,1,,
880,2,13,35,0,0,1
881,2,9,41,0,1,1
882,2,12,56,1,0,1
883,2,9,70,0,2,2
884,2,10,60,1,,
885,2,3,26,1,,
886,2,10,75,1,0,0
887,2,4,58,0,2,3
888,2,8,60,0,1,1
889,2,10,54,1,0,2
890,2,12,31,0,3,1
891,2,9,48,0,,
892,2,11,60,1,2,0
893,2,13,19,1,0,1
894,2,5,26,1,,
895,2,8,25,1,,
896,2,10,59,1,,
897,2,11,31,0,3,1
898,2,8,54,1,1,0
899,2,5,71,1,4,1
900,2,10,43,1,,
901,2,8,52,0,1,1
902,2,8,73,1,,
903,2,7,57,0,4,4
905,2,12,22,1,,
906,2,11,60,1,,
907,2,11,43,0,3,1
909,2,10,63,1,,
910,2,13,56,0,1,1
911,2,11,65,1,1,0
912,2,6,57,0,,
913,2,9,62,0,,
914,2,8,56,0,,
915,2,8,44,1,,
917,2,11,34,0,3,2
918,2,10,25,1,,
919,2,6,62,0,,
920,2,9,45,0,1,1
921,2,11,21,1,2,0
922,2,8,16,1,,
923,2,10,18,1,,
924,2,8,52,0,2,0
925,2,6,61,0,3,0
926,2,10,41,0,1,3
927,2,12,49,1,,
928,2,5,67,0,3,2
929,2,8,15,1,,
930,2,10,54,0,,
931,2,8,78,1,2,0
932,2,8,32,0,,
933,2,10,53,1,1,1
934,2,7,62,1,4,4
936,2,11,21,1,1,1
937,2,6,51,0,,
939,2,9,27,0,2,1
940,2,9,46,1,,
941,2,9,41,0,,
942,2,11,59,1,2,0
944,2,13,33,1,,
945,2,6,74,0,,
946,2,8,51,0,0,1
947,2,13,24,1,,
948,2,12,46,1,3,1
949,2,10,66,1,4,4
950,2,5,46,0,,
951,2,10,47,1,,
952,2,8,60,1,1,0
953,2,6,54,0,0,1
954,2,9,42,1,3,0
955,2,7,63,0,2,2
958,2,10,61,1,2,1
959,2,12,32,0,,
960,2,9,27,0,2,1
963,2,11,19,1,2,2
964,2,11,40,0,,
966,2,2,50,0,,
969,2,9,44,0,,
970,2,12,63,1,,
971,2,13,63,0,,
972,2,11,52,1,2,1
973,2,6,76,1,4,1
974,2,11,63,0,2,1
975,2,8,70,0,3,2
977,2,12,49,1,,
978,2,11,44,0,,
979,2,7,70,1,3,1
980,2,12,30,1,,0
981,2,11,35,0,,
982,2,12,37,0,,
983,2,12,42,0,3,1
984,2,12,64,0,3,1
986,2,11,42,1,,
988,2,13,43,0,,
995,2,8,52,0,,
996,2,12,22,0,2,1
997,2,12,83,1,,
998,2,11,74,1,,
999,2,9,29,1,,
1000,2,10,61,0,2,1
1001,2,13,50,0,3,1
1002,2,13,48,1,0,1
1003,2,11,47,0,,
1004,2,11,36,0,2,1
1005,2,8,64,0,,
1006,2,9,65,1,,
1007,2,11,38,0,2,1
1008,2,11,50,1,,
1009,2,9,59,0,,
1010,2,10,18,1,,
1011,2,10,71,0,,
1012,2,12,64,0,3,1
1013,2,11,67,1,2,3
1015,2,10,63,1,,
1017,2,10,25,1,,
1018,2,10,65,1,3,1
1019,2,11,58,1,,
1020,2,8,65,1,2,0
1021,2,8,45,1,0,2
1022,2,12,53,1,3,0
1023,2,8,21,0,4,1
1027,7,0,69,0,,1
1028,7,7,34,0,,
1029,7,7,32,0,4,0
1030,7,13,51,1,0,3
1031,7,11,53,1,,
1032,7,10,42,0,,
1033,7,12,56,1,1,1
1037,7,6,32,1,,
1038,7,6,62,0,3,3
1039,7,7,53,0,2,0
1040,7,8,67,0,0,1
1041,7,10,59,1,3,1
1042,7,9,58,0,3,0
1043,7,12,19,0,,
1044,7,13,57,1,,
1045,7,9,61,0,,
1046,7,6,60,1,,
1047,7,7,34,0,,
1048,7,10,28,0,0,0
1050,7,5,59,0,,
1051,7,8,26,1,4,0
1052,7,12,37,1,,
1053,7,10,16,0,4,4
1055,7,11,29,0,3,1
1056,7,13,24,1,2,0
1057,7,8,39,1,0,0
1058,7,8,22,1,,
1060,7,10,24,1,,
1061,7,10,61,1,,
1062,7,11,58,1,3,1
1063,7,12,63,1,,
1065,7,12,61,1,2,0
1068,7,11,37,0,,
1070,7,9,21,0,2,2
1071,7,10,37,0,3,0
1075,7,7,16,1,1,0
1076,7,7,17,0,,
1077,7,11,51,0,,
1078,7,12,23,1,,
1079,7,7,40,1,,
1080,7,8,55,0,3,0
1081,7,6,15,1,,
1085,7,10,55,1,,
1086,7,11,36,0,,
1087,7,6,55,0,4,1
1088,7,6,76,0,3,0
1089,7,12,39,1,,
1090,7,10,41,1,,
1091,7,9,56,1,3,3
1092,7,9,37,0,,
1095,7,11,15,1,,
1096,7,9,55,1,2,1
1097,7,11,17,0,,
1099,7,11,33,1,,
1103,7,8,36,0,,
1104,7,12,35,0,,
1105,7,13,26,1,1,1
1107,7,13,30,1,,
1108,7,9,28,0,1,0
1110,7,6,73,1,3,1
1111,7,12,43,0,4,1
1113,7,11,29,1,1,3
1114,7,11,32,0,1,1
1119,7,9,93,1,2,0
1120,7,7,88,0,3,0
1121,7,10,74,1,1,0
1122,7,4,70,0,,
1123,7,4,78,0,3,3
1126,7,12,17,0,,
1127,7,9,72,0,2,0
1128,7,13,27,1,0,1
1130,7,6,68,1,4,1
1132,7,11,52,0,,
1134,7,10,39,1,,
1136,7,11,76,0,,
1137,7,13,25,1,2,0
1139,7,9,56,0,4,0
1140,7,11,41,0,,
1141,7,7,69,0,2,1
1142,7,7,54,1,2,0
1144,7,12,51,0,,
1145,7,10,31,1,,
1146,7,12,32,0,,
1148,7,11,33,0,1,0
1150,7,12,43,1,,
1152,7,8,51,1,,
1153,7,6,20,1,2,4
1154,7,10,75,1,,
1158,7,4,55,0,0,0
1159,7,10,43,1,0,2
1160,7,7,70,1,,
1162,7,8,15,1,,
1165,7,8,61,0,0,2
1166,7,11,67,1,,
1167,7,8,52,0,,
1168,7,8,47,0,,
1169,7,13,20,1,,
1172,7,9,51,0,,
1173,7,11,68,1,,
1174,7,10,83,1,1,0
1175,7,11,88,0,,
1177,7,11,77,1,2,0
1178,7,10,32,0,2,1
1180,7,7,48,1,2,0
1181,7,8,48,0,,
1183,7,12,54,1,2,4
1184,7,11,56,1,,
1185,7,11,34,1,,
1186,7,7,49,0,,
1187,7,10,46,0,,
1188,7,9,47,1,3,0
1189,7,11,28,1,1,0
1190,7,9,61,0,,
1191,7,9,63,0,,
1192,7,6,46,0,4,0
1193,7,4,56,1,,
1194,7,8,55,0,3,0
1196,7,9,55,0,2,0
1197,7,6,65,0,,
1201,7,13,64,1,,
1203,7,8,40,0,,
1204,7,5,77,1,4,4
1205,7,8,45,1,2,0
1206,7,7,68,0,,
1207,7,7,66,1,3,2
1208,7,9,59,0,2,2
1209,7,8,44,1,2,2
1210,7,10,53,0,2,2
1211,7,4,82,0,2,0
1212,7,8,48,0,,
1213,7,9,56,1,4,0
1214,7,10,52,1,2,0
1215,7,10,21,0,,
1217,7,9,61,0,,
1218,7,9,59,0,,
1222,7,10,62,0,2,2
1224,7,12,41,1,2,4
1226,7,13,56,1,1,2
1227,7,10,25,1,2,2
1229,7,5,37,0,2,2
1230,7,13,57,1,1,0
1232,7,6,49,0,,
1233,7,4,71,0,2,0
1236,7,11,46,1,,
1237,7,11,60,1,,
1238,7,9,35,1,2,2
1240,7,9,18,0,,
1241,7,9,42,0,3,1
1242,7,8,43,0,4,0
1243,7,7,19,0,1,3
1244,7,8,62,1,,1
1245,7,9,68,0,,
1246,7,6,63,1,3,1
1249,7,11,56,1,3,1
1250,7,9,79,1,2,2
1251,7,10,62,1,,
1252,7,11,45,0,,
1255,7,9,72,1,,
1256,7,8,61,0,0,0
1257,7,11,38,1,,
1259,7,12,63,1,0,0
1261,7,13,20,1,,
1263,7,10,62,0,,
1264,7,7,22,0,,
1266,7,9,63,1,1,1
1267,7,10,38,0,,
1268,7,11,59,0,3,0
1269,7,11,48,1,0,0
1270,7,6,57,0,,
1271,7,5,80,0,1,1
1272,7,7,55,0,4,2
1273,7,8,64,1,1,1
1274,7,9,64,0,,
1275,7,9,63,1,0,1
1276,7,7,57,1,2,4
1277,7,8,25,0,,
1278,7,9,36,0,2,2
1279,7,11,20,0,1,0
1280,7,12,25,0,,
1283,7,9,37,1,2,2
1289,7,8,82,0,3,1
1291,7,9,79,1,4,0
1292,7,5,51,0,,
1293,7,8,15,0,1,1
1295,7,8,64,0,4,1
1297,7,12,24,1,,
1299,7,9,40,0,3,1
1300,7,10,40,0,2,0
1301,7,8,24,1,2,2
1302,7,10,19,1,1,1
1304,7,7,49,0,,
1306,7,10,19,0,2,1
1307,7,12,39,1,,
1308,7,8,39,0,,
1309,7,10,15,0,0,0
1311,7,8,34,1,,
1312,7,11,66,0,,
