ppt,pref_c,pref_t,pref_sw,pref_m,pref_dpc,flyer,show,stars,enj
13,19,18,17,13,21,1,Aja Murray's Mirthful Musical Mystery,2,60.57148506881872
13,19,18,17,13,21,1,Emma in Waterstones: A reading from the author,3,58.835577826261485
13,19,18,17,13,21,1,Patrick Sturt's Peculiar Poetry Slam,3,59.465367341491735
13,19,18,17,13,21,1,Josiah King's Lear: A Shakespearean Tragedy,4,62.90242304534962
13,19,18,17,13,21,1,John Martindale's Martian Misadventures,4,61.98517593082166
13,19,18,17,13,21,1,Tom in a Booth: A one man show,5,62.61212389241497
13,19,18,17,13,21,1,The Amazing Magical Monica,5,65.25480307348982
14,12,13,15,15,12,0,The Alex Doumas Drama Dilemma,1,50.51695073968203
14,12,13,15,15,12,0,Jazz Brunch with Zach's Horne Section,1,54.63535013456462
14,12,13,15,15,12,0,Dr Noe: James Bond Extraordinaire,2,52.51826658400569
14,12,13,15,15,12,0,Aja Murray's Mirthful Musical Mystery,2,56.52582088511939
14,12,13,15,15,12,0,Emma in Waterstones: A reading from the author,3,56.36169608384326
14,12,13,15,15,12,0,Patrick Sturt's Peculiar Poetry Slam,3,58.158780984875264
14,12,13,15,15,12,0,Josiah King's Lear: A Shakespearean Tragedy,4,58.332835412393564
14,12,13,15,15,12,0,John Martindale's Martian Misadventures,4,58.5794651481885
14,12,13,15,15,12,0,Tom in a Booth: A one man show,5,61.331158894999305
14,12,13,15,15,12,0,The Amazing Magical Monica,5,59.931627129786264
15,22,20,13,16,8,1,The Alex Doumas Drama Dilemma,1,53.35244035068677
15,22,20,13,16,8,1,Jazz Brunch with Zach's Horne Section,1,51.020468040079194
15,22,20,13,16,8,1,Dr Noe: James Bond Extraordinaire,2,55.494620723042054
15,22,20,13,16,8,1,Aja Murray's Mirthful Musical Mystery,2,58.700533343419245
15,22,20,13,16,8,1,Emma in Waterstones: A reading from the author,3,55.51708267701851
15,22,20,13,16,8,1,Patrick Sturt's Peculiar Poetry Slam,3,58.61538364536801
15,22,20,13,16,8,1,Josiah King's Lear: A Shakespearean Tragedy,4,57.013070907593686
15,22,20,13,16,8,1,John Martindale's Martian Misadventures,4,57.52403046545607
15,22,20,13,16,8,1,Tom in a Booth: A one man show,5,59.1314569872343
15,22,20,13,16,8,1,The Amazing Magical Monica,5,61.03956937888182
16,11,9,16,18,15,0,The Alex Doumas Drama Dilemma,1,53.198688722316
16,11,9,16,18,15,0,Jazz Brunch with Zach's Horne Section,1,50.40323198112003
16,11,9,16,18,15,0,Dr Noe: James Bond Extraordinaire,2,56.53150692654821
16,11,9,16,18,15,0,Aja Murray's Mirthful Musical Mystery,2,56.650590846704375
16,11,9,16,18,15,0,Emma in Waterstones: A reading from the author,3,56.57329285555639
16,11,9,16,18,15,0,Patrick Sturt's Peculiar Poetry Slam,3,59.37698704985351
16,11,9,16,18,15,0,Josiah King's Lear: A Shakespearean Tragedy,4,59.42315922520652
16,11,9,16,18,15,0,John Martindale's Martian Misadventures,4,58.92683583690695
16,11,9,16,18,15,0,Tom in a Booth: A one man show,5,62.960575350503426
16,11,9,16,18,15,0,The Amazing Magical Monica,5,62.5245911652961
17,22,23,13,18,12,1,The Alex Doumas Drama Dilemma,1,51.41122584359255
17,22,23,13,18,12,1,Jazz Brunch with Zach's Horne Section,1,57.09167346217167
17,22,23,13,18,12,1,Dr Noe: James Bond Extraordinaire,2,51.722563019828044
17,22,23,13,18,12,1,Aja Murray's Mirthful Musical Mystery,2,57.747071075729224
17,22,23,13,18,12,1,Emma in Waterstones: A reading from the author,3,57.573666257747504
17,22,23,13,18,12,1,Patrick Sturt's Peculiar Poetry Slam,3,60.157641824235824
17,22,23,13,18,12,1,Josiah King's Lear: A Shakespearean Tragedy,4,56.76143751521706
17,22,23,13,18,12,1,John Martindale's Martian Misadventures,4,54.94017040686501
17,22,23,13,18,12,1,Tom in a Booth: A one man show,5,58.91647279924715
17,22,23,13,18,12,1,The Amazing Magical Monica,5,56.74464450333097
18,16,10,13,14,17,0,The Alex Doumas Drama Dilemma,1,51.21248164764004
18,16,10,13,14,17,0,Jazz Brunch with Zach's Horne Section,1,54.91406666462233
18,16,10,13,14,17,0,Dr Noe: James Bond Extraordinaire,2,54.982977933811384
18,16,10,13,14,17,0,Aja Murray's Mirthful Musical Mystery,2,59.49675947797014
18,16,10,13,14,17,0,Emma in Waterstones: A reading from the author,3,58.66448828753928
18,16,10,13,14,17,0,Patrick Sturt's Peculiar Poetry Slam,3,58.2156190748561
18,16,10,13,14,17,0,Josiah King's Lear: A Shakespearean Tragedy,4,57.50859951044947
18,16,10,13,14,17,0,John Martindale's Martian Misadventures,4,54.3737589902079
18,16,10,13,14,17,0,Tom in a Booth: A one man show,5,58.044688414243694
18,16,10,13,14,17,0,The Amazing Magical Monica,5,60.44005437212495
19,22,20,10,10,15,1,The Alex Doumas Drama Dilemma,1,51.643973386307906
19,22,20,10,10,15,1,Jazz Brunch with Zach's Horne Section,1,52.48101436987467
19,22,20,10,10,15,1,Dr Noe: James Bond Extraordinaire,2,52.176130212062205
19,22,20,10,10,15,1,Aja Murray's Mirthful Musical Mystery,2,57.07302069531266
19,22,20,10,10,15,1,Emma in Waterstones: A reading from the author,3,51.06822155920463
19,22,20,10,10,15,1,Patrick Sturt's Peculiar Poetry Slam,3,52.49854718230273
19,22,20,10,10,15,1,Josiah King's Lear: A Shakespearean Tragedy,4,51.98234573839906
19,22,20,10,10,15,1,John Martindale's Martian Misadventures,4,51.9771147113998
19,22,20,10,10,15,1,Tom in a Booth: A one man show,5,53.36196288844188
19,22,20,10,10,15,1,The Amazing Magical Monica,5,55.84303215011857
20,15,12,17,11,13,0,The Alex Doumas Drama Dilemma,1,51.37326144124608
20,15,12,17,11,13,0,Jazz Brunch with Zach's Horne Section,1,52.37047798003702
20,15,12,17,11,13,0,Dr Noe: James Bond Extraordinaire,2,54.58777243072982
20,15,12,17,11,13,0,Aja Murray's Mirthful Musical Mystery,2,56.560583267933396
20,15,12,17,11,13,0,Emma in Waterstones: A reading from the author,3,56.1427198945438
20,15,12,17,11,13,0,Patrick Sturt's Peculiar Poetry Slam,3,61.732943346859585
20,15,12,17,11,13,0,Josiah King's Lear: A Shakespearean Tragedy,4,62.0545767816503
20,15,12,17,11,13,0,John Martindale's Martian Misadventures,4,59.81734836446435
20,15,12,17,11,13,0,Tom in a Booth: A one man show,5,66.55570740492502
20,15,12,17,11,13,0,The Amazing Magical Monica,5,65.36505383874598
21,15,12,17,11,13,2,The Alex Doumas Drama Dilemma,1,51.37326144124608
21,15,12,17,11,13,2,Jazz Brunch with Zach's Horne Section,1,52.37047798003702
21,15,12,17,11,13,2,Dr Noe: James Bond Extraordinaire,2,54.58777243072982
21,15,12,17,11,13,2,Aja Murray's Mirthful Musical Mystery,2,56.560583267933396
21,15,12,17,11,13,2,Emma in Waterstones: A reading from the author,3,56.1427198945438
21,15,12,17,11,13,2,Patrick Sturt's Peculiar Poetry Slam,3,61.732943346859585
21,15,12,17,11,13,2,Josiah King's Lear: A Shakespearean Tragedy,4,62.0545767816503
21,15,12,17,11,13,2,John Martindale's Martian Misadventures,4,59.81734836446435
21,15,12,17,11,13,2,Tom in a Booth: A one man show,5,66.55570740492502
21,15,12,17,11,13,2,The Amazing Magical Monica,5,65.36505383874598
22,20,22,16,16,10,1,The Alex Doumas Drama Dilemma,1,47.45436457156279
22,20,22,16,16,10,1,Jazz Brunch with Zach's Horne Section,1,49.21858194519161
22,20,22,16,16,10,1,Dr Noe: James Bond Extraordinaire,2,51.511658643267644
22,20,22,16,16,10,1,Aja Murray's Mirthful Musical Mystery,2,54.50988494036145
22,20,22,16,16,10,1,Emma in Waterstones: A reading from the author,3,51.78057162399191
22,20,22,16,16,10,1,Patrick Sturt's Peculiar Poetry Slam,3,53.65471388262603
22,20,22,16,16,10,1,Josiah King's Lear: A Shakespearean Tragedy,4,45.710363212970414
22,20,22,16,16,10,1,John Martindale's Martian Misadventures,4,50.15027769130812
22,20,22,16,16,10,1,Tom in a Booth: A one man show,5,51.651790422917294
22,20,22,16,16,10,1,The Amazing Magical Monica,5,50.91770035127494
23,12,11,15,11,16,0,The Alex Doumas Drama Dilemma,1,56.415718076450204
23,12,11,15,11,16,0,Jazz Brunch with Zach's Horne Section,1,54.41265694512762
23,12,11,15,11,16,0,Dr Noe: James Bond Extraordinaire,2,55.3521072835719
23,12,11,15,11,16,0,Aja Murray's Mirthful Musical Mystery,2,60.95214902448419
23,12,11,15,11,16,0,Emma in Waterstones: A reading from the author,3,61.71356831086053
23,12,11,15,11,16,0,Patrick Sturt's Peculiar Poetry Slam,3,63.49920371895693
23,12,11,15,11,16,0,Josiah King's Lear: A Shakespearean Tragedy,4,61.400539401625046
23,12,11,15,11,16,0,John Martindale's Martian Misadventures,4,61.816886640044636
23,12,11,15,11,16,0,Tom in a Booth: A one man show,5,66.51113602040746
23,12,11,15,11,16,0,The Amazing Magical Monica,5,66.14185410643958
24,18,20,12,15,17,1,The Alex Doumas Drama Dilemma,1,46.51447795372651
24,18,20,12,15,17,1,Jazz Brunch with Zach's Horne Section,1,46.7127046201425
24,18,20,12,15,17,1,Dr Noe: James Bond Extraordinaire,2,46.32120059484626
24,18,20,12,15,17,1,Aja Murray's Mirthful Musical Mystery,2,49.667350144649525
24,18,20,12,15,17,1,Emma in Waterstones: A reading from the author,3,40.99979676458829
24,18,20,12,15,17,1,Patrick Sturt's Peculiar Poetry Slam,3,42.98083231527242
24,18,20,12,15,17,1,Josiah King's Lear: A Shakespearean Tragedy,4,38.81390148852409
24,18,20,12,15,17,1,John Martindale's Martian Misadventures,4,40.92451375760955
24,18,20,12,15,17,1,Tom in a Booth: A one man show,5,41.3061698265721
24,18,20,12,15,17,1,The Amazing Magical Monica,5,43.44755149121478
25,13,11,15,19,14,0,The Alex Doumas Drama Dilemma,1,49.74407159861312
25,13,11,15,19,14,0,Jazz Brunch with Zach's Horne Section,1,52.42597121398519
25,13,11,15,19,14,0,Dr Noe: James Bond Extraordinaire,2,49.60866845711816
25,13,11,15,19,14,0,Aja Murray's Mirthful Musical Mystery,2,51.159898767374955
25,13,11,15,19,14,0,Emma in Waterstones: A reading from the author,3,50.94732388785797
25,13,11,15,19,14,0,Patrick Sturt's Peculiar Poetry Slam,3,50.98029305295985
25,13,11,15,19,14,0,Josiah King's Lear: A Shakespearean Tragedy,4,49.45993168092841
25,13,11,15,19,14,0,John Martindale's Martian Misadventures,4,50.03794083423897
25,13,11,15,19,14,0,Tom in a Booth: A one man show,5,53.46187583251432
25,13,11,15,19,14,0,The Amazing Magical Monica,5,53.22154375953012
26,19,20,16,19,12,1,The Alex Doumas Drama Dilemma,1,48.757384486207776
26,19,20,16,19,12,1,Jazz Brunch with Zach's Horne Section,1,49.530419912364124
26,19,20,16,19,12,1,Dr Noe: James Bond Extraordinaire,2,44.003079513607744
26,19,20,16,19,12,1,Aja Murray's Mirthful Musical Mystery,2,51.77435687447191
26,19,20,16,19,12,1,Emma in Waterstones: A reading from the author,3,47.795854047629646
26,19,20,16,19,12,1,Patrick Sturt's Peculiar Poetry Slam,3,46.74513104645406
26,19,20,16,19,12,1,Josiah King's Lear: A Shakespearean Tragedy,4,41.53950183714235
26,19,20,16,19,12,1,John Martindale's Martian Misadventures,4,42.45240003954766
26,19,20,16,19,12,1,Tom in a Booth: A one man show,5,41.44393513262182
26,19,20,16,19,12,1,The Amazing Magical Monica,5,41.00229983186266
27,14,15,19,15,14,0,The Alex Doumas Drama Dilemma,1,52.15009637418224
27,14,15,19,15,14,0,Jazz Brunch with Zach's Horne Section,1,55.1212918144989
27,14,15,19,15,14,0,Dr Noe: James Bond Extraordinaire,2,51.20487043730621
27,14,15,19,15,14,0,Aja Murray's Mirthful Musical Mystery,2,57.95114448005025
27,14,15,19,15,14,0,Emma in Waterstones: A reading from the author,3,54.145711119594914
27,14,15,19,15,14,0,Patrick Sturt's Peculiar Poetry Slam,3,51.57414157607833
27,14,15,19,15,14,0,Josiah King's Lear: A Shakespearean Tragedy,4,56.4531415706018
27,14,15,19,15,14,0,John Martindale's Martian Misadventures,4,55.37403016802328
27,14,15,19,15,14,0,Tom in a Booth: A one man show,5,56.67740872554374
27,14,15,19,15,14,0,The Amazing Magical Monica,5,57.466571761799855
28,20,19,20,11,14,1,The Alex Doumas Drama Dilemma,1,46.01485788668305
28,20,19,20,11,14,1,Jazz Brunch with Zach's Horne Section,1,48.82740099544747
28,20,19,20,11,14,1,Dr Noe: James Bond Extraordinaire,2,46.91100023993047
28,20,19,20,11,14,1,Aja Murray's Mirthful Musical Mystery,2,50.360322707407256
28,20,19,20,11,14,1,Emma in Waterstones: A reading from the author,3,44.5993738444221
28,20,19,20,11,14,1,Patrick Sturt's Peculiar Poetry Slam,3,48.2132358075009
28,20,19,20,11,14,1,Josiah King's Lear: A Shakespearean Tragedy,4,41.78285514681818
28,20,19,20,11,14,1,John Martindale's Martian Misadventures,4,41.708862420794894
28,20,19,20,11,14,1,Tom in a Booth: A one man show,5,42.013935734725706
28,20,19,20,11,14,1,The Amazing Magical Monica,5,46.021513490685294
29,20,21,14,12,13,1,The Alex Doumas Drama Dilemma,1,49.23336405181528
29,20,21,14,12,13,1,Jazz Brunch with Zach's Horne Section,1,50.864508430141804
29,20,21,14,12,13,1,Dr Noe: James Bond Extraordinaire,2,46.796428190131905
29,20,21,14,12,13,1,Aja Murray's Mirthful Musical Mystery,2,56.20306386269925
29,20,21,14,12,13,1,Emma in Waterstones: A reading from the author,3,51.33224503392579
29,20,21,14,12,13,1,Patrick Sturt's Peculiar Poetry Slam,3,52.042216693542706
29,20,21,14,12,13,1,Josiah King's Lear: A Shakespearean Tragedy,4,50.01492202595582
29,20,21,14,12,13,1,John Martindale's Martian Misadventures,4,50.96286445295495
29,20,21,14,12,13,1,Tom in a Booth: A one man show,5,51.545452809805475
29,20,21,14,12,13,1,The Amazing Magical Monica,5,55.56510535460928
30,20,19,11,19,12,1,The Alex Doumas Drama Dilemma,1,50.56682525512818
30,20,19,11,19,12,1,Jazz Brunch with Zach's Horne Section,1,52.114861777664174
30,20,19,11,19,12,1,Dr Noe: James Bond Extraordinaire,2,50.81617025479974
30,20,19,11,19,12,1,Aja Murray's Mirthful Musical Mystery,2,50.32642154661788
30,20,19,11,19,12,1,Emma in Waterstones: A reading from the author,3,49.301336595320684
30,20,19,11,19,12,1,Patrick Sturt's Peculiar Poetry Slam,3,50.47298910166387
30,20,19,11,19,12,1,Josiah King's Lear: A Shakespearean Tragedy,4,49.16840650028851
30,20,19,11,19,12,1,John Martindale's Martian Misadventures,4,49.64415450710708
30,20,19,11,19,12,1,Tom in a Booth: A one man show,5,49.167765830638416
30,20,19,11,19,12,1,The Amazing Magical Monica,5,53.438172399470346
31,16,14,13,19,12,0,The Alex Doumas Drama Dilemma,1,51.93445290337952
31,16,14,13,19,12,0,Jazz Brunch with Zach's Horne Section,1,55.325123736308285
31,16,14,13,19,12,0,Dr Noe: James Bond Extraordinaire,2,55.391809318250694
31,16,14,13,19,12,0,Aja Murray's Mirthful Musical Mystery,2,57.94966200241142
31,16,14,13,19,12,0,Emma in Waterstones: A reading from the author,3,55.713356142999935
31,16,14,13,19,12,0,Patrick Sturt's Peculiar Poetry Slam,3,58.47810560152787
31,16,14,13,19,12,0,Josiah King's Lear: A Shakespearean Tragedy,4,58.53073929939188
31,16,14,13,19,12,0,John Martindale's Martian Misadventures,4,55.39075893440942
31,16,14,13,19,12,0,Tom in a Booth: A one man show,5,59.74762314168824
31,16,14,13,19,12,0,The Amazing Magical Monica,5,59.321326090487126
32,12,15,15,18,16,0,The Alex Doumas Drama Dilemma,1,51.342509062703186
32,12,15,15,18,16,0,Jazz Brunch with Zach's Horne Section,1,54.86766285900343
32,12,15,15,18,16,0,Dr Noe: James Bond Extraordinaire,2,54.53358757735248
32,12,15,15,18,16,0,Aja Murray's Mirthful Musical Mystery,2,55.72890079873955
32,12,15,15,18,16,0,Emma in Waterstones: A reading from the author,3,53.65378249529067
32,12,15,15,18,16,0,Patrick Sturt's Peculiar Poetry Slam,3,56.47441971058253
32,12,15,15,18,16,0,Josiah King's Lear: A Shakespearean Tragedy,4,56.62804779061049
32,12,15,15,18,16,0,John Martindale's Martian Misadventures,4,55.28076293074887
32,12,15,15,18,16,0,Tom in a Booth: A one man show,5,58.128763997593985
32,12,15,15,18,16,0,The Amazing Magical Monica,5,58.67495469805696
33,13,11,18,15,14,0,The Alex Doumas Drama Dilemma,1,55.183258789415646
33,13,11,18,15,14,0,Jazz Brunch with Zach's Horne Section,1,52.87960211588388
33,13,11,18,15,14,0,Dr Noe: James Bond Extraordinaire,2,52.82325260388687
33,13,11,18,15,14,0,Aja Murray's Mirthful Musical Mystery,2,60.05926262099804
33,13,11,18,15,14,0,Emma in Waterstones: A reading from the author,3,57.554243560098335
33,13,11,18,15,14,0,Patrick Sturt's Peculiar Poetry Slam,3,58.37314894177548
33,13,11,18,15,14,0,Josiah King's Lear: A Shakespearean Tragedy,4,57.508239400204154
33,13,11,18,15,14,0,John Martindale's Martian Misadventures,4,58.2176880849518
33,13,11,18,15,14,0,Tom in a Booth: A one man show,5,61.81985406642209
33,13,11,18,15,14,0,The Amazing Magical Monica,5,61.15734924943429
34,14,12,14,20,15,0,The Alex Doumas Drama Dilemma,1,52.799384917343005
34,14,12,14,20,15,0,Jazz Brunch with Zach's Horne Section,1,53.636219183778884
