"height","group"
115.141999042732,"control"
109.878593046336,"control"
125.424882342365,"control"
118.150027075134,"control"
109.911099060663,"control"
109.689080052328,"control"
107.419444339806,"control"
124.57212850932,"control"
100.83601403922,"control"
124.660493157424,"control"
115.065528138164,"control"
104.790164470666,"control"
116.502802978209,"control"
116.640993328603,"control"
113.493152524842,"control"
102.322534347758,"control"
114.177358404965,"control"
118.295562869408,"control"
88.0101443157013,"control"
124.082152326089,"control"
123.831553029289,"control"
133.32108003306,"control"
116.894077384356,"control"
106.437539881835,"control"
131.715757644211,"control"
122.642622665897,"control"
119.845463502617,"control"
125.649438854454,"control"
118.039445788961,"control"
121.68304274037,"control"
110.415821095758,"control"
112.316624155449,"control"
111.821479424334,"control"
124.105796129277,"control"
113.072146534284,"control"
113.634657152726,"control"
102.964121946551,"control"
103.030742807289,"control"
124.378761985164,"control"
119.080532104321,"control"
121.472781100968,"control"
114.948522496296,"control"
104.460812283157,"control"
130.597820626422,"control"
110.82720835365,"control"
120.377321699558,"control"
125.945559234784,"control"
121.388324881736,"control"
124.099834868983,"control"
129.662059710996,"control"
101.876739918167,"control"
99.1893915091602,"control"
113.386798732073,"control"
124.182384763264,"control"
117.714826259295,"control"
123.571280930142,"control"
120.253845705673,"control"
126.336804915139,"control"
124.990205411211,"control"
125.209190942959,"control"
93.244990152494,"control"
113.32970366773,"control"
119.379200854118,"control"
119.678629135367,"control"
100.43549742757,"control"
111.636572864882,"control"
117.050741571299,"control"
109.505741466167,"control"
133.37341315866,"control"
141.35253675738,"control"
128.753391851496,"control"
130.319148259661,"control"
113.976550768061,"control"
112.282405598829,"control"
99.7791064136082,"control"
130.719030902986,"control"
112.91269762899,"control"
120.329178895767,"control"
117.703681190556,"control"
93.6025157067215,"control"
130.043592177312,"control"
115.408480361102,"control"
108.964194170509,"control"
102.890562141922,"control"
124.370288727007,"control"
101.330172633346,"control"
108.22370080543,"control"
122.134007372564,"control"
109.726681857232,"control"
106.462364869366,"control"
107.401462400098,"control"
117.57146575736,"control"
112.355527935215,"control"
108.053226400258,"control"
120.988089729786,"control"
110.989575224098,"control"
113.788080881735,"control"
109.086165406975,"control"
119.055467608806,"control"
118.432908227492,"control"
115.43774772993,"control"
107.812703698975,"control"
106.914699910319,"control"
142.651832006151,"control"
114.722894081532,"control"
101.77608032067,"control"
103.55282238216,"control"
133.863360291811,"control"
117.564830001522,"control"
93.8712552805142,"control"
117.735069227593,"control"
107.484888014433,"control"
113.848774776851,"control"
84.7981837573566,"control"
109.056844557834,"control"
85.1772502866772,"control"
110.247926962882,"control"
120.718691006696,"control"
112.906080302062,"control"
109.956343935281,"control"
102.868551245717,"control"
125.034837926504,"control"
118.646125738183,"control"
117.024250786043,"control"
112.240068136026,"control"
103.346667238836,"control"
108.014074473083,"control"
106.778963606857,"control"
91.071207547002,"control"
124.753248761217,"control"
112.094480146323,"control"
108.507130028044,"control"
124.777509963138,"control"
128.937282288764,"control"
97.4377869935485,"control"
123.367583759714,"control"
123.023399187102,"control"
117.411218852634,"control"
118.831358253708,"control"
116.358481317487,"control"
124.138038991902,"control"
125.468929438891,"control"
123.09687590678,"control"
139.314881048673,"control"
115.049643490786,"control"
122.488834189938,"control"
109.679080817986,"control"
117.100585823411,"control"
119.535023362905,"control"
112.590978083123,"control"
117.839396166169,"control"
111.613524329209,"control"
116.116167868769,"control"
104.549639030699,"control"
115.978868020097,"control"
112.23147242547,"control"
114.258180612387,"control"
109.588309255608,"control"
114.500151936973,"control"
110.895739954978,"control"
109.906573063002,"control"
111.593705349477,"control"
106.588885977905,"control"
118.599711700366,"control"
97.7693536626692,"control"
106.747262415845,"control"
121.012736164956,"control"
137.976235282686,"control"
107.518753165208,"control"
110.042986483591,"control"
107.356465630388,"control"
117.524238956991,"control"
128.787265538436,"control"
118.503226826552,"control"
103.627828816277,"control"
112.399355699653,"control"
118.45885130712,"control"
113.026223088663,"control"
104.238628961615,"control"
104.349208636545,"control"
91.4339849634856,"control"
124.418124916546,"control"
126.285385092338,"control"
92.9645510915679,"control"
102.591301815607,"control"
106.454288859881,"control"
108.61762526656,"control"
110.149123812736,"control"
121.086125218225,"control"
116.5696388174,"control"
126.78324394512,"control"
100.0211390516,"control"
124.021242323361,"control"
127.350842337834,"control"
106.918937003241,"control"
130.369226785927,"control"
116.464226941789,"control"
127.266637546859,"control"
128.497179186705,"control"
111.82427201091,"control"
119.089626569103,"control"
120.920295996021,"control"
103.472234970381,"control"
118.037256019393,"control"
124.542813364017,"control"
129.057222546766,"control"
129.835916639549,"control"
111.274616017249,"control"
116.68839767248,"control"
112.780032960012,"control"
109.086026888099,"control"
121.951692788173,"control"
105.65143415437,"control"
119.722858043874,"control"
110.582207625579,"control"
125.084958765724,"control"
122.521715221632,"control"
112.389001798293,"control"
106.222180964775,"control"
110.518749826432,"control"
114.801280897815,"control"
100.079132077575,"control"
102.785693645709,"control"
117.123512751451,"control"
113.361918906462,"control"
111.061774627612,"control"
112.736075046976,"control"
125.499791350279,"control"
124.762890614752,"control"
132.728159593727,"control"
109.98934948275,"control"
101.161561710408,"control"
133.089863836663,"control"
118.04227258666,"control"
131.898056495985,"control"
100.534809256858,"control"
113.369713237232,"control"
112.580011689577,"control"
111.718951009435,"control"
127.123867022523,"control"
112.790246056692,"control"
105.457956558368,"control"
127.230918847241,"control"
131.666818009109,"control"
116.965298277968,"control"
126.323022297048,"control"
113.174914707954,"control"
116.422808403529,"control"
112.335542439497,"control"
114.824042934353,"control"
122.819088061263,"control"
110.717922868242,"control"
108.705542577409,"control"
98.4550871456518,"control"
130.088181621297,"control"
89.7303710636948,"control"
124.836971577379,"control"
115.551643314526,"control"
122.470278986262,"control"
117.283087132111,"control"
117.872980761657,"control"
125.256694285158,"control"
119.290362527374,"control"
106.692885978016,"control"
121.220434119233,"control"
99.7801967440162,"control"
115.176719904321,"control"
99.2459777762395,"control"
123.343863909251,"control"
118.630350786829,"control"
126.224299021437,"control"
124.045720684622,"control"
107.28586715582,"control"
135.904913190114,"control"
116.577092558455,"control"
95.7007098324424,"treatment"
124.65923691999,"treatment"
111.197020371687,"treatment"
107.478977941229,"treatment"
112.335611253021,"treatment"
124.476123688951,"treatment"
99.6827768383399,"treatment"
128.988015199096,"treatment"
126.97909692586,"treatment"
122.016212280665,"treatment"
127.151150364313,"treatment"
131.413912418796,"treatment"
110.617778999289,"treatment"
134.329462896533,"treatment"
115.954649338368,"treatment"
108.998191230831,"treatment"
124.629439037071,"treatment"
100.272591601284,"treatment"
121.725301853998,"treatment"
112.699943078609,"treatment"
107.214532629867,"treatment"
121.63261055598,"treatment"
108.726542351494,"treatment"
128.605126460752,"treatment"
140.875253781577,"treatment"
112.812855559218,"treatment"
104.159314048643,"treatment"
134.892159830108,"treatment"
117.516986226722,"treatment"
110.277980044895,"treatment"
105.337763758524,"treatment"
103.591510839972,"treatment"
127.437381723581,"treatment"
127.237430619594,"treatment"
116.779669468688,"treatment"
94.0237552858222,"treatment"
111.073470544878,"treatment"
105.62244742957,"treatment"
133.884626478232,"treatment"
132.953240230516,"treatment"
114.976381281914,"treatment"
109.64736969413,"treatment"
108.27887382677,"treatment"
123.118804121903,"treatment"
99.9993588569234,"treatment"
109.30579740754,"treatment"
111.243295135979,"treatment"
116.492948853131,"treatment"
96.2073191668219,"treatment"
127.329215996097,"treatment"
103.257610619771,"treatment"
117.973916201304,"treatment"
105.633237350974,"treatment"
119.81799386879,"treatment"
127.231372603365,"treatment"
101.287245165841,"treatment"
119.12609262739,"treatment"
102.368850589853,"treatment"
102.886987436378,"treatment"
104.435645500798,"treatment"
109.817217624273,"treatment"
111.490776334247,"treatment"
122.446729861474,"treatment"
104.418935536603,"treatment"
104.65220067669,"treatment"
124.876022590269,"treatment"
108.28619013158,"treatment"
116.589673512493,"treatment"
122.438390508794,"treatment"
116.730115438034,"treatment"
124.848659697244,"treatment"
132.77793346089,"treatment"
117.278668313157,"treatment"
128.583972169673,"treatment"
125.788910932763,"treatment"
115.464063969239,"treatment"
125.747543560232,"treatment"
113.249778580592,"treatment"
115.467829274629,"treatment"
116.349425405737,"treatment"
109.458321046471,"treatment"
116.979608322026,"treatment"
128.339681493036,"treatment"
128.732485781628,"treatment"
123.210332519052,"treatment"
112.54716833321,"treatment"
114.317583964225,"treatment"
118.830030650434,"treatment"
117.858968432993,"treatment"
115.802379839442,"treatment"
120.711330272059,"treatment"
121.646332561995,"treatment"
115.973907004199,"treatment"
112.879544700009,"treatment"
135.904866907515,"treatment"
124.160124188917,"treatment"
103.324693545521,"treatment"
112.187230930809,"treatment"
123.842510892798,"treatment"
112.778334973347,"treatment"
122.47243431873,"treatment"
107.300000604161,"treatment"
119.239447743196,"treatment"
130.639960501825,"treatment"
117.30636195399,"treatment"
113.542044864381,"treatment"
121.937358238196,"treatment"
109.527377606697,"treatment"
106.406072899872,"treatment"
102.896256123935,"treatment"
120.503385737999,"treatment"
122.929515801541,"treatment"
126.819291659543,"treatment"
129.751325181198,"treatment"
111.497971512405,"treatment"
113.607751537916,"treatment"
115.163200329757,"treatment"
116.875990055311,"treatment"
105.898846388232,"treatment"
118.367984874432,"treatment"
107.265436369349,"treatment"
121.260921868664,"treatment"
117.822318675731,"treatment"
110.797734586123,"treatment"
136.703420678286,"treatment"
111.094027806658,"treatment"
130.940131384141,"treatment"
110.126837959736,"treatment"
130.592363076107,"treatment"
113.577880108159,"treatment"
118.969470523452,"treatment"
124.365574200984,"treatment"
118.355473359735,"treatment"
100.615049043093,"treatment"
134.59914553398,"treatment"
100.277137591631,"treatment"
127.144868882806,"treatment"
120.470502588192,"treatment"
120.975387590122,"treatment"
127.220180056713,"treatment"
116.643935761486,"treatment"
121.128922874864,"treatment"
110.043830387846,"treatment"
106.645947379424,"treatment"
116.317234899562,"treatment"
119.6604865242,"treatment"
122.428370239022,"treatment"
113.779250593495,"treatment"
121.758218760723,"treatment"
117.041041861786,"treatment"
119.198781918601,"treatment"
119.655304526719,"treatment"
103.977244465857,"treatment"
120.206183851933,"treatment"
133.180353141724,"treatment"
115.107702165206,"treatment"
120.671154183308,"treatment"
110.002190593516,"treatment"
101.061583888899,"treatment"
99.2564396749464,"treatment"
101.330317923237,"treatment"
134.725548801459,"treatment"
121.077373875554,"treatment"
125.464907897569,"treatment"
119.594448650491,"treatment"
125.722049059782,"treatment"
122.528239562746,"treatment"
115.693335371623,"treatment"
103.527160086158,"treatment"
127.536937990259,"treatment"
140.912958306613,"treatment"
114.88350510027,"treatment"
115.378648135324,"treatment"
121.689318872871,"treatment"
118.981499197412,"treatment"
111.369601341446,"treatment"
128.995043023217,"treatment"
126.264458187019,"treatment"
120.377711682632,"treatment"
112.626644322169,"treatment"
87.180916895254,"treatment"
112.517196602,"treatment"
117.56534383937,"treatment"
114.023428123085,"treatment"
115.795776372294,"treatment"
112.420703829105,"treatment"
115.41071192267,"treatment"
118.874817136113,"treatment"
103.090151862725,"treatment"
118.377134622377,"treatment"
99.8999061824182,"treatment"
115.68616531356,"treatment"
119.327379064419,"treatment"
132.805465532767,"treatment"
127.983305312688,"treatment"
111.128618136924,"treatment"
124.061898282246,"treatment"
100.620415302596,"treatment"
111.492821108933,"treatment"
131.610904197807,"treatment"
134.070352743062,"treatment"
119.828651651805,"treatment"
125.584921888936,"treatment"
103.883221989256,"treatment"
107.909436949278,"treatment"
120.169068404975,"treatment"
127.957671949821,"treatment"
144.812108654338,"treatment"
115.022313427931,"treatment"
121.613216663924,"treatment"
110.286075096603,"treatment"
128.928333105657,"treatment"
105.880317875792,"treatment"
132.959925451089,"treatment"
116.524164087227,"treatment"
107.150628088512,"treatment"
133.440019417359,"treatment"
115.748405159906,"treatment"
114.508670798098,"treatment"
109.372453864501,"treatment"
122.369809708195,"treatment"
122.868792831561,"treatment"
108.601995294666,"treatment"
122.270119833623,"treatment"
126.498453393599,"treatment"
112.93794878677,"treatment"
113.694770370638,"treatment"
119.798652356361,"treatment"
123.160075607936,"treatment"
107.809067394796,"treatment"
111.459197236052,"treatment"
127.466676330634,"treatment"
126.864873419685,"treatment"
115.867141413719,"treatment"
114.189143477169,"treatment"
116.621103343821,"treatment"
129.134799336733,"treatment"
109.440989593646,"treatment"
107.811126956687,"treatment"
111.541360266844,"treatment"
119.846299383763,"treatment"
114.992588516048,"treatment"
125.564915186029,"treatment"
116.967882235429,"treatment"
104.789636476721,"treatment"
117.477075681263,"treatment"
127.551702403689,"treatment"
116.499988535949,"treatment"
114.700833155362,"treatment"
123.25777298863,"treatment"
121.428084492971,"treatment"
119.912403163021,"treatment"
125.604031761922,"treatment"
124.080730059511,"treatment"
130.460070282134,"treatment"
103.334478812721,"treatment"
126.708650808258,"treatment"
114.689273282637,"treatment"
111.973138787629,"treatment"
113.898088678191,"treatment"
102.70298119805,"treatment"
122.992746521458,"treatment"
102.972045778056,"treatment"
105.201917232848,"treatment"
113.470465331023,"treatment"
96.0635327980088,"treatment"
110.649470912948,"treatment"
123.915669194166,"treatment"
95.9257400058485,"treatment"
116.518761709108,"treatment"
118.753864693847,"treatment"
110.417371374566,"treatment"
141.70656362648,"treatment"
109.007212582534,"treatment"
130.16456594921,"treatment"
110.138033232213,"treatment"
112.599444777025,"treatment"
111.656284029236,"treatment"
111.943298332939,"treatment"
126.884481594845,"treatment"
112.29462387733,"treatment"
122.665069178868,"treatment"
140.170542921543,"treatment"
123.793572090257,"treatment"
108.062807629505,"treatment"
105.741131187028,"treatment"
125.359014303933,"treatment"
125.76589492676,"treatment"
105.326457681576,"treatment"
103.302060731567,"treatment"
113.869963663992,"treatment"
113.777678049321,"treatment"
91.6795972541213,"treatment"
116.788647704256,"treatment"
135.607584300462,"treatment"
123.52959004255,"treatment"
111.744167713284,"treatment"
111.194781704713,"treatment"
126.958195779933,"treatment"
107.612430262316,"treatment"
126.254005121826,"treatment"
94.0156311176481,"treatment"
136.89792945734,"treatment"
108.667820773097,"treatment"
117.201387667355,"treatment"
123.080579476148,"treatment"
125.268842069725,"treatment"
107.154489416849,"treatment"
106.192848740215,"treatment"
125.078620391104,"treatment"
123.102667964507,"treatment"
103.777138328892,"treatment"
105.647190808038,"treatment"
123.190721055651,"treatment"
111.637520701985,"treatment"
114.09639397427,"treatment"
132.26372334454,"treatment"
104.948833233418,"treatment"
103.170828659306,"treatment"
125.246506138362,"treatment"
106.500652837535,"treatment"
125.648556824188,"treatment"
119.15164177456,"treatment"
126.043284087829,"treatment"
114.703847628378,"treatment"
110.220888277477,"treatment"
107.387447627788,"treatment"
121.021766623502,"treatment"
126.500620493824,"treatment"
119.359235393705,"treatment"
110.225783969241,"treatment"
121.392746846293,"treatment"
112.027284269455,"treatment"
120.692091222022,"treatment"
117.528452038326,"treatment"
88.1985730935912,"treatment"
129.157623523728,"treatment"
118.962492490452,"treatment"
110.948899440419,"treatment"
123.422540678126,"treatment"
122.611146630891,"treatment"
111.528741819897,"treatment"
129.091795956849,"treatment"
115.161582779686,"treatment"
110.685181954145,"treatment"
97.2106202452781,"treatment"
112.580335097506,"treatment"
125.07569309105,"treatment"
107.288732229484,"treatment"
142.665434868307,"treatment"
114.819961173405,"treatment"
121.012247023607,"treatment"
113.852129963616,"treatment"
141.603680827981,"treatment"
117.556187647416,"treatment"
125.285633543005,"treatment"
106.765120060739,"treatment"
109.862855879442,"treatment"
99.2935898938656,"treatment"
107.183071781165,"treatment"
105.122317912527,"treatment"
103.732043141274,"treatment"
120.758935227674,"treatment"
118.304410100933,"treatment"
98.534096778668,"treatment"
132.907986983928,"treatment"
125.435366540395,"treatment"
127.219360404684,"treatment"
138.213855909907,"treatment"
104.482914537249,"treatment"
119.02879611168,"treatment"
125.221455162146,"treatment"
111.112605578777,"treatment"
118.910772858247,"treatment"
123.174893353725,"treatment"
129.060046374457,"treatment"
112.510666496935,"treatment"
121.09242671449,"treatment"
102.778121119524,"treatment"
106.18454729044,"treatment"
123.138676415296,"treatment"
121.823474352038,"treatment"
107.81589942997,"treatment"
127.077056546774,"treatment"
126.655961831516,"treatment"
109.31587543109,"treatment"
107.759718903976,"treatment"
115.231530406479,"treatment"
118.127389140403,"treatment"
117.116077907536,"treatment"
126.622388324023,"treatment"
111.948038727544,"treatment"
124.322747229191,"treatment"
126.188270813389,"treatment"
98.6395899973124,"treatment"
113.740598680142,"treatment"
126.785009576002,"treatment"
114.160882323918,"treatment"
119.429948957153,"treatment"
123.412929113498,"treatment"
131.256214917322,"treatment"
106.579646190001,"treatment"
127.36176888187,"treatment"
119.084411071308,"treatment"
130.722051514342,"treatment"
98.8235402685621,"treatment"
115.518715137422,"treatment"
113.561473572616,"treatment"
115.388499900542,"treatment"
111.43321496041,"treatment"
113.088509483513,"treatment"
115.818484357036,"treatment"
126.097515833702,"treatment"
108.75218683084,"treatment"
115.626332421491,"treatment"
111.960506535474,"treatment"
112.798840259269,"treatment"
121.150854944044,"treatment"
109.281226148671,"treatment"
125.681844159434,"treatment"
115.385083162763,"treatment"
118.676427206033,"treatment"
98.2214584404339,"treatment"
121.795327010192,"treatment"
109.746883887909,"treatment"
109.613229825544,"treatment"
111.083758394101,"treatment"
101.393351301661,"treatment"
127.797170691635,"treatment"
108.067846657811,"treatment"
95.2001421433822,"treatment"
116.86360706511,"treatment"
107.622138482379,"treatment"
108.527977948135,"treatment"
107.701769833396,"treatment"
85.0368099490131,"treatment"
134.617956031592,"treatment"
120.526340735991,"treatment"
109.625236748567,"treatment"
110.391301987633,"treatment"
117.600822066822,"treatment"
112.90524202078,"treatment"
114.772810883674,"treatment"
109.114157692516,"treatment"
107.562157157095,"treatment"
125.738074114816,"treatment"
108.005313110424,"treatment"
126.6513989758,"treatment"
126.477871390142,"treatment"
144.636742426155,"treatment"
106.896898566511,"treatment"
103.821435274611,"treatment"
102.625405156615,"treatment"
117.876266369591,"treatment"
110.792641919187,"treatment"
129.012820523943,"treatment"
117.190122356272,"treatment"
108.559464015566,"treatment"
120.003278453279,"treatment"
95.3984151109277,"treatment"
114.108704431592,"treatment"
132.211859423797,"treatment"
109.729806859961,"treatment"
111.406083890425,"treatment"
103.346422949197,"treatment"
107.645058030672,"treatment"
123.035686945491,"treatment"
127.121878271547,"treatment"
125.132647114778,"treatment"
108.568263092835,"treatment"
98.3029298764665,"treatment"
117.668866426729,"treatment"
124.225861244345,"treatment"
120.847716566552,"treatment"
116.742937892908,"treatment"
135.893953168806,"treatment"
122.888046802326,"treatment"
111.854469980435,"treatment"
115.841332879257,"treatment"
124.600540443968,"treatment"
107.43455792377,"treatment"
111.697354921311,"treatment"
97.1415932289679,"treatment"
113.251150594141,"treatment"
128.299209348571,"treatment"
126.05400151739,"treatment"
112.814122383937,"treatment"
107.728616438082,"treatment"
124.365059557839,"treatment"
108.216916658847,"treatment"
119.100858968057,"treatment"
108.695393227012,"treatment"
121.032868532335,"treatment"
99.129072967402,"treatment"
119.759789876467,"treatment"
106.545832717711,"treatment"
111.659630576619,"treatment"
117.450208000398,"treatment"
120.743958791688,"treatment"
114.304299748935,"treatment"
