ppt,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15
ppt045,3,2,1,5,4,1,4,4,5,3,3,4,3,3,3
ppt046,5,4,5,4,4,3,6,4,5,5,3,3,5,5,5
ppt047,6,4,1,7,4,2,5,5,2,5,6,3,3,3,4
ppt048,5,3,3,4,5,2,4,4,4,5,4,2,1,5,2
ppt049,6,5,4,6,5,5,6,6,5,5,7,4,5,6,3
ppt050,2,5,5,3,5,3,7,3,6,6,1,5,3,5,5
ppt051,2,6,3,3,5,5,5,3,5,5,3,3,5,5,3
ppt052,7,4,6,5,7,4,6,4,4,7,4,4,4,6,3
ppt053,5,3,3,6,3,2,5,7,3,1,6,1,3,4,2
ppt054,3,4,3,3,4,3,6,2,4,4,1,3,2,4,4
ppt055,5,5,4,3,4,3,4,6,4,3,7,3,3,3,3
ppt056,5,3,5,4,6,3,3,4,5,4,4,3,4,3,1
ppt057,5,2,5,5,4,3,7,5,5,4,5,3,3,5,6
ppt058,4,3,3,4,4,2,3,7,3,3,4,3,4,4,3
ppt059,3,4,3,3,4,2,5,5,4,4,5,3,4,5,4
ppt060,3,3,4,4,4,3,6,3,5,2,2,4,4,3,5
ppt061,3,2,2,3,2,1,5,5,4,3,4,3,2,3,3
ppt062,5,3,4,4,5,2,5,4,4,4,5,2,4,4,3
ppt063,2,4,4,1,5,3,4,1,5,4,3,4,4,5,3
ppt064,3,2,4,3,5,3,5,4,6,4,4,3,4,4,3
ppt065,6,3,4,5,3,4,4,5,4,4,7,3,4,4,3
ppt066,4,3,4,5,5,5,5,4,5,3,5,3,5,5,2
ppt067,5,6,4,5,5,3,5,5,6,4,3,3,5,6,5
ppt068,3,3,4,5,3,3,4,2,3,2,4,2,7,3,4
ppt069,3,5,3,4,5,4,7,6,5,6,6,3,5,5,3
ppt070,5,3,4,2,4,3,4,7,6,3,3,2,4,5,7
ppt071,5,3,4,3,4,2,3,5,3,2,5,3,3,5,4
ppt072,5,3,2,2,4,1,4,5,4,1,5,3,3,3,3
ppt073,3,3,3,2,3,2,5,4,4,4,6,4,3,4,5
ppt074,3,4,4,4,5,4,5,3,4,4,2,3,5,3,4
ppt075,3,4,7,3,5,4,4,3,5,3,5,4,6,4,5
ppt076,3,4,6,5,4,3,4,3,3,4,2,3,3,5,3
ppt077,4,5,4,2,3,4,5,2,5,3,3,4,4,6,2
ppt078,4,3,1,4,3,1,6,5,2,4,4,2,4,2,3
ppt079,5,5,5,6,5,5,5,5,6,4,6,5,5,4,6
ppt080,6,6,4,5,5,3,5,5,4,5,3,3,5,5,1
ppt081,2,2,4,1,4,4,5,2,3,4,2,4,4,4,4
ppt082,5,2,2,4,4,4,5,5,3,2,6,3,1,3,4
ppt083,5,4,4,5,3,5,6,1,3,4,4,4,4,4,5
ppt084,3,5,6,3,7,4,5,4,4,4,4,5,3,5,3
ppt085,2,4,5,2,5,4,5,4,7,5,2,6,6,4,4
ppt086,5,4,3,3,4,4,3,5,3,5,3,3,3,4,5
ppt087,4,4,4,6,4,3,5,5,5,4,3,5,3,3,4
ppt088,5,6,5,4,6,4,6,4,4,6,2,3,3,5,3
ppt089,4,3,2,5,5,1,4,2,3,4,5,3,2,2,2
ppt090,4,1,2,6,4,4,6,4,2,6,6,4,3,6,7
ppt091,4,5,5,3,5,4,6,2,4,4,3,3,5,6,5
ppt092,6,4,3,4,5,6,6,5,5,3,6,3,4,4,4
ppt093,5,4,5,3,6,3,4,4,4,3,3,4,2,4,4
ppt094,5,3,4,6,5,2,3,5,5,3,3,2,6,3,2
ppt095,4,4,6,4,5,4,5,5,3,4,3,4,4,4,5
ppt096,3,5,6,2,5,4,4,2,6,4,4,5,5,6,3
ppt097,4,4,2,3,5,3,4,4,6,6,4,4,4,4,4
ppt098,6,3,3,5,4,4,3,4,6,3,5,2,3,4,3
ppt099,2,4,5,4,3,5,6,4,4,5,5,3,5,6,4
ppt100,5,7,6,6,7,4,5,3,7,3,4,4,6,7,4
ppt001,6,2,2,5,3,3,4,7,4,6,7,3,3,2,1
ppt002,3,4,6,4,5,3,7,4,5,6,3,4,4,6,5
ppt003,4,3,4,5,3,4,6,6,3,6,7,4,3,5,3
ppt004,2,3,4,5,4,4,4,5,3,3,4,3,3,5,5
ppt005,6,3,3,5,6,4,5,5,4,4,3,4,6,5,6
ppt006,4,2,2,6,4,3,5,5,3,4,7,3,3,4,4
ppt007,6,2,2,4,3,1,6,6,4,5,5,6,3,3,5
ppt008,5,6,3,5,6,3,5,3,4,4,5,3,4,5,2
ppt009,2,4,4,3,5,2,5,4,3,4,5,4,2,4,4
ppt010,4,4,2,2,4,4,5,4,2,2,2,3,2,4,5
ppt011,2,7,5,3,5,2,3,3,5,3,2,2,5,4,3
ppt012,5,6,5,5,5,4,7,4,4,6,1,5,4,6,5
ppt013,3,4,3,3,4,2,3,1,4,3,1,1,5,4,2
ppt014,2,3,3,3,4,3,5,4,5,5,3,4,2,6,5
ppt015,4,4,4,4,3,4,4,3,2,3,4,4,3,4,3
ppt016,2,3,2,2,2,2,3,5,3,4,2,4,1,3,2
ppt017,3,4,3,3,4,5,5,2,4,4,3,3,5,4,5
ppt018,3,4,7,3,5,4,6,3,5,7,3,3,5,6,3
ppt019,5,4,5,3,6,3,6,4,4,5,3,3,2,4,3
ppt020,3,5,3,4,7,4,5,7,5,5,4,5,2,6,7
ppt021,4,4,3,4,5,4,3,5,4,2,5,3,4,5,2
ppt022,3,4,6,2,6,2,5,2,7,3,1,4,5,5,5
ppt023,4,4,5,3,5,4,4,3,3,3,4,3,2,4,3
ppt024,4,2,5,5,4,3,5,4,5,4,4,3,3,6,2
ppt025,6,1,2,5,4,2,5,6,3,5,5,5,1,5,4
ppt026,3,4,6,4,4,4,5,3,5,5,2,4,5,6,4
ppt027,3,3,5,5,4,5,4,5,4,4,4,2,6,6,3
ppt028,4,4,4,4,4,4,5,5,5,3,2,4,3,4,4
ppt029,4,5,3,3,4,5,6,3,5,5,5,3,4,4,3
ppt030,5,4,4,4,4,3,4,5,4,4,5,2,5,3,4
ppt031,2,4,5,2,4,3,5,3,6,6,2,3,6,5,4
ppt032,1,2,2,3,4,3,2,2,3,3,4,3,1,3,4
ppt033,3,5,5,4,7,3,6,4,4,4,4,2,6,5,4
ppt034,3,3,4,3,3,4,4,3,5,2,4,4,5,4,3
ppt035,4,2,4,4,4,5,4,5,4,4,5,3,3,5,4
ppt036,3,4,6,4,6,5,4,5,4,3,5,2,4,6,2
ppt037,4,3,2,3,5,2,5,4,3,2,4,2,2,3,3
ppt038,5,4,2,3,3,3,4,6,4,3,3,2,3,3,3
ppt039,1,2,3,2,4,3,4,2,3,3,2,2,3,3,3
ppt040,4,2,5,3,5,3,6,4,4,2,3,3,3,3,4
ppt041,6,5,4,5,5,2,7,6,4,5,6,3,5,4,5
ppt042,3,3,4,2,5,4,5,5,2,5,5,4,4,4,5
ppt043,3,5,5,5,5,4,4,3,5,3,2,2,5,4,3
ppt044,3,1,2,3,4,1,4,4,4,2,3,2,2,2,3
ppt045,5,4,4,5,5,4,5,7,6,3,6,2,4,4,3
ppt046,4,4,5,4,4,4,6,3,4,4,2,3,3,3,4
ppt047,5,3,4,6,6,4,6,5,3,4,2,3,3,4,5
ppt048,4,3,6,6,6,1,7,3,5,5,5,5,5,6,4
ppt049,2,2,2,3,4,2,6,3,2,4,3,2,1,2,6
ppt050,3,6,3,4,4,3,6,3,4,6,4,4,4,5,5
ppt051,3,5,5,3,5,4,7,3,6,5,1,7,4,5,6
ppt052,5,3,6,4,5,3,7,3,3,4,4,5,5,5,5
ppt053,4,5,4,4,4,5,6,4,5,5,3,4,4,6,4
ppt054,3,4,4,4,4,3,6,3,4,4,4,3,4,3,4
ppt055,3,5,5,3,4,4,4,2,6,2,3,3,7,5,3
ppt056,5,4,5,7,5,3,5,5,4,5,4,4,3,4,5
ppt057,4,4,5,4,5,2,4,4,4,4,2,3,3,3,3
ppt058,5,2,1,4,2,3,3,4,4,2,3,1,1,3,3
ppt059,2,4,4,3,6,2,5,2,4,3,2,4,4,4,3
ppt060,5,5,4,5,6,4,4,3,4,4,5,3,4,5,2
ppt061,3,1,4,2,4,1,4,4,4,3,3,3,3,3,3
ppt062,5,3,4,4,4,3,6,4,3,5,4,3,1,5,4
ppt063,3,4,3,4,4,5,6,4,5,6,3,4,5,5,5
ppt064,4,6,4,3,5,6,4,5,4,4,5,4,5,5,3
ppt065,2,5,4,2,5,4,4,3,3,4,2,3,5,4,4
ppt066,3,4,5,2,5,3,4,4,4,4,3,3,4,5,3
ppt067,5,4,4,5,6,3,5,4,3,6,5,3,3,3,6
ppt068,2,4,5,3,5,4,5,3,4,4,2,6,7,7,4
ppt069,5,5,4,5,5,5,7,4,4,6,3,5,4,5,6
ppt070,3,7,7,3,6,4,6,4,4,5,4,4,6,7,5
ppt071,3,3,2,4,5,6,5,4,3,3,3,3,4,5,2
ppt072,5,4,3,4,4,4,6,3,6,6,3,5,3,5,4
ppt073,4,3,3,3,4,3,3,6,6,3,4,3,4,4,4
ppt074,6,5,3,3,4,3,4,5,4,3,2,3,3,3,3
ppt075,3,3,2,1,4,4,3,3,3,3,3,2,3,4,3
ppt076,2,2,3,4,5,2,4,4,4,3,4,3,2,4,1
ppt077,6,3,3,5,4,3,5,5,4,4,7,3,4,4,3
ppt078,6,3,3,4,4,3,4,4,5,4,4,4,3,5,5
ppt079,2,4,2,2,4,1,2,1,5,3,2,4,5,4,4
ppt080,5,2,5,5,5,1,5,2,6,4,5,2,3,6,4
ppt081,4,3,2,3,4,4,4,3,3,4,4,1,3,4,1
ppt082,4,3,2,2,4,2,4,3,4,3,5,1,3,2,4
ppt083,2,4,5,1,4,3,5,2,4,3,3,2,4,5,4
ppt084,4,2,3,5,3,3,6,4,4,3,3,3,1,4,3
ppt085,4,4,4,2,5,2,6,2,3,3,3,4,3,4,4
ppt086,5,1,2,5,3,4,5,3,5,5,4,4,3,4,5
ppt087,3,5,5,3,6,4,6,4,5,4,3,3,3,5,6
ppt088,1,7,6,3,6,4,4,2,6,5,2,3,6,7,4
ppt089,2,3,1,4,3,4,4,4,4,3,3,3,5,4,4
ppt090,2,4,3,2,4,2,6,3,5,4,2,5,3,4,6
ppt091,6,3,2,4,3,2,3,5,4,3,3,2,1,2,3
ppt092,1,5,3,1,4,3,4,3,3,4,3,3,5,5,4
ppt093,4,5,3,6,5,5,6,4,5,3,4,2,4,5,5
ppt094,3,6,3,3,3,5,6,5,3,5,3,6,4,4,3
ppt095,4,3,3,5,4,3,3,4,3,4,4,4,2,4,4
ppt096,6,3,3,7,4,2,5,6,3,5,5,4,2,4,3
ppt097,4,2,4,3,4,4,5,5,4,4,4,2,4,6,3
ppt098,4,2,3,3,4,3,5,6,5,2,4,4,4,6,2
ppt099,1,5,4,4,4,5,5,3,5,5,3,5,7,6,5
ppt100,7,4,4,4,4,4,5,5,5,3,6,2,2,5,2
ppt001,5,2,3,2,4,2,3,5,5,3,5,1,3,1,4
ppt002,4,3,2,2,5,2,3,4,5,5,3,3,2,4,5
ppt003,3,4,5,3,5,3,6,3,5,4,3,2,4,3,5
ppt004,4,3,6,6,6,3,7,5,4,5,3,4,6,4,5
ppt005,3,5,5,5,4,3,5,4,3,3,4,4,5,4,4
ppt006,4,4,6,5,6,4,5,3,4,4,4,3,4,6,4
ppt007,4,3,3,4,5,1,6,5,3,4,4,2,3,3,3
ppt008,4,4,3,2,4,3,5,3,4,5,5,3,4,5,4
ppt009,6,2,1,2,4,1,5,4,4,3,5,3,3,2,2
ppt010,5,4,3,5,5,4,5,5,4,4,5,3,4,2,5
ppt011,6,1,2,3,2,2,4,4,5,3,3,3,3,3,2
ppt012,2,4,6,4,5,3,6,5,6,5,3,3,4,7,6
ppt013,4,3,4,4,4,3,5,5,5,3,3,4,3,4,4
ppt014,2,6,4,4,4,3,5,3,4,5,3,3,6,6,3
ppt015,4,5,6,2,5,4,4,4,6,3,3,1,6,6,3
ppt016,2,2,3,4,4,3,5,2,2,3,3,4,2,2,5
ppt017,5,2,2,5,5,3,5,6,1,4,5,3,3,4,3
ppt018,3,2,3,3,3,5,5,5,3,1,5,3,2,4,3
ppt019,3,3,3,2,3,3,5,5,6,4,3,3,2,4,5
ppt020,5,6,5,3,6,3,5,4,3,5,4,3,3,6,5
ppt021,5,4,2,7,3,1,3,5,4,2,6,1,3,2,3
ppt022,6,4,3,5,5,4,5,5,4,4,6,3,3,4,2
ppt023,4,3,2,4,4,4,5,4,4,5,5,4,3,3,3
ppt024,4,3,4,2,2,3,4,4,4,3,4,1,3,4,4
ppt025,3,4,5,4,4,3,4,4,3,4,5,3,5,4,4
ppt026,6,6,4,5,3,7,5,5,5,5,5,4,6,5,5
ppt027,5,6,3,5,5,5,6,3,5,5,5,5,7,6,6
ppt028,1,5,6,1,6,5,6,3,5,5,2,4,7,5,6
ppt029,5,3,2,4,5,2,6,5,4,6,6,3,4,3,5
ppt030,4,3,4,4,5,1,6,5,4,4,1,3,3,5,5
ppt031,1,7,6,3,5,4,5,3,6,4,3,2,5,6,2
ppt032,5,4,4,3,2,2,5,4,4,3,3,2,1,3,4
ppt033,3,5,4,6,4,4,6,4,4,6,4,4,5,5,5
ppt034,3,6,3,2,5,4,5,2,5,4,2,5,6,6,5
ppt035,1,5,4,4,6,4,6,3,6,5,4,3,3,5,5
ppt036,3,5,3,3,4,3,5,2,4,2,4,3,4,5,6
ppt037,4,2,2,4,4,2,5,5,3,5,7,4,3,4,3
ppt038,3,4,2,4,3,4,5,3,3,3,4,5,3,4,3
ppt039,5,2,4,7,4,3,6,4,4,4,3,4,2,4,3
ppt040,5,4,6,4,4,3,5,6,6,4,4,3,5,5,4
ppt041,3,5,5,3,5,3,3,3,6,4,5,3,3,5,3
ppt042,6,2,5,4,3,3,5,4,5,4,5,4,2,3,2
ppt043,3,7,5,3,5,4,5,5,5,5,4,2,4,4,4
ppt044,3,2,3,4,5,3,6,4,5,5,5,4,4,3,4
ppt045,5,2,3,6,4,3,4,5,4,3,4,2,4,3,2
ppt046,5,4,4,3,5,3,4,5,4,2,6,1,3,3,2
ppt047,4,3,3,3,4,4,5,4,2,4,3,4,2,4,4
ppt048,6,5,4,5,3,2,6,4,5,4,3,4,4,4,6
ppt049,5,5,2,3,4,5,7,4,5,4,5,4,5,3,5
ppt050,3,6,5,2,5,5,5,4,7,3,3,3,6,5,3
ppt051,4,3,4,2,5,4,5,3,5,4,2,3,5,3,3
ppt052,7,2,5,6,5,3,4,7,3,6,7,3,2,3,4
ppt053,3,4,4,4,4,1,4,5,4,2,5,1,3,5,2
ppt054,3,4,4,3,5,3,6,7,5,6,5,5,3,5,6
ppt055,3,2,2,3,2,2,6,3,2,5,4,4,2,4,5
ppt056,2,2,4,1,4,2,7,3,3,3,3,2,4,3,4
ppt057,2,3,4,6,6,3,4,4,1,5,5,2,4,4,4
ppt058,3,4,4,4,4,3,6,5,4,4,4,4,5,5,4
ppt059,5,1,4,5,4,3,3,6,3,4,5,2,3,3,4
ppt060,2,4,4,3,3,3,5,3,3,3,3,2,5,4,4
ppt061,5,5,6,4,6,4,6,5,5,4,5,3,4,5,3
ppt062,2,4,4,3,4,4,7,3,6,5,4,4,4,4,3
ppt063,5,2,3,2,4,2,4,2,4,4,3,3,3,3,3
ppt064,2,5,5,3,5,5,5,3,6,5,2,5,6,7,6
ppt065,4,4,5,5,3,4,4,4,4,5,5,2,5,4,3
ppt066,4,4,4,3,4,5,7,3,7,4,4,4,3,6,4
ppt067,4,4,4,4,5,3,3,3,5,3,4,1,4,4,4
ppt068,3,5,3,4,4,3,3,5,6,2,4,1,4,4,5
ppt069,6,4,5,5,3,3,5,7,4,5,4,2,4,4,4
ppt070,5,4,2,4,5,4,6,4,5,6,3,3,3,4,4
ppt071,3,2,3,2,3,1,4,4,5,2,3,2,2,3,4
ppt072,5,3,4,2,5,3,5,4,5,1,4,5,5,5,5
ppt073,4,5,4,3,5,5,4,4,4,5,4,1,5,6,3
ppt074,3,2,5,4,4,4,4,4,3,6,3,5,3,5,3
ppt075,3,4,5,4,5,4,5,3,5,3,3,6,4,5,5
ppt076,6,2,5,5,4,4,5,5,3,3,5,2,2,5,4
ppt077,4,5,7,6,5,3,7,5,4,5,4,4,5,7,6
ppt078,4,3,3,4,4,3,4,4,4,4,4,2,3,4,3
ppt079,3,5,4,4,3,3,6,4,5,5,3,3,2,3,3
ppt080,2,6,5,2,6,5,5,2,5,5,3,4,5,6,5
ppt081,2,5,4,3,5,5,4,5,3,4,6,2,4,5,4
ppt082,5,3,3,3,3,4,5,4,2,6,5,4,2,3,4
ppt083,4,3,4,3,4,4,3,6,4,4,4,5,3,3,4
ppt084,2,3,2,3,3,2,4,6,2,3,5,2,2,4,4
ppt085,4,2,5,4,4,3,6,4,3,5,4,6,3,4,5
ppt086,3,3,2,4,4,3,5,7,6,5,7,4,3,3,3
ppt087,5,4,2,4,4,3,7,4,4,4,2,4,3,6,4
ppt088,2,4,4,2,4,3,4,2,4,4,4,1,5,5,6
ppt089,5,5,4,3,4,3,6,2,4,5,3,4,5,5,4
ppt090,5,3,4,4,6,3,4,4,3,4,2,3,3,4,4
ppt091,4,1,3,4,3,1,5,4,6,3,6,2,3,3,4
ppt092,4,3,3,3,5,5,6,5,3,5,5,3,4,5,5
ppt093,3,7,5,3,6,6,4,3,4,4,3,2,6,6,2
ppt094,3,6,4,4,5,3,6,4,4,6,2,3,3,6,4
ppt095,2,6,4,3,5,5,3,4,6,3,3,4,5,6,4
ppt096,3,5,3,5,4,3,5,2,5,5,3,4,4,5,4
ppt097,6,5,3,6,2,3,4,7,6,3,6,2,4,5,3
ppt098,4,4,5,3,7,4,6,3,4,6,4,4,3,4,6
ppt099,4,4,4,4,5,4,6,5,6,3,5,4,6,6,5
ppt100,6,6,5,6,4,5,6,7,5,6,5,4,5,6,5
