toy_type,year,toy,hrs_week,R_AGE
Toy Story,1996,Mr. Potato head,3.00933571770825,8
Toy Story,1996,Buzz Lightyear,2.91059488001402,8
Toy Story,1996,Woody,4.3116474663022,10
Toy Story,1996,Rex,5.06251939182712,11
Toy Story,1996,Hamm,5.14956086662167,12
Transformers,1984,Optimus Prime,3.74708727754347,5
Transformers,1984,Jazz,4.94311750995665,3
Transformers,1984,Megatron,4.03114654556727,4
Transformers,1984,Starscream,3.96497207557584,2
Transformers,1984,Grimlock,4.51581564832088,4
Transformers,1984,Soundwave,4.33238440921543,5
