"attitude1"	"attitude2"	"attitude3"	"attitude4"	"SN1"	"SN2"	"SN3"	"SN4"	"PBC1"	"PBC2"	"PBC3"	"PBC4"	"int1"	"int2"	"int3"	"int4"	"int5"	"beh1"	"beh2"	"beh3"	"beh4"
"61"	5	2	4	3	3	5	3	3	5	3	5	5	3	5	5	3	4	4	4	4	4
"62"	4	4	5	5	4	3	4	3	4	3	4	6	6	5	4	4	5	4	5	3	3
"63"	3	3	4	5	5	5	3	3	3	3	3	4	4	4	5	6	4	3	5	5	3
"64"	6	4	3	6	3	3	4	4	4	5	4	4	5	4	4	4	6	5	4	4	5
"65"	3	5	4	5	4	4	5	4	2	2	3	4	4	3	4	4	4	5	5	3	2
"66"	4	6	6	4	5	3	5	5	2	4	4	4	4	4	4	5	5	3	4	2	5
"67"	7	4	5	5	3	4	5	3	6	6	5	5	4	7	5	5	6	5	6	5	5
"68"	5	4	3	4	2	4	4	3	3	3	4	3	3	2	3	3	3	5	5	5	4
"69"	4	3	3	5	5	4	3	3	3	3	1	2	3	4	3	4	3	3	3	5	3
"70"	4	5	6	4	3	4	4	5	5	4	5	6	3	3	5	3	3	4	5	5	5
"71"	3	4	5	6	5	5	5	5	6	5	5	6	5	5	6	6	6	5	5	5	2
"72"	5	4	2	4	5	4	4	3	4	4	5	4	5	5	4	5	5	4	6	4	3
"73"	2	3	3	3	4	3	3	4	3	5	4	3	3	5	4	3	3	4	5	3	5
"74"	4	4	6	4	3	4	5	6	3	4	3	3	3	5	3	5	4	3	3	3	2
"75"	3	4	3	4	4	2	4	3	3	5	4	4	4	4	4	3	5	3	6	4	4
"76"	4	5	5	6	4	2	6	4	4	2	4	4	4	4	5	4	4	5	5	6	5
"77"	3	5	4	3	4	4	4	5	6	4	4	4	4	4	4	4	5	5	6	6	1
"78"	6	6	4	4	4	4	5	5	5	4	4	5	7	4	5	4	5	4	4	4	3
"79"	2	4	3	2	3	5	4	4	5	2	3	4	4	3	5	3	4	3	5	4	4
"80"	3	4	4	3	4	4	4	5	5	4	3	4	5	4	5	5	6	3	2	5	6
"81"	3	5	4	4	5	4	4	3	3	2	5	3	3	3	5	2	4	5	6	5	3
"82"	6	3	5	4	3	4	2	4	3	5	5	5	5	5	4	5	4	5	4	4	3
"83"	6	5	6	5	5	4	6	2	2	4	4	3	5	5	4	4	6	4	4	4	4
"84"	3	4	2	4	2	1	4	3	6	5	4	5	2	4	4	3	6	2	4	4	4
"85"	5	4	4	4	7	5	6	3	5	3	4	4	6	3	3	5	2	2	2	3	6
"86"	4	4	3	5	4	4	5	6	2	4	3	3	6	4	4	5	5	3	4	4	6
"87"	3	1	3	3	4	3	3	3	2	4	3	4	5	5	4	3	3	4	6	4	4
"88"	4	5	2	5	4	3	5	3	6	5	5	6	4	3	5	3	5	4	5	5	5
"89"	6	6	6	5	3	3	3	3	4	3	3	4	5	3	4	4	4	5	4	5	4
"90"	4	4	4	7	5	3	4	3	3	4	4	4	5	4	4	5	3	5	4	3	6
"91"	3	3	4	3	4	3	5	3	2	3	2	3	5	4	4	4	4	4	6	3	5
"92"	3	6	6	5	3	4	3	5	2	4	4	3	2	2	4	3	4	3	3	4	6
"93"	4	4	4	3	3	4	3	3	5	4	4	4	3	2	5	3	4	3	3	3	4
"94"	3	3	5	4	3	2	5	1	4	4	4	4	4	3	5	3	4	3	4	5	4
"95"	4	4	2	5	2	4	3	3	3	3	5	5	5	4	5	3	5	4	3	5	5
"96"	4	4	4	4	4	4	5	4	3	6	4	4	2	3	3	4	2	3	2	4	5
"97"	6	7	2	4	4	3	4	4	3	4	4	4	5	5	5	5	4	5	5	6	4
"98"	4	6	4	5	4	2	5	5	4	3	3	4	6	6	6	6	6	7	3	5	4
"99"	5	5	5	5	4	4	4	3	4	4	5	4	3	3	3	3	4	6	4	4	3
"100"	4	4	3	5	5	3	3	4	5	4	4	4	5	7	5	6	5	4	5	4	3
"101"	5	6	4	3	5	1	3	4	4	3	4	3	4	3	4	4	5	3	5	4	4
"102"	3	3	4	2	2	4	5	2	5	4	4	6	3	5	3	3	4	4	4	4	3
"103"	3	3	4	3	3	4	5	6	4	4	3	4	4	4	4	4	5	4	5	5	4
"104"	3	2	3	4	2	3	4	4	1	4	3	4	4	4	3	4	5	4	4	4	5
"105"	4	3	3	6	4	5	4	5	3	4	3	3	7	3	6	4	5	3	5	6	4
"106"	3	6	4	5	4	4	3	3	3	3	1	2	4	4	2	5	3	3	3	4	6
"107"	1	4	5	3	4	4	4	6	5	5	4	5	4	4	4	4	5	5	4	4	5
"108"	4	3	3	3	5	4	4	4	2	3	2	4	2	2	3	3	3	3	3	3	4
"109"	4	5	4	5	4	6	4	4	3	3	5	4	4	4	5	5	5	4	4	4	5
"110"	5	4	5	6	3	3	4	4	3	3	3	2	6	4	4	3	4	5	6	4	3
"111"	5	3	3	5	5	5	6	5	5	4	3	6	6	5	4	5	6	5	4	5	3
"112"	4	3	5	2	2	2	4	3	3	5	3	5	5	4	5	5	5	2	3	4	5
"113"	6	4	5	4	4	4	2	4	1	4	2	3	4	4	3	4	3	3	2	3	7
"114"	3	3	2	4	5	3	4	4	2	3	2	5	4	3	3	2	3	6	6	5	5
"115"	3	4	4	1	3	5	3	3	3	4	4	5	5	4	3	4	5	2	5	5	6
"116"	4	4	3	4	4	4	3	3	4	5	4	5	2	4	4	3	4	2	4	2	6
"117"	3	4	4	4	2	3	3	1	2	2	3	3	2	3	4	4	5	4	4	2	7
"118"	4	4	4	3	5	2	3	4	4	5	5	3	3	3	3	4	5	3	3	2	3
"119"	3	4	3	4	3	5	4	5	4	4	3	5	2	2	2	2	4	3	4	5	4
"120"	2	3	3	4	4	2	4	4	4	3	3	4	2	2	2	3	4	4	4	4	5
"121"	3	5	4	2	3	4	5	3	4	5	2	4	5	2	4	3	4	2	2	5	4
"122"	4	6	4	5	3	3	5	2	4	3	4	3	4	4	3	3	4	5	5	3	4
"123"	4	4	4	3	4	3	3	5	3	2	5	5	3	4	3	4	4	3	6	5	4
"124"	5	4	4	6	4	4	3	1	6	6	5	5	5	3	6	3	5	3	3	5	3
"125"	7	6	5	6	4	4	4	5	6	4	4	4	5	4	5	4	7	5	5	6	4
"126"	4	4	4	3	5	5	4	5	2	4	3	5	2	4	3	3	2	5	4	5	4
"127"	3	2	4	5	4	3	4	3	4	4	4	6	3	2	3	3	4	1	4	2	4
"128"	5	6	4	4	5	4	4	5	5	4	3	4	3	4	3	4	4	5	5	5	5
"129"	4	4	4	4	4	3	3	3	2	2	3	3	5	6	5	6	4	6	6	3	5
"130"	3	4	2	3	3	4	5	4	4	3	4	3	4	3	4	5	4	3	2	3	5
"131"	2	3	1	3	6	4	4	5	4	5	4	5	4	3	4	5	6	6	6	4	1
"132"	3	5	1	3	3	2	5	3	2	4	4	4	6	4	4	4	4	5	6	3	3
"133"	2	3	1	3	4	5	5	4	3	3	3	2	5	4	2	3	5	4	4	3	2
"134"	5	6	4	4	4	3	6	4	3	4	3	5	4	5	5	7	5	4	3	2	6
"135"	7	6	5	6	5	3	5	5	3	5	4	6	5	3	3	3	5	3	5	4	6
"136"	5	3	4	4	3	6	5	5	3	5	4	3	3	2	3	3	4	3	5	4	4
"137"	5	5	5	7	5	5	5	3	4	3	2	3	5	5	5	5	3	2	4	3	5
"138"	4	4	2	3	5	4	4	4	4	4	3	4	5	4	4	4	5	3	5	4	3
"139"	4	4	3	3	4	5	5	4	4	5	4	5	6	4	4	4	5	3	5	7	4
"140"	4	3	4	5	5	4	5	6	4	3	4	3	2	2	4	2	4	2	3	2	5
"141"	3	4	5	4	4	5	4	3	1	3	4	3	3	3	2	3	4	3	3	4	6
"142"	5	4	3	4	5	5	6	4	4	3	5	5	5	4	4	2	3	5	5	6	4
"143"	5	2	3	3	3	5	3	3	3	4	3	5	4	3	4	2	3	2	4	4	6
"144"	4	5	6	7	4	1	3	4	4	4	4	4	6	4	5	4	5	3	5	5	6
"145"	3	3	5	4	5	4	6	6	5	4	4	3	7	4	5	5	5	4	6	5	3
"146"	6	4	5	6	4	4	5	5	5	6	5	6	4	5	4	5	5	3	4	5	3
"147"	4	4	5	3	5	5	6	5	2	2	2	3	4	4	4	3	6	3	4	7	2
"148"	6	5	5	3	5	2	7	4	6	3	4	4	5	4	4	4	5	3	4	5	5
"149"	1	3	3	2	5	4	4	4	2	3	4	5	4	3	3	4	4	4	3	3	5
"150"	5	6	3	6	5	4	5	6	4	4	3	4	4	5	4	5	4	4	4	4	3
"151"	3	3	3	3	5	5	5	4	6	4	4	4	4	4	3	4	5	4	5	6	4
"152"	6	7	5	4	5	3	4	7	4	4	5	4	6	5	6	5	6	6	5	3	4
"153"	5	4	6	5	5	7	7	4	4	4	4	5	6	5	4	4	5	4	5	6	4
"154"	3	5	5	5	5	4	6	5	5	4	3	2	2	3	4	5	6	2	3	2	6
"155"	3	4	3	4	4	4	3	4	2	3	3	3	4	3	5	3	5	4	3	3	5
"156"	5	4	4	4	3	4	6	5	3	4	3	5	5	5	6	4	6	5	5	6	2
"157"	4	3	4	3	5	5	4	4	2	3	3	6	4	5	5	5	6	3	5	5	4
"158"	6	4	5	4	5	4	4	4	4	5	3	5	5	4	5	4	5	2	6	3	5
"159"	4	1	3	4	3	3	4	2	3	5	5	5	4	3	3	2	5	4	6	4	4
"160"	4	2	4	4	4	4	5	4	3	2	3	5	3	4	4	4	4	3	3	4	4
"161"	6	4	5	3	5	5	5	3	5	4	3	4	4	4	3	3	2	3	5	4	7
"162"	4	4	6	2	4	4	4	4	4	4	5	5	3	5	5	3	3	4	4	5	3
"163"	4	3	3	2	3	2	3	3	3	3	2	3	4	4	5	4	4	5	5	4	4
"164"	3	4	4	3	5	5	4	6	3	4	2	3	5	5	5	5	6	3	4	1	5
"165"	6	4	6	5	5	4	4	3	4	4	2	3	6	5	4	5	4	3	4	4	3
"166"	3	5	4	4	4	4	4	3	4	4	5	2	5	5	4	3	4	3	3	3	5
"167"	3	4	5	4	4	3	5	4	4	2	5	3	5	3	5	4	5	4	6	4	4
"168"	3	5	4	5	3	4	4	4	4	4	4	4	3	2	4	1	4	4	4	3	5
"169"	4	4	5	5	3	5	4	5	5	5	4	3	5	4	4	5	4	5	5	4	3
"170"	4	4	4	5	5	5	5	3	5	4	3	6	5	5	3	5	5	2	3	4	5
"171"	2	5	3	4	6	4	4	3	5	4	2	5	6	5	6	6	6	4	4	4	4
"172"	5	2	4	4	1	3	4	3	3	3	3	2	3	3	2	2	2	3	3	3	4
"173"	4	5	3	4	2	2	3	2	4	5	4	6	2	5	4	5	4	4	4	6	2
"174"	4	5	3	3	4	3	4	5	5	5	5	2	3	3	2	4	6	4	5	4	4
"175"	4	4	5	4	1	1	2	3	3	3	2	3	4	3	4	4	3	5	2	4	3
"176"	4	6	5	6	5	5	6	4	3	4	4	4	5	4	5	3	6	5	4	3	3
"177"	4	4	4	4	5	3	5	5	4	4	5	4	6	4	5	5	6	4	5	6	1
"178"	2	4	3	4	3	3	3	3	2	4	3	3	2	2	3	4	3	5	5	5	5
"179"	5	6	6	6	3	3	5	4	5	4	5	7	7	6	6	5	6	4	4	3	3
"180"	5	3	5	3	4	4	3	2	5	5	5	5	4	5	5	7	6	4	4	4	5
"181"	3	4	5	4	3	5	5	5	3	5	4	4	5	3	5	3	5	4	5	4	6
"182"	4	4	4	4	5	5	4	4	5	3	3	3	4	4	6	5	4	3	4	4	3
"183"	3	5	3	3	3	4	5	7	6	4	5	4	6	5	4	5	6	6	6	4	4
"184"	4	2	4	1	5	3	5	3	4	5	3	5	6	5	6	5	5	5	7	7	2
"185"	4	6	5	5	4	6	2	4	4	5	4	4	3	3	4	3	3	2	3	4	5
"186"	3	5	4	5	4	4	5	5	4	3	3	3	5	4	4	4	4	2	4	4	5
"187"	6	5	6	6	5	4	3	4	3	3	2	2	5	4	4	6	7	5	5	6	5
"188"	3	4	4	3	4	3	5	4	4	3	4	4	3	3	3	3	4	4	4	4	2
"189"	4	4	5	4	5	5	6	6	4	4	6	4	4	4	4	4	4	4	7	5	3
"190"	4	5	4	6	4	3	3	3	2	2	2	2	5	5	4	4	5	3	3	3	4
"191"	3	6	5	3	3	4	3	4	2	3	4	4	4	4	3	3	4	5	4	4	6
"192"	3	3	4	4	6	3	4	4	3	5	5	5	5	3	3	3	5	5	5	5	4
"193"	5	3	5	6	4	4	4	4	4	5	4	5	4	3	3	2	5	4	4	3	4
"194"	4	4	3	4	3	4	5	4	5	4	4	4	4	3	5	4	4	4	4	5	3
"195"	5	3	5	4	3	4	4	5	4	4	5	3	6	4	5	4	4	5	6	4	3
"196"	5	5	4	6	6	3	5	3	4	3	4	5	6	5	5	7	5	5	4	4	4
"197"	4	5	5	5	6	5	6	5	5	4	5	5	4	4	5	5	5	5	5	4	2
"198"	3	4	4	4	4	4	3	5	3	3	3	2	2	2	3	3	4	4	4	3	3
"199"	5	5	4	6	5	4	5	6	6	5	4	6	4	3	4	3	4	5	4	6	4
"200"	6	5	5	5	3	2	4	4	4	4	3	4	5	4	5	5	5	5	3	4	4
"201"	5	4	5	6	4	5	4	4	5	4	4	4	5	3	3	4	4	4	6	4	4
"202"	3	3	3	2	5	4	5	3	4	5	5	4	4	4	3	4	7	4	7	6	3
"203"	4	3	4	5	4	5	6	4	3	2	3	3	4	4	4	5	4	3	2	4	3
"204"	5	3	4	3	2	2	6	3	3	1	1	3	4	4	3	3	5	4	5	6	5
"205"	4	5	3	3	3	2	4	4	2	3	4	4	2	4	2	4	4	5	7	3	4
"206"	4	4	6	5	4	4	3	3	3	5	4	6	5	4	4	4	5	4	4	3	4
"207"	6	4	7	3	3	5	5	6	6	4	5	5	7	3	4	4	6	5	3	4	6
"208"	7	5	5	4	6	5	5	7	4	5	4	4	5	5	4	5	7	6	4	6	2
"209"	4	5	4	6	4	3	5	5	4	5	4	3	6	4	5	4	4	4	3	1	3
"210"	5	5	4	5	4	2	3	4	3	4	2	4	3	5	5	4	5	2	4	5	4
"211"	3	3	5	4	2	3	3	4	4	4	2	3	3	3	3	3	3	2	4	1	6
"212"	6	5	4	4	5	2	4	3	1	3	2	2	5	4	5	5	4	4	5	4	5
"213"	2	4	2	3	4	5	3	5	7	6	5	6	4	3	4	4	6	4	5	4	5
"214"	2	4	4	1	4	4	3	4	3	4	3	5	2	2	3	2	4	5	3	5	5
"215"	5	3	3	3	4	4	4	3	5	3	4	4	4	3	5	2	5	5	4	4	5
"216"	3	4	3	5	4	3	6	5	5	4	3	3	5	3	6	2	4	4	4	3	3
"217"	6	5	6	6	5	2	5	6	3	2	4	4	5	4	4	4	5	3	5	5	4
"218"	4	4	3	3	4	6	4	3	2	3	3	4	2	2	2	2	3	1	2	4	5
"219"	3	5	4	4	1	2	2	2	3	3	3	4	6	4	5	3	6	5	4	4	5
"220"	1	3	2	6	5	5	4	6	4	5	4	4	6	5	5	5	4	5	6	5	1
"221"	5	4	3	4	3	3	3	4	2	3	3	4	5	3	5	2	2	2	3	3	6
"222"	5	4	3	4	3	3	3	3	4	2	4	4	4	6	4	5	4	3	3	4	4
"223"	5	4	3	4	4	3	5	4	4	3	5	3	1	4	3	4	4	4	2	2	5
"224"	4	4	3	5	4	4	5	5	4	3	3	1	5	3	4	4	3	5	6	5	2
"225"	5	4	4	5	4	4	4	2	2	2	4	4	3	4	3	4	4	2	4	4	4
"226"	4	4	3	5	5	3	5	4	3	4	4	4	4	5	3	5	3	4	6	4	3
"227"	5	4	4	4	4	4	4	2	4	4	5	6	3	3	4	3	6	2	4	4	5
"228"	5	4	2	6	6	4	6	6	3	4	5	5	6	4	4	4	5	6	7	7	5
"229"	4	4	3	3	3	3	3	5	5	5	4	7	3	3	4	5	4	4	4	5	4
"230"	2	5	5	5	4	4	5	5	5	6	3	4	5	3	5	5	5	4	4	4	3
"231"	2	4	2	4	2	1	3	4	4	4	4	4	2	2	5	3	3	1	3	2	6
"232"	5	5	5	6	5	4	3	4	5	3	4	4	4	4	5	4	4	5	7	6	2
"233"	4	3	3	3	5	4	4	5	5	5	4	5	4	4	3	2	4	2	5	4	5
"234"	5	4	3	4	4	4	4	4	3	4	4	4	3	4	4	4	4	5	3	3	5
"235"	6	5	4	3	4	3	5	4	3	3	2	2	3	3	5	4	4	4	5	3	4
"236"	4	5	3	4	3	2	3	3	3	3	4	4	4	2	3	1	4	2	3	3	5
"237"	4	3	4	5	5	4	5	4	3	3	2	3	3	3	3	3	3	3	4	5	5
"238"	4	3	2	2	3	4	3	1	6	4	4	3	3	3	3	3	5	5	5	4	4
"239"	3	3	5	4	3	5	4	4	4	4	4	4	5	3	6	3	6	4	4	4	4
"240"	5	5	3	5	4	3	5	5	5	6	5	6	5	5	5	5	7	6	7	5	3
"241"	3	5	3	4	3	4	3	4	4	5	3	3	3	2	3	2	3	2	6	4	5
"242"	5	4	5	4	4	3	4	3	4	2	2	3	6	3	5	4	4	3	1	3	4
"243"	7	4	4	5	2	4	3	3	4	5	5	6	4	6	5	5	6	5	5	5	3
"244"	4	4	6	6	4	4	4	2	4	4	4	3	3	4	4	5	4	5	3	4	5
"245"	5	4	6	7	4	4	4	5	5	4	4	4	7	6	6	6	6	6	4	6	5
"246"	3	4	4	4	5	5	5	4	3	4	4	5	5	4	4	4	5	4	3	2	5
"247"	5	4	4	6	5	5	5	7	4	4	5	4	7	5	6	4	4	3	4	4	4
"248"	4	3	5	4	4	3	4	3	4	2	3	1	5	5	4	4	5	3	3	3	6
"249"	4	5	4	4	4	5	4	4	2	5	4	3	2	3	2	2	4	5	5	3	4
"250"	1	2	1	1	4	4	2	4	4	3	4	4	2	4	5	3	6	6	4	5	4
"251"	5	5	4	5	3	5	4	3	5	4	5	4	5	5	5	5	4	4	4	4	5
"252"	4	4	3	5	5	3	5	3	3	3	2	5	3	3	4	4	5	5	6	3	4
"253"	3	4	4	3	5	4	7	4	3	4	4	4	5	3	3	2	4	2	4	4	4
"254"	5	2	3	2	2	1	2	1	2	2	4	5	4	2	3	2	2	5	4	2	3
"255"	5	5	4	4	3	6	3	1	4	5	5	3	4	3	4	4	3	4	3	3	6
"256"	3	4	2	3	2	4	5	3	3	3	3	3	6	4	3	4	6	4	4	3	5
"257"	4	4	3	4	4	5	3	3	4	3	3	3	5	3	3	4	4	4	4	5	1
"258"	2	4	6	2	5	5	5	5	4	4	3	3	4	5	2	4	4	4	5	6	6
"259"	4	4	5	5	2	1	3	4	5	5	3	4	4	5	4	4	5	4	5	5	2
"260"	4	3	3	6	2	1	3	2	4	4	2	4	3	3	4	3	4	4	4	4	3
"261"	5	5	3	4	4	4	3	3	5	6	6	5	5	5	6	4	5	4	4	4	6
"262"	5	6	4	6	5	5	4	5	3	5	5	2	4	5	4	4	3	4	2	5	4
"263"	6	5	3	5	5	5	4	5	4	4	5	5	4	4	4	4	5	1	5	4	4
"264"	2	4	3	4	5	2	4	5	3	5	4	3	6	3	4	3	4	3	3	5	4
"265"	3	5	3	3	3	3	5	4	3	3	4	4	5	3	4	2	2	2	5	4	6
"266"	4	4	6	4	4	4	3	4	3	3	3	3	5	4	5	5	4	4	5	3	5
"267"	3	2	3	3	3	3	4	5	4	3	2	2	5	3	3	3	3	3	2	3	4
"268"	5	4	6	4	3	3	3	2	4	4	2	4	3	2	3	3	3	5	2	3	4
"269"	3	2	2	5	2	3	6	3	2	3	3	4	3	4	4	4	3	3	4	2	3
"270"	2	3	3	5	2	5	3	5	3	5	5	5	4	3	4	2	5	5	4	6	2
"271"	5	2	3	3	5	6	5	4	2	3	2	2	4	5	4	5	4	4	3	3	3
"272"	5	5	3	5	4	3	4	5	5	4	6	4	4	4	3	5	4	4	6	5	4
"273"	4	4	3	4	4	2	3	3	5	4	4	4	5	4	5	4	4	4	5	4	5
"274"	4	6	6	4	3	3	3	4	3	4	2	2	2	3	4	3	4	3	4	3	5
"275"	4	5	3	4	5	4	4	3	5	4	4	5	1	5	3	4	5	5	6	3	3
"276"	5	6	6	5	4	5	3	3	4	5	6	5	5	4	4	3	4	4	7	6	3
"277"	7	3	5	5	5	6	6	6	3	5	5	4	5	5	4	4	3	5	4	5	4
"278"	3	6	3	3	2	3	2	3	4	3	5	4	4	3	4	2	6	3	3	2	4
"279"	3	5	4	5	5	4	6	7	4	4	4	5	5	5	5	5	4	5	4	4	4
"280"	5	3	4	4	3	3	4	5	4	2	3	3	5	4	4	5	4	3	3	5	6
"281"	5	4	3	4	4	3	2	3	4	5	4	6	3	3	1	2	4	3	3	3	5
"282"	4	6	5	4	4	3	5	6	3	4	4	3	5	4	4	5	5	4	6	5	3
"283"	4	5	6	6	5	5	4	3	3	4	4	5	4	3	5	4	6	6	4	3	4
"284"	7	6	5	3	4	6	4	4	4	3	4	5	5	5	5	6	5	6	6	5	2
"285"	5	3	3	3	2	2	3	4	4	4	3	4	4	4	4	3	4	3	4	5	3
"286"	6	6	5	5	6	6	4	4	5	5	3	5	4	4	5	3	4	3	4	2	4
"287"	2	4	5	1	4	4	2	4	5	4	3	3	4	3	4	4	4	5	5	4	4
"288"	3	3	3	4	3	2	4	4	4	4	3	5	3	4	4	4	6	5	2	4	4
"289"	7	5	4	3	3	4	4	4	5	3	3	4	3	5	3	5	5	4	3	3	4
"290"	5	6	6	4	4	5	6	6	7	5	4	5	5	5	5	5	5	4	4	4	4
"291"	5	5	3	4	5	5	5	3	5	4	3	4	5	5	4	4	3	6	4	4	4
"292"	3	5	5	4	5	4	5	3	2	2	1	1	1	2	3	3	2	5	4	4	3
"293"	3	5	4	4	4	2	5	3	4	4	5	3	4	5	4	5	3	3	3	3	5
"294"	3	3	2	2	2	2	4	3	2	3	1	4	4	4	5	4	4	4	5	4	3
"295"	7	5	5	5	5	5	6	6	3	3	4	4	4	4	6	6	6	3	5	3	3
"296"	4	5	7	6	7	5	5	5	4	4	4	5	6	6	6	7	5	6	6	6	2
"297"	5	3	5	3	2	4	6	3	2	1	3	4	3	2	3	3	4	1	4	1	6
"298"	4	5	3	3	6	4	6	5	4	3	3	5	4	2	2	2	3	2	3	3	4
