age,education,religion,politics,climate_change,doc_condition,doc_length,global_warming,behaviour
22,HS,Yes,unknown,35,negative,3.5,0,58
67,HS,Yes,left-leaning,32,negative,8,0,74
42,PG,Yes,right-leaning,51,negative,3.5,1,50
55,UG,No,right-leaning,45,negative,9,0,93
74,UG,Yes,right-leaning,46,negative,5,1,61
73,UG,Yes,right-leaning,51,positive,7.5,0,55
28,UG,No,right-leaning,49,neutral,1,0,55
62,HS,Yes,left-leaning,39,negative,1.5,0,49
32,HS,Yes,left-leaning,40,negative,8.5,0,84
43,UG,Yes,left-leaning,36,negative,1,1,54
74,UG,Yes,right-leaning,57,negative,9,1,67
21,PG,Yes,left-leaning,42,negative,3.5,1,41
46,UG,Yes,left-leaning,38,negative,2.5,1,80
25,HS,No,left-leaning,41,negative,8.5,1,72
72,HS,No,right-leaning,50,neutral,5,0,69
43,HS,No,unknown,38,neutral,6.5,1,36
22,UG,No,left-leaning,44,neutral,8.5,1,30
55,HS,No,left-leaning,38,negative,7,1,82
62,PG,Yes,right-leaning,46,positive,10,1,57
40,HS,No,right-leaning,38,negative,4,1,51
29,UG,No,left-leaning,39,neutral,1,0,54
60,UG,No,left-leaning,35,negative,9,0,56
29,PG,No,left-leaning,40,neutral,4.5,1,49
26,HS,No,left-leaning,47,negative,8.5,1,42
26,HS,Yes,left-leaning,36,neutral,5.5,0,51
25,UG,No,left-leaning,44,positive,9.5,0,60
75,HS,Yes,right-leaning,42,positive,2,1,49
22,PG,No,unknown,40,neutral,8,1,60
42,PG,Yes,right-leaning,59,negative,5.5,1,53
61,UG,Yes,right-leaning,47,positive,5,1,37
24,HS,Yes,right-leaning,56,neutral,3,1,42
67,UG,Yes,right-leaning,49,positive,4.5,0,52
23,PG,No,left-leaning,42,negative,10,1,71
24,HS,No,left-leaning,37,positive,10,0,18
50,UG,No,right-leaning,61,positive,2.5,1,44
58,UG,Yes,right-leaning,41,positive,3,1,80
22,PG,No,left-leaning,45,neutral,3.5,1,57
23,UG,No,unknown,38,positive,8,1,78
28,PG,Yes,unknown,38,neutral,6,1,28
58,UG,No,right-leaning,52,neutral,8,0,56
18,HS,No,left-leaning,26,neutral,2.5,0,56
43,PG,Yes,right-leaning,50,negative,7,0,62
61,HS,No,right-leaning,55,negative,1,1,67
49,HS,Yes,right-leaning,52,positive,6,1,29
49,HS,Yes,right-leaning,52,positive,1.5,0,44
41,PG,No,left-leaning,42,neutral,2,0,46
72,HS,Yes,right-leaning,48,neutral,10,0,67
66,UG,No,right-leaning,47,positive,4,0,76
25,UG,No,unknown,41,positive,1,1,47
49,PG,Yes,left-leaning,38,neutral,2.5,1,69
28,UG,Yes,left-leaning,45,positive,2.5,1,37
42,UG,Yes,unknown,37,neutral,8.5,1,64
42,HS,Yes,unknown,42,neutral,10,0,23
35,PG,Yes,left-leaning,40,positive,1,1,44
43,UG,Yes,left-leaning,40,negative,4,1,72
70,UG,Yes,right-leaning,57,negative,4,0,64
18,PG,No,left-leaning,46,positive,3.5,1,55
28,HS,Yes,right-leaning,46,neutral,2.5,0,58
33,PG,No,left-leaning,38,positive,8,0,31
38,UG,Yes,left-leaning,36,neutral,2.5,0,35
64,UG,Yes,left-leaning,42,positive,7,1,50
19,PG,No,unknown,34,neutral,2,1,56
20,HS,No,right-leaning,39,positive,5.5,0,69
73,UG,Yes,right-leaning,53,negative,10,1,86
21,UG,No,left-leaning,36,negative,7.5,1,91
54,UG,Yes,left-leaning,39,neutral,9.5,0,64
71,UG,Yes,right-leaning,55,neutral,1.5,0,62
52,UG,No,right-leaning,47,negative,5.5,0,40
25,UG,No,right-leaning,44,negative,4.5,1,54
40,UG,No,left-leaning,41,positive,6.5,1,55
23,HS,No,left-leaning,35,negative,9.5,1,64
48,UG,Yes,right-leaning,47,positive,6.5,0,41
68,HS,No,right-leaning,50,negative,7.5,0,55
26,UG,No,right-leaning,41,negative,6,1,61
57,UG,Yes,right-leaning,49,neutral,6,0,29
52,PG,No,right-leaning,50,neutral,4,1,35
20,UG,No,left-leaning,43,neutral,10,0,41
25,HS,No,left-leaning,42,neutral,4,1,1
63,HS,Yes,right-leaning,43,negative,2,1,56
31,UG,Yes,left-leaning,41,neutral,3.5,1,45
62,UG,Yes,right-leaning,47,positive,4,1,59
42,UG,Yes,left-leaning,38,positive,5.5,0,68
21,HS,No,left-leaning,39,neutral,10,1,58
38,UG,No,right-leaning,45,positive,9.5,1,60
50,PG,No,right-leaning,51,neutral,9.5,0,61
73,PG,Yes,right-leaning,45,negative,6,0,83
72,HS,No,right-leaning,48,neutral,9,1,48
60,UG,Yes,right-leaning,51,negative,4,0,63
71,UG,Yes,right-leaning,59,positive,7,0,43
26,UG,No,right-leaning,50,positive,3.5,0,50
46,HS,Yes,right-leaning,49,positive,1,0,61
65,UG,Yes,unknown,41,neutral,8.5,0,50
34,UG,Yes,unknown,37,negative,2,1,46
65,HS,Yes,right-leaning,47,neutral,4,0,47
25,UG,No,left-leaning,42,negative,6.5,1,79
24,UG,No,left-leaning,38,positive,5.5,0,77
21,UG,No,left-leaning,46,positive,6.5,1,47
41,UG,Yes,left-leaning,45,positive,5,1,16
57,UG,No,right-leaning,49,positive,9,1,65
73,HS,Yes,unknown,39,neutral,2,0,53
20,HS,Yes,left-leaning,36,neutral,7,1,47
47,UG,Yes,unknown,44,negative,2,0,24
70,UG,Yes,right-leaning,50,neutral,8.5,1,56
68,HS,No,right-leaning,53,negative,2,0,39
46,HS,No,right-leaning,50,positive,1.5,1,48
58,PG,Yes,right-leaning,45,negative,1.5,0,47
56,PG,Yes,left-leaning,34,neutral,9.5,0,30
19,UG,No,left-leaning,43,negative,4,1,67
23,UG,No,left-leaning,41,neutral,6,1,39
28,UG,No,left-leaning,33,negative,10,1,44
46,PG,No,left-leaning,36,positive,3.5,1,63
49,UG,Yes,left-leaning,45,neutral,10,1,47
59,UG,No,right-leaning,54,positive,10,1,61
66,HS,Yes,unknown,38,positive,9,0,63
40,PG,No,right-leaning,45,negative,1,1,64
30,UG,No,left-leaning,39,negative,8.5,1,43
72,HS,Yes,right-leaning,61,positive,6.5,1,61
34,UG,No,left-leaning,37,positive,2.5,1,38
57,PG,No,left-leaning,35,negative,1,0,42
35,UG,Yes,left-leaning,40,negative,2,0,54
20,UG,Yes,left-leaning,32,negative,4,0,64
60,UG,Yes,unknown,46,positive,1,0,43
32,HS,No,right-leaning,53,positive,4,1,38
49,UG,No,right-leaning,48,negative,7,0,82
64,UG,No,right-leaning,53,negative,4.5,1,57
74,PG,Yes,right-leaning,41,neutral,4.5,1,52
73,UG,Yes,right-leaning,52,positive,3,1,60
56,PG,Yes,right-leaning,49,positive,9.5,0,64
22,HS,No,left-leaning,38,negative,6.5,0,70
62,UG,Yes,right-leaning,51,negative,6.5,0,53
25,UG,No,left-leaning,34,positive,10,1,67
38,PG,No,left-leaning,36,neutral,1,1,56
46,HS,Yes,right-leaning,53,negative,7.5,1,80
69,PG,No,right-leaning,44,positive,2.5,0,57
39,HS,No,right-leaning,48,negative,9.5,1,70
63,UG,Yes,right-leaning,43,positive,6.5,0,50
41,UG,Yes,right-leaning,53,neutral,8,1,50
45,UG,No,right-leaning,49,positive,2.5,1,45
33,HS,Yes,unknown,34,neutral,3,0,41
61,PG,No,right-leaning,56,positive,1,1,56
64,HS,Yes,right-leaning,44,neutral,9,1,28
70,HS,No,right-leaning,47,neutral,7.5,1,78
70,HS,Yes,right-leaning,58,neutral,3,1,73
26,HS,No,left-leaning,48,negative,5,1,56
41,HS,Yes,left-leaning,33,neutral,7.5,0,53
48,PG,Yes,left-leaning,37,neutral,9.5,1,29
65,UG,Yes,right-leaning,52,positive,1,1,40
66,PG,Yes,right-leaning,45,neutral,1,0,64
62,UG,Yes,left-leaning,36,negative,6,1,55
68,UG,Yes,left-leaning,42,neutral,9.5,1,35
55,HS,No,right-leaning,46,neutral,8.5,1,66
49,PG,Yes,left-leaning,48,negative,4,1,68
48,HS,Yes,right-leaning,49,positive,6,1,50
41,PG,Yes,unknown,34,neutral,8.5,1,42
40,UG,No,right-leaning,51,neutral,3,1,48
62,PG,Yes,left-leaning,33,negative,2.5,0,61
22,UG,No,unknown,39,positive,5.5,1,63
34,HS,No,left-leaning,36,negative,6,0,56
46,PG,Yes,left-leaning,34,neutral,5.5,1,37
41,PG,Yes,right-leaning,54,negative,8,1,73
36,PG,Yes,left-leaning,35,neutral,3,1,33
48,HS,No,unknown,37,positive,5.5,0,72
39,UG,Yes,left-leaning,35,positive,8,0,38
70,UG,Yes,left-leaning,47,neutral,5,1,42
34,UG,No,right-leaning,50,neutral,2.5,1,1
72,HS,No,unknown,32,positive,8.5,0,53
49,HS,No,left-leaning,38,positive,6.5,1,46
58,UG,Yes,right-leaning,46,neutral,1.5,0,52
28,UG,No,right-leaning,50,negative,7,1,40
62,HS,Yes,left-leaning,39,neutral,4.5,1,51
54,UG,Yes,right-leaning,47,negative,5,0,67
60,PG,Yes,left-leaning,46,neutral,8,1,39
20,HS,No,left-leaning,42,negative,5.5,0,82
37,PG,Yes,left-leaning,44,neutral,1.5,1,49
50,PG,No,right-leaning,63,positive,8,1,55
22,PG,No,left-leaning,35,positive,1,0,39
60,PG,Yes,right-leaning,45,neutral,9.5,0,49
42,PG,No,left-leaning,35,negative,4.5,0,84
19,UG,No,unknown,42,positive,6.5,1,52
73,UG,Yes,right-leaning,51,neutral,3,0,62
35,PG,Yes,left-leaning,41,neutral,8.5,1,56
71,HS,Yes,right-leaning,60,neutral,4,1,54
49,HS,Yes,left-leaning,40,negative,7,1,35
44,UG,Yes,left-leaning,36,positive,3,0,82
25,UG,No,unknown,42,neutral,3.5,0,55
49,PG,No,right-leaning,54,neutral,3.5,1,34.5
72,UG,Yes,right-leaning,52,positive,3.5,1,40
52,PG,Yes,left-leaning,36,positive,1.5,0,64.5
56,UG,Yes,left-leaning,43,positive,7,1,63
67,UG,Yes,right-leaning,45,negative,4,1,44
37,HS,Yes,left-leaning,39,positive,10,1,67.5
60,UG,Yes,right-leaning,45,neutral,2,0,53.5
19,UG,Yes,right-leaning,45,neutral,2,1,51
58,HS,Yes,unknown,41,positive,5.5,1,63.5
68,UG,Yes,right-leaning,48,neutral,6,1,62.5
33,UG,No,left-leaning,40,neutral,4.5,1,31
50,HS,No,right-leaning,51,negative,4.5,0,42.5
56,PG,No,right-leaning,43,negative,7.5,1,65.5
33,HS,Yes,right-leaning,43,negative,8,0,74.5
24,UG,No,unknown,40,neutral,6,1,47
47,PG,Yes,right-leaning,51,positive,3,0,38
51,UG,Yes,right-leaning,55,neutral,4.5,1,63
69,PG,Yes,right-leaning,40,neutral,8.5,0,46.5
37,UG,No,unknown,33,positive,7.5,0,57.5
65,HS,No,right-leaning,53,neutral,7.5,1,86.5
22,UG,No,left-leaning,34,negative,5.5,0,64.5
28,UG,No,right-leaning,53,negative,8.5,1,89
52,UG,Yes,right-leaning,48,negative,8,1,76.5
65,UG,Yes,right-leaning,50,negative,5,1,59.5
66,UG,Yes,right-leaning,44,negative,10,1,63.5
73,UG,Yes,left-leaning,45,positive,1,1,61.5
66,PG,Yes,right-leaning,51,positive,9,1,53.5
43,UG,Yes,unknown,41,neutral,1.5,0,22
26,UG,No,left-leaning,44,negative,4.5,1,55
57,HS,Yes,right-leaning,50,negative,3.5,0,91.5
38,HS,Yes,right-leaning,41,negative,9,1,97
60,HS,Yes,right-leaning,51,negative,2.5,1,52.5
39,UG,No,left-leaning,41,positive,8,0,27
51,HS,Yes,right-leaning,52,negative,4.5,0,56.5
21,HS,Yes,left-leaning,35,neutral,9.5,0,67
34,UG,No,unknown,40,negative,5.5,0,62
68,UG,Yes,right-leaning,53,neutral,10,0,52
18,UG,No,left-leaning,36,positive,9,0,32.5
71,UG,Yes,left-leaning,35,negative,4.5,0,52.5
44,UG,Yes,left-leaning,35,neutral,7,0,85
52,HS,No,right-leaning,53,negative,5.5,1,69
71,PG,Yes,right-leaning,46,negative,3,1,69.5
42,UG,Yes,right-leaning,47,positive,1,0,38
58,UG,No,right-leaning,56,neutral,7,1,63.5
58,HS,Yes,right-leaning,51,negative,2.5,0,67
36,HS,No,left-leaning,41,positive,9,1,49
30,UG,No,unknown,48,neutral,3,0,50.5
44,HS,Yes,left-leaning,37,negative,5,0,57.5
46,UG,No,unknown,36,positive,5.5,0,53
63,UG,No,right-leaning,49,neutral,5,0,35.5
52,PG,Yes,left-leaning,42,positive,8,0,63
65,HS,No,unknown,40,neutral,9,1,22
54,UG,No,right-leaning,57,negative,8,1,50
45,UG,No,right-leaning,47,negative,2,0,62.5
65,UG,Yes,right-leaning,58,neutral,9.5,1,52.5
48,UG,No,right-leaning,49,positive,5,1,60.5
55,HS,No,left-leaning,38,negative,6,0,67
45,HS,Yes,left-leaning,38,negative,2.5,0,63
30,PG,No,left-leaning,44,negative,3.5,0,77.5
33,UG,No,right-leaning,50,negative,4,1,47
56,PG,Yes,right-leaning,50,positive,4.5,1,44
50,UG,Yes,right-leaning,47,positive,7,0,72
42,UG,Yes,left-leaning,45,positive,3.5,0,34
20,UG,No,unknown,38,neutral,5.5,1,72
48,HS,Yes,right-leaning,42,positive,6,1,51.5
21,HS,No,unknown,31,positive,2,0,65
46,HS,Yes,right-leaning,52,negative,5,1,53
28,UG,No,right-leaning,45,positive,9,0,27.5
25,UG,No,left-leaning,39,negative,5.5,0,70
56,UG,No,right-leaning,50,positive,3,0,52.5
67,UG,Yes,left-leaning,45,negative,10,1,85.5
19,HS,No,left-leaning,39,negative,5,1,71.5
35,HS,Yes,unknown,39,neutral,3.5,0,25
74,HS,Yes,right-leaning,44,negative,2,0,67
22,HS,No,left-leaning,38,negative,9.5,0,94
41,UG,Yes,left-leaning,43,neutral,8,1,58
27,HS,Yes,left-leaning,36,positive,2,0,50.5
47,UG,No,left-leaning,42,neutral,5,1,69.5
32,PG,No,right-leaning,56,neutral,5,1,43
72,HS,Yes,unknown,31,negative,1.5,0,50
42,PG,Yes,left-leaning,36,positive,10,0,60.5
26,UG,No,left-leaning,34,neutral,2,1,33.5
72,UG,Yes,right-leaning,49,positive,1,0,75
65,UG,Yes,right-leaning,54,neutral,5.5,0,34.5
59,PG,Yes,right-leaning,52,positive,10,1,45
74,UG,Yes,right-leaning,48,positive,5.5,1,50
39,UG,No,unknown,44,neutral,2.5,1,47
67,PG,Yes,right-leaning,44,negative,1.5,0,71
32,PG,No,left-leaning,38,neutral,4.5,0,52.5
53,UG,No,right-leaning,49,negative,5.5,1,62
53,HS,No,left-leaning,47,negative,5.5,1,70.5
71,UG,Yes,right-leaning,49,positive,5.5,0,43.5
71,PG,No,left-leaning,36,positive,8,0,43.5
43,UG,No,unknown,37,neutral,3.5,1,59
27,UG,No,left-leaning,37,negative,2,0,39.5
58,PG,No,right-leaning,44,neutral,3.5,0,30
32,UG,No,left-leaning,40,neutral,10,0,71.5
42,PG,No,right-leaning,50,negative,9.5,1,93.5
28,UG,No,left-leaning,43,neutral,1.5,1,47.5
26,HS,No,unknown,43,negative,2.5,0,44
53,HS,Yes,right-leaning,46,negative,4.5,0,49
43,UG,No,left-leaning,43,positive,7.5,1,58.5
49,PG,Yes,left-leaning,44,neutral,9,0,55
42,UG,Yes,left-leaning,31,positive,2,0,39.5
29,UG,No,right-leaning,50,positive,2,1,40
24,UG,No,left-leaning,35,positive,3,1,56
68,HS,Yes,right-leaning,47,positive,5.5,1,32
57,PG,Yes,unknown,47,negative,5,0,44
20,HS,No,left-leaning,38,positive,9.5,0,22.5
68,HS,Yes,right-leaning,52,negative,6,1,100
66,HS,Yes,left-leaning,43,positive,4.5,0,42.5
48,UG,Yes,left-leaning,41,positive,4.5,1,45.5
30,UG,No,right-leaning,53,positive,9.5,1,57.5
53,UG,No,left-leaning,45,negative,8.5,0,90
67,PG,No,left-leaning,47,positive,5.5,1,54.5
72,UG,Yes,unknown,39,positive,5.5,0,45.5
29,UG,No,left-leaning,44,negative,7.5,1,65.5
29,UG,Yes,left-leaning,48,negative,9,1,63
21,UG,No,left-leaning,37,neutral,5.5,1,38.5
73,UG,Yes,right-leaning,46,positive,3,0,42
62,UG,Yes,right-leaning,48,negative,4.5,0,71.5
35,UG,Yes,left-leaning,36,positive,6,0,44.5
62,UG,No,right-leaning,48,negative,9.5,0,50
53,UG,No,right-leaning,53,neutral,2.5,0,35
44,HS,No,right-leaning,50,positive,7.5,1,52.5
67,HS,Yes,right-leaning,42,negative,2.5,0,70
22,HS,No,unknown,45,positive,8,0,38.5
57,UG,Yes,right-leaning,46,positive,4,1,59.5
45,UG,Yes,left-leaning,42,neutral,2,0,58.5
32,UG,No,right-leaning,44,positive,2,1,66.5
43,UG,No,right-leaning,63,positive,5.5,1,70.5
44,UG,No,right-leaning,53,neutral,9.5,1,65
70,PG,Yes,right-leaning,47,positive,3.5,1,59
39,UG,No,unknown,37,negative,4.5,1,69
63,UG,Yes,right-leaning,48,negative,2,0,61
24,HS,Yes,right-leaning,49,positive,10,1,60.5
45,PG,Yes,left-leaning,34,positive,8.5,0,52
36,UG,No,right-leaning,56,positive,9.5,1,48
74,UG,Yes,right-leaning,58,positive,9,1,65
19,HS,Yes,left-leaning,42,neutral,6.5,1,53.5
58,UG,Yes,right-leaning,50,neutral,7,0,53.5
41,PG,No,right-leaning,53,positive,8.5,0,59.5
70,HS,No,left-leaning,38,negative,8,1,81
48,UG,No,unknown,42,negative,1.5,1,64.5
32,PG,Yes,right-leaning,46,negative,2.5,1,68.5
51,HS,Yes,right-leaning,56,negative,8,1,79
31,HS,Yes,right-leaning,52,neutral,9,1,42
27,UG,Yes,right-leaning,46,positive,2,0,38.5
73,UG,Yes,right-leaning,41,positive,8.5,0,40.5
65,UG,No,right-leaning,49,neutral,2.5,0,23
71,PG,Yes,right-leaning,50,neutral,1,1,29.5
60,UG,No,right-leaning,51,positive,9,1,73
50,UG,No,right-leaning,49,negative,9,1,62.5
46,HS,Yes,right-leaning,56,negative,6,1,72
45,PG,No,left-leaning,49,positive,1.5,1,67
29,UG,No,left-leaning,47,negative,4,1,63
22,HS,No,left-leaning,31,negative,9.5,0,54.5
55,PG,Yes,right-leaning,50,negative,9.5,1,59.5
58,UG,Yes,right-leaning,47,positive,2.5,0,11.5
46,UG,Yes,right-leaning,46,neutral,8,0,42.5
37,PG,Yes,unknown,47,neutral,6.5,1,58.5
52,UG,No,right-leaning,48,positive,4,1,47
51,UG,No,right-leaning,50,negative,6,1,92.5
57,HS,Yes,left-leaning,40,neutral,5.5,1,27.5
51,UG,Yes,right-leaning,46,neutral,5,1,65.5
56,UG,Yes,right-leaning,54,neutral,7.5,1,58
69,UG,Yes,right-leaning,49,neutral,8.5,0,55.5
48,UG,Yes,right-leaning,43,positive,10,0,63.5
52,PG,Yes,left-leaning,43,negative,10,0,65.5
49,UG,Yes,left-leaning,36,negative,2.5,1,66
47,HS,Yes,left-leaning,40,neutral,4,0,61.5
34,UG,Yes,right-leaning,56,neutral,7.5,1,29
30,UG,Yes,right-leaning,46,positive,6.5,1,56
22,PG,No,left-leaning,46,neutral,9.5,1,47.5
22,HS,No,left-leaning,41,neutral,5,0,69.5
43,HS,No,right-leaning,52,negative,1.5,1,96
44,HS,No,right-leaning,48,positive,9,1,47.5
46,UG,Yes,right-leaning,54,positive,5,1,41.5
57,UG,Yes,right-leaning,52,positive,7.5,1,64.5
65,UG,Yes,right-leaning,54,positive,10,1,39.5
35,UG,No,left-leaning,36,positive,9,1,65
71,UG,Yes,right-leaning,50,negative,9,0,55.5
26,HS,No,left-leaning,39,neutral,7.5,0,46.5
69,HS,Yes,left-leaning,40,positive,2.5,1,40
20,UG,Yes,left-leaning,36,positive,1,1,50
71,UG,No,right-leaning,46,neutral,2.5,1,67
51,UG,Yes,right-leaning,40,positive,1.5,0,70
68,HS,Yes,right-leaning,51,neutral,8,0,31.5
31,HS,Yes,right-leaning,45,neutral,4,1,35
36,UG,No,unknown,35,negative,6,1,51
47,UG,No,left-leaning,35,negative,10,1,65
48,PG,No,right-leaning,49,neutral,1.5,1,46.5
32,UG,Yes,left-leaning,32,neutral,4.5,1,78
25,PG,No,right-leaning,40,neutral,6.5,1,0
64,PG,Yes,left-leaning,44,positive,7,1,55
55,UG,No,left-leaning,34,positive,8.5,0,40.5
33,UG,No,left-leaning,34,neutral,8.5,0,32
43,UG,Yes,right-leaning,51,negative,10,1,74
37,UG,No,unknown,35,neutral,7,1,60
26,HS,No,left-leaning,39,neutral,9.5,1,78
38,PG,No,left-leaning,42,positive,7.5,1,36.5
68,HS,No,right-leaning,47,negative,6.5,1,59.5
60,HS,Yes,right-leaning,50,positive,5,1,61
43,HS,Yes,left-leaning,48,neutral,7,1,78.5
40,UG,No,right-leaning,52,negative,1.5,1,56.5
50,UG,Yes,right-leaning,48,positive,3,1,29
60,UG,Yes,left-leaning,32,negative,3.5,0,49
67,UG,No,right-leaning,49,neutral,7.5,1,15.5
64,HS,Yes,right-leaning,47,positive,9.5,0,50.5
63,PG,Yes,right-leaning,51,neutral,5.5,1,74.5
74,UG,Yes,right-leaning,59,positive,4,1,65
19,PG,No,right-leaning,53,neutral,7,1,49.5
52,UG,Yes,right-leaning,53,positive,3,1,73.5
25,PG,No,right-leaning,53,neutral,10,1,65.5
19,PG,No,left-leaning,40,positive,10,1,60.5
28,HS,No,right-leaning,51,neutral,4.5,1,50
20,PG,No,left-leaning,45,positive,8,1,61.5
51,HS,Yes,left-leaning,35,neutral,6,0,34.5
71,HS,No,right-leaning,45,neutral,3.5,1,37
67,UG,Yes,right-leaning,47,neutral,8.5,1,49.5
68,UG,Yes,unknown,39,neutral,4.5,0,64
27,UG,Yes,right-leaning,55,positive,6,1,38
53,HS,Yes,left-leaning,42,neutral,9,0,40.5
28,UG,Yes,right-leaning,41,negative,3,0,61
