schoolid,ABS,year,childid,siblings
school25,1.347964464810057,17,child13,no
school9,1.4906017012932014,17,child3,no
school30,-0.2724161578319091,15,child17,yes
school18,-0.017578973808249458,14,child15,yes
school18,0.8447261301402711,18,child16,yes
school9,0.8237634846041131,13,child2,yes
school1,0.3713558223023739,16,child9,no
school2,-0.9537486469047445,15,child5,no
school12,-1.980511653057707,12,child15,no
school3,1.0773513123587275,16,child8,yes
school26,-0.4922914752986738,15,child16,no
school28,0.11334447628964164,15,child18,no
school2,-0.12038320000340257,14,child15,no
school6,0.7037361391567507,13,child11,no
school17,-0.41953253632508963,17,child4,yes
school11,-2.8424631379262864,13,child12,yes
school14,-1.9791506589092156,13,child13,no
school18,0.48114096169837733,15,child16,yes
school9,1.3090167265670318,14,child14,no
school10,-2.341916183316804,12,child9,yes
school30,-0.9478178449140201,17,child18,yes
school24,-0.46420640231118526,16,child9,no
school23,2.0854713279175567,16,child19,no
school6,0.33601977880658984,17,child14,no
school1,0.5064555195879855,13,child20,no
school17,-0.2156959153386579,16,child9,yes
school8,0.8231753535089453,16,child14,yes
school18,-0.5908326658412938,14,child7,yes
school22,-0.9430241399657937,13,child10,no
school24,1.1385220156990992,16,child5,no
school8,0.39305848656549874,16,child10,yes
school10,-1.5650030246929068,12,child4,no
school6,0.9718493240288598,12,child10,no
school19,0.26520941560410155,13,child12,no
school19,0.033364680459734286,16,child10,yes
school16,0.37099611111154257,17,child6,no
school13,1.6672622171332578,14,child15,yes
school4,0.07802916910694259,16,child3,no
school18,-0.2726394538043862,18,child5,yes
school16,0.3157702712538119,16,child5,yes
school30,-0.5010001617810556,12,child18,yes
school17,1.4210008477786418,14,child18,no
school30,-0.4908884473104758,12,child13,no
school19,0.7861185544499893,18,child10,yes
school20,0.9934865067369529,14,child13,no
school15,-0.7678802858416665,17,child6,no
school19,0.1702114748698042,16,child16,yes
school20,-1.3542670090445814,16,child18,yes
school30,0.027168391286865684,18,child3,yes
school14,-0.400149220121195,14,child13,no
school25,1.7932827442660604,13,child20,no
school10,-1.8972594281989419,14,child8,no
school7,0.05782421684629704,16,child7,yes
school3,-0.9480094923628942,17,child19,yes
school11,0.8923265292509304,13,child10,no
school29,0.21684537223651446,15,child7,yes
school10,0.21514385416481135,18,child15,yes
school15,0.38946809574915536,17,child14,no
school12,-0.1695511245136035,18,child8,yes
school8,0.03043197694131488,12,child11,yes
school15,-0.6787289054358463,13,child17,no
school23,-0.9728392636613464,12,child1,yes
school15,-1.1683489792895818,17,child19,no
school19,-0.1845489590377104,13,child18,yes
school29,0.0420903259620411,13,child5,no
school21,-0.5846455315233818,14,child20,no
school9,-0.5266113194615772,15,child14,no
school20,-1.060024563280952,12,child13,no
school19,0.038432609969922815,14,child11,yes
school18,-0.19546370611519998,14,child9,no
school25,1.4272818819934283,16,child13,no
school9,-0.7092404494955715,12,child4,yes
school16,-0.5567191094842543,15,child4,no
school2,0.40748556276393033,14,child14,no
school11,-0.31418303109832174,18,child5,no
school16,-1.737470963572483,12,child5,yes
school18,0.3035015988674828,17,child20,no
school13,0.214484653520391,12,child19,no
school17,1.6574468619251823,12,child13,yes
school13,-1.000635221647318,18,child11,no
school17,1.445051997031125,17,child8,no
school9,0.6504803521007317,16,child13,no
school22,-2.6614608367716115,13,child15,no
school27,-1.0014185154000468,12,child18,no
school16,-1.2790128242802212,14,child19,no
school19,0.1252912583467866,15,child12,no
school3,-0.034414946801608816,15,child17,no
school11,-1.2713776884008867,14,child9,yes
school2,-0.10028182615473634,17,child14,no
school28,-0.06548993990757751,15,child3,no
school27,-0.32943394772992624,17,child19,no
school21,-0.14377769466314713,18,child3,no
school30,-1.036328250920705,13,child10,yes
school24,0.7801873319484559,17,child4,no
school5,1.7316827781682125,15,child13,no
school23,0.819126947662112,14,child5,yes
school23,0.8390636039418274,16,child13,yes
school5,1.1169644157062733,15,child20,no
school23,0.19723269851886016,14,child19,no
school14,-0.8401779288147666,13,child1,yes
school12,-1.3209488106355929,15,child20,yes
school21,0.23332868449498287,16,child12,yes
school19,1.902220036053602,17,child19,no
school28,-0.2821234846221148,13,child16,yes
school11,1.1149634055304718,18,child10,no
school3,1.8780653579967523,15,child11,yes
school13,0.033180594167086484,18,child20,no
school22,-1.626587451118892,12,child16,no
school2,-1.4592709686534895,15,child12,yes
school10,1.3559067441735901,15,child5,yes
school10,-1.1835238662447194,12,child10,no
school16,-1.0187701693274744,18,child14,yes
school1,-0.03266396132319772,13,child14,no
school8,1.2697192073175056,14,child6,yes
school16,1.2566013607918798,16,child13,yes
school21,-1.3209012901542618,15,child5,yes
school28,0.8552763029965462,17,child18,no
school22,0.2158700759629012,18,child15,no
school6,0.4309092754460486,12,child2,no
school22,-2.3000466640808375,12,child18,no
school8,-1.2448906820714276,15,child10,yes
school1,0.7733230435696244,13,child9,no
school4,-0.008746166421200689,14,child3,no
school8,0.8478400351217878,17,child6,yes
school27,-0.12955527854737245,15,child16,yes
school12,-1.0843183629280937,18,child16,yes
school24,1.816166316801694,15,child4,no
school22,-0.860318338222723,16,child17,no
school26,-0.6837597514692347,14,child20,no
school26,-0.025333386083858423,14,child8,yes
school10,-0.2855353548382635,15,child19,no
school7,-0.08145159989424007,17,child6,no
school29,-1.4798150381248845,17,child16,yes
school6,-0.3482265570250779,16,child18,yes
school18,0.5061996729707524,13,child13,yes
school8,-0.8104765727524724,14,child10,yes
school29,-0.4122160764592621,18,child6,yes
school2,-1.012453736977629,18,child16,yes
school9,0.3529671196565654,13,child1,no
school9,-0.0610656470891986,15,child3,no
school5,1.838614173343349,18,child13,no
school27,0.7076562697045924,13,child2,yes
school7,0.4637972562638053,15,child19,no
school12,-2.1075517824791463,12,child17,no
school1,-0.8344312964286802,15,child11,yes
school22,1.367425311198035,18,child16,no
school20,1.0402532495505115,17,child5,no
school3,-0.2649193920982589,12,child5,yes
school25,0.4083179647632538,16,child2,yes
school11,-0.8769560705798651,13,child4,yes
school29,-0.40133098272804946,15,child15,yes
school29,0.46266090276816063,14,child10,no
school6,0.306730175414639,17,child13,yes
school8,-0.5197883395853529,17,child4,no
school11,-2.1638836779301,12,child18,no
school3,0.04060258829166956,16,child7,no
school29,-0.969614090673647,15,child4,no
school9,1.4720338596869618,13,child3,no
school10,-0.26626527523529914,17,child5,yes
school19,-0.19566031673934783,17,child3,no
school3,-0.23917722904224126,16,child14,yes
school13,0.7413336895189353,16,child14,yes
school13,0.4600728553525775,15,child8,no
school1,-1.541935278998367,12,child12,yes
school29,-0.6235579697362824,12,child13,yes
school16,1.8114988488312145,17,child5,yes
school3,0.39086280603872836,14,child9,no
school9,-2.842975996638388,17,child20,yes
school12,-0.12334021319051852,18,child6,no
school16,-1.5458134298210349,13,child15,yes
school29,-0.7016403343039319,14,child14,yes
school22,1.2357263578314395,18,child9,no
school11,0.058909406855775,17,child5,no
school16,-0.7736708925508895,15,child8,yes
school15,-0.4532659536147207,12,child2,no
school29,-0.058555733865222406,15,child18,no
school22,-1.966212514110015,13,child16,no
school19,-0.7853899412905455,12,child2,no
school9,0.6196100152189203,14,child20,yes
school2,-0.4115190787094437,15,child9,yes
school11,-0.8255083050956443,13,child7,yes
school30,-0.23312419467829226,17,child12,no
school30,-0.2208862813708618,13,child2,yes
school23,2.600229852084523,13,child10,yes
school21,-0.5239007716395155,13,child12,yes
school7,0.676347532308143,13,child2,no
school8,1.214613585303263,18,child14,yes
school7,-0.13605998215178078,14,child3,yes
school16,-0.5389238426845288,18,child19,no
school25,1.7553471993374614,17,child19,no
school29,-0.23319677791260282,13,child4,no
school23,-0.7977852980406748,12,child9,no
school20,-0.04371724941538365,16,child4,no
school2,-0.8364941678162566,14,child10,no
school29,-0.9717362790439704,14,child3,no
school23,0.7177924110569488,17,child9,no
school9,0.7774854931027525,16,child18,yes
school13,1.9227023811184492,18,child4,no
school21,0.07776113130586232,14,child8,yes
school20,-1.0282508504049475,18,child13,no
school23,0.8817060262367796,15,child17,yes
school27,0.829157083604099,15,child2,yes
school27,-0.7113167411696416,14,child19,no
school27,-1.5270348376033964,12,child4,yes
school7,-0.3657864359113803,13,child15,yes
school19,-0.49614763204105544,18,child17,yes
school6,0.597806219226599,17,child16,yes
school30,-0.6541809132622718,17,child19,yes
school11,0.5661820004990543,16,child15,no
school4,0.049188143060246305,12,child9,yes
school3,1.5325977263066013,13,child5,yes
school10,0.8128768098570743,18,child17,no
school1,-1.0888547465850436,16,child10,yes
school29,0.9133949905171495,13,child15,yes
school21,0.5339404074375067,18,child20,no
school25,0.576438135694141,13,child19,no
school29,0.34703555340150627,15,child19,yes
school1,0.10835641041339916,16,child19,yes
school14,-1.229811849812287,17,child16,no
school4,-0.446861049301524,15,child9,yes
school26,0.028584446558736796,18,child17,yes
school2,-3.046363183046092,12,child12,yes
school26,-0.2778888088377541,16,child9,no
school27,-0.8746851559865463,16,child12,yes
school27,1.5022601809007852,17,child4,yes
school14,0.10170347039980393,18,child15,yes
school9,1.112149405128354,15,child4,yes
school13,0.631196927686723,12,child8,no
school29,-0.8807470708709435,12,child18,no
school14,-0.16185287613095442,13,child16,no
school20,0.13736994420258097,13,child2,yes
school12,0.32846856189512286,13,child3,no
school12,0.2914471709078516,14,child1,no
school18,1.2879052337047543,13,child16,yes
school18,0.12104932970337019,12,child19,no
school26,-1.524487697728761,12,child14,no
school10,-0.5133427439410033,15,child12,yes
school7,1.2324694061813712,15,child5,yes
school25,1.1661333601513664,17,child17,no
school3,0.2646099296566196,16,child5,yes
school6,0.7009424153799222,17,child11,no
school2,0.08175275514966311,15,child8,no
school2,-0.3754217726205133,16,child9,yes
school13,1.1382382661384127,15,child16,yes
school17,-0.47084574139899527,16,child4,yes
school24,-1.7264850556819806,13,child3,no
school12,-0.43337849122875655,14,child11,no
school25,-0.21738199442357642,17,child9,no
school10,1.3743541912770256,18,child18,yes
school9,-0.10912317638917499,15,child5,yes
school21,0.9423626171928517,17,child20,no
school7,0.5870290012515567,12,child14,yes
school2,-0.7949451882272662,14,child20,no
school11,0.30523151720467206,16,child18,no
school20,-0.3797785378189996,16,child14,no
school5,-0.48940869589436675,16,child2,no
school15,0.11505720690506566,15,child9,yes
school5,-0.9764914554670975,18,child12,yes
school26,-1.2419514970283414,16,child20,no
school15,0.08205361448069524,18,child8,no
school4,0.37733407586412576,17,child12,yes
school16,0.4510093176684748,18,child3,yes
school2,-1.783742386312548,12,child6,yes
school28,-1.2156741538437115,17,child5,no
school20,1.0308853580420037,14,child14,no
school11,0.7705176540717926,14,child2,no
school14,0.26102262805252713,16,child15,yes
school29,0.5730115248270276,16,child4,no
school15,0.6421174069888396,15,child17,no
school4,0.34831994718882925,15,child4,no
school23,0.41608669844297375,18,child8,yes
school20,-0.20092818490356287,12,child17,no
school17,-0.6511788411267746,12,child3,no
school23,0.24597680913917602,13,child20,yes
school26,0.500903720491302,13,child6,no
school22,-0.3117916638618804,18,child13,yes
school14,1.6746274434510038,17,child12,no
school24,-0.9696923791710029,14,child19,no
school30,-1.361853837716248,13,child9,yes
school3,-0.06548259251008157,13,child18,no
school19,1.1514223879721495,13,child14,yes
school10,-2.399496976994799,12,child17,no
school1,-1.588948729766765,14,child11,yes
school26,-0.43046236275029226,12,child8,yes
school23,1.6868837531712624,17,child15,yes
school11,-1.8806499093102895,15,child14,no
school12,-2.0165416685622457,13,child14,no
school28,0.1196221226810081,14,child1,no
school19,0.37949846256661807,14,child13,yes
school15,-0.8774444177847833,14,child19,no
school24,0.3365624965501802,14,child13,no
school5,1.3357688342865504,13,child4,yes
school30,-0.2388048299469579,18,child13,no
school24,0.6738932656266342,13,child7,no
school24,-1.05427088351883,12,child12,yes
school5,0.8671271640223448,12,child14,yes
school10,0.008642050504421626,15,child3,no
school2,-0.39534294026230155,18,child17,no
school6,2.2949494144720344,17,child2,no
school11,-0.38109679590118406,14,child13,yes
school13,-0.06202638177594823,15,child20,no
school6,-0.26705415109889163,13,child15,no
school21,-1.0898483256264377,16,child3,no
school10,0.49141809328998753,16,child15,yes
school15,0.7965462503246775,17,child12,no
school6,1.8290632512296174,16,child2,no
school12,1.9281268790494401,17,child7,no
school12,-1.6105858969081805,18,child13,no
school18,0.4948459746014894,13,child11,yes
school19,0.8551306197940504,12,child14,yes
school7,0.11172652344751009,15,child6,no
school19,-0.44784800785418133,18,child18,yes
school4,1.0261873316035113,17,child9,yes
school23,1.3176728684979178,15,child7,yes
school14,-1.7346970852092487,12,child1,yes
school5,1.689503501865682,12,child20,no
school25,1.4340790457023918,12,child7,yes
school13,0.29627146428294926,15,child1,no
school15,0.27952790472825845,15,child4,yes
school21,0.9467917847540964,17,child15,yes
school23,1.3629312898199766,17,child8,yes
school30,0.4754415663413491,14,child18,yes
school12,-0.6951954164882806,15,child3,no
school29,-0.8039948586909396,17,child7,yes
school24,-0.9352880859237966,18,child3,no
school2,-0.8826783167481067,16,child5,no
school25,-0.23997683147597387,15,child14,no
school2,-1.599156805666812,18,child6,yes
school8,-0.26568590436418477,12,child20,no
school26,0.6456537322836733,13,child8,yes
school8,-0.8627005085829288,13,child12,no
school8,1.1928586476965197,14,child13,yes
school8,-0.21938079911548103,14,child2,no
school14,1.6710351075747805,18,child4,no
school9,0.4574104689618381,12,child17,no
school21,0.4831679560760771,15,child6,no
school15,1.7212878808157328,14,child9,yes
school5,0.6757856164248652,16,child12,yes
school15,0.44402932163953834,13,child10,no
school10,-1.4214178521479437,12,child8,no
school5,-1.2187113012173882,12,child5,yes
school7,1.587040656233973,17,child19,no
school21,0.7169222631226612,15,child3,no
school10,-0.5413248203158413,13,child19,no
school3,1.197459498812087,18,child11,yes
school4,-0.5441657402738015,14,child4,no
school1,-0.44137058687499303,15,child15,no
school17,0.02171979537093672,13,child9,yes
school7,-0.4971474580110968,15,child3,yes
school24,-0.41595908840165347,18,child19,no
school2,-3.1173575840207524,14,child18,yes
school23,0.7939042228079346,13,child8,yes
school5,-0.08045531736534711,16,child10,yes
school28,0.8522764956888247,17,child16,yes
school19,0.05320054814179335,16,child5,no
school30,-0.6032271700302986,14,child13,no
school4,1.5546802179012287,18,child10,no
school8,1.2734911870466592,17,child10,yes
school22,-0.14842421960091723,18,child19,yes
school21,0.5797734445748194,12,child4,no
school1,0.3180982384127441,18,child9,no
school24,0.09098825674060744,17,child3,no
school2,-2.430771598603698,13,child13,no
school13,-0.2703763241904767,16,child2,yes
school15,-0.66373497756089,13,child14,no
school24,-0.49483000510186437,18,child20,yes
school20,1.7306232678620317,12,child10,no
school24,0.08261214232315563,12,child11,no
school5,0.8810274091537513,17,child3,no
school23,0.9622189473314942,17,child19,no
school17,0.4813950323002595,16,child13,yes
school23,1.3118036005729006,16,child18,yes
school10,-0.7028605166605761,15,child9,yes
school26,-1.6025115094169986,18,child12,yes
school18,-0.6670856876858758,13,child10,yes
school2,-0.6432666883102637,16,child18,yes
school8,0.3844187771128661,14,child18,yes
school17,0.16995379496646726,15,child3,no
school1,0.7481926100475574,15,child13,no
school12,-2.4826524081258983,12,child4,yes
school4,0.6992086474633943,14,child10,no
school28,-0.4050342149658043,14,child2,yes
school28,-0.391027717198355,16,child7,no
school28,0.3365300047343095,15,child13,no
school16,-1.111847959236727,15,child19,no
school26,0.5209543607726933,13,child14,no
school17,-0.8983806222080745,12,child1,yes
school11,-0.6027599821593179,13,child5,no
school7,0.2696623359585691,16,child17,yes
school19,0.44295461664117314,12,child11,yes
school18,1.9336160179625876,14,child16,yes
school14,0.8294622781206294,16,child8,yes
school5,1.3802028431602944,15,child8,no
school22,-0.5046200612948225,17,child17,no
school14,-0.22918463529052507,14,child10,no
school28,-0.6109072604641509,13,child18,no
school16,-1.9275090408798163,13,child19,no
school7,0.93483701000234,15,child16,yes
school8,2.1283623560041867,17,child14,yes
school26,-0.6792158403512347,15,child12,yes
school20,0.8920279944012167,13,child14,no
school17,1.0638734176075495,12,child19,no
school9,-0.4270652240652819,18,child16,yes
school20,0.2131067649418808,18,child6,no
school14,0.1976847357432317,15,child5,yes
school14,0.2412565073991045,17,child9,yes
school20,-1.0253435834772013,16,child1,yes
school26,-1.13237520492799,18,child8,yes
school12,-0.25072640844592636,16,child5,yes
school15,0.22528889641199226,17,child17,no
school18,0.43820643798062064,16,child3,no
school21,0.5540957865450353,16,child8,yes
school30,1.6584157182138128,14,child17,yes
school25,0.8495731121109262,12,child14,no
school6,0.9864605874459914,13,child12,yes
school18,0.6606832694058103,16,child10,yes
school14,-0.6670283082866693,18,child8,yes
school19,-1.7771611422128804,13,child3,no
school5,1.563828686449978,17,child2,no
school16,-0.8654074445846298,13,child13,yes
school27,-0.31209412904211525,14,child7,yes
school1,-1.034087159050793,12,child19,yes
school8,0.3962740385597741,17,child7,no
school30,-0.6351090191133729,15,child10,yes
school23,1.0209016332201477,17,child12,yes
school28,0.5573502311900499,17,child1,no
school29,0.8615861539338037,12,child15,yes
school28,0.5532366391542348,17,child20,no
school21,-0.5925310132268079,14,child14,no
school21,-0.7034270101601355,15,child14,no
school20,-1.5411748495319715,17,child18,yes
school30,-0.04514421301529992,14,child10,yes
school19,-0.15115730938496302,12,child15,yes
school10,0.7374884724994857,16,child12,yes
school25,1.2615141911531138,14,child20,no
school24,-1.2206178148836244,13,child1,yes
school13,-0.21781822345823182,15,child6,no
school14,-1.7036771641521504,14,child11,yes
school6,0.15321711503851812,13,child16,yes
school28,0.9943259286081809,16,child12,yes
school23,0.9399169610717996,13,child18,yes
school30,-1.2934799207288419,13,child1,no
school7,0.4975419735217425,13,child6,no
school21,-0.7091653719772043,12,child15,yes
school26,-0.3212193918005413,17,child14,no
school29,-1.0053958539159755,17,child14,yes
school9,1.0379068486238205,12,child8,yes
school11,-1.1548156739856636,12,child17,no
school2,-1.008092029768609,15,child18,yes
school12,0.410650738475057,12,child9,no
school20,-0.29881664820657333,12,child4,no
school13,0.03956605810451886,17,child1,no
school3,-0.3064779315590286,14,child4,yes
school24,-1.192094795232539,12,child10,no
school26,0.13972671684665455,16,child10,no
school27,-0.5344350063504857,18,child8,yes
school7,-1.2532019830301966,13,child19,no
school23,2.174427713524096,14,child20,yes
school10,-1.0055205999200711,18,child12,yes
school27,0.8321201541816207,14,child18,no
school26,-1.7291321890327032,13,child1,no
school18,0.9392181971658888,18,child11,yes
school17,1.1280386866015417,16,child2,yes
school14,-0.5921718295728513,12,child12,no
school12,1.7265936779697593,17,child3,no
school8,-0.46715582243658965,17,child15,yes
school17,0.6736784682299013,14,child6,yes
school7,0.5086417986587222,16,child2,no
school26,0.41034115548944233,18,child1,no
school6,2.0991358566142027,15,child1,no
school20,0.5322503648071344,14,child15,no
school3,0.8291484534291009,16,child10,yes
school18,-0.45664794224170097,14,child10,yes
school19,-0.39624772131180863,14,child10,yes
school12,-0.21485171227780595,17,child11,no
school5,1.5763394912716304,16,child14,yes
school20,-0.910714266793976,15,child19,no
school27,-1.3247222221099832,15,child13,yes
school25,0.14274831914803726,15,child8,no
school17,1.54464838518654,15,child19,no
school16,-0.7303908750484804,14,child7,yes
school11,0.12516658729850333,17,child14,no
school11,-0.8238984327447719,17,child2,no
school15,0.8770677838085786,13,child15,no
school2,-0.969866314031149,15,child15,no
school29,1.476875354976882,15,child1,yes
school9,0.8281483285891207,14,child3,no
school8,0.052528837449115684,12,child5,no
school30,0.4190895537185771,12,child17,yes
school15,0.9055292875506297,16,child14,no
school22,0.09631670447859308,13,child8,yes
school12,-0.23236966561097624,17,child12,yes
school9,0.3692236035511427,18,child12,yes
school26,0.9273373631451659,18,child4,no
school21,-1.641741889369774,13,child18,yes
school27,-1.0797483746546053,13,child16,yes
school18,0.8261874830887406,16,child13,yes
school13,1.2813981528676632,16,child12,no
school26,0.7665577061047101,14,child4,no
school10,-0.05997086857499425,16,child10,no
school6,0.3243481008876323,15,child11,no
school19,-0.49601081427290583,17,child7,yes
school1,0.33292940748481453,18,child20,no
school29,-1.7909243644312611,16,child16,yes
school22,-0.14254542713393964,15,child13,yes
school16,-2.270642083805795,12,child20,yes
school26,-0.2441792650371217,17,child2,yes
school17,1.8385547129409525,15,child8,no
school18,-0.14987035789488257,15,child15,yes
school29,-0.7519989029696786,12,child14,yes
school4,0.8325107477868067,12,child19,no
school9,-0.9593325851464668,16,child1,no
school18,-0.26289084704422033,13,child14,no
school25,-0.2687814241177025,14,child2,yes
school7,1.4644998690398945,16,child16,yes
school29,-0.31282062474812233,15,child13,yes
school12,-1.6215368894126116,12,child8,yes
school1,0.06985044244814884,14,child3,no
school13,0.7327971329038782,13,child14,yes
school25,0.9524169875415942,16,child19,no
school28,1.062695552809355,14,child19,yes
school5,0.15839431646352162,12,child1,yes
school22,0.2070741416946716,17,child19,yes
school17,0.7649635378179376,12,child17,yes
school10,0.18253129902135695,14,child3,no
school15,-0.7012199097305878,14,child7,no
school3,-0.32844886203372337,15,child7,no
school22,-0.2715809911727369,12,child14,yes
school13,-0.6174246855786433,18,child6,no
school28,-0.6404299714727083,13,child13,no
school16,1.082222322318492,16,child15,yes
school29,-0.4815238235395524,17,child3,no
school15,-1.18182561702996,17,child4,yes
school25,0.730863362151572,17,child12,yes
school5,1.2340705920966262,16,child13,no
school13,-0.38737790084228146,18,child5,yes
school27,-1.6505140572773502,17,child8,yes
school4,0.14942471564085763,16,child11,yes
school16,-0.38416125026904907,15,child2,yes
school19,-0.046320096209075574,14,child16,yes
school13,0.9258243042179899,17,child20,no
school23,0.9649593567992838,17,child13,yes
school2,-0.12818655257624154,15,child3,no
school15,1.0479711208405538,12,child15,no
school8,-0.42238133210070267,14,child19,yes
school24,-0.8520801961969476,13,child19,no
school8,1.1638296744860164,16,child9,no
school28,1.3102035885233871,18,child12,yes
school16,-0.9708139206702306,14,child3,yes
school28,0.0941534540263589,12,child4,no
school10,-0.5450557158974839,18,child19,no
school1,0.8031667012903907,18,child1,yes
school15,-2.8788010522398793,18,child9,yes
school23,0.3146766284228992,14,child18,yes
school27,-0.36523427108785717,17,child13,yes
school28,1.471251807975059,16,child2,yes
school30,-1.1191158767260228,12,child2,yes
school22,1.1901376025120225,16,child7,yes
school21,-0.5768461309178026,12,child13,yes
school23,-0.27675654873577205,12,child7,yes
school18,0.3429388111887376,15,child1,yes
school27,-1.7516499496146236,14,child13,yes
school30,0.6116307811806553,18,child11,yes
school18,1.9614636006532549,17,child10,yes
school21,0.9463612392534548,15,child4,no
school28,0.14475898772722884,15,child20,no
school13,-0.22044718053275433,16,child1,no
school18,0.19355403375179697,17,child13,yes
school18,1.4488883641322556,15,child5,yes
school23,0.4049904381563844,13,child5,yes
school27,0.5990256755376161,12,child8,yes
school28,0.26386641608452516,18,child16,yes
school24,-1.501824218529083,13,child12,yes
school10,1.1073023082059938,17,child11,no
school25,-0.0040512353430021885,13,child5,yes
school26,0.02072287365455974,17,child8,yes
school17,1.9712627853894824,16,child8,no
school4,0.3088880898363714,13,child18,no
school26,0.982107367872757,15,child7,no
school1,-0.761261111493965,17,child16,yes
school21,-0.8484712066794861,16,child2,no
school1,-0.5672693138181986,18,child12,yes
school9,-0.9357685091553507,16,child10,yes
school23,0.6312246959367647,16,child5,yes
school13,1.6053184949246022,16,child8,no
school26,1.6377165962382012,16,child4,no
school11,-0.9275205841045583,12,child3,yes
school4,0.8067265793010341,16,child17,no
school25,1.259898959345014,14,child19,no
school16,-0.6227324156981656,16,child1,no
school29,-1.1889490854342073,14,child16,yes
school25,0.238916033130405,12,child17,no
school20,0.3732738518558437,15,child16,yes
school22,-0.9051743398232023,14,child10,no
school13,0.9325425346042248,15,child4,no
school9,-0.853188614968848,12,child13,no
school4,0.17919329666271858,13,child7,no
school30,-0.3023109436018996,16,child3,yes
school15,-1.4599494812322555,17,child16,yes
school8,1.2578663798495857,16,child13,yes
school9,-0.8316243107124661,16,child5,yes
school1,-1.9775873581305476,13,child12,yes
school5,1.4292842792622802,17,child19,no
school5,1.6008749502649158,15,child2,no
school25,0.8727320671174904,18,child18,no
