status,difficulty,monkeyID,solved
subordinate,difficult,David,1
subordinate,easy,David,1
subordinate,easy,David,1
subordinate,difficult,David,1
subordinate,easy,Riley,1
subordinate,difficult,Riley,1
subordinate,difficult,Riley,0
subordinate,difficult,Riley,0
subordinate,easy,Riley,1
subordinate,easy,Riley,1
subordinate,easy,Riley,1
subordinate,easy,Riley,0
dominant,easy,Saydie,1
dominant,difficult,Saydie,0
dominant,difficult,Saydie,1
dominant,easy,Saydie,1
dominant,difficult,Saydie,1
dominant,difficult,Saydie,0
dominant,easy,Saydie,0
dominant,easy,Saydie,1
dominant,difficult,Vance,0
dominant,difficult,Vance,0
dominant,difficult,Vance,0
dominant,difficult,Vance,0
dominant,easy,Vance,1
dominant,difficult,Vance,0
dominant,difficult,Vance,0
dominant,difficult,Vance,0
subordinate,easy,Jessica,0
subordinate,easy,Jessica,0
subordinate,easy,Jessica,1
subordinate,easy,Jessica,1
subordinate,difficult,Jessica,0
subordinate,difficult,Jessica,1
subordinate,difficult,Jessica,1
subordinate,difficult,Jessica,1
dominant,difficult,Taylor,0
dominant,easy,Taylor,1
dominant,easy,Taylor,1
dominant,easy,Taylor,0
dominant,difficult,Taylor,0
dominant,difficult,Taylor,0
adolescent,difficult,Rebecca,0
adolescent,easy,Rebecca,1
adolescent,easy,Rebecca,0
adolescent,difficult,Rebecca,0
adolescent,easy,Rebecca,1
adolescent,easy,Rebecca,1
adolescent,easy,Rebecca,0
adolescent,difficult,Rebecca,0
adolescent,difficult,Rebecca,0
dominant,easy,Rachel,1
dominant,difficult,Rachel,0
dominant,difficult,Rachel,0
dominant,difficult,Rachel,0
dominant,easy,Rachel,1
dominant,difficult,Rachel,1
dominant,easy,Rachel,1
dominant,difficult,Rachel,0
dominant,easy,Rachel,1
dominant,easy,Rachel,1
dominant,easy,Rachel,1
adolescent,difficult,Erik,0
adolescent,easy,Erik,1
adolescent,easy,Erik,1
adolescent,difficult,Erik,1
adolescent,easy,Erik,1
adolescent,easy,Erik,1
subordinate,difficult,Richard,1
subordinate,difficult,Richard,1
subordinate,difficult,Richard,1
dominant,easy,Iffat,0
dominant,easy,Iffat,0
dominant,easy,Iffat,0
dominant,easy,Iffat,0
dominant,easy,Iffat,0
dominant,easy,Iffat,0
dominant,easy,Iffat,0
dominant,difficult,Iffat,0
dominant,difficult,Courtney,1
dominant,easy,Courtney,0
dominant,difficult,Courtney,0
dominant,easy,Courtney,0
dominant,easy,Courtney,0
dominant,easy,Courtney,0
dominant,easy,Courtney,0
subordinate,difficult,Daniel,0
subordinate,easy,Daniel,0
subordinate,difficult,Daniel,0
subordinate,easy,Daniel,0
subordinate,difficult,Daniel,1
subordinate,difficult,Daniel,0
subordinate,difficult,Daniel,0
subordinate,easy,Daniel,1
dominant,difficult,Efren,0
dominant,easy,Efren,1
dominant,difficult,Efren,0
dominant,easy,Efren,1
dominant,easy,Efren,1
dominant,difficult,Efren,0
dominant,difficult,Efren,0
dominant,easy,Maya,0
dominant,easy,Maya,0
dominant,easy,Maya,0
dominant,difficult,Maya,1
dominant,difficult,Maya,0
dominant,easy,Maya,1
dominant,easy,Maya,1
adolescent,easy,Ashley,1
adolescent,easy,Ashley,0
adolescent,difficult,Ashley,1
adolescent,easy,Ashley,1
adolescent,difficult,Ashley,1
adolescent,difficult,Ashley,1
subordinate,easy,Nadheera,0
subordinate,easy,Nadheera,0
subordinate,easy,Nadheera,0
subordinate,easy,Nadheera,0
subordinate,easy,Nadheera,0
subordinate,easy,Nadheera,1
subordinate,easy,Nadheera,1
dominant,difficult,Sydney,0
dominant,easy,Sydney,1
dominant,difficult,Sydney,1
dominant,easy,Sydney,1
dominant,easy,Sydney,1
dominant,easy,Sydney,1
dominant,difficult,Sydney,0
dominant,difficult,Sydney,1
dominant,easy,Nathan,0
dominant,difficult,Nathan,0
dominant,difficult,Nathan,0
dominant,easy,Nathan,0
dominant,difficult,Nathan,0
dominant,difficult,Shajee'a,0
dominant,easy,Shajee'a,1
dominant,difficult,Shajee'a,0
dominant,easy,Shajee'a,1
dominant,difficult,Shajee'a,0
dominant,easy,Shajee'a,0
dominant,difficult,Shajee'a,0
dominant,difficult,Shajee'a,0
dominant,difficult,Shajee'a,0
dominant,difficult,Shajee'a,0
dominant,difficult,Brianna,1
dominant,difficult,Brianna,1
dominant,easy,Brianna,1
dominant,difficult,Brianna,0
dominant,easy,Brianna,0
adolescent,difficult,Delray,0
adolescent,difficult,Delray,0
adolescent,difficult,Delray,0
adolescent,easy,Delray,0
adolescent,difficult,Delray,0
adolescent,difficult,Delray,0
subordinate,easy,Cinoi,1
subordinate,difficult,Cinoi,1
subordinate,difficult,Cinoi,1
subordinate,easy,Cinoi,1
subordinate,easy,Cinoi,1
subordinate,easy,Cinoi,1
subordinate,difficult,Cinoi,1
subordinate,easy,Cinoi,1
subordinate,difficult,Cinoi,0
subordinate,easy,Cinoi,1
dominant,difficult,Eric,0
dominant,easy,Eric,1
dominant,easy,Eric,0
dominant,easy,Eric,1
dominant,difficult,Eric,0
dominant,difficult,Eric,1
dominant,easy,Eric,1
dominant,easy,Eric,0
adolescent,easy,Young Joo,0
adolescent,difficult,Young Joo,0
adolescent,easy,Young Joo,0
adolescent,difficult,Young Joo,0
adolescent,easy,Young Joo,0
adolescent,easy,Young Joo,0
adolescent,difficult,Young Joo,0
dominant,difficult,Jason,1
dominant,easy,Jason,0
dominant,difficult,Jason,1
dominant,easy,Jason,1
dominant,easy,Jason,1
dominant,difficult,Jason,1
dominant,easy,Jason,1
dominant,difficult,Jason,0
dominant,difficult,Jason,1
dominant,difficult,Jason,1
adolescent,difficult,Jennifer,0
adolescent,easy,Jennifer,0
adolescent,easy,Jennifer,1
adolescent,difficult,Jennifer,0
adolescent,difficult,Jennifer,0
adolescent,difficult,Jennifer,0
adolescent,difficult,Jennifer,1
adolescent,difficult,Jennifer,0
adolescent,difficult,Jennifer,0
adolescent,easy,Jennifer,0
dominant,easy,Najiyya,1
dominant,easy,Najiyya,0
dominant,easy,Najiyya,1
dominant,difficult,Najiyya,1
dominant,easy,Najiyya,1
dominant,difficult,Najiyya,0
dominant,easy,Najiyya,0
dominant,easy,Najiyya,1
dominant,difficult,Najiyya,1
dominant,difficult,Najiyya,0
dominant,difficult,Najiyya,0
dominant,easy,Sean,1
dominant,easy,Sean,0
dominant,easy,Sean,0
dominant,difficult,Sean,0
dominant,easy,Sean,0
dominant,easy,Sean,0
dominant,difficult,Sean,1
dominant,difficult,Sean,0
dominant,easy,Sean,0
adolescent,difficult,Cheyenne,0
adolescent,difficult,Cheyenne,0
adolescent,easy,Cheyenne,0
adolescent,easy,Cheyenne,0
adolescent,easy,Cheyenne,0
adolescent,easy,Cheyenne,0
dominant,difficult,Devonte,0
dominant,difficult,Devonte,1
dominant,easy,Devonte,0
dominant,easy,Devonte,1
dominant,easy,Devonte,1
adolescent,difficult,Jonathan,0
adolescent,easy,Jonathan,1
adolescent,easy,Jonathan,1
adolescent,easy,Jonathan,1
adolescent,difficult,Jonathan,0
adolescent,easy,Jonathan,1
adolescent,easy,Jonathan,1
adolescent,difficult,Catherine,0
adolescent,difficult,Catherine,1
adolescent,easy,Catherine,0
adolescent,easy,Catherine,0
adolescent,difficult,Catherine,0
adolescent,easy,Catherine,1
adolescent,easy,Catherine,0
adolescent,easy,Catherine,0
adolescent,difficult,Catherine,0
subordinate,easy,Nichol,1
subordinate,difficult,Nichol,1
subordinate,difficult,Nichol,1
subordinate,easy,Nichol,0
subordinate,easy,Nichol,1
subordinate,difficult,Nichol,0
subordinate,easy,Nichol,1
subordinate,easy,Nichol,1
subordinate,easy,Nichol,1
subordinate,difficult,Nichol,0
adolescent,difficult,Kaamil,0
adolescent,difficult,Kaamil,1
adolescent,difficult,Kaamil,0
adolescent,easy,Kaamil,0
adolescent,difficult,Kaamil,0
adolescent,easy,Kaamil,0
adolescent,easy,Kaamil,0
adolescent,difficult,Kaamil,0
adolescent,difficult,Kaamil,0
adolescent,difficult,Kaamil,0
adolescent,easy,Kaamil,0
adolescent,easy,Shannon,0
adolescent,difficult,Shannon,0
adolescent,difficult,Shannon,0
adolescent,difficult,Shannon,1
adolescent,easy,Shannon,0
adolescent,difficult,Shannon,0
adolescent,difficult,Shannon,1
adolescent,easy,Shannon,0
adolescent,easy,Shannon,0
adolescent,difficult,Shannon,1
subordinate,difficult,Fuaad,1
subordinate,difficult,Fuaad,1
subordinate,difficult,Fuaad,1
subordinate,difficult,Fuaad,1
subordinate,easy,Fuaad,1
subordinate,difficult,Fuaad,1
adolescent,easy,Peter,0
adolescent,easy,Peter,1
adolescent,easy,Peter,0
adolescent,difficult,Peter,1
adolescent,easy,Peter,1
adolescent,easy,Peter,1
adolescent,easy,Peter,1
