ID,FOMO,Age,Gender,N,E,O,A,C
129,33,21,Male,25,24,39,30,34
130,14,45,Male,10,23,39,27,26
131,27,15,Male,20,24,34,31,20
132,28,35,Male,13,32,43,30,18
133,28,45,Male,29,19,27,42,31
134,12,46,Male,29,23,29,18,34
135,28,33,Male,22,31,23,13,27
136,22,40,Male,30,10,32,30,29
137,25,27,Male,23,27,42,31,40
138,34,31,Male,24,27,35,26,26
139,30,29,Male,16,29,35,33,19
140,25,22,Male,26,32,40,34,34
141,29,41,Male,29,25,28,33,29
142,32,31,Male,26,24,41,33,40
143,26,41,Male,11,24,49,30,26
144,30,38,Male,33,30,38,32,34
145,23,43,Male,19,20,35,28,31
146,32,19,Male,32,21,30,31,30
147,28,21,Male,23,21,38,33,37
148,20,59,Male,25,27,33,30,34
149,25,38,Male,28,31,31,15,35
150,26,43,Male,30,39,27,33,26
151,21,16,Male,19,27,39,28,16
152,26,30,Male,19,35,40,34,28
153,19,52,Male,14,25,43,38,32
154,12,48,Male,19,32,27,32,28
155,15,42,Male,22,30,44,29,35
156,21,23,Male,33,19,20,27,35
157,25,39,Male,32,32,41,34,41
158,33,21,Male,26,23,29,18,28
159,21,53,Male,18,23,26,31,27
160,18,41,Male,9,23,41,29,31
161,27,36,Male,25,21,31,31,19
162,13,33,Male,19,28,33,35,32
163,20,46,Male,14,20,37,26,21
164,20,39,Male,26,20,33,28,33
165,18,67,Male,18,19,30,27,23
166,22,47,Male,22,22,34,28,32
167,21,22,Male,20,22,30,24,28
168,26,35,Male,17,27,32,38,19
169,33,25,Male,27,25,34,27,35
170,27,26,Male,19,16,34,31,22
171,18,34,Male,27,34,31,34,30
172,21,33,Male,20,29,38,24,42
173,29,27,Male,17,27,48,26,28
174,14,30,Male,25,29,46,39,34
175,25,26,Male,19,25,34,25,24
176,29,17,Male,21,30,32,26,28
177,23,13,Male,27,27,41,32,32
178,22,30,Male,20,32,39,27,34
179,38,23,Male,25,17,30,37,24
180,27,44,Male,20,15,37,33,35
181,29,19,Male,22,27,37,25,24
182,22,34,Male,15,22,40,32,31
183,37,30,Male,23,20,37,28,26
184,25,34,Male,23,22,41,30,29
185,17,46,Male,23,28,20,30,25
186,23,36,Male,25,31,41,42,37
187,25,47,Male,9,30,38,35,23
188,25,15,Male,28,26,31,26,26
189,17,71,Male,19,21,35,32,35
190,22,60,Male,18,17,35,38,21
191,13,44,Male,16,27,37,30,27
192,26,29,Male,22,27,34,27,30
193,22,39,Male,25,26,40,30,25
194,24,29,Male,22,28,34,26,39
195,29,41,Male,25,20,46,27,34
196,23,50,Male,33,32,40,25,45
197,32,12,Male,37,16,35,36,38
198,18,22,Male,18,32,40,42,39
199,28,46,Male,27,18,26,28,37
200,21,37,Male,23,23,34,32,35
201,28,37,Male,27,22,26,29,30
202,24,48,Male,25,27,37,34,32
203,31,30,Male,23,32,24,22,28
204,26,17,Male,22,18,32,36,25
205,40,14,Male,27,31,37,29,28
206,23,34,Male,19,23,40,32,31
207,18,30,Male,18,16,41,25,34
208,28,20,Male,28,28,35,32,33
209,27,36,Male,25,23,35,30,33
210,18,35,Male,17,26,33,29,27
211,22,22,Male,24,28,32,25,21
212,29,36,Male,26,28,35,29,29
213,16,53,Male,11,22,38,30,32
214,15,42,Male,11,28,47,29,32
215,27,14,Male,13,24,49,31,30
216,19,47,Male,18,27,38,31,27
217,19,48,Male,16,24,32,28,34
218,19,40,Male,18,23,34,26,20
219,30,39,Male,25,27,30,40,34
220,22,26,Male,23,22,42,29,30
221,38,22,Male,16,17,32,30,22
222,25,28,Male,14,16,36,28,32
223,16,23,Male,14,25,43,26,29
224,20,32,Male,22,24,38,27,38
225,20,54,Male,19,30,40,32,34
226,20,57,Male,29,23,20,25,26
227,22,50,Male,15,19,42,36,26
228,28,44,Male,23,30,30,25,25
229,33,18,Male,26,13,29,34,25
230,23,28,Male,20,26,33,28,29
231,19,49,Male,18,29,38,25,41
232,24,41,Male,21,26,31,26,29
233,25,36,Male,24,18,32,31,33
234,12,43,Male,20,30,42,25,40
235,26,41,Male,29,29,33,37,33
236,25,36,Male,14,35,38,29,30
237,26,39,Male,14,33,40,35,25
238,30,28,Male,19,36,41,26,35
239,15,45,Male,10,29,41,37,27
240,22,35,Male,21,24,41,31,30
241,28,15,Male,37,8,36,38,33
242,20,27,Male,25,18,27,30,30
243,23,26,Male,20,28,36,37,25
244,32,12,Male,33,25,36,36,32
245,22,34,Male,19,20,36,40,34
246,27,25,Male,38,27,34,27,19
247,23,28,Male,21,26,46,39,33
248,20,15,Male,24,19,41,38,33
249,25,37,Male,21,26,36,33,39
250,20,52,Male,23,29,32,31,28
251,31,37,Male,29,23,36,27,40
252,29,36,Male,24,26,30,33,38
253,22,49,Male,21,24,30,28,37
254,18,49,Male,17,25,30,30,34
255,28,25,Male,15,20,39,32,31
256,12,27,Male,29,31,29,32,37
257,24,40,Male,19,30,26,23,30
258,33,41,Male,21,25,34,37,29
259,21,19,Male,19,29,40,29,23
260,19,35,Male,24,16,31,22,33
261,31,26,Male,26,36,39,31,31
262,25,19,Male,19,25,43,32,23
263,27,40,Male,30,24,25,18,27
264,27,39,Male,21,33,46,41,33
265,25,26,Male,22,35,39,29,29
266,27,37,Male,19,31,34,27,34
267,34,25,Male,25,25,30,32,32
268,22,51,Male,24,31,29,33,28
269,32,23,Male,22,24,48,39,21
270,20,46,Male,24,22,41,29,28
271,33,14,Male,34,23,36,28,33
272,28,24,Male,16,21,42,40,20
273,14,15,Male,26,36,44,32,38
274,21,24,Male,31,29,35,30,44
275,17,62,Male,21,17,29,34,29
276,20,15,Male,15,19,38,26,28
277,31,32,Male,18,28,30,33,23
278,37,15,Male,28,28,36,26,28
279,17,30,Male,20,24,36,29,26
280,27,18,Male,21,35,41,37,32
281,27,35,Male,29,28,39,36,24
282,16,30,Male,29,17,41,38,36
283,19,21,Male,16,33,43,28,22
284,23,29,Male,27,33,37,28,36
285,19,19,Male,14,19,39,33,24
286,20,24,Male,22,24,38,25,30
287,29,40,Male,30,31,31,34,38
288,26,40,Male,28,28,33,35,31
289,19,49,Male,25,24,35,27,41
290,40,17,Male,28,29,31,25,25
291,17,50,Male,19,26,36,29,34
292,26,39,Male,23,37,29,29,39
293,33,28,Male,30,23,23,22,23
294,18,43,Male,21,23,25,31,25
295,30,14,Male,28,28,27,21,20
296,24,37,Male,16,32,37,21,27
297,20,49,Male,18,27,38,28,32
298,25,34,Male,26,25,31,24,30
299,23,42,Male,23,21,37,41,24
300,33,42,Male,25,31,29,26,27
301,32,21,Male,22,29,37,28,26
302,26,46,Male,22,31,33,33,31
303,31,16,Male,15,36,32,31,24
304,23,25,Male,24,20,43,32,29
305,28,32,Male,14,21,42,31,25
306,25,30,Male,25,19,38,34,31
307,30,37,Male,13,27,34,27,28
308,35,12,Male,21,16,39,36,36
309,24,19,Male,26,29,34,22,33
310,13,35,Male,16,13,35,40,25
311,18,47,Male,31,36,30,27,40
312,21,44,Male,26,24,34,34,38
313,27,24,Male,27,37,40,36,32
314,20,37,Male,22,26,36,27,37
315,18,30,Male,23,37,38,38,33
316,26,32,Male,22,34,39,37,29
317,28,29,Male,27,21,36,25,35
318,20,35,Male,15,29,40,30,30
319,31,26,Male,28,27,39,38,23
320,18,34,Male,29,26,37,26,34
321,21,38,Male,27,30,36,31,33
322,32,24,Male,31,15,27,32,23
323,18,53,Male,18,20,39,30,32
324,25,14,Male,28,29,37,28,33
325,19,31,Male,19,30,41,33,25
326,13,25,Male,18,33,46,35,31
327,23,70,Male,24,30,29,28,28
328,30,20,Male,18,30,26,31,17
329,21,24,Male,28,17,36,36,34
330,28,19,Male,20,31,41,31,23
331,36,17,Male,28,27,29,25,32
332,33,31,Male,28,35,38,26,37
333,17,52,Male,20,23,29,33,30
334,28,23,Male,25,31,43,38,35
335,11,46,Male,16,24,37,29,37
336,21,42,Male,17,24,28,24,22
337,12,56,Male,12,35,39,31,19
338,20,35,Male,24,14,37,29,35
339,29,27,Male,29,20,30,34,40
340,22,29,Male,15,28,33,29,18
341,34,22,Male,20,24,31,29,21
342,23,13,Male,29,29,43,26,39
343,23,50,Male,19,20,37,39,25
344,37,16,Male,33,20,30,27,36
345,35,12,Male,27,33,39,29,36
346,27,21,Male,21,24,37,39,27
347,19,37,Male,16,28,38,27,19
348,24,22,Male,17,18,33,21,21
349,31,32,Male,28,26,35,29,33
350,16,43,Male,15,24,39,31,35
351,37,14,Male,24,31,35,35,15
352,30,35,Male,29,20,34,23,33
353,15,26,Male,18,20,30,30,28
354,20,38,Male,20,33,38,30,29
355,18,37,Male,18,29,41,34,33
356,28,40,Male,24,18,32,22,28
357,27,21,Male,24,18,30,28,37
358,24,24,Male,15,31,35,38,24
359,19,43,Male,20,24,34,27,36
360,25,28,Male,19,21,37,30,26
361,41,38,Male,23,23,36,35,28
362,21,34,Male,19,25,43,30,32
363,25,38,Male,22,24,45,41,26
364,22,54,Male,16,30,40,25,35
365,21,36,Male,17,39,47,35,36
366,21,34,Male,20,31,31,23,29
367,28,21,Male,23,21,43,37,23
368,24,27,Male,21,27,36,33,27
369,26,29,Male,25,16,27,32,27
370,21,24,Male,22,28,28,27,26
371,25,47,Male,26,15,37,30,38
372,27,13,Male,25,12,44,35,41
373,19,30,Male,23,28,36,33,30
374,13,45,Male,10,26,32,28,27
375,27,20,Male,24,24,34,17,30
376,30,19,Male,34,22,37,25,28
377,22,15,Male,23,23,37,26,28
378,19,46,Male,19,33,37,34,38
379,20,56,Male,20,24,32,30,25
380,28,29,Male,13,24,40,27,20
381,30,16,Male,22,28,42,38,31
382,19,18,Male,25,25,39,36,33
383,37,19,Male,30,26,34,29,42
384,35,34,Male,25,16,36,31,29
385,35,35,Male,18,40,32,38,28
386,34,48,Male,20,28,38,32,24
387,26,18,Male,33,28,33,28,42
388,38,37,Male,25,27,30,30,21
389,27,37,Male,19,29,32,30,33
390,17,25,Male,24,16,37,30,32
391,27,16,Male,13,40,40,30,26
392,37,25,Male,30,12,43,34,32
393,40,12,Male,35,21,25,18,31
394,21,40,Male,26,18,34,28,36
395,29,28,Male,22,24,34,33,19
396,26,24,Male,25,35,36,33,28
397,33,29,Male,21,27,39,31,25
398,33,46,Male,26,24,18,22,32
399,40,20,Male,17,24,36,32,25
400,27,13,Male,28,30,36,24,39
401,20,32,Male,25,16,26,31,35
402,23,43,Male,28,29,28,27,35
403,13,33,Male,26,30,36,36,36
404,20,45,Male,17,35,36,36,24
405,20,52,Male,30,20,30,29,32
406,29,24,Male,30,25,36,27,33
407,30,32,Male,20,16,40,22,25
408,25,44,Male,8,29,44,39,17
409,27,29,Male,30,25,28,30,23
410,24,41,Male,18,36,37,27,23
411,27,35,Male,30,34,37,35,28
412,31,29,Male,31,17,27,40,27
413,22,29,Male,31,31,26,22,31
414,17,30,Male,15,29,32,25,34
415,22,46,Male,17,21,31,32,26
416,27,35,Male,28,24,24,22,19
417,28,39,Male,18,32,31,28,17
418,28,47,Male,26,14,29,31,21
419,19,49,Male,19,26,38,29,30
420,30,42,Male,24,13,40,40,30
421,27,17,Male,26,22,35,28,31
422,25,37,Male,19,33,32,33,34
423,14,45,Male,16,34,31,27,34
424,29,22,Male,29,20,32,38,32
425,19,56,Male,22,30,44,36,34
426,16,39,Male,24,20,38,33,30
427,34,18,Male,27,24,40,34,35
428,18,45,Male,28,37,37,31,32
429,30,27,Male,23,36,34,24,29
430,21,32,Male,28,24,32,36,36
431,34,44,Male,21,21,36,29,28
432,16,49,Male,29,28,24,38,34
433,31,33,Male,29,22,35,30,37
434,27,18,Male,29,19,30,33,27
435,27,32,Male,25,30,28,32,26
436,17,27,Male,24,36,26,32,33
437,22,37,Male,15,33,45,39,40
438,18,29,Male,15,24,42,24,33
439,22,43,Male,21,36,35,25,26
440,18,59,Male,21,16,32,32,40
441,33,39,Male,19,27,41,31,28
442,14,45,Male,16,29,42,32,34
443,29,45,Male,18,23,37,38,30
444,28,28,Male,31,21,36,30,30
445,18,41,Male,20,27,32,28,28
446,33,41,Male,21,26,25,34,25
447,14,42,Male,13,40,47,29,31
448,32,17,Male,27,35,46,34,33
449,22,47,Male,19,33,35,30,26
450,32,19,Male,18,24,41,33,19
451,32,30,Male,28,38,41,28,31
452,26,47,Male,15,25,33,33,32
453,18,42,Male,15,24,33,29,31
454,26,31,Male,28,18,31,37,24
455,15,63,Male,9,26,31,14,28
456,37,25,Male,23,33,39,34,31
457,12,21,Male,27,28,34,24,34
458,16,33,Male,17,25,29,25,30
459,25,46,Male,27,26,35,32,36
460,19,31,Male,26,30,31,35,30
461,32,31,Male,30,24,34,31,34
462,17,46,Male,19,26,32,36,32
463,20,56,Male,19,26,29,33,30
464,35,38,Male,25,21,29,22,25
465,16,36,Male,19,29,41,36,35
466,38,24,Male,16,25,38,28,27
467,31,36,Male,25,23,41,22,33
468,25,38,Male,27,23,31,39,29
469,15,38,Male,23,25,31,39,35
470,24,35,Male,24,31,39,34,27
471,10,44,Male,21,28,40,30,38
472,27,32,Male,26,23,37,33,31
473,20,37,Male,19,37,40,36,29
474,29,28,Male,23,34,35,36,27
475,17,37,Male,11,36,40,33,41
476,23,30,Male,31,28,34,28,38
477,17,33,Male,23,23,33,15,29
478,34,23,Male,23,17,32,28,31
479,23,19,Male,14,29,43,36,23
480,22,46,Male,18,18,37,26,30
481,25,32,Male,27,17,38,27,36
482,23,23,Male,32,23,36,29,29
483,34,18,Male,25,22,35,29,30
484,28,37,Male,23,27,38,32,32
485,30,20,Male,23,26,33,31,35
486,10,46,Male,10,27,45,34,27
487,24,27,Male,35,27,34,32,38
488,27,54,Male,19,23,32,30,27
489,21,35,Male,24,30,35,28,31
490,11,58,Male,29,24,26,33,42
491,21,39,Male,21,25,25,29,28
492,29,25,Male,17,25,30,22,24
493,24,40,Male,24,32,34,27,31
494,28,37,Male,18,32,35,39,24
495,28,40,Male,20,22,35,28,25
496,33,27,Male,28,14,33,31,24
497,17,32,Male,17,28,47,39,42
498,10,23,Male,23,17,34,36,19
499,21,39,Male,18,24,28,31,31
500,31,41,Male,22,27,26,32,25
501,27,15,Male,31,26,32,27,35
502,26,32,Male,28,21,37,27,28
503,22,37,Male,27,24,29,39,28
504,34,24,Male,32,18,35,31,28
505,17,50,Male,10,28,36,34,29
506,30,26,Male,30,18,35,37,28
507,28,26,Male,23,32,36,23,29
508,29,33,Male,28,30,39,29,31
509,17,26,Male,25,28,35,29,31
510,26,30,Male,18,33,27,40,29
511,24,20,Male,27,25,35,27,31
512,25,47,Male,19,30,38,29,26
513,32,25,Male,17,29,43,25,24
514,34,14,Male,21,36,37,26,28
515,24,36,Male,25,18,32,38,32
516,29,26,Male,17,28,47,36,20
517,29,18,Male,26,23,36,23,33
518,25,35,Male,21,28,40,36,32
519,27,41,Male,26,28,25,29,36
520,25,39,Male,25,13,27,26,32
521,17,35,Male,9,29,48,34,27
522,21,12,Male,22,31,34,32,30
523,23,55,Male,20,25,43,36,36
524,34,18,Male,19,27,40,26,21
525,18,34,Male,25,29,46,23,35
526,27,52,Male,20,24,40,29,27
527,30,28,Male,28,30,39,33,35
528,19,42,Male,16,27,43,32,32
529,23,13,Male,21,25,39,27,26
530,27,51,Male,20,29,32,36,24
531,25,18,Male,19,31,42,24,24
532,27,32,Male,33,26,28,29,40
533,17,46,Male,23,23,42,34,37
534,29,23,Male,26,12,34,22,29
535,30,22,Male,38,27,30,32,42
536,18,32,Male,20,33,46,37,40
537,23,48,Male,16,36,37,32,29
538,19,29,Male,29,24,38,36,25
539,28,36,Male,39,19,31,39,35
540,33,20,Male,32,27,34,29,35
541,20,21,Male,25,25,28,24,40
542,23,20,Male,15,27,44,40,23
543,31,37,Male,19,19,38,22,26
544,27,35,Male,36,30,28,27,28
545,19,29,Male,21,22,40,40,33
546,17,44,Male,19,19,35,27,34
547,13,34,Male,20,19,41,29,34
548,20,25,Male,15,25,34,29,20
549,23,14,Male,23,25,42,31,37
550,25,35,Male,23,24,33,37,23
551,21,50,Male,14,21,44,29,27
552,32,25,Male,20,36,34,26,30
553,31,15,Male,27,36,43,31,30
554,28,47,Male,20,34,37,27,32
555,32,39,Male,24,27,22,24,27
556,20,51,Male,23,18,33,33,28
557,27,13,Male,30,22,36,29,32
558,33,18,Male,27,24,37,28,24
559,20,43,Male,11,33,43,31,24
560,29,22,Male,32,17,44,38,35
561,28,26,Male,17,25,48,34,31
562,15,48,Male,23,27,44,27,33
563,30,25,Male,30,16,32,30,26
564,25,39,Male,34,26,34,35,34
565,22,26,Male,19,33,37,33,38
566,25,34,Male,21,18,39,34,33
567,36,24,Male,22,30,41,29,23
568,31,22,Male,21,17,33,34,22
569,28,36,Male,20,24,30,33,33
570,16,43,Male,18,32,41,35,32
571,30,36,Male,36,21,33,39,38
572,29,18,Male,15,30,44,33,22
573,12,23,Male,25,30,41,36,40
574,28,16,Male,28,28,29,23,29
575,28,50,Male,28,25,27,28,22
576,24,39,Male,24,19,36,33,27
577,19,52,Male,27,29,35,38,40
578,15,35,Male,8,28,46,37,27
579,46,12,Male,23,24,34,22,23
580,26,28,Male,28,14,34,40,30
581,19,32,Male,17,24,30,28,27
582,31,37,Male,25,19,36,37,23
583,25,46,Male,22,24,33,30,23
584,16,27,Male,23,24,33,32,39
585,31,36,Male,21,22,36,30,25
586,31,42,Male,17,28,36,40,17
587,16,53,Male,21,24,42,33,34
588,30,35,Male,21,18,32,22,36
589,18,55,Male,23,26,30,34,27
590,18,32,Male,33,25,30,30,35
591,26,35,Male,16,25,36,27,23
592,16,44,Male,21,34,39,41,29
593,27,19,Male,18,26,36,27,25
594,31,27,Male,17,19,37,31,22
595,26,20,Male,27,23,37,31,32
596,23,22,Male,28,28,32,31,36
597,31,12,Male,27,20,38,38,28
598,24,45,Male,20,31,31,28,31
599,20,39,Male,23,27,38,28,25
600,16,36,Male,12,26,39,35,32
601,28,33,Male,31,19,23,26,34
602,20,46,Male,21,25,35,26,32
603,31,19,Male,25,30,39,28,33
604,27,32,Male,23,29,34,38,35
605,25,52,Male,15,32,31,27,28
606,11,52,Male,22,28,33,27,37
607,28,24,Male,27,30,33,25,30
608,27,51,Male,29,27,29,22,38
609,23,30,Male,25,21,31,30,33
610,31,39,Male,21,19,31,30,34
611,19,48,Male,21,23,34,30,29
612,31,12,Male,21,32,46,33,24
613,20,37,Male,19,30,47,26,32
614,25,24,Male,19,24,34,27,18
615,25,34,Male,17,28,44,33,28
616,36,31,Male,26,23,38,31,30
617,28,28,Male,26,33,27,24,40
618,38,21,Male,27,12,30,36,33
619,30,13,Male,27,27,46,32,34
620,41,30,Male,29,29,32,42,35
621,20,27,Male,26,28,33,25,34
622,15,32,Male,18,30,43,38,40
623,15,37,Male,26,20,29,23,37
624,33,30,Male,31,28,39,30,28
625,22,28,Male,17,38,37,33,30
626,30,15,Male,25,27,35,30,30
627,23,27,Male,21,25,40,31,32
628,25,28,Male,19,16,29,28,28
629,20,21,Male,21,28,26,31,23
630,30,12,Male,19,16,37,27,16
631,14,42,Male,19,26,40,36,29
632,30,35,Male,22,18,26,28,24
633,17,48,Male,26,17,27,29,40
634,21,33,Male,8,23,46,34,31
635,23,29,Male,22,24,28,29,23
636,30,28,Male,16,27,37,37,29
637,25,36,Male,11,26,46,33,28
638,32,51,Male,33,20,33,32,38
639,21,31,Male,19,33,41,33,23
640,36,26,Male,25,25,31,25,39
641,20,34,Male,17,23,38,21,23
642,29,34,Male,26,20,34,26,25
643,28,16,Male,32,24,33,25,30
644,17,55,Male,21,24,27,34,31
645,39,41,Male,24,23,31,37,26
646,21,34,Male,14,35,40,36,24
647,19,53,Male,17,20,43,30,24
648,26,15,Male,16,35,41,25,32
649,27,19,Male,30,25,39,38,39
650,34,15,Male,23,27,34,25,33
651,20,30,Male,23,25,27,37,27
652,12,15,Male,15,23,42,25,32
653,41,21,Male,32,22,37,29,35
654,37,12,Male,29,10,39,36,31
655,25,24,Male,14,27,42,33,31
656,21,38,Male,21,34,35,27,41
657,33,31,Male,19,17,39,30,23
658,17,52,Male,21,23,34,30,25
659,21,54,Male,20,27,35,27,24
660,24,47,Male,34,14,35,36,40
661,24,49,Male,25,31,23,33,23
662,25,31,Male,23,21,38,36,28
663,26,41,Male,32,27,27,31,38
664,20,29,Male,19,24,42,36,27
665,40,22,Male,23,24,33,28,30
666,25,41,Male,24,30,38,38,29
667,18,53,Male,28,26,38,23,36
668,23,25,Male,17,25,36,25,30
669,20,46,Male,27,29,31,37,43
670,15,34,Male,20,31,27,15,30
671,16,32,Male,13,25,37,36,33
672,23,20,Male,31,25,40,30,34
673,22,36,Male,28,36,38,25,41
674,22,34,Male,16,33,42,36,22
675,30,21,Male,17,33,43,30,29
676,44,31,Male,27,25,48,33,25
677,23,26,Male,20,26,46,31,32
678,24,49,Male,22,30,28,25,41
679,36,19,Male,27,16,31,26,28
680,31,19,Male,23,27,32,25,30
681,19,38,Male,20,19,37,25,29
682,24,44,Male,23,32,46,33,32
683,23,31,Male,19,27,39,35,31
684,27,39,Male,16,17,32,26,30
685,11,51,Male,21,24,34,36,38
686,30,32,Male,26,18,37,32,38
687,31,16,Male,28,33,40,32,35
688,28,39,Male,24,22,40,32,34
689,17,52,Male,14,33,44,37,33
690,17,43,Male,27,24,35,33,26
691,18,47,Male,12,21,46,34,30
692,32,30,Male,20,17,32,30,26
693,26,37,Male,27,26,31,25,35
694,37,20,Male,36,24,27,24,33
695,29,19,Male,27,25,31,28,29
696,16,33,Male,18,30,42,27,30
697,37,29,Male,16,28,46,29,26
698,13,46,Male,16,31,27,28,26
699,29,27,Male,29,34,35,28,33
700,29,33,Male,36,28,31,31,31
701,30,32,Male,21,36,41,26,34
702,15,30,Male,14,30,34,32,27
703,25,24,Male,27,21,27,32,25
704,26,23,Male,16,38,49,37,36
705,20,48,Male,22,33,31,28,25
706,17,33,Male,18,33,35,34,24
707,24,23,Male,15,26,41,29,31
708,26,42,Male,20,22,28,33,21
709,15,50,Male,22,32,41,40,33
710,14,58,Male,37,34,38,39,43
711,20,27,Male,25,20,36,39,35
712,16,36,Male,29,30,42,33,37
713,31,53,Male,26,26,32,32,35
714,15,20,Male,28,38,37,35,36
715,34,19,Male,18,26,47,31,28
716,22,39,Male,24,34,38,28,44
717,38,28,Male,21,28,32,29,24
718,38,27,Male,18,27,24,27,30
719,19,38,Male,8,15,44,26,27
720,25,42,Male,16,24,39,32,24
721,32,35,Male,26,29,38,23,35
722,27,25,Male,17,30,36,32,28
723,20,22,Male,15,36,44,35,31
724,26,21,Male,36,30,37,34,39
725,27,33,Male,26,37,44,34,30
726,24,21,Male,25,21,31,36,36
727,19,45,Male,16,32,39,30,38
728,30,14,Male,26,35,34,18,33
729,31,42,Male,29,26,33,22,36
730,31,20,Male,18,33,38,30,32
731,25,32,Male,20,31,44,35,20
732,19,25,Male,27,33,19,28,42
733,16,37,Male,20,32,40,27,27
734,26,41,Male,18,24,46,36,23
