participant,trialnumber,RT
3,2,392
3,3,402.2
3,4,401.2
3,5,401.7
3,6,403.6
3,7,408.1
3,8,417
3,9,413.2
3,10,423.4
3,11,427.9
3,12,430.7
3,13,438.8
3,14,438.7
3,15,433.9
3,16,436.4
3,17,445
3,18,456.3
3,19,458.2
3,20,456.3
3,21,458.7
3,22,464.9
3,23,462.8
3,24,467.8
3,25,471.1
3,26,478.3
3,27,483.8
3,28,483.4
3,29,485.6
3,30,491.1
3,31,494.2
3,32,496.5
3,33,492
3,34,504.1
3,35,508.5
3,36,509.4
3,37,514.8
3,38,522.1
3,39,516.4
3,40,524.1
3,41,525.7
3,42,531.8
3,43,538.7
3,44,537.7
3,45,538.6
3,46,542.5
3,47,548.7
3,48,555.6
3,49,554.1
3,50,560.3
3,51,567
3,52,567.1
3,53,568.8
3,54,578.2
3,55,570.6
3,56,579.5
3,57,582.7
3,58,586.7
3,59,591.2
3,60,589.4
3,61,597.2
3,62,599.2
3,63,609.6
3,64,606.4
3,65,607
3,66,619
3,67,619.6
3,68,623.4
3,69,623.6
3,70,633.3
3,71,635.7
3,72,637.3
3,73,640.5
3,74,643.1
3,75,648.7
3,76,648.8
3,77,656.5
3,78,658.4
3,79,655.9
3,80,664.4
3,81,657.9
3,82,669.6
3,83,672.4
3,84,676.9
3,85,669
3,86,680.2
3,87,683
3,88,682.7
3,89,689
3,90,696.5
3,91,702.6
3,92,705.8
3,93,707.2
3,94,709.4
3,95,714.3
3,96,713.9
3,97,723.2
3,98,727.1
3,99,720.1
3,100,734.3
4,1,389.4
4,2,398.6
4,3,406.2
4,4,420.2
4,5,425.5
4,6,433.9
4,7,443.3
4,8,454
4,9,460.5
4,10,469.8
4,11,478.2
4,12,490.9
4,13,500.2
4,14,503
4,15,508.7
4,16,517.4
4,17,533.6
4,18,540.3
4,19,548.6
4,20,546.8
4,21,563
4,22,571.5
4,23,583.5
4,24,584.9
4,25,597.6
4,26,607
4,27,621.3
4,28,623
4,29,636.5
4,30,642.7
4,31,645.1
4,32,652.5
4,33,663.7
4,34,672.8
4,35,683.8
4,36,689.6
4,37,697.1
4,38,706.9
4,39,720.1
4,40,718.6
4,41,732.7
4,42,742.5
4,43,749.4
4,44,753.7
4,45,770.3
4,46,783.3
4,47,783.5
4,48,799.5
4,49,797.1
4,50,811.9
4,51,816.3
4,52,825.7
4,53,828.7
4,54,843.8
4,55,855.9
4,56,864.3
4,57,874.6
4,58,882.5
4,59,889.4
4,60,898.4
4,61,906.2
4,62,917.1
4,63,919.7
4,64,932.3
4,65,940.9
4,66,956.9
4,67,946.8
4,68,964.8
4,69,972.6
4,70,984.3
4,71,992.4
4,72,998.1
4,73,1011.5
4,74,1021.1
4,75,1031.6
4,76,1033.6
4,77,1048.3
4,78,1048.1
4,79,1060.4
4,80,1063.4
4,81,1075.6
4,82,1093.5
4,83,1094.9
4,84,1097
4,85,1109.7
4,86,1127.1
4,87,1131.4
4,88,1141.8
4,89,1140.8
4,90,1159.9
4,91,1164.2
4,92,1172.5
4,93,1178.5
4,94,1187.3
4,95,1199.9
4,96,1204.9
4,97,1219.4
4,98,1218.3
4,99,1233.9
4,100,1243.8
5,1,388.1
5,2,399.8
5,3,398.9
5,4,399.5
5,5,409
5,6,399.4
5,7,408.7
5,8,402.8
5,9,412.6
5,10,405.8
5,11,418.3
5,12,415.1
5,13,411.9
5,14,425.7
5,15,421.6
5,16,424.6
5,17,424.5
5,18,431.9
5,19,429.4
5,20,434
5,21,436.1
5,22,445.4
5,23,439.9
5,24,444.6
5,25,451.6
5,26,442.2
5,27,447.2
5,28,451.5
5,29,455.7
5,30,452.5
5,31,457.1
5,32,455.3
5,33,471.3
5,34,469.5
5,35,469.1
5,36,469.2
5,37,476.7
5,38,470.9
5,39,470.1
5,40,479.7
5,41,479.3
5,42,484.3
5,43,486
5,44,488.5
5,45,484.1
5,46,486.1
5,47,494.9
5,48,493
5,49,497.8
5,50,494.4
5,51,495.3
5,52,506.8
5,53,502
5,54,504.4
5,55,503
5,56,512.3
5,57,508.8
5,58,515.1
5,59,517.3
5,60,522.8
5,61,523.4
5,62,527.2
5,63,526.1
5,64,527.7
5,65,532.6
5,66,533.9
5,67,542.6
5,68,538.9
5,69,533.1
5,70,542.1
5,71,542.2
5,72,540.9
5,73,550.8
5,74,558
5,75,555
5,76,555.7
5,77,554
5,78,561.4
5,79,556.4
5,80,559.5
5,81,564
5,82,568.8
5,83,566.5
5,84,575.7
5,85,576.3
5,86,571.7
5,87,578.8
5,88,579.5
5,89,584
5,90,586.6
5,91,584.1
5,92,588.5
5,93,595.8
5,94,594
5,95,593.3
5,96,598.8
5,97,598.1
5,98,605.8
5,99,604.6
5,100,605.6
6,1,394.6
6,2,391.8
6,3,399.3
6,4,411.7
6,5,413
6,6,412.2
6,7,419
6,8,424.8
6,9,425.2
6,10,422.1
6,11,429.6
6,12,432.9
6,13,441.6
6,14,439
6,15,448.4
6,16,449.3
6,17,452
6,18,459.9
6,19,461.9
6,20,466.5
6,21,468.9
6,22,476.3
6,23,482.8
6,24,481.8
6,25,481.7
6,26,491.3
6,27,497.8
6,28,501.1
6,29,495.1
6,30,507.3
6,31,507.4
6,32,518
6,33,511
6,34,521.7
6,35,527
6,36,530
6,37,536.5
6,38,534.6
6,39,537.3
6,40,550.1
6,41,547.6
6,42,559.1
6,43,556
6,44,560.3
6,45,565
6,46,570.1
6,47,571.8
6,48,584.7
6,49,578.6
6,50,585.7
6,51,587.6
6,52,586.8
6,53,597.9
6,54,598.1
6,55,606.7
6,56,605.7
6,57,611.7
6,58,614.2
6,59,618.8
6,60,621.4
6,61,633
6,62,634.5
6,63,631
6,64,635.8
6,65,639.8
6,66,641.9
6,67,656.8
6,68,652.2
6,69,660.3
6,70,657.3
6,71,664.8
6,72,677.7
6,73,679.8
6,74,678.3
6,75,681.5
6,76,689
6,77,689.4
6,78,698.4
6,79,702.6
6,80,704.7
6,81,711.9
6,82,710.7
6,83,710.1
6,84,718.6
6,85,728.5
6,86,720.8
6,87,729.7
6,88,738.6
6,89,735
6,90,748
6,91,748.9
6,92,749.8
6,93,750.5
6,94,766.1
6,95,758.5
6,96,759.9
6,97,772.1
6,98,773.3
6,99,778.3
6,100,775.9
7,1,380.1
7,2,397.9
7,3,395.6
7,4,405.4
7,5,416.4
7,6,419.1
7,7,424.5
7,8,425.6
7,9,434.7
7,10,441.2
7,11,451.3
7,12,457
7,13,462
7,14,472
7,15,474.9
7,16,476.9
7,17,485.5
7,18,494.3
7,19,495.5
7,20,501.6
7,21,508.1
7,22,521.4
7,23,526.1
7,24,525.7
7,25,534.2
7,26,538.9
7,27,548.7
7,28,559.2
7,29,563.6
7,30,562.3
7,31,571.8
7,32,574.6
7,33,584.6
7,34,593.7
7,35,600.7
7,36,605.7
7,37,618.1
7,38,614.6
7,39,629.3
7,40,635
7,41,633.6
7,42,637.4
7,43,656.4
7,44,660.1
7,45,659.3
7,46,667.8
7,47,668.9
7,48,679
7,49,687.1
7,50,693
7,51,702.3
7,52,710.6
7,53,704.8
7,54,720.1
7,55,723.8
7,56,729.8
7,57,733.6
7,58,740.9
7,59,748.1
7,60,749.4
7,61,756
7,62,763.7
7,63,767.6
7,64,791.6
7,65,785
7,66,792
7,67,799
7,68,810.8
7,69,809.5
7,70,822.1
7,71,821.3
7,72,825.4
7,73,838.3
7,74,841.6
7,75,847.5
7,76,854.4
7,77,856.1
7,78,859.7
7,79,875.9
7,80,878.6
7,81,885.8
7,82,893.8
7,83,898.2
7,84,900.9
7,85,907.9
7,86,917.4
7,87,926.8
7,88,937.5
7,89,936.9
7,90,944.3
7,91,955.7
7,92,955.3
7,93,968.6
7,94,965.8
7,95,973
7,96,979.8
7,97,986.2
7,98,993.5
7,99,1003.7
7,100,1001.6
8,1,396.6
8,2,388.5
8,3,395.5
8,4,392.7
8,5,403.5
8,6,404.3
8,7,407.2
8,8,405.7
8,9,408.1
8,10,410.4
8,11,413.2
8,12,418.4
8,13,421.4
8,14,417.4
8,15,423
8,16,428.7
8,17,431
8,18,424.9
8,19,432
8,20,429.4
8,21,436.9
8,22,443.1
8,23,450
8,24,446.3
8,25,452
8,26,458.7
8,27,457.2
8,28,457.3
8,29,457.5
8,30,461.7
8,31,463.8
8,32,467.3
8,33,465.7
8,34,472.6
8,35,477.3
8,36,479.1
8,37,477.9
8,38,486.4
8,39,479.5
8,40,493.5
8,41,489.9
8,42,491.6
8,43,498.2
8,44,492.3
8,45,502
8,46,497
8,47,504.3
8,48,508.9
8,49,508.4
8,50,516.4
8,51,512.7
8,52,514.7
8,53,518.4
8,54,525.3
8,55,530.2
8,56,525.3
8,57,531
8,58,532.6
8,59,536.1
8,60,535.3
8,61,535.6
8,62,543.4
8,63,547.6
8,64,548.4
8,65,552.6
8,66,555.2
8,67,554.2
8,68,559.1
8,69,560.3
8,70,564.9
8,71,564.1
8,72,565
8,73,568.1
8,74,573.8
8,75,570.9
8,76,578.8
8,77,579.1
8,78,583.3
8,79,584
8,80,591.4
8,81,588.4
8,82,591.9
8,83,600
8,84,595.2
8,85,607.4
8,86,602.6
8,87,610
8,88,605
8,89,608.5
8,90,616.6
8,91,616.8
8,92,615
8,93,620.7
8,94,618
8,95,631.5
8,96,625.7
8,97,626.6
8,98,641.4
8,99,635.1
8,100,639.5
9,1,394.9
9,2,394.3
9,3,398
9,4,407.3
9,5,404.5
9,6,404.8
9,7,414.6
9,8,414.2
9,9,420.1
9,10,428.8
9,11,429.4
9,12,432.2
9,13,435.7
9,14,438.8
9,15,437.1
9,16,441.7
9,17,454.4
9,18,454.7
9,19,459.8
9,20,460.4
9,21,460.5
9,22,472
9,23,472.2
9,24,472
9,25,474.4
9,26,484.2
9,27,492.2
9,28,491.2
9,29,498.6
9,30,494.9
9,31,502.8
9,32,508.9
9,33,507
9,34,515
9,35,516.6
9,36,525.1
9,37,520.5
9,38,523.1
9,39,531.1
9,40,528.2
9,41,536.1
9,42,542.9
9,43,550.5
9,44,553
9,45,553.7
9,46,556.6
9,47,559.4
9,48,563.8
9,49,566.6
9,50,568.2
9,51,573.9
9,52,583.8
9,53,584.4
9,54,581.9
9,55,594.7
9,56,586.3
9,57,592.7
9,58,601.3
9,59,606.6
9,60,609.7
9,61,611.3
9,62,619
9,63,616.2
9,64,626.9
9,65,621.5
9,66,631.7
9,67,636.3
9,68,640.8
9,69,638.2
9,70,646.7
9,71,648.7
9,72,656.7
9,73,653.5
9,74,663.8
9,75,666.1
9,76,665.6
9,77,671.3
9,78,674.1
9,79,675.2
9,80,684.2
9,81,686
9,82,692.5
9,83,689.2
9,84,697.2
9,85,702.8
9,86,704
9,87,707.6
9,88,707.4
9,89,715.4
9,90,715.7
9,91,724.6
9,92,718.5
9,93,727.2
9,94,730.4
9,95,731.9
9,96,736.6
9,97,743.5
9,98,752.6
9,99,754.9
9,100,752.7
10,1,390.4
10,2,394.5
10,3,398
10,4,407.6
10,5,405.9
10,6,404.1
10,7,413.5
10,8,418.5
10,9,423.6
10,10,421.5
10,11,434.2
10,12,437.8
10,13,444.5
10,14,444.3
10,15,455.4
10,16,450.5
10,17,457.9
10,18,460.8
10,19,470.3
10,20,474
10,21,476.1
10,22,478.3
10,23,494.1
10,24,484.6
10,25,495.2
10,26,494.5
10,27,503
10,28,504.5
10,29,513
10,30,518.1
10,31,522.4
10,32,526.3
10,33,532.5
10,34,529.4
10,35,542.5
10,36,544.6
10,37,545.5
10,38,543.3
10,39,551.8
10,40,559.3
10,41,561.7
10,42,575.1
10,43,571.9
10,44,584.1
10,45,585.3
10,46,585.9
10,47,587.7
10,48,598.1
10,49,602.7
10,50,599.9
10,51,607.6
10,52,608.5
10,53,616.8
10,54,623.8
10,55,632.1
10,56,633.4
10,57,637.1
10,58,644.9
10,59,647.8
10,60,645.7
10,61,656.1
10,62,654
10,63,662.4
10,64,668
10,65,670.8
10,66,681.3
10,67,678.2
10,68,680
10,69,686.1
10,70,693.7
10,71,700.9
10,72,702.6
10,73,699.2
10,74,712
10,75,720.8
10,76,722.3
10,77,726.6
10,78,727.7
10,79,730.8
10,80,744.4
10,81,741.5
10,82,741.9
10,83,750.4
10,84,758.4
10,85,758.5
10,86,763.4
10,87,771.6
10,88,773.5
10,89,778.9
10,90,783.5
10,91,779.5
10,92,790.4
10,93,797.6
10,94,801.6
10,95,798.9
10,96,810.3
10,97,809.5
10,98,819.9
10,99,819.7
10,100,822.3
11,1,387.3
11,2,399.9
11,3,397.8
11,4,411.3
11,5,417.5
11,6,426.4
11,7,431.8
11,8,436.5
11,9,439.9
11,10,451.4
11,11,452.5
11,12,462.9
11,13,469.2
11,14,471
11,15,478.5
11,16,479
11,17,488.5
11,18,497.9
11,19,511.6
11,20,507.5
11,21,510.7
11,22,524.6
11,23,531.8
11,24,534.8
11,25,544.5
11,26,545.2
11,27,554
11,28,557.2
11,29,563.4
11,30,569.7
11,31,585.4
11,32,591.7
11,33,588.6
11,34,599.7
11,35,603.9
11,36,605.3
11,37,617.5
11,38,629.3
11,39,628
11,40,637.4
11,41,641.9
11,42,642.8
11,43,652.8
11,44,659.2
11,45,666.4
11,46,671.9
11,47,672.6
11,48,688.7
11,49,691.7
11,50,699.5
11,51,707.8
11,52,708
11,53,718
11,54,725.3
11,55,721.9
11,56,733.1
11,57,744
11,58,740.9
11,59,753.3
11,60,761.7
11,61,762.4
11,62,773.6
11,63,773.6
11,64,787.4
11,65,789.1
11,66,799.5
11,67,802.1
11,68,811.5
11,69,814.7
11,70,824.5
11,71,829.7
11,72,830.4
11,73,841.3
11,74,851.4
11,75,849.2
11,76,858.1
11,77,859.1
11,78,874.3
11,79,881.8
11,80,885.9
11,81,891.3
11,82,899.1
11,83,903.8
11,84,913.7
11,85,910.4
11,86,923.5
11,87,930.2
11,88,931.8
11,89,943.9
11,90,953.1
11,91,952.6
11,92,960.3
11,93,964.3
11,94,977.2
11,95,975.6
11,96,986.8
11,97,990
11,98,992.7
11,99,1001.4
11,100,1010.3
12,1,393.4
12,2,396.2
12,3,396.8
12,4,398.4
12,5,405.4
12,6,400.7
12,7,404.9
12,8,410.5
12,9,416.8
12,10,415.6
12,11,417.9
12,12,424.8
12,13,430.7
12,14,431.1
12,15,432.1
12,16,430.8
12,17,439.5
12,18,442
12,19,445.1
12,20,444.3
12,21,448
12,22,451.8
12,23,458.7
12,24,458.6
12,25,463.1
12,26,461.3
12,27,467.6
12,28,477.1
12,29,477.4
12,30,481.3
12,31,479.4
12,32,483
12,33,488.2
12,34,495.3
12,35,499.8
12,36,504.5
12,37,498.3
12,38,502.4
12,39,512.9
12,40,509.3
12,41,506.7
12,42,523.9
12,43,518.6
12,44,526.8
12,45,521.9
12,46,536
12,47,532.4
12,48,538.1
12,49,537.8
12,50,543.5
12,51,545.5
12,52,550.8
12,53,546.4
12,54,557.3
12,55,564.8
12,56,546.2
12,57,557
12,58,568.8
12,59,559
12,60,572.2
12,61,578
12,62,580.3
12,63,586.1
12,64,587.1
12,65,591.4
12,66,597.5
12,67,603
12,68,595
12,69,600.8
12,70,603.9
12,71,611.7
12,72,612.5
12,73,613.5
12,74,617.3
12,75,625.7
12,76,625.4
12,77,626.5
12,78,632.3
12,79,630
12,80,640.5
12,81,642.4
12,82,644.8
12,83,647
12,84,645.3
12,85,649.9
12,86,661.2
12,87,655.7
12,88,661.5
12,89,663.6
12,90,674
12,91,666.8
12,92,672.5
12,93,674.7
12,94,683.1
12,95,676
12,96,685.4
12,97,684.9
12,98,690.7
12,99,691.7
12,100,697
13,1,394
13,2,393.5
13,3,399.5
13,4,390.4
13,5,396.9
13,6,394.6
13,7,399.8
13,8,395.6
13,9,397.4
13,10,396.9
13,11,400.2
13,12,407.7
13,13,395.3
13,14,396.8
13,15,403.2
13,16,405.1
13,17,403.7
13,18,402.9
13,19,406.3
13,20,402.3
13,21,406.2
13,22,406.7
13,23,401.3
13,24,405.4
13,25,404.7
13,26,408.5
13,27,417.2
13,28,409.4
13,29,407.4
13,30,409
13,31,410
13,32,415.5
13,33,413.9
13,34,409.8
13,35,416.8
13,36,411.3
13,37,418.6
13,38,421.6
13,39,417.8
13,40,419.2
13,41,420.8
13,42,418.8
13,43,421.3
13,44,425
13,45,423
13,46,426.8
13,47,426.3
13,48,419.1
13,49,432.8
13,50,421.6
13,51,424.1
13,52,432.8
13,53,425.5
13,54,427.3
13,55,432.7
13,56,436.4
13,57,433.6
13,58,426.1
13,59,430.3
13,60,438.3
13,61,432.5
13,62,433.7
13,63,435.1
13,64,439.9
13,65,428.6
13,66,445.7
13,67,442.1
13,68,440.8
13,69,435.6
13,70,440.8
13,71,449.3
13,72,441.2
13,73,436.6
13,74,438.8
13,75,437.3
13,76,444.1
13,77,447.2
13,78,455.1
13,79,445.7
13,80,446.2
13,81,448.3
13,82,446.8
13,83,450.6
13,84,448.8
13,85,447.9
13,86,448.4
13,87,444.5
13,88,452.3
13,89,455
13,90,451.8
13,91,460.4
13,92,457.6
13,93,455.8
13,94,455.5
13,95,457.9
13,96,463.3
13,97,457.9
13,98,463
13,99,463.5
13,100,457.4
14,1,384.6
14,2,392.2
14,3,382.2
14,4,385.9
14,5,385.2
14,6,390.7
14,7,389.6
14,8,384.2
14,9,385.1
14,10,390.8
14,11,383.6
14,12,384.5
14,13,391.8
14,14,379.5
14,15,381.6
14,16,380.4
14,17,381.7
14,18,388.9
14,19,383.2
14,20,381.2
14,21,383.2
14,22,373.7
14,23,384.9
14,24,376.3
14,25,379
14,26,387
14,27,385.1
14,28,381.1
14,29,380.5
14,30,379.9
14,31,379.8
14,32,376.6
14,33,375.6
14,34,376.5
14,35,377.9
14,36,374.6
14,37,377.5
14,38,378.9
14,39,374.5
14,40,377.2
14,41,378.1
14,42,372.5
14,43,371.6
14,44,386.6
14,45,369.4
14,46,377.6
14,47,369.1
14,48,370.9
14,49,375
14,50,379.5
14,51,369.3
14,52,372.5
14,53,376.5
14,54,367.7
14,55,372.1
14,56,368.1
14,57,375.2
14,58,370.3
14,59,378.7
14,60,375.1
14,61,371.1
14,62,379.5
14,63,373.3
14,64,369.5
14,65,370.9
14,66,366.5
14,67,367.2
14,68,374.2
14,69,365.6
14,70,369.1
14,71,366.6
14,72,368.5
14,73,373.7
14,74,371
14,75,370.3
14,76,362.3
14,77,361
14,78,374.2
14,79,370.3
14,80,367.7
14,81,362.4
14,82,366.3
14,83,367.6
14,84,367.2
14,85,371.7
14,86,369.3
14,87,369
14,88,364.9
14,89,363.9
14,90,362.8
14,91,364.5
14,92,354.5
14,93,367.2
14,94,361.9
14,95,360.8
14,96,364.6
14,97,363.9
14,98,363.4
14,99,362.1
14,100,358.6
15,1,390.9
15,2,398
15,3,404.7
15,4,403.7
15,5,405.5
15,6,413
15,7,415.3
15,8,419.3
15,9,427.9
15,10,426.6
15,11,433.9
15,12,437.4
15,13,439.5
15,14,448.7
15,15,459.4
15,16,459.1
15,17,454.5
15,18,465.6
15,19,470.2
15,20,470.8
15,21,479.9
15,22,484.3
15,23,487.6
15,24,487.3
15,25,498.8
15,26,494.7
15,27,508.3
15,28,505.1
15,29,506.8
15,30,523.4
15,31,521.8
15,32,527.1
15,33,528.4
15,34,532.1
15,35,540.9
15,36,547.9
15,37,550.9
15,38,551.9
15,39,557.3
15,40,561.9
15,41,573.4
15,42,574
15,43,582.2
15,44,587.3
15,45,590.1
15,46,593
15,47,595.4
15,48,598.9
15,49,609.3
15,50,608.3
15,51,619.5
15,52,617.2
15,53,622.3
15,54,628.1
15,55,633.4
15,56,645.4
15,57,643.5
15,58,650.3
15,59,644.1
15,60,656.7
15,61,659.8
15,62,668.9
15,63,669.3
15,64,673.5
15,65,680.2
15,66,687.4
15,67,684.7
15,68,685.9
15,69,694.3
15,70,696.9
15,71,708
15,72,708.2
15,73,709.7
15,74,716.1
15,75,725
15,76,728.3
15,77,728.2
15,78,743.2
15,79,737.8
15,80,743.2
15,81,753.6
15,82,747.5
15,83,760.4
15,84,762.7
15,85,762
15,86,770.3
15,87,777.7
15,88,776.5
15,89,779.9
15,90,786.2
15,91,794.8
15,92,803.1
15,93,802.7
15,94,805.1
15,95,806.9
15,96,814.4
15,97,816.4
15,98,827.7
15,99,825.1
15,100,836.7
16,1,393.5
16,2,400.7
16,3,400.5
16,4,404.6
16,5,403.4
16,6,406.4
16,7,415.2
16,8,414.8
16,9,421
16,10,423
16,11,422.2
16,12,421.3
16,13,423.2
16,14,430
16,15,432.7
16,16,432.6
16,17,437.8
16,18,441.6
16,19,440.8
16,20,440.5
16,21,443.8
16,22,449.6
16,23,443.7
16,24,452.3
16,25,458.8
16,26,459.3
16,27,468.1
16,28,466.9
16,29,462.2
16,30,478.2
16,31,472.8
16,32,476.8
16,33,480.1
16,34,484.5
16,35,487.5
16,36,485.2
16,37,498.3
16,38,501.2
16,39,497.5
16,40,499.3
16,41,497.2
16,42,503.1
16,43,509.4
16,44,511.8
16,45,512.3
16,46,511.9
16,47,520.8
16,48,518.5
16,49,524.2
16,50,523.4
16,51,530.5
16,52,526.1
16,53,543.6
16,54,541.1
16,55,537.7
16,56,537.7
16,57,544.6
16,58,548.2
16,59,555.2
16,60,552.2
16,61,552
16,62,553.6
16,63,563.1
16,64,565.4
16,65,569.5
16,66,570
16,67,575.1
16,68,575.3
16,69,573.6
16,70,574.7
16,71,585.9
16,72,591.1
16,73,587.8
16,74,591.2
16,75,598.2
16,76,600.5
16,77,596.3
16,78,605.5
16,79,600
16,80,606.6
16,81,615.4
16,82,614.3
16,83,623.2
16,84,617.3
16,85,620.1
16,86,626.2
16,87,628.1
16,88,629.1
16,89,634
16,90,636.5
16,91,639.8
16,92,641.1
16,93,639.4
16,94,647.3
16,95,647.8
16,96,649.4
16,97,655.7
16,98,658.1
16,99,658.6
16,100,662.1
17,1,398.2
17,2,399.5
17,3,411.9
17,4,407.8
17,5,414.2
17,6,424.3
17,7,437.4
17,8,443.5
17,9,447.1
17,10,451.8
17,11,471.7
17,12,472.7
17,13,480.5
17,14,492.8
17,15,496.9
17,16,505.3
17,17,514.9
17,18,524.6
17,19,525
17,20,528.3
17,21,547.1
17,22,547.1
17,23,556
17,24,564.9
17,25,571.4
17,26,572
17,27,589.6
17,28,592.8
17,29,600.5
17,30,606
17,31,619.4
17,32,617.5
17,33,634
17,34,639.4
17,35,644
17,36,656.6
17,37,655.3
17,38,666.3
17,39,677.6
17,40,684.8
17,41,691.6
17,42,708.3
17,43,713.3
17,44,716.2
17,45,723
17,46,729.3
17,47,736.5
17,48,745.3
17,49,755.6
17,50,766.4
17,51,770.8
17,52,774.1
17,53,789.2
17,54,792.5
17,55,802.3
17,56,808.2
17,57,812.9
17,58,825.8
17,59,825.4
17,60,834.6
17,61,843.5
17,62,853.7
17,63,850.8
17,64,868.2
17,65,869.6
17,66,882.1
17,67,890.8
17,68,897.3
17,69,904.8
17,70,912
17,71,918.5
17,72,918
17,73,937.1
17,74,941.1
17,75,949.6
17,76,957.8
17,77,959.4
17,78,977.3
17,79,984.7
17,80,986.3
17,81,1000.2
17,82,1007.3
17,83,1014.3
17,84,1020
17,85,1022.6
17,86,1036.3
17,87,1045.9
17,88,1054.4
17,89,1056.6
17,90,1058.9
17,91,1073.8
17,92,1083.5
17,93,1083.7
17,94,1102.4
17,95,1104.2
17,96,1114.5
17,97,1112.5
17,98,1129.5
17,99,1134.5
17,100,1134.6
18,1,390.9
18,2,388.6
18,3,394.6
18,4,403.1
18,5,407.4
18,6,411.5
18,7,407.4
18,8,415
18,9,414
18,10,419.4
18,11,425.1
18,12,425.9
18,13,435.6
18,14,432.8
18,15,446.9
18,16,442.9
18,17,444.7
18,18,452.9
18,19,456.1
18,20,458.7
18,21,460.1
18,22,460.8
18,23,464.4
18,24,469.6
18,25,471.4
18,26,474.4
18,27,477.6
18,28,485.6
18,29,489.8
18,30,493.6
18,31,495.6
18,32,494.7
18,33,508.1
18,34,501.2
18,35,517.7
18,36,514.6
18,37,518.3
18,38,512.4
18,39,526.2
18,40,525.3
18,41,528
18,42,535.5
18,43,539.4
18,44,540.6
18,45,543.7
18,46,547.1
18,47,551.8
18,48,556.5
18,49,559.7
18,50,557.3
18,51,563.9
18,52,564.9
18,53,568.1
18,54,573.8
18,55,576.8
18,56,582.1
18,57,585.3
18,58,582.6
18,59,589.5
18,60,593.5
18,61,592.4
18,62,601.6
18,63,606.7
18,64,603.2
18,65,608.5
18,66,611.6
18,67,617.6
18,68,620
18,69,618.1
18,70,624.5
18,71,626.6
18,72,633.5
18,73,636.2
18,74,635.2
18,75,649.3
18,76,646.1
18,77,651.1
18,78,659.7
18,79,658.4
18,80,651.7
18,81,664.2
18,82,666.9
18,83,671.6
