pair,lengthknown,gid,dial,absdial,spectrum,category,score
grp_1,4,1,49,4.9,Good <--> Bad,qualitative,26.72273755674425
grp_1,4,1,-91,9.1,Flavorful <--> Flavorless,quantifiable,37.58273755674425
grp_1,4,1,-14,1.4,Talented <--> Untalented,qualitative,21.192737556744248
grp_1,4,1,70,7,Reform <--> Revolution,social,40.40273755674425
grp_10,4,0,56,5.6,For adults <--> For kids,social,34.33273755674425
grp_10,4,0,-28,2.8,Best year in history <--> Worst year in history,qualitative,18.59273755674425
grp_10,4,0,-35,3.5,Good movie <--> Bad movie,qualitative,22.70273755674425
grp_10,4,0,28,2.8,Democracy <--> Dictatorship,social,36.96273755674425
grp_10,4,0,-21,2.1,Undiscovered Gem <--> Garbage,social,35.89273755674425
grp_10,4,0,14,1.4,Long <--> Short,quantifiable,28.82273755674425
grp_10,4,0,21,2.1,Strong <--> Weak,quantifiable,22.26273755674425
grp_10,4,0,-49,4.9,Terrifying <--> Thrilling,qualitative,11.36273755674425
grp_10,4,0,-14,1.4,Loud <--> Quiet,quantifiable,18.84273755674425
grp_10,4,0,-98,9.8,Elitist <--> Popular,social,36.11273755674425
grp_10,4,0,0,0,Talented <--> Untalented,qualitative,24.39273755674425
grp_10,4,0,42,4.2,Avant garde <--> Old fashioned,social,36.882737556744246
grp_10,4,0,98,9.8,Cold <--> Hot,quantifiable,19.53273755674425
grp_10,4,0,-84,8.4,Wet <--> Dry,quantifiable,27.32273755674425
grp_10,4,0,84,8.4,Hard <--> Soft,quantifiable,32.67273755674425
grp_10,4,0,-63,6.3,Good <--> Bad,qualitative,14.082737556744249
grp_10,4,0,-7,0.7,Reform <--> Revolution,social,30.03273755674425
grp_10,4,0,49,4.9,Good pizza topping <--> Bad pizza topping,qualitative,18.38273755674425
grp_10,4,0,-42,4.2,Large number <--> Small number,quantifiable,30.89273755674425
grp_10,4,0,77,7.7,Best day of the year <--> Worst day of the year,qualitative,2.482737556744249
grp_10,4,0,-70,7,Fascinating topic <--> Boring topic,qualitative,10.172737556744249
grp_10,4,0,-56,5.6,Global issue <--> Local issue,social,31.15273755674425
grp_10,4,0,35,3.5,Flavorful <--> Flavorless,quantifiable,30.95273755674425
grp_10,4,0,7,0.7,Beautiful <--> Ugly,qualitative,18.01273755674425
grp_10,4,0,-77,7.7,Classic <--> Fad,social,33.68273755674425
grp_10,4,0,70,7,Art <--> Not art,social,33.852737556744245
grp_10,4,0,-105,10.5,High calorie <--> Low calorie,quantifiable,23.08273755674425
grp_10,4,0,63,6.3,Light <--> Dark,quantifiable,21.99273755674425
grp_10,4,0,-91,9.1,Good candy <--> Bad candy,qualitative,10.512737556744248
grp_10,4,0,91,9.1,High brow <--> Low brow,social,39.91273755674425
grp_11,5,0,84,8.4,Long <--> Short,quantifiable,35.732737556744254
grp_11,5,0,63,6.3,Democracy <--> Dictatorship,social,35.94273755674425
grp_11,5,0,-35,3.5,Reform <--> Revolution,social,26.74273755674425
grp_11,5,0,21,2.1,Wet <--> Dry,quantifiable,25.74273755674425
grp_11,5,0,-7,0.7,Terrifying <--> Thrilling,qualitative,13.31273755674425
grp_11,5,0,42,4.2,Loud <--> Quiet,quantifiable,NA
grp_11,5,0,49,4.9,Good candy <--> Bad candy,qualitative,14.89273755674425
grp_11,5,0,-49,4.9,Best day of the year <--> Worst day of the year,qualitative,9.11273755674425
grp_11,5,0,77,7.7,Avant garde <--> Old fashioned,social,20.82273755674425
grp_11,5,0,56,5.6,Elitist <--> Popular,social,25.942737556744248
grp_11,5,0,-42,4.2,High brow <--> Low brow,social,24.18273755674425
grp_11,5,0,98,9.8,Global issue <--> Local issue,social,22.36273755674425
grp_11,5,0,-14,1.4,Flavorful <--> Flavorless,quantifiable,27.692737556744248
grp_11,5,0,-63,6.3,Art <--> Not art,social,29.102737556744252
grp_11,5,0,28,2.8,Talented <--> Untalented,qualitative,17.73273755674425
grp_11,5,0,-56,5.6,High calorie <--> Low calorie,quantifiable,9.47273755674425
grp_11,5,0,-21,2.1,Good pizza topping <--> Bad pizza topping,qualitative,NA
grp_11,5,0,-105,10.5,Light <--> Dark,quantifiable,28.38273755674425
grp_11,5,0,-28,2.8,Classic <--> Fad,social,16.47273755674425
grp_11,5,0,35,3.5,Undiscovered Gem <--> Garbage,social,22.48273755674425
grp_11,5,0,7,0.7,Best year in history <--> Worst year in history,qualitative,19.40273755674425
grp_11,5,0,-84,8.4,Beautiful <--> Ugly,qualitative,23.39273755674425
grp_11,5,0,0,0,Large number <--> Small number,quantifiable,14.89273755674425
grp_11,5,0,-70,7,Good movie <--> Bad movie,qualitative,14.35273755674425
grp_11,5,0,14,1.4,Hard <--> Soft,quantifiable,32.04273755674425
grp_11,5,0,91,9.1,Good <--> Bad,qualitative,14.12273755674425
grp_11,5,0,-98,9.8,Cold <--> Hot,quantifiable,19.92273755674425
grp_11,5,0,-77,7.7,For adults <--> For kids,social,21.31273755674425
grp_11,5,0,70,7,Strong <--> Weak,quantifiable,24.75273755674425
grp_11,5,0,-91,9.1,Fascinating topic <--> Boring topic,qualitative,13.22273755674425
grp_12,3,1,-63,6.3,Democracy <--> Dictatorship,social,36.71273755674425
grp_12,3,1,-84,8.4,Hard <--> Soft,quantifiable,NA
grp_12,3,1,-35,3.5,Fascinating topic <--> Boring topic,qualitative,17.692737556744248
grp_12,3,1,-70,7,Long <--> Short,quantifiable,34.102737556744245
grp_12,3,1,-14,1.4,High brow <--> Low brow,social,31.77273755674425
grp_12,3,1,21,2.1,Light <--> Dark,quantifiable,24.27273755674425
grp_12,3,1,63,6.3,Avant garde <--> Old fashioned,social,32.82273755674425
grp_12,3,1,35,3.5,Flavorful <--> Flavorless,quantifiable,31.34273755674425
grp_12,3,1,-56,5.6,Good <--> Bad,qualitative,19.73273755674425
grp_12,3,1,-21,2.1,Art <--> Not art,social,23.91273755674425
grp_12,3,1,70,7,For adults <--> For kids,social,42.492737556744245
grp_12,3,1,-42,4.2,Best year in history <--> Worst year in history,qualitative,26.982737556744247
grp_12,3,1,98,9.8,Large number <--> Small number,quantifiable,42.65273755674425
grp_12,3,1,7,0.7,Best day of the year <--> Worst day of the year,qualitative,21.72273755674425
grp_12,3,1,-105,10.5,Wet <--> Dry,quantifiable,43.50273755674425
grp_12,3,1,-7,0.7,Elitist <--> Popular,social,22.692737556744248
grp_12,3,1,91,9.1,Good candy <--> Bad candy,qualitative,24.79273755674425
grp_12,3,1,77,7.7,Undiscovered Gem <--> Garbage,social,51.95273755674425
grp_12,3,1,49,4.9,Beautiful <--> Ugly,qualitative,15.36273755674425
grp_12,3,1,56,5.6,Good movie <--> Bad movie,qualitative,23.622737556744248
grp_12,3,1,28,2.8,Global issue <--> Local issue,social,21.34273755674425
grp_12,3,1,0,0,High calorie <--> Low calorie,quantifiable,19.45273755674425
grp_12,3,1,-77,7.7,Classic <--> Fad,social,38.882737556744246
grp_12,3,1,42,4.2,Reform <--> Revolution,social,36.17273755674425
grp_12,3,1,14,1.4,Cold <--> Hot,quantifiable,22.74273755674425
grp_12,3,1,84,8.4,Loud <--> Quiet,quantifiable,42.00273755674425
grp_12,3,1,-28,2.8,Terrifying <--> Thrilling,qualitative,30.732737556744247
grp_12,3,1,-49,4.9,Strong <--> Weak,quantifiable,24.00273755674425
grp_12,3,1,-98,9.8,Talented <--> Untalented,qualitative,18.15273755674425
grp_12,3,1,-91,9.1,Good pizza topping <--> Bad pizza topping,qualitative,28.68273755674425
grp_13,2,1,-84,8.4,Art <--> Not art,social,37.07273755674425
grp_13,2,1,-21,2.1,Avant garde <--> Old fashioned,social,23.942737556744248
grp_13,2,1,77,7.7,High brow <--> Low brow,social,39.17273755674425
grp_13,2,1,63,6.3,Long <--> Short,quantifiable,23.43273755674425
grp_13,2,1,84,8.4,Fascinating topic <--> Boring topic,qualitative,13.86273755674425
grp_13,2,1,35,3.5,Good movie <--> Bad movie,qualitative,13.56273755674425
grp_13,2,1,7,0.7,Loud <--> Quiet,quantifiable,20.73273755674425
grp_13,2,1,42,4.2,Good <--> Bad,qualitative,17.75273755674425
grp_13,2,1,-70,7,Best day of the year <--> Worst day of the year,qualitative,19.06273755674425
grp_13,2,1,21,2.1,Elitist <--> Popular,social,11.09273755674425
grp_13,2,1,-77,7.7,Light <--> Dark,quantifiable,22.70273755674425
grp_13,2,1,-91,9.1,Best year in history <--> Worst year in history,qualitative,30.422737556744252
grp_13,2,1,-63,6.3,Good candy <--> Bad candy,qualitative,16.85273755674425
grp_13,2,1,0,0,Flavorful <--> Flavorless,quantifiable,13.00273755674425
grp_13,2,1,-14,1.4,Democracy <--> Dictatorship,social,33.01273755674425
grp_13,2,1,56,5.6,Classic <--> Fad,social,23.77273755674425
grp_13,2,1,91,9.1,Large number <--> Small number,quantifiable,45.07273755674425
grp_13,2,1,98,9.8,Good pizza topping <--> Bad pizza topping,qualitative,32.77273755674425
grp_13,2,1,70,7,High calorie <--> Low calorie,quantifiable,16.11273755674425
grp_13,2,1,-56,5.6,Cold <--> Hot,quantifiable,32.132737556744246
grp_13,2,1,28,2.8,Beautiful <--> Ugly,qualitative,13.16273755674425
grp_13,2,1,49,4.9,For adults <--> For kids,social,39.95273755674425
grp_13,2,1,-42,4.2,Hard <--> Soft,quantifiable,22.58273755674425
grp_13,2,1,-105,10.5,Global issue <--> Local issue,social,36.842737556744254
grp_13,2,1,-28,2.8,Wet <--> Dry,quantifiable,18.50273755674425
grp_13,2,1,-98,9.8,Reform <--> Revolution,social,41.81273755674425
grp_13,2,1,-7,0.7,Talented <--> Untalented,qualitative,19.942737556744248
grp_13,2,1,-35,3.5,Strong <--> Weak,quantifiable,30.41273755674425
grp_13,2,1,-49,4.9,Undiscovered Gem <--> Garbage,social,32.482737556744254
grp_13,2,1,14,1.4,Terrifying <--> Thrilling,qualitative,18.61273755674425
grp_14,6,1,35,3.5,Best year in history <--> Worst year in history,qualitative,14.88273755674425
grp_14,6,1,7,0.7,Long <--> Short,quantifiable,18.17273755674425
grp_14,6,1,-21,2.1,High calorie <--> Low calorie,quantifiable,25.76273755674425
grp_14,6,1,-63,6.3,Good movie <--> Bad movie,qualitative,17.442737556744248
grp_14,6,1,14,1.4,Elitist <--> Popular,social,11.87273755674425
grp_14,6,1,-35,3.5,Global issue <--> Local issue,social,13.64273755674425
grp_14,6,1,-91,9.1,Best day of the year <--> Worst day of the year,qualitative,20.41273755674425
grp_14,6,1,-98,9.8,Avant garde <--> Old fashioned,social,18.55273755674425
grp_14,6,1,-84,8.4,Good candy <--> Bad candy,qualitative,8.96273755674425
grp_14,6,1,63,6.3,Good <--> Bad,qualitative,19.31273755674425
grp_14,6,1,-42,4.2,Beautiful <--> Ugly,qualitative,19.10273755674425
grp_14,6,1,56,5.6,Wet <--> Dry,quantifiable,19.77273755674425
grp_14,6,1,-77,7.7,Large number <--> Small number,quantifiable,31.54273755674425
grp_14,6,1,77,7.7,For adults <--> For kids,social,27.08273755674425
grp_14,6,1,28,2.8,Cold <--> Hot,quantifiable,13.63273755674425
grp_14,6,1,98,9.8,Terrifying <--> Thrilling,qualitative,8.82273755674425
grp_14,6,1,84,8.4,Fascinating topic <--> Boring topic,qualitative,14.34273755674425
grp_14,6,1,-105,10.5,Hard <--> Soft,quantifiable,26.99273755674425
grp_14,6,1,-7,0.7,Good pizza topping <--> Bad pizza topping,qualitative,6.0027375567442505
grp_14,6,1,42,4.2,Art <--> Not art,social,20.68273755674425
grp_14,6,1,91,9.1,Flavorful <--> Flavorless,quantifiable,28.86273755674425
grp_14,6,1,-14,1.4,Talented <--> Untalented,qualitative,3.2927375567442496
grp_14,6,1,49,4.9,Democracy <--> Dictatorship,social,36.982737556744254
grp_14,6,1,-49,4.9,Loud <--> Quiet,quantifiable,20.91273755674425
grp_14,6,1,0,0,Classic <--> Fad,social,11.73273755674425
grp_14,6,1,21,2.1,Undiscovered Gem <--> Garbage,social,24.06273755674425
grp_14,6,1,70,7,Light <--> Dark,quantifiable,18.40273755674425
grp_14,6,1,-28,2.8,Reform <--> Revolution,social,16.99273755674425
grp_14,6,1,-56,5.6,High brow <--> Low brow,social,24.53273755674425
grp_14,6,1,-70,7,Strong <--> Weak,quantifiable,20.122737556744248
grp_15,3,0,-91,9.1,Long <--> Short,quantifiable,37.61273755674425
grp_15,3,0,56,5.6,Classic <--> Fad,social,20.79273755674425
grp_15,3,0,63,6.3,High calorie <--> Low calorie,quantifiable,26.84273755674425
grp_15,3,0,49,4.9,Global issue <--> Local issue,social,19.08273755674425
grp_15,3,0,-21,2.1,Best day of the year <--> Worst day of the year,qualitative,9.012737556744248
grp_15,3,0,98,9.8,Reform <--> Revolution,social,41.72273755674425
grp_15,3,0,21,2.1,Fascinating topic <--> Boring topic,qualitative,15.58273755674425
grp_15,3,0,-63,6.3,Flavorful <--> Flavorless,quantifiable,42.69273755674425
grp_15,3,0,91,9.1,Wet <--> Dry,quantifiable,36.732737556744254
grp_15,3,0,-35,3.5,Strong <--> Weak,quantifiable,29.04273755674425
grp_15,3,0,42,4.2,Talented <--> Untalented,qualitative,18.32273755674425
grp_15,3,0,35,3.5,Good pizza topping <--> Bad pizza topping,qualitative,22.90273755674425
grp_15,3,0,-14,1.4,Good candy <--> Bad candy,qualitative,14.652737556744249
grp_15,3,0,7,0.7,Beautiful <--> Ugly,qualitative,22.692737556744248
grp_15,3,0,77,7.7,For adults <--> For kids,social,43.93273755674425
grp_15,3,0,-49,4.9,Good movie <--> Bad movie,qualitative,10.71273755674425
grp_15,3,0,-70,7,Large number <--> Small number,quantifiable,36.482737556744254
grp_15,3,0,-56,5.6,Terrifying <--> Thrilling,qualitative,22.95273755674425
grp_15,3,0,28,2.8,Cold <--> Hot,quantifiable,32.61273755674425
grp_15,3,0,-77,7.7,Undiscovered Gem <--> Garbage,social,39.44273755674425
grp_15,3,0,-98,9.8,High brow <--> Low brow,social,44.102737556744245
grp_15,3,0,14,1.4,Loud <--> Quiet,quantifiable,29.52273755674425
grp_15,3,0,-7,0.7,Art <--> Not art,social,20.67273755674425
grp_15,3,0,-84,8.4,Avant garde <--> Old fashioned,social,32.53273755674425
grp_15,3,0,84,8.4,Good <--> Bad,qualitative,14.88273755674425
grp_15,3,0,-42,4.2,Elitist <--> Popular,social,32.80273755674425
grp_15,3,0,-28,2.8,Hard <--> Soft,quantifiable,34.872737556744255
grp_15,3,0,70,7,Light <--> Dark,quantifiable,31.14273755674425
grp_15,3,0,0,0,Best year in history <--> Worst year in history,qualitative,18.99273755674425
grp_15,3,0,-105,10.5,Democracy <--> Dictatorship,social,38.872737556744255
grp_16,3,1,-84,8.4,Long <--> Short,quantifiable,20.95273755674425
grp_16,3,1,70,7,Strong <--> Weak,quantifiable,22.99273755674425
grp_16,3,1,63,6.3,Good pizza topping <--> Bad pizza topping,qualitative,22.61273755674425
grp_16,3,1,21,2.1,Cold <--> Hot,quantifiable,15.322737556744249
grp_16,3,1,-91,9.1,Wet <--> Dry,quantifiable,12.62273755674425
grp_16,3,1,77,7.7,Flavorful <--> Flavorless,quantifiable,18.84273755674425
grp_16,3,1,7,0.7,Good movie <--> Bad movie,qualitative,6.992737556744249
grp_16,3,1,35,3.5,Democracy <--> Dictatorship,social,28.68273755674425
grp_16,3,1,-105,10.5,Undiscovered Gem <--> Garbage,social,35.352737556744245
grp_16,3,1,28,2.8,Best year in history <--> Worst year in history,qualitative,16.04273755674425
grp_16,3,1,-42,4.2,Loud <--> Quiet,quantifiable,16.47273755674425
grp_16,3,1,-49,4.9,Talented <--> Untalented,qualitative,13.41273755674425
grp_16,3,1,42,4.2,Fascinating topic <--> Boring topic,qualitative,10.18273755674425
grp_16,3,1,-98,9.8,Good <--> Bad,qualitative,18.34273755674425
grp_16,3,1,-63,6.3,Light <--> Dark,quantifiable,16.50273755674425
grp_16,3,1,98,9.8,Elitist <--> Popular,social,31.01273755674425
grp_16,3,1,91,9.1,Terrifying <--> Thrilling,qualitative,22.27273755674425
grp_16,3,1,14,1.4,High brow <--> Low brow,social,17.21273755674425
grp_16,3,1,49,4.9,Beautiful <--> Ugly,qualitative,19.03273755674425
grp_16,3,1,-7,0.7,Best day of the year <--> Worst day of the year,qualitative,9.69273755674425
grp_16,3,1,-70,7,Avant garde <--> Old fashioned,social,17.67273755674425
grp_16,3,1,56,5.6,Classic <--> Fad,social,17.50273755674425
grp_16,3,1,-14,1.4,High calorie <--> Low calorie,quantifiable,9.37273755674425
grp_16,3,1,84,8.4,Hard <--> Soft,quantifiable,30.422737556744252
grp_16,3,1,-21,2.1,Reform <--> Revolution,social,15.44273755674425
grp_16,3,1,-28,2.8,Art <--> Not art,social,18.13273755674425
grp_16,3,1,-56,5.6,Good candy <--> Bad candy,qualitative,12.02273755674425
grp_16,3,1,-35,3.5,Large number <--> Small number,quantifiable,12.47273755674425
grp_16,3,1,-77,7.7,Global issue <--> Local issue,social,16.24273755674425
grp_16,3,1,0,0,For adults <--> For kids,social,12.26273755674425
grp_17,3,0,28,2.8,Cold <--> Hot,quantifiable,5.17273755674425
grp_17,3,0,-77,7.7,Hard <--> Soft,quantifiable,25.672737556744252
grp_17,3,0,70,7,Elitist <--> Popular,social,19.05273755674425
grp_17,3,0,0,0,For adults <--> For kids,social,22.07273755674425
grp_17,3,0,56,5.6,High brow <--> Low brow,social,29.88273755674425
grp_17,3,0,-49,4.9,Loud <--> Quiet,quantifiable,16.05273755674425
grp_17,3,0,-105,10.5,Large number <--> Small number,quantifiable,24.47273755674425
grp_17,3,0,-28,2.8,Long <--> Short,quantifiable,14.55273755674425
grp_17,3,0,91,9.1,Good <--> Bad,qualitative,17.63273755674425
grp_17,3,0,42,4.2,Fascinating topic <--> Boring topic,qualitative,5.62273755674425
grp_17,3,0,49,4.9,Avant garde <--> Old fashioned,social,24.50273755674425
grp_17,3,0,77,7.7,Good movie <--> Bad movie,qualitative,18.48273755674425
grp_17,3,0,7,0.7,Classic <--> Fad,social,19.16273755674425
grp_17,3,0,35,3.5,Talented <--> Untalented,qualitative,17.54273755674425
grp_17,3,0,63,6.3,Best year in history <--> Worst year in history,qualitative,17.14273755674425
grp_17,3,0,14,1.4,Best day of the year <--> Worst day of the year,qualitative,12.56273755674425
grp_17,3,0,-63,6.3,Art <--> Not art,social,26.88273755674425
grp_17,3,0,-84,8.4,High calorie <--> Low calorie,quantifiable,11.88273755674425
grp_17,3,0,98,9.8,Good candy <--> Bad candy,qualitative,8.482737556744251
grp_17,3,0,-56,5.6,Wet <--> Dry,quantifiable,13.79273755674425
grp_17,3,0,84,8.4,Reform <--> Revolution,social,28.58273755674425
grp_17,3,0,-7,0.7,Good pizza topping <--> Bad pizza topping,qualitative,14.54273755674425
grp_17,3,0,-91,9.1,Democracy <--> Dictatorship,social,29.49273755674425
grp_17,3,0,-14,1.4,Strong <--> Weak,quantifiable,17.83273755674425
grp_17,3,0,21,2.1,Flavorful <--> Flavorless,quantifiable,8.992737556744249
grp_17,3,0,-21,2.1,Light <--> Dark,quantifiable,10.402737556744249
grp_17,3,0,-70,7,Global issue <--> Local issue,social,16.89273755674425
grp_17,3,0,-35,3.5,Beautiful <--> Ugly,qualitative,17.942737556744248
grp_17,3,0,-98,9.8,Undiscovered Gem <--> Garbage,social,35.22273755674425
grp_17,3,0,-42,4.2,Terrifying <--> Thrilling,qualitative,11.62273755674425
grp_18,2,1,-21,2.1,Classic <--> Fad,social,18.33273755674425
grp_18,2,1,98,9.8,Reform <--> Revolution,social,39.64273755674425
grp_18,2,1,91,9.1,Light <--> Dark,quantifiable,18.78273755674425
grp_18,2,1,-14,1.4,Undiscovered Gem <--> Garbage,social,31.85273755674425
grp_18,2,1,-42,4.2,Loud <--> Quiet,quantifiable,12.57273755674425
grp_18,2,1,-56,5.6,Best day of the year <--> Worst day of the year,qualitative,5.072737556744249
grp_18,2,1,49,4.9,Hard <--> Soft,quantifiable,33.16273755674425
grp_18,2,1,-28,2.8,Beautiful <--> Ugly,qualitative,12.582737556744249
grp_18,2,1,-77,7.7,Large number <--> Small number,quantifiable,19.622737556744248
grp_18,2,1,-105,10.5,Long <--> Short,quantifiable,27.89273755674425
grp_18,2,1,0,0,Global issue <--> Local issue,social,17.50273755674425
grp_18,2,1,-63,6.3,Avant garde <--> Old fashioned,social,19.58273755674425
grp_18,2,1,-7,0.7,Best year in history <--> Worst year in history,qualitative,20.102737556744252
grp_18,2,1,28,2.8,Talented <--> Untalented,qualitative,9.97273755674425
grp_18,2,1,-84,8.4,Democracy <--> Dictatorship,social,35.482737556744254
grp_18,2,1,84,8.4,Elitist <--> Popular,social,23.57273755674425
grp_18,2,1,-35,3.5,Art <--> Not art,social,26.36273755674425
grp_18,2,1,35,3.5,High brow <--> Low brow,social,27.75273755674425
grp_18,2,1,21,2.1,Good movie <--> Bad movie,qualitative,20.97273755674425
grp_18,2,1,56,5.6,Good <--> Bad,qualitative,18.65273755674425
grp_18,2,1,77,7.7,Wet <--> Dry,quantifiable,20.36273755674425
grp_18,2,1,14,1.4,For adults <--> For kids,social,21.74273755674425
grp_18,2,1,42,4.2,Good candy <--> Bad candy,qualitative,9.652737556744249
grp_18,2,1,-49,4.9,High calorie <--> Low calorie,quantifiable,20.71273755674425
grp_18,2,1,63,6.3,Cold <--> Hot,quantifiable,19.07273755674425
grp_18,2,1,-70,7,Terrifying <--> Thrilling,qualitative,NA
grp_18,2,1,7,0.7,Strong <--> Weak,quantifiable,18.872737556744248
grp_18,2,1,-98,9.8,Flavorful <--> Flavorless,quantifiable,33.632737556744246
grp_18,2,1,70,7,Fascinating topic <--> Boring topic,qualitative,6.552737556744249
grp_18,2,1,-91,9.1,Good pizza topping <--> Bad pizza topping,qualitative,23.872737556744248
grp_19,2,0,0,0,High brow <--> Low brow,social,20.90273755674425
grp_19,2,0,98,9.8,Avant garde <--> Old fashioned,social,29.36273755674425
grp_19,2,0,42,4.2,Art <--> Not art,social,27.06273755674425
grp_19,2,0,7,0.7,Undiscovered Gem <--> Garbage,social,12.61273755674425
grp_19,2,0,-70,7,Beautiful <--> Ugly,qualitative,16.54273755674425
grp_19,2,0,-21,2.1,Best year in history <--> Worst year in history,qualitative,14.43273755674425
grp_19,2,0,49,4.9,Good <--> Bad,qualitative,16.68273755674425
grp_19,2,0,28,2.8,For adults <--> For kids,social,25.192737556744248
grp_19,2,0,77,7.7,Flavorful <--> Flavorless,quantifiable,14.83273755674425
grp_19,2,0,-98,9.8,High calorie <--> Low calorie,quantifiable,17.77273755674425
grp_19,2,0,-28,2.8,Classic <--> Fad,social,16.90273755674425
grp_19,2,0,70,7,Long <--> Short,quantifiable,15.44273755674425
grp_19,2,0,-105,10.5,Fascinating topic <--> Boring topic,qualitative,16.95273755674425
grp_19,2,0,63,6.3,Reform <--> Revolution,social,8.93273755674425
grp_19,2,0,21,2.1,Democracy <--> Dictatorship,social,23.122737556744248
grp_19,2,0,56,5.6,Elitist <--> Popular,social,18.84273755674425
grp_19,2,0,-84,8.4,Good movie <--> Bad movie,qualitative,16.14273755674425
grp_19,2,0,-77,7.7,Talented <--> Untalented,qualitative,15.73273755674425
grp_19,2,0,-91,9.1,Cold <--> Hot,quantifiable,14.17273755674425
grp_19,2,0,-49,4.9,Light <--> Dark,quantifiable,17.81273755674425
grp_19,2,0,91,9.1,Best day of the year <--> Worst day of the year,qualitative,23.27273755674425
grp_19,2,0,-42,4.2,Strong <--> Weak,quantifiable,19.47273755674425
grp_19,2,0,-14,1.4,Global issue <--> Local issue,social,9.392737556744251
grp_19,2,0,-7,0.7,Wet <--> Dry,quantifiable,16.79273755674425
grp_19,2,0,-56,5.6,Hard <--> Soft,quantifiable,23.86273755674425
grp_19,2,0,35,3.5,Loud <--> Quiet,quantifiable,26.58273755674425
grp_19,2,0,14,1.4,Good candy <--> Bad candy,qualitative,15.33273755674425
grp_19,2,0,-35,3.5,Large number <--> Small number,quantifiable,28.63273755674425
grp_19,2,0,84,8.4,Good pizza topping <--> Bad pizza topping,qualitative,23.11273755674425
grp_19,2,0,-63,6.3,Terrifying <--> Thrilling,qualitative,13.01273755674425
grp_2,6,0,77,7.7,Terrifying <--> Thrilling,qualitative,20.52273755674425
grp_2,6,0,42,4.2,Hard <--> Soft,quantifiable,34.61273755674425
grp_2,6,0,-63,6.3,Good candy <--> Bad candy,qualitative,12.57273755674425
grp_2,6,0,-84,8.4,Talented <--> Untalented,qualitative,20.56273755674425
grp_2,6,0,91,9.1,Good <--> Bad,qualitative,25.89273755674425
grp_2,6,0,-42,4.2,Large number <--> Small number,quantifiable,24.89273755674425
grp_2,6,0,7,0.7,Reform <--> Revolution,social,27.352737556744252
grp_2,6,0,-28,2.8,Long <--> Short,quantifiable,25.88273755674425
grp_2,6,0,-35,3.5,Avant garde <--> Old fashioned,social,28.01273755674425
grp_2,6,0,-105,10.5,Best day of the year <--> Worst day of the year,qualitative,15.19273755674425
grp_2,6,0,98,9.8,Undiscovered Gem <--> Garbage,social,48.67273755674425
grp_2,6,0,-7,0.7,For adults <--> For kids,social,25.50273755674425
grp_2,6,0,28,2.8,Art <--> Not art,social,32.342737556744254
grp_2,6,0,35,3.5,Democracy <--> Dictatorship,social,42.65273755674425
grp_2,6,0,63,6.3,Light <--> Dark,quantifiable,28.372737556744248
grp_2,6,0,84,8.4,Global issue <--> Local issue,social,32.41273755674425
grp_2,6,0,0,0,Elitist <--> Popular,social,30.09273755674425
grp_2,6,0,-14,1.4,Classic <--> Fad,social,31.482737556744247
grp_2,6,0,-77,7.7,Cold <--> Hot,quantifiable,19.58273755674425
grp_2,6,0,21,2.1,Beautiful <--> Ugly,qualitative,25.34273755674425
grp_2,6,0,-70,7,Wet <--> Dry,quantifiable,28.68273755674425
