country,region,life_expectancy,wellbeing,happy_life_years,footprint,inequality_of_outcomes,inequality_adjusted_life_expectancy,inequality_adjusted_wellbeing,happy_planet_index,gdp_per_capita,population,gini_index,hpi_rank
Burundi,Sub Saharan Africa,55.803,3.4333333333332803,9.490206596028289,0.8,0.47742712023791783,33.01280792464348,3.0327591350005085,15.576158801048251,244.1964862315103,10124572,Data unavailable,131
Cambodia,Asia Pacific,67.467,3.9,18.211074563845848,1.21,0.27534974234081994,54.15956120751568,3.5205402996167394,25.64937316366306,946.4766787104163,14832255,30.76,74
Cameroon,Sub Saharan Africa,54.61,4.2,11.570008795661797,1.17,0.47275156273534247,33.0940409887436,3.6541550217161154,16.698237171638215,1222.1921422043583,21659488,Data unavailable,124
Canada,Americas,81.654,7.4,53.85987669228846,8.17,0.08828664244333384,77.78667128035971,7.082104239930261,23.94183384203565,52737.777164677864,34751476,Data unavailable,85
Chad,Sub Saharan Africa,50.808,4,9.580599051414259,1.46,0.5073423160211841,27.318494286760544,3.6650558182083284,12.777156207494,972.6793451102461,12715465,Data unavailable,140
Chile,Americas,81.05,6.6,44.65574620940667,4.36,0.14306822168319042,74.9174523728136,6.118714687385135,31.66552155295386,15253.330825962032,17388437,Data unavailable,35
China,Asia Pacific,75.365,5.1,30.62505081813515,3.38,0.17499423783093854,68.64677442560354,4.619305931112665,25.72642015541785,6264.643877939926,1350695000,Data unavailable,72
Colombia,Americas,73.673,6.4,35.07089278089951,1.87,0.23504395279537657,63.10066889932085,5.715981941744548,40.69501102038909,7885.061292302139,46881018,53.54,3
Comoros,Sub Saharan Africa,62.598,4,15.441979288589225,1.03,0.3559641151715294,43.286540575017234,3.7254405441455445,23.100988814534567,750.3146086005014,733661,Data unavailable,93
Costa Rica,Americas,79.076,7.3,48.174792179775004,2.84,0.14556769442369108,72.61555149886333,6.79227988341742,44.7140709773574,9733.396930540237,4654148,48.61,1
Cote d'Ivoire,Sub Saharan Africa,50.83,3.8249999999999886,10.270453558495458,1.27,0.4468447766769828,30.638323217296126,3.510213833929997,14.438557469478425,1281.3828651673057,21102641,Data unavailable,135
Croatia,Post-communist,76.961,6,39.5817651391958,3.92,0.11767176605335,73.46525751232409,5.545875602603869,30.164198527193108,13235.977570174906,4267558,Data unavailable,47
Cyprus,Europe,79.789,6.2,42.279155600808,4.21,0.12087813100365631,76.57364946545387,5.67942605359782,30.711846428980596,28868.2738161645,1129303,34.31,41
Czech Republic,Post-communist,78.185,6.3,43.435273187947814,5.19,0.09397013489034223,75.45693378131439,5.914354468948544,27.28409908808879,19640.928659703815,10510785,26.13,64
Denmark,Europe,79.832,7.5,54.406013826452195,5.51,0.07106088414225403,76.7637367109283,7.2455176110451855,32.672582087699986,57636.12530953934,5591572,29.08,32
Djibouti,Sub Saharan Africa,61.311,4.4,15.086060103780676,2.19,0.4165417195979653,41.36546710850486,3.805072631186284,16.42836847003932,1586.7801332842923,853069,45.13,127
Dominican Republic,Americas,73.097,4.8,23.736781550389058,1.53,0.296085915823961,60.810738991021296,4.061441146593251,30.307213035861228,5967.000984055199,10155036,45.68,45
Ecuador,Americas,75.449,6,34.347894178996484,2.17,0.21887883767862826,64.09124717791519,5.5172723113704505,37.042715714114095,5702.168287893772,15419493,46.57,10
Egypt,Middle East and North Africa,70.742,4.2,21.80422475238283,2.15,0.23355257167848686,61.25635172845912,3.717558983950192,23.781020583811703,3226.1313788199836,85660902,Data unavailable,86
El Salvador,Americas,72.481,5.9,32.23889500303016,2.07,0.22300252863380746,62.53922269234876,5.313042801873521,35.635177653287265,3921.7203951165907,6072233,41.8,17
Estonia,Post-communist,76.2,5.4,34.967706837696035,6.86,0.12232526551435986,72.5605293890327,4.97716324270282,17.89502178920171,17490.993130040864,1322696,33.15,118
Ethiopia,Sub Saharan Africa,62.816,4.6,17.822024773701944,1.02,0.3592820175826885,43.76662429258846,4.230113027829987,26.658749963172124,469.792303889824,92191211,Data unavailable,66
Finland,Europe,80.421,7.4,54.58650550782182,5.87,0.06213503666040744,77.64925152167987,7.187936417493908,31.293363951496872,47415.55987113511,5413971,27.12,37
France,Europe,81.767,6.6,48.12586724112815,5.14,0.08524287318595743,78.46127039993767,6.291764599347315,30.413506058643833,40850.35237349481,65639975,33.1,44
Gabon,Sub Saharan Africa,63.335,4,15.434489533630984,2.02,0.3621621243722718,45.83826307423179,3.5252175055116175,17.496847728791643,10642.432252301329,1613489,Data unavailable,120
Georgia,Post-communist,74.555,4.3,24.692910089202858,1.58,0.19678043498831857,66.88981357385862,3.849634724938928,31.076034130434483,4142.8691753654975,3825000,41.35,40
Germany,Europe,80.573,6.7,48.227853050938506,5.3,0.08390288211646281,77.60929949945833,6.372239497333617,29.815503585510626,44010.93138698136,80425823,Data unavailable,49
Ghana,Sub Saharan Africa,61.012,5.1,18.759836922098287,1.97,0.3756452030003017,42.242460467995365,4.599045266488994,21.43466357444843,1641.8259218243938,25544565,Data unavailable,104
Greece,Europe,80.505,5.1,33.31529512237451,4.38,0.15871124133041045,77.56557026609038,4.453168481198562,23.62099962120931,22242.681934770993,11045011,36.68,89
Guatemala,Americas,71.355,5.9,29.593694812888913,1.89,0.2748123223815735,59.239470299497256,5.153658906833974,34.23635156813152,3278.6290827145335,15368759,Data unavailable,26
Guinea,Sub Saharan Africa,57.657,3.7,11.807037944832027,1.41,0.41895905312681325,37.22514654732298,3.32984553803518,15.85358084852303,487.3457142092367,11628767,33.729999999999997,129
Haiti,Americas,62.077,4.4,16.533380310716396,0.61,0.3698606637216564,42.90729618457761,4.011334142413933,28.567184774346202,766.8722334253354,10288828,60.79,57
Honduras,Americas,72.755,4.6,22.131661961658885,1.68,0.31108129079299357,58.49792904802147,3.9413786935459822,27.1587707896045,2395.0734419212854,7736131,57.4,65
Hong Kong,Asia Pacific,83.572,5.5,40.1050349646783,8.82345,0.09953677755755674,81.2628171852317,5.093280453215673,16.799684968318704,36707.77422825544,7154600,Data unavailable,123
Hungary,Post-communist,74.859,4.7,28.73039150407781,2.92,0.15154633173027862,70.94843800219203,4.207529527427952,26.383181515417217,12819.71205880318,9920362,30.55,69
Iceland,Europe,82.198,7.6,58.03139507386646,6.42554080619605,0.050863557347742866,79.82136760229423,7.428212637674071,31.0787247382566,44258.842793200485,320716,26.94,39
India,Asia Pacific,67.269,4.6,20.44599897804935,1.16,0.31313715346274057,51.12827742193072,4.157015728011252,29.175464503512924,1449.6648745250538,1263589639,Data unavailable,50
Indonesia,Asia Pacific,68.507,5.4,28.438883690163987,1.58,0.20682229939190336,57.18006312109659,5.131621015363278,35.71609257877622,3700.5235380944714,248037853,Data unavailable,16
Iran,Middle East and North Africa,74.784,4.6,25.40027471297007,2.79,0.23090590830397503,66.8790225574024,3.9559981535097295,23.992041742901446,7710.51331388446,76156975,Data unavailable,84
Iraq,Middle East and North Africa,68.96,4.7,22.777091540297963,1.88,0.27011736919577134,55.631403912382474,4.2523413503603065,26.521291569690366,6649.248155670921,32780975,29.54,67
Ireland,Europe,80.518,7,50.349742841773576,5.57,0.08493929169455543,77.53378917791636,6.651964417679513,30.016529573152507,48976.92975338484,4586897,32.520000000000003,48
Israel,Middle East and North Africa,81.934,7.1,52.49484451199482,6.22,0.07621635530667135,78.74178530333913,6.824762111429595,28.83147555443557,32818.85837688284,7910500,Data unavailable,54
Italy,Europe,82.696,5.8,41.10344252249669,4.61,0.11659878820922885,80.2083493274628,5.282638701484556,28.07652469913837,34844.498092848386,59539717,35.159999999999997,60
Jamaica,Americas,75.326,5.550000000000001,31.916748639404453,1.89,0.21146532161420667,66.3489949908275,4.968489058760624,36.88843514369528,5445.894717741392,2707805,Data unavailable,11
Japan,Asia Pacific,83.239,6,44.03262108178098,5.02,0.09284689200207201,80.58536699592989,5.622151045892984,28.319348084202872,46679.26543223026,127561489,Data unavailable,58
Kazakhstan,Post-communist,68.606,5.8,31.72650934808438,5.55,0.178587883636883,60.65587189454727,5.388629786221722,19.050434636178732,12120.305339701152,16791425,27.43,114
Kenya,Sub Saharan Africa,60.31,4.5,16.206627527521754,1.03,0.378988057509721,40.95583118114699,4.115153600147964,24.216351638353263,1184.923256043633,42542978,Data unavailable,83
Kyrgyzstan,Post-communist,69.73,5.2,28.725474919862545,1.91,0.1815324739653325,60.221575059884856,4.928018750339104,33.07797038591029,1177.9747348784833,5607200,27.37,31
Latvia,Post-communist,73.607,5.1,31.15893273110976,6.29,0.1410633086819662,68.65860012610537,4.6962964566826155,17.056728863774623,13775.261584628115,2034319,35.479999999999997,121
Lebanon,Middle East and North Africa,78.797,4.6,28.238392371731877,3.84,0.1890678949030738,73.08581282343782,4.021785723346591,21.897769325380793,9729.282192933908,4440728,Data unavailable,100
Lesotho,Sub Saharan Africa,48.947,4.9,13.353951727355453,1.66,0.42175790356225346,32.559874574176966,4.259407006200475,16.665136394471023,1158.8042220550203,2057331,Data unavailable,125
Liberia,Sub Saharan Africa,60.229,4.4,15.696023539355956,1.21,0.3836813508394975,40.29548882260986,4.053285636222945,22.182279227978782,414.1851554417438,4190155,Data unavailable,96
Lithuania,Post-communist,72.804,5.8,36.379300884055155,5.83,0.11270765888646578,68.82361435635559,5.443929482606331,21.03656569885549,14342.52347700176,2987773,35.15,107
Luxembourg,Europe,81.111,7,51.677888056745836,15.82,0.06783736347860274,78.97029422051497,6.702020177337995,13.151174195886261,105447.093240743,530946,34.79,139
Macedonia,Post-communist,75.067,4.6,27.18877971874054,3.26,0.18086399923196203,69.38472610936729,4.076608698210642,23.39190792649336,4709.511627777382,2069270,Data unavailable,90
Malawi,Sub Saharan Africa,60.122,4.3,13.699083853226458,0.81,0.44538135024194997,40.43996662634984,3.5455658484103414,22.130818438294174,270.0875312882915,15700436,Data unavailable,98
Malaysia,Asia Pacific,74.428,5.9,38.34259148299839,3.71,0.10184310668022353,69.45324535427501,5.678688208140716,30.291713548418738,10834.659078367114,29021940,Data unavailable,46
Malta,Europe,80.223,6,40.84271792613271,4.36495628240579,0.12631623558708185,76.61915744092104,5.488669020137033,28.96307142500312,21176.30998278016,419455,Data unavailable,53
Mauritania,Sub Saharan Africa,62.602,4.7,17.959712402259893,2.54,0.36729924409389564,41.51752862263445,4.483869102177475,17.998061394696155,1282.7851012858616,3777067,Data unavailable,117
Mauritius,Sub Saharan Africa,73.965,5.533333333333317,33.10871487827806,3.46,0.16526192412552088,66.74024228779724,5.118886968587455,27.38404008918045,9113.64064294,1255882,35.840000000000003,63
Mexico,Americas,76.411,7.3,44.26208298356356,2.89,0.18769899117079875,66.31196541352742,6.832880666251522,40.69729222257651,9703.37101717816,122070963,48.07,2
Mongolia,Asia Pacific,68.57,4.9,25.339305169851475,6.08,0.21908593831145265,56.870233386997,4.6136905495610625,14.26947132605124,4377.238870104351,2808339,33.75,136
Montenegro,Post-communist,75.773,5.2,32.12535459782667,3.78,0.15586325413076085,71.82879279262949,4.630544521511556,25.125575355121832,6586.721279322201,620601,32.159999999999997,78
Morocco,Middle East and North Africa,73.389,5,26.6936121501947,1.68,0.24599902388745915,61.62909304023663,4.489387633840051,32.65875156196943,2931.40019953372,32984190,Data unavailable,33
Mozambique,Sub Saharan Africa,54.321,5,15.017337548920029,0.87,0.4269865386928798,34.54466273258008,4.505278351191951,23.706340603355304,564.8124630943173,25732928,Data unavailable,88
Myanmar,Asia Pacific,65.501,4.4,18.753245228617555,1.43,0.32273773955012874,48.44849296449803,4.028813931501022,24.736100400421353,1421.4973508006203,52543841,Data unavailable,81
Namibia,Sub Saharan Africa,64.014,4.685714285714283,21.3151960048023,2.48,0.26297913368833287,50.09922754632341,4.412650420643135,21.569233730322814,5679.958215208974,2291645,Data unavailable,103
Nepal,Asia Pacific,68.824,4.2,20.185483029565646,0.98,0.2714452229879465,55.308683696471775,3.8076593513354595,30.512781538720787,685.4967585540124,27500515,Data unavailable,42
Netherlands,Europe,81.212,7.5,57.04078932580718,5.28,0.0432207012090508,78.18060001480403,7.454083276288859,35.315450932768506,49474.70560642203,16754962,27.99,18
New Zealand,Asia Pacific,81.417,7.2,52.65668921078947,5.6,0.08078593019712431,77.68578317421469,6.93621756536614,31.2583395000787,39504.960938861674,4408100,Data unavailable,38
Nicaragua,Americas,74.322,5.4,29.211133063970568,1.39,0.24717420664695966,63.43924629282587,4.762638558452183,38.68825826742374,1779.8670876131816,5877034,Data unavailable,7
Niger,Sub Saharan Africa,60.046,3.8,13.130707103910309,1.56,0.39760213505119346,38.87857831148365,3.535417659923059,16.846564574026175,393.64342304493977,17635782,Data unavailable,122
Nigeria,Sub Saharan Africa,52.112,5.5,15.4966108181458,1.16,0.4423107369736009,30.85361079344001,5.180679398651117,22.246825835430386,2739.852189039064,168240403,Data unavailable,95
Norway,Europe,81.281,7.7,57.05352589885326,4.98,0.06855375489063066,78.60023000327509,7.41675174857588,36.82705238216737,101563.70267759719,5018573,25.9,12
Oman,Middle East and North Africa,76.3,6.9,44.46757542309202,7.52,0.13406474350208492,70.94494224494183,6.425953987170396,21.13942635719868,21533.80760329297,3545192,Data unavailable,106
Pakistan,Asia Pacific,65.704,5.1,19.526542894303528,0.79,0.39646025434197574,44.12995410749895,4.582836734790057,31.50010802376814,1266.3807581145093,177392252,Data unavailable,36
Palestine,Middle East and North Africa,72.552,4.6,24.45579116439115,1.18965810274744,0.2375788590637305,62.585365363514455,4.065644103237832,34.47194096324895,2782.905026430228,4046901,Data unavailable,22
Panama,Americas,77.215,6.9,42.07666466514085,2.79,0.18997897818301895,68.3256472798601,6.316308037442293,39.50257721706073,10138.521128886165,3743761,51.9,6
Paraguay,Americas,72.638,5.8,31.758605519123048,4.16,0.22390818452618033,59.35754012309008,5.5084457950550405,23.326222792340484,3858.036492274683,6379162,48.17,91
Peru,Americas,74.089,5.8,32.85649043703043,2.28,0.21201869489254208,63.544006605485876,5.328721781805063,34.55546153048449,6388.845097855655,30158768,45.11,21
Philippines,Asia Pacific,67.949,5,24.13557084139394,1.1,0.2631155169502518,56.92403533266531,4.398016009066633,34.99109366669882,2604.6559968370243,96017322,43.04,20
Poland,Post-communist,76.926,5.9,39.174920457809314,4.44,0.11145472798638208,72.94294300772621,5.528679836338791,27.471189416618913,13142.045994608621,38063164,32.39,62
Portugal,Europe,80.33,4.99,32.3153373708919,3.88,0.16338622556737722,77.19162016311932,4.344433630842313,24.847393728344652,20577.402637589916,10514844,36.04,79
Republic of Congo,Sub Saharan Africa,60.951,3.9,13.584879809968681,1.29,0.40058972300839063,41.9877438970684,3.393494014388307,18.8127124351232,3191.16429881094,4286188,Data unavailable,115
Romania,Post-communist,74.327,5.2,30.06118068880305,2.71,0.1943749328445968,68.09417923418536,4.5727023103506435,28.801498535335398,8577.289214438186,20058035,27.33,55
Russia,Post-communist,69.519,5.6,31.732643401121177,5.69,0.15916383998781702,63.37341185760899,5.1653033795885825,18.71017811503093,14078.8305693118,143201676,41.59,116
Rwanda,Sub Saharan Africa,63.056,3.3,12.366085086991694,0.87,0.3720886737197467,44.275511525990815,2.951039937055528,19.62837798317014,667.414582334439,10817350,Data unavailable,111
Senegal,Sub Saharan Africa,65.429,3.7,15.488388002798796,1.21,0.3281849565038694,49.0590337025115,3.3151466244846737,21.896045707219148,1019.2722302586933,13780108,Data unavailable,101
Serbia,Post-communist,74.495,5.2,30.257872413429524,2.7,0.19090621440897418,68.60392780264488,4.56857072383915,29.048312577987993,5659.380204036908,7199077,Data unavailable,52
Sierra Leone,Sub Saharan Africa,49.758,4.5,10.779305556582818,1.24,0.4986961448173316,28.18260052111579,3.982863378193405,15.264649740643426,618.9472529300477,6043157,Data unavailable,133
Slovakia,Post-communist,75.872,5.9,37.8917422000579,4.06,0.12815477237595277,71.87107926995526,5.430236842343777,28.228896861344644,17207.279206484727,5407579,26.12,59
Slovenia,Post-communist,79.953,6.1,42.56742432774853,5.81,0.10222757403120601,77.07022099931615,5.681254664134561,24.638840370736368,22477.59756278219,2057159,25.59,82
South Africa,Sub Saharan Africa,56.285,5.1,18.49334268019731,3.31,0.33274002892766563,41.79492336093158,4.582836734790057,15.868991671939174,7592.1579969926825,52341695,Data unavailable,128
South Korea,Asia Pacific,81.349,6,42.17309759468341,5.69,0.11059418520693048,78.34418881841015,5.5411083873983,24.790360341261334,24453.971912464447,50004441,Data unavailable,80
Spain,Europe,82.192,6.3,45.27161111493542,3.67,0.10149272883462236,79.33696998452521,5.864298709290063,35.95897673862395,28647.835242689183,46773055,35.89,15
Sri Lanka,Asia Pacific,74.601,4.2,24.940463959276734,1.32,0.16940555155864573,68.58829729011217,3.7943111487598644,33.791776078166464,3350.686574312346,20424000,38.58,28
Suriname,Americas,70.788,6.3,35.189164584619974,4.25,0.18925773878939384,61.18477561965978,5.909348892982696,25.447157038977338,9422.270994352313,528535,Data unavailable,75
Swaziland,Sub Saharan Africa,48.91,4.9,13.626125300929509,2.01,0.4104581212844579,31.810282687923202,4.441614634400234,15.536035220949785,3988.6671624314154,1231694,Data unavailable,132
Sweden,Europe,81.847,7.6,57.425786743922295,7.25,0.05670734622290506,79.11979303864813,7.416135692486628,28.034925186771904,57134.07706824042,9519374,27.32,61
Switzerland,Europe,82.6,7.8,59.31552275218683,5.79,0.05986395257971467,79.43848915516536,7.624903986389022,34.330969622041906,83208.68654234995,7996861,31.64,24
Syria,Middle East and North Africa,70.385,3.2,14.728843514273988,1.51,0.3038245051938609,60.185271370893325,2.605305176409126,19.100370522371957,2079.9878638071536,21427155,Data unavailable,113
Tajikistan,Post-communist,69.01,4.5,22.17521432313599,0.91,0.2589634547460774,52.97565772709921,4.343979930015309,34.2495973970354,962.4391248535262,7930929,Data unavailable,25
Tanzania,Sub Saharan Africa,63.544,4,16.203255041552147,1.32,0.33287468564511724,47.67143503596251,3.5569989402154154,22.138379293936772,827.52888076909,48645709,Data unavailable,97
Thailand,Asia Pacific,74.087,6.3,38.62476929883911,2.66,0.15000272865094133,66.349938596671,5.979426956504571,37.2901049946857,5917.917933871196,67164130,39.26,9
Togo,Sub Saharan Africa,58.601,2.86666666666666,8.970004928855618,1.13,0.428742394080363,39.639758086522185,2.4209355269548363,13.233269200310191,580.4950617702481,6745581,Data unavailable,138
Trinidad and Tobago,Americas,70.116,6.4,34.354607699177386,7.92,0.21384003926161554,58.4432582474759,6.036338803558831,15.718346721557095,18322.323800985974,1341579,Data unavailable,130
Tunisia,Middle East and North Africa,74.644,4.5,25.161493552768167,2.34,0.22007923628343012,65.53990719181112,3.997165023810114,26.19714113037088,4187.543530517621,10777500,Data unavailable,71
Turkey,Middle East and North Africa,74.72,5.3,31.17437833672453,3.33,0.1863940646767554,66.16181570817992,4.869893074036883,26.42456507822006,10646.035532616066,74099255,40.17,68
Turkmenistan,Post-communist,65.298,5.5,23.978165302944763,5.47,0.31107377276567794,48.3289910555842,5.119500136846306,14.608544238279485,6797.7211660283365,5172941,Data unavailable,134
Uganda,Sub Saharan Africa,57.14,4.3,13.820559974923274,1.24,0.41386181525074933,36.75768703132491,3.917964809552094,19.419101693196378,656.3980727493342,35400620,42.37,112
Ukraine,Post-communist,70.317,5,28.263142360037765,2.84,0.16726418356261316,64.19296359436218,4.560895861923598,26.38316245478983,3855.4212801318,45593300,24.74,70
United Kingdom,Europe,80.392,6.9,49.09947035111565,4.94,0.09297391394456911,76.79000727006124,6.552046829357714,31.909286323046118,41294.51480086664,63700300,32.57,34
United States of America,Americas,78.807,7,46.84822446299703,8.22,0.12956425637462532,73.97922533505323,6.490673636557738,20.746377577545243,51456.65872803528,314112078,Data unavailable,108
Uruguay,Americas,76.891,6.4,39.4150588039493,2.91,0.17669974980691047,69.57997630892122,5.822767562349309,36.13427976743987,15127.644150516655,3396753,41.32,14
Uzbekistan,Post-communist,68.171,6,27.89009073806887,2.32,0.2982016707034703,51.582502812995386,5.564944463426148,29.126307234060015,1719.0361962415461,29774500,Data unavailable,51
Vanuatu,Asia Pacific,71.341,6.47,34.8957521535577,1.86262,0.2233318451974657,60.32132860314564,5.943032062175794,40.57009898803998,3158.4209735272952,247498,Data unavailable,4
Venezuela,Americas,73.885,7.1,41.494509184287104,3.57,0.18927995099877382,65.4537333392851,6.497572241153996,33.56995966266243,12771.595036110702,29854238,Data unavailable,29
Vietnam,Asia Pacific,75.477,5.5,32.77024565769821,1.65,0.185920591137127,64.79426489959809,5.215638976825295,40.30758930687456,1754.5479738641002,88809200,38.700000000000003,5
Yemen,Middle East and North Africa,63.34,4.1,15.204281681941174,1.03,0.38731270334468704,44.72121880043803,3.557846120599164,22.75426850542089,1289.0340776366763,24882792,Data unavailable,94
Zambia,Sub Saharan Africa,58.409,5,16.67424775707576,0.99,0.40812165887395585,38.67416328060233,4.469524237150178,25.22424646411198,1686.6180240526246,14786581,Data unavailable,77
Zimbabwe,Sub Saharan Africa,53.673,5,16.42862726743044,1.37,0.36608460855100433,36.91400528541143,4.608568013979294,22.112535398870584,850.8276939952349,14565482,Data unavailable,99
