"month","day","hour","cyclists"
"Jan",10,17,171
"Jan",10,18,149
"Jan",10,19,70
"Jan",10,20,33
"Jan",10,21,24
"Jan",10,22,22
"Jan",10,23,16
"Jan",11,0,6
"Jan",11,1,4
"Jan",11,2,1
"Jan",11,3,2
"Jan",11,4,0
"Jan",11,5,4
"Jan",11,6,20
"Jan",11,7,61
"Jan",11,8,204
"Jan",11,9,126
"Jan",11,10,55
"Jan",11,11,49
"Jan",11,12,71
"Jan",11,13,85
"Jan",11,14,81
"Jan",11,15,66
"Jan",11,16,92
"Jan",11,17,169
"Jan",11,18,112
"Jan",11,19,73
"Jan",11,20,46
"Jan",11,21,31
"Jan",11,22,22
"Jan",11,23,19
"Jan",12,0,12
"Jan",12,1,5
"Jan",12,2,1
"Jan",12,3,0
"Jan",12,4,0
"Jan",12,5,2
"Jan",12,6,9
"Jan",12,7,52
"Jan",12,8,204
"Jan",12,9,133
"Jan",12,10,35
"Jan",12,11,58
"Jan",12,12,46
"Jan",12,13,58
"Jan",12,14,58
"Jan",12,15,65
"Jan",12,16,88
"Jan",12,17,166
"Jan",12,18,128
"Jan",12,19,63
"Jan",12,20,34
"Jan",12,21,37
"Jan",12,22,27
"Jan",12,23,19
"Jan",13,0,12
"Jan",13,1,6
"Jan",13,2,0
"Jan",13,3,0
"Jan",13,4,1
"Jan",13,5,4
"Jan",13,6,13
"Jan",13,7,53
"Jan",13,8,184
"Jan",13,9,116
"Jan",13,10,56
"Jan",13,11,59
"Jan",13,12,59
"Jan",13,13,70
"Jan",13,14,59
"Jan",13,15,82
"Jan",13,16,82
"Jan",13,17,157
"Jan",13,18,104
"Jan",13,19,68
"Jan",13,20,32
"Jan",13,21,26
"Jan",13,22,19
"Jan",13,23,14
"Jan",14,0,25
"Jan",14,1,13
"Jan",14,2,5
"Jan",14,3,4
"Jan",14,4,1
"Jan",14,5,1
"Jan",14,6,4
"Jan",14,7,11
"Jan",14,8,18
"Jan",14,9,44
"Jan",14,10,86
"Jan",14,11,44
"Jan",14,12,48
"Jan",14,13,58
"Jan",14,14,55
"Jan",14,15,77
"Jan",14,16,59
"Jan",14,17,44
"Jan",14,18,33
"Jan",14,19,29
"Jan",14,20,18
"Jan",14,21,23
"Jan",14,22,12
"Jan",14,23,12
"Jan",15,0,14
"Jan",15,1,9
"Jan",15,2,9
"Jan",15,3,2
"Jan",15,4,2
"Jan",15,5,1
"Jan",15,6,4
"Jan",15,7,10
"Jan",15,8,9
"Jan",15,9,28
"Jan",15,10,29
"Jan",15,11,27
"Jan",15,12,43
"Jan",15,13,58
"Jan",15,14,66
"Jan",15,15,67
"Jan",15,16,47
"Jan",15,17,59
"Jan",15,18,36
"Jan",15,19,14
"Jan",15,20,16
"Jan",15,21,14
"Jan",15,22,10
"Jan",15,23,7
"Jan",16,0,4
"Jan",16,1,0
"Jan",16,2,1
"Jan",16,3,2
"Jan",16,4,0
"Jan",16,5,5
"Jan",16,6,11
"Jan",16,7,48
"Jan",16,8,203
"Jan",16,9,145
"Jan",16,10,53
"Jan",16,11,57
"Jan",16,12,52
"Jan",16,13,90
"Jan",16,14,64
"Jan",16,15,93
"Jan",16,16,91
"Jan",16,17,186
"Jan",16,18,141
"Jan",16,19,74
"Jan",16,20,45
"Jan",16,21,42
"Jan",16,22,21
"Jan",16,23,14
"Jan",17,0,4
"Jan",17,1,3
"Jan",17,2,2
"Jan",17,3,0
"Jan",17,4,0
"Jan",17,5,5
"Jan",17,6,12
"Jan",17,7,54
"Jan",17,8,258
"Jan",17,9,162
"Jan",17,10,64
"Jan",17,11,69
"Jan",17,12,69
"Jan",17,13,90
"Jan",17,14,73
"Jan",17,15,88
"Jan",17,16,94
"Jan",17,17,215
"Jan",17,18,167
"Jan",17,19,91
"Jan",17,20,55
"Jan",17,21,46
"Jan",17,22,21
"Jan",17,23,17
"Jan",18,0,13
"Jan",18,1,4
"Jan",18,2,2
"Jan",18,3,1
"Jan",18,4,0
"Jan",18,5,3
"Jan",18,6,12
"Jan",18,7,57
"Jan",18,8,240
"Jan",18,9,166
"Jan",18,10,74
"Jan",18,11,56
"Jan",18,12,86
"Jan",18,13,85
"Jan",18,14,83
"Jan",18,15,94
"Jan",18,16,102
"Jan",18,17,212
"Jan",18,18,149
"Jan",18,19,96
"Jan",18,20,41
"Jan",18,21,48
"Jan",18,22,32
"Jan",18,23,20
"Jan",19,0,14
"Jan",19,1,4
"Jan",19,2,3
"Jan",19,3,4
"Jan",19,4,0
"Jan",19,5,3
"Jan",19,6,17
"Jan",19,7,58
"Jan",19,8,243
"Jan",19,9,150
"Jan",19,10,73
"Jan",19,11,68
"Jan",19,12,60
"Jan",19,13,62
"Jan",19,14,62
"Jan",19,15,77
"Jan",19,16,95
"Jan",19,17,176
"Jan",19,18,136
"Jan",19,19,84
"Jan",19,20,49
"Jan",19,21,40
"Jan",19,22,14
"Jan",19,23,30
"Jan",20,0,11
"Jan",20,1,7
"Jan",20,2,3
"Jan",20,3,0
"Jan",20,4,0
"Jan",20,5,4
"Jan",20,6,18
"Jan",20,7,46
"Jan",20,8,176
"Jan",20,9,136
"Jan",20,10,80
"Jan",20,11,69
"Jan",20,12,69
"Jan",20,13,85
"Jan",20,14,70
"Jan",20,15,69
"Jan",20,16,107
"Jan",20,17,155
"Jan",20,18,107
"Jan",20,19,58
"Jan",20,20,30
"Jan",20,21,35
"Jan",20,22,20
"Jan",20,23,25
"Jan",21,0,6
"Jan",21,1,12
"Jan",21,2,8
"Jan",21,3,7
"Jan",21,4,0
"Jan",21,5,2
"Jan",21,6,3
"Jan",21,7,10
"Jan",21,8,17
"Jan",21,9,38
"Jan",21,10,50
"Jan",21,11,59
"Jan",21,12,51
"Jan",21,13,56
"Jan",21,14,57
"Jan",21,15,45
"Jan",21,16,46
"Jan",21,17,58
"Jan",21,18,41
"Jan",21,19,30
"Jan",21,20,16
"Jan",21,21,12
"Jan",21,22,15
"Jan",21,23,11
"Jan",22,0,16
"Jan",22,1,15
"Jan",22,2,2
"Jan",22,3,6
"Jan",22,4,0
"Jan",22,5,1
"Jan",22,6,3
"Jan",22,7,2
"Jan",22,8,12
"Jan",22,9,27
"Jan",22,10,46
"Jan",22,11,51
"Jan",22,12,65
"Jan",22,13,69
"Jan",22,14,51
"Jan",22,15,55
"Jan",22,16,59
"Jan",22,17,72
"Jan",22,18,35
"Jan",22,19,24
"Jan",22,20,22
"Jan",22,21,16
"Jan",22,22,13
"Jan",22,23,12
"Jan",23,0,5
"Jan",23,1,3
"Jan",23,2,3
"Jan",23,3,0
"Jan",23,4,0
"Jan",23,5,2
"Jan",23,6,14
"Jan",23,7,60
"Jan",23,8,228
"Jan",23,9,164
"Jan",23,10,82
"Jan",23,11,71
"Jan",23,12,79
"Jan",23,13,97
"Jan",23,14,72
"Jan",23,15,94
"Jan",23,16,115
"Jan",23,17,176
"Jan",23,18,168
"Jan",23,19,102
"Jan",23,20,91
"Jan",23,21,71
"Jan",23,22,27
"Jan",23,23,12
"Jan",24,0,8
"Jan",24,1,8
"Jan",24,2,2
"Jan",24,3,0
"Jan",24,4,0
"Jan",24,5,2
"Jan",24,6,16
"Jan",24,7,45
"Jan",24,8,243
"Jan",24,9,167
"Jan",24,10,66
"Jan",24,11,63
"Jan",24,12,61
"Jan",24,13,91
"Jan",24,14,57
"Jan",24,17,183
"Jan",24,18,169
"Jan",24,19,81
"Jan",24,20,48
"Jan",24,21,39
"Jan",24,22,33
"Jan",24,23,10
"Jan",25,0,13
"Jan",25,1,7
"Jan",25,2,4
"Jan",25,3,3
"Jan",25,4,0
"Jan",25,5,6
"Jan",25,6,17
"Jan",25,7,50
"Jan",25,8,245
"Jan",25,9,148
"Jan",25,10,75
"Jan",25,11,75
"Jan",25,12,75
"Jan",25,13,85
"Jan",25,14,82
"Jan",25,15,69
"Jan",25,16,95
"Jan",25,17,181
"Jan",25,18,157
"Jan",25,19,83
"Jan",25,20,46
"Jan",25,21,26
"Jan",25,22,20
"Jan",25,23,28
"Jan",26,0,15
"Jan",26,1,5
"Jan",26,2,5
"Jan",26,3,3
"Jan",26,4,1
"Jan",26,5,3
"Jan",26,6,14
"Jan",26,7,45
"Jan",26,8,206
"Jan",26,9,144
"Jan",26,10,76
"Jan",26,11,66
"Jan",26,12,81
"Jan",26,13,82
"Jan",26,14,75
"Jan",26,15,91
"Jan",26,16,94
"Jan",26,17,176
"Jan",26,18,162
"Jan",26,19,84
"Jan",26,20,57
"Jan",26,21,52
"Jan",26,22,22
"Jan",26,23,20
"Jan",27,0,16
"Jan",27,1,9
"Jan",27,2,2
"Jan",27,3,1
"Jan",27,4,0
"Jan",27,5,2
"Jan",27,6,13
"Jan",27,7,36
"Jan",27,8,180
"Jan",27,9,132
"Jan",27,10,78
"Jan",27,11,86
"Jan",27,12,69
"Jan",27,13,75
"Jan",27,14,54
"Jan",27,15,100
"Jan",27,16,91
"Jan",27,17,161
"Jan",27,18,116
"Jan",27,19,50
"Jan",27,20,35
"Jan",27,21,23
"Jan",27,22,22
"Jan",27,23,24
"Jan",28,0,20
"Jan",28,1,8
"Jan",28,2,8
"Jan",28,3,5
"Jan",28,4,2
"Jan",28,5,2
"Jan",28,6,6
"Jan",28,7,6
"Jan",28,8,10
"Jan",28,9,44
"Jan",28,10,46
"Jan",28,11,66
"Jan",28,12,68
"Jan",28,13,55
"Jan",28,14,61
"Jan",28,15,73
"Jan",28,16,68
"Jan",28,17,76
"Jan",28,18,31
"Jan",28,19,30
"Jan",28,20,26
"Jan",28,21,15
"Jan",28,22,12
"Jan",28,23,7
"Jan",29,0,6
"Jan",29,1,7
"Jan",29,2,12
"Jan",29,3,3
"Jan",29,4,3
"Jan",29,5,2
"Jan",29,6,1
"Jan",29,7,5
"Jan",29,8,9
"Jan",29,9,27
"Jan",29,10,58
"Jan",29,11,35
"Jan",29,12,45
"Jan",29,13,52
"Jan",29,14,57
"Jan",29,15,69
"Jan",29,16,65
"Jan",29,17,54
"Jan",29,18,49
"Jan",29,19,36
"Jan",29,20,25
"Jan",29,21,13
"Jan",29,22,11
"Jan",29,23,11
"Jan",30,0,6
"Jan",30,1,6
"Jan",30,2,2
"Jan",30,3,0
"Jan",30,4,0
"Jan",30,5,5
"Jan",30,6,13
"Jan",30,7,57
"Jan",30,8,218
"Jan",30,9,162
"Jan",30,10,62
"Jan",30,11,68
"Jan",30,12,81
"Jan",30,13,96
"Jan",30,14,62
"Jan",30,15,85
"Jan",30,16,108
"Jan",30,17,212
"Jan",30,18,169
"Jan",30,19,89
"Jan",30,20,51
"Jan",30,21,39
"Jan",30,22,26
"Jan",30,23,13
"Jan",31,0,9
"Jan",31,1,8
"Jan",31,2,1
"Jan",31,3,1
"Jan",31,4,0
"Jan",31,5,4
"Jan",31,6,23
"Jan",31,7,66
"Jan",31,8,254
"Jan",31,9,161
"Jan",31,10,69
"Jan",31,11,83
"Jan",31,12,65
"Jan",31,13,82
"Jan",31,14,65
"Jan",31,15,100
"Jan",31,16,111
"Jan",31,17,201
"Jan",31,18,174
"Jan",31,19,82
"Jan",31,20,66
"Jan",31,21,55
"Jan",31,22,28
"Jan",31,23,16
"Feb",1,0,4
"Feb",1,1,7
"Feb",1,2,1
"Feb",1,3,1
"Feb",1,4,1
"Feb",1,5,2
"Feb",1,6,9
"Feb",1,7,62
"Feb",1,8,216
"Feb",1,9,165
"Feb",1,10,63
"Feb",1,11,71
"Feb",1,12,70
"Feb",1,13,102
"Feb",1,14,79
"Feb",1,15,99
"Feb",1,16,116
"Feb",1,17,178
"Feb",1,18,159
"Feb",1,19,73
"Feb",1,20,57
"Feb",1,21,41
"Feb",1,22,26
"Feb",1,23,19
"Feb",2,0,5
"Feb",2,1,3
"Feb",2,2,6
"Feb",2,3,1
"Feb",2,4,1
"Feb",2,5,0
"Feb",2,6,11
"Feb",2,7,60
"Feb",2,8,193
"Feb",2,9,162
"Feb",2,10,72
"Feb",2,11,43
"Feb",2,12,74
"Feb",2,13,81
"Feb",2,14,72
"Feb",2,15,93
"Feb",2,16,94
"Feb",2,17,184
"Feb",2,18,196
"Feb",2,19,79
"Feb",2,20,61
"Feb",2,21,36
"Feb",2,22,24
"Feb",2,23,14
"Feb",3,0,10
"Feb",3,1,6
"Feb",3,2,3
"Feb",3,3,2
"Feb",3,4,0
"Feb",3,5,1
"Feb",3,6,11
"Feb",3,7,44
"Feb",3,8,200
"Feb",3,9,140
"Feb",3,10,73
"Feb",3,11,64
"Feb",3,12,85
"Feb",3,13,79
"Feb",3,14,64
"Feb",3,15,91
"Feb",3,16,107
"Feb",3,17,145
"Feb",3,18,122
"Feb",3,19,64
"Feb",3,20,47
"Feb",3,21,22
"Feb",3,22,32
"Feb",3,23,17
"Feb",4,0,26
"Feb",4,1,9
"Feb",4,2,9
"Feb",4,3,4
"Feb",4,4,4
"Feb",4,5,2
"Feb",4,6,4
"Feb",4,7,6
"Feb",4,8,16
"Feb",4,9,36
"Feb",4,10,41
"Feb",4,11,32
"Feb",4,12,28
"Feb",4,13,43
"Feb",4,14,41
"Feb",4,15,32
"Feb",4,16,47
"Feb",4,17,50
"Feb",4,18,29
"Feb",4,19,20
"Feb",4,20,13
"Feb",4,21,13
"Feb",4,22,17
"Feb",4,23,21
"Feb",5,0,14
"Feb",5,1,4
"Feb",5,2,8
"Feb",5,3,6
"Feb",5,4,2
"Feb",5,5,1
"Feb",5,6,3
"Feb",5,7,9
"Feb",5,8,11
"Feb",5,9,30
"Feb",5,10,39
"Feb",5,11,40
"Feb",5,12,49
"Feb",5,13,50
"Feb",5,14,59
"Feb",5,15,77
"Feb",5,16,66
"Feb",5,17,68
"Feb",5,18,41
"Feb",5,19,39
"Feb",5,20,20
"Feb",5,21,24
"Feb",5,22,25
"Feb",5,23,8
"Feb",6,0,5
"Feb",6,1,9
"Feb",6,2,6
"Feb",6,3,3
"Feb",6,4,1
"Feb",6,5,3
"Feb",6,6,14
"Feb",6,7,57
"Feb",6,8,214
"Feb",6,9,160
"Feb",6,10,79
"Feb",6,11,69
"Feb",6,12,56
"Feb",6,13,92
"Feb",6,14,84
"Feb",6,15,91
"Feb",6,16,112
"Feb",6,17,209
"Feb",6,18,178
"Feb",6,19,93
"Feb",6,20,66
"Feb",6,21,46
"Feb",6,22,23
"Feb",6,23,11
"Feb",7,0,11
"Feb",7,1,6
"Feb",7,2,2
"Feb",7,3,3
"Feb",7,4,0
"Feb",7,5,2
"Feb",7,6,9
"Feb",7,7,50
"Feb",7,8,226
"Feb",7,9,157
"Feb",7,10,71
"Feb",7,11,64
"Feb",7,12,65
"Feb",7,13,82
"Feb",7,14,59
"Feb",7,15,81
"Feb",7,16,120
"Feb",7,17,189
"Feb",7,18,161
"Feb",7,19,68
"Feb",7,20,60
"Feb",7,21,47
"Feb",7,22,38
"Feb",7,23,29
"Feb",8,0,8
"Feb",8,1,9
"Feb",8,2,5
"Feb",8,3,3
"Feb",8,4,0
"Feb",8,5,1
"Feb",8,6,13
"Feb",8,7,52
"Feb",8,8,232
"Feb",8,9,127
"Feb",8,10,70
"Feb",8,11,72
"Feb",8,12,84
"Feb",8,13,94
"Feb",8,14,79
"Feb",8,15,76
"Feb",8,16,132
"Feb",8,17,187
"Feb",8,18,155
"Feb",8,19,81
"Feb",8,20,50
"Feb",8,21,46
"Feb",8,22,34
"Feb",8,23,19
"Feb",9,0,12
"Feb",9,1,3
"Feb",9,2,3
"Feb",9,3,0
"Feb",9,4,3
"Feb",9,5,8
"Feb",9,6,8
"Feb",9,7,51
"Feb",9,8,182
"Feb",9,9,125
"Feb",9,10,56
"Feb",9,11,60
"Feb",9,12,58
"Feb",9,13,85
"Feb",9,14,64
"Feb",9,15,70
"Feb",9,16,97
"Feb",9,17,154
"Feb",9,18,155
"Feb",9,19,88
"Feb",9,20,46
"Feb",9,21,41
"Feb",9,22,24
"Feb",9,23,26
"Feb",10,0,12
"Feb",10,1,13
"Feb",10,2,2
"Feb",10,3,2
"Feb",10,4,0
"Feb",10,5,6
"Feb",10,6,19
"Feb",10,7,40
"Feb",10,8,197
"Feb",10,9,147
"Feb",10,10,54
"Feb",10,11,55
"Feb",10,12,81
"Feb",10,13,82
"Feb",10,14,81
"Feb",10,15,104
"Feb",10,16,90
"Feb",10,17,149
"Feb",10,18,123
"Feb",10,19,65
"Feb",10,20,39
"Feb",10,21,25
"Feb",10,22,19
"Feb",10,23,22
"Feb",11,0,25
"Feb",11,1,15
"Feb",11,2,7
"Feb",11,3,10
"Feb",11,4,3
"Feb",11,5,3
"Feb",11,6,7
"Feb",11,7,11
"Feb",11,8,23
"Feb",11,9,37
"Feb",11,10,53
"Feb",11,11,46
"Feb",11,12,71
"Feb",11,13,61
"Feb",11,14,49
"Feb",11,15,62
"Feb",11,16,81
"Feb",11,17,66
"Feb",11,18,44
"Feb",11,19,46
"Feb",11,20,16
"Feb",11,21,18
"Feb",11,22,20
"Feb",11,23,11
"Feb",12,0,8
"Feb",12,1,16
"Feb",12,2,5
"Feb",12,3,5
"Feb",12,4,4
"Feb",12,5,3
"Feb",12,6,1
"Feb",12,7,5
"Feb",12,8,11
"Feb",12,9,40
"Feb",12,10,41
"Feb",12,11,40
"Feb",12,12,45
"Feb",12,13,59
"Feb",12,14,56
"Feb",12,15,77
"Feb",12,16,47
"Feb",12,17,56
"Feb",12,18,52
"Feb",12,19,41
"Feb",12,20,23
"Feb",12,21,25
"Feb",12,22,24
"Feb",12,23,10
"Feb",13,0,8
"Feb",13,1,2
"Feb",13,2,3
"Feb",13,3,0
"Feb",13,4,0
"Feb",13,5,4
"Feb",13,6,17
"Feb",13,7,54
"Feb",13,8,192
"Feb",13,9,142
"Feb",13,10,83
"Feb",13,11,68
"Feb",13,12,65
"Feb",13,13,78
"Feb",13,14,84
"Feb",13,15,83
"Feb",13,16,156
"Feb",13,17,171
"Feb",13,18,138
"Feb",13,19,80
"Feb",13,20,69
"Feb",13,21,47
"Feb",13,22,28
"Feb",13,23,7
"Feb",14,0,15
"Feb",14,1,2
"Feb",14,2,0
"Feb",14,3,1
"Feb",14,4,1
"Feb",14,5,3
"Feb",14,6,14
"Feb",14,7,54
"Feb",14,8,191
"Feb",14,9,153
"Feb",14,10,68
"Feb",14,11,57
"Feb",14,12,86
"Feb",14,13,91
"Feb",14,14,65
"Feb",14,15,85
"Feb",14,16,117
"Feb",14,17,192
"Feb",14,18,153
"Feb",14,19,73
"Feb",14,20,55
"Feb",14,21,48
"Feb",14,22,31
"Feb",14,23,21
"Feb",15,0,11
"Feb",15,1,7
"Feb",15,2,5
"Feb",15,3,4
"Feb",15,4,1
"Feb",15,5,2
"Feb",15,6,12
"Feb",15,7,45
"Feb",15,8,182
"Feb",15,9,136
"Feb",15,10,66
"Feb",15,11,88
"Feb",15,12,83
"Feb",15,13,103
"Feb",15,14,78
"Feb",15,15,91
"Feb",15,16,113
"Feb",15,17,175
"Feb",15,18,145
"Feb",15,19,92
"Feb",15,20,68
"Feb",15,21,33
"Feb",15,22,36
"Feb",15,23,16
"Feb",16,0,5
"Feb",16,1,7
"Feb",16,2,3
"Feb",16,3,1
"Feb",16,4,1
"Feb",16,5,5
"Feb",16,6,9
"Feb",16,7,61
"Feb",16,8,188
"Feb",16,9,133
"Feb",16,10,69
"Feb",16,11,60
"Feb",16,12,75
"Feb",16,13,67
"Feb",16,14,75
"Feb",16,15,82
"Feb",16,16,113
"Feb",16,17,189
"Feb",16,18,160
"Feb",16,19,92
"Feb",16,20,59
"Feb",16,21,59
"Feb",16,22,34
"Feb",16,23,23
"Feb",17,0,23
"Feb",17,1,12
"Feb",17,2,3
"Feb",17,3,2
"Feb",17,4,2
"Feb",17,5,6
"Feb",17,6,11
"Feb",17,7,43
"Feb",17,8,167
"Feb",17,9,145
"Feb",17,10,66
"Feb",17,11,72
"Feb",17,12,73
"Feb",17,13,105
"Feb",17,14,74
"Feb",17,15,71
"Feb",17,16,107
"Feb",17,17,137
"Feb",17,18,121
"Feb",17,19,65
"Feb",17,20,42
"Feb",17,21,28
"Feb",17,22,30
"Feb",17,23,27
"Feb",18,0,17
"Feb",18,1,11
"Feb",18,2,6
"Feb",18,3,2
"Feb",18,4,3
"Feb",18,5,2
"Feb",18,6,4
"Feb",18,7,7
"Feb",18,8,29
"Feb",18,9,43
"Feb",18,10,49
"Feb",18,11,60
"Feb",18,12,58
"Feb",18,13,42
"Feb",18,14,38
"Feb",18,15,47
"Feb",18,16,59
"Feb",18,17,52
"Feb",18,18,50
"Feb",18,19,38
"Feb",18,20,24
"Feb",18,21,23
"Feb",18,22,20
"Feb",18,23,15
"Feb",19,0,13
"Feb",19,1,11
"Feb",19,2,10
"Feb",19,3,4
"Feb",19,4,4
"Feb",19,5,1
"Feb",19,6,4
"Feb",19,7,4
"Feb",19,8,14
"Feb",19,9,23
"Feb",19,10,41
"Feb",19,11,50
"Feb",19,12,57
"Feb",19,13,75
"Feb",19,14,54
"Feb",19,15,59
"Feb",19,16,80
"Feb",19,17,45
"Feb",19,18,52
"Feb",19,19,22
"Feb",19,20,27
"Feb",19,21,23
"Feb",19,22,21
"Feb",19,23,7
"Feb",20,0,1
"Feb",20,1,4
"Feb",20,2,1
"Feb",20,3,0
"Feb",20,4,3
"Feb",20,5,5
"Feb",20,6,13
"Feb",20,7,64
"Feb",20,8,203
"Feb",20,9,146
"Feb",20,10,58
"Feb",20,11,47
"Feb",20,12,54
"Feb",20,13,50
"Feb",20,14,57
"Feb",20,15,76
"Feb",20,16,103
"Feb",20,17,183
"Feb",20,18,152
"Feb",20,19,78
"Feb",20,20,60
"Feb",20,21,40
"Feb",20,22,33
"Feb",20,23,8
"Feb",21,0,10
"Feb",21,1,6
"Feb",21,2,3
"Feb",21,3,4
"Feb",21,4,0
"Feb",21,5,8
"Feb",21,6,12
"Feb",21,7,60
"Feb",21,8,241
"Feb",21,9,160
"Feb",21,10,62
"Feb",21,11,59
"Feb",21,12,59
"Feb",21,13,71
"Feb",21,14,59
"Feb",21,15,82
"Feb",21,16,94
"Feb",21,17,208
"Feb",21,18,150
"Feb",21,19,90
"Feb",21,20,65
"Feb",21,21,41
"Feb",21,22,27
"Feb",21,23,24
"Feb",22,0,15
"Feb",22,1,6
"Feb",22,2,0
"Feb",22,3,2
"Feb",22,4,0
"Feb",22,5,8
"Feb",22,6,13
"Feb",22,7,54
"Feb",22,8,182
"Feb",22,9,150
"Feb",22,10,62
"Feb",22,11,57
"Feb",22,12,71
"Feb",22,13,65
"Feb",22,14,69
"Feb",22,15,88
"Feb",22,16,107
"Feb",22,17,161
"Feb",22,18,128
"Feb",22,19,99
"Feb",22,20,45
"Feb",22,21,43
"Feb",22,22,20
"Feb",22,23,25
