ppt,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15
ppt025,4,4,5,2,4,3,4,4,5,5,3,3,5,3,4
ppt026,3,6,5,6,5,6,6,4,3,7,2,5,3,2,6
ppt027,3,5,7,5,6,5,6,5,4,7,2,6,4,6,5
ppt028,4,7,6,4,6,5,5,4,7,4,2,4,7,7,4
ppt029,5,3,5,5,4,1,5,6,4,5,5,5,3,5,3
ppt030,7,4,4,4,4,3,5,4,4,1,4,3,5,7,5
ppt031,1,4,6,1,6,5,5,3,5,4,3,3,6,6,4
ppt032,5,1,4,5,5,3,4,3,3,3,3,1,4,3,4
ppt033,4,6,5,4,6,5,5,5,3,6,4,4,4,4,6
ppt034,4,5,6,4,5,6,5,4,5,4,2,3,5,7,4
ppt035,4,4,5,3,6,4,5,6,4,3,3,6,6,5,4
ppt036,4,3,6,5,5,4,4,5,5,3,1,3,5,4,4
ppt037,4,4,4,5,2,3,4,6,5,4,6,4,2,3,4
ppt038,4,4,4,5,4,6,3,6,3,2,3,3,3,4,4
ppt039,7,3,4,2,4,5,4,5,2,3,5,4,2,3,5
ppt040,4,4,5,4,4,4,6,2,4,4,4,4,5,4,5
ppt041,3,2,5,3,4,4,3,3,4,4,3,5,5,5,4
ppt042,6,2,4,4,3,5,4,3,4,4,5,4,3,3,3
ppt043,2,4,3,4,6,3,5,4,4,5,3,4,6,4,4
ppt044,5,4,5,4,4,4,5,5,4,4,5,4,4,4,2
ppt045,4,4,4,2,2,3,5,4,2,3,3,3,2,3,2
ppt046,3,2,3,3,3,2,5,3,4,4,2,4,3,3,3
ppt047,6,5,2,5,4,4,4,5,5,3,3,3,3,4,4
ppt048,6,2,6,5,5,4,6,4,3,5,3,3,4,5,6
ppt049,4,4,5,7,5,5,6,5,4,5,3,4,3,4,3
ppt050,2,4,6,3,5,6,6,1,4,4,1,5,6,5,3
ppt051,5,5,5,4,4,5,5,2,4,4,3,3,4,6,2
ppt052,7,3,2,4,3,1,5,4,4,7,6,6,2,2,4
ppt053,2,2,4,1,3,3,4,4,4,2,3,2,3,3,4
ppt054,5,5,4,6,4,3,6,5,5,3,5,6,6,4,6
ppt055,6,4,6,6,4,3,3,6,5,3,5,2,3,3,4
ppt056,6,4,6,3,5,3,5,3,6,1,4,1,3,4,1
ppt057,4,6,3,2,5,1,3,7,5,6,3,3,3,4,4
ppt058,4,5,5,4,4,4,6,5,5,4,4,4,4,4,5
ppt059,6,4,3,4,3,2,4,4,3,4,5,4,2,2,4
ppt060,3,5,6,4,5,4,5,4,5,3,3,1,4,4,4
ppt061,4,3,4,2,5,4,6,3,5,5,4,5,4,4,4
ppt062,4,4,6,4,5,6,5,4,4,3,5,4,5,5,3
ppt063,6,3,5,4,4,4,3,3,5,4,3,2,3,5,2
ppt064,4,7,7,4,6,6,5,3,6,4,2,5,6,6,6
ppt065,4,4,5,3,5,3,4,3,4,6,4,4,3,2,4
ppt066,5,3,6,5,7,6,5,3,4,3,3,6,4,5,4
ppt067,3,3,6,2,4,3,3,2,3,4,1,4,4,4,3
ppt068,2,4,5,3,3,1,4,3,2,3,1,3,5,4,4
ppt069,4,4,4,4,4,2,6,2,3,5,5,3,4,3,6
ppt070,5,3,4,6,6,4,5,4,3,5,4,4,3,5,3
ppt071,5,2,5,5,3,2,4,3,4,1,3,3,4,4,3
ppt072,5,4,5,5,2,4,5,3,6,3,1,4,4,5,4
ppt073,2,5,5,3,7,3,5,2,5,5,3,4,3,4,5
ppt074,6,6,4,3,4,6,3,4,6,4,5,4,4,4,5
ppt075,6,4,6,3,4,6,5,5,5,4,2,4,6,5,5
ppt076,6,3,3,3,4,3,5,4,3,3,3,4,2,2,5
ppt077,6,4,6,2,6,4,7,5,6,5,4,5,6,4,7
ppt078,4,3,4,3,3,3,4,3,3,3,4,3,3,4,3
ppt079,4,2,4,4,5,4,4,4,3,3,5,3,5,4,3
ppt080,3,6,6,4,6,6,4,4,6,5,2,5,6,6,4
ppt081,2,5,3,3,5,3,5,5,5,4,2,5,4,3,4
ppt082,5,4,2,6,4,4,4,5,5,5,5,4,2,3,3
ppt083,5,5,3,5,2,4,4,4,4,4,4,4,5,3,4
ppt084,3,4,3,5,2,2,3,6,4,1,3,3,3,2,4
ppt085,7,4,5,5,4,5,4,5,5,4,5,4,5,4,4
ppt086,3,4,4,5,2,3,5,5,3,3,6,6,4,3,3
ppt087,6,4,4,6,5,5,5,5,4,2,5,3,2,6,6
ppt088,3,5,7,4,6,2,4,4,6,3,2,3,4,4,4
ppt089,5,3,6,4,5,5,4,4,5,5,3,3,4,6,5
ppt090,6,4,3,3,4,4,3,3,4,4,2,3,3,6,4
ppt091,5,2,7,4,2,1,4,4,3,2,5,4,3,3,2
ppt092,4,6,4,6,6,3,5,5,5,4,3,5,3,4,4
ppt093,1,6,4,1,6,6,5,3,5,6,1,4,4,6,4
ppt094,4,4,4,4,6,5,5,5,4,3,5,3,5,6,5
ppt095,2,4,5,3,4,5,4,3,4,5,1,5,6,5,5
ppt096,3,4,7,4,5,6,4,6,3,4,4,4,4,6,4
ppt097,2,2,5,5,3,2,6,3,1,4,3,4,3,2,6
ppt098,6,5,4,4,6,4,5,5,5,5,3,5,5,6,3
ppt099,3,4,6,5,3,4,6,4,5,4,2,6,4,5,5
ppt100,4,4,4,5,5,4,7,4,4,6,4,6,4,4,7
