apeID,age,species,HiP,timepoint
Natane,40,chimp,8.2,10
Vicente,13,chimp,9.64,1
Vicente,16,chimp,9.16,2
Vicente,19,chimp,7.48,3
Vicente,22,chimp,6.28,4
Vicente,25,chimp,6.28,5
Vicente,28,chimp,7.48,6
Vicente,31,chimp,8.44,7
Vicente,34,chimp,7.96,8
Vicente,37,chimp,9.64,9
Vicente,40,chimp,10.6,10
Eliza,13,orangutan,9.16,1
Eliza,16,orangutan,9.4,2
Eliza,19,orangutan,8.44,3
Eliza,22,orangutan,9.4,4
Eliza,25,orangutan,10.84,5
Eliza,28,orangutan,9.4,6
Eliza,31,orangutan,8.44,7
Eliza,34,orangutan,8.44,8
Eliza,37,orangutan,7.48,9
Eliza,40,orangutan,7.48,10
Deja,13,chimp,6.28,1
Deja,16,chimp,7.48,2
Deja,19,chimp,5.56,3
Deja,22,chimp,7.24,4
Deja,25,chimp,7.96,5
Deja,28,chimp,6.52,6
Deja,31,chimp,5.8,7
Deja,34,chimp,9.16,8
Deja,37,chimp,7.96,9
Deja,40,chimp,4.84,10
Brandon,13,chimp,11.56,1
Brandon,16,chimp,14.44,2
Brandon,19,chimp,14.44,3
Brandon,22,chimp,13,4
Brandon,25,chimp,12.04,5
Brandon,28,chimp,10.12,6
Brandon,31,chimp,11.08,7
Brandon,34,chimp,13,8
Brandon,37,chimp,11.56,9
Brandon,40,chimp,13.72,10
Jennifer,13,orangutan,12.52,1
Jennifer,16,orangutan,10.12,2
Jennifer,19,orangutan,9.64,3
Jennifer,22,orangutan,11.32,4
Jennifer,25,orangutan,12.52,5
Jennifer,28,orangutan,10.6,6
Jennifer,31,orangutan,13,7
Jennifer,34,orangutan,13.72,8
Jennifer,37,orangutan,14.2,9
Jennifer,40,orangutan,12.04,10
Janiya,13,chimp,12.76,1
Janiya,16,chimp,13.48,2
Janiya,19,chimp,11.8,3
Janiya,22,chimp,11.8,4
Janiya,25,chimp,10.12,5
Janiya,28,chimp,13,6
Janiya,31,chimp,10.84,7
Janiya,34,chimp,11.32,8
Janiya,37,chimp,12.52,9
Janiya,40,chimp,12.28,10
Aaron,13,chimp,13.24,1
Aaron,16,chimp,13.24,2
Aaron,19,chimp,14.44,3
Aaron,22,chimp,12.04,4
Aaron,25,chimp,12.76,5
Aaron,28,chimp,13.48,6
Aaron,31,chimp,13,7
Aaron,34,chimp,14.44,8
Aaron,37,chimp,13,9
Aaron,40,chimp,13.24,10
Mukhtaar,13,orangutan,12.76,1
Mukhtaar,16,orangutan,13.48,2
Mukhtaar,19,orangutan,12.76,3
Mukhtaar,22,orangutan,13.72,4
Mukhtaar,25,orangutan,11.8,5
Mukhtaar,28,orangutan,14.44,6
Mukhtaar,31,orangutan,14.2,7
Mukhtaar,34,orangutan,15.16,8
Mukhtaar,37,orangutan,13.96,9
Mukhtaar,40,orangutan,14.44,10
Aspen,13,orangutan,4.6,1
Aspen,16,orangutan,4.84,2
Aspen,19,orangutan,6.28,3
Aspen,22,orangutan,5.56,4
Aspen,25,orangutan,5.32,5
Aspen,28,orangutan,4.36,6
Aspen,31,orangutan,4.12,7
Aspen,34,orangutan,4.84,8
Aspen,37,orangutan,6.76,9
Aspen,40,orangutan,4.6,10
Ubaida,13,chimp,7.96,1
Ubaida,16,chimp,10.12,2
Ubaida,19,chimp,10.12,3
Ubaida,22,chimp,9.4,4
Ubaida,25,chimp,9.16,5
Ubaida,28,chimp,6.28,6
Ubaida,31,chimp,9.16,7
Ubaida,34,chimp,7.96,8
Ubaida,37,chimp,9.64,9
Ubaida,40,chimp,11.8,10
Carina,13,orangutan,11.32,1
Carina,16,orangutan,12.76,2
Carina,19,orangutan,12.28,3
Carina,22,orangutan,11.56,4
Carina,25,orangutan,11.32,5
Carina,28,orangutan,10.6,6
Carina,31,orangutan,11.32,7
Carina,34,orangutan,11.56,8
Carina,37,orangutan,10.12,9
Carina,40,orangutan,9.4,10
James,13,chimp,3.4,1
James,16,chimp,6.52,2
James,19,chimp,4.84,3
James,22,chimp,5.8,4
James,25,chimp,4.36,5
James,28,chimp,3.64,6
James,31,chimp,3.16,7
James,34,chimp,3.64,8
James,37,chimp,8.2,9
James,40,chimp,5.56,10
Diandre,13,orangutan,12.76,1
Diandre,16,orangutan,8.2,2
Diandre,19,orangutan,10.6,3
Diandre,22,orangutan,12.52,4
Diandre,25,orangutan,11.32,5
Diandre,28,orangutan,11.32,6
Diandre,31,orangutan,11.32,7
Diandre,34,orangutan,10.6,8
Diandre,37,orangutan,11.8,9
Diandre,40,orangutan,13.96,10
Bryce,13,orangutan,6.04,1
Bryce,16,orangutan,7.72,2
Bryce,19,orangutan,5.32,3
Bryce,22,orangutan,6.04,4
Bryce,25,orangutan,7.48,5
Bryce,28,orangutan,7.96,6
Bryce,31,orangutan,7.96,7
Bryce,34,orangutan,7.24,8
Bryce,37,orangutan,8.92,9
Bryce,40,orangutan,6.04,10
Chaunsae,13,chimp,13.24,1
Chaunsae,16,chimp,11.08,2
Chaunsae,19,chimp,11.56,3
Chaunsae,22,chimp,9.88,4
Chaunsae,25,chimp,10.84,5
Chaunsae,28,chimp,11.08,6
Chaunsae,31,chimp,12.04,7
Chaunsae,34,chimp,13,8
Chaunsae,37,chimp,12.28,9
Chaunsae,40,chimp,11.8,10
Deion,13,orangutan,11.32,1
Deion,16,orangutan,12.76,2
Deion,19,orangutan,11.8,3
Deion,22,orangutan,12.04,4
Deion,25,orangutan,11.32,5
Deion,28,orangutan,14.2,6
Deion,31,orangutan,12.52,7
Deion,34,orangutan,14.2,8
Deion,37,orangutan,12.76,9
Deion,40,orangutan,14.2,10
Constance Anna,13,chimp,8.2,1
Constance Anna,16,chimp,9.4,2
Constance Anna,19,chimp,8.44,3
Constance Anna,22,chimp,9.4,4
Constance Anna,25,chimp,5.56,5
Constance Anna,28,chimp,8.44,6
Constance Anna,31,chimp,8.2,7
Constance Anna,34,chimp,9.4,8
Constance Anna,37,chimp,8.44,9
Constance Anna,40,chimp,8.68,10
Maisara,13,orangutan,13,1
Maisara,16,orangutan,11.32,2
Maisara,19,orangutan,12.52,3
Maisara,22,orangutan,10.84,4
Maisara,25,orangutan,12.76,5
Maisara,28,orangutan,12.52,6
Maisara,31,orangutan,11.56,7
Maisara,34,orangutan,11.8,8
Maisara,37,orangutan,11.56,9
Maisara,40,orangutan,11.8,10
Yash,13,chimp,7,1
Yash,16,chimp,8.2,2
Yash,19,chimp,9.4,3
Yash,22,chimp,6.52,4
Yash,25,chimp,8.2,5
Yash,28,chimp,8.2,6
Yash,31,chimp,6.28,7
Yash,34,chimp,9.88,8
Yash,37,chimp,7.96,9
Yash,40,chimp,7.96,10
Rajab,13,chimp,10.84,1
Rajab,16,chimp,11.32,2
Rajab,19,chimp,12.04,3
Rajab,22,chimp,10.12,4
Rajab,25,chimp,9.4,5
Rajab,28,chimp,8.92,6
Rajab,31,chimp,7.96,7
Rajab,34,chimp,8.2,8
Rajab,37,chimp,8.44,9
Rajab,40,chimp,11.56,10
Rachel,13,chimp,5.32,1
Rachel,16,chimp,6.04,2
Rachel,19,chimp,5.32,3
Rachel,22,chimp,5.56,4
Rachel,25,chimp,5.8,5
Rachel,28,chimp,3.64,6
Rachel,31,chimp,6.28,7
Rachel,34,chimp,7.24,8
Rachel,37,chimp,4.12,9
Rachel,40,chimp,8.2,10
Hanyuan,13,chimp,11.56,1
Hanyuan,16,chimp,12.52,2
Hanyuan,19,chimp,10.84,3
Hanyuan,22,chimp,10.12,4
Hanyuan,25,chimp,10.6,5
Hanyuan,28,chimp,10.6,6
Hanyuan,31,chimp,10.36,7
Hanyuan,34,chimp,11.08,8
Hanyuan,37,chimp,12.28,9
Hanyuan,40,chimp,9.88,10
Joseph,13,orangutan,10.6,1
Joseph,16,orangutan,10.12,2
Joseph,19,orangutan,9.64,3
Joseph,22,orangutan,9.64,4
Joseph,25,orangutan,9.4,5
Joseph,28,orangutan,9.16,6
Joseph,31,orangutan,10.12,7
Joseph,34,orangutan,9.64,8
Joseph,37,orangutan,8.2,9
Joseph,40,orangutan,9.88,10
Antonia,13,chimp,13.48,1
Antonia,16,chimp,12.52,2
Antonia,19,chimp,14.44,3
Antonia,22,chimp,14.68,4
Antonia,25,chimp,11.8,5
Antonia,28,chimp,14.68,6
Antonia,31,chimp,11.8,7
Antonia,34,chimp,14.44,8
Antonia,37,chimp,16.12,9
Antonia,40,chimp,12.52,10
Cally,13,chimp,10.36,1
Cally,16,chimp,10.84,2
Cally,19,chimp,10.12,3
Cally,22,chimp,9.4,4
Cally,25,chimp,11.08,5
Cally,28,chimp,11.32,6
Cally,31,chimp,11.56,7
Cally,34,chimp,9.88,8
Cally,37,chimp,7.96,9
Cally,40,chimp,10.12,10
Morgan,13,chimp,11.56,1
Morgan,16,chimp,11.8,2
Morgan,19,chimp,12.76,3
Morgan,22,chimp,9.4,4
Morgan,25,chimp,11.08,5
Morgan,28,chimp,12.76,6
Morgan,31,chimp,10.84,7
Morgan,34,chimp,11.56,8
Morgan,37,chimp,13,9
Morgan,40,chimp,12.04,10
Denise,13,chimp,5.56,1
Denise,16,chimp,3.4,2
Denise,19,chimp,4.12,3
Denise,22,chimp,4.6,4
Denise,25,chimp,4.6,5
Denise,28,chimp,4.6,6
Denise,31,chimp,3.64,7
Denise,34,chimp,2.2,8
Denise,37,chimp,3.64,9
Denise,40,chimp,4.36,10
Amanda,13,chimp,6.28,1
Amanda,16,chimp,7.72,2
Amanda,19,chimp,8.2,3
Amanda,22,chimp,4.36,4
Amanda,25,chimp,6.76,5
Amanda,28,chimp,6.52,6
Amanda,31,chimp,8.44,7
Amanda,34,chimp,8.44,8
Amanda,37,chimp,8.44,9
Amanda,40,chimp,11.32,10
Angel,13,chimp,8.68,1
Angel,16,chimp,9.64,2
Angel,19,chimp,12.52,3
Angel,22,chimp,11.08,4
Angel,25,chimp,11.08,5
Angel,28,chimp,9.88,6
Angel,31,chimp,10.84,7
Angel,34,chimp,10.12,8
Angel,37,chimp,9.4,9
Angel,40,chimp,11.08,10
Rifat,13,chimp,9.88,1
Rifat,16,chimp,10.6,2
Rifat,19,chimp,8.92,3
Rifat,22,chimp,9.64,4
Rifat,25,chimp,7.72,5
Rifat,28,chimp,8.2,6
Rifat,31,chimp,10.6,7
Rifat,34,chimp,7,8
Rifat,37,chimp,10.84,9
Rifat,40,chimp,9.64,10
Daniel,13,orangutan,12.76,1
Daniel,16,orangutan,9.16,2
Daniel,19,orangutan,7.96,3
Daniel,22,orangutan,8.68,4
Daniel,25,orangutan,7.48,5
Daniel,28,orangutan,8.2,6
Daniel,31,orangutan,8.2,7
Daniel,34,orangutan,7.48,8
Daniel,37,orangutan,9.16,9
Daniel,40,orangutan,10.84,10
Ghaali,13,orangutan,3.64,1
Ghaali,16,orangutan,8.68,2
Ghaali,19,orangutan,7,3
Ghaali,22,orangutan,6.76,4
Ghaali,25,orangutan,6.52,5
Ghaali,28,orangutan,5.32,6
Ghaali,31,orangutan,5.56,7
Ghaali,34,orangutan,7.48,8
Ghaali,37,orangutan,3.64,9
Ghaali,40,orangutan,3.64,10
Ashley,13,orangutan,10.12,1
Ashley,16,orangutan,12.04,2
Ashley,19,orangutan,11.56,3
Ashley,22,orangutan,9.88,4
Ashley,25,orangutan,10.6,5
Ashley,28,orangutan,13.24,6
Ashley,31,orangutan,10.6,7
Ashley,34,orangutan,11.32,8
Ashley,37,orangutan,13,9
Ashley,40,orangutan,13.96,10
Samuel,13,orangutan,11.8,1
Samuel,16,orangutan,11.08,2
Samuel,19,orangutan,12.52,3
Samuel,22,orangutan,8.68,4
Samuel,25,orangutan,12.76,5
Samuel,28,orangutan,11.56,6
Samuel,31,orangutan,13,7
Samuel,34,orangutan,12.04,8
Samuel,37,orangutan,11.32,9
Samuel,40,orangutan,11.32,10
Wisaam,13,orangutan,8.2,1
Wisaam,16,orangutan,8.92,2
Wisaam,19,orangutan,11.32,3
Wisaam,22,orangutan,9.16,4
Wisaam,25,orangutan,11.08,5
Wisaam,28,orangutan,8.92,6
Wisaam,31,orangutan,9.64,7
Wisaam,34,orangutan,9.16,8
Wisaam,37,orangutan,10.6,9
Wisaam,40,orangutan,8.68,10
Mark,13,chimp,10.12,1
Mark,16,chimp,10.84,2
Mark,19,chimp,8.92,3
Mark,22,chimp,8.44,4
Mark,25,chimp,8.92,5
Mark,28,chimp,10.12,6
Mark,31,chimp,10.12,7
Mark,34,chimp,9.4,8
Mark,37,chimp,10.36,9
Mark,40,chimp,10.6,10
Faatih,13,chimp,10.36,1
Faatih,16,chimp,11.56,2
Faatih,19,chimp,9.88,3
Faatih,22,chimp,11.8,4
Faatih,25,chimp,11.32,5
Faatih,28,chimp,9.4,6
Faatih,31,chimp,11.08,7
Faatih,34,chimp,11.8,8
Faatih,37,chimp,9.64,9
Faatih,40,chimp,11.56,10
Mallory,13,chimp,10.12,1
Mallory,16,chimp,8.44,2
Mallory,19,chimp,8.68,3
Mallory,22,chimp,9.64,4
Mallory,25,chimp,7.48,5
Mallory,28,chimp,7.48,6
Mallory,31,chimp,9.88,7
Mallory,34,chimp,10.36,8
Mallory,37,chimp,9.4,9
Mallory,40,chimp,9.88,10
Arnold,13,orangutan,8.92,1
Arnold,16,orangutan,8.44,2
Arnold,19,orangutan,7.24,3
Arnold,22,orangutan,9.64,4
Arnold,25,orangutan,7.72,5
Arnold,28,orangutan,9.88,6
Arnold,31,orangutan,9.16,7
Arnold,34,orangutan,7.72,8
Arnold,37,orangutan,7.24,9
Arnold,40,orangutan,8.92,10
Jordan,13,chimp,12.04,1
Jordan,16,chimp,10.84,2
Jordan,19,chimp,10.12,3
Jordan,22,chimp,12.28,4
Jordan,25,chimp,8.92,5
Jordan,28,chimp,10.12,6
Jordan,31,chimp,12.28,7
Jordan,34,chimp,11.56,8
Jordan,37,chimp,12.52,9
Jordan,40,chimp,12.04,10
Marques,13,orangutan,10.36,1
Marques,16,orangutan,10.12,2
Marques,19,orangutan,9.64,3
Marques,22,orangutan,11.32,4
Marques,25,orangutan,12.28,5
Marques,28,orangutan,12.52,6
Marques,31,orangutan,11.8,7
Marques,34,orangutan,12.04,8
Marques,37,orangutan,11.08,9
Marques,40,orangutan,13.48,10
Jacqueline,13,orangutan,13.96,1
Jacqueline,16,orangutan,11.8,2
Jacqueline,19,orangutan,10.12,3
Jacqueline,22,orangutan,12.52,4
Jacqueline,25,orangutan,11.8,5
Jacqueline,28,orangutan,10.84,6
Jacqueline,31,orangutan,11.32,7
Jacqueline,34,orangutan,11.32,8
Jacqueline,37,orangutan,9.88,9
Jacqueline,40,orangutan,10.12,10
Madison,13,chimp,12.28,1
Madison,16,chimp,10.6,2
Madison,19,chimp,14.68,3
Madison,22,chimp,12.52,4
Madison,25,chimp,12.04,5
Madison,28,chimp,12.04,6
Madison,31,chimp,11.56,7
Madison,34,chimp,11.08,8
Madison,37,chimp,13.96,9
Madison,40,chimp,11.8,10
Kyleisha,13,orangutan,14.44,1
Kyleisha,16,orangutan,13.96,2
Kyleisha,19,orangutan,13.96,3
Kyleisha,22,orangutan,14.2,4
Kyleisha,25,orangutan,12.52,5
Kyleisha,28,orangutan,13.48,6
Kyleisha,31,orangutan,12.28,7
Kyleisha,34,orangutan,12.76,8
Kyleisha,37,orangutan,15.4,9
Kyleisha,40,orangutan,14.68,10
Taqi,13,chimp,6.28,1
Taqi,16,chimp,6.76,2
Taqi,19,chimp,7.96,3
Taqi,22,chimp,5.8,4
Taqi,25,chimp,7,5
Taqi,28,chimp,6.76,6
Taqi,31,chimp,7.24,7
Taqi,34,chimp,7,8
Taqi,37,chimp,6.52,9
Taqi,40,chimp,7,10
Cloe,13,chimp,11.56,1
Cloe,16,chimp,12.04,2
Cloe,19,chimp,6.76,3
Cloe,22,chimp,10.84,4
Cloe,25,chimp,9.4,5
Cloe,28,chimp,11.56,6
Cloe,31,chimp,10.6,7
Cloe,34,chimp,9.16,8
Cloe,37,chimp,11.08,9
Cloe,40,chimp,11.08,10
Ryan,13,orangutan,10.12,1
Ryan,16,orangutan,9.64,2
Ryan,19,orangutan,9.4,3
Ryan,22,orangutan,11.8,4
Ryan,25,orangutan,11.8,5
Ryan,28,orangutan,12.52,6
Ryan,31,orangutan,10.84,7
Ryan,34,orangutan,10.6,8
Ryan,37,orangutan,10.84,9
Ryan,40,orangutan,12.52,10
Mohammed,13,chimp,12.76,1
Mohammed,16,chimp,13,2
Mohammed,19,chimp,13.72,3
Mohammed,22,chimp,11.08,4
Mohammed,25,chimp,12.28,5
Mohammed,28,chimp,12.04,6
Mohammed,31,chimp,13.48,7
Mohammed,34,chimp,14.68,8
Mohammed,37,chimp,13.24,9
Mohammed,40,chimp,13.72,10
Misbaah,13,chimp,12.04,1
Misbaah,16,chimp,10.12,2
Misbaah,19,chimp,9.88,3
Misbaah,22,chimp,8.44,4
Misbaah,25,chimp,11.56,5
Misbaah,28,chimp,10.84,6
Misbaah,31,chimp,9.64,7
Misbaah,34,chimp,11.32,8
Misbaah,37,chimp,12.04,9
Misbaah,40,chimp,13,10
Justin,13,chimp,9.64,1
Justin,16,chimp,10.6,2
Justin,19,chimp,8.68,3
Justin,22,chimp,8.92,4
Justin,25,chimp,8.68,5
Justin,28,chimp,9.4,6
Justin,31,chimp,7.48,7
Justin,34,chimp,8.92,8
Justin,37,chimp,10.12,9
Justin,40,chimp,9.16,10
Saabiqa,13,chimp,7.48,1
Saabiqa,16,chimp,7.72,2
Saabiqa,19,chimp,7.48,3
Saabiqa,22,chimp,6.52,4
Saabiqa,25,chimp,6.04,5
Saabiqa,28,chimp,8.92,6
Saabiqa,31,chimp,5.56,7
Saabiqa,34,chimp,8.2,8
Saabiqa,37,chimp,6.28,9
Saabiqa,40,chimp,7.72,10
Marlon,13,chimp,10.84,1
Marlon,16,chimp,9.88,2
Marlon,19,chimp,8.68,3
Marlon,22,chimp,12.28,4
Marlon,25,chimp,9.88,5
Marlon,28,chimp,7.24,6
Marlon,31,chimp,7.24,7
Marlon,34,chimp,9.88,8
Marlon,37,chimp,8.92,9
Marlon,40,chimp,11.32,10
Majeeda,13,chimp,6.52,1
Majeeda,16,chimp,7.96,2
Majeeda,19,chimp,8.92,3
Majeeda,22,chimp,9.16,4
Majeeda,25,chimp,8.2,5
Majeeda,28,chimp,9.16,6
Majeeda,31,chimp,8.92,7
Majeeda,34,chimp,9.64,8
Majeeda,37,chimp,8.2,9
Majeeda,40,chimp,9.4,10
Selina,13,chimp,12.04,1
Selina,16,chimp,9.16,2
Selina,19,chimp,12.28,3
Selina,22,chimp,8.92,4
Selina,25,chimp,12.52,5
Selina,28,chimp,10.6,6
Selina,31,chimp,10.12,7
Selina,34,chimp,9.64,8
Selina,37,chimp,10.12,9
Selina,40,chimp,11.56,10
Markies,13,orangutan,7.24,1
Markies,16,orangutan,7.24,2
Markies,19,orangutan,7,3
Markies,22,orangutan,8.68,4
Markies,25,orangutan,6.28,5
Markies,28,orangutan,7,6
Markies,31,orangutan,6.52,7
Markies,34,orangutan,5.8,8
Markies,37,orangutan,8.2,9
Markies,40,orangutan,7.24,10
Langston,13,chimp,11.56,1
Langston,16,chimp,8.92,2
Langston,19,chimp,10.6,3
Langston,22,chimp,11.32,4
Langston,25,chimp,10.6,5
Langston,28,chimp,10.84,6
Langston,31,chimp,10.12,7
Langston,34,chimp,10.12,8
Langston,37,chimp,12.28,9
Langston,40,chimp,9.88,10
Christian,13,orangutan,8.44,1
Christian,16,orangutan,7.48,2
Christian,19,orangutan,6.28,3
Christian,22,orangutan,7.48,4
Christian,25,orangutan,7.72,5
Christian,28,orangutan,8.68,6
Christian,31,orangutan,7.24,7
Christian,34,orangutan,8.2,8
Christian,37,orangutan,8.2,9
Christian,40,orangutan,7.72,10
Tanner,13,orangutan,10.36,1
Tanner,16,orangutan,10.84,2
Tanner,19,orangutan,9.16,3
Tanner,22,orangutan,8.92,4
Tanner,25,orangutan,10.6,5
Tanner,28,orangutan,8.2,6
Tanner,31,orangutan,9.64,7
Tanner,34,orangutan,10.84,8
Tanner,37,orangutan,9.4,9
Tanner,40,orangutan,7.24,10
Dekese,13,orangutan,14.2,1
Dekese,16,orangutan,14.44,2
Dekese,19,orangutan,13.96,3
Dekese,22,orangutan,14.2,4
Dekese,25,orangutan,12.52,5
Dekese,28,orangutan,11.08,6
Dekese,31,orangutan,14.2,7
Dekese,34,orangutan,13.72,8
Dekese,37,orangutan,14.92,9
Dekese,40,orangutan,14.2,10
Allyson,13,chimp,8.2,1
Allyson,16,chimp,6.52,2
Allyson,19,chimp,5.8,3
Allyson,22,chimp,6.04,4
Allyson,25,chimp,4.84,5
Allyson,28,chimp,6.28,6
Allyson,31,chimp,5.08,7
Allyson,34,chimp,6.76,8
Allyson,37,chimp,9.16,9
Allyson,40,chimp,6.28,10
Marilyn,13,orangutan,12.76,1
Marilyn,16,orangutan,9.64,2
Marilyn,19,orangutan,10.6,3
Marilyn,22,orangutan,10.12,4
Marilyn,25,orangutan,10.6,5
Marilyn,28,orangutan,10.36,6
Marilyn,31,orangutan,10.84,7
Marilyn,34,orangutan,11.32,8
Marilyn,37,orangutan,11.32,9
Marilyn,40,orangutan,9.4,10
Khoa,13,chimp,9.4,1
Khoa,16,chimp,8.92,2
Khoa,19,chimp,9.64,3
Khoa,22,chimp,8.92,4
Khoa,25,chimp,9.4,5
Khoa,28,chimp,10.12,6
Khoa,31,chimp,9.64,7
Khoa,34,chimp,9.16,8
Khoa,37,chimp,10.84,9
Khoa,40,chimp,9.64,10
Shawnee,13,chimp,9.16,1
Shawnee,16,chimp,10.36,2
Shawnee,19,chimp,7.48,3
Shawnee,22,chimp,7.72,4
Shawnee,25,chimp,8.2,5
Shawnee,28,chimp,9.16,6
Shawnee,31,chimp,7.24,7
Shawnee,34,chimp,7.24,8
Shawnee,37,chimp,7.96,9
Shawnee,40,chimp,9.88,10
Ryker,13,chimp,8.68,1
Ryker,16,chimp,8.68,2
Ryker,19,chimp,8.68,3
Ryker,22,chimp,7,4
Ryker,25,chimp,8.2,5
Ryker,28,chimp,8.92,6
Ryker,31,chimp,8.2,7
Ryker,34,chimp,5.08,8
Ryker,37,chimp,8.44,9
Ryker,40,chimp,7.48,10
Micah,13,chimp,8.68,1
Micah,16,chimp,9.16,2
Micah,19,chimp,10.36,3
Micah,22,chimp,9.64,4
Micah,25,chimp,8.44,5
Micah,28,chimp,7.96,6
Micah,31,chimp,10.6,7
Micah,34,chimp,9.64,8
Micah,37,chimp,8.2,9
Micah,40,chimp,8.68,10
Whitnie,13,chimp,5.08,1
Whitnie,16,chimp,7.72,2
Whitnie,19,chimp,5.08,3
Whitnie,22,chimp,6.04,4
Whitnie,25,chimp,7.48,5
Whitnie,28,chimp,7.72,6
Whitnie,31,chimp,7.96,7
Whitnie,34,chimp,6.04,8
Whitnie,37,chimp,5.32,9
Whitnie,40,chimp,5.56,10
Asia,13,chimp,10.12,1
Asia,16,chimp,10.12,2
Asia,19,chimp,8.92,3
Asia,22,chimp,8.44,4
Asia,25,chimp,9.64,5
Asia,28,chimp,10.6,6
