pptID,age,accountability,selfmot,health,happiness,season,city,week_stopped
ID60,19,22,-99,57,63,winter,Glasgow,9
ID61,18,19,18,75,73,spring,Edinburgh,9
ID62,37,16,17,62,28,winter,Glasgow,9
ID63,42,9,13,53,71,spring,Edinburgh,4
ID64,33,31,16,67,69,summer,Edinburgh,8
ID65,55,21,19,46,61,spring,Edinburgh,9
ID66,45,21,21,69,100,spring,Edinburgh,9
ID67,45,23,17,53,66,summer,Edinburgh,9
ID68,38,25,14,64,0,summer,Glasgow,9
ID69,31,14,-99,60,10,spring,Edinburgh,4
ID70,28,19,16,65,14,spring,Edinburgh,3
ID71,43,19,12,59,93,summer,Glasgow,8
ID72,32,30,10,55,15,summer,Edinburgh,7
ID73,47,26,14,57,53,summer,Glasgow,9
ID74,21,13,11,82,0,spring,Edinburgh,3
ID75,41,17,19,61,61,spring,Edinburgh,5
ID76,53,17,19,56,100,spring,Edinburgh,9
ID77,33,14,17,60,45,summer,Edinburgh,9
ID78,46,15,18,49,53,winter,Glasgow,9
ID79,26,14,14,70,0,spring,Edinburgh,4
ID80,103,20,20,67,44,spring,Glasgow,9
ID81,20,13,11,62,0,summer,Edinburgh,9
ID82,60,11,16,45,41,spring,Edinburgh,3
ID83,42,22,16,77,86,spring,Edinburgh,9
ID84,36,27,14,71,0,spring,Glasgow,3
ID85,129,21,7,62,0,autunm,Edinburgh,2
ID86,18,22,19,64,21,spring,Edinburgh,2
ID87,39,19,14,39,90,summer,Edinburgh,7
ID88,33,27,16,66,100,summer,Edinburgh,9
ID89,60,12,12,47,55,summer,Edinburgh,9
ID90,47,16,10,41,0,summer,Edinburgh,9
ID91,54,32,15,44,8,summer,Edinburgh,9
ID92,57,24,16,43,0,summer,Edinburgh,9
ID93,51,20,16,60,49,spring,Glasgow,5
ID94,47,24,15,55,26,summer,Edinburgh,9
ID95,45,25,14,52,33,spring,Edinburgh,4
ID96,36,16,17,53,57,summer,Glasgow,9
ID97,40,19,14,60,43,autunm,Edinburgh,8
ID98,37,13,8,69,0,spring,Glasgow,4
ID99,57,25,17,57,72,summer,Edinburgh,9
ID100,32,22,10,70,18,spring,Edinburgh,2
ID101,31,30,9,56,0,spring,Edinburgh,1
ID102,48,17,9,67,0,spring,Edinburgh,2
ID103,54,19,11,43,54,spring,Edinburgh,4
ID104,45,29,16,61,28,autunm,Glasgow,9
ID105,39,18,12,57,82,summer,Edinburgh,9
ID106,47,25,18,48,19,autumn,Edinburgh,9
ID107,33,13,15,57,100,spring,Glasgow,1
ID108,24,26,12,59,26,spring,Edinburgh,1
ID109,31,22,12,59,36,spring,Edinburgh,9
ID110,26,17,13,74,0,spring,Glasgow,3
ID111,26,21,15,74,100,summer,Edinburgh,9
ID112,26,23,11,60,0,spring,Glasgow,2
ID113,52,28,13,46,97,spring,Edinburgh,1
ID114,31,16,17,55,24,spring,Edinburgh,4
ID115,43,19,14,66,41,spring,Edinburgh,3
ID116,58,15,15,37,0,winter,Glasgow,9
ID117,34,21,23,54,46,spring,Glasgow,5
ID118,53,22,11,46,98,spring,Edinburgh,1
ID119,34,23,13,69,69,summer,Edinburgh,9
ID120,43,27,15,59,38,spring,Edinburgh,1
ID121,36,25,13,43,84,spring,Glasgow,4
