day,condition,ppt_id,lifesat
2,meditate,m6,57.07273594414193
3,meditate,m6,44.81209988417495
4,meditate,m6,48.03935690022553
5,meditate,m6,58.40731158669526
6,meditate,m6,56.322241730246596
7,meditate,m6,68.2087275903722
1,meditate,m7,24.400316067950044
2,meditate,m7,40.01310507337683
3,meditate,m7,28.882003748366728
4,meditate,m7,51.86805548792261
5,meditate,m7,43.37485282713905
6,meditate,m7,44.18680028988876
7,meditate,m7,46.16929984837738
1,meditate,m8,42.34397857781717
2,meditate,m8,43.15479000641085
3,meditate,m8,41.9840131925497
4,meditate,m8,46.905382460290355
5,meditate,m8,46.049475497691176
6,meditate,m8,46.20814873646095
7,meditate,m8,55.92946497329781
1,meditate,m9,53.85940904235916
2,meditate,m9,50.353317175374976
3,meditate,m9,56.91798084861614
4,meditate,m9,54.52557479980218
5,meditate,m9,56.714319849576576
6,meditate,m9,64.097472930467
7,meditate,m9,75
1,meditate,m10,47.60023362591884
2,meditate,m10,48.42686103952022
3,meditate,m10,46.07880242312464
4,meditate,m10,51.6408092247873
5,meditate,m10,52.98219166990307
6,meditate,m10,58.72377304449712
7,meditate,m10,59.95477469371372
1,meditate,m11,43.88016130843249
2,meditate,m11,43.46181270049469
3,meditate,m11,40.04714448623007
4,meditate,m11,45.85617623602787
5,meditate,m11,54.49633632482968
6,meditate,m11,60.16345683628343
7,meditate,m11,63.56207595664689
1,meditate,m12,38.14799761322603
2,meditate,m12,55.210002709467766
3,meditate,m12,40.931910811111635
4,meditate,m12,53.06437890733254
5,meditate,m12,48.64072266217256
6,meditate,m12,57.311970238898425
7,meditate,m12,55.5335565913051
1,meditate,m13,38.49140954485725
2,meditate,m13,42.94286910783801
3,meditate,m13,46.8010654029981
4,meditate,m13,39.26406319037038
5,meditate,m13,61.690016330613055
6,meditate,m13,60.033405688692405
7,meditate,m13,51.880518315291226
1,meditate,m14,27.81946684324865
2,meditate,m14,43.566766498078294
3,meditate,m14,48.41090879656365
4,meditate,m14,52.091223989551864
5,meditate,m14,51.736081469957945
6,meditate,m14,52.21430363236791
7,meditate,m14,58.367422670829264
1,meditate,m15,33.807289444742366
2,meditate,m15,37.91962177681448
3,meditate,m15,54.636725808777655
4,meditate,m15,43.18668660152458
5,meditate,m15,49.606866054389066
6,meditate,m15,47.43345022464676
7,meditate,m15,67.43749906436858
1,meditate,m16,37.33544792648576
2,meditate,m16,48.072141311454345
3,meditate,m16,51.123322392723516
4,meditate,m16,42.649255830463055
5,meditate,m16,53.26607098806036
6,meditate,m16,50.63562327481276
7,meditate,m16,42.99919081481565
1,meditate,m17,51.634411249418626
2,meditate,m17,52.16942665355876
3,meditate,m17,45.45182383743783
4,meditate,m17,42.42404128256179
5,meditate,m17,53.63395399759927
6,meditate,m17,65.81389428950325
7,meditate,m17,66.3061514453884
1,meditate,m18,37.58450883814897
2,meditate,m18,31.09408837904574
3,meditate,m18,51.19180305918182
4,meditate,m18,52.89892371275566
5,meditate,m18,54.19651841475958
6,meditate,m18,47.88911934513118
7,meditate,m18,59.54901520685173
