ID,stress1,stress2,stress3,stress4,stress5,IQ1,IQ2,IQ3,IQ4,IQ5
379,1,1,1,1,2,33,18,16,11,18
380,2,2,1,2,2,54,48,13,11,33
381,1,2,1,2,1,17,8,5,21,30
382,2,2,1,2,2,58,51,34,33,43
383,2,2,2,2,2,59,49,9,23,55
384,1,2,1,1,1,15,15,18,8,31
385,2,2,2,2,2,38,19,10,12,22
386,2,2,1,2,2,60,38,10,21,21
387,2,1,1,3,2,14,10,6,9,21
388,1,2,1,2,2,37,29,16,1,18
389,2,2,1,2,2,15,14,4,9,12
390,1,1,1,2,2,32,13,1,10,21
391,1,2,1,2,2,32,19,18,19,38
392,2,3,2,2,2,36,18,10,31,35
393,1,2,1,2,1,30,20,26,14,34
394,1,2,1,2,1,12,14,0,7,18
395,2,2,1,2,1,16,9,2,20,20
396,2,1,1,2,1,17,10,18,8,19
397,2,3,2,2,2,27,15,2,15,26
398,2,2,2,2,2,27,9,9,6,28
399,2,3,1,2,2,22,42,16,26,38
400,2,2,2,2,2,23,28,4,21,21
401,2,2,1,3,2,34,29,17,4,16
402,1,2,1,2,1,18,12,4,2,22
403,2,2,1,2,2,23,23,8,19,26
404,1,1,1,2,2,12,6,0,1,6
405,1,2,1,2,2,28,10,1,11,29
406,1,2,1,2,2,27,15,9,20,14
407,2,1,1,2,1,23,14,8,11,15
408,3,2,2,2,2,17,14,28,13,18
409,2,2,2,2,2,13,10,0,6,9
410,2,2,2,2,2,9,18,1,8,15
411,1,2,1,2,1,11,9,5,9,15
412,2,3,1,3,2,24,26,8,8,26
413,2,2,1,2,2,21,12,8,9,17
414,1,1,1,1,2,36,22,25,24,22
415,1,2,2,2,2,13,9,1,1,11
416,1,1,1,2,2,15,7,0,2,8
417,1,1,1,2,1,24,22,4,14,29
418,2,2,1,2,2,19,11,31,5,20
419,2,3,2,2,2,14,17,15,26,22
420,1,2,1,2,1,27,26,26,14,36
421,3,2,1,3,2,20,20,10,7,11
422,1,2,1,2,2,19,16,1,8,15
423,1,2,1,2,1,35,24,18,9,17
424,2,2,1,2,2,12,11,2,15,24
425,1,2,1,2,1,20,17,2,4,20
426,2,2,1,2,1,42,19,5,12,20
427,1,2,1,2,2,19,16,9,4,23
428,2,3,1,2,2,30,19,18,45,33
429,1,1,1,2,2,18,18,20,7,30
430,2,2,1,2,1,25,20,0,8,17
431,2,2,1,2,1,22,11,18,51,33
432,2,2,2,2,1,17,15,12,21,49
433,2,2,1,2,2,21,23,16,26,33
434,1,1,1,2,1,16,24,10,18,33
435,2,3,2,2,2,22,8,15,11,18
436,1,2,1,2,2,19,38,5,5,7
437,3,3,2,2,2,47,24,7,27,44
438,2,3,1,2,2,15,11,8,3,7
439,2,2,1,2,1,22,21,6,8,24
440,2,2,2,2,2,29,21,18,21,28
441,1,1,1,1,1,11,10,1,8,13
442,3,2,2,2,2,33,22,13,7,18
443,2,3,2,2,2,27,18,29,33,23
444,2,2,1,2,2,9,5,5,0,15
445,1,2,1,2,2,32,24,6,3,20
446,1,2,1,2,1,31,16,4,19,11
447,2,2,1,2,1,26,23,7,17,22
448,1,2,2,2,1,32,40,20,34,33
449,2,2,1,2,1,20,17,24,42,35
450,1,2,2,2,2,17,17,7,13,23
451,1,1,1,2,1,13,4,0,0,6
452,2,2,1,2,3,31,22,9,15,22
453,2,2,1,2,2,15,16,8,4,15
454,2,2,1,2,1,15,11,6,2,14
455,2,1,1,2,1,27,27,15,19,27
456,2,2,2,2,2,15,16,5,2,22
457,2,2,2,2,2,39,24,45,19,40
458,2,3,2,3,2,33,31,14,20,29
459,2,1,1,2,2,15,3,0,1,12
460,1,1,1,2,2,34,34,32,16,37
461,2,2,1,2,1,38,19,9,13,18
462,1,2,1,2,2,14,17,7,4,28
463,1,3,1,2,2,30,30,8,6,18
464,1,2,1,1,1,11,3,0,3,15
465,1,1,1,2,1,25,14,1,0,16
466,2,3,1,2,2,16,16,1,6,23
467,1,2,1,2,2,17,13,5,2,16
468,2,2,1,2,1,31,43,10,25,38
469,2,2,1,2,2,18,27,14,5,13
470,2,2,1,2,2,13,21,15,18,25
471,1,2,1,2,1,30,30,23,7,43
472,2,2,2,2,2,49,30,18,43,28
473,2,2,2,2,2,10,12,0,1,16
474,2,2,1,2,1,18,9,3,0,9
475,1,2,1,2,1,5,3,1,2,14
476,2,2,1,2,2,83,44,25,14,29
477,3,2,1,2,2,29,20,22,18,24
478,1,2,1,1,2,15,11,5,5,14
479,1,2,1,2,2,13,2,0,0,10
480,2,2,2,2,2,47,28,35,32,22
481,1,2,2,3,2,20,11,11,2,35
482,1,2,1,2,2,22,28,4,1,15
483,2,2,1,2,2,39,24,17,16,18
484,1,1,1,1,1,13,7,6,8,28
485,2,1,1,2,1,29,29,5,11,28
486,3,2,2,2,3,45,18,27,48,47
487,2,2,1,2,2,61,30,34,26,36
488,2,2,2,2,2,28,15,6,4,13
489,1,2,1,2,1,18,13,1,0,19
490,2,2,1,2,2,35,22,21,32,65
491,2,2,2,2,1,31,21,17,56,33
492,2,2,1,2,1,10,10,3,0,11
493,2,2,3,2,2,13,17,1,17,18
494,1,2,2,2,2,17,10,13,3,11
495,1,2,1,2,1,19,21,7,4,25
496,1,1,1,2,2,26,19,4,11,16
497,2,2,2,2,2,25,21,13,28,22
498,2,2,2,2,2,16,14,3,8,19
499,2,2,1,2,2,16,10,3,15,33
500,1,2,1,2,1,17,18,8,1,9
