"hospital","expcon","nurse","age","gender","experien","stress","Zstress","wardtype","hospsize"
3,"1",89,25,1,4,5,0.0234812434652409,"special care","small"
3,"1",90,55,1,27,3,-2.01836601438198,"special care","small"
3,"0",91,42,1,18,5,0.0234812434652409,"general care","small"
3,"0",92,58,1,25,6,1.04440487238885,"general care","small"
3,"0",93,64,1,20,6,1.04440487238885,"general care","small"
3,"0",94,47,0,17,6,1.04440487238885,"general care","small"
3,"0",95,25,1,7,5,0.0234812434652409,"general care","small"
3,"0",96,50,0,21,5,0.0234812434652409,"general care","small"
3,"0",97,42,1,14,5,0.0234812434652409,"general care","small"
3,"0",98,60,0,29,5,0.0234812434652409,"general care","small"
3,"0",99,33,1,20,5,0.0234812434652409,"general care","small"
3,"0",100,51,0,18,6,1.04440487238885,"special care","small"
3,"0",101,27,1,11,6,1.04440487238885,"special care","small"
3,"0",102,43,1,17,6,1.04440487238885,"special care","small"
3,"0",103,45,1,15,6,1.04440487238885,"special care","small"
3,"0",104,53,0,21,6,1.04440487238885,"special care","small"
3,"0",105,53,0,21,6,1.04440487238885,"special care","small"
3,"0",106,37,0,15,6,1.04440487238885,"special care","small"
3,"0",107,25,1,10,7,2.06532850131246,"special care","small"
3,"0",108,32,1,14,6,1.04440487238885,"special care","small"
3,"0",109,46,1,20,6,1.04440487238885,"special care","small"
4,"1",110,57,1,25,5,0.0234812434652409,"general care","large"
4,"1",111,27,1,11,6,1.04440487238885,"general care","large"
4,"1",112,55,1,25,5,0.0234812434652409,"general care","large"
4,"1",113,51,0,20,6,1.04440487238885,"general care","large"
4,"1",114,24,1,14,5,0.0234812434652409,"general care","large"
4,"1",115,56,1,20,5,0.0234812434652409,"general care","large"
4,"1",116,31,1,17,5,0.0234812434652409,"general care","large"
4,"1",117,46,0,17,6,1.04440487238885,"general care","large"
4,"1",118,57,1,24,5,0.0234812434652409,"general care","large"
4,"1",119,42,1,18,5,0.0234812434652409,"general care","large"
4,"1",120,53,1,18,5,0.0234812434652409,"special care","large"
4,"1",121,48,1,22,5,0.0234812434652409,"special care","large"
4,"1",122,25,0,7,5,0.0234812434652409,"special care","large"
4,"1",123,37,1,13,4,-0.997442385458368,"special care","large"
4,"1",124,47,1,14,5,0.0234812434652409,"special care","large"
4,"1",125,29,1,7,5,0.0234812434652409,"special care","large"
4,"1",126,41,1,13,5,0.0234812434652409,"special care","large"
4,"1",127,31,1,18,4,-0.997442385458368,"special care","large"
4,"1",128,52,1,22,5,0.0234812434652409,"special care","large"
4,"1",129,36,1,20,3,-2.01836601438198,"special care","large"
4,"0",130,39,0,8,6,1.04440487238885,"general care","large"
4,"0",131,62,1,25,5,0.0234812434652409,"general care","large"
4,"0",132,42,0,13,6,1.04440487238885,"general care","large"
4,"0",133,51,1,24,6,1.04440487238885,"general care","large"
4,"0",134,29,1,13,5,0.0234812434652409,"general care","large"
4,"0",135,25,1,10,6,1.04440487238885,"general care","large"
4,"0",136,50,1,13,6,1.04440487238885,"general care","large"
4,"0",137,23,1,4,6,1.04440487238885,"general care","large"
4,"0",138,60,1,18,6,1.04440487238885,"general care","large"
4,"0",139,43,1,21,5,0.0234812434652409,"special care","large"
4,"0",140,43,1,13,6,1.04440487238885,"special care","large"
4,"0",141,27,1,13,5,0.0234812434652409,"special care","large"
4,"0",142,28,0,14,6,1.04440487238885,"special care","large"
4,"0",143,36,0,17,7,2.06532850131246,"special care","large"
4,"0",144,60,1,25,5,0.0234812434652409,"special care","large"
4,"0",145,64,1,25,5,0.0234812434652409,"special care","large"
4,"0",146,64,1,27,5,0.0234812434652409,"special care","large"
4,"0",147,61,1,25,6,1.04440487238885,"special care","large"
5,"1",148,27,0,11,5,0.0234812434652409,"general care","medium"
5,"1",149,32,1,7,6,1.04440487238885,"general care","medium"
5,"1",150,28,1,11,6,1.04440487238885,"general care","medium"
5,"1",151,64,1,24,6,1.04440487238885,"general care","medium"
5,"1",152,55,0,24,6,1.04440487238885,"general care","medium"
5,"1",153,46,1,14,6,1.04440487238885,"general care","medium"
5,"1",154,45,1,20,5,0.0234812434652409,"general care","medium"
5,"1",155,23,1,13,5,0.0234812434652409,"general care","medium"
5,"1",156,55,1,22,5,0.0234812434652409,"general care","medium"
5,"1",157,60,1,22,5,0.0234812434652409,"special care","medium"
5,"1",158,39,0,22,5,0.0234812434652409,"special care","medium"
5,"1",159,24,1,10,6,1.04440487238885,"special care","medium"
5,"1",160,61,1,22,6,1.04440487238885,"special care","medium"
5,"1",161,28,1,11,6,1.04440487238885,"special care","medium"
5,"1",162,34,1,15,5,0.0234812434652409,"special care","medium"
5,"1",163,34,0,7,6,1.04440487238885,"special care","medium"
5,"1",164,25,1,6,6,1.04440487238885,"special care","medium"
5,"1",165,39,0,14,6,1.04440487238885,"special care","medium"
5,"0",166,64,0,28,5,0.0234812434652409,"general care","medium"
5,"0",167,60,0,28,5,0.0234812434652409,"general care","medium"
5,"0",168,58,1,20,6,1.04440487238885,"general care","medium"
5,"0",169,58,1,24,5,0.0234812434652409,"general care","medium"
5,"0",170,32,1,14,6,1.04440487238885,"general care","medium"
5,"0",171,41,1,20,5,0.0234812434652409,"general care","medium"
5,"0",172,61,1,20,5,0.0234812434652409,"general care","medium"
5,"0",173,47,1,21,6,1.04440487238885,"general care","medium"
5,"0",174,60,1,28,6,1.04440487238885,"general care","medium"
5,"0",175,56,1,14,7,2.06532850131246,"special care","medium"
5,"0",176,47,1,18,5,0.0234812434652409,"special care","medium"
5,"0",177,31,1,8,5,0.0234812434652409,"special care","medium"
5,"0",178,47,1,20,6,1.04440487238885,"special care","medium"
5,"0",179,51,1,21,6,1.04440487238885,"special care","medium"
5,"0",180,61,1,20,5,0.0234812434652409,"special care","medium"
5,"0",181,50,0,24,5,0.0234812434652409,"special care","medium"
5,"0",182,37,1,10,5,0.0234812434652409,"special care","medium"
5,"0",183,23,1,14,4,-0.997442385458368,"special care","medium"
6,"1",184,56,1,24,4,-0.997442385458368,"general care","medium"
6,"1",185,45,1,13,5,0.0234812434652409,"general care","medium"
6,"1",186,23,0,11,4,-0.997442385458368,"general care","medium"
6,"1",187,48,1,11,4,-0.997442385458368,"general care","medium"
6,"1",188,46,1,17,4,-0.997442385458368,"general care","medium"
6,"1",189,64,1,28,4,-0.997442385458368,"general care","medium"
6,"1",190,47,1,21,4,-0.997442385458368,"general care","medium"
6,"1",191,56,1,24,5,0.0234812434652409,"general care","medium"
6,"1",192,51,0,13,5,0.0234812434652409,"general care","medium"
6,"1",193,28,1,8,4,-0.997442385458368,"special care","medium"
6,"1",194,61,1,27,3,-2.01836601438198,"special care","medium"
6,"1",195,41,1,17,4,-0.997442385458368,"special care","medium"
6,"1",196,37,0,17,4,-0.997442385458368,"special care","medium"
6,"1",197,25,1,8,3,-2.01836601438198,"special care","medium"
6,"1",198,25,1,11,3,-2.01836601438198,"special care","medium"
6,"1",199,50,1,15,4,-0.997442385458368,"special care","medium"
6,"1",200,64,1,24,3,-2.01836601438198,"special care","medium"
6,"1",201,38,0,11,4,-0.997442385458368,"special care","medium"
6,"0",202,39,1,11,6,1.04440487238885,"general care","medium"
6,"0",203,43,1,14,5,0.0234812434652409,"general care","medium"
6,"0",204,28,1,8,5,0.0234812434652409,"general care","medium"
6,"0",205,33,1,15,5,0.0234812434652409,"general care","medium"
6,"0",206,39,1,10,5,0.0234812434652409,"general care","medium"
6,"0",207,46,1,22,5,0.0234812434652409,"general care","medium"
6,"0",208,25,1,11,5,0.0234812434652409,"general care","medium"
6,"0",209,52,1,18,5,0.0234812434652409,"general care","medium"
6,"0",210,45,1,17,5,0.0234812434652409,"general care","medium"
6,"0",211,52,1,15,6,1.04440487238885,"special care","medium"
6,"0",212,33,0,4,6,1.04440487238885,"special care","medium"
6,"0",213,25,1,8,5,0.0234812434652409,"special care","medium"
6,"0",214,36,1,17,5,0.0234812434652409,"special care","medium"
6,"0",215,50,1,21,5,0.0234812434652409,"special care","medium"
6,"0",216,57,0,18,6,1.04440487238885,"special care","medium"
6,"0",217,43,1,20,5,0.0234812434652409,"special care","medium"
6,"0",218,53,1,21,5,0.0234812434652409,"special care","medium"
6,"0",219,62,1,20,5,0.0234812434652409,"special care","medium"
7,"1",220,60,1,27,4,-0.997442385458368,"general care","medium"
7,"1",221,62,1,22,5,0.0234812434652409,"general care","medium"
7,"1",222,33,1,4,5,0.0234812434652409,"general care","medium"
7,"1",223,33,1,20,5,0.0234812434652409,"general care","medium"
7,"1",224,27,1,13,4,-0.997442385458368,"general care","medium"
7,"1",225,61,1,28,4,-0.997442385458368,"general care","medium"
7,"1",226,23,1,15,4,-0.997442385458368,"general care","medium"
7,"1",227,38,1,21,5,0.0234812434652409,"general care","medium"
7,"1",228,64,1,33,4,-0.997442385458368,"general care","medium"
7,"1",229,64,0,32,4,-0.997442385458368,"general care","medium"
7,"1",230,57,1,18,5,0.0234812434652409,"special care","medium"
7,"1",231,25,1,4,5,0.0234812434652409,"special care","medium"
7,"1",232,56,1,27,5,0.0234812434652409,"special care","medium"
7,"1",233,43,0,21,5,0.0234812434652409,"special care","medium"
7,"1",234,45,1,20,5,0.0234812434652409,"special care","medium"
7,"1",235,23,1,6,4,-0.997442385458368,"special care","medium"
7,"1",236,46,1,15,5,0.0234812434652409,"special care","medium"
7,"1",237,37,1,20,4,-0.997442385458368,"special care","medium"
7,"1",238,31,0,14,5,0.0234812434652409,"special care","medium"
7,"1",239,29,1,7,5,0.0234812434652409,"special care","medium"
7,"0",240,37,0,13,5,0.0234812434652409,"general care","medium"
7,"0",241,61,0,25,5,0.0234812434652409,"general care","medium"
7,"0",242,43,1,20,5,0.0234812434652409,"general care","medium"
7,"0",243,39,1,17,4,-0.997442385458368,"general care","medium"
7,"0",244,29,1,13,5,0.0234812434652409,"general care","medium"
7,"0",245,52,1,20,5,0.0234812434652409,"general care","medium"
7,"0",246,58,0,28,5,0.0234812434652409,"general care","medium"
7,"0",247,34,0,15,5,0.0234812434652409,"general care","medium"
7,"0",248,57,1,29,5,0.0234812434652409,"general care","medium"
7,"0",249,37,1,8,5,0.0234812434652409,"general care","medium"
7,"0",250,56,1,20,5,0.0234812434652409,"special care","medium"
7,"0",251,32,0,8,5,0.0234812434652409,"special care","medium"
7,"0",252,29,1,13,4,-0.997442385458368,"special care","medium"
7,"0",253,29,0,10,5,0.0234812434652409,"special care","medium"
7,"0",254,32,1,13,4,-0.997442385458368,"special care","medium"
7,"0",255,25,1,11,5,0.0234812434652409,"special care","medium"
7,"0",256,36,1,18,5,0.0234812434652409,"special care","medium"
7,"0",257,45,1,14,4,-0.997442385458368,"special care","medium"
7,"0",258,58,1,17,5,0.0234812434652409,"special care","medium"
7,"0",259,52,0,25,5,0.0234812434652409,"special care","medium"
8,"1",260,42,1,15,6,1.04440487238885,"general care","medium"
8,"1",261,31,1,8,6,1.04440487238885,"general care","medium"
8,"1",262,37,1,17,5,0.0234812434652409,"general care","medium"
8,"1",263,47,1,25,4,-0.997442385458368,"general care","medium"
8,"1",264,31,1,6,6,1.04440487238885,"general care","medium"
8,"1",265,38,0,13,6,1.04440487238885,"general care","medium"
8,"1",266,58,1,22,6,1.04440487238885,"general care","medium"
8,"1",267,31,1,13,5,0.0234812434652409,"general care","medium"
8,"1",268,41,1,15,5,0.0234812434652409,"general care","medium"
8,"1",269,62,1,17,6,1.04440487238885,"general care","medium"
8,"1",270,62,1,32,5,0.0234812434652409,"special care","medium"
8,"1",271,24,1,13,5,0.0234812434652409,"special care","medium"
8,"1",272,28,1,13,5,0.0234812434652409,"special care","medium"
8,"1",273,58,1,20,5,0.0234812434652409,"special care","medium"
8,"1",274,56,1,24,5,0.0234812434652409,"special care","medium"
8,"1",275,50,1,21,4,-0.997442385458368,"special care","medium"
8,"1",276,51,1,13,6,1.04440487238885,"special care","medium"
8,"1",277,24,1,8,6,1.04440487238885,"special care","medium"
8,"1",278,28,1,11,5,0.0234812434652409,"special care","medium"
8,"1",279,43,1,14,5,0.0234812434652409,"special care","medium"
8,"0",280,45,1,14,5,0.0234812434652409,"general care","medium"
8,"0",281,61,1,27,5,0.0234812434652409,"general care","medium"
8,"0",282,45,0,17,6,1.04440487238885,"general care","medium"
8,"0",283,41,0,18,5,0.0234812434652409,"general care","medium"
8,"0",284,31,1,8,5,0.0234812434652409,"general care","medium"
8,"0",285,32,1,14,5,0.0234812434652409,"general care","medium"
8,"0",286,24,1,10,6,1.04440487238885,"general care","medium"
8,"0",287,57,1,24,4,-0.997442385458368,"general care","medium"
8,"0",288,41,0,14,5,0.0234812434652409,"general care","medium"
8,"0",289,58,0,15,7,2.06532850131246,"general care","medium"
8,"0",290,56,1,20,5,0.0234812434652409,"special care","medium"
8,"0",291,51,1,18,5,0.0234812434652409,"special care","medium"
8,"0",292,45,0,15,6,1.04440487238885,"special care","medium"
8,"0",293,32,0,13,5,0.0234812434652409,"special care","medium"
8,"0",294,55,1,25,5,0.0234812434652409,"special care","medium"
8,"0",295,53,1,21,5,0.0234812434652409,"special care","medium"
8,"0",296,41,1,13,6,1.04440487238885,"special care","medium"
8,"0",297,47,1,18,5,0.0234812434652409,"special care","medium"
8,"0",298,41,0,17,5,0.0234812434652409,"special care","medium"
8,"0",299,28,0,14,5,0.0234812434652409,"special care","medium"
9,"1",300,62,1,25,2,-3.03928964330558,"general care","small"
9,"1",301,34,1,13,2,-3.03928964330558,"general care","small"
9,"1",302,41,0,17,3,-2.01836601438198,"general care","small"
9,"1",303,31,0,14,3,-2.01836601438198,"general care","small"
9,"1",304,57,1,24,1,-4.06021327222919,"general care","small"
9,"1",305,60,0,24,3,-2.01836601438198,"general care","small"
9,"1",306,29,1,10,2,-3.03928964330558,"general care","small"
9,"1",307,46,1,14,3,-2.01836601438198,"general care","small"
9,"1",308,27,1,15,2,-3.03928964330558,"general care","small"
9,"1",309,50,1,17,3,-2.01836601438198,"general care","small"
9,"1",310,45,0,15,3,-2.01836601438198,"special care","small"
9,"1",311,34,1,10,3,-2.01836601438198,"special care","small"
9,"1",312,45,0,14,3,-2.01836601438198,"special care","small"
9,"1",313,39,0,14,3,-2.01836601438198,"special care","small"
9,"1",314,43,1,20,3,-2.01836601438198,"special care","small"
9,"1",315,28,1,14,3,-2.01836601438198,"special care","small"
9,"1",316,55,1,22,3,-2.01836601438198,"special care","small"
9,"1",317,32,1,4,3,-2.01836601438198,"special care","small"
9,"1",318,38,1,20,2,-3.03928964330558,"special care","small"
9,"1",319,36,1,10,3,-2.01836601438198,"special care","small"
9,"0",320,29,1,15,4,-0.997442385458368,"general care","small"
9,"0",321,48,1,18,5,0.0234812434652409,"general care","small"
9,"0",322,31,0,13,5,0.0234812434652409,"general care","small"
9,"0",323,37,1,15,4,-0.997442385458368,"general care","small"
9,"0",324,58,0,24,5,0.0234812434652409,"general care","small"
9,"0",325,31,1,17,4,-0.997442385458368,"general care","small"
9,"0",326,46,1,20,4,-0.997442385458368,"general care","small"
9,"0",327,60,1,20,5,0.0234812434652409,"general care","small"
9,"0",328,46,1,14,5,0.0234812434652409,"general care","small"
9,"0",329,57,0,22,5,0.0234812434652409,"general care","small"
9,"0",330,50,0,22,4,-0.997442385458368,"special care","small"
9,"0",331,64,0,25,5,0.0234812434652409,"special care","small"
9,"0",332,24,1,7,5,0.0234812434652409,"special care","small"
9,"0",333,37,1,17,5,0.0234812434652409,"special care","small"
9,"0",334,36,1,13,5,0.0234812434652409,"special care","small"
9,"0",335,58,1,20,4,-0.997442385458368,"special care","small"
9,"0",336,64,1,28,4,-0.997442385458368,"special care","small"
9,"0",337,34,1,17,4,-0.997442385458368,"special care","small"
9,"0",338,47,0,20,5,0.0234812434652409,"special care","small"
9,"0",339,43,1,20,4,-0.997442385458368,"special care","small"
10,"1",340,39,0,11,6,1.04440487238885,"general care","medium"
10,"1",341,43,1,14,5,0.0234812434652409,"general care","medium"
10,"1",342,27,0,11,6,1.04440487238885,"general care","medium"
10,"1",343,27,1,13,5,0.0234812434652409,"general care","medium"
10,"1",344,55,0,17,6,1.04440487238885,"general care","medium"
10,"1",345,61,0,24,5,0.0234812434652409,"general care","medium"
10,"1",346,37,0,18,6,1.04440487238885,"general care","medium"
10,"1",347,36,1,20,4,-0.997442385458368,"general care","medium"
10,"1",348,32,1,7,5,0.0234812434652409,"general care","medium"
10,"1",349,47,0,20,5,0.0234812434652409,"general care","medium"
10,"1",350,27,0,8,6,1.04440487238885,"special care","medium"
10,"1",351,42,0,21,5,0.0234812434652409,"special care","medium"
10,"1",352,55,1,22,6,1.04440487238885,"special care","medium"
10,"1",353,45,1,20,5,0.0234812434652409,"special care","medium"
10,"1",354,23,1,8,5,0.0234812434652409,"special care","medium"
10,"1",355,58,1,20,6,1.04440487238885,"special care","medium"
10,"1",356,60,1,21,5,0.0234812434652409,"special care","medium"
10,"1",357,58,1,20,5,0.0234812434652409,"special care","medium"
10,"1",358,33,1,17,5,0.0234812434652409,"special care","medium"
10,"1",359,50,1,15,5,0.0234812434652409,"special care","medium"
10,"0",360,47,1,20,6,1.04440487238885,"general care","medium"
10,"0",361,23,1,6,6,1.04440487238885,"general care","medium"
10,"0",362,53,1,24,6,1.04440487238885,"general care","medium"
10,"0",363,27,1,8,6,1.04440487238885,"general care","medium"
10,"0",364,53,1,20,6,1.04440487238885,"general care","medium"
10,"0",365,37,1,13,6,1.04440487238885,"general care","medium"
10,"0",366,53,1,17,7,2.06532850131246,"general care","medium"
10,"0",367,52,1,21,6,1.04440487238885,"general care","medium"
10,"0",368,39,1,11,6,1.04440487238885,"general care","medium"
10,"0",369,48,1,20,6,1.04440487238885,"general care","medium"
10,"0",370,64,1,22,6,1.04440487238885,"special care","medium"
10,"0",371,42,1,15,5,0.0234812434652409,"special care","medium"
10,"0",372,31,1,13,5,0.0234812434652409,"special care","medium"
10,"0",373,34,1,10,6,1.04440487238885,"special care","medium"
10,"0",374,41,1,17,5,0.0234812434652409,"special care","medium"
10,"0",375,47,1,22,5,0.0234812434652409,"special care","medium"
10,"0",376,48,1,14,6,1.04440487238885,"special care","medium"
10,"0",377,29,0,13,6,1.04440487238885,"special care","medium"
10,"0",378,51,1,20,5,0.0234812434652409,"special care","medium"
10,"0",379,48,0,21,6,1.04440487238885,"special care","medium"
11,"1",380,61,1,27,4,-0.997442385458368,"general care","medium"
11,"1",381,23,1,6,4,-0.997442385458368,"general care","medium"
11,"1",382,61,1,21,4,-0.997442385458368,"general care","medium"
11,"1",383,50,0,24,5,0.0234812434652409,"general care","medium"
11,"1",384,39,1,18,4,-0.997442385458368,"general care","medium"
11,"1",385,37,0,17,4,-0.997442385458368,"general care","medium"
11,"1",386,47,1,17,4,-0.997442385458368,"general care","medium"
11,"1",387,24,0,13,4,-0.997442385458368,"general care","medium"
11,"1",388,47,1,21,4,-0.997442385458368,"general care","medium"
11,"1",389,23,0,13,4,-0.997442385458368,"general care","medium"
11,"1",390,36,1,7,4,-0.997442385458368,"general care","medium"
11,"1",391,41,1,15,5,0.0234812434652409,"special care","medium"
11,"1",392,55,1,22,4,-0.997442385458368,"special care","medium"
11,"1",393,56,1,25,4,-0.997442385458368,"special care","medium"
11,"1",394,37,1,15,4,-0.997442385458368,"special care","medium"
11,"1",395,39,0,13,5,0.0234812434652409,"special care","medium"
11,"1",396,24,1,10,4,-0.997442385458368,"special care","medium"
11,"1",397,56,1,21,5,0.0234812434652409,"special care","medium"
11,"1",398,60,0,29,4,-0.997442385458368,"special care","medium"
11,"1",399,42,1,18,4,-0.997442385458368,"special care","medium"
11,"1",400,29,1,6,4,-0.997442385458368,"special care","medium"
11,"1",401,39,1,8,4,-0.997442385458368,"special care","medium"
11,"0",402,61,1,20,5,0.0234812434652409,"general care","medium"
11,"0",403,37,1,13,5,0.0234812434652409,"general care","medium"
11,"0",404,24,1,10,5,0.0234812434652409,"general care","medium"
11,"0",405,31,1,13,5,0.0234812434652409,"general care","medium"
11,"0",406,36,1,8,6,1.04440487238885,"general care","medium"
11,"0",407,47,1,22,5,0.0234812434652409,"general care","medium"
11,"0",408,64,1,18,5,0.0234812434652409,"general care","medium"
11,"0",409,47,0,25,5,0.0234812434652409,"general care","medium"
11,"0",410,31,1,10,4,-0.997442385458368,"general care","medium"
11,"0",411,55,1,20,5,0.0234812434652409,"general care","medium"
11,"0",412,34,1,13,5,0.0234812434652409,"special care","medium"
11,"0",413,29,1,14,5,0.0234812434652409,"special care","medium"
11,"0",414,42,1,20,5,0.0234812434652409,"special care","medium"
11,"0",415,42,0,17,5,0.0234812434652409,"special care","medium"
11,"0",416,56,1,22,6,1.04440487238885,"special care","medium"
11,"0",417,57,1,27,5,0.0234812434652409,"special care","medium"
11,"0",418,29,0,10,6,1.04440487238885,"special care","medium"
11,"0",419,33,1,10,6,1.04440487238885,"special care","medium"
11,"0",420,39,1,20,5,0.0234812434652409,"special care","medium"
11,"0",421,62,1,21,6,1.04440487238885,"special care","medium"
11,"0",422,60,1,22,6,1.04440487238885,"special care","medium"
12,"1",423,56,0,18,5,0.0234812434652409,"general care","medium"
12,"1",424,47,1,18,4,-0.997442385458368,"general care","medium"
12,"1",425,34,1,14,4,-0.997442385458368,"general care","medium"
12,"1",426,39,1,20,3,-2.01836601438198,"general care","medium"
12,"1",427,50,0,22,4,-0.997442385458368,"general care","medium"
12,"1",428,38,1,17,3,-2.01836601438198,"general care","medium"
12,"1",429,50,1,21,3,-2.01836601438198,"general care","medium"
12,"1",430,25,1,10,4,-0.997442385458368,"general care","medium"
12,"1",431,34,1,14,4,-0.997442385458368,"general care","medium"
12,"1",432,39,1,20,4,-0.997442385458368,"general care","medium"
12,"1",433,42,1,20,4,-0.997442385458368,"general care","medium"
12,"1",434,42,1,17,4,-0.997442385458368,"general care","medium"
12,"1",435,39,1,13,4,-0.997442385458368,"special care","medium"
12,"1",436,56,1,21,4,-0.997442385458368,"special care","medium"
12,"1",437,56,0,25,5,0.0234812434652409,"special care","medium"
12,"1",438,31,0,11,5,0.0234812434652409,"special care","medium"
12,"1",439,58,0,21,5,0.0234812434652409,"special care","medium"
12,"1",440,43,1,20,4,-0.997442385458368,"special care","medium"
12,"1",441,58,1,28,4,-0.997442385458368,"special care","medium"
12,"1",442,37,0,14,5,0.0234812434652409,"special care","medium"
12,"1",443,25,1,7,5,0.0234812434652409,"special care","medium"
