pid,name,condition,credibility
ppt_51,Shujaa,text+brain,69.05308906006924
ppt_52,Molly,text+brain,60.36908813185183
ppt_53,Kamron,text+brain,62.47441025113519
ppt_54,Isiah,text+brain,65.43178357047421
ppt_55,Valeria,text+brain,59.45486413698663
ppt_56,Brian,text+brain,57.615449606403665
ppt_57,Lolette,text+brain,56.990269038729686
ppt_58,Sandra,text+brain,66.30642270521989
ppt_59,Jeritt,text+brain,60.76748282397091
ppt_60,Miguel,text+brain,70.4532424219265
ppt_61,Mason,text+brain,88.32232806179485
ppt_62,Josiah,text+brain,60.65530567648378
ppt_63,Daerius,text+brain,64.2013932658849
ppt_64,Dominique,text+brain,51.40285622541554
ppt_65,Ashley,text+brain,54.410306714948625
ppt_66,Refugio,text+brain,74.85260616922788
ppt_67,Brendan,text+brain,71.02741534303507
ppt_68,Mark,text+brain,67.5461553406605
ppt_69,Sameeha,text+brain,64.54846971120968
ppt_70,Jahmell,text+brain,51.15765961594741
ppt_71,Spencer,text+brain,59.64219101888804
ppt_72,Ghaalib,text+brain,77.48025057107137
ppt_73,Nikolas,text+brain,54.74870238000821
ppt_74,Jordan,text+brain,72.3376992388136
ppt_75,Perla,text+brain,55.43686955012963
ppt_76,Mikell,text+brain,56.726371288663344
ppt_77,Rafael,text+brain,58.07901452231004
ppt_78,Madeeha,text+brain,72.68226860572815
ppt_79,Rasheeda,text+brain,55.49899534026148
ppt_80,Daulton,text+brain,60.628929919953464
ppt_81,Jasper,text+brain+graph,72.8836509202019
ppt_82,Thaine,text+brain+graph,68.2897303302968
ppt_83,Dominique,text+brain+graph,68.04626095594675
ppt_84,Mitchell,text+brain+graph,74.81355947018747
ppt_85,Sabrina,text+brain+graph,56.23216396326729
ppt_86,Richard,text+brain+graph,51.495671541666034
ppt_87,Mu'mina,text+brain+graph,56.97211075906873
ppt_88,Amanda,text+brain+graph,62.44113978767992
ppt_89,Jonathan,text+brain+graph,67.78656330081789
ppt_90,Daisy,text+brain+graph,59.299602410118595
ppt_91,Kevin,text+brain+graph,63.288870644990155
ppt_92,De'Von,text+brain+graph,71.33012813329731
ppt_93,Fahmi,text+brain+graph,60.03779440967102
ppt_94,Emily,text+brain+graph,69.80530101537781
ppt_95,Waatiq,text+brain+graph,58.309979644990946
ppt_96,Anthony,text+brain+graph,55.522572322472456
ppt_97,Joshua,text+brain+graph,91.659807970549707
ppt_98,Hamdaan,text+brain+graph,59.83823029086711
ppt_99,Ariel,text+brain+graph,65.53843389409717
ppt_100,Aaron,text+brain+graph,65.60397480349867
ppt_101,Asien,text+brain+graph,64.415612232941
ppt_102,Brent,text+brain+graph,64.57525667124344
ppt_103,Haasini,text+brain+graph,64.00709491956717
ppt_104,Andrew,text+brain+graph,63.9256246841097
ppt_105,Rafeeqa,text+brain+graph,75.32950615045328
ppt_106,Renee,text+brain+graph,55.70796855198789
ppt_107,Andrew,text+brain+graph,68.258425329128
ppt_108,Jessica,text+brain+graph,60.25787154290829
ppt_109,Drew,text+brain+graph,74.35340502524485
ppt_110,Pkoe,text+brain+graph,45.656341682582905
ppt_111,Jordan,text+brain+graph,81.4149584108212
ppt_112,Alexis,text+brain+graph,61.568577610896895
ppt_113,Alexander,text+brain+graph,54.152601283994585
ppt_114,Mastoora,text+brain+graph,75.13026622337475
ppt_115,Levi,text+brain+graph,58.3568127683855
ppt_116,Chia-Lo,text+brain+graph,72.63514239992955
ppt_117,Destinee,text+brain+graph,76.53831060259448
ppt_118,Kylie,text+brain+graph,55.35713867668575
ppt_119,Nebiyu,text+brain+graph,61.01058229971045
ppt_120,Heli,text+brain+graph,60.18732070986608
