PID,trial_n,audio,headphones,SDMT
PPT_16,Trial_12,music,anc_headphones,22
PPT_29,Trial_07,no_audio,anc_headphones,49
PPT_19,Trial_13,no_audio,anc_headphones,23
PPT_29,Trial_02,no_audio,anc_headphones,49
PPT_28,Trial_09,white_noise,anc_headphones,26
PPT_28,Trial_11,music,anc_headphones,39
PPT_04,Trial_10,no_audio,speakers,27
PPT_05,Trial_05,no_audio,speakers,56
PPT_21,Trial_14,white_noise,anc_headphones,42
PPT_02,Trial_02,music,speakers,40
PPT_11,Trial_12,no_audio,speakers,44
PPT_04,Trial_02,white_noise,speakers,9
PPT_25,Trial_03,white_noise,anc_headphones,28
PPT_18,Trial_05,no_audio,anc_headphones,54
PPT_01,Trial_04,music,speakers,38
PPT_01,Trial_02,no_audio,speakers,30
PPT_17,Trial_11,white_noise,anc_headphones,25
PPT_14,Trial_01,music,speakers,42
PPT_27,Trial_03,music,anc_headphones,32
PPT_06,Trial_03,white_noise,speakers,15
PPT_20,Trial_05,white_noise,anc_headphones,35
PPT_17,Trial_14,no_audio,anc_headphones,58
PPT_09,Trial_05,no_audio,speakers,41
PPT_23,Trial_09,no_audio,anc_headphones,33
PPT_20,Trial_08,white_noise,anc_headphones,24
PPT_25,Trial_13,white_noise,anc_headphones,31
PPT_26,Trial_06,music,anc_headphones,46
PPT_03,Trial_15,no_audio,speakers,35
PPT_24,Trial_07,music,anc_headphones,33
PPT_17,Trial_13,no_audio,anc_headphones,43
PPT_08,Trial_12,white_noise,speakers,36
PPT_12,Trial_06,white_noise,speakers,42
PPT_15,Trial_15,white_noise,speakers,45
PPT_16,Trial_08,no_audio,anc_headphones,31
PPT_13,Trial_11,no_audio,speakers,32
PPT_15,Trial_09,music,speakers,41
PPT_21,Trial_03,white_noise,anc_headphones,28
PPT_16,Trial_02,no_audio,anc_headphones,30
PPT_11,Trial_05,white_noise,speakers,32
PPT_29,Trial_06,music,anc_headphones,36
PPT_08,Trial_14,white_noise,speakers,34
PPT_21,Trial_01,no_audio,anc_headphones,61
PPT_08,Trial_15,no_audio,speakers,55
PPT_11,Trial_08,music,speakers,42
PPT_30,Trial_02,no_audio,anc_headphones,53
PPT_16,Trial_01,music,anc_headphones,24
PPT_26,Trial_11,no_audio,anc_headphones,51
PPT_16,Trial_14,music,anc_headphones,19
PPT_24,Trial_12,music,anc_headphones,29
PPT_01,Trial_01,no_audio,speakers,36
PPT_13,Trial_05,music,speakers,29
PPT_22,Trial_05,no_audio,anc_headphones,16
PPT_20,Trial_03,no_audio,anc_headphones,40
PPT_24,Trial_11,white_noise,anc_headphones,20
PPT_05,Trial_04,music,speakers,35
PPT_14,Trial_14,music,speakers,41
PPT_24,Trial_09,white_noise,anc_headphones,27
PPT_29,Trial_13,music,anc_headphones,28
PPT_24,Trial_13,no_audio,anc_headphones,47
PPT_03,Trial_14,no_audio,speakers,24
PPT_04,Trial_04,no_audio,speakers,35
PPT_09,Trial_10,white_noise,speakers,30
PPT_08,Trial_10,no_audio,speakers,37
PPT_05,Trial_07,no_audio,speakers,47
PPT_11,Trial_06,music,speakers,46
PPT_21,Trial_09,no_audio,anc_headphones,59
PPT_27,Trial_01,white_noise,anc_headphones,11
PPT_08,Trial_07,no_audio,speakers,53
PPT_20,Trial_14,white_noise,anc_headphones,33
PPT_16,Trial_11,white_noise,anc_headphones,11
PPT_25,Trial_08,music,anc_headphones,41
PPT_26,Trial_15,no_audio,anc_headphones,56
PPT_22,Trial_07,white_noise,anc_headphones,14
PPT_01,Trial_10,white_noise,speakers,30
PPT_28,Trial_13,no_audio,anc_headphones,47
PPT_08,Trial_11,white_noise,speakers,34
PPT_10,Trial_15,music,speakers,27
PPT_08,Trial_06,music,speakers,43
PPT_01,Trial_03,music,speakers,33
PPT_19,Trial_07,white_noise,anc_headphones,9
PPT_09,Trial_01,no_audio,speakers,41
PPT_07,Trial_02,white_noise,speakers,15
PPT_10,Trial_07,no_audio,speakers,35
PPT_03,Trial_03,music,speakers,36
PPT_17,Trial_09,white_noise,anc_headphones,37
PPT_18,Trial_10,no_audio,anc_headphones,36
PPT_15,Trial_14,no_audio,speakers,49
PPT_30,Trial_10,no_audio,anc_headphones,48
PPT_22,Trial_06,white_noise,anc_headphones,11
PPT_04,Trial_07,no_audio,speakers,36
PPT_13,Trial_08,no_audio,speakers,42
PPT_14,Trial_09,no_audio,speakers,38
PPT_15,Trial_13,white_noise,speakers,36
PPT_15,Trial_07,music,speakers,42
PPT_08,Trial_01,music,speakers,32
PPT_10,Trial_04,no_audio,speakers,20
PPT_30,Trial_01,music,anc_headphones,41
PPT_25,Trial_11,no_audio,anc_headphones,51
PPT_26,Trial_13,white_noise,anc_headphones,16
PPT_22,Trial_04,music,anc_headphones,34
PPT_19,Trial_15,white_noise,anc_headphones,22
PPT_24,Trial_03,music,anc_headphones,30
PPT_07,Trial_06,music,speakers,18
PPT_10,Trial_13,no_audio,speakers,27
PPT_03,Trial_10,music,speakers,22
PPT_01,Trial_08,white_noise,speakers,33
PPT_21,Trial_12,no_audio,anc_headphones,56
PPT_25,Trial_02,no_audio,anc_headphones,37
PPT_27,Trial_10,no_audio,anc_headphones,34
PPT_15,Trial_10,music,speakers,36
PPT_28,Trial_08,music,anc_headphones,41
PPT_10,Trial_09,white_noise,speakers,8
PPT_29,Trial_01,white_noise,anc_headphones,24
PPT_14,Trial_11,white_noise,speakers,47
PPT_23,Trial_05,music,anc_headphones,35
PPT_12,Trial_11,music,speakers,47
PPT_23,Trial_01,white_noise,anc_headphones,24
PPT_30,Trial_11,white_noise,anc_headphones,29
PPT_12,Trial_10,no_audio,speakers,29
PPT_20,Trial_06,white_noise,anc_headphones,33
PPT_14,Trial_02,music,speakers,33
PPT_01,Trial_07,no_audio,speakers,41
PPT_19,Trial_06,music,anc_headphones,17
PPT_20,Trial_04,no_audio,anc_headphones,52
PPT_24,Trial_04,no_audio,anc_headphones,39
PPT_18,Trial_12,music,anc_headphones,41
PPT_07,Trial_10,no_audio,speakers,25
PPT_06,Trial_07,music,speakers,27
PPT_14,Trial_12,white_noise,speakers,49
PPT_13,Trial_15,music,speakers,28
PPT_16,Trial_15,music,anc_headphones,23
PPT_06,Trial_11,no_audio,speakers,32
PPT_29,Trial_12,white_noise,anc_headphones,29
PPT_02,Trial_03,white_noise,speakers,41
PPT_24,Trial_05,white_noise,anc_headphones,26
PPT_11,Trial_09,music,speakers,51
PPT_28,Trial_04,no_audio,anc_headphones,55
PPT_18,Trial_03,white_noise,anc_headphones,36
PPT_17,Trial_15,music,anc_headphones,41
PPT_13,Trial_06,white_noise,speakers,30
PPT_10,Trial_08,no_audio,speakers,31
PPT_16,Trial_13,no_audio,anc_headphones,31
PPT_09,Trial_15,white_noise,speakers,33
PPT_04,Trial_05,music,speakers,37
PPT_15,Trial_03,white_noise,speakers,39
PPT_01,Trial_06,no_audio,speakers,38
PPT_15,Trial_12,white_noise,speakers,31
PPT_10,Trial_12,music,speakers,16
PPT_16,Trial_04,white_noise,anc_headphones,0
PPT_05,Trial_06,white_noise,speakers,38
PPT_08,Trial_09,music,speakers,56
PPT_11,Trial_10,no_audio,speakers,48
PPT_01,Trial_13,music,speakers,49
PPT_23,Trial_08,no_audio,anc_headphones,40
PPT_14,Trial_03,white_noise,speakers,43
PPT_24,Trial_10,no_audio,anc_headphones,51
PPT_05,Trial_10,music,speakers,33
PPT_08,Trial_13,music,speakers,38
PPT_25,Trial_05,white_noise,anc_headphones,34
PPT_20,Trial_13,music,anc_headphones,35
PPT_02,Trial_06,no_audio,speakers,42
PPT_07,Trial_12,white_noise,speakers,9
PPT_08,Trial_02,music,speakers,35
PPT_30,Trial_08,white_noise,anc_headphones,38
PPT_09,Trial_13,music,speakers,30
PPT_22,Trial_15,music,anc_headphones,35
PPT_02,Trial_01,music,speakers,39
PPT_19,Trial_12,no_audio,anc_headphones,33
PPT_05,Trial_12,white_noise,speakers,47
PPT_05,Trial_08,music,speakers,41
PPT_21,Trial_04,no_audio,anc_headphones,50
PPT_26,Trial_14,no_audio,anc_headphones,49
PPT_12,Trial_13,no_audio,speakers,53
PPT_09,Trial_03,music,speakers,34
PPT_28,Trial_10,no_audio,anc_headphones,61
PPT_07,Trial_07,no_audio,speakers,19
PPT_26,Trial_01,white_noise,anc_headphones,27
PPT_04,Trial_12,music,speakers,29
PPT_28,Trial_05,music,anc_headphones,42
PPT_05,Trial_13,white_noise,speakers,46
PPT_01,Trial_09,white_noise,speakers,37
PPT_14,Trial_15,no_audio,speakers,48
PPT_12,Trial_14,no_audio,speakers,38
PPT_27,Trial_11,white_noise,anc_headphones,12
PPT_10,Trial_03,music,speakers,38
PPT_04,Trial_11,white_noise,speakers,20
PPT_19,Trial_05,no_audio,anc_headphones,34
PPT_28,Trial_03,white_noise,anc_headphones,26
PPT_25,Trial_01,no_audio,anc_headphones,31
PPT_18,Trial_11,music,anc_headphones,41
PPT_13,Trial_03,no_audio,speakers,34
PPT_12,Trial_12,white_noise,speakers,54
PPT_07,Trial_09,music,speakers,22
PPT_17,Trial_02,white_noise,anc_headphones,38
PPT_19,Trial_10,music,anc_headphones,23
PPT_12,Trial_03,white_noise,speakers,37
PPT_26,Trial_02,no_audio,anc_headphones,53
PPT_13,Trial_01,white_noise,speakers,31
PPT_28,Trial_06,white_noise,anc_headphones,27
PPT_06,Trial_13,music,speakers,26
PPT_22,Trial_01,no_audio,anc_headphones,50
PPT_22,Trial_10,white_noise,anc_headphones,9
PPT_11,Trial_07,no_audio,speakers,43
PPT_28,Trial_15,no_audio,anc_headphones,59
PPT_26,Trial_08,music,anc_headphones,50
PPT_09,Trial_08,white_noise,speakers,34
PPT_04,Trial_03,music,speakers,30
PPT_15,Trial_08,music,speakers,33
PPT_12,Trial_01,music,speakers,38
PPT_28,Trial_07,music,anc_headphones,61
PPT_25,Trial_07,white_noise,anc_headphones,30
PPT_01,Trial_11,white_noise,speakers,34
PPT_20,Trial_09,music,anc_headphones,35
PPT_03,Trial_04,white_noise,speakers,29
PPT_27,Trial_08,music,anc_headphones,31
PPT_21,Trial_06,white_noise,anc_headphones,39
PPT_06,Trial_06,music,speakers,32
PPT_24,Trial_15,white_noise,anc_headphones,21
PPT_11,Trial_03,no_audio,speakers,39
PPT_30,Trial_14,no_audio,anc_headphones,50
PPT_22,Trial_14,no_audio,anc_headphones,37
PPT_25,Trial_06,white_noise,anc_headphones,31
PPT_04,Trial_06,no_audio,speakers,30
PPT_03,Trial_02,music,speakers,33
PPT_19,Trial_04,no_audio,anc_headphones,32
PPT_10,Trial_14,white_noise,speakers,19
PPT_21,Trial_02,music,anc_headphones,45
PPT_23,Trial_06,white_noise,anc_headphones,12
PPT_07,Trial_08,white_noise,speakers,16
PPT_13,Trial_13,music,speakers,36
PPT_19,Trial_11,white_noise,anc_headphones,24
PPT_07,Trial_01,white_noise,speakers,5
PPT_25,Trial_04,music,anc_headphones,44
PPT_13,Trial_02,white_noise,speakers,34
PPT_03,Trial_11,white_noise,speakers,20
PPT_29,Trial_09,white_noise,anc_headphones,21
PPT_14,Trial_04,music,speakers,43
PPT_18,Trial_02,white_noise,anc_headphones,32
PPT_07,Trial_04,music,speakers,20
PPT_18,Trial_14,white_noise,anc_headphones,28
PPT_09,Trial_09,no_audio,speakers,40
PPT_13,Trial_10,no_audio,speakers,37
PPT_24,Trial_06,white_noise,anc_headphones,18
PPT_18,Trial_15,white_noise,anc_headphones,20
PPT_01,Trial_05,no_audio,speakers,35
PPT_09,Trial_07,music,speakers,27
PPT_08,Trial_03,white_noise,speakers,35
PPT_13,Trial_09,no_audio,speakers,38
PPT_27,Trial_04,white_noise,anc_headphones,11
PPT_11,Trial_01,music,speakers,37
PPT_14,Trial_08,white_noise,speakers,45
PPT_02,Trial_15,no_audio,speakers,49
PPT_19,Trial_02,white_noise,anc_headphones,9
PPT_21,Trial_13,white_noise,anc_headphones,34
PPT_06,Trial_14,music,speakers,30
PPT_20,Trial_11,no_audio,anc_headphones,46
PPT_02,Trial_11,white_noise,speakers,43
PPT_17,Trial_08,music,anc_headphones,35
PPT_20,Trial_02,music,anc_headphones,28
PPT_09,Trial_12,music,speakers,41
PPT_07,Trial_11,music,speakers,25
PPT_19,Trial_08,no_audio,anc_headphones,39
PPT_09,Trial_02,white_noise,speakers,28
PPT_05,Trial_11,music,speakers,39
PPT_07,Trial_13,music,speakers,23
PPT_10,Trial_02,music,speakers,6
PPT_22,Trial_02,white_noise,anc_headphones,13
PPT_22,Trial_12,music,anc_headphones,56
PPT_23,Trial_02,music,anc_headphones,36
PPT_06,Trial_05,no_audio,speakers,35
PPT_10,Trial_11,white_noise,speakers,17
PPT_17,Trial_06,no_audio,anc_headphones,48
PPT_30,Trial_05,white_noise,anc_headphones,36
PPT_10,Trial_01,white_noise,speakers,8
PPT_24,Trial_01,no_audio,anc_headphones,47
PPT_17,Trial_10,white_noise,anc_headphones,30
PPT_05,Trial_09,no_audio,speakers,53
PPT_14,Trial_10,music,speakers,36
PPT_02,Trial_14,music,speakers,55
PPT_29,Trial_05,white_noise,anc_headphones,28
PPT_16,Trial_07,music,anc_headphones,30
PPT_26,Trial_03,music,anc_headphones,37
PPT_04,Trial_14,white_noise,speakers,24
PPT_16,Trial_10,no_audio,anc_headphones,38
PPT_27,Trial_06,no_audio,anc_headphones,32
PPT_07,Trial_03,no_audio,speakers,20
PPT_09,Trial_06,no_audio,speakers,48
PPT_15,Trial_04,no_audio,speakers,46
PPT_20,Trial_07,music,anc_headphones,47
PPT_21,Trial_15,music,anc_headphones,46
PPT_22,Trial_08,music,anc_headphones,32
PPT_27,Trial_09,no_audio,anc_headphones,45
PPT_16,Trial_03,white_noise,anc_headphones,0
PPT_18,Trial_09,no_audio,anc_headphones,52
PPT_08,Trial_05,no_audio,speakers,44
