"child_id","school_id","BNT60","schoolyear","mlhome"
"ID23","SC2",27,4,"0"
"ID23","SC2",40,5,"0"
"ID24","SC2",10,1,"0"
"ID24","SC2",13,2,"0"
"ID24","SC2",19,3,"0"
"ID24","SC2",23,4,"0"
"ID24","SC2",25,5,"0"
"ID25","SC2",17,1,"0"
"ID25","SC2",16,2,"0"
"ID25","SC2",30,3,"0"
"ID25","SC2",37,4,"0"
"ID25","SC2",45,5,"0"
"ID26","SC2",14,1,"0"
"ID26","SC2",19,2,"0"
"ID26","SC2",30,3,"0"
"ID26","SC2",37,4,"0"
"ID26","SC2",50,5,"0"
"ID31","SC3",13,1,"1"
"ID31","SC3",12,2,"1"
"ID31","SC3",14,3,"1"
"ID31","SC3",24,4,"1"
"ID31","SC3",21,5,"1"
"ID32","SC3",6,1,"1"
"ID32","SC3",4,2,"1"
"ID32","SC3",2,3,"1"
"ID32","SC3",10,4,"1"
"ID32","SC3",6,5,"1"
"ID33","SC3",9,1,"1"
"ID33","SC3",6,2,"1"
"ID33","SC3",6,3,"1"
"ID33","SC3",8,4,"1"
"ID33","SC3",10,5,"1"
"ID34","SC3",14,1,"1"
"ID34","SC3",22,2,"1"
"ID34","SC3",30,3,"1"
"ID34","SC3",37,4,"1"
"ID34","SC3",51,5,"1"
"ID35","SC3",3,1,"1"
"ID35","SC3",9,2,"1"
"ID35","SC3",11,3,"1"
"ID35","SC3",12,4,"1"
"ID35","SC3",19,5,"1"
"ID36","SC3",8,1,"1"
"ID36","SC3",10,2,"1"
"ID36","SC3",23,3,"1"
"ID36","SC3",19,4,"1"
"ID36","SC3",23,5,"1"
"ID37","SC3",9,1,"1"
"ID37","SC3",15,2,"1"
"ID37","SC3",23,3,"1"
"ID37","SC3",20,4,"1"
"ID37","SC3",25,5,"1"
"ID41","SC4",16,1,"0"
"ID41","SC4",24,2,"0"
"ID41","SC4",35,3,"0"
"ID41","SC4",48,4,"0"
"ID41","SC4",60,5,"0"
"ID42","SC4",9,1,"0"
"ID42","SC4",12,2,"0"
"ID42","SC4",16,3,"0"
"ID42","SC4",23,4,"0"
"ID42","SC4",28,5,"0"
"ID43","SC4",21,1,"0"
"ID43","SC4",31,2,"0"
"ID43","SC4",31,3,"0"
"ID43","SC4",45,4,"0"
"ID43","SC4",51,5,"0"
"ID44","SC4",8,1,"0"
"ID44","SC4",11,2,"0"
"ID44","SC4",14,3,"0"
"ID44","SC4",17,4,"0"
"ID44","SC4",22,5,"0"
"ID45","SC4",7,1,"0"
"ID45","SC4",11,2,"0"
"ID45","SC4",19,3,"0"
"ID45","SC4",21,4,"0"
"ID45","SC4",28,5,"0"
"ID46","SC4",14,1,"0"
"ID46","SC4",24,2,"0"
"ID46","SC4",23,3,"0"
"ID46","SC4",26,4,"0"
"ID46","SC4",42,5,"0"
"ID47","SC4",13,1,"0"
"ID47","SC4",26,2,"0"
"ID47","SC4",31,3,"0"
"ID47","SC4",46,4,"0"
"ID47","SC4",50,5,"0"
"ID48","SC4",11,1,"0"
"ID48","SC4",12,2,"0"
"ID48","SC4",20,3,"0"
"ID48","SC4",18,4,"0"
"ID48","SC4",27,5,"0"
"ID51","SC5",8,1,"1"
"ID51","SC5",19,2,"1"
"ID51","SC5",17,3,"1"
"ID51","SC5",21,4,"1"
"ID51","SC5",17,5,"1"
"ID52","SC5",13,1,"1"
"ID52","SC5",12,2,"1"
"ID52","SC5",13,3,"1"
"ID52","SC5",17,4,"1"
"ID52","SC5",18,5,"1"
"ID53","SC5",17,1,"1"
"ID53","SC5",18,2,"1"
"ID53","SC5",28,3,"1"
"ID53","SC5",37,4,"1"
"ID53","SC5",49,5,"1"
"ID54","SC5",9,1,"1"
"ID54","SC5",13,2,"1"
"ID54","SC5",4,3,"1"
"ID54","SC5",0,4,"1"
"ID54","SC5",2,5,"1"
"ID55","SC5",11,1,"1"
"ID55","SC5",11,2,"1"
"ID55","SC5",14,3,"1"
"ID55","SC5",22,4,"1"
"ID55","SC5",23,5,"1"
"ID56","SC5",14,1,"1"
"ID56","SC5",21,2,"1"
"ID56","SC5",23,3,"1"
"ID56","SC5",39,4,"1"
"ID56","SC5",41,5,"1"
"ID57","SC5",17,1,"1"
"ID57","SC5",16,2,"1"
"ID57","SC5",19,3,"1"
"ID57","SC5",26,4,"1"
"ID57","SC5",30,5,"1"
"ID58","SC5",16,1,"1"
"ID58","SC5",24,2,"1"
"ID58","SC5",33,3,"1"
"ID58","SC5",44,4,"1"
"ID58","SC5",49,5,"1"
"ID61","SC6",12,1,"0"
"ID61","SC6",14,2,"0"
"ID61","SC6",29,3,"0"
"ID61","SC6",39,4,"0"
"ID61","SC6",36,5,"0"
"ID62","SC6",12,1,"0"
"ID62","SC6",18,2,"0"
"ID62","SC6",31,3,"0"
"ID62","SC6",46,4,"0"
"ID62","SC6",51,5,"0"
"ID63","SC6",5,1,"0"
"ID63","SC6",12,2,"0"
"ID63","SC6",12,3,"0"
"ID63","SC6",21,4,"0"
"ID63","SC6",21,5,"0"
"ID64","SC6",16,1,"0"
"ID64","SC6",15,2,"0"
"ID64","SC6",30,3,"0"
"ID64","SC6",28,4,"0"
"ID64","SC6",36,5,"0"
"ID65","SC6",8,1,"0"
"ID65","SC6",13,2,"0"
"ID65","SC6",20,3,"0"
"ID65","SC6",28,4,"0"
"ID65","SC6",38,5,"0"
"ID66","SC6",7,1,"0"
"ID66","SC6",3,2,"0"
"ID66","SC6",9,3,"0"
"ID66","SC6",14,4,"0"
"ID66","SC6",9,5,"0"
"ID71","SC7",11,1,"1"
"ID71","SC7",21,2,"1"
"ID71","SC7",34,3,"1"
"ID71","SC7",40,4,"1"
"ID71","SC7",44,5,"1"
"ID72","SC7",13,1,"1"
"ID72","SC7",22,2,"1"
"ID72","SC7",24,3,"1"
"ID72","SC7",34,4,"1"
"ID72","SC7",42,5,"1"
"ID73","SC7",12,1,"1"
"ID73","SC7",22,2,"1"
"ID73","SC7",30,3,"1"
"ID73","SC7",35,4,"1"
"ID73","SC7",46,5,"1"
"ID74","SC7",9,1,"1"
"ID74","SC7",23,2,"1"
"ID74","SC7",26,3,"1"
"ID74","SC7",35,4,"1"
"ID74","SC7",43,5,"1"
"ID75","SC7",6,1,"1"
"ID75","SC7",8,2,"1"
"ID75","SC7",6,3,"1"
"ID75","SC7",21,4,"1"
"ID75","SC7",19,5,"1"
"ID76","SC7",15,1,"1"
"ID76","SC7",17,2,"1"
"ID76","SC7",27,3,"1"
"ID76","SC7",34,4,"1"
"ID76","SC7",43,5,"1"
"ID77","SC7",6,1,"1"
"ID77","SC7",19,2,"1"
"ID77","SC7",18,3,"1"
"ID77","SC7",27,4,"1"
"ID77","SC7",28,5,"1"
"ID78","SC7",14,1,"1"
"ID78","SC7",13,2,"1"
"ID78","SC7",30,3,"1"
"ID78","SC7",29,4,"1"
"ID78","SC7",35,5,"1"
"ID79","SC7",12,1,"1"
"ID79","SC7",20,2,"1"
"ID79","SC7",31,3,"1"
"ID79","SC7",39,4,"1"
"ID79","SC7",46,5,"1"
"ID81","SC8",8,1,"0"
"ID81","SC8",15,2,"0"
"ID81","SC8",17,3,"0"
"ID81","SC8",25,4,"0"
"ID81","SC8",30,5,"0"
"ID82","SC8",15,1,"0"
"ID82","SC8",31,2,"0"
"ID82","SC8",34,3,"0"
"ID82","SC8",42,4,"0"
"ID82","SC8",54,5,"0"
"ID83","SC8",17,1,"0"
"ID83","SC8",25,2,"0"
"ID83","SC8",25,3,"0"
"ID83","SC8",42,4,"0"
"ID83","SC8",45,5,"0"
"ID84","SC8",5,1,"0"
"ID84","SC8",13,2,"0"
"ID84","SC8",15,3,"0"
"ID84","SC8",14,4,"0"
"ID84","SC8",19,5,"0"
"ID85","SC8",13,1,"0"
"ID85","SC8",18,2,"0"
"ID85","SC8",20,3,"0"
"ID85","SC8",29,4,"0"
"ID85","SC8",34,5,"0"
"ID86","SC8",13,1,"0"
"ID86","SC8",16,2,"0"
"ID86","SC8",24,3,"0"
"ID86","SC8",36,4,"0"
"ID86","SC8",40,5,"0"
"ID87","SC8",9,1,"0"
"ID87","SC8",23,2,"0"
"ID87","SC8",20,3,"0"
"ID87","SC8",30,4,"0"
"ID87","SC8",38,5,"0"
"ID91","SC9",7,1,"1"
"ID91","SC9",7,2,"1"
"ID91","SC9",10,3,"1"
"ID91","SC9",11,4,"1"
"ID91","SC9",9,5,"1"
"ID92","SC9",4,1,"1"
"ID92","SC9",4,2,"1"
"ID92","SC9",8,3,"1"
"ID92","SC9",6,4,"1"
"ID92","SC9",7,5,"1"
"ID93","SC9",8,1,"1"
"ID93","SC9",11,2,"1"
"ID93","SC9",12,3,"1"
"ID93","SC9",10,4,"1"
"ID93","SC9",14,5,"1"
"ID94","SC9",14,1,"1"
"ID94","SC9",10,2,"1"
"ID94","SC9",14,3,"1"
"ID94","SC9",8,4,"1"
"ID94","SC9",1,5,"1"
"ID95","SC9",10,1,"1"
"ID95","SC9",12,2,"1"
"ID95","SC9",9,3,"1"
"ID95","SC9",6,4,"1"
"ID95","SC9",10,5,"1"
"ID101","SC10",16,1,"0"
"ID101","SC10",26,2,"0"
"ID101","SC10",28,3,"0"
"ID101","SC10",36,4,"0"
"ID101","SC10",37,5,"0"
"ID102","SC10",10,1,"0"
"ID102","SC10",18,2,"0"
"ID102","SC10",22,3,"0"
"ID102","SC10",30,4,"0"
"ID102","SC10",37,5,"0"
"ID103","SC10",20,1,"0"
"ID103","SC10",22,2,"0"
"ID103","SC10",35,3,"0"
"ID103","SC10",45,4,"0"
"ID103","SC10",48,5,"0"
"ID104","SC10",17,1,"0"
"ID104","SC10",23,2,"0"
"ID104","SC10",31,3,"0"
"ID104","SC10",35,4,"0"
"ID104","SC10",50,5,"0"
"ID105","SC10",9,1,"0"
"ID105","SC10",23,2,"0"
"ID105","SC10",30,3,"0"
"ID105","SC10",33,4,"0"
"ID105","SC10",36,5,"0"
"ID106","SC10",16,1,"0"
"ID106","SC10",29,2,"0"
"ID106","SC10",37,3,"0"
"ID106","SC10",51,4,"0"
"ID106","SC10",60,5,"0"
"ID107","SC10",14,1,"0"
"ID107","SC10",24,2,"0"
"ID107","SC10",22,3,"0"
"ID107","SC10",25,4,"0"
"ID107","SC10",32,5,"0"
"ID108","SC10",20,1,"0"
"ID108","SC10",30,2,"0"
"ID108","SC10",44,3,"0"
"ID108","SC10",53,4,"0"
"ID108","SC10",58,5,"0"
"ID109","SC10",18,1,"0"
"ID109","SC10",20,2,"0"
"ID109","SC10",23,3,"0"
"ID109","SC10",29,4,"0"
"ID109","SC10",30,5,"0"
