id,age,sex,handedness,lab_session,participation_order,first_condition,visualcue_attempt1,visualcue_attempt2,visualcue_attempt3,visualcue_attempt4,visualcue_attempt5,auditorycue_attempt1,auditorycue_attempt2,auditorycue_attempt3,auditorycue_attempt4,auditorycue_attempt5
44,18,female,right,Thursday: 11am-1pm,partner_first,visual_first,8,,,,,18,,,,
45,18,female,right,Thursday: 11am-1pm,myself_first,auditory_first,17,,,,,24,,,,
46,22,female,right,Thursday: 11am-1pm,myself_first,auditory_first,26,21,26,22,26,,,22,,22
47,18,female,right,Thursday: 11am-1pm,partner_first,auditory_first,12,17,12,14,10,,21,,29,23
48,17,female,right,Thursday: 11am-1pm,partner_first,visual_first,7,14,12,12,10,23,,9,21,4
49,19,female,right,Thursday: 11am-1pm,myself_first,visual_first,,16,21,15,16,14,18,2,28,27
50,17,female,right,Thursday: 11am-1pm,partner_first,visual_first,18,20,14,,13,,13,29,,4
51,17,female,right,Friday: 10am-12pm,myself_first,visual_first,7,26,8,11,18,18,5,9,5,19
52,18,female,right,Friday: 10am-12pm,partner_first,visual_first,22,21,13,14,17,,17,,,
53,18,female,right,Friday: 10am-12pm,myself_first,visual_first,22,21,13,14,17,,17,,,
54,18,female,right,Friday: 10am-12pm,myself_first,visual_first,17,11,16,13,14,,1,,27,22
55,18,male,right,Friday: 10am-12pm,partner_first,visual_first,22,21,13,14,17,,17,,,
56,19,female,right,Friday: 10am-12pm,partner_first,auditory_first,8,14,4,10,8,,,6,3,
57,19,female,right,Friday: 10am-12pm,partner_first,visual_first,15,15,17,8,18,2,,1,27,12
58,19,female,right,Friday: 10am-12pm,partner_first,auditory_first,10,14,13,11,16,24,,27,10,1
59,20,female,right,Friday: 10am-12pm,myself_first,visual_first,3,23,16,8,8,10,11,14,10,6
60,18,female,left,Friday: 10am-12pm,partner_first,visual_first,3,23,16,8,8,10,11,14,10,6
61,18,female,right,Friday: 10am-12pm,myself_first,auditory_first,15,15,16,10,7,9,,15,14,
62,18,female,right,Wednesday: 10am-12pm,myself_first,visual_first,22,21,20,19,19,13,14,11,2,1
63,19,female,right,Friday: 10am-12pm,myself_first,visual_first,10,,13,16,18,,5,10,,6
64,18,female,right,Friday: 10am-12pm,partner_first,visual_first,13,16,6,7,17,9,25,14,,9
65,18,female,right,Friday: 10am-12pm,partner_first,visual_first,9,11,10,11,16,,22,5,23,4
66,18,female,left,Friday: 10am-12pm,myself_first,visual_first,11,18,10,6,11,8,9,14,14,12
67,20,female,right,Friday: 10am-12pm,myself_first,visual_first,11,18,10,6,11,11,9,14,14,12
68,19,female,right,Friday: 10am-12pm,partner_first,visual_first,24,23,14,14,19,9,,,11,13
69,18,female,left,Wednesday: 10am-12pm,myself_first,visual_first,16,13,11,8,13,,18,22,9,
70,18,female,right,Friday: 10am-12pm,partner_first,visual_first,27,20,20,,20,7,21,,30,
71,19,female,right,Friday: 10am-12pm,partner_first,visual_first,15,13,21,21,12,,6,13,30,21
72,18,female,right,Friday: 10am-12pm,myself_first,auditory_first,9,13,13,12,12,25,22,,10,11
73,18,female,right,Friday: 10am-12pm,partner_first,auditory_first,3,13,8,9,8,30,30,24,19,12
74,18,female,right,Friday: 10am-12pm,myself_first,visual_first,30,26,15,3,17,12,10,23,11,28
75,18,female,right,Friday: 10am-12pm,partner_first,auditory_first,23,15,15,11,8,17,4,17,3,25
76,19,female,right,Friday: 10am-12pm,myself_first,auditory_first,15,9,10,11,10,8,17,6,1,4
77,18,female,right,Friday: 10am-12pm,myself_first,visual_first,9,10,13,14,10,11,22,19,18,22
78,18,female,right,Friday: 10am-12pm,myself_first,auditory_first,18,10,14,21,14,19,14,,14,11
79,18,female,right,Friday: 10am-12pm,myself_first,visual_first,19,6,6,13,11,25,,4,15,19
80,18,female,right,Friday: 10am-12pm,partner_first,visual_first,,16,19,17,17,,,,20,
81,18,male,right,Friday: 10am-12pm,myself_first,visual_first,23,15,7,12,16,23,17,7,13,18
82,19,female,right,Friday: 10am-12pm,myself_first,visual_first,17,20,17,18,13,25,19,12,2,4
83,20,female,right,Friday: 10am-12pm,partner_first,visual_first,17,20,17,18,13,25,19,12,2,4
84,17,female,right,Friday: 10am-12pm,myself_first,visual_first,26,20,18,9,16,20,27,25,30,23
85,18,female,right,Friday: 10am-12pm,partner_first,auditory_first,23,17,8,13,19,28,12,17,6,15
86,19,male,right,Wednesday: 10am-12pm,myself_first,visual_first,28,27,26,23,22,8,12,18,11,29
87,19,male,right,Wednesday: 10am-12pm,myself_first,visual_first,28,27,26,,,4,,,,
88,18,female,right,Wednesday: 10am-12pm,myself_first,visual_first,20,20,11,12,12,25,26,15,,26
89,18,male,right,Wednesday: 10am-12pm,myself_first,visual_first,,12,6,7,11,1,17,23,26,10
90,18,female,right,Wednesday: 10am-12pm,myself_first,visual_first,5,15,8,,10,19,,,1,7
91,18,female,right,Wednesday: 10am-12pm,partner_first,auditory_first,18,11,4,16,5,18,26,4,30,3
92,19,female,left,Wednesday: 10am-12pm,partner_first,auditory_first,16,27,15,13,18,,22,13,21,15
93,19,female,left,Wednesday: 10am-12pm,myself_first,auditory_first,17,13,20,11,23,12,30,,25,13
94,18,male,left,Wednesday: 10am-12pm,myself_first,auditory_first,25,18,18,7,5,11,6,3,5,11
95,18,female,right,Wednesday: 10am-12pm,partner_first,auditory_first,18,15,12,13,19,11,13,11,16,3
96,18,female,right,Wednesday: 10am-12pm,myself_first,visual_first,12,13,11,10,7,10,22,13,17,11
97,18,female,right,Wednesday: 10am-12pm,partner_first,visual_first,21,23,17,18,10,8,13,7,26,10
98,18,female,right,Wednesday: 10am-12pm,partner_first,auditory_first,,26,17,23,23,30,20,,,6
99,19,female,right,Wednesday: 10am-12pm,myself_first,visual_first,28,18,20,15,12,18,30,,14,
100,18,male,right,Wednesday: 10am-12pm,myself_first,visual_first,19,4,10,4,4,28,2,12,28,6
101,18,female,right,Wednesday: 10am-12pm,partner_first,visual_first,22,7,15,18,16,22,,28,,10
102,18,female,right,Wednesday: 10am-12pm,myself_first,auditory_first,12,10,11,15,18,,16,,23,23
103,18,female,right,Wednesday: 10am-12pm,partner_first,visual_first,19,13,8,14,9,25,18,9,29,25
104,22,female,right,Wednesday: 10am-12pm,myself_first,visual_first,10,13,13,11,10,13,23,14,18,24
105,18,female,right,Wednesday: 10am-12pm,partner_first,visual_first,13,24,19,24,11,24,21,18,27,19
106,16,female,right,Wednesday: 10am-12pm,partner_first,visual_first,13,24,19,24,11,24,21,18,27,19
107,18,female,right,Wednesday: 10am-12pm,myself_first,visual_first,13,24,19,24,11,24,20,18,27,19
108,17,female,right,Wednesday: 10am-12pm,partner_first,visual_first,15,21,14,10,18,,20,,12,
109,20,female,right,Wednesday: 10am-12pm,myself_first,auditory_first,15,11,16,9,2,7,15,15,7,13
110,18,female,right,Wednesday: 10am-12pm,partner_first,visual_first,11,10,10,6,16,2,9,16,14,24
111,18,female,right,Wednesday: 10am-12pm,partner_first,visual_first,10,20,7,5,4,7,2,15,17,9
112,18,female,right,Wednesday: 10am-12pm,myself_first,visual_first,26,,,25,30,4,,,,
113,18,female,right,Thursday: 11am-1pm,myself_first,auditory_first,12,5,17,15,18,,,,11,23
114,18,female,right,Thursday: 11am-1pm,myself_first,auditory_first,13,20,9,11,9,29,27,12,16,20
115,17,male,right,Thursday: 11am-1pm,myself_first,visual_first,19,20,15,16,13,3,24,1,16,
116,19,female,right,Thursday: 11am-1pm,partner_first,visual_first,8,6,15,13,18,17,27,26,16,23
117,21,female,left,Thursday: 11am-1pm,myself_first,visual_first,8,26,13,13,14,2,13,15,20,6
118,18,male,right,Thursday: 11am-1pm,partner_first,visual_first,7,9,8,7,8,8,8,8,7,9
119,18,male,right,Thursday: 11am-1pm,myself_first,auditory_first,9,8,11,7,9,6,8,6,12,8
120,18,female,right,Thursday: 11am-1pm,myself_first,visual_first,19,5,6,6,6,3,21,13,18,13
121,18,female,right,Thursday: 11am-1pm,partner_first,visual_first,16,12,25,21,3,23,1,19,3,4
122,20,male,right,Thursday: 11am-1pm,myself_first,visual_first,14,11,12,12,6,26,,20,11,
123,20,male,right,Thursday: 11am-1pm,partner_first,auditory_first,10,15,10,15,8,,14,,,12
124,21,female,right,Thursday: 11am-1pm,myself_first,visual_first,,20,22,24,19,,,16,19,29
125,18,female,right,Thursday: 11am-1pm,,,,,,,,,,,,
126,18,female,right,Thursday: 11am-1pm,myself_first,visual_first,17,19,14,20,12,13,,20,16,10
127,17,female,right,Thursday: 11am-1pm,partner_first,visual_first,30,19,16,24,17,22,,9,15,
128,19,female,right,Thursday: 11am-1pm,myself_first,visual_first,15,11,10,9,10,,,4,20,
129,19,female,right,Thursday: 11am-1pm,partner_first,visual_first,8,7,23,23,19,7,12,19,8,11
130,21,female,right,Thursday: 11am-1pm,partner_first,visual_first,,13,13,14,13,,,3,3,2
131,18,female,left,Thursday: 11am-1pm,myself_first,visual_first,14,22,14,13,13,30,20,23,19,11
132,18,female,right,Thursday: 11am-1pm,partner_first,auditory_first,18,16,17,6,14,,,4,2,
133,18,female,right,Thursday: 11am-1pm,myself_first,visual_first,15,,17,14,20,17,15,22,,22
134,18,female,right,Thursday: 11am-1pm,myself_first,visual_first,17,10,13,13,15,10,6,,,
135,18,female,right,Thursday: 11am-1pm,partner_first,visual_first,17,10,13,13,15,,10,,6,
136,18,male,right,Thursday: 11am-1pm,partner_first,visual_first,8,8,7,11,15,2,5,4,7,4
137,18,male,right,Thursday: 11am-1pm,myself_first,visual_first,15,12,18,22,20,23,15,24,19,11
138,18,female,left,Thursday: 11am-1pm,partner_first,visual_first,8,10,10,7,5,3,4,7,4,3
139,18,male,left,Thursday: 11am-1pm,partner_first,visual_first,15,23,30,9,10,30,30,21,13,14
140,20,male,left,Thursday: 11am-1pm,myself_first,visual_first,17,7,6,6,6,,5,4,5,4
141,18,female,right,Thursday: 11am-1pm,myself_first,auditory_first,4,4,6,16,18,27,26,20,11,10
142,17,female,right,Thursday: 11am-1pm,partner_first,auditory_first,15,11,9,7,10,19,17,,13,5
143,18,male,right,Thursday: 11am-1pm,partner_first,visual_first,15,18,14,17,15,23,13,22,,20
144,18,male,left,Thursday: 11am-1pm,partner_first,visual_first,15,18,14,17,15,23,13,22,,20
145,18,male,right,Thursday: 11am-1pm,myself_first,visual_first,15,18,14,17,15,23,13,22,,20
146,18,female,right,Thursday: 11am-1pm,myself_first,visual_first,15,16,15,13,14,17,16,21,21,11
147,19,female,right,Thursday: 11am-1pm,myself_first,auditory_first,7,10,10,4,4,3,4,8,13,4
148,18,female,right,Thursday: 11am-1pm,partner_first,visual_first,13,15,9,3,6,16,12,5,4,3
149,18,female,right,Friday: 10am-12pm,myself_first,visual_first,10,19,21,26,17,20,24,30,,
150,18,female,right,Friday: 10am-12pm,myself_first,visual_first,12,16,14,17,8,,18,9,14,
151,18,female,right,Friday: 10am-12pm,myself_first,visual_first,15,21,11,10,13,22,,5,23,1
152,19,female,right,Friday: 10am-12pm,partner_first,visual_first,17,12,15,13,13,13,17,28,24,5
153,18,female,right,Wednesday: 10am-12pm,myself_first,visual_first,25,16,20,21,22,20,15,21,24,30
154,18,female,left,Friday: 10am-12pm,partner_first,visual_first,23,14,9,9,15,17,10,5,5,23
155,17,female,left,Friday: 10am-12pm,myself_first,visual_first,19,28,17,17,15,16,29,12,15,26
156,18,female,right,Friday: 10am-12pm,myself_first,visual_first,15,12,21,14,15,16,5,10,5,15
157,19,female,right,Friday: 10am-12pm,myself_first,visual_first,11,17,17,14,18,22,8,,19,12
158,18,female,right,Friday: 10am-12pm,partner_first,auditory_first,11,13,19,16,4,13,10,2,4,9
159,18,female,left,Friday: 10am-12pm,partner_first,visual_first,11,5,11,7,8,7,9,,10,10
160,18,female,right,Friday: 10am-12pm,partner_first,visual_first,16,10,,15,19,18,16,10,,17
161,18,female,right,Friday: 10am-12pm,partner_first,visual_first,15,23,18,21,22,20,12,21,27,
162,19,female,right,Friday: 10am-12pm,myself_first,visual_first,19,20,21,15,23,,30,0,26,24
163,18,female,right,Friday: 10am-12pm,myself_first,visual_first,22,20,25,23,8,17,,9,21,
164,18,female,right,Friday: 10am-12pm,myself_first,visual_first,18,10,11,7,4,,19,,4,2
165,18,female,right,Friday: 10am-12pm,myself_first,visual_first,23,17,13,20,16,12,11,20,14,8
166,18,female,right,Friday: 10am-12pm,myself_first,visual_first,,,22,4,12,22,16,18,19,16
167,17,female,right,Friday: 10am-12pm,partner_first,visual_first,22,6,4,12,6,4,4,4,7,
168,19,female,right,Friday: 10am-12pm,partner_first,visual_first,17,14,20,22,5,21,15,28,30,12
169,18,female,right,Friday: 10am-12pm,partner_first,visual_first,16,15,17,15,17,13,12,18,11,21
170,18,female,right,Friday: 10am-12pm,myself_first,visual_first,23,15,12,17,10,20,20,6,15,5
171,18,female,right,Friday: 10am-12pm,partner_first,visual_first,16,15,17,15,17,13,12,20,13,21
172,17,female,right,Friday: 10am-12pm,partner_first,visual_first,22,17,22,12,27,,17,,10,
173,18,female,right,Friday: 10am-12pm,partner_first,visual_first,25,18,8,19,15,13,11,7,17,15
174,19,male,right,Friday: 10am-12pm,myself_first,visual_first,20,11,7,11,10,17,17,30,28,11
175,18,male,right,Friday: 10am-12pm,partner_first,auditory_first,10,10,15,13,12,30,30,24,28,15
176,18,male,right,Friday: 10am-12pm,myself_first,visual_first,14,7,17,15,13,21,18,17,20,14
177,20,male,right,Friday: 10am-12pm,partner_first,visual_first,21,18,16,20,14,29,17,14,29,17
178,19,female,right,Friday: 10am-12pm,partner_first,visual_first,13,17,17,17,10,18,25,,21,
179,46,male,right,Friday: 10am-12pm,partner_first,visual_first,7,17,,13,13,19,28,19,27,21
