online,imp_1,imp_2,imp_3,imp_4,imp_5,imp_6,gain
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Disagree,1
casino,Agree,Strongly Disagree,Agree,Disagree,Neither Disagree nor Agree,Disagree,4
casino,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Neither Disagree nor Agree,Strongly Agree,-8
casino,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,8
online,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,-24
online,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-6
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-11
casino,Neither Disagree nor Agree,Disagree,Disagree,Disagree,Agree,Neither Disagree nor Agree,-6
online,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-11
casino,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,-3
casino,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,-8
casino,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-14
online,Disagree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,Disagree,3
casino,Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,1
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-25
casino,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-26
casino,Strongly Disagree,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-11
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-17
online,Strongly Agree,Agree,Agree,Neither Disagree nor Agree,Disagree,Strongly Disagree,-20
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-12
online,Agree,Agree,Neither Disagree nor Agree,Strongly Agree,Disagree,Disagree,-15
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,-19
online,Neither Disagree nor Agree,Strongly Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,3
casino,Disagree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,5
casino,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-27
casino,Strongly Disagree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Agree,-13
online,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Strongly Disagree,Disagree,-18
online,Agree,Agree,Neither Disagree nor Agree,Agree,Agree,Disagree,-17
casino,Agree,Strongly Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-13
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,-20
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,2
online,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-3
online,Agree,Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,-22
online,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,-43
online,Neither Disagree nor Agree,Agree,Agree,Disagree,Disagree,Agree,-14
casino,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,7
casino,Agree,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,-12
casino,Disagree,Disagree,Disagree,Agree,Neither Disagree nor Agree,Strongly Agree,-2
casino,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-23
online,Agree,Disagree,Neither Disagree nor Agree,Disagree,Disagree,Disagree,-12
online,Strongly Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Strongly Disagree,-23
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Strongly Disagree,-8
online,Agree,Strongly Agree,Agree,Agree,Neither Disagree nor Agree,Disagree,-27
casino,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,-13
online,Agree,Disagree,Neither Disagree nor Agree,Strongly Disagree,Disagree,Agree,8
casino,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Strongly Disagree,Agree,Agree,-25
casino,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,-19
online,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-20
casino,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,-18
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,-25
casino,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-24
online,Neither Disagree nor Agree,Disagree,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-26
online,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-2
online,Disagree,Agree,Disagree,Agree,Agree,Disagree,-9
casino,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,-9
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-12
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Disagree,-13
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-18
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-10
online,Disagree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-5
casino,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-4
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-18
online,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-22
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,-19
casino,Neither Disagree nor Agree,Agree,Agree,Agree,Neither Disagree nor Agree,Disagree,-21
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,-28
casino,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-17
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,3
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,-13
casino,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-3
online,Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-6
casino,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,-8
online,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,-36
online,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,Strongly Disagree,-11
casino,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,-9
casino,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-14
online,Agree,Neither Disagree nor Agree,Disagree,Strongly Disagree,Neither Disagree nor Agree,Agree,-29
online,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Disagree,Disagree,-18
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-15
casino,Neither Disagree nor Agree,Disagree,Disagree,Strongly Disagree,Neither Disagree nor Agree,Agree,-21
casino,Disagree,Disagree,Neither Disagree nor Agree,Disagree,Agree,Agree,-6
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-15
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,4
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,Agree,-15
casino,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,-18
online,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,17
online,Disagree,Disagree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,1
casino,Neither Disagree nor Agree,Strongly Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-22
casino,Disagree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-26
casino,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,Agree,Agree,-8
online,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-17
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,-24
online,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-10
casino,Disagree,Neither Disagree nor Agree,Strongly Disagree,Disagree,Agree,Agree,-8
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Neither Disagree nor Agree,Disagree,-33
online,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,-3
casino,Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-22
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-19
casino,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,-21
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Disagree,Neither Disagree nor Agree,-5
online,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,-24
casino,Disagree,Neither Disagree nor Agree,Disagree,Strongly Agree,Agree,Neither Disagree nor Agree,4
casino,Agree,Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-27
online,Agree,Agree,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,-24
casino,Disagree,Disagree,Disagree,Disagree,Agree,Agree,-17
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,-2
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Agree,Agree,-6
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Disagree,-28
casino,Disagree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,-23
online,Agree,Agree,Disagree,Strongly Agree,Neither Disagree nor Agree,Disagree,-12
online,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,-1
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Disagree,Agree,-25
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,-17
online,Disagree,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Agree,4
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,-5
online,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-8
online,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Neither Disagree nor Agree,-3
casino,Neither Disagree nor Agree,Disagree,Disagree,Strongly Disagree,Neither Disagree nor Agree,Agree,-22
online,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,-10
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Strongly Disagree,Neither Disagree nor Agree,-17
casino,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,-18
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Strongly Disagree,Disagree,-22
online,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,-22
casino,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-12
casino,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,3
casino,Disagree,Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-13
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Strongly Agree,Agree,-17
casino,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,13
casino,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-39
online,Agree,Agree,Agree,Neither Disagree nor Agree,Strongly Disagree,Disagree,-21
casino,Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Disagree,-23
online,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,-32
online,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,-33
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-19
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,-14
online,Neither Disagree nor Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree,Agree,-9
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-14
online,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-19
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,22
online,Neither Disagree nor Agree,Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,-15
casino,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Agree,-24
casino,Disagree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-15
casino,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-4
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-35
online,Agree,Disagree,Neither Disagree nor Agree,Disagree,Strongly Disagree,Neither Disagree nor Agree,-12
casino,Disagree,Strongly Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-11
casino,Disagree,Strongly Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,3
casino,Strongly Disagree,Strongly Disagree,Disagree,Neither Disagree nor Agree,Agree,Agree,-15
online,Disagree,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,-1
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-14
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,7
online,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-19
casino,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Strongly Disagree,Agree,Neither Disagree nor Agree,0
online,Agree,Agree,Disagree,Neither Disagree nor Agree,Disagree,Agree,-11
casino,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,-17
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,-8
casino,Disagree,Neither Disagree nor Agree,Disagree,Strongly Agree,Disagree,Neither Disagree nor Agree,-22
casino,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,-16
