"PS1","PS2","PS3","PS4","PS5","PS6","FA1","FA2","FA3","FA4","CAnx1","CAnx2","CAnx3","CAnx4","CDep1","CDep2","CDep3","CDep4","ID"
3,3,3,3,3,3,4,3,4,2,4,3,4,3,3,3,3,5,115
4,4,4,2,4,3,4,4,3,2,5,3,5,1,3,3,3,3,116
2,2,3,3,3,1,3,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,117
1,3,3,2,3,2,2,2,3,3,3,4,3,3,3,3,3,4,118
4,2,4,3,2,2,3,4,4,3,4,3,4,5,3,3,4,3,119
3,2,3,2,2,2,4,4,4,4,2,3,3,2,2,2,2,2,120
4,5,4,4,4,3,2,3,3,1,3,3,3,4,3,5,3,5,121
2,4,4,4,2,3,2,3,3,3,2,3,3,2,3,3,2,4,122
4,4,2,2,2,2,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,123
3,2,3,2,3,3,3,3,4,4,3,4,3,3,2,3,3,3,124
2,4,2,2,2,3,3,5,4,4,2,3,3,3,3,2,3,3,125
3,4,4,3,2,5,3,3,3,4,4,4,5,4,3,5,4,4,126
2,2,3,2,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,127
2,3,4,3,3,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,128
2,3,2,2,2,1,5,3,4,4,3,2,3,2,2,3,2,3,129
3,3,3,3,3,2,3,3,4,3,4,3,3,4,3,3,4,3,130
3,4,3,4,4,4,2,3,3,3,2,3,3,3,2,3,3,2,131
2,2,3,2,2,2,2,3,3,3,2,3,3,3,3,2,2,2,132
4,4,3,3,4,3,2,3,3,2,3,3,4,3,3,2,2,2,133
4,4,5,4,3,4,1,1,1,1,5,4,5,4,3,4,4,3,134
2,4,3,2,3,3,3,3,3,3,2,4,2,3,4,3,2,3,135
2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,136
4,4,4,5,3,3,4,3,3,2,4,3,4,3,4,4,4,4,137
2,3,3,2,2,2,4,5,4,4,3,3,3,3,2,3,3,3,138
3,3,3,4,3,3,4,4,4,3,1,3,2,4,2,3,2,3,139
3,3,5,3,4,3,3,2,2,2,4,5,4,3,3,4,3,5,140
3,4,3,3,3,3,2,2,3,1,5,5,4,4,4,3,2,4,141
2,3,3,2,3,4,3,4,3,2,3,2,4,3,2,3,3,3,142
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,4,5,5,5,4,143
3,4,3,2,3,2,3,2,3,2,2,3,3,3,2,2,2,3,144
3,3,2,3,3,1,3,2,3,3,3,4,4,3,3,3,2,2,145
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,3,3,3,4,146
3,5,3,2,2,1,4,3,2,3,4,2,3,3,3,3,2,3,147
3,3,4,4,3,4,3,3,2,3,3,3,3,3,4,5,4,4,148
4,3,3,2,2,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,149
2,4,3,3,2,2,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,150
4,3,3,3,3,2,4,3,2,2,1,2,1,3,4,3,2,3,151
3,3,4,4,4,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,152
4,3,4,3,4,3,2,3,3,3,3,3,3,3,3,2,1,3,153
3,3,3,4,3,4,2,2,3,3,4,4,5,4,4,4,3,4,154
2,3,3,3,2,3,4,3,4,4,3,2,2,3,3,3,3,2,155
2,2,2,2,2,1,2,2,1,3,3,3,3,3,3,2,3,1,156
3,3,3,1,2,1,2,3,3,3,4,3,4,3,3,3,4,3,157
3,2,4,4,3,3,3,3,3,2,2,3,3,2,4,2,4,2,158
4,3,3,5,4,4,3,2,2,1,4,4,4,4,4,4,3,4,159
3,3,4,2,3,3,4,3,4,3,4,2,4,2,3,3,2,3,160
2,3,2,1,2,3,3,2,4,2,3,4,4,4,5,4,4,4,161
2,2,3,2,3,2,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,162
3,4,4,4,3,4,4,4,3,2,4,4,4,4,4,4,4,3,163
3,3,4,2,3,4,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,164
1,3,3,4,2,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,165
4,2,4,3,3,5,1,2,2,2,3,4,4,4,4,4,3,2,166
5,4,4,4,4,5,2,1,2,2,4,3,3,3,5,4,4,4,167
3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,4,3,3,168
3,2,3,4,3,3,3,3,3,5,4,4,4,3,3,3,4,3,169
4,5,3,4,5,4,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,170
4,4,5,5,5,5,3,3,3,2,5,3,5,4,5,5,4,4,171
5,5,4,4,4,5,3,4,4,4,5,3,4,3,3,4,4,3,172
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173
3,4,3,2,2,2,3,2,2,1,4,3,4,3,3,3,4,3,174
3,4,4,1,3,2,2,3,3,1,3,2,3,3,3,2,4,2,175
3,5,3,4,3,4,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,176
2,3,2,2,2,3,2,3,3,2,3,3,4,3,3,4,4,4,177
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,4,3,4,4,4,178
1,2,3,2,2,2,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,179
3,3,3,4,3,2,3,4,3,4,3,3,3,3,3,3,3,3,180
2,3,3,3,3,3,4,4,4,4,4,4,4,2,4,3,3,4,181
2,3,3,4,4,2,4,3,4,3,3,4,4,3,4,5,3,3,182
2,2,3,2,2,2,2,4,3,3,3,3,3,3,3,2,1,3,183
3,2,3,3,4,2,3,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,184
4,3,4,3,4,3,4,3,3,3,4,3,4,3,2,4,3,3,185
3,3,4,2,3,2,3,3,4,3,3,3,4,3,3,2,3,3,186
4,2,2,3,4,2,4,4,3,5,3,3,3,2,3,2,2,4,187
2,3,3,2,3,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,188
3,3,4,3,3,3,4,4,4,3,3,3,4,4,4,2,3,3,189
2,3,4,3,1,3,3,3,3,3,2,3,4,3,2,3,3,3,190
3,3,3,3,2,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,191
3,4,4,3,3,3,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,192
2,2,2,2,2,2,4,3,3,3,4,3,3,3,3,3,3,3,193
4,3,3,3,2,2,2,4,4,2,4,3,4,2,3,2,4,4,194
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,3,3,3,3,195
4,3,3,3,3,4,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,196
4,3,4,4,4,4,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,197
3,3,3,4,4,1,4,4,4,4,3,4,4,2,4,2,4,3,198
2,3,4,3,3,2,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,199
2,4,3,2,3,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,200
3,3,2,2,2,2,3,3,4,5,2,2,2,2,1,1,3,2,201
3,2,4,2,2,2,3,2,2,3,4,4,5,3,4,4,3,4,202
1,1,2,3,2,2,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,203
3,4,5,5,4,4,2,2,3,2,4,4,4,5,4,4,3,3,204
2,3,2,3,3,1,1,2,3,2,3,3,4,4,3,3,3,4,205
1,3,3,2,3,2,3,4,3,3,3,4,3,2,2,3,2,4,206
3,4,4,2,3,3,4,4,5,3,4,4,3,3,3,3,3,3,207
2,2,3,2,2,3,4,5,3,3,3,3,2,2,3,3,2,3,208
3,4,3,4,3,4,4,3,3,5,4,4,5,3,4,3,4,4,209
3,3,4,2,3,2,3,3,3,3,3,3,4,3,4,3,3,4,210
3,2,4,4,3,2,3,3,3,2,3,3,4,3,3,3,2,4,211
2,3,3,2,3,3,4,4,2,2,3,3,3,3,4,3,5,2,212
1,2,3,2,3,3,3,3,3,4,4,3,4,2,1,3,3,3,213
4,4,4,4,3,3,3,2,3,2,3,3,3,3,2,3,2,3,214
2,3,3,2,3,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,215
3,2,3,2,2,2,3,3,4,3,2,2,3,2,2,2,2,3,216
2,3,4,3,3,2,2,3,3,2,4,3,3,2,3,4,3,5,217
2,3,4,4,3,2,4,4,4,3,4,3,4,3,2,4,3,3,218
3,4,5,3,2,3,4,3,3,3,3,2,3,2,3,2,3,2,219
2,3,2,3,2,3,4,4,3,3,3,3,3,4,3,2,3,4,220
4,2,2,3,3,3,3,2,4,3,3,3,3,3,2,3,2,2,221
4,4,4,4,4,5,4,3,3,2,3,2,4,4,3,4,3,4,222
2,2,2,3,3,2,5,4,3,3,3,2,3,3,2,2,4,2,223
3,3,3,2,1,2,5,4,4,4,1,3,2,2,2,2,2,2,224
3,3,3,2,4,3,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,225
4,3,3,5,3,2,4,5,4,3,3,3,3,1,3,3,2,4,226
3,3,4,2,4,3,3,3,3,3,3,3,4,4,3,3,4,4,227
3,4,4,3,3,4,4,4,3,3,2,2,3,3,4,4,2,4,228
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2,2,3,3,229
3,3,2,3,2,2,3,3,4,2,3,3,3,2,3,2,1,2,230
2,2,3,1,2,2,3,3,3,4,4,3,4,3,2,3,3,2,231
3,3,3,2,2,2,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,232
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,3,3,3,4,4,233
4,4,4,4,3,5,3,3,2,3,5,4,4,4,2,3,3,3,234
3,2,2,2,2,2,3,4,3,3,1,2,2,2,2,2,1,2,235
3,4,4,3,3,2,4,3,4,4,3,4,4,2,3,2,3,2,236
3,3,1,2,3,1,3,3,4,3,2,2,3,2,2,3,2,2,237
3,3,3,3,2,2,3,3,3,2,4,3,4,3,3,3,4,2,238
2,2,2,2,2,2,4,5,4,4,1,3,1,2,2,1,1,1,239
2,4,3,4,3,4,3,3,3,4,4,3,4,2,4,4,3,3,240
3,3,4,4,3,3,3,1,1,3,5,4,5,3,5,4,5,4,241
3,4,5,3,4,5,3,3,2,3,4,3,4,3,4,4,4,4,242
4,4,5,4,4,4,3,3,3,2,3,3,4,3,3,3,2,3,243
3,4,4,4,4,2,3,3,3,2,3,3,4,3,4,3,3,3,244
3,3,3,3,3,4,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,245
4,4,4,3,3,4,2,4,4,2,3,4,3,3,2,2,2,4,246
4,3,4,3,2,4,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,247
2,3,2,2,2,2,5,4,3,4,2,4,3,3,3,3,3,2,248
2,3,2,2,2,2,4,4,3,4,2,2,2,2,2,3,2,2,249
3,3,3,4,3,3,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,250
3,3,4,4,3,4,3,3,1,2,3,3,3,4,4,4,4,3,251
3,3,3,1,2,3,2,3,4,3,4,3,4,2,4,2,3,2,252
2,3,4,4,3,3,2,4,4,3,3,3,3,2,3,3,3,2,253
3,2,3,2,2,3,4,3,5,4,3,3,3,3,2,3,2,2,254
3,4,4,4,3,3,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,255
4,4,4,5,4,3,2,2,2,3,5,4,4,5,5,4,5,5,256
3,3,5,2,3,3,3,3,4,3,3,2,2,2,3,2,4,4,257
2,4,3,3,2,3,4,4,3,3,4,3,4,4,3,4,4,2,258
3,3,3,3,2,3,3,2,2,2,5,4,4,3,3,4,4,3,259
3,5,4,4,4,3,3,3,3,3,3,3,4,3,5,4,4,4,260
3,4,3,4,4,4,4,5,5,3,4,3,3,4,3,3,4,3,261
4,5,5,4,4,4,4,4,4,2,5,4,5,4,4,4,5,3,262
2,3,2,2,2,2,4,4,4,4,3,3,3,3,3,3,3,2,263
2,4,3,2,3,2,4,4,4,3,2,3,3,3,3,2,3,3,264
4,5,3,3,4,4,4,3,4,3,4,4,4,4,4,4,2,2,265
3,2,4,3,3,3,3,3,2,2,2,3,3,3,4,2,4,3,266
3,2,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,267
2,3,3,3,2,3,3,3,2,3,2,3,3,2,2,2,1,2,268
3,4,3,3,2,2,3,3,3,3,2,3,3,2,3,2,3,4,269
3,3,4,3,3,3,2,2,4,3,3,4,2,2,4,3,3,4,270
2,3,2,3,3,2,5,3,4,2,3,3,3,2,3,2,2,3,271
2,2,3,2,3,2,4,4,3,4,3,2,3,2,2,3,3,1,272
4,3,3,3,3,3,3,2,1,2,4,2,4,3,3,2,2,3,273
3,4,3,4,4,3,2,2,4,2,3,3,3,2,3,2,2,3,274
2,4,4,3,3,2,3,2,5,3,3,2,3,4,3,3,2,3,275
3,3,4,2,2,2,4,4,4,3,2,3,1,2,3,3,2,2,276
2,3,2,2,2,2,3,3,3,3,3,4,3,1,3,3,3,2,277
2,1,2,4,4,3,3,3,3,2,2,2,3,2,2,2,2,2,278
2,2,2,2,2,2,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,279
4,3,3,3,3,4,3,3,3,3,4,3,3,3,4,3,4,4,280
2,2,3,2,2,1,2,2,4,3,2,3,3,3,2,3,4,2,281
3,4,4,3,3,4,4,4,4,3,2,3,2,3,3,3,2,3,282
2,2,3,3,3,2,3,3,3,4,4,2,4,1,2,2,2,3,283
3,3,3,4,2,3,4,2,1,2,3,4,3,4,4,4,5,4,284
2,1,2,2,2,2,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,285
3,2,3,2,3,4,3,3,4,3,2,3,3,3,2,3,2,2,286
2,3,2,1,4,4,4,3,4,4,3,3,3,2,4,2,2,2,287
3,5,4,2,3,3,3,3,2,4,3,3,4,2,3,3,4,4,288
2,2,3,3,2,1,2,2,2,3,3,3,3,2,3,3,4,2,289
2,3,2,2,2,3,4,4,3,3,3,2,3,3,2,2,2,3,290
3,3,4,3,3,3,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,291
3,4,4,2,4,3,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,292
4,4,5,4,4,4,3,3,4,2,4,2,4,4,3,4,3,4,293
2,3,4,3,3,3,3,3,3,2,2,4,3,3,3,3,3,4,294
3,3,3,3,3,3,2,3,3,2,4,3,4,2,2,3,2,2,295
2,3,3,2,3,3,3,4,4,4,3,3,2,2,3,2,3,2,296
2,2,3,3,3,2,4,4,4,3,3,2,3,2,3,3,4,3,297
2,2,1,1,1,2,4,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,298
3,3,4,4,3,2,4,3,2,2,3,3,3,4,3,3,3,4,299
3,4,3,4,3,3,3,2,3,3,4,4,3,3,4,3,4,2,300
3,5,5,5,3,3,2,3,3,2,4,4,5,4,5,3,3,4,301
2,3,2,2,2,3,4,3,3,3,3,5,3,3,3,3,2,3,302
3,4,4,4,3,3,3,4,4,4,4,4,3,3,4,3,3,3,303
2,3,3,2,3,2,3,3,3,3,3,3,4,4,3,3,3,3,304
3,4,4,4,3,3,3,3,3,2,3,2,4,4,2,4,4,4,305
3,3,3,3,2,2,3,4,2,4,4,3,4,4,3,4,4,3,306
5,5,5,4,4,4,3,4,4,3,3,4,3,4,4,4,3,4,307
2,3,1,1,2,2,3,3,4,3,3,3,3,2,2,2,2,2,308
5,4,4,4,3,5,2,3,3,2,4,5,3,4,5,5,4,5,309
5,4,4,3,4,4,2,2,3,2,4,3,3,3,4,2,3,4,310
4,4,4,4,3,2,2,3,2,4,3,4,5,4,4,4,3,4,311
2,3,3,3,4,2,2,2,3,4,5,4,4,5,4,4,4,4,312
2,3,4,3,2,3,4,4,4,4,2,4,3,3,2,1,3,2,313
1,3,3,2,1,2,3,3,3,3,2,1,3,2,2,2,2,1,314
2,3,3,2,3,2,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,315
3,3,3,2,3,2,3,3,3,4,4,3,3,3,2,2,3,2,316
2,3,3,2,2,3,2,3,3,3,4,2,4,4,2,3,3,3,317
1,1,3,2,1,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,318
2,3,3,3,2,3,2,5,4,4,3,3,4,2,2,2,3,3,319
1,2,2,1,2,1,5,4,4,3,2,2,2,2,2,2,2,1,320
1,2,2,2,2,3,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,321
4,5,4,5,3,4,3,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,322
3,3,3,3,3,4,3,4,4,3,3,3,4,3,3,3,3,2,323
2,4,3,3,3,4,4,4,3,4,2,3,3,3,4,3,3,3,324
3,3,3,3,3,3,4,3,4,2,4,3,3,3,3,3,3,3,325
3,5,3,3,4,3,3,3,3,3,4,2,4,3,2,4,3,2,326
2,3,4,4,3,2,2,2,3,4,3,3,3,4,4,4,3,4,327
5,4,4,5,4,4,3,2,2,1,4,4,4,3,4,3,4,5,328
3,4,4,4,3,4,2,2,3,1,3,2,3,3,3,4,2,4,329
4,3,3,2,2,2,3,3,2,3,2,3,3,3,3,2,3,3,330
2,3,1,2,2,3,5,4,3,5,3,3,2,3,3,2,2,4,331
2,3,3,3,2,2,3,3,3,4,4,3,3,4,3,3,3,3,332
4,4,5,3,4,2,3,3,3,3,3,4,3,4,4,5,4,3,333
3,3,3,3,3,2,2,3,3,3,2,3,3,3,2,2,2,2,334
3,3,3,3,3,2,2,3,3,2,3,2,4,3,3,3,2,3,335
2,2,3,3,2,2,4,4,4,4,1,2,2,2,2,2,2,2,336
1,2,1,1,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,337
4,3,2,4,3,3,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,338
2,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,4,339
2,3,3,3,2,1,3,4,3,3,2,1,2,2,2,2,2,2,340
4,4,3,2,3,3,3,3,3,2,4,4,4,3,4,3,4,5,341
3,3,4,4,3,2,2,2,3,3,4,4,3,4,4,4,3,2,342
3,3,4,3,3,4,1,2,2,2,3,3,3,4,3,3,2,4,343
2,3,3,2,3,2,3,3,3,3,2,2,2,2,2,2,3,2,344
3,3,3,2,3,2,3,4,3,3,3,3,4,2,2,1,1,2,345
3,2,3,3,2,3,3,3,2,3,2,2,3,2,2,3,1,2,346
