"FOMO","Age","N","E","O","A","C","TotalFollowers"
22,51,13,31,41,31,25,88
24,31,24,15,31,20,29,70
20,42,28,25,27,35,33,324
26,24,18,29,38,38,23,370
21,40,18,23,34,34,30,251
14,40,11,29,39,40,27,234
23,37,31,13,37,34,33,149
31,41,25,26,42,34,32,163
29,23,14,30,38,34,27,351
25,12,13,34,42,39,35,195
37,38,30,31,27,30,32,338
32,39,24,26,41,27,28,245
23,26,26,26,38,33,27,185
25,23,19,17,42,31,21,226
10,25,21,21,43,32,28,39
14,42,22,22,40,29,21,156
21,60,19,22,42,33,29,1
15,42,20,35,35,35,31,212
27,34,20,35,37,25,30,177
16,31,14,25,44,31,19,137
28,36,20,24,31,31,28,29
37,40,25,30,43,34,22,223
38,38,34,22,30,28,32,295
32,35,32,40,40,39,31,411
19,37,13,31,45,31,27,138
28,41,18,24,44,31,25,306
21,47,26,22,35,26,45,36
34,40,24,27,29,19,30,284
29,21,30,23,33,32,31,147
35,28,26,19,32,29,32,206
25,24,15,20,38,35,25,154
34,19,19,31,46,33,23,266
24,30,29,25,35,28,45,156
26,42,24,23,43,31,28,171
14,50,14,15,35,31,35,69
21,48,18,34,41,40,32,372
32,41,23,26,44,32,36,167
25,47,26,18,37,25,29,16
37,47,29,12,30,39,34,332
15,52,17,19,40,26,38,236
25,31,28,24,44,36,44,492
35,12,31,34,41,28,31,209
25,24,28,35,37,27,32,331
26,46,23,37,46,34,32,269
29,41,22,25,46,27,37,160
30,30,26,26,39,28,29,304
19,50,23,26,34,26,32,89
26,33,25,18,37,31,31,184
26,20,28,36,39,31,31,357
13,44,14,31,39,34,28,82
28,20,20,29,46,35,33,107
25,40,26,37,42,29,24,131
26,31,32,17,46,31,27,111
22,17,31,29,37,28,36,82
19,42,24,25,41,37,24,103
28,34,23,17,36,26,32,250
34,29,31,26,38,29,31,384
21,37,25,23,43,35,39,201
28,32,24,34,33,26,32,193
25,25,25,30,41,28,32,182
25,37,20,17,27,21,32,151
36,33,26,17,34,29,21,150
22,16,25,32,39,26,42,309
21,39,23,20,34,27,39,200
26,39,23,25,34,27,30,126
35,23,24,32,46,28,40,235
30,30,21,21,36,28,36,300
26,34,28,21,35,31,39,241
27,51,15,17,33,35,21,95
34,26,10,15,33,27,23,78
17,32,19,31,34,34,43,60
24,23,24,23,44,36,29,78
33,32,24,19,37,24,32,80
35,21,24,33,38,26,28,439
27,32,29,16,46,34,31,11
30,33,35,25,33,29,34,254
19,33,14,22,38,34,26,122
37,16,25,26,34,19,27,339
30,25,10,22,34,29,30,284
22,39,11,34,41,35,24,81
31,44,21,25,42,28,33,75
22,48,23,18,34,32,31,97
25,26,19,32,39,34,32,59
27,34,31,20,41,25,37,144
26,41,14,33,47,23,27,165
22,32,28,28,31,38,40,267
27,41,20,30,37,31,32,158
22,17,19,21,40,32,29,141
23,29,21,22,28,27,33,72
34,23,27,23,36,28,32,225
29,29,24,26,39,34,20,162
35,36,36,28,28,20,37,281
22,37,29,35,47,27,39,173
27,33,24,25,38,29,42,337
24,38,22,37,33,21,29,234
23,23,19,37,44,34,28,234
30,19,15,37,40,37,30,327
40,24,32,24,40,24,39,163
24,23,17,31,48,35,31,258
24,20,28,25,33,36,28,325
22,26,18,24,40,34,30,165
22,34,18,30,41,32,32,74
29,33,30,33,40,27,38,268
30,36,20,26,32,38,24,195
37,44,25,32,47,35,39,164
30,48,29,19,27,31,37,315
27,48,30,17,39,27,35,311
26,40,26,21,35,26,30,218
27,25,28,19,35,32,34,216
27,34,27,23,29,27,27,196
35,35,23,34,45,25,22,346
10,43,14,26,31,27,35,168
17,34,24,24,29,27,32,152
26,30,33,27,36,33,34,151
33,27,20,20,35,36,35,438
36,24,29,27,31,32,31,330
27,40,18,25,38,29,24,152
27,32,31,29,34,35,32,296
13,41,17,36,40,30,37,221
21,36,24,13,36,33,31,29
25,37,18,23,35,25,30,170
11,45,18,29,31,30,31,33
22,22,20,25,44,30,32,241
24,19,14,21,47,28,29,45
26,37,21,33,49,34,28,359
10,49,18,30,25,30,32,39
14,35,19,16,47,27,30,87
26,31,23,13,35,25,29,119
28,27,17,21,37,40,33,396
30,55,20,17,43,36,29,103
23,43,29,26,33,24,35,184
24,33,33,29,43,32,17,123
21,41,15,27,35,31,23,190
30,24,21,15,31,34,37,204
21,34,14,26,35,34,36,136
32,35,27,31,32,30,38,143
13,40,16,24,45,30,38,100
25,38,29,24,46,36,41,335
28,32,32,18,41,35,34,213
23,23,27,34,39,33,32,157
42,31,39,15,40,32,29,316
26,23,25,15,41,33,29,216
30,13,26,26,39,28,25,147
20,51,17,33,37,29,34,333
32,37,23,26,34,32,24,409
27,39,20,30,31,29,29,150
30,28,25,30,36,36,34,224
25,27,18,21,33,38,31,187
11,37,15,23,33,36,27,125
17,22,31,28,31,33,40,130
12,29,17,28,36,38,33,202
30,25,26,15,34,31,25,317
20,35,30,23,33,30,31,127
18,46,25,35,39,33,42,311
25,19,34,21,33,27,32,200
35,29,35,12,29,29,30,194
34,31,28,22,40,32,29,239
36,25,20,32,43,25,24,305
32,22,27,20,38,35,31,331
32,15,14,29,42,30,21,194
19,36,26,24,34,38,30,269
43,32,36,25,29,33,38,245
31,21,22,30,45,27,24,385
22,38,25,20,40,30,35,17
23,48,17,19,32,35,24,203
24,36,25,28,30,31,35,237
15,41,20,28,38,26,31,120
26,21,32,31,31,34,36,200
19,17,18,20,38,38,32,92
31,18,30,22,30,38,31,292
14,44,23,24,28,34,34,218
26,36,24,27,36,38,31,427
31,29,31,22,38,35,38,231
11,42,25,30,27,39,38,298
31,20,19,26,32,25,36,171
28,39,19,28,31,21,29,205
36,33,23,21,31,39,30,270
29,38,22,27,35,39,23,254
29,26,32,30,38,29,34,277
32,25,25,26,19,31,37,199
19,55,18,30,34,33,33,46
23,24,35,20,30,24,38,234
19,47,21,24,45,35,40,171
27,31,21,36,31,27,34,305
22,30,27,21,41,30,32,163
32,32,22,25,33,26,27,219
29,32,36,19,36,28,27,106
29,38,22,26,31,31,37,267
20,50,25,26,40,30,17,190
35,35,23,26,40,28,20,55
22,30,20,39,39,27,33,244
26,31,24,22,44,32,32,202
26,35,21,23,45,34,29,168
28,50,23,22,34,43,33,397
20,44,27,34,45,23,35,199
24,24,18,22,42,30,26,214
28,31,32,27,32,27,30,336
21,29,20,32,44,28,37,207
25,38,25,31,48,32,41,277
20,23,20,32,39,24,35,245
31,46,30,26,35,18,30,379
31,25,25,31,38,30,26,217
25,27,20,25,37,35,32,239
20,37,17,33,30,38,33,186
15,33,20,30,37,32,37,318
18,41,21,30,44,34,40,78
21,51,28,25,33,31,36,167
34,17,29,21,46,36,31,293
22,16,18,30,50,36,19,129
28,46,16,36,39,25,31,136
28,40,19,24,36,25,28,39
29,26,28,34,26,29,33,194
25,21,23,23,45,34,37,239
23,35,16,20,35,29,21,4
30,48,23,28,44,27,32,172
22,45,20,18,46,41,28,181
22,46,26,16,30,25,31,87
33,34,18,30,40,39,37,258
21,45,21,25,31,37,33,184
19,41,20,21,34,39,31,195
22,46,33,18,34,26,27,47
19,16,19,23,37,32,28,77
32,23,20,18,44,33,21,174
17,38,16,32,36,32,40,162
26,27,30,17,36,27,36,51
27,18,25,22,45,24,32,226
33,28,28,26,36,41,35,363
24,23,22,31,39,35,33,222
18,38,21,30,42,38,25,228
24,36,14,21,37,27,23,49
13,41,20,33,34,35,33,180
28,27,31,22,41,28,31,296
17,57,20,24,49,32,38,118
27,21,32,26,45,35,34,324
28,56,11,27,38,33,39,132
26,37,17,21,39,30,28,188
13,70,21,26,31,27,40,128
23,34,31,22,46,25,35,108
24,24,29,26,47,30,31,263
16,43,10,30,38,29,36,229
27,44,16,29,33,19,23,237
15,34,21,30,38,27,35,207
32,30,24,23,30,27,32,171
14,31,15,29,28,27,28,198
16,51,21,26,43,30,34,175
29,21,13,31,35,30,16,173
21,47,21,24,40,28,25,216
22,37,21,22,39,35,29,214
32,37,35,30,36,38,39,202
27,30,35,25,44,30,37,163
38,25,24,23,42,33,27,343
31,32,22,23,33,34,27,320
22,35,26,31,43,34,23,260
30,32,27,18,43,30,22,281
22,41,19,21,36,37,31,279
28,42,28,20,35,34,33,207
27,15,25,22,31,32,28,99
16,62,13,28,38,32,36,145
20,40,9,34,47,30,30,78
24,38,24,29,34,22,38,164
21,62,18,28,30,35,38,237
35,16,28,33,41,24,36,287
34,14,25,24,42,33,37,509
12,35,17,30,35,29,34,74
27,31,17,29,24,36,30,296
28,15,26,34,43,34,29,238
25,36,26,37,40,24,34,271
18,35,26,14,35,29,33,173
30,36,23,26,34,30,31,346
42,40,27,21,38,24,24,79
14,53,14,27,37,35,42,215
29,43,32,25,24,37,37,305
23,34,22,28,39,36,34,305
27,37,30,18,34,30,27,56
15,39,24,23,45,42,39,123
33,27,19,31,36,27,28,94
27,26,24,21,40,34,28,319
18,32,17,38,34,38,31,336
11,55,24,39,39,31,38,72
20,23,31,14,35,34,31,174
33,28,21,27,42,23,28,31
26,48,14,24,37,32,21,48
17,37,27,27,48,30,34,62
24,32,10,40,34,43,30,338
16,43,23,17,29,30,35,36
31,25,26,23,36,28,31,282
20,39,23,37,40,26,24,192
31,14,26,25,32,28,22,122
21,27,25,24,42,28,34,234
21,28,17,32,39,33,24,270
40,26,32,15,37,24,33,223
16,40,21,25,42,37,31,218
16,46,27,18,32,31,40,10
34,38,37,12,33,23,32,358
25,27,21,23,38,37,35,355
23,42,19,25,46,27,26,123
27,21,20,38,39,33,31,86
29,16,31,23,36,26,31,108
10,50,20,28,47,36,43,42
11,57,14,24,35,32,27,121
22,36,12,25,37,29,35,102
23,23,32,27,40,40,41,314
29,41,30,19,43,31,29,255
33,24,21,27,34,39,24,533
29,16,25,21,37,30,35,273
28,43,17,39,38,27,28,277
29,28,22,27,38,32,28,153
38,37,28,24,38,30,30,205
34,33,18,18,43,28,20,116
19,39,22,22,30,29,31,155
22,31,18,28,36,35,31,148
16,53,11,30,47,36,38,148
17,21,20,31,36,28,30,113
22,29,23,16,32,29,40,46
12,45,10,30,39,33,35,144
25,22,19,20,41,31,30,39
35,41,19,33,28,29,33,344
29,49,12,21,26,20,31,102
37,32,20,19,25,21,32,133
33,30,33,40,34,24,28,161
29,37,30,23,42,29,40,197
23,28,20,33,43,28,29,143
27,25,29,21,46,32,30,247
15,32,26,21,38,33,38,128
19,20,23,13,37,34,35,108
24,36,23,20,32,30,35,92
29,35,27,24,41,28,25,302
22,33,20,30,35,27,26,165
24,30,17,32,41,38,33,205
22,35,19,24,35,29,22,221
20,12,22,25,39,37,29,209
21,39,27,24,49,36,32,223
25,52,17,29,42,26,30,199
37,38,26,23,32,30,28,288
24,15,20,32,33,33,35,246
29,41,28,33,37,31,30,102
31,25,21,33,45,25,25,263
35,38,26,30,34,24,26,149
33,24,19,37,38,26,25,223
26,29,19,20,36,25,24,36
17,42,8,35,41,25,25,325
25,13,22,35,37,29,29,384
27,34,27,22,32,23,27,424
14,33,21,32,36,35,29,46
16,49,16,32,32,26,26,60
20,43,21,33,37,31,29,274
31,29,28,19,24,27,22,252
25,24,23,25,44,26,27,217
25,24,24,16,27,27,24,291
27,40,25,23,39,32,25,21
19,38,21,28,41,33,28,155
26,29,8,24,50,24,14,9
18,39,20,19,40,27,31,23
36,31,19,32,45,37,31,217
27,18,17,28,47,38,26,291
23,21,29,19,40,38,39,312
21,42,20,36,44,33,36,120
22,32,23,30,50,31,27,170
35,34,29,25,33,22,28,255
23,23,27,16,43,30,36,241
17,42,27,18,40,28,34,7
31,39,23,29,34,30,38,352
21,49,29,27,34,24,40,50
35,22,33,36,29,27,31,271
35,26,25,33,27,22,34,328
24,26,28,32,40,29,31,215
33,22,29,14,40,19,33,136
28,28,19,38,42,34,24,211
21,22,8,36,29,21,29,230
23,16,28,30,42,30,33,337
20,35,16,24,37,32,34,139
31,47,23,15,47,38,28,146
18,48,24,37,36,25,40,308
19,40,22,34,39,20,26,202
22,26,21,18,25,40,29,99
28,38,23,8,41,30,35,28
27,12,29,16,32,25,23,76
20,45,30,15,42,32,34,112
28,31,22,23,41,34,24,301
32,52,23,23,27,32,31,166
26,26,24,24,36,29,39,259
25,53,24,20,41,32,31,145
22,14,30,36,37,26,27,310
17,46,23,31,23,21,30,158
20,41,19,24,34,28,26,183
23,29,21,22,44,31,29,246
30,18,27,38,44,29,30,257
19,34,15,40,43,30,34,223
34,29,34,30,39,31,18,332
20,23,30,20,43,34,42,146
36,18,29,29,33,31,31,394
32,20,27,26,43,24,29,176
22,18,25,32,36,31,28,178
22,24,18,40,38,37,39,363
23,22,22,34,43,30,24,262
36,42,20,31,33,28,37,275
24,27,36,31,30,38,38,594
23,33,31,31,44,29,40,183
24,50,25,33,40,36,28,312
19,24,14,25,34,34,31,250
35,21,23,32,35,30,22,303
29,27,14,33,37,26,20,193
25,31,28,11,34,26,35,128
25,43,27,14,33,30,31,137
21,48,10,26,43,38,32,172
16,21,19,27,42,26,32,137
23,36,36,21,25,25,39,241
30,35,20,24,42,38,25,297
27,39,14,34,29,31,22,335
21,37,17,37,30,26,31,91
26,43,27,31,37,27,32,243
28,18,34,23,33,29,40,209
28,39,23,25,26,35,36,436
18,62,8,20,36,37,30,241
22,35,21,26,37,37,31,103
33,15,25,32,34,29,41,403
14,28,18,23,37,33,34,102
25,43,22,19,36,25,35,123
17,32,20,17,34,30,22,39
29,42,36,31,39,25,36,175
12,51,8,39,40,28,22,34
28,34,21,19,40,30,35,290
29,34,21,27,42,26,39,293
35,43,25,30,37,27,35,98
28,50,25,33,35,19,28,160
39,29,29,20,40,39,26,250
34,37,17,30,36,29,26,164
25,34,28,28,28,35,36,465
15,29,15,37,38,32,33,275
30,22,23,21,29,24,22,73
16,54,19,22,36,40,36,121
24,29,20,24,39,23,37,135
27,21,27,30,33,26,27,136
18,47,20,29,44,32,27,190
21,40,20,24,35,18,26,181
25,24,26,14,42,25,26,275
25,20,27,28,29,36,18,283
30,37,25,33,48,31,34,279
29,38,25,24,39,32,26,139
26,28,18,25,32,42,27,188
28,26,30,21,35,31,36,316
17,32,19,22,44,36,40,95
29,46,17,21,39,29,32,213
33,36,26,24,38,38,29,379
26,41,21,33,37,38,32,237
30,31,11,26,33,29,29,236
23,26,33,32,41,29,43,131
28,26,26,31,36,31,24,440
20,52,18,27,35,33,25,205
25,29,20,19,40,29,25,107
19,41,31,16,28,26,40,120
12,28,34,21,31,26,41,25
26,31,27,26,32,34,19,156
13,41,20,12,34,36,29,50
13,27,19,19,42,21,34,50
25,17,18,25,47,34,16,126
16,31,18,23,36,25,40,95
23,29,13,23,35,36,30,211
25,35,21,30,40,26,29,203
27,18,23,20,36,36,24,227
25,35,16,35,35,34,24,270
29,38,31,19,31,27,37,402
30,34,30,32,40,25,26,259
36,35,28,27,27,23,34,193
20,19,25,30,40,34,34,250
32,25,19,29,41,27,26,291
32,33,27,29,44,41,36,272
37,29,19,35,43,40,21,147
21,24,18,25,50,26,29,109
19,34,25,30,40,31,41,194
13,61,12,22,37,32,34,19
29,48,18,33,35,34,42,134
22,31,28,16,41,31,32,198
26,35,21,21,32,33,32,328
24,39,25,27,44,31,31,378
24,20,13,28,43,30,24,62
36,31,31,24,34,25,26,151
35,12,27,28,38,37,22,189
27,35,20,21,34,35,29,241
23,39,25,27,45,34,24,53
32,34,27,23,36,32,34,270
28,32,22,24,34,31,27,179
22,25,34,29,41,27,28,221
26,27,23,25,39,31,25,44
22,34,11,23,46,30,16,133
12,55,24,22,34,31,34,101
21,24,21,32,38,35,29,247
21,39,25,21,25,30,29,171
22,31,18,24,29,34,22,64
23,32,26,23,43,31,35,289
26,31,21,31,30,30,29,46
14,32,16,31,38,32,36,190
36,27,25,38,38,37,30,198
15,23,20,30,38,27,30,102
29,41,25,25,47,32,38,103
27,18,19,27,36,32,26,283
14,37,24,25,43,35,38,323
18,45,14,28,37,38,30,297
28,24,16,21,42,33,22,253
27,41,19,13,45,30,27,161
31,36,25,23,27,26,25,343
26,45,26,33,36,30,33,298
22,21,19,28,41,23,32,189
25,29,27,29,38,32,32,215
23,52,25,32,39,30,40,261
21,37,25,24,37,41,41,172
25,25,26,12,36,33,39,213
31,38,20,14,41,30,28,146
15,45,19,34,47,34,32,179
32,19,24,35,27,26,29,359
30,24,34,23,27,21,37,230
16,27,11,38,34,26,34,144
24,20,20,38,36,28,32,202
32,20,24,25,29,29,35,167
31,45,19,24,38,30,32,141
23,21,21,23,36,42,27,260
32,38,21,23,37,31,24,264
35,26,30,18,27,40,34,263
25,31,20,32,40,26,38,237
22,39,18,28,34,33,31,213
25,48,27,35,32,25,36,291
23,13,30,35,46,35,29,174
22,45,11,21,30,34,28,157
24,22,16,34,44,38,31,237
23,13,26,20,37,29,29,55
19,37,31,24,44,30,37,150
28,26,29,29,40,29,29,354
24,37,19,30,42,24,21,374
19,39,24,27,39,43,30,226
31,37,14,17,34,25,35,157
24,36,23,19,35,27,23,128
26,37,29,24,31,29,35,190
28,22,15,26,44,26,29,96
18,19,20,31,38,26,26,156
27,39,33,24,27,33,35,311
30,37,31,30,44,28,29,169
27,21,20,30,39,29,39,158
34,21,23,24,49,27,27,222
21,37,14,19,38,38,30,90
26,14,18,18,37,32,23,214
33,32,28,27,42,30,32,53
23,35,19,23,36,36,23,257
23,40,22,18,43,26,31,314
15,33,23,30,35,18,32,141
34,27,32,17,42,28,28,220
15,50,23,26,32,23,34,143
24,32,31,18,34,39,39,285
25,35,29,20,27,32,30,110
43,20,30,25,35,30,33,447
23,24,25,25,31,25,33,225
19,42,21,16,46,40,38,229
27,38,12,26,45,28,26,259
29,37,30,23,42,34,31,185
19,38,14,25,38,28,29,247
35,33,29,19,27,34,26,121
19,36,28,20,33,37,32,115
21,41,25,28,42,31,37,175
23,16,20,22,35,29,31,202
25,22,16,21,40,37,29,130
23,50,20,32,37,29,24,113
23,33,19,33,37,27,30,213
20,19,16,36,44,29,31,164
24,51,23,22,43,27,29,175
29,51,23,28,36,24,45,266
23,32,14,39,43,33,29,267
26,27,20,26,47,25,19,31
27,37,21,33,46,30,32,288
19,25,8,23,23,31,19,114
25,22,14,38,31,30,22,224
29,28,20,25,25,42,31,449
26,30,30,25,33,26,35,438
24,29,28,24,43,32,31,268
14,32,24,29,37,34,23,204
22,35,21,32,36,32,43,334
22,37,28,21,44,28,34,40
27,25,23,29,47,32,21,210
25,28,22,21,30,25,33,58
13,42,15,26,45,33,26,135
30,41,22,24,41,29,25,248
23,25,27,22,40,35,43,192
26,20,34,20,36,37,30,248
14,38,24,29,31,38,35,273
25,26,30,24,49,35,30,258
29,43,29,12,36,24,30,206
21,18,26,27,38,31,38,166
20,33,24,29,40,27,26,42
38,15,35,14,38,27,31,271
12,51,22,26,35,38,36,193
19,36,24,30,45,33,38,229
27,26,12,18,25,35,23,391
17,43,26,19,30,36,31,213
26,43,18,27,40,32,35,38
24,33,28,22,43,33,33,146
30,29,15,34,39,31,22,221
30,34,18,30,28,38,28,221
14,32,12,26,28,26,37,253
14,64,23,23,42,26,34,39
25,27,30,17,39,24,36,183
13,55,21,34,24,29,33,211
25,44,29,25,36,27,31,155
25,30,30,30,46,27,35,172
27,38,32,26,32,32,34,172
24,48,13,34,46,39,26,70
20,12,25,39,41,25,32,111
32,34,11,29,42,30,36,127
10,47,17,37,41,29,28,43
30,38,20,23,41,33,28,223
20,38,19,16,36,30,29,176
26,32,24,33,37,23,38,207
28,35,20,31,39,30,36,244
25,25,27,32,29,29,31,273
21,45,16,28,42,26,25,158
29,32,26,30,47,30,32,213
40,32,23,29,45,26,24,224
17,36,22,22,43,35,30,136
27,46,29,32,35,37,30,287
29,29,32,23,34,35,32,184
27,40,25,20,41,26,32,271
25,23,18,27,38,28,26,242
29,14,27,30,49,37,27,177
28,20,27,20,39,21,35,225
26,36,23,14,33,27,25,292
27,42,16,38,43,25,27,204
25,45,15,37,45,36,29,269
30,41,20,34,35,32,36,326
24,32,20,35,36,27,27,90
32,23,12,23,39,34,26,276
24,36,22,24,36,37,33,398
23,50,17,28,38,24,30,54
29,24,31,19,29,30,33,288
24,24,23,27,40,29,28,243
32,26,17,39,44,30,28,243
23,18,19,26,43,26,28,157
30,28,15,29,32,30,19,265
22,28,17,25,45,37,30,233
29,26,22,30,37,37,29,176
22,24,24,28,35,27,33,202
28,48,21,28,33,34,31,194
31,21,19,34,36,36,30,203
30,17,15,28,41,34,17,368
25,31,21,16,35,28,30,45
15,45,18,33,27,30,27,247
17,43,20,22,35,28,30,133
21,49,21,21,42,22,30,138
25,14,30,18,46,32,30,229
27,25,32,26,44,33,26,414
36,25,25,29,50,26,27,325
13,29,25,37,32,39,39,348
19,29,31,36,44,38,37,414
24,37,20,31,43,24,25,70
21,27,20,24,39,28,29,102
21,53,29,31,43,33,27,114
37,38,28,33,39,24,22,316
37,34,38,22,43,32,37,270
29,13,28,25,39,34,35,185
22,15,17,25,49,24,29,186
21,29,20,31,40,38,30,355
18,30,15,24,38,37,29,134
33,20,34,27,35,25,24,357
19,49,22,24,35,32,36,258
31,43,20,21,34,33,28,284
23,34,24,17,41,26,37,93
29,40,28,22,39,34,25,177
24,31,26,22,45,38,36,278
16,19,17,29,36,25,36,24
16,39,19,22,32,31,22,77
30,39,30,34,38,31,42,247
23,29,30,25,40,26,29,128
24,18,23,18,31,30,33,88
29,33,18,22,49,34,41,277
30,30,34,28,46,30,34,262
19,32,22,20,29,32,30,175
31,32,21,23,40,25,31,184
21,36,14,30,43,36,31,113
20,40,20,29,37,31,36,252
17,43,19,29,45,37,29,141
41,42,31,22,29,19,21,279
34,37,32,15,49,33,27,148
21,27,23,35,39,36,30,123
26,40,20,32,31,32,18,231
27,22,25,28,50,21,32,154
25,36,17,27,36,26,29,128
33,29,17,25,30,29,33,460
27,28,21,28,48,29,33,299
19,24,19,25,40,33,30,319
29,16,27,33,33,27,35,402
24,12,23,25,30,32,28,265
32,15,31,25,41,26,29,110
19,46,31,26,31,36,36,237
27,43,27,19,33,28,35,221
21,28,23,27,38,40,21,274
28,28,33,23,40,30,36,134
33,25,25,31,47,34,20,284
21,41,21,33,37,35,37,216
41,26,17,32,34,39,19,338
16,52,15,23,39,27,33,192
24,35,28,19,33,34,34,497
26,22,20,23,33,26,32,299
29,34,25,17,47,24,29,236
22,36,18,24,45,27,22,108
23,37,20,36,35,36,30,269
27,34,24,29,37,40,34,379
25,48,20,40,47,30,35,169
10,37,15,10,38,29,40,150
25,39,28,21,33,32,40,261
15,33,31,37,33,40,34,360
28,29,24,21,32,28,26,55
40,22,29,29,41,20,28,137
42,36,26,17,47,32,29,392
23,17,30,25,41,33,43,181
31,34,24,29,44,34,31,97
31,25,30,19,24,26,29,210
10,42,30,27,35,28,33,130
24,38,22,32,34,28,36,295
17,44,15,17,41,28,31,185
26,21,19,24,35,36,28,286
27,17,19,28,38,30,34,329
19,26,26,33,30,25,38,113
26,21,11,31,44,37,26,203
23,39,22,19,36,31,37,313
10,51,12,36,39,40,27,275
20,44,15,31,38,22,31,118
26,38,37,28,35,29,39,186
26,38,32,27,39,29,38,135
18,28,23,26,33,18,34,39
34,13,28,23,45,32,21,204
18,34,15,24,34,32,21,48
37,35,25,25,38,30,34,388
15,49,21,27,32,26,28,102
14,47,19,31,43,37,43,176
32,43,25,27,45,27,40,96
26,48,26,30,20,31,38,131
20,40,25,26,44,33,40,362
29,15,21,22,29,19,21,243
34,47,31,31,50,28,25,237
24,46,19,20,46,40,30,364
30,12,23,16,40,34,29,262
13,27,23,25,39,35,34,257
23,15,25,30,39,21,38,114
31,32,17,27,43,32,27,273
32,35,22,31,31,32,34,197
26,12,23,22,44,36,37,169
30,36,17,20,35,23,28,136
25,21,20,21,39,39,30,355
29,21,28,29,39,25,32,248
18,29,23,23,33,22,33,211
29,32,24,25,39,35,34,260
18,36,18,19,41,36,33,134
12,44,18,21,30,35,34,92
24,20,9,39,34,34,20,331
23,32,24,21,46,34,28,217
30,26,31,25,34,26,26,271
33,40,9,29,26,28,26,188
20,28,21,29,32,31,28,59
27,35,24,34,37,25,29,173
33,20,29,38,37,26,42,472
31,16,27,23,35,18,43,106
31,42,32,18,33,31,28,278
26,18,36,12,41,29,34,239
26,34,28,23,39,34,25,224
27,43,24,21,36,33,31,136
