ppt,task,condition,group,score
ppt_15,task_05,B,1,9
ppt_15,task_06,A,1,7
ppt_15,task_07,A,1,6.6
ppt_15,task_08,A,1,7.6
ppt_15,task_09,A,1,8.2
ppt_15,task_10,A,1,6.9
ppt_16,task_01,B,2,7.6
ppt_16,task_02,B,2,9.4
ppt_16,task_03,B,2,6.3
ppt_16,task_04,B,2,11.9
ppt_16,task_05,B,2,9.4
ppt_16,task_06,A,2,10.3
ppt_16,task_07,A,2,11.8
ppt_16,task_08,A,2,10.5
ppt_16,task_09,A,2,8.4
ppt_16,task_10,A,2,10.3
ppt_17,task_01,B,1,14.5
ppt_17,task_02,B,1,14.3
ppt_17,task_03,B,1,13
ppt_17,task_04,B,1,17.1
ppt_17,task_05,B,1,17.4
ppt_17,task_06,A,1,11.3
ppt_17,task_07,A,1,13.6
ppt_17,task_08,A,1,12.3
ppt_17,task_09,A,1,12.8
ppt_17,task_10,A,1,12.7
ppt_18,task_01,B,2,13.8
ppt_18,task_02,B,2,14.4
ppt_18,task_03,B,2,11
ppt_18,task_04,B,2,14.7
ppt_18,task_05,B,2,15.2
ppt_18,task_06,A,2,8.7
ppt_18,task_07,A,2,11.7
ppt_18,task_08,A,2,9.9
ppt_18,task_09,A,2,8.4
ppt_18,task_10,A,2,9.5
ppt_19,task_01,B,1,8.7
ppt_19,task_02,B,1,10.1
ppt_19,task_03,B,1,7.4
ppt_19,task_04,B,1,12
ppt_19,task_05,B,1,10.9
ppt_19,task_06,A,1,7
ppt_19,task_07,A,1,9
ppt_19,task_08,A,1,6.8
ppt_19,task_09,A,1,8.5
ppt_19,task_10,A,1,7.5
ppt_20,task_01,B,2,12.9
ppt_20,task_02,B,2,14.4
ppt_20,task_03,B,2,11.6
ppt_20,task_04,B,2,15.1
ppt_20,task_05,B,2,14.6
ppt_20,task_06,A,2,11.2
ppt_20,task_07,A,2,12.1
ppt_20,task_08,A,2,12.9
ppt_20,task_09,A,2,11.5
ppt_20,task_10,A,2,11.3
