ID,Acad,Teach_r,Non_agg,Agg
386,67.5,24,13,15
387,58.3,31,13,10
388,76,27,18,16
389,73.7,24,16,13
390,41.8,22,16,16
391,52.1,23,18,19
392,64.8,23,15,13
393,61.2,23,16,19
394,95.7,28,14,12
395,58.1,18,19,18
396,49.4,20,17,16
397,64.7,26,14,14
398,54.6,17,20,16
399,62.3,27,14,17
400,64.8,16,16,16
401,53.4,23,17,19
402,76.4,24,12,14
403,73.8,31,12,11
404,64.8,25,15,11
405,68.8,31,9,8
406,45.5,24,15,16
407,33.3,16,21,17
408,71.8,22,15,11
409,58.7,23,15,14
410,58.2,33,12,9
411,44.2,30,10,10
412,42.5,21,17,19
413,55.9,29,17,16
414,73.5,17,21,20
415,37.4,19,18,11
416,66.8,20,14,13
417,52.4,31,8,8
418,43.5,24,18,16
419,52.9,18,22,16
420,52,24,11,13
421,18.8,16,24,22
422,44.1,24,16,17
423,39.1,23,20,18
424,50.9,25,16,17
425,50.1,19,17,16
426,51.8,20,17,13
427,62.5,30,14,12
428,46.3,13,25,21
429,60.8,20,18,18
430,61.6,24,14,15
431,43.3,19,16,16
432,58.7,24,11,13
433,55.9,18,17,15
434,33.9,27,16,14
435,47.3,26,15,12
436,76.8,23,14,12
437,39.3,12,21,21
438,48.6,24,11,14
439,48.7,23,16,16
440,49.3,21,18,17
441,60.3,27,10,15
442,71.1,24,16,13
443,73.3,19,14,16
444,54.2,29,12,13
445,63,27,17,14
446,44.8,20,17,17
447,57.7,29,16,12
448,51.3,24,12,17
449,34.2,20,15,17
450,49.4,17,16,19
451,61.5,22,12,11
452,57.9,23,15,14
453,54.8,21,18,16
454,79.2,26,10,11
455,46,23,18,17
456,59.7,24,14,14
457,48.7,14,17,17
458,47,18,18,19
459,50.3,18,18,20
460,47.2,23,16,14
461,30.3,17,19,16
462,25.5,15,18,21
463,53.6,24,18,16
464,83.3,24,14,13
465,48.5,19,23,21
466,68.8,25,16,14
467,34.3,24,16,16
468,68.7,28,14,12
469,54.1,23,17,15
470,29.2,18,17,16
471,62.9,27,15,14
472,59.9,16,17,19
473,54.9,26,17,13
474,60.2,27,16,13
475,69.4,33,14,11
476,93.7,31,8,12
477,38.5,13,18,18
478,48.5,24,17,19
479,25.2,17,18,18
480,58,27,17,18
481,80.1,24,19,14
482,59.8,20,16,17
483,61.1,23,12,16
484,70.5,25,14,11
485,70.9,29,12,12
486,41.9,18,17,18
487,57.7,24,13,14
488,45.1,22,17,20
489,71.8,26,17,13
490,62.6,25,11,11
491,45,25,14,13
492,70,21,14,17
493,54.8,19,19,21
494,86.1,24,16,14
495,51.5,24,15,14
496,73.9,25,13,13
497,56,17,17,18
498,49,27,16,18
499,33.9,18,12,15
500,30.4,17,18,14
501,58.5,17,20,20
502,89.4,31,8,10
503,54.4,19,19,19
504,78,23,16,13
505,61.5,24,12,17
506,41.4,20,15,14
507,70.1,21,18,15
508,41.9,16,20,19
509,52.7,20,14,17
510,47.1,24,12,14
511,34.8,16,16,20
512,62.9,22,13,14
513,66.5,21,14,15
514,47.9,18,19,19
515,41.1,21,13,13
516,43.8,12,21,23
517,23,14,19,21
518,41.1,15,18,20
519,46.8,19,19,19
520,60,16,19,21
521,79.9,31,9,10
522,59,28,11,16
523,85.5,34,12,10
524,48.8,12,18,20
525,57.3,25,14,11
526,70.5,21,16,14
527,41.4,26,20,19
528,69.3,19,17,17
529,47.2,20,18,18
530,55.3,22,14,16
531,50.5,24,16,13
532,53.7,25,16,12
533,59.4,25,16,16
534,67.9,24,18,18
535,36.3,27,11,13
536,76,28,13,12
537,51.9,20,17,18
538,59,21,17,16
539,49.1,17,17,17
540,56.4,24,15,15
541,68.9,25,14,14
542,62.3,23,14,14
543,38.8,15,20,15
544,66,18,17,16
545,76.9,16,17,17
546,53.2,21,16,15
547,22.2,14,21,22
548,55.6,20,19,15
549,48.4,27,12,16
550,55.3,23,12,12
551,51,18,21,24
552,60.1,17,22,20
553,27.6,15,22,17
554,70.2,20,15,17
555,59.1,29,17,13
556,67.6,21,14,12
557,63.8,20,17,18
