monkey,day,age,time,total
9344,2,16,60,572
9355,1,16,90,363
9355,2,16,111,229
9411,1,16,58,138
9411,2,16,42,172
9416,1,16,120,1338
9416,2,16,76,790
9542,1,26,61,281
9542,2,26,104,1467
9598,1,15,102,988
9598,2,15,120,973
9609,1,15,14,91
9609,2,15,42,416
9615,1,15,29,241
9615,2,15,44,178
9662,1,15,63,665
9662,2,15,75,494
9680,1,15,2,0
9680,2,15,14,16
9683,1,15,76,666
9683,2,15,74,632
9771,1,15,0,0
9771,2,15,12,202
9847,1,15,41,202
9847,2,15,51,329
9926,1,15,107,702
9926,2,15,86,708
9940,1,15,13,120
9940,2,15,86,168
9986,1,15,67,432
9986,2,15,49,511
10069,1,20,14,44
10069,2,20,47,307
10084,1,20,29,203
10084,2,20,104,844
10290,1,15,28,96
10290,2,15,103,2385
10399,1,23,35,326
10399,2,23,60,376
10646,1,14,90,695
10646,2,14,76,573
10790,1,14,94,432
10790,2,14,88,760
10826,1,14,-3,0
10826,2,14,80,630
10850,1,14,44,285
10850,2,14,43,339
10866,1,14,-4,0
10866,2,14,56,163
11252,1,14,118,2168
11252,2,14,120,1432
11440,1,13,93,794
11440,2,13,47,77
11446,1,13,89,340
11446,2,13,120,664
11475,1,13,13,5
11475,2,13,43,201
11483,1,13,63,292
11483,2,13,72,1026
11484,1,13,66,353
11484,2,13,105,1888
11542,1,13,1,0
11542,2,13,73,571
11717,1,13,43,379
11717,2,13,41,53
11754,1,13,44,322
11754,2,13,46,152
11781,1,13,91,751
11781,2,13,58,355
11799,1,13,73,552
11799,2,13,103,1284
11895,1,13,19,22
11895,2,13,27,297
11916,1,13,74,293
11916,2,13,51,168
12017,1,13,90,240
12017,2,13,41,145
12164,1,12,73,553
12164,2,12,46,198
12298,1,12,119,1444
12298,2,12,103,1165
12355,1,12,119,851
12355,2,12,75,982
12368,1,12,5,0
12368,2,12,60,391
12381,1,12,63,261
12381,2,12,47,64
12505,1,12,75,393
12505,2,12,70,536
12520,1,12,58,217
12520,2,12,44,108
12532,1,12,75,907
12532,2,12,79,676
12630,1,12,67,287
12630,2,12,65,651
12631,1,12,105,810
12631,2,12,70,622
12749,1,12,74,396
12749,2,12,90,353
12906,1,12,18,291
12906,2,12,18,149
12947,1,11,47,387
12947,2,11,56,307
12958,1,11,63,317
12958,2,11,104,666
13121,1,11,16,10
13121,2,11,75,428
13129,1,11,46,352
13129,2,11,60,696
13131,1,11,55,422
13131,2,11,32,400
13260,1,11,16,203
13260,2,11,104,678
13279,1,11,30,97
13279,2,11,75,367
13312,1,11,46,255
13312,2,11,35,226
13442,1,11,29,283
13442,2,11,16,16
13473,1,11,79,400
13473,2,11,63,363
13578,1,11,33,96
13578,2,11,58,106
13590,1,11,96,411
13590,2,11,60,288
13790,1,10,66,241
13790,2,10,41,153
13825,1,10,15,92
13825,2,10,64,67
13883,1,10,73,1176
13883,2,10,43,216
13922,1,10,87,522
13922,2,10,72,686
14043,1,10,59,398
14043,2,10,91,485
14066,1,10,9,115
14066,2,10,61,742
14077,1,10,64,481
14077,2,10,81,853
14137,1,10,49,104
14137,2,10,17,11
14165,1,10,40,146
14165,2,10,73,314
14177,1,10,74,842
14177,2,10,2,0
14307,1,10,75,443
14307,2,10,56,1583
14323,1,10,80,455
14323,2,10,108,321
14351,1,10,91,461
14351,2,10,64,241
14651,1,9,101,1448
14651,2,9,62,588
14666,1,9,13,138
14666,2,9,62,508
14699,1,9,75,543
14699,2,9,107,1293
14823,1,9,120,676
14823,2,9,105,1387
14826,1,9,33,143
14826,2,9,-4,0
14902,1,9,88,230
14902,2,9,50,169
14919,1,9,91,369
14919,2,9,39,133
14985,1,9,71,452
14985,2,9,74,730
15041,1,9,63,576
15041,2,9,75,664
15088,1,9,32,104
15088,2,9,33,27
15120,1,9,35,96
15120,2,9,30,54
15218,1,9,30,15
15218,2,9,55,318
15530,1,8,90,510
15530,2,8,43,380
15642,1,8,27,147
15642,2,8,89,1248
15732,1,8,78,1142
15732,2,8,24,43
15820,1,8,44,293
15820,2,8,30,217
15909,1,8,-3,0
15909,2,8,46,64
15926,1,8,76,438
15926,2,8,45,204
16002,1,8,68,710
16002,2,8,113,401
16090,1,8,74,633
16090,2,8,62,520
16097,1,8,46,128
16097,2,8,18,123
16169,1,8,92,903
16169,2,8,89,706
16236,1,8,1,0
16236,2,8,57,193
16258,1,8,33,478
16258,2,8,59,598
16447,1,7,120,1427
16447,2,7,115,2711
16553,1,7,89,577
16553,2,7,32,179
16556,1,7,92,389
16556,2,7,58,368
16598,1,7,27,112
16598,2,7,30,32
16670,1,7,45,42
16670,2,7,10,96
16736,1,7,60,422
16736,2,7,106,324
16807,1,7,16,187
16807,2,7,27,289
16972,1,7,76,497
16972,2,7,94,582
17037,1,7,61,195
17037,2,7,72,382
17047,1,7,74,559
17047,2,7,120,788
17069,1,7,43,167
17069,2,7,69,303
17103,1,7,3,0
17103,2,7,103,429
17285,1,7,73,247
17285,2,7,50,242
17516,1,6,28,287
17516,2,6,63,946
17718,1,6,41,330
17718,2,6,-1,0
17738,1,6,15,87
17738,2,6,86,130
17794,1,6,-2,0
17794,2,6,30,181
17825,1,6,47,115
17825,2,6,40,343
17927,1,6,-1,0
17927,2,6,32,118
18038,1,6,58,285
18038,2,6,46,464
18067,1,6,16,160
18067,2,6,31,128
18069,1,6,92,1221
18069,2,6,105,703
18106,1,6,44,290
18106,2,6,82,840
18153,1,6,45,301
18153,2,6,106,726
18230,1,5,92,1097
18230,2,5,43,492
18232,1,5,95,663
18232,2,5,76,910
18364,1,5,90,784
18364,2,5,79,240
18407,1,5,88,406
18407,2,5,119,891
18450,1,5,67,138
18450,2,5,75,750
18489,1,5,20,60
18520,1,5,86,1105
18520,2,5,104,1459
18569,1,5,91,785
18569,2,5,31,96
18652,1,5,87,719
18652,2,5,105,976
18653,1,5,72,435
18653,2,5,62,272
18873,1,5,63,923
18873,2,5,68,918
18947,1,5,109,1527
18947,2,5,86,814
19178,1,4,16,71
19178,2,4,17,44
19220,1,4,89,293
19220,2,4,58,174
19239,1,4,90,461
19239,2,4,31,193
22020,1,18,63,319
22020,2,18,69,351
22021,1,18,85,310
22021,2,18,34,138
22023,1,22,48,434
22023,2,22,46,272
22024,1,17,17,131
22024,2,17,33,65
22025,1,22,22,60
22025,2,22,18,22
22047,1,19,59,595
22047,2,19,46,215
22048,1,19,29,304
22048,2,19,33,272
22049,1,19,89,1033
22049,2,19,47,304
22050,1,21,29,109
22050,2,21,12,89
22052,1,22,49,645
22052,2,22,92,853
22053,1,23,110,754
22053,2,23,75,534
22054,1,19,78,185
22054,2,19,36,66
22055,1,23,119,1465
22055,2,23,86,737
22056,1,20,74,845
22056,2,20,74,614
22057,1,21,75,581
22057,2,21,65,327
22058,1,25,89,702
22058,2,25,46,347
22060,1,19,44,290
22060,2,19,0,0
22062,1,21,91,529
22062,2,21,64,207
22064,1,21,30,290
22064,2,21,47,136
