ppt,env_att,DET,day,EFZ
ppt009,63,Control,1,-0.3224201440245575
ppt009,63,Control,2,0.23289692988328992
ppt009,63,Control,3,0.33827156011778003
ppt009,63,Control,4,-0.37403488420143666
ppt009,63,Control,5,-0.37232972006853987
ppt009,63,Control,6,-0.25969107800402735
ppt009,63,Control,7,-0.03359569390989922
ppt009,63,Control,8,-0.33875113183356653
ppt009,63,Control,9,-0.17831185214613612
ppt009,63,Control,10,-0.07064101040846155
ppt010,56,Control,1,1.0473247131846681
ppt010,56,Control,2,0.5687312213243813
ppt010,56,Control,3,1.026840625129617
ppt010,56,Control,4,0.589436651461351
ppt010,56,Control,5,0.5417974523025227
ppt010,56,Control,6,-0.03309681497108193
ppt010,56,Control,7,-0.0234309922408625
ppt010,56,Control,8,-0.31990365863683484
ppt010,56,Control,9,-0.4043545266137357
ppt010,56,Control,10,-0.3632643833916399
ppt011,62,Control,1,-0.07736444690167026
ppt011,62,Control,2,0.09038705192086345
ppt011,62,Control,3,0.15436685844000128
ppt011,62,Control,4,-0.19882024558876768
ppt011,62,Control,5,-0.06428786187100764
ppt011,62,Control,6,-0.6663207874526348
ppt011,62,Control,7,-0.4940419702214698
ppt011,62,Control,8,-0.33970979426194847
ppt011,62,Control,9,-0.5285519490412144
ppt011,62,Control,10,-0.515991468854445
ppt012,62,Control,1,0.22275400023698125
ppt012,62,Control,2,-0.5898103903645563
ppt012,62,Control,3,0.957855317173218
ppt012,62,Control,4,0.6977519483297678
ppt012,62,Control,5,0.7196682311532038
ppt012,62,Control,6,0.6124161378546602
ppt012,62,Control,7,0.871968471204821
ppt012,62,Control,8,0.8795946218311441
ppt012,62,Control,9,1.7462450372655653
ppt012,62,Control,10,1.8672756105147619
ppt013,46,Control,1,1.3338933812927558
ppt013,46,Control,2,0.8633624662504412
ppt013,46,Control,3,1.503596480766002
ppt013,46,Control,4,1.8074661366471325
ppt013,46,Control,5,2.075422246006285
ppt013,46,Control,6,1.9326246497653612
ppt013,46,Control,7,2.4442741613079346
ppt013,46,Control,8,2.1957147370121075
ppt013,46,Control,9,2.110879321765299
ppt013,46,Control,10,2.5200189620716498
ppt014,70,Control,1,-1.2215756082336662
ppt014,70,Control,2,-1.106184238161906
ppt014,70,Control,3,-1.1827707618573404
ppt014,70,Control,4,-1.1551743001539148
ppt014,70,Control,5,-0.11212883180682681
ppt014,70,Control,6,-1.3395050347908906
ppt014,70,Control,7,-1.2164440282272577
ppt014,70,Control,8,-0.9871393295397707
ppt014,70,Control,9,-0.7739095629664733
ppt014,70,Control,10,-1.4567955167629545
ppt015,62,Control,1,0.11854109337593424
ppt015,62,Control,2,0.3172419325616892
ppt015,62,Control,3,0.09705143645283927
ppt015,62,Control,4,-0.805739359520704
ppt015,62,Control,5,-0.1731086797228978
ppt015,62,Control,6,-0.2739624731166741
ppt015,62,Control,7,-0.6164382522427032
ppt015,62,Control,8,-0.49899658187261725
ppt015,62,Control,9,-0.9363734113978203
ppt015,62,Control,10,-0.5948034719350164
ppt016,58,Control,1,0.4939546506948673
ppt016,58,Control,2,0.30720203343769553
ppt016,58,Control,3,0.1478349771605215
ppt016,58,Control,4,0.6245394783364524
ppt016,58,Control,5,0.4290461016327868
ppt016,58,Control,6,-0.011680556180804698
ppt016,58,Control,7,0.7410739702111249
ppt016,58,Control,8,0.5167923363416316
ppt016,58,Control,9,0.9157487903222269
ppt016,58,Control,10,0.652860166745629
ppt017,63,Control,1,-0.2914673996055383
ppt017,63,Control,2,0.028781163167417967
ppt017,63,Control,3,-0.016449039342754393
ppt017,63,Control,4,0.4396074829354415
ppt017,63,Control,5,0.2697933187485998
ppt017,63,Control,6,0.09984697746046452
ppt017,63,Control,7,0.2418126649160368
ppt017,63,Control,8,0.17166296669171024
ppt017,63,Control,9,-0.022388655945128292
ppt017,63,Control,10,0.33892627107385986
ppt018,60,Control,1,0.24614727608460021
ppt018,60,Control,2,0.7498235711818872
ppt018,60,Control,3,0.4320664495413947
ppt018,60,Control,4,-0.26910400713151855
ppt018,60,Control,5,0.44567262668210056
ppt018,60,Control,6,0.3346685221199315
ppt018,60,Control,7,-0.18601325462022728
ppt018,60,Control,8,0.16676331354675328
ppt018,60,Control,9,0.7004729893076892
ppt018,60,Control,10,0.3785607262717865
ppt019,57,Control,1,0.9521926606257863
ppt019,57,Control,2,0.4614818008057055
ppt019,57,Control,3,0.8090566822959947
ppt019,57,Control,4,0.38996736794277054
ppt019,57,Control,5,0.7683308390076886
ppt019,57,Control,6,0.0034932438182458895
ppt019,57,Control,7,0.2190945116767616
ppt019,57,Control,8,0.028646488649283784
ppt019,57,Control,9,0.3237098346277664
ppt019,57,Control,10,-0.40196869998437923
ppt020,57,Control,1,0.06225278906073587
ppt020,57,Control,2,0.17302965890872546
ppt020,57,Control,3,0.1162912361104599
ppt020,57,Control,4,0.07748968678028319
ppt020,57,Control,5,0.04271770040525782
ppt020,57,Control,6,0.9624922869675157
ppt020,57,Control,7,0.454466020642392
ppt020,57,Control,8,0.3867697568379832
ppt020,57,Control,9,0.09885221507634842
ppt020,57,Control,10,0.40677318221486886
ppt021,66,Control,1,-0.6962337770505177
ppt021,66,Control,2,-1.2734580437071357
ppt021,66,Control,3,-1.3457410572647897
ppt021,66,Control,4,-1.5338335477252456
ppt021,66,Control,5,-1.2561896324932744
ppt021,66,Control,6,-1.4755860944311123
ppt021,66,Control,7,-1.8161768165195715
ppt021,66,Control,8,-1.3744657002584482
ppt021,66,Control,9,-1.7567276236528953
ppt021,66,Control,10,-1.6056465391622565
ppt022,52,Control,1,1.9142657878277618
ppt022,52,Control,2,1.0057101471475456
ppt022,52,Control,3,0.7576911967129051
ppt022,52,Control,4,0.9736142411317802
ppt022,52,Control,5,1.1001134540448634
ppt022,52,Control,6,0.5180036468505744
ppt022,52,Control,7,0.7396010551404886
ppt022,52,Control,8,0.7382994254877896
ppt022,52,Control,9,0.57145866795092
ppt022,52,Control,10,0.3656052066372496
ppt023,64,Control,1,0.46772467160789183
ppt023,64,Control,2,0.5847688188294305
ppt023,64,Control,3,-0.30080419156237687
ppt023,64,Control,4,0.04082611077950313
ppt023,64,Control,5,0.36693787736163674
ppt023,64,Control,6,-0.5795260485938992
ppt023,64,Control,7,-0.8661402796889538
ppt023,64,Control,8,-0.2833621654406413
ppt023,64,Control,9,-0.6978374717506252
ppt023,64,Control,10,-0.9193052986427631
ppt024,55,Control,1,1.04018001475392
ppt024,55,Control,2,0.8694730249963847
ppt024,55,Control,3,0.3410496599337272
ppt024,55,Control,4,0.9717179021788046
ppt024,55,Control,5,1.0046991738205366
ppt024,55,Control,6,1.0714916631306128
ppt024,55,Control,7,1.019547711896589
ppt024,55,Control,8,1.1709571642381817
ppt024,55,Control,9,1.0125127786393557
ppt024,55,Control,10,0.6832128650907165
ppt025,69,Control,1,-0.7688155509678731
ppt025,69,Control,2,-1.1150170900937268
ppt025,69,Control,3,-1.0312426866550217
ppt025,69,Control,4,-0.8428665792314317
ppt025,69,Control,5,-0.7782493241330098
ppt025,69,Control,6,-1.0316825934570022
ppt025,69,Control,7,-1.0769473234217872
ppt025,69,Control,8,-1.9652711421228302
ppt025,69,Control,9,-1.5374190354639639
ppt025,69,Control,10,-1.8870013949647935
ppt026,56,Control,1,1.2887394511677115
ppt026,56,Control,2,1.0802366614918644
ppt026,56,Control,3,0.3493488604179236
ppt026,56,Control,4,0.46020103593705514
ppt026,56,Control,5,0.5271470645948412
ppt026,56,Control,6,-0.051497776030321296
ppt026,56,Control,7,0.7054809328468105
ppt026,56,Control,8,-0.2385456046567535
ppt026,56,Control,9,-0.016116427411772962
ppt026,56,Control,10,-0.1669875693339182
ppt027,55,Control,1,0.1141971676359203
ppt027,55,Control,2,0.38675340018318566
ppt027,55,Control,3,0.5182623758907302
ppt027,55,Control,4,0.9982012151654542
ppt027,55,Control,5,0.641609451576566
ppt027,55,Control,6,0.783739378100123
ppt027,55,Control,7,0.303721959650262
ppt027,55,Control,8,0.7728527249016954
ppt027,55,Control,9,0.5752582680780166
ppt027,55,Control,10,0.4673252616777409
ppt028,50,Control,1,1.3991858520237748
ppt028,50,Control,2,1.0862514605607407
ppt028,50,Control,3,1.315003803235465
ppt028,50,Control,4,0.7433238190730432
ppt028,50,Control,5,0.8548594112107173
ppt028,50,Control,6,1.3565093195620117
ppt028,50,Control,7,0.9471325219072567
ppt028,50,Control,8,0.509089940951889
ppt028,50,Control,9,0.8637308471136981
ppt028,50,Control,10,1.0009195087401985
ppt029,56,Control,1,1.4490397214128858
ppt029,56,Control,2,0.8221089060593645
ppt029,56,Control,3,0.6913400141848779
ppt029,56,Control,4,0.5233415795079498
ppt029,56,Control,5,0.18311750966099694
ppt029,56,Control,6,0.020929008749682704
ppt029,56,Control,7,0.1308251955134295
ppt029,56,Control,8,-0.07047317097415526
ppt029,56,Control,9,-0.15338324112752044
ppt029,56,Control,10,-0.2089312054820268
ppt030,66,Control,1,0.10411624278310809
ppt030,66,Control,2,-0.5878918612387722
ppt030,66,Control,3,-0.03020702566349114
ppt030,66,Control,4,-0.3255112770746623
ppt030,66,Control,5,0.1898689410996183
ppt030,66,Control,6,0.0774430771523227
ppt030,66,Control,7,0.18186728668517857
ppt030,66,Control,8,-0.10354376801008458
ppt030,66,Control,9,-0.019856534803746242
ppt030,66,Control,10,-0.38463618784841114
ppt031,36,Control,1,2.9298177474501386
ppt031,36,Control,2,3.4097829913917255
ppt031,36,Control,3,2.80338147117664
ppt031,36,Control,4,2.941864065137708
ppt031,36,Control,5,3.0211685724213644
ppt031,36,Control,6,3.040960934752187
ppt031,36,Control,7,2.130211293134292
ppt031,36,Control,8,3.096161321141691
ppt031,36,Control,9,2.2543927734899576
ppt031,36,Control,10,2.5834489499385893
ppt032,50,Control,1,1.0149027160150117
ppt032,50,Control,2,0.5699857751848858
ppt032,50,Control,3,0.9903617420680131
ppt032,50,Control,4,0.9697944826872966
ppt032,50,Control,5,0.26259233211899585
ppt032,50,Control,6,0.6351186143076013
ppt032,50,Control,7,1.1979950483620236
ppt032,50,Control,8,0.5821319756169778
ppt032,50,Control,9,1.051266556386873
ppt032,50,Control,10,0.46731242568764547
ppt033,54,Control,1,-0.016399739869349766
ppt033,54,Control,2,0.5117277164754547
ppt033,54,Control,3,0.6254533373908612
ppt033,54,Control,4,0.41491678726690945
ppt033,54,Control,5,-0.18297766342091665
ppt033,54,Control,6,0.7606013394046447
ppt033,54,Control,7,0.24303384772969003
ppt033,54,Control,8,0.6394907692243471
ppt033,54,Control,9,0.4852328907745201
ppt033,54,Control,10,0.25869508202122055
ppt034,65,Control,1,-0.23605944133446077
ppt034,65,Control,2,-0.9790731939154924
ppt034,65,Control,3,-1.095510921831571
ppt034,65,Control,4,-0.8788186986208119
ppt034,65,Control,5,-0.26763305818104177
ppt034,65,Control,6,-0.5311542061977131
ppt034,65,Control,7,-0.47580998502631505
ppt034,65,Control,8,-0.1892112634212213
ppt034,65,Control,9,-0.1498772250615433
ppt034,65,Control,10,-0.31117164093102634
ppt035,69,Control,1,-1.3388793854867562
ppt035,69,Control,2,-0.9507680927962586
ppt035,69,Control,3,-1.2010197494101342
ppt035,69,Control,4,-1.2555280149382446
ppt035,69,Control,5,-0.6579079398068929
ppt035,69,Control,6,-0.9999086376103641
ppt035,69,Control,7,-1.1243871598256245
ppt035,69,Control,8,6.500085390813335e-4
ppt035,69,Control,9,-0.8039893871180549
ppt035,69,Control,10,-0.8677273527014133
ppt036,56,Control,1,0.9724245826315538
ppt036,56,Control,2,0.4022793921754997
ppt036,56,Control,3,0.20428752885065374
ppt036,56,Control,4,0.20829332455649607
ppt036,56,Control,5,0.344027697428935
ppt036,56,Control,6,0.2240795262883009
ppt036,56,Control,7,-0.104336443397546
ppt036,56,Control,8,0.8383540922390752
ppt036,56,Control,9,0.5226237865385169
ppt036,56,Control,10,0.3528430230134598
ppt037,57,Control,1,0.3415637986705703
ppt037,57,Control,2,0.6348385372591923
ppt037,57,Control,3,0.6191130261917278
ppt037,57,Control,4,0.6362333228904532
ppt037,57,Control,5,0.7129420974902334
ppt037,57,Control,6,1.4526408967935498
ppt037,57,Control,7,0.6149033225776929
ppt037,57,Control,8,0.9375436162849883
ppt037,57,Control,9,0.835986332532065
ppt037,57,Control,10,0.9346633949108595
ppt038,58,Control,1,0.468074131098777
ppt038,58,Control,2,-0.0907989517942829
ppt038,58,Control,3,0.3266328019983015
ppt038,58,Control,4,0.5180454590181087
ppt038,58,Control,5,0.13373803305715545
ppt038,58,Control,6,0.39291430550303386
ppt038,58,Control,7,0.7592577625897514
ppt038,58,Control,8,0.5574214786388244
ppt038,58,Control,9,0.5296157683225549
ppt038,58,Control,10,0.34588228443384034
ppt039,62,Control,1,-0.029763472007768226
ppt039,62,Control,2,-0.1826428674605904
ppt039,62,Control,3,-0.48500700314941564
ppt039,62,Control,4,0.04880794130075228
ppt039,62,Control,5,0.2990633841734605
ppt039,62,Control,6,0.006684336413683919
ppt039,62,Control,7,-0.2814952281201275
ppt039,62,Control,8,0.6638885416496356
ppt039,62,Control,9,-0.13913188620085376
ppt039,62,Control,10,0.14151342095873648
ppt040,53,Control,1,1.1727619447857585
ppt040,53,Control,2,0.18692091041035747
ppt040,53,Control,3,1.322573098534552
ppt040,53,Control,4,0.8082817012042546
ppt040,53,Control,5,0.30360707921868524
ppt040,53,Control,6,0.16676612346619682
ppt040,53,Control,7,0.49931639054480553
ppt040,53,Control,8,0.21964584008880902
ppt040,53,Control,9,0.3117554101175064
ppt040,53,Control,10,-0.3580352600677356
ppt041,67,Control,1,-0.7757262952735815
ppt041,67,Control,2,-0.9734854333454835
ppt041,67,Control,3,-0.8187477226408021
ppt041,67,Control,4,-1.6841896532316858
ppt041,67,Control,5,-1.2870781872991826
ppt041,67,Control,6,-1.2944485022416288
ppt041,67,Control,7,-1.1903034918591016
ppt041,67,Control,8,-1.701753415770081
ppt041,67,Control,9,-1.7291968175286951
ppt041,67,Control,10,-1.6544990072151875
ppt042,74,Control,1,-1.7809704519724219
ppt042,74,Control,2,-1.918659689251383
ppt042,74,Control,3,-1.9072586760559616
ppt042,74,Control,4,-1.7509936274953606
ppt042,74,Control,5,-1.8440015279033366
ppt042,74,Control,6,-1.9190412228566136
ppt042,74,Control,7,-1.5495491487608317
ppt042,74,Control,8,-1.3922482580647086
ppt042,74,Control,9,-1.7754949997486822
ppt042,74,Control,10,-2.2535432702749905
ppt043,64,Control,1,0.3982256731509885
ppt043,64,Control,2,0.21943046496004046
ppt043,64,Control,3,-0.5235238085395871
ppt043,64,Control,4,-0.6049802954754129
ppt043,64,Control,5,0.07982553487932131
ppt043,64,Control,6,-0.20393719862253443
ppt043,64,Control,7,-0.5170813494725905
ppt043,64,Control,8,-0.9456205224444415
ppt043,64,Control,9,-0.8704764176392418
ppt043,64,Control,10,-1.2538917701895762
ppt044,50,Control,1,1.7513880804998836
ppt044,50,Control,2,1.2192628144501052
ppt044,50,Control,3,2.216393793496269
ppt044,50,Control,4,1.0741468073528708
ppt044,50,Control,5,1.1110205760497052
ppt044,50,Control,6,1.2425302757628456
ppt044,50,Control,7,1.2423297655458483
ppt044,50,Control,8,0.6567692019053236
ppt044,50,Control,9,1.2537067351124649
ppt044,50,Control,10,1.0405924927636767
ppt045,48,Control,1,0.6538933025941622
ppt045,48,Control,2,1.2041691785427124
ppt045,48,Control,3,1.7725110252790213
ppt045,48,Control,4,1.25322401727851
ppt045,48,Control,5,0.9593401183392342
ppt045,48,Control,6,1.6360373599765436
ppt045,48,Control,7,1.42474267983407
ppt045,48,Control,8,2.0043948041353903
ppt045,48,Control,9,1.5049232044710406
ppt045,48,Control,10,1.4488898722205814
ppt046,66,Control,1,-0.2755953733123075
ppt046,66,Control,2,-0.22491339478191583
ppt046,66,Control,3,-0.45883665049625866
ppt046,66,Control,4,0.03932216928002515
ppt046,66,Control,5,-0.10456076567743951
ppt046,66,Control,6,0.1356250924838945
ppt046,66,Control,7,-0.2079397261334067
ppt046,66,Control,8,0.23744932978104735
ppt046,66,Control,9,0.7865194926304824
ppt046,66,Control,10,0.711801536167956
ppt047,60,Control,1,0.10666084300419477
ppt047,60,Control,2,-0.3596304627102523
ppt047,60,Control,3,-0.5002243721744768
ppt047,60,Control,4,0.21603158096091654
ppt047,60,Control,5,0.10279277243905445
ppt047,60,Control,6,0.046943668861542345
ppt047,60,Control,7,0.3274864462386315
ppt047,60,Control,8,0.5973175640194037
ppt047,60,Control,9,0.22355184655086216
ppt047,60,Control,10,0.14795533814942882
ppt048,53,Control,1,0.6377207948906458
ppt048,53,Control,2,0.9457273875422575
ppt048,53,Control,3,0.7281626827654795
ppt048,53,Control,4,0.13775152370581
ppt048,53,Control,5,0.11238468858712015
ppt048,53,Control,6,0.26890742350262853
ppt048,53,Control,7,0.3234082530762961
ppt048,53,Control,8,0.08397082295731095
ppt048,53,Control,9,0.03567676809018982
ppt048,53,Control,10,0.06960930868211104
ppt049,78,Control,1,-2.201352855559206
ppt049,78,Control,2,-2.3015414903155116
ppt049,78,Control,3,-1.7111197318007256
ppt049,78,Control,4,-2.1321959784738054
ppt049,78,Control,5,-2.2595957115424223
ppt049,78,Control,6,-2.7415010357270075
ppt049,78,Control,7,-2.21449120536967
ppt049,78,Control,8,-2.7908565910549785
ppt049,78,Control,9,-2.8420437490295263
ppt049,78,Control,10,-2.962281654909867
ppt050,64,Control,1,-1.0485577767802663
ppt050,64,Control,2,-0.600972583421496
ppt050,64,Control,3,-0.8464429026443456
ppt050,64,Control,4,-0.812736701920517
ppt050,64,Control,5,-0.573373842210655
ppt050,64,Control,6,-0.020089900407959167
ppt050,64,Control,7,0.006065319055585174
ppt050,64,Control,8,-0.4611734772913991
ppt050,64,Control,9,0.18046724305989723
ppt050,64,Control,10,0.27534342219285596
ppt051,61,Intervention,1,-0.7641716007308678
ppt051,61,Intervention,2,-0.35914763195219784
ppt051,61,Intervention,3,-0.8414795392713879
ppt051,61,Intervention,4,-0.6969275853308992
ppt051,61,Intervention,5,-0.1598740203635646
ppt051,61,Intervention,6,-1.2631304887075823
ppt051,61,Intervention,7,-1.1405701993140636
ppt051,61,Intervention,8,-0.2676584928345424
ppt051,61,Intervention,9,-0.04304356147046978
ppt051,61,Intervention,10,-0.5226307291407288
ppt052,75,Intervention,1,-1.2629875877245438
ppt052,75,Intervention,2,-1.8921766170413896
ppt052,75,Intervention,3,-1.4416622656555644
ppt052,75,Intervention,4,-1.870827450797467
ppt052,75,Intervention,5,-2.0421266482837956
ppt052,75,Intervention,6,-1.677324386486607
ppt052,75,Intervention,7,-2.4524159460719304
ppt052,75,Intervention,8,-2.312322124543584
ppt052,75,Intervention,9,-2.4618992396624515
ppt052,75,Intervention,10,-2.4539362958596684
ppt053,54,Intervention,1,1.0277725215665747
ppt053,54,Intervention,2,0.6816826856208449
ppt053,54,Intervention,3,0.769264141352753
ppt053,54,Intervention,4,0.046347349341094864
ppt053,54,Intervention,5,0.6721471569029056
ppt053,54,Intervention,6,0.022053214047604915
ppt053,54,Intervention,7,-0.23806595052713908
ppt053,54,Intervention,8,-0.5459666854645139
ppt053,54,Intervention,9,-0.7454476800695342
ppt053,54,Intervention,10,-0.1471734364286145
ppt054,50,Intervention,1,1.840989765763928
ppt054,50,Intervention,2,0.7032998572728084
ppt054,50,Intervention,3,1.3580004807894663
ppt054,50,Intervention,4,1.1435455924134164
ppt054,50,Intervention,5,0.5643668835686588
ppt054,50,Intervention,6,0.5806542060481977
ppt054,50,Intervention,7,0.19091974194408567
ppt054,50,Intervention,8,0.4075930134900851
ppt054,50,Intervention,9,-0.02351648054545671
ppt054,50,Intervention,10,0.5076333491281431
ppt055,60,Intervention,1,-0.09184090308766076
ppt055,60,Intervention,2,-0.4968310338030918
ppt055,60,Intervention,3,-0.1563239957289189
ppt055,60,Intervention,4,-0.4606522972821348
ppt055,60,Intervention,5,-0.3008127592309042
ppt055,60,Intervention,6,-0.4334441146838345
ppt055,60,Intervention,7,-0.20766382405826567
ppt055,60,Intervention,8,-0.7763529110692127
ppt055,60,Intervention,9,-1.000786869825611
ppt055,60,Intervention,10,-1.362982441415972
ppt056,57,Intervention,1,0.34386209928622113
ppt056,57,Intervention,2,-0.04778359127245072
ppt056,57,Intervention,3,0.5191826371334597
ppt056,57,Intervention,4,0.42316567915499975
ppt056,57,Intervention,5,0.22919305681695812
ppt056,57,Intervention,6,0.7087041796213142
ppt056,57,Intervention,7,0.22230341869976525
ppt056,57,Intervention,8,0.6164223944271129
ppt056,57,Intervention,9,0.26354093360605374
ppt056,57,Intervention,10,-0.19010232605593363
ppt057,67,Intervention,1,-0.37504782481976356
ppt057,67,Intervention,2,-0.9913321573297115
ppt057,67,Intervention,3,-0.8240271592792379
ppt057,67,Intervention,4,-1.1086462712058631
ppt057,67,Intervention,5,-0.9820157456548311
ppt057,67,Intervention,6,-1.0598917244321646
ppt057,67,Intervention,7,-1.5046748633226075
ppt057,67,Intervention,8,-1.5031331003425508
ppt057,67,Intervention,9,-1.4345667734566954
ppt057,67,Intervention,10,-1.3457388446562892
ppt058,54,Intervention,1,0.5178928651027473
ppt058,54,Intervention,2,0.6176762168652151
ppt058,54,Intervention,3,0.7393858194001659
ppt058,54,Intervention,4,0.7305130646774501
ppt058,54,Intervention,5,0.7954800036682235
ppt058,54,Intervention,6,1.1186140499174568
ppt058,54,Intervention,7,0.9776594712773202
ppt058,54,Intervention,8,0.5370916817792257
ppt058,54,Intervention,9,0.8906060839899947
ppt058,54,Intervention,10,1.5704363211285528
ppt059,58,Intervention,1,-0.00624446509139733
ppt059,58,Intervention,2,0.42050885107084246
ppt059,58,Intervention,3,-0.014269219673644003
ppt059,58,Intervention,4,-0.4696234352018554
ppt059,58,Intervention,5,-0.47020537439040494
ppt059,58,Intervention,6,-0.1428401461234571
ppt059,58,Intervention,7,-0.3894629617675279
ppt059,58,Intervention,8,-0.013104024613502
ppt059,58,Intervention,9,0.038867447500619774
ppt059,58,Intervention,10,-0.5259472544405361
ppt060,55,Intervention,1,0.6029117286220461
ppt060,55,Intervention,2,0.6338196357731848
ppt060,55,Intervention,3,0.6465382367422265
ppt060,55,Intervention,4,0.8680310035964498
ppt060,55,Intervention,5,0.48485661006494546
ppt060,55,Intervention,6,0.4838877412332383
ppt060,55,Intervention,7,0.6547049449306388
ppt060,55,Intervention,8,0.3968146899609243
ppt060,55,Intervention,9,0.7328745385581789
ppt060,55,Intervention,10,0.14283462613637937
ppt061,45,Intervention,1,0.8673562502903324
ppt061,45,Intervention,2,1.7421762923627193
ppt061,45,Intervention,3,1.279803159310213
ppt061,45,Intervention,4,1.8908151683117211
ppt061,45,Intervention,5,1.4888678185715918
ppt061,45,Intervention,6,1.5641416391500298
ppt061,45,Intervention,7,2.153054916910984
ppt061,45,Intervention,8,2.148427062957754
ppt061,45,Intervention,9,2.2156333445468746
ppt061,45,Intervention,10,2.3224636406723027
ppt062,58,Intervention,1,0.28051367824821927
ppt062,58,Intervention,2,-0.1414545364080757
ppt062,58,Intervention,3,-0.04458493015504959
ppt062,58,Intervention,4,-0.22061505800165235
ppt062,58,Intervention,5,0.1832123625240631
ppt062,58,Intervention,6,0.2293038357625886
ppt062,58,Intervention,7,0.22414944488765404
ppt062,58,Intervention,8,-0.03829241760344277
ppt062,58,Intervention,9,-0.9010416869561132
ppt062,58,Intervention,10,-0.5487922539386578
ppt063,52,Intervention,1,1.0877337234496112
ppt063,52,Intervention,2,0.2627261873537841
ppt063,52,Intervention,3,1.145795766566381
ppt063,52,Intervention,4,0.3283177339487327
ppt063,52,Intervention,5,0.9524985464229349
ppt063,52,Intervention,6,0.64472157938731
ppt063,52,Intervention,7,-0.15364183849257723
ppt063,52,Intervention,8,0.09232262821043337
ppt063,52,Intervention,9,0.02731430706221906
ppt063,52,Intervention,10,-0.5825153588747394
ppt064,57,Intervention,1,1.2956659182844277
ppt064,57,Intervention,2,0.3002838426654539
ppt064,57,Intervention,3,0.5714061854690894
ppt064,57,Intervention,4,0.3209754677269176
ppt064,57,Intervention,5,-0.007029932885252267
ppt064,57,Intervention,6,-0.3266619611923866
ppt064,57,Intervention,7,-0.3629897592691963
ppt064,57,Intervention,8,-0.522528626947027
ppt064,57,Intervention,9,-0.5739062759002852
ppt064,57,Intervention,10,-1.0545436393677619
ppt065,63,Intervention,1,-0.3064562695160771
ppt065,63,Intervention,2,-0.28672083417481065
