ppt,slength,condition,correct
sub_13,7,tap,0
sub_13,4,tap,1
sub_13,8,tap,0
sub_13,4,static,0
sub_13,7,static,0
sub_13,9,static,1
sub_13,7,static,1
sub_13,6,tap,1
sub_13,8,tap,0
sub_13,10,static,0
sub_14,8,tap,1
sub_14,9,static,0
sub_14,8,tap,1
sub_14,6,tap,1
sub_14,6,static,0
sub_14,11,static,0
sub_14,10,tap,1
sub_14,6,static,0
sub_14,6,static,1
sub_14,7,tap,1
sub_15,7,tap,1
sub_15,7,tap,1
sub_15,7,static,1
sub_15,5,static,1
sub_15,5,tap,0
sub_15,6,static,0
sub_15,12,tap,1
sub_15,10,static,0
sub_15,6,tap,1
sub_15,11,static,1
sub_16,9,static,0
sub_16,6,tap,1
sub_16,10,tap,1
sub_16,9,static,0
sub_16,11,tap,1
sub_16,6,static,0
sub_16,5,tap,1
sub_16,2,static,1
sub_16,5,static,1
sub_16,7,tap,1
sub_17,8,tap,0
sub_17,8,tap,0
sub_17,11,static,0
sub_17,9,tap,0
sub_17,4,static,1
sub_17,6,static,0
sub_17,8,tap,0
sub_17,8,static,0
sub_17,5,static,0
sub_17,5,tap,0
sub_18,8,tap,0
sub_18,9,static,1
sub_18,8,tap,1
sub_18,9,static,1
sub_18,3,tap,1
sub_18,6,tap,1
sub_18,12,static,1
sub_18,7,tap,0
sub_18,10,static,1
sub_18,8,static,0
sub_19,6,static,1
sub_19,9,static,0
sub_19,8,tap,0
sub_19,6,tap,0
sub_19,4,static,1
sub_19,7,tap,1
sub_19,2,static,1
sub_19,7,tap,1
sub_19,10,tap,1
sub_19,10,static,1
sub_20,2,tap,1
sub_20,5,static,1
sub_20,6,static,1
sub_20,7,tap,1
sub_20,10,tap,0
sub_20,7,tap,0
sub_20,8,static,1
sub_20,5,tap,1
sub_20,10,static,0
sub_20,4,static,1
sub_21,6,static,1
sub_21,10,tap,1
sub_21,9,tap,1
sub_21,8,static,0
sub_21,5,static,1
sub_21,8,tap,1
sub_21,8,tap,0
sub_21,3,static,1
sub_21,10,tap,1
sub_21,9,static,0
sub_22,5,tap,1
sub_22,8,static,1
sub_22,7,tap,1
sub_22,8,static,1
sub_22,12,tap,1
sub_22,7,static,0
sub_22,6,static,1
sub_22,9,tap,1
sub_22,7,static,1
sub_22,5,tap,1
sub_23,5,static,1
sub_23,9,static,0
sub_23,7,static,1
sub_23,8,tap,0
sub_23,6,tap,1
sub_23,6,static,0
sub_23,7,tap,1
sub_23,5,static,0
sub_23,5,tap,1
sub_23,7,tap,1
sub_24,1,static,0
sub_24,6,tap,1
sub_24,5,tap,1
sub_24,9,tap,1
sub_24,7,static,0
sub_24,4,static,1
sub_24,2,tap,1
sub_24,7,tap,0
sub_24,7,static,1
sub_24,4,static,1
sub_25,6,tap,1
sub_25,14,tap,0
sub_25,10,static,1
sub_25,4,tap,1
sub_25,4,tap,1
sub_25,3,static,1
sub_25,6,static,1
sub_25,3,tap,1
sub_25,2,static,1
sub_25,5,static,1
sub_26,8,static,1
sub_26,8,tap,0
sub_26,8,tap,0
sub_26,9,tap,0
sub_26,6,static,1
sub_26,9,tap,0
sub_26,6,static,1
sub_26,4,static,0
sub_26,6,tap,0
sub_26,9,static,0
sub_27,5,static,0
sub_27,12,static,0
sub_27,8,tap,0
sub_27,6,tap,1
sub_27,7,static,0
sub_27,6,tap,1
sub_27,3,static,0
sub_27,8,tap,0
sub_27,8,static,1
sub_27,6,tap,0
sub_28,6,static,1
sub_28,4,static,1
sub_28,5,tap,1
sub_28,10,static,1
sub_28,6,static,1
sub_28,8,tap,1
sub_28,2,tap,1
sub_28,7,tap,1
sub_28,9,tap,1
sub_28,7,static,0
sub_29,3,static,0
sub_29,5,tap,0
sub_29,5,static,0
sub_29,6,static,0
sub_29,2,tap,0
sub_29,5,tap,1
sub_29,12,tap,1
sub_29,6,tap,0
sub_29,7,static,1
sub_29,5,static,0
sub_30,8,static,0
sub_30,8,static,0
sub_30,8,tap,1
sub_30,6,tap,1
sub_30,11,tap,1
sub_30,6,static,1
sub_30,9,static,0
sub_30,6,static,0
sub_30,2,tap,1
sub_30,7,tap,1
sub_31,14,static,1
sub_31,4,tap,1
sub_31,7,tap,0
sub_31,13,static,1
sub_31,6,static,1
sub_31,6,static,1
sub_31,9,tap,1
sub_31,9,tap,1
sub_31,8,tap,0
sub_31,9,static,0
sub_32,4,static,1
sub_32,6,tap,0
sub_32,7,static,0
sub_32,10,static,1
sub_32,6,tap,0
sub_32,5,tap,0
sub_32,10,tap,0
sub_32,8,static,0
sub_32,8,tap,1
sub_32,8,static,1
sub_33,5,static,1
sub_33,8,tap,1
sub_33,9,tap,1
sub_33,9,static,1
sub_33,9,tap,1
sub_33,9,tap,0
sub_33,4,static,1
sub_33,5,static,1
sub_33,3,tap,0
sub_33,6,static,0
sub_34,4,tap,1
sub_34,6,static,0
sub_34,6,tap,1
sub_34,8,static,1
sub_34,6,static,1
sub_34,6,tap,0
sub_34,9,tap,1
sub_34,5,static,0
sub_34,8,static,0
sub_34,4,tap,1
sub_35,8,static,0
sub_35,3,tap,1
sub_35,10,tap,0
sub_35,9,static,0
sub_35,4,tap,1
sub_35,8,tap,1
sub_35,6,static,1
sub_35,6,tap,1
sub_35,8,static,0
sub_35,7,static,1
sub_36,9,static,0
sub_36,7,tap,1
sub_36,6,tap,1
sub_36,10,static,0
sub_36,9,static,1
sub_36,10,tap,1
sub_36,9,tap,1
sub_36,7,tap,0
sub_36,4,static,0
sub_36,7,static,1
sub_37,8,tap,1
sub_37,8,tap,0
sub_37,7,static,0
sub_37,7,static,0
sub_37,8,static,1
sub_37,6,tap,0
sub_37,12,static,0
sub_37,7,tap,0
sub_37,9,static,0
sub_37,4,tap,0
sub_38,4,tap,1
sub_38,5,static,0
sub_38,6,tap,0
sub_38,7,tap,0
sub_38,5,tap,0
sub_38,9,static,0
sub_38,6,tap,0
sub_38,8,static,0
sub_38,7,static,0
sub_38,7,static,0
sub_39,7,static,0
sub_39,5,tap,0
sub_39,8,tap,0
sub_39,4,tap,1
sub_39,5,static,1
sub_39,9,static,0
sub_39,12,static,0
sub_39,8,tap,0
sub_39,4,static,1
sub_39,12,tap,0
sub_40,7,static,0
sub_40,5,tap,1
sub_40,6,tap,0
sub_40,8,tap,0
sub_40,11,static,0
sub_40,10,tap,1
sub_40,5,static,1
sub_40,5,static,1
sub_40,6,tap,1
sub_40,5,static,0
