I need a bit of encouragement to get things started,I contact my friends,I express my emotions,I think of new things to do during the day,I am concerned about how my family feel,I find myself staring in to space,Before I do something I think about how others would feel about it,I plan my days activities in advance,When I receive bad news I feel bad about it,I am unable to focus on a task until it is finished,I lack motivation,I struggle to empathise with other people,I set goals for myself,I try new things,I am unconcerned about how others feel about my behaviour,I act on things I have thought about during the day,"When doing a demanding task, I have difficulty working out what I have to do",I keep myself busy,I get easily confused when doing several things at once,I become emotional easily when watching something happy or sad on TV,I find it difficult to keep my mind on things,I am spontaneous,I am easily distracted,I feel indifferent to what is going on around me
Often,Almost Always,Often,Often,Often,Often,Almost Always,Almost Always,Often,Almost Always,Often,Hardly Ever,Never,Often,Hardly Ever,Hardly Ever,Often,Often,Occasionally,Occasionally,Never,Almost Always,Hardly Ever,Occasionally
Often,Often,Occasionally,Hardly Ever,Almost Always,Almost Always,Almost Always,Often,Often,Often,Hardly Ever,Occasionally,Hardly Ever,Occasionally,Often,Occasionally,Hardly Ever,Often,Occasionally,Almost Always,Often,Often,Almost Always,Never
Occasionally,Almost Always,Often,Occasionally,Almost Always,Often,Occasionally,Often,Occasionally,Often,Always,Often,Often,Occasionally,Never,Occasionally,Almost Always,Occasionally,Almost Always,Occasionally,Often,Often,Always,Occasionally
Occasionally,Occasionally,Often,Often,Often,Often,Occasionally,Almost Always,Often,Occasionally,Often,Often,Almost Always,Hardly Ever,Occasionally,Often,Often,Often,Occasionally,Occasionally,Often,Often,Often,Occasionally
Occasionally,Occasionally,Often,Occasionally,Often,Often,Often,Often,Occasionally,Occasionally,Always,Often,Often,Hardly Ever,Occasionally,Hardly Ever,Occasionally,Occasionally,Occasionally,Occasionally,Always,Occasionally,Hardly Ever,Hardly Ever
Occasionally,Occasionally,Occasionally,Occasionally,Hardly Ever,Occasionally,Often,Occasionally,Occasionally,Almost Always,Occasionally,Always,Occasionally,Occasionally,Occasionally,Always,Occasionally,Occasionally,Hardly Ever,Hardly Ever,Never,Occasionally,Often,Almost Always
Occasionally,Hardly Ever,Always,Often,Almost Always,Occasionally,Often,Almost Always,Occasionally,Often,Occasionally,Occasionally,Often,Often,Almost Always,Almost Always,Occasionally,Almost Always,Hardly Ever,Occasionally,Hardly Ever,Almost Always,Hardly Ever,Occasionally
Occasionally,Hardly Ever,Often,Almost Always,Often,Occasionally,Occasionally,Often,Hardly Ever,Occasionally,Often,Occasionally,Occasionally,Almost Always,Occasionally,Often,Hardly Ever,Almost Always,Often,Occasionally,Often,Occasionally,Occasionally,Hardly Ever
Occasionally,Occasionally,Occasionally,Often,Occasionally,Often,Occasionally,Always,Hardly Ever,Often,Occasionally,Almost Always,Almost Always,Occasionally,Often,Almost Always,Often,Almost Always,Occasionally,Often,Often,Almost Always,Occasionally,Occasionally
Often,Occasionally,Almost Always,Occasionally,Almost Always,Often,Almost Always,Often,Occasionally,Occasionally,Often,Almost Always,Often,Almost Always,Occasionally,Often,Occasionally,Occasionally,Occasionally,Occasionally,Almost Always,Occasionally,Occasionally,Often
Often,Occasionally,Often,Often,Hardly Ever,Often,Often,Occasionally,Occasionally,Often,Almost Always,Often,Occasionally,Hardly Ever,Almost Always,Never,Often,Often,Almost Always,Hardly Ever,Almost Always,Often,Often,Almost Always
Often,Almost Always,Often,Often,Often,Often,Often,Almost Always,Often,Occasionally,Almost Always,Occasionally,Occasionally,Often,Hardly Ever,Almost Always,Often,Often,Occasionally,Often,Almost Always,Almost Always,Occasionally,Hardly Ever
NA,NA,Often,Often,Hardly Ever,Almost Always,Almost Always,Often,Often,Often,Occasionally,Occasionally,Often,Hardly Ever,Often,NA,NA,Often,Occasionally,Occasionally,Often,Almost Always,Occasionally,Occasionally
Occasionally,Almost Always,Often,Often,NA,Occasionally,Often,Often,Almost Always,Always,Often,Often,NA,Often,Almost Always,Often,Often,NA,Occasionally,Often,Often,Almost Always,NA,Often
Occasionally,Never,Always,Occasionally,Always,Often,Almost Always,Occasionally,Often,Often,Often,Occasionally,Often,Often,Often,Often,Hardly Ever,Hardly Ever,Always,Often,Often,Often,Hardly Ever,Occasionally
Often,Occasionally,Often,Hardly Ever,Often,Hardly Ever,Often,Almost Always,Almost Always,Almost Always,Hardly Ever,Occasionally,Often,Occasionally,Hardly Ever,Almost Always,Often,Often,Occasionally,Often,Hardly Ever,Almost Always,Never,Often
Occasionally,Hardly Ever,Almost Always,Almost Always,Almost Always,Occasionally,Often,Almost Always,Almost Always,Occasionally,Often,Occasionally,Often,Occasionally,Hardly Ever,Often,Hardly Ever,Often,Occasionally,Often,Occasionally,Often,Occasionally,Often
Occasionally,Hardly Ever,Often,Often,Hardly Ever,Occasionally,Occasionally,Almost Always,Occasionally,Often,Almost Always,Almost Always,Always,Occasionally,Often,Almost Always,Occasionally,Often,Often,Hardly Ever,Often,Often,Almost Always,Occasionally
Never,Occasionally,Almost Always,Almost Always,Occasionally,Hardly Ever,Almost Always,Often,Often,Almost Always,Hardly Ever,Often,Hardly Ever,Hardly Ever,Often,Often,Occasionally,Occasionally,Occasionally,Hardly Ever,Hardly Ever,Always,Occasionally,Hardly Ever
Occasionally,Hardly Ever,Almost Always,Often,Occasionally,Occasionally,Often,Often,Occasionally,Occasionally,Occasionally,Almost Always,Often,Occasionally,Often,Almost Always,Occasionally,Often,Occasionally,Often,Occasionally,Almost Always,Occasionally,Almost Always
Occasionally,Occasionally,Occasionally,Almost Always,Often,Often,Occasionally,Almost Always,Often,Always,Occasionally,Hardly Ever,Occasionally,Often,Occasionally,Often,Occasionally,Occasionally,Often,Occasionally,Almost Always,Often,Hardly Ever,Often
Almost Always,Never,Occasionally,Often,Hardly Ever,Always,Often,Occasionally,Occasionally,Never,Always,Often,Hardly Ever,Hardly Ever,Hardly Ever,Occasionally,Often,Hardly Ever,Often,Hardly Ever,Often,Occasionally,Always,Often
Almost Always,Occasionally,Often,Occasionally,Often,Occasionally,Occasionally,Occasionally,Almost Always,Never,Almost Always,Occasionally,Often,Often,Almost Always,Hardly Ever,Often,Never,Almost Always,Occasionally,Almost Always,Hardly Ever,Almost Always,Occasionally
Occasionally,Occasionally,Often,Often,Hardly Ever,Almost Always,Almost Always,Almost Always,Hardly Ever,Occasionally,Often,Always,Occasionally,Occasionally,Hardly Ever,Often,Almost Always,Occasionally,Often,Occasionally,Occasionally,Often,Often,Often
Hardly Ever,Often,Almost Always,Almost Always,Always,Hardly Ever,Occasionally,Often,Often,Often,Almost Always,Hardly Ever,Occasionally,Hardly Ever,Often,Often,Never,Occasionally,Often,Occasionally,Often,Occasionally,Occasionally,Hardly Ever
Occasionally,Occasionally,Often,Occasionally,Hardly Ever,Occasionally,Almost Always,Often,Often,Often,Often,Almost Always,Hardly Ever,Never,Never,Often,Often,Often,Often,Occasionally,Often,Often,Always,Never
Hardly Ever,Often,Almost Always,Almost Always,Almost Always,Often,Often,Often,Often,Always,Occasionally,Occasionally,Often,Occasionally,Almost Always,Hardly Ever,Occasionally,Occasionally,Almost Always,Hardly Ever,Occasionally,Occasionally,Occasionally,Often
Often,Almost Always,Often,Often,Often,Often,Almost Always,Always,Occasionally,Never,Always,Often,Almost Always,Occasionally,Hardly Ever,Often,Often,Often,Almost Always,Occasionally,Always,Occasionally,Occasionally,Often
Occasionally,Never,Often,Hardly Ever,Almost Always,Often,Always,Occasionally,NA,Often,Often,Often,Hardly Ever,NA,Hardly Ever,Occasionally,Occasionally,NA,Often,Occasionally,NA,Often,Hardly Ever,Hardly Ever
Often,Often,Occasionally,Often,Occasionally,Often,Hardly Ever,Almost Always,Often,Always,Often,Often,Often,Occasionally,Almost Always,Occasionally,Often,Often,Often,Occasionally,Occasionally,Almost Always,Hardly Ever,Hardly Ever
Hardly Ever,Occasionally,Occasionally,Always,Hardly Ever,Occasionally,Hardly Ever,Occasionally,Never,Almost Always,Often,Often,Occasionally,Often,Often,Often,Occasionally,Often,Hardly Ever,Hardly Ever,Always,Almost Always,Occasionally,Often
Occasionally,Often,Often,Occasionally,Almost Always,Often,Almost Always,Almost Always,Occasionally,Often,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Hardly Ever,Often,Often,Often,Often,Occasionally,Occasionally,Hardly Ever,Hardly Ever
Often,Almost Always,Often,Often,Occasionally,Occasionally,Often,Almost Always,Almost Always,Occasionally,Occasionally,Occasionally,Almost Always,Occasionally,Hardly Ever,Often,Occasionally,Often,Almost Always,Occasionally,Almost Always,Almost Always,Always,Almost Always
Hardly Ever,Occasionally,Often,Hardly Ever,NA,NA,Often,Almost Always,Hardly Ever,Almost Always,[NO ENTRY],Always,Hardly Ever,Often,Occasionally,Hardly Ever,Hardly Ever,Occasionally,Hardly Ever,Hardly Ever,Hardly Ever,Almost Always,Occasionally,Occasionally
Often,Occasionally,Almost Always,Occasionally,Always,Often,NA,Always,Occasionally,Often,Often,Hardly Ever,Occasionally,Hardly Ever,NA,NA,Often,Often,NA,Often,Occasionally,Often,Occasionally,NA
Often,Occasionally,Occasionally,Always,Often,Occasionally,Hardly Ever,Almost Always,Hardly Ever,Often,Often,Often,Often,Always,Hardly Ever,Often,Often,Almost Always,Almost Always,Hardly Ever,Almost Always,Occasionally,Almost Always,Always
Often,Occasionally,Often,Hardly Ever,Hardly Ever,Often,Hardly Ever,Occasionally,Occasionally,Hardly Ever,Often,Always,Hardly Ever,Hardly Ever,Almost Always,Hardly Ever,Often,Never,Often,Never,Often,Occasionally,Occasionally,Always
Often,Often,Often,Occasionally,Hardly Ever,Often,Often,Occasionally,Occasionally,Often,Almost Always,Often,Never,Occasionally,Often,Occasionally,Occasionally,Almost Always,Often,Often,Almost Always,Often,Often,Almost Always
Often,Always,Occasionally,Always,Often,Often,Often,Almost Always,Almost Always,Often,Occasionally,Occasionally,Occasionally,Almost Always,Hardly Ever,Often,Often,Always,Occasionally,Often,Occasionally,Often,Occasionally,Hardly Ever
Hardly Ever,Often,Often,Always,Often,Often,Often,Almost Always,Occasionally,Always,Often,Often,Often,Hardly Ever,Often,Almost Always,Often,Occasionally,Almost Always,Hardly Ever,Hardly Ever,Often,Occasionally,Occasionally
Occasionally,Often,Almost Always,Often,Often,Occasionally,Always,Often,Often,Often,Occasionally,Hardly Ever,Hardly Ever,Occasionally,Often,Almost Always,Occasionally,Occasionally,Almost Always,Almost Always,Often,Occasionally,Occasionally,Never
Often,Often,Almost Always,Often,Almost Always,Almost Always,Almost Always,Always,Often,Often,Always,Often,Hardly Ever,Hardly Ever,Often,Occasionally,Occasionally,Almost Always,Hardly Ever,Always,Almost Always,Almost Always,Almost Always,Hardly Ever
Never,Occasionally,Occasionally,Almost Always,Hardly Ever,Occasionally,Occasionally,Always,Hardly Ever,Almost Always,Hardly Ever,Often,Always,Almost Always,Occasionally,Often,Never,Often,Occasionally,Never,Occasionally,Always,Hardly Ever,Often
Occasionally,Occasionally,Often,Almost Always,Often,Hardly Ever,Almost Always,Almost Always,Often,Almost Always,Occasionally,Occasionally,Almost Always,Occasionally,Hardly Ever,Often,Hardly Ever,Often,Occasionally,Occasionally,Often,Often,Often,Occasionally
Hardly Ever,Occasionally,Occasionally,Often,Occasionally,Often,Hardly Ever,Occasionally,Never,Hardly Ever,Often,Always,Almost Always,Hardly Ever,Often,Occasionally,Often,Occasionally,Hardly Ever,Hardly Ever,Occasionally,Almost Always,Often,Often
Hardly Ever,Almost Always,Often,Hardly Ever,Occasionally,Occasionally,Almost Always,Hardly Ever,Almost Always,Always,Occasionally,Occasionally,Often,Often,Occasionally,Hardly Ever,Occasionally,Often,Occasionally,Occasionally,Often,Almost Always,Occasionally,Hardly Ever
Often,Occasionally,Often,Often,Occasionally,Always,Almost Always,Often,Often,Hardly Ever,Often,Often,Occasionally,Never,Occasionally,Never,Often,Occasionally,Occasionally,Often,Always,Often,Always,Almost Always
Occasionally,Occasionally,Often,Almost Always,Hardly Ever,Occasionally,Occasionally,Often,Hardly Ever,Hardly Ever,Occasionally,Always,Occasionally,Almost Always,Always,Often,Occasionally,Hardly Ever,Always,Hardly Ever,Often,Occasionally,Hardly Ever,Almost Always
Almost Always,Always,Occasionally,Often,Almost Always,Almost Always,Occasionally,Often,Often,Occasionally,Often,Often,Occasionally,Occasionally,Hardly Ever,Almost Always,Often,Often,Occasionally,Hardly Ever,Almost Always,Almost Always,Almost Always,Often
Often,Hardly Ever,Often,Occasionally,Occasionally,Hardly Ever,Often,Almost Always,Occasionally,Often,Often,Often,Almost Always,Almost Always,Always,Often,Occasionally,Often,Often,Hardly Ever,Occasionally,Almost Always,Often,Occasionally
Never,Often,Always,Occasionally,Often,Occasionally,Often,Occasionally,Often,Occasionally,Often,Often,Often,Almost Always,Often,Almost Always,Never,Almost Always,Often,Often,Often,Always,Often,Occasionally
Occasionally,Often,Often,Occasionally,Hardly Ever,Occasionally,Often,Occasionally,Hardly Ever,Often,Occasionally,Often,Always,Occasionally,Occasionally,Occasionally,Often,Often,Often,Occasionally,Often,Occasionally,Often,Hardly Ever
Often,Occasionally,Often,Occasionally,Occasionally,Almost Always,Almost Always,Occasionally,Hardly Ever,Often,Almost Always,Often,Hardly Ever,Occasionally,Occasionally,Occasionally,Often,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Often,Hardly Ever
Hardly Ever,Hardly Ever,Often,Often,Often,Often,Occasionally,Often,Hardly Ever,Often,Often,Often,Almost Always,Almost Always,Often,Occasionally,Occasionally,Hardly Ever,Occasionally,Hardly Ever,Often,Hardly Ever,Occasionally,Occasionally
Hardly Ever,Occasionally,Almost Always,Often,Almost Always,Hardly Ever,Always,Never,Almost Always,Occasionally,Often,Occasionally,Almost Always,Often,Never,Often,Often,Often,Almost Always,Often,Occasionally,Occasionally,Often,Never
Occasionally,Occasionally,Often,Often,Hardly Ever,Occasionally,Often,Often,Hardly Ever,Almost Always,Hardly Ever,Often,Hardly Ever,Almost Always,Often,Often,Occasionally,Often,Often,Occasionally,Often,Often,Occasionally,Hardly Ever
Often,Occasionally,Occasionally,Almost Always,Occasionally,Often,Occasionally,Often,Occasionally,Almost Always,Almost Always,Almost Always,Often,Often,Often,Occasionally,Occasionally,NA,Almost Always,NA,Occasionally,NA,Hardly Ever,Often
Occasionally,Occasionally,Occasionally,Often,Occasionally,Occasionally,Occasionally,Almost Always,Often,Often,Occasionally,Often,Often,Occasionally,Almost Always,Often,Often,Often,Occasionally,Occasionally,Always,Almost Always,Occasionally,Often
