ID,unravel,sleep_dep,sleep_qual,cog,sex,age
ID163,9,non-deprived,low,0.677,F,24
ID164,11,deprived,low,-0.453,M,26
ID165,8,non-deprived,med,-0.395,F,27
ID166,9,deprived,med,-0.012,M,25
ID167,10,non-deprived,high,0.429,F,28
ID168,11,deprived,high,-0.278,M,30
ID169,9,non-deprived,low,-0.622,F,25
ID170,11,deprived,low,-0.046,F,23
ID171,10,non-deprived,med,0.714,M,26
ID172,11,deprived,med,-0.008,F,24
ID173,8,non-deprived,high,0.371,M,28
ID174,10,deprived,high,-1.052,M,27
ID175,10,non-deprived,low,-1.156,M,27
ID176,10,deprived,low,-0.068,M,30
ID177,10,non-deprived,med,0.303,M,29
ID178,11,deprived,med,0.93,M,26
ID179,9,non-deprived,high,-0.395,M,26
ID180,12,deprived,high,0.518,F,23
ID181,11,non-deprived,low,1.767,F,25
ID182,11,deprived,low,-0.834,F,25
ID183,9,non-deprived,med,-0.343,F,24
ID184,11,deprived,med,0.464,F,24
ID185,10,non-deprived,high,2.171,M,29
ID186,9,deprived,high,1.955,M,28
ID187,10,non-deprived,low,-0.396,F,24
ID188,10,deprived,low,-0.866,F,28
ID189,8,non-deprived,med,0.435,M,25
ID190,9,deprived,med,-0.837,M,22
ID191,9,non-deprived,high,0.622,M,27
ID192,10,deprived,high,-0.134,F,24
ID193,10,non-deprived,low,-0.564,M,26
ID194,10,deprived,low,0.447,F,29
ID195,10,non-deprived,med,-1.076,M,28
ID196,9,deprived,med,-1.493,F,26
ID197,8,non-deprived,high,0.536,M,27
ID198,9,deprived,high,-0.447,M,30
ID199,12,non-deprived,low,0.613,F,24
ID200,12,deprived,low,1.159,M,22
ID201,8,non-deprived,med,0.644,M,24
ID202,9,deprived,med,1.182,F,25
ID203,10,non-deprived,high,-0.405,M,23
ID204,11,deprived,high,-0.803,F,29
ID205,11,non-deprived,low,-0.49,M,23
ID206,10,deprived,low,-0.547,M,23
ID207,10,non-deprived,med,0.54,F,25
ID208,10,deprived,med,-0.336,M,25
ID209,7,non-deprived,high,-2.243,F,24
ID210,11,deprived,high,-0.647,M,30
ID211,11,non-deprived,low,-0.029,M,26
ID212,12,deprived,low,0.991,M,22
ID213,11,non-deprived,med,0.467,M,34
ID214,10,deprived,med,-0.877,M,27
ID215,9,non-deprived,high,0.123,M,25
ID216,8,deprived,high,-0.755,M,24
ID217,10,non-deprived,low,0.607,F,25
ID218,10,deprived,low,-1.048,M,27
ID219,10,non-deprived,med,-0.062,F,27
ID220,11,deprived,med,0.043,F,29
ID221,8,non-deprived,high,-0.666,M,25
ID222,7,deprived,high,-1.885,M,23
ID223,11,non-deprived,low,-1.148,M,29
ID224,10,deprived,low,-0.722,F,30
ID225,10,non-deprived,med,0.726,M,25
ID226,10,deprived,med,-1.363,M,28
ID227,8,non-deprived,high,-2.233,M,25
ID228,12,deprived,high,0.366,F,28
ID229,12,non-deprived,low,0.993,F,29
ID230,11,deprived,low,0.966,F,20
ID231,10,non-deprived,med,0.817,F,26
ID232,11,deprived,med,-0.577,F,24
ID233,7,non-deprived,high,-1.023,F,21
ID234,9,deprived,high,-1.876,F,31
ID235,11,non-deprived,low,0.854,F,30
ID236,12,deprived,low,0.709,M,27
ID237,10,non-deprived,med,0.155,M,25
ID238,10,deprived,med,0.437,F,28
ID239,9,non-deprived,high,-0.338,F,23
ID240,11,deprived,high,0.659,M,25
ID241,8,non-deprived,low,-0.514,F,30
ID242,12,deprived,low,0.23,M,22
ID243,11,non-deprived,med,0.835,F,26
ID244,11,deprived,med,-0.385,F,23
ID245,9,non-deprived,high,-1.201,M,28
ID246,11,deprived,high,0.599,M,24
ID247,9,non-deprived,low,-0.247,M,27
ID248,10,deprived,low,-0.304,F,23
ID249,9,non-deprived,med,-0.588,M,26
ID250,11,deprived,med,0.419,M,27
ID251,9,non-deprived,high,1.027,F,24
ID252,11,deprived,high,0.622,F,24
ID253,11,non-deprived,low,1.176,F,28
ID254,10,deprived,low,0.105,F,29
ID255,11,non-deprived,med,0.713,F,28
ID256,10,deprived,med,-0.497,F,25
ID257,7,non-deprived,high,-0.05,M,26
ID258,11,deprived,high,2.148,M,31
ID259,12,non-deprived,low,-0.647,M,30
ID260,11,deprived,low,-0.527,F,24
ID261,11,non-deprived,med,0.815,F,33
ID262,11,deprived,med,0.135,M,25
ID263,8,non-deprived,high,2.029,F,25
ID264,10,deprived,high,0.374,M,26
ID265,10,non-deprived,low,0.524,M,26
ID266,11,deprived,low,-1.513,M,25
ID267,8,non-deprived,med,-1.371,M,25
ID268,10,deprived,med,-2,M,25
ID269,9,non-deprived,high,0.845,F,24
ID270,9,deprived,high,0.403,F,30
ID271,11,non-deprived,low,0.327,F,28
ID272,11,deprived,low,0.642,M,29
ID273,10,non-deprived,med,-1.411,M,25
ID274,9,deprived,med,-0.279,F,29
ID275,9,non-deprived,high,1.413,F,25
ID276,7,deprived,high,-1.139,M,20
ID277,11,non-deprived,low,-1.035,M,24
ID278,8,deprived,low,-0.123,F,28
ID279,9,non-deprived,med,0.197,F,30
ID280,9,deprived,med,-0.838,F,26
ID281,10,non-deprived,high,1.958,F,27
ID282,10,deprived,high,0.678,M,23
ID283,11,non-deprived,low,0.806,M,23
ID284,10,deprived,low,0.337,F,22
ID285,8,non-deprived,med,0.723,F,27
ID286,10,deprived,med,-1.155,F,24
ID287,10,non-deprived,high,-0.575,M,27
ID288,9,deprived,high,-0.153,M,26
ID289,11,non-deprived,low,1.603,M,23
ID290,11,deprived,low,0.383,F,25
ID291,11,non-deprived,med,1.005,F,26
ID292,12,deprived,med,0.46,F,24
ID293,10,non-deprived,high,-1.233,F,27
ID294,9,deprived,high,-0.181,F,24
ID295,10,non-deprived,low,0.202,F,24
ID296,11,deprived,low,-1.851,M,25
ID297,10,non-deprived,med,2.439,F,29
ID298,10,deprived,med,0.766,M,27
ID299,6,non-deprived,high,-0.687,F,28
ID300,11,deprived,high,-0.406,F,28
