PID,frame,lives,lever
PPT_16,neutral,15lives,1
PPT_16,neutral,5lives,0
PPT_16,neutral,15lives,0
PPT_16,negative,5lives,1
PPT_16,negative,15lives,1
PPT_16,negative,5lives,1
PPT_16,negative,15lives,1
PPT_17,positive,5lives,0
PPT_17,positive,15lives,0
PPT_17,positive,5lives,1
PPT_17,positive,15lives,1
PPT_17,neutral,5lives,0
PPT_17,neutral,15lives,1
PPT_17,neutral,5lives,1
PPT_17,neutral,15lives,0
PPT_17,negative,5lives,0
PPT_17,negative,15lives,1
PPT_17,negative,5lives,0
PPT_17,negative,15lives,1
PPT_18,positive,5lives,1
PPT_18,positive,15lives,0
PPT_18,positive,5lives,0
PPT_18,positive,15lives,1
PPT_18,neutral,5lives,1
PPT_18,neutral,15lives,0
PPT_18,neutral,5lives,1
PPT_18,neutral,15lives,1
PPT_18,negative,5lives,0
PPT_18,negative,15lives,1
PPT_18,negative,5lives,0
PPT_18,negative,15lives,1
PPT_19,positive,5lives,1
PPT_19,positive,15lives,0
PPT_19,positive,5lives,1
PPT_19,positive,15lives,1
PPT_19,neutral,5lives,1
PPT_19,neutral,15lives,1
PPT_19,neutral,5lives,1
PPT_19,neutral,15lives,1
PPT_19,negative,5lives,1
PPT_19,negative,15lives,1
PPT_19,negative,5lives,1
PPT_19,negative,15lives,1
PPT_20,positive,5lives,0
PPT_20,positive,15lives,1
PPT_20,positive,5lives,1
PPT_20,positive,15lives,1
PPT_20,neutral,5lives,0
PPT_20,neutral,15lives,1
PPT_20,neutral,5lives,1
PPT_20,neutral,15lives,1
PPT_20,negative,5lives,1
PPT_20,negative,15lives,1
PPT_20,negative,5lives,0
PPT_20,negative,15lives,0
PPT_21,positive,5lives,0
PPT_21,positive,15lives,0
PPT_21,positive,5lives,1
PPT_21,positive,15lives,1
PPT_21,neutral,5lives,1
PPT_21,neutral,15lives,0
PPT_21,neutral,5lives,0
PPT_21,neutral,15lives,0
PPT_21,negative,5lives,0
PPT_21,negative,15lives,0
PPT_21,negative,5lives,1
PPT_21,negative,15lives,1
PPT_22,positive,5lives,1
PPT_22,positive,15lives,1
PPT_22,positive,5lives,1
PPT_22,positive,15lives,1
PPT_22,neutral,5lives,0
PPT_22,neutral,15lives,1
PPT_22,neutral,5lives,0
PPT_22,neutral,15lives,1
PPT_22,negative,5lives,1
PPT_22,negative,15lives,1
PPT_22,negative,5lives,0
PPT_22,negative,15lives,1
PPT_23,positive,5lives,0
PPT_23,positive,15lives,0
PPT_23,positive,5lives,1
PPT_23,positive,15lives,0
PPT_23,neutral,5lives,1
PPT_23,neutral,15lives,1
PPT_23,neutral,5lives,0
PPT_23,neutral,15lives,0
PPT_23,negative,5lives,0
PPT_23,negative,15lives,0
PPT_23,negative,5lives,1
PPT_23,negative,15lives,1
PPT_24,positive,5lives,0
PPT_24,positive,15lives,1
PPT_24,positive,5lives,1
PPT_24,positive,15lives,0
PPT_24,neutral,5lives,0
PPT_24,neutral,15lives,0
PPT_24,neutral,5lives,0
PPT_24,neutral,15lives,1
PPT_24,negative,5lives,0
PPT_24,negative,15lives,0
PPT_24,negative,5lives,0
PPT_24,negative,15lives,1
PPT_25,positive,5lives,0
PPT_25,positive,15lives,0
PPT_25,positive,5lives,0
PPT_25,positive,15lives,1
PPT_25,neutral,5lives,0
PPT_25,neutral,15lives,1
PPT_25,neutral,5lives,1
PPT_25,neutral,15lives,1
PPT_25,negative,5lives,0
PPT_25,negative,15lives,0
PPT_25,negative,5lives,0
PPT_25,negative,15lives,0
PPT_26,positive,5lives,1
PPT_26,positive,15lives,1
PPT_26,positive,5lives,1
PPT_26,positive,15lives,1
PPT_26,neutral,5lives,1
PPT_26,neutral,15lives,1
PPT_26,neutral,5lives,1
PPT_26,neutral,15lives,1
PPT_26,negative,5lives,1
PPT_26,negative,15lives,1
PPT_26,negative,5lives,1
PPT_26,negative,15lives,1
PPT_27,positive,5lives,1
PPT_27,positive,15lives,0
PPT_27,positive,5lives,0
PPT_27,positive,15lives,0
PPT_27,neutral,5lives,1
PPT_27,neutral,15lives,1
PPT_27,neutral,5lives,1
PPT_27,neutral,15lives,0
PPT_27,negative,5lives,0
PPT_27,negative,15lives,1
PPT_27,negative,5lives,0
PPT_27,negative,15lives,0
PPT_28,positive,5lives,1
PPT_28,positive,15lives,1
PPT_28,positive,5lives,1
PPT_28,positive,15lives,1
PPT_28,neutral,5lives,1
PPT_28,neutral,15lives,0
PPT_28,neutral,5lives,1
PPT_28,neutral,15lives,1
PPT_28,negative,5lives,1
PPT_28,negative,15lives,1
PPT_28,negative,5lives,1
PPT_28,negative,15lives,1
PPT_29,positive,5lives,0
PPT_29,positive,15lives,1
PPT_29,positive,5lives,1
PPT_29,positive,15lives,0
PPT_29,neutral,5lives,1
PPT_29,neutral,15lives,0
PPT_29,neutral,5lives,0
PPT_29,neutral,15lives,1
PPT_29,negative,5lives,0
PPT_29,negative,15lives,0
PPT_29,negative,5lives,0
PPT_29,negative,15lives,0
PPT_30,positive,5lives,0
PPT_30,positive,15lives,1
PPT_30,positive,5lives,1
PPT_30,positive,15lives,1
PPT_30,neutral,5lives,1
PPT_30,neutral,15lives,0
PPT_30,neutral,5lives,1
PPT_30,neutral,15lives,1
PPT_30,negative,5lives,1
PPT_30,negative,15lives,0
PPT_30,negative,5lives,1
PPT_30,negative,15lives,1
PPT_31,positive,5lives,1
PPT_31,positive,15lives,1
PPT_31,positive,5lives,1
PPT_31,positive,15lives,0
PPT_31,neutral,5lives,1
PPT_31,neutral,15lives,0
PPT_31,neutral,5lives,0
PPT_31,neutral,15lives,0
PPT_31,negative,5lives,0
PPT_31,negative,15lives,0
PPT_31,negative,5lives,0
PPT_31,negative,15lives,1
PPT_32,positive,5lives,1
PPT_32,positive,15lives,1
PPT_32,positive,5lives,1
PPT_32,positive,15lives,1
PPT_32,neutral,5lives,0
PPT_32,neutral,15lives,1
PPT_32,neutral,5lives,1
PPT_32,neutral,15lives,0
PPT_32,negative,5lives,0
PPT_32,negative,15lives,0
PPT_32,negative,5lives,1
PPT_32,negative,15lives,1
PPT_33,positive,5lives,1
PPT_33,positive,15lives,1
PPT_33,positive,5lives,1
PPT_33,positive,15lives,1
PPT_33,neutral,5lives,0
PPT_33,neutral,15lives,1
PPT_33,neutral,5lives,1
PPT_33,neutral,15lives,1
PPT_33,negative,5lives,1
PPT_33,negative,15lives,1
PPT_33,negative,5lives,1
PPT_33,negative,15lives,1
PPT_34,positive,5lives,0
PPT_34,positive,15lives,1
PPT_34,positive,5lives,1
PPT_34,positive,15lives,0
PPT_34,neutral,5lives,1
PPT_34,neutral,15lives,1
PPT_34,neutral,5lives,1
PPT_34,neutral,15lives,1
PPT_34,negative,5lives,0
PPT_34,negative,15lives,1
PPT_34,negative,5lives,0
PPT_34,negative,15lives,1
PPT_35,positive,5lives,1
PPT_35,positive,15lives,1
PPT_35,positive,5lives,0
PPT_35,positive,15lives,1
PPT_35,neutral,5lives,1
PPT_35,neutral,15lives,0
PPT_35,neutral,5lives,0
PPT_35,neutral,15lives,1
PPT_35,negative,5lives,0
PPT_35,negative,15lives,0
PPT_35,negative,5lives,1
PPT_35,negative,15lives,0
PPT_36,positive,5lives,1
PPT_36,positive,15lives,1
PPT_36,positive,5lives,1
PPT_36,positive,15lives,1
PPT_36,neutral,5lives,1
PPT_36,neutral,15lives,1
PPT_36,neutral,5lives,0
PPT_36,neutral,15lives,0
PPT_36,negative,5lives,1
PPT_36,negative,15lives,0
PPT_36,negative,5lives,1
PPT_36,negative,15lives,1
PPT_37,positive,5lives,1
PPT_37,positive,15lives,0
PPT_37,positive,5lives,0
PPT_37,positive,15lives,1
PPT_37,neutral,5lives,0
PPT_37,neutral,15lives,1
PPT_37,neutral,5lives,1
PPT_37,neutral,15lives,1
PPT_37,negative,5lives,0
PPT_37,negative,15lives,1
PPT_37,negative,5lives,1
PPT_37,negative,15lives,1
PPT_38,positive,5lives,1
PPT_38,positive,15lives,1
PPT_38,positive,5lives,1
PPT_38,positive,15lives,1
PPT_38,neutral,5lives,1
PPT_38,neutral,15lives,1
PPT_38,neutral,5lives,1
PPT_38,neutral,15lives,0
PPT_38,negative,5lives,0
PPT_38,negative,15lives,0
PPT_38,negative,5lives,1
PPT_38,negative,15lives,1
PPT_39,positive,5lives,0
PPT_39,positive,15lives,1
PPT_39,positive,5lives,0
PPT_39,positive,15lives,0
PPT_39,neutral,5lives,0
PPT_39,neutral,15lives,1
PPT_39,neutral,5lives,1
PPT_39,neutral,15lives,1
PPT_39,negative,5lives,0
PPT_39,negative,15lives,1
PPT_39,negative,5lives,1
PPT_39,negative,15lives,1
PPT_40,positive,5lives,1
PPT_40,positive,15lives,0
PPT_40,positive,5lives,0
PPT_40,positive,15lives,1
PPT_40,neutral,5lives,1
PPT_40,neutral,15lives,1
PPT_40,neutral,5lives,1
PPT_40,neutral,15lives,1
PPT_40,negative,5lives,0
PPT_40,negative,15lives,1
PPT_40,negative,5lives,1
PPT_40,negative,15lives,1
PPT_41,positive,5lives,1
PPT_41,positive,15lives,1
PPT_41,positive,5lives,1
PPT_41,positive,15lives,1
PPT_41,neutral,5lives,1
PPT_41,neutral,15lives,0
PPT_41,neutral,5lives,1
PPT_41,neutral,15lives,0
PPT_41,negative,5lives,0
PPT_41,negative,15lives,0
PPT_41,negative,5lives,1
PPT_41,negative,15lives,0
PPT_42,positive,5lives,0
PPT_42,positive,15lives,0
PPT_42,positive,5lives,0
PPT_42,positive,15lives,1
PPT_42,neutral,5lives,0
PPT_42,neutral,15lives,1
PPT_42,neutral,5lives,1
PPT_42,neutral,15lives,0
PPT_42,negative,5lives,1
PPT_42,negative,15lives,1
PPT_42,negative,5lives,1
PPT_42,negative,15lives,1
PPT_43,positive,5lives,1
PPT_43,positive,15lives,0
PPT_43,positive,5lives,1
PPT_43,positive,15lives,1
PPT_43,neutral,5lives,0
PPT_43,neutral,15lives,1
PPT_43,neutral,5lives,1
PPT_43,neutral,15lives,0
PPT_43,negative,5lives,1
PPT_43,negative,15lives,0
PPT_43,negative,5lives,1
PPT_43,negative,15lives,1
PPT_44,positive,5lives,1
PPT_44,positive,15lives,0
PPT_44,positive,5lives,0
PPT_44,positive,15lives,1
PPT_44,neutral,5lives,1
PPT_44,neutral,15lives,1
PPT_44,neutral,5lives,1
PPT_44,neutral,15lives,0
PPT_44,negative,5lives,1
PPT_44,negative,15lives,1
PPT_44,negative,5lives,1
PPT_44,negative,15lives,1
PPT_45,positive,5lives,1
PPT_45,positive,15lives,1
PPT_45,positive,5lives,0
PPT_45,positive,15lives,1
PPT_45,neutral,5lives,1
PPT_45,neutral,15lives,1
PPT_45,neutral,5lives,1
PPT_45,neutral,15lives,1
PPT_45,negative,5lives,1
PPT_45,negative,15lives,1
PPT_45,negative,5lives,1
PPT_45,negative,15lives,1
PPT_46,positive,5lives,1
PPT_46,positive,15lives,1
PPT_46,positive,5lives,1
PPT_46,positive,15lives,1
PPT_46,neutral,5lives,1
PPT_46,neutral,15lives,1
PPT_46,neutral,5lives,1
PPT_46,neutral,15lives,1
PPT_46,negative,5lives,1
PPT_46,negative,15lives,1
PPT_46,negative,5lives,1
PPT_46,negative,15lives,1
PPT_47,positive,5lives,0
PPT_47,positive,15lives,0
PPT_47,positive,5lives,1
PPT_47,positive,15lives,1
PPT_47,neutral,5lives,1
PPT_47,neutral,15lives,0
PPT_47,neutral,5lives,1
PPT_47,neutral,15lives,1
PPT_47,negative,5lives,0
PPT_47,negative,15lives,0
PPT_47,negative,5lives,1
PPT_47,negative,15lives,0
PPT_48,positive,5lives,1
PPT_48,positive,15lives,1
PPT_48,positive,5lives,1
PPT_48,positive,15lives,1
PPT_48,neutral,5lives,1
PPT_48,neutral,15lives,1
PPT_48,neutral,5lives,1
PPT_48,neutral,15lives,1
PPT_48,negative,5lives,1
PPT_48,negative,15lives,1
PPT_48,negative,5lives,0
PPT_48,negative,15lives,1
PPT_49,positive,5lives,1
PPT_49,positive,15lives,0
PPT_49,positive,5lives,1
PPT_49,positive,15lives,1
PPT_49,neutral,5lives,0
PPT_49,neutral,15lives,1
PPT_49,neutral,5lives,1
PPT_49,neutral,15lives,0
PPT_49,negative,5lives,0
PPT_49,negative,15lives,0
PPT_49,negative,5lives,0
PPT_49,negative,15lives,0
PPT_50,positive,5lives,0
PPT_50,positive,15lives,1
PPT_50,positive,5lives,1
PPT_50,positive,15lives,1
PPT_50,neutral,5lives,1
PPT_50,neutral,15lives,1
PPT_50,neutral,5lives,1
PPT_50,neutral,15lives,0
PPT_50,negative,5lives,1
PPT_50,negative,15lives,1
PPT_50,negative,5lives,1
PPT_50,negative,15lives,0
PPT_51,positive,5lives,1
PPT_51,positive,15lives,1
PPT_51,positive,5lives,1
PPT_51,positive,15lives,1
PPT_51,neutral,5lives,1
PPT_51,neutral,15lives,1
PPT_51,neutral,5lives,1
PPT_51,neutral,15lives,1
PPT_51,negative,5lives,1
PPT_51,negative,15lives,1
PPT_51,negative,5lives,1
PPT_51,negative,15lives,1
PPT_52,positive,5lives,1
PPT_52,positive,15lives,1
PPT_52,positive,5lives,1
PPT_52,positive,15lives,1
PPT_52,neutral,5lives,0
PPT_52,neutral,15lives,1
PPT_52,neutral,5lives,1
PPT_52,neutral,15lives,0
PPT_52,negative,5lives,1
PPT_52,negative,15lives,1
PPT_52,negative,5lives,1
PPT_52,negative,15lives,0
PPT_53,positive,5lives,0
PPT_53,positive,15lives,0
PPT_53,positive,5lives,1
PPT_53,positive,15lives,1
PPT_53,neutral,5lives,0
PPT_53,neutral,15lives,1
PPT_53,neutral,5lives,1
PPT_53,neutral,15lives,0
PPT_53,negative,5lives,1
PPT_53,negative,15lives,1
PPT_53,negative,5lives,0
PPT_53,negative,15lives,0
PPT_54,positive,5lives,1
PPT_54,positive,15lives,1
PPT_54,positive,5lives,1
PPT_54,positive,15lives,0
PPT_54,neutral,5lives,1
PPT_54,neutral,15lives,1
PPT_54,neutral,5lives,0
PPT_54,neutral,15lives,0
PPT_54,negative,5lives,1
PPT_54,negative,15lives,0
PPT_54,negative,5lives,0
PPT_54,negative,15lives,0
PPT_55,positive,5lives,0
PPT_55,positive,15lives,1
PPT_55,positive,5lives,1
PPT_55,positive,15lives,0
PPT_55,neutral,5lives,0
PPT_55,neutral,15lives,0
PPT_55,neutral,5lives,1
PPT_55,neutral,15lives,1
PPT_55,negative,5lives,1
PPT_55,negative,15lives,1
PPT_55,negative,5lives,1
PPT_55,negative,15lives,1
PPT_56,positive,5lives,1
PPT_56,positive,15lives,1
PPT_56,positive,5lives,1
PPT_56,positive,15lives,1
PPT_56,neutral,5lives,1
PPT_56,neutral,15lives,1
PPT_56,neutral,5lives,1
PPT_56,neutral,15lives,1
PPT_56,negative,5lives,1
PPT_56,negative,15lives,1
PPT_56,negative,5lives,1
PPT_56,negative,15lives,1
PPT_57,positive,5lives,0
PPT_57,positive,15lives,0
PPT_57,positive,5lives,1
PPT_57,positive,15lives,0
PPT_57,neutral,5lives,1
PPT_57,neutral,15lives,0
PPT_57,neutral,5lives,0
PPT_57,neutral,15lives,1
PPT_57,negative,5lives,0
PPT_57,negative,15lives,0
PPT_57,negative,5lives,0
PPT_57,negative,15lives,1
PPT_58,positive,5lives,1
PPT_58,positive,15lives,0
PPT_58,positive,5lives,1
PPT_58,positive,15lives,1
PPT_58,neutral,5lives,0
PPT_58,neutral,15lives,1
PPT_58,neutral,5lives,0
PPT_58,neutral,15lives,1
PPT_58,negative,5lives,0
PPT_58,negative,15lives,1
PPT_58,negative,5lives,0
PPT_58,negative,15lives,1
PPT_59,positive,5lives,0
PPT_59,positive,15lives,1
PPT_59,positive,5lives,0
PPT_59,positive,15lives,1
PPT_59,neutral,5lives,1
PPT_59,neutral,15lives,1
PPT_59,neutral,5lives,0
PPT_59,neutral,15lives,1
PPT_59,negative,5lives,1
PPT_59,negative,15lives,0
PPT_59,negative,5lives,0
PPT_59,negative,15lives,1
PPT_60,positive,5lives,1
PPT_60,positive,15lives,0
PPT_60,positive,5lives,1
PPT_60,positive,15lives,0
PPT_60,neutral,5lives,0
PPT_60,neutral,15lives,1
PPT_60,neutral,5lives,0
PPT_60,neutral,15lives,1
PPT_60,negative,5lives,0
PPT_60,negative,15lives,1
PPT_60,negative,5lives,0
PPT_60,negative,15lives,1
PPT_61,positive,5lives,1
PPT_61,positive,15lives,1
PPT_61,positive,5lives,0
PPT_61,positive,15lives,1
PPT_61,neutral,5lives,1
PPT_61,neutral,15lives,1
PPT_61,neutral,5lives,1
PPT_61,neutral,15lives,1
PPT_61,negative,5lives,0
PPT_61,negative,15lives,1
PPT_61,negative,5lives,1
PPT_61,negative,15lives,1
PPT_62,positive,5lives,0
PPT_62,positive,15lives,1
PPT_62,positive,5lives,1
PPT_62,positive,15lives,0
PPT_62,neutral,5lives,0
PPT_62,neutral,15lives,1
PPT_62,neutral,5lives,0
PPT_62,neutral,15lives,1
PPT_62,negative,5lives,1
PPT_62,negative,15lives,0
PPT_62,negative,5lives,0
PPT_62,negative,15lives,1
PPT_63,positive,5lives,0
PPT_63,positive,15lives,1
PPT_63,positive,5lives,1
PPT_63,positive,15lives,1
PPT_63,neutral,5lives,1
PPT_63,neutral,15lives,1
PPT_63,neutral,5lives,1
PPT_63,neutral,15lives,1
PPT_63,negative,5lives,1
PPT_63,negative,15lives,1
PPT_63,negative,5lives,1
PPT_63,negative,15lives,1
PPT_64,positive,5lives,1
PPT_64,positive,15lives,1
PPT_64,positive,5lives,1
PPT_64,positive,15lives,0
PPT_64,neutral,5lives,1
PPT_64,neutral,15lives,0
PPT_64,neutral,5lives,1
PPT_64,neutral,15lives,0
PPT_64,negative,5lives,0
PPT_64,negative,15lives,1
PPT_64,negative,5lives,0
PPT_64,negative,15lives,1
PPT_65,positive,5lives,1
PPT_65,positive,15lives,1
PPT_65,positive,5lives,1
PPT_65,positive,15lives,1
PPT_65,neutral,5lives,1
PPT_65,neutral,15lives,1
PPT_65,neutral,5lives,0
PPT_65,neutral,15lives,1
PPT_65,negative,5lives,0
PPT_65,negative,15lives,1
PPT_65,negative,5lives,1
PPT_65,negative,15lives,1
PPT_66,positive,5lives,1
PPT_66,positive,15lives,1
PPT_66,positive,5lives,1
PPT_66,positive,15lives,1
PPT_66,neutral,5lives,1
PPT_66,neutral,15lives,1
PPT_66,neutral,5lives,1
PPT_66,neutral,15lives,1
PPT_66,negative,5lives,1
PPT_66,negative,15lives,1
PPT_66,negative,5lives,1
PPT_66,negative,15lives,1
PPT_67,positive,5lives,1
PPT_67,positive,15lives,1
PPT_67,positive,5lives,1
PPT_67,positive,15lives,1
PPT_67,neutral,5lives,1
PPT_67,neutral,15lives,1
PPT_67,neutral,5lives,1
PPT_67,neutral,15lives,1
PPT_67,negative,5lives,1
PPT_67,negative,15lives,1
PPT_67,negative,5lives,1
PPT_67,negative,15lives,1
PPT_68,positive,5lives,0
PPT_68,positive,15lives,1
PPT_68,positive,5lives,0
PPT_68,positive,15lives,1
PPT_68,neutral,5lives,0
PPT_68,neutral,15lives,1
PPT_68,neutral,5lives,0
PPT_68,neutral,15lives,0
PPT_68,negative,5lives,1
PPT_68,negative,15lives,1
PPT_68,negative,5lives,1
PPT_68,negative,15lives,1
PPT_69,positive,5lives,1
PPT_69,positive,15lives,1
PPT_69,positive,5lives,1
PPT_69,positive,15lives,0
PPT_69,neutral,5lives,1
PPT_69,neutral,15lives,1
PPT_69,neutral,5lives,1
PPT_69,neutral,15lives,1
PPT_69,negative,5lives,0
PPT_69,negative,15lives,1
PPT_69,negative,5lives,1
PPT_69,negative,15lives,1
PPT_70,positive,5lives,1
PPT_70,positive,15lives,1
PPT_70,positive,5lives,0
PPT_70,positive,15lives,0
PPT_70,neutral,5lives,0
PPT_70,neutral,15lives,0
PPT_70,neutral,5lives,0
PPT_70,neutral,15lives,1
PPT_70,negative,5lives,0
PPT_70,negative,15lives,0
PPT_70,negative,5lives,1
PPT_70,negative,15lives,0
PPT_71,positive,5lives,1
PPT_71,positive,15lives,1
PPT_71,positive,5lives,1
PPT_71,positive,15lives,0
PPT_71,neutral,5lives,1
PPT_71,neutral,15lives,1
PPT_71,neutral,5lives,1
PPT_71,neutral,15lives,0
PPT_71,negative,5lives,1
PPT_71,negative,15lives,0
PPT_71,negative,5lives,1
PPT_71,negative,15lives,1
PPT_72,positive,5lives,1
PPT_72,positive,15lives,0
PPT_72,positive,5lives,1
PPT_72,positive,15lives,1
PPT_72,neutral,5lives,1
PPT_72,neutral,15lives,1
PPT_72,neutral,5lives,1
PPT_72,neutral,15lives,1
PPT_72,negative,5lives,1
PPT_72,negative,15lives,1
PPT_72,negative,5lives,1
PPT_72,negative,15lives,1
PPT_73,positive,5lives,1
PPT_73,positive,15lives,1
PPT_73,positive,5lives,1
PPT_73,positive,15lives,1
PPT_73,neutral,5lives,1
PPT_73,neutral,15lives,1
PPT_73,neutral,5lives,1
PPT_73,neutral,15lives,1
PPT_73,negative,5lives,1
PPT_73,negative,15lives,1
PPT_73,negative,5lives,1
PPT_73,negative,15lives,1
PPT_74,positive,5lives,0
PPT_74,positive,15lives,0
PPT_74,positive,5lives,1
PPT_74,positive,15lives,0
PPT_74,neutral,5lives,1
PPT_74,neutral,15lives,0
PPT_74,neutral,5lives,0
PPT_74,neutral,15lives,1
PPT_74,negative,5lives,1
PPT_74,negative,15lives,0
PPT_74,negative,5lives,0
PPT_74,negative,15lives,1
PPT_75,positive,5lives,1
PPT_75,positive,15lives,1
PPT_75,positive,5lives,1
PPT_75,positive,15lives,1
PPT_75,neutral,5lives,1
PPT_75,neutral,15lives,1
PPT_75,neutral,5lives,0
PPT_75,neutral,15lives,1
PPT_75,negative,5lives,0
PPT_75,negative,15lives,1
PPT_75,negative,5lives,0
PPT_75,negative,15lives,1
PPT_76,positive,5lives,0
PPT_76,positive,15lives,1
PPT_76,positive,5lives,1
PPT_76,positive,15lives,1
PPT_76,neutral,5lives,1
PPT_76,neutral,15lives,1
PPT_76,neutral,5lives,1
PPT_76,neutral,15lives,1
PPT_76,negative,5lives,1
PPT_76,negative,15lives,0
PPT_76,negative,5lives,1
