job_yrs,job_mths,worktype,cont_hrs,act_hrs,gender,dobm,doby,status,youngdep,elderdep,qualif,exercise,cigs,alcohol,time_rel,when_rel,job1,job2,job3,job4,job5,job6,job7,job8,job9,job10,job11,job12,job13,job14,job15,job16,job17,job18,job19,job20,job21,job22,job23,job24,job25,job26,job27,job28,job29,job30,job31,job32,job33,job34,job35,job36,job37,job38,job39,job40,job41,job42,job43,job44,job45,job46,job47,job48,job49,job50
2,0,1,37.5,37.5,2,1,77,2,2,1,2,3,1,0,3,2,5,3,1,7,6,2,5,7,3,6,3,4,3,7,4,6,2,3,1,4,3,2,2,4,5,1,6,3,4,7,5,5,6,2,5,5,7,7,4,3,3,4,2,7,5,5,5,5,5,5
2,5,1,37.5,38,1,12,77,2,1,1,3,2,2,10,2,2,5,2,4,7,6,2,6,6,4,6,5,2,4,6,4,6,2,5,2,3,5,5,5,6,5,5,3,3,4,6,3,5,3,2,5,3,4,5,5,5,5,6,6,6,4,2,5,3,3,4
11,1,1,40,40,1,11,74,1,1,1,2,4,1,40,2,1,4,3,3,3,6,1,5,4,6,6,5,1,2,4,7,6,3,5,2,3,5,2,6,4,5,6,1,5,3,4,4,4,4,2,4,4,6,6,6,6,5,5,4,4,6,2,4,6,6,4
4,2,1,37.5,37.5,1,3,68,2,1,1,5,1,2,30,1,1,6,2,2,6,6,1,7,6,2,6,6,4,7,6,6,6,2,6,6,4,6,2,4,2,3,6,1,1,2,4,6,7,2,2,6,6,7,7,7,7,6,7,6,5,6,2,4,3,6,5
1,10,1,37.5,37.5,2,6,88,1,1,1,2,4,1,10,2,2,4,1,4,6,6,1,4,5,1,6,6,2,1,4,3,5,1,5,1,3,4,1,4,3,4,4,1,3,2,3,5,5,3,3,5,5,4,3,3,4,4,4,5,6,5,1,3,4,7,1
2,10,1,37.5,37.5,1,6,81,1,1,1,1,3,2,0,4,4,5,2,3,6,6,2,4,4,2,4,4,2,4,4,5,4,2,5,5,6,4,6,2,6,6,6,2,4,4,4,6,5,6,5,4,6,5,6,5,4,5,5,4,5,6,2,6,5,6,2
1,4,1,37.5,37.5,2,3,90,1,1,1,1,3,2,15,2,2,5,4,1,6,4,1,7,6,1,4,5,2,2,7,5,4,2,6,5,1,3,1,4,5,4,4,2,1,3,4,6,5,6,5,5,6,6,6,5,6,7,5,7,6,4,2,5,4,7,5
0,3,1,37.5,35,2,5,59,2,1,1,2,4,2,0,3,1,5,6,6,6,6,2,5,6,5,5,5,2,4,4,4,6,2,6,6,5,5,5,5,6,6,4,4,3,3,6,6,6,6,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,6,3
1,0,1,37.5,37.5,2,3,89,1,1,1,3,5,2,15,1,2,4,4,3,4,4,1,6,5,2,5,6,2,4,6,4,5,1,4,2,3,4,3,5,5,4,5,6,2,5,4,5,5,4,1,7,7,6,6,2,4,5,4,2,6,4,1,4,3,6,4
0,3,2,11.5,11.5,2,4,87,1,1,1,5,2,2,5,2,1,5,5,5,3,6,2,7,3,6,6,4,2,6,6,3,6,2,5,2,6,2,5,6,4,6,4,6,6,5,2,4,5,2,2,5,5,5,5,1,6,6,3,6,5,2,1,4,1,6,5
1,6,1,40,40,1,4,80,2,2,1,2,4,4,5,3,1,5,3,6,2,5,1,7,6,3,4,6,2,4,4,5,3,3,3,2,5,5,3,6,2,3,4,2,5,3,3,2,5,2,4,6,5,5,5,4,1,5,5,4,3,6,2,3,6,7,7
0,6,1,60,60,1,6,86,1,1,1,4,2,2,0,4,2,4,5,1,5,4,1,4,6,3,5,7,4,6,7,6,4,3,3,2,5,2,2,1,4,4,6,6,3,2,4,6,5,5,2,6,6,5,6,4,6,6,5,2,6,3,4,5,6,6,1
2,1,1,40,40,1,12,84,1,1,2,5,6,2,0,2,3,4,5,5,5,5,7,7,5,6,5,5,7,5,4,3,3,3,5,5,6,4,7,5,6,6,4,4,7,2,4,2,5,4,4,6,6,6,6,3,1,6,5,7,7,7,7,1,1,6,7
6,1,1,40,46,1,6,86,1,1,2,4,5,2,0,2,2,1,7,7,1,5,3,6,4,5,3,1,6,5,1,3,1,6,3,1,3,1,3,2,4,2,2,6,7,4,2,2,2,3,4,2,2,1,4,2,1,2,3,3,2,3,2,3,1,5,6
1,2,1,60,60,2,11,83,1,1,1,5,1,2,0,4,1,1,2,1,5,2,3,7,6,2,2,5,2,2,6,3,2,4,5,2,3,2,5,4,2,1,2,7,2,6,7,6,5,2,4,6,6,3,3,3,1,5,1,1,2,2,4,2,5,7,6
28,4,1,80,80,1,6,58,2,2,2,5,2,2,0,2,2,3,5,3,6,6,6,6,4,5,4,5,2,2,6,3,5,6,4,2,4,4,5,2,3,3,3,2,6,4,3,1,6,6,5,5,2,3,3,6,2,4,2,1,6,3,6,1,2,6,5
1,8,1,40,44,1,5,85,1,1,1,5,3,2,0,3,1,4,4,5,6,6,4,5,6,6,6,6,6,6,4,4,5,5,4,4,6,5,5,6,4,4,4,4,4,5,5,5,5,6,7,7,6,6,6,5,5,6,6,5,4,4,5,6,6,7,5
3,0,1,40,40,1,12,83,1,1,1,4,2,2,0,2,1,5,4,2,5,6,3,6,7,3,6,5,5,3,6,6,6,3,7,6,2,6,2,7,6,7,6,3,2,6,7,7,6,7,6,6,7,6,7,7,7,7,7,2,7,7,2,6,6,6,2
4,1,1,54,54,1,6,86,2,1,2,4,5,1,5,5,4,1,1,7,1,7,7,4,4,7,7,1,1,1,1,7,7,7,3,3,4,1,1,1,3,3,7,1,7,1,3,1,1,1,7,1,1,1,1,7,7,1,1,1,1,7,7,5,7,3,5
3,9,1,60,60,2,8,77,2,1,1,4,2,4,2,3,3,2,7,6,2,3,6,4,3,6,3,2,6,5,7,1,2,4,5,3,4,3,4,3,7,7,2,4,3,4,3,2,5,3,5,3,3,5,3,2,4,2,2,4,2,4,2,4,2,4,3
0,10,1,56,56,1,8,82,1,1,1,5,2,1,0,3,2,2,2,1,7,7,6,5,7,2,5,7,4,1,1,7,2,7,7,1,1,1,1,6,7,6,4,1,6,3,5,7,5,6,7,6,6,2,6,7,6,6,6,7,6,7,2,3,6,7,1
5,8,1,36,36,1,2,67,2,2,1,2,6,2,60,4,2,1,4,7,1,1,1,1,1,4,1,7,4,4,3,1,1,1,1,1,7,5,4,3,1,1,1,6,3,4,1,7,7,1,1,5,7,1,1,1,1,7,1,1,1,3,1,1,1,7,7
0,3,2,5,5,1,11,83,1,1,1,5,3,2,20,5,1,5,1,3,4,6,6,1,7,2,6,6,1,1,1,4,6,5,5,1,1,5,2,4,4,4,6,4,2,1,4,7,6,4,6,6,6,7,6,6,7,4,2,5,6,6,4,2,6,7,4
1,0,1,40,40,1,5,83,2,1,1,4,3,2,4,2,1,5,3,4,5,4,1,7,6,4,4,5,2,4,6,5,4,2,6,6,2,5,3,6,6,6,7,1,7,5,4,6,7,6,5,6,6,5,5,6,5,6,5,7,6,6,5,5,7,7,1
1,1,1,40,45,1,10,81,1,1,1,5,3,1,2,2,1,5,4,4,6,6,1,7,5,4,6,6,1,1,4,5,6,2,6,6,3,4,1,6,6,6,6,4,2,2,5,6,6,6,7,6,6,7,7,7,6,6,6,7,6,6,4,6,6,6,1
12,2,2,20,20,1,12,72,1,1,2,5,3,2,20,3,2,6,4,6,6,6,4,1,3,1,6,4,7,5,4,1,6,4,3,1,4,2,7,3,3,3,5,5,3,4,2,4,4,3,3,2,4,5,4,3,3,3,3,4,3,3,3,3,6,4,4
2,0,1,50,50,1,11,81,1,1,2,5,5,1,15,5,4,7,5,6,2,1,4,6,4,7,2,2,2,7,4,4,2,6,5,5,5,1,5,1,4,6,4,1,7,7,7,1,3,4,3,1,1,3,3,4,1,1,7,7,5,6,6,3,5,4,6
1,1,1,35,40,1,6,79,2,1,1,5,3,2,10,3,2,2,5,2,2,5,2,2,3,2,5,6,2,2,2,2,5,5,5,2,2,3,5,3,2,2,2,5,2,3,5,6,5,2,2,5,6,2,2,2,2,6,2,2,2,3,2,2,2,6,6
1,0,2,35,35,2,9,83,1,1,1,5,5,1,1,5,2,2,1,3,3,1,2,1,4,2,6,5,6,1,2,4,3,2,5,2,4,2,5,2,2,1,1,7,1,2,4,2,2,2,1,5,2,2,1,1,4,3,1,3,2,1,1,2,1,6,6
2,0,1,40,47,2,4,84,2,1,1,5,4,1,1,3,4,5,4,5,2,3,4,5,4,6,3,5,4,4,7,5,3,7,5,4,6,6,1,4,2,7,5,4,6,7,5,2,4,2,6,6,6,4,4,6,2,5,5,4,4,4,6,4,4,6,7
5,2,2,20,20,2,9,85,2,1,1,5,4,2,6,3,2,5,6,4,7,7,6,1,3,4,7,2,5,6,4,2,7,6,3,1,5,2,5,3,6,5,3,7,4,3,1,6,2,6,1,2,5,1,1,1,6,5,2,6,6,2,2,3,1,6,4
1,0,2,24,28,2,6,55,2,2,2,6,2,1,5,3,2,1,6,6,4,5,5,2,2,7,6,5,5,6,7,4,3,4,1,2,3,6,5,2,4,2,5,3,7,7,4,3,5,4,1,7,3,4,4,2,3,5,3,1,2,4,5,3,4,2,6
1,11,1,35,40,1,11,83,2,1,1,4,1,1,10,3,1,6,4,6,2,2,1,4,2,1,7,7,2,1,1,4,4,2,7,1,2,2,1,6,4,6,7,2,5,3,7,3,5,4,6,6,4,7,7,7,7,2,6,2,5,6,1,6,4,7,1
3,2,1,33,33,2,6,71,1,2,1,2,4,1,4,3,2,7,5,7,2,3,3,6,6,7,6,5,4,5,4,4,5,2,6,6,2,5,5,4,2,6,5,2,5,5,5,3,4,4,5,4,3,4,5,6,3,3,5,5,6,7,5,6,7,5,5
5,1,1,35,35,2,8,84,2,1,1,4,2,2,6,2,2,1,2,2,1,1,2,2,2,2,1,6,3,2,5,5,1,2,2,1,2,4,2,4,4,4,1,3,3,2,1,5,1,4,5,5,5,5,5,5,5,2,2,1,1,4,1,2,7,7,5
2,1,2,10,12,2,8,85,1,1,1,4,5,1,5,2,2,2,6,5,4,4,2,3,4,5,5,4,4,4,5,5,2,1,6,1,5,5,2,6,3,4,6,1,4,5,5,6,7,2,6,5,4,7,6,3,5,6,6,2,2,7,2,6,6,7,6
0,9,2,12,14,1,1,86,2,1,1,4,2,2,8,1,2,3,7,6,3,5,1,1,6,3,5,3,2,4,3,6,5,2,3,2,6,6,2,2,6,5,6,5,5,6,5,7,5,5,3,6,2,2,5,3,5,3,5,3,3,5,1,6,7,5,2
0,7,1,35,40,1,5,79,1,2,1,4,5,2,2,5,2,5,5,6,5,5,6,6,6,7,5,4,5,6,6,5,6,5,6,2,3,6,2,5,6,4,5,2,6,5,5,7,3,6,2,5,6,5,6,4,5,6,6,6,5,6,6,5,6,3,4
3,1,1,40,40,1,10,77,1,1,1,4,3,1,10,4,2,6,1,7,6,6,4,5,5,6,7,1,1,6,6,5,5,1,5,2,3,2,2,3,5,7,1,1,2,5,6,6,6,2,2,7,6,2,7,5,4,5,5,7,4,6,1,4,6,5,6
0,2,2,10,10,2,7,85,2,1,1,5,4,2,3,4,2,4,5,1,6,7,1,1,7,3,7,2,1,1,1,7,7,1,4,3,7,1,1,5,2,7,7,2,7,6,2,4,4,2,6,1,4,5,7,1,1,6,3,6,3,6,7,7,7,3,5
4,9,1,40,40,1,9,72,1,1,1,4,2,1,10,2,1,4,6,4,5,5,4,3,3,4,5,4,3,3,4,5,5,4,5,3,4,4,4,5,5,4,4,3,3,4,5,2,5,3,4,4,4,4,5,3,4,4,5,4,5,3,2,3,5,5,5
2,4,2,14,14,2,2,86,1,1,1,4,1,2,4,1,1,5,6,3,2,3,2,6,1,2,4,7,5,3,7,1,4,3,6,4,5,4,3,5,5,3,5,6,3,6,3,2,6,5,2,6,6,2,3,2,1,5,4,4,4,2,1,3,2,6,5
5,0,1,37.5,45,2,11,56,2,2,2,2,2,2,4,3,2,5,6,7,6,4,6,5,2,7,4,4,4,5,6,3,4,6,3,3,4,5,5,1,2,3,4,2,7,4,4,4,6,5,2,5,4,5,5,2,6,5,4,2,3,3,4,3,3,5,4
2,5,1,41,41,2,12,85,1,1,1,4,3,1,4,4,1,6,4,5,1,2,3,1,3,7,4,7,2,5,7,7,1,2,4,1,7,7,1,7,4,5,6,7,6,5,5,5,7,4,5,7,7,7,5,7,5,7,5,4,1,4,6,5,1,6,7
11,6,1,37.5,42,1,2,57,2,2,2,4,1,2,40,2,1,5,4,6,4,6,3,2,4,6,6,5,2,5,4,5,6,4,5,3,5,5,3,2,3,4,5,2,6,4,5,5,5,3,4,4,4,6,6,5,6,5,5,6,3,5,4,5,6,6,6
4,0,1,45,30,2,4,84,1,1,1,3,3,2,10,3,2,5,2,6,5,6,5,3,6,6,6,5,6,4,4,5,4,5,4,6,5,4,4,3,3,4,5,5,3,3,4,4,5,5,3,5,3,5,4,4,5,3,3,4,5,5,3,3,2,3,5
5,3,2,12,19,2,3,86,1,1,1,5,2,2,5,4,2,2,1,6,2,3,3,2,2,2,2,6,6,2,6,2,2,2,2,2,6,5,5,7,2,2,2,7,5,6,2,5,5,2,2,5,5,1,1,2,5,5,2,2,6,2,2,2,2,5,4
6,1,1,35,35,2,1,86,1,1,1,2,4,2,15,5,2,6,2,2,7,6,1,6,6,2,6,6,2,2,6,4,4,3,5,2,1,5,2,7,7,3,6,4,2,5,4,4,3,5,2,5,5,6,5,3,1,3,3,3,5,6,6,4,6,7,6
1,3,2,9,9,1,6,89,1,1,1,3,5,2,20,2,2,3,4,2,3,1,4,1,2,2,2,2,6,3,6,2,1,5,4,2,2,2,3,1,1,3,2,6,5,4,1,6,5,1,2,6,6,2,1,1,3,4,3,3,4,1,3,3,3,2,6
5,0,2,4.5,4.5,2,2,86,1,1,1,3,2,2,8,3,2,4,1,6,3,6,2,2,6,3,5,6,6,2,2,3,5,3,5,3,4,1,1,6,4,3,5,5,2,2,4,4,4,4,2,6,6,1,1,1,2,4,4,2,2,4,2,4,6,7,2
0,5,1,40,65,2,9,62,2,2,1,4,6,2,14,5,2,1,3,1,4,1,7,6,3,1,1,2,7,1,7,4,1,7,2,1,1,4,4,1,1,1,1,7,1,7,1,1,5,1,7,6,1,7,7,4,7,4,4,1,1,6,7,1,1,5,7
29,0,1,37.5,40,1,7,61,2,2,1,3,3,2,10,1,1,3,6,5,4,6,2,6,4,4,6,5,2,4,6,4,6,3,4,3,5,3,5,5,5,5,4,6,6,4,5,5,5,4,3,5,5,6,6,3,6,6,5,2,4,5,2,5,6,6,6
2,0,2,15.5,20,2,11,61,2,1,1,3,3,2,10,1,1,3,2,1,6,6,1,6,3,6,6,6,2,2,2,7,6,2,1,1,6,6,2,1,1,4,5,1,3,2,3,7,4,6,4,6,2,5,2,6,4,2,2,2,2,6,2,5,3,6,5
10,6,1,37.5,50,2,4,72,2,2,1,4,5,2,1,5,2,7,7,7,7,7,6,7,7,5,7,5,7,7,7,7,4,7,7,7,1,5,1,4,6,6,7,6,3,7,4,2,7,7,3,7,3,7,7,6,6,6,7,6,7,5,7,5,6,7,1
6,10,1,40,45,2,1,77,1,1,1,3,4,2,10,2,2,1,4,7,3,7,7,4,1,6,7,7,2,4,5,6,4,7,1,1,3,3,5,4,3,2,1,3,2,5,1,2,5,2,1,5,5,4,2,1,3,2,1,1,3,5,5,2,5,6,5
2,2,1,38,36,2,11,84,2,1,1,5,5,2,4,2,1,6,3,1,3,2,1,5,4,2,3,4,2,1,5,6,2,2,4,2,2,5,2,5,3,3,3,7,3,3,5,1,6,3,2,6,6,4,5,4,7,6,6,1,4,6,2,4,1,6,2
27,3,1,40,50,1,6,62,2,1,1,1,4,2,15,5,2,3,1,7,4,4,4,1,1,7,4,6,5,7,7,6,3,4,1,1,1,5,1,4,3,1,2,1,7,5,1,7,6,5,2,6,6,6,6,2,5,6,4,1,7,7,7,3,2,6,7
13,2,1,38,65,2,2,62,2,2,2,4,3,2,1,4,4,3,1,1,7,6,7,4,1,1,1,7,6,2,4,1,2,7,1,1,1,7,1,6,7,6,7,1,1,7,7,7,7,7,7,7,1,1,1,5,1,7,4,1,7,6,7,4,7,7,1
11,2,1,38,55,1,7,67,2,2,1,4,3,2,20,3,2,5,5,6,6,6,5,5,5,5,5,6,4,4,2,6,5,6,5,4,4,5,2,4,6,6,5,2,6,6,2,3,6,5,5,5,5,5,4,6,6,5,5,5,5,6,6,5,5,5,4
13,5,1,60,60,1,2,72,2,2,1,3,3,2,12,3,1,4,5,6,7,6,7,3,4,6,6,6,1,4,5,4,6,7,3,3,4,5,2,4,4,5,3,1,6,5,1,7,7,4,6,5,7,1,1,5,1,6,5,1,6,7,6,5,7,7,6
0,3,2,8,8.5,2,11,91,2,1,1,2,5,1,1,2,1,7,1,5,6,6,3,1,1,1,7,6,7,5,4,2,7,6,5,7,6,1,6,6,3,2,5,6,1,5,7,7,6,5,1,5,5,1,1,1,7,3,5,5,5,1,2,2,1,6,1
1,0,2,12,15,2,12,86,2,1,1,3,1,1,4,3,2,2,6,2,6,4,1,1,5,1,7,2,2,2,3,6,6,2,5,1,7,7,1,6,4,5,6,7,1,2,1,2,5,1,6,5,3,1,1,1,7,5,5,4,4,6,2,2,3,7,6
0,6,1,35,36,2,9,84,2,1,1,4,1,1,8,2,2,1,7,7,1,7,1,6,3,6,6,3,7,7,3,1,2,3,1,1,7,5,7,7,1,1,1,3,7,3,1,5,7,1,5,7,5,1,1,2,6,4,1,6,1,3,1,5,1,6,5
0,4,1,35,40,2,5,83,2,1,1,4,1,1,8,2,2,6,7,7,1,1,7,1,1,7,6,1,7,7,6,1,6,7,1,1,7,5,7,1,7,1,1,7,7,7,7,7,7,1,1,7,7,1,2,1,1,1,1,1,1,1,7,1,1,6,6
1,2,1,35,36,2,2,82,2,1,1,4,1,1,0,3,4,1,7,7,3,6,6,1,7,7,2,5,7,7,7,1,6,5,1,1,7,7,7,7,1,1,1,7,7,7,1,3,7,1,7,7,3,1,1,1,6,6,3,5,2,1,3,1,1,7,7
0,4,1,35,39,2,6,84,2,1,1,4,1,1,4,3,2,1,7,7,1,1,7,6,1,7,1,3,7,7,5,1,5,7,2,2,7,7,7,3,1,1,1,7,7,2,1,6,6,1,1,7,6,2,2,1,1,5,1,3,1,1,7,1,1,1,7
22,0,2,20,20,2,7,52,2,2,1,2,4,1,0,4,2,2,6,6,6,6,1,1,1,6,6,6,2,6,2,6,6,2,5,6,2,2,2,6,3,2,2,2,6,2,6,6,6,6,6,6,6,2,2,2,2,2,5,6,6,5,2,2,6,6,6
2,1,2,48,54,2,11,82,2,1,1,4,4,2,3,5,2,1,1,3,3,2,7,1,1,2,3,5,7,5,6,1,3,7,1,1,3,4,7,2,4,3,1,7,3,6,2,4,6,5,6,4,4,3,1,1,1,3,1,1,3,1,7,1,2,3,6
2,11,1,39,39,2,2,87,2,1,1,4,4,1,2,3,2,6,6,4,7,6,3,6,7,2,6,4,2,4,6,4,4,1,6,2,1,6,6,5,6,7,6,2,1,2,6,5,6,6,3,6,5,6,6,5,6,6,6,6,6,6,3,5,6,7,3
36,2,1,38,50,2,6,56,1,1,2,5,2,1,1,5,2,3,2,1,2,6,2,3,6,2,6,6,7,2,6,2,6,2,5,1,7,7,6,6,2,1,6,7,2,7,4,2,6,2,2,6,1,7,6,1,3,6,3,5,1,3,1,6,3,6,6
0,7,1,35,40,2,6,84,2,1,1,5,4,1,7,3,2,1,2,1,2,1,1,2,5,1,3,7,3,2,7,1,1,3,1,1,7,5,3,7,4,3,3,7,1,7,2,3,5,3,2,6,6,7,7,3,5,2,2,2,1,2,1,4,2,6,2
0,9,1,35,40,2,7,63,2,2,1,1,4,2,2,5,2,5,5,4,4,2,3,2,4,5,3,4,3,4,5,4,3,3,4,2,2,4,6,3,3,2,3,5,4,5,3,3,6,3,5,4,3,5,5,4,6,5,5,3,4,4,3,3,6,6,1
0,8,1,35,38,2,6,84,1,1,1,4,4,2,25,2,2,3,4,4,1,3,2,1,5,4,2,7,7,4,7,3,1,3,2,1,6,5,5,5,4,2,2,7,4,7,4,2,6,2,2,5,4,6,6,5,4,4,3,1,1,5,0,2,5,7,6
1,11,1,35,40,2,6,83,2,1,1,2,4,2,8,5,2,3,3,6,2,1,5,2,4,4,4,3,6,5,7,1,4,6,5,3,6,4,4,5,2,3,1,6,5,7,2,1,5,1,3,4,5,2,3,1,4,5,3,4,2,3,3,3,2,6,5
0,7,1,35,35,2,5,85,2,1,1,3,4,2,10,2,2,5,4,5,4,6,1,4,6,4,6,1,1,1,4,5,5,1,5,4,4,2,2,5,4,4,3,2,1,4,6,4,4,4,4,4,4,4,4,3,5,6,5,5,4,4,2,4,4,6,1
2,3,1,35,45,2,4,78,2,1,1,4,4,2,15,5,2,3,6,7,1,4,4,1,3,7,4,5,5,5,6,1,4,4,3,1,6,6,7,7,4,1,3,6,6,5,3,1,5,0,0,0,2,4,4,1,1,6,2,2,1,2,4,3,4,6,5
0,3,1,35,35,2,5,84,2,1,1,3,1,2,10,2,2,0,5,4,2,4,1,6,6,3,4,1,2,2,4,3,4,2,6,4,5,5,5,5,4,1,4,1,4,2,5,4,3,5,4,5,6,6,2,4,4,4,4,2,5,2,4,6,6,2,2
3,6,1,35,50,1,6,82,2,1,1,5,1,2,20,1,2,6,1,5,3,5,6,6,6,5,5,5,3,5,5,5,5,5,5,4,3,5,5,6,4,5,6,3,6,7,5,1,5,3,3,6,3,6,6,5,5,5,4,3,4,4,6,5,5,5,5
3,4,1,35,40,2,3,80,2,1,1,5,4,1,10,2,2,3,2,7,1,5,1,6,4,5,5,7,4,4,7,3,3,3,3,2,6,6,4,7,1,1,3,4,7,6,1,1,6,2,2,6,2,6,6,3,3,5,2,2,2,4,2,2,4,7,5
0,3,1,35,35,1,7,73,2,1,1,4,4,1,20,1,1,4,1,3,4,6,1,4,5,2,5,4,6,2,4,4,4,2,6,4,2,5,3,4,4,4,3,3,1,2,7,7,5,5,1,6,6,3,3,1,4,6,5,5,5,4,1,4,4,5,2
3,10,1,37,42,2,12,71,2,2,1,4,4,1,10,3,2,4,2,2,2,3,2,5,5,5,4,6,2,2,4,2,3,3,5,2,6,3,3,2,3,4,6,1,2,7,4,3,5,2,4,5,2,7,6,5,4,5,5,2,2,3,3,4,5,5,5
14,1,1,35,45,1,11,71,1,1,1,5,3,1,8,1,2,6,4,6,7,7,4,6,6,4,7,6,1,2,4,6,7,3,6,3,1,7,1,7,7,7,7,1,6,5,7,6,7,7,5,5,6,5,4,5,5,5,6,5,7,6,4,6,7,7,6
2,11,2,22.5,22.5,2,7,73,1,1,1,3,1,1,10,2,1,2,5,3,1,7,1,1,7,7,7,4,1,3,7,1,6,1,3,3,1,5,6,4,2,3,4,7,1,5,2,1,6,1,1,6,6,6,6,2,3,5,5,1,2,2,1,2,6,6,1
8,5,1,37,38.5,1,8,70,2,2,1,5,1,1,12.5,1,2,2,7,7,5,5,1,3,4,4,2,7,2,7,2,6,3,1,4,1,2,4,3,1,4,2,2,1,4,3,3,5,5,6,3,5,5,5,6,5,6,6,4,2,5,5,1,1,7,7,6
9,1,2,24,26,2,6,70,2,2,1,5,6,1,0,3,2,6,5,6,7,7,2,3,6,7,7,5,3,4,4,5,7,2,5,2,2,6,4,2,4,6,5,1,2,3,4,3,4,4,4,4,6,3,6,6,5,6,5,5,7,4,2,3,6,6,3
3,7,1,37.5,41,2,2,72,2,2,1,5,2,1,7,3,2,5,2,2,2,7,1,2,5,7,7,6,1,1,4,3,6,5,5,4,4,6,6,7,6,4,5,1,4,6,3,2,6,4,4,4,2,6,6,4,4,5,5,5,4,6,4,4,6,7,1
5,8,1,37.5,50,2,2,72,1,1,1,5,2,1,8,3,2,4,3,3,6,5,5,3,6,3,5,6,4,3,5,4,5,6,4,1,4,5,2,3,6,4,5,7,3,6,6,6,4,6,5,5,4,5,5,5,4,4,5,3,6,5,5,4,5,5,5
2,6,2,13.5,13.5,2,5,74,1,1,1,4,4,1,5,2,1,3,2,4,6,7,1,5,7,3,7,6,7,3,5,3,7,1,6,3,4,5,2,7,5,4,3,7,2,3,2,6,6,4,2,6,6,5,5,2,6,6,6,1,4,2,1,6,6,7,1
0,3,1,50,50,2,4,69,1,1,1,2,1,1,0,4,2,3,1,4,1,1,4,1,4,1,1,4,1,1,7,4,1,4,1,1,7,5,2,5,1,1,1,7,1,4,1,4,6,1,2,7,4,4,5,3,6,7,4,1,1,5,1,2,3,7,6
0,11,1,37,37,2,11,70,2,2,1,2,3,1,4,2,2,6,6,7,6,7,7,6,7,7,7,7,7,7,7,5,5,7,2,2,3,6,6,7,6,4,4,7,7,7,4,5,5,4,5,6,6,6,7,5,6,7,5,7,7,7,5,6,6,7,6
