department_name,dept,virtual,role,seniority,employment_length,wp
HM Revenue & Customs,HMRC,0,C,10,15,19.12
Office of Qualifications and Examinations Regulation,OFQUAL,0,A,4,9,21.04
Office of Qualifications and Examinations Regulation,OFQUAL,0,B,7,15,19.67
Office of Qualifications and Examinations Regulation,OFQUAL,0,C,10,13,23.09
Office of Qualifications and Examinations Regulation,OFQUAL,0,C,13,14,20.98
Office of Qualifications and Examinations Regulation,OFQUAL,0,C,10,18,16.8
Government Legal Department,GLD,1,A,2,11,23.39
Government Legal Department,GLD,1,A,2,8,30.69
Government Legal Department,GLD,1,A,1,11,26.5
Government Legal Department,GLD,1,A,1,9,27.72
Government Legal Department,GLD,1,A,2,7,30.89
Government Legal Department,GLD,1,A,2,12,25.83
Government Legal Department,GLD,1,A,3,12,22.99
Government Legal Department,GLD,1,B,8,16,22.73
Government Legal Department,GLD,1,B,8,11,25.65
Government Legal Department,GLD,1,B,6,8,34.2
Government Legal Department,GLD,1,B,6,9,30.34
Government Legal Department,GLD,1,B,6,14,25.75
Government Legal Department,GLD,1,C,13,20,19.54
Government Legal Department,GLD,1,C,10,11,30.53
Government Legal Department,GLD,1,C,11,14,24.01
Government Legal Department,GLD,1,C,11,22,19.95
Government Legal Department,GLD,1,C,12,12,29.42
Office of Rail and Road,ORR,0,A,3,5,30.07
Office of Rail and Road,ORR,0,A,2,7,27.21
Office of Rail and Road,ORR,0,A,0,18,18.79
Office of Rail and Road,ORR,0,A,2,9,28.16
Office of Rail and Road,ORR,0,A,0,10,26.69
Office of Rail and Road,ORR,0,B,9,10,26.9
Office of Rail and Road,ORR,0,B,5,13,23.33
Office of Rail and Road,ORR,0,B,7,13,26.13
Office of Rail and Road,ORR,0,B,9,18,19.76
Office of Rail and Road,ORR,0,B,6,9,25.59
Office of Rail and Road,ORR,0,C,12,15,21.45
Office of Rail and Road,ORR,0,C,13,17,19.85
Office of Rail and Road,ORR,0,C,11,20,16.68
Office of Rail and Road,ORR,0,C,10,15,18.84
Office of Rail and Road,ORR,0,C,11,13,20.87
Office of Rail and Road,ORR,0,C,14,16,18.92
Office of Rail and Road,ORR,0,C,12,12,22.7
Competition and Markets Authority,CMA,0,A,0,9,25.71
Competition and Markets Authority,CMA,0,A,3,5,31.14
Competition and Markets Authority,CMA,0,A,4,10,22.23
Competition and Markets Authority,CMA,0,A,2,12,21.88
Competition and Markets Authority,CMA,0,A,2,12,23.22
Competition and Markets Authority,CMA,0,A,1,0,32.45
Competition and Markets Authority,CMA,0,A,0,12,25.22
Competition and Markets Authority,CMA,0,B,9,16,21.04
Competition and Markets Authority,CMA,0,B,6,16,20.75
Competition and Markets Authority,CMA,0,B,9,11,26.03
Competition and Markets Authority,CMA,0,B,6,11,25.01
Competition and Markets Authority,CMA,0,B,5,9,22.24
Competition and Markets Authority,CMA,0,B,5,10,23.67
Competition and Markets Authority,CMA,0,B,7,17,18.15
Competition and Markets Authority,CMA,0,C,10,20,18.52
Competition and Markets Authority,CMA,0,C,12,13,19.95
Competition and Markets Authority,CMA,0,C,14,14,19.79
Competition and Markets Authority,CMA,0,C,12,17,16.03
Competition and Markets Authority,CMA,0,C,13,17,18.85
Competition and Markets Authority,CMA,0,C,12,14,21.1
Competition and Markets Authority,CMA,0,C,10,15,20.57
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,A,0,3,31.6
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,A,2,7,27.5
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,A,3,14,19.88
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,A,3,7,29.35
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,A,3,9,26.92
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,B,8,14,19.22
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,B,9,12,21.79
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,B,5,13,19.14
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,B,8,11,23.11
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,B,9,12,21.26
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,C,12,15,16.31
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,C,10,15,16.12
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,C,14,17,14.22
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,C,10,16,12.12
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,C,14,13,17.81
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,C,13,14,20.61
"Office for Standards in Education, Children's Services and Skills",OFSTED,1,C,11,17,13.01
National Savings and Investments,NS&I,0,A,1,7,30.2
National Savings and Investments,NS&I,0,A,4,10,26.96
National Savings and Investments,NS&I,0,A,0,14,24.21
National Savings and Investments,NS&I,0,A,0,14,22.98
National Savings and Investments,NS&I,0,A,3,10,25.53
National Savings and Investments,NS&I,0,A,0,9,24.71
National Savings and Investments,NS&I,0,B,9,13,24.19
National Savings and Investments,NS&I,0,B,9,15,24.47
National Savings and Investments,NS&I,0,B,5,15,23.68
National Savings and Investments,NS&I,0,B,8,13,25.56
National Savings and Investments,NS&I,0,B,8,17,21.23
National Savings and Investments,NS&I,0,B,6,7,32.17
National Savings and Investments,NS&I,0,C,12,20,18.63
National Savings and Investments,NS&I,0,C,12,14,25.58
National Savings and Investments,NS&I,0,C,11,15,24.74
National Savings and Investments,NS&I,0,C,10,21,20.29
National Savings and Investments,NS&I,0,C,11,19,18.93
National Savings and Investments,NS&I,0,C,10,13,27.19
National Savings and Investments,NS&I,0,C,11,19,21
National Savings and Investments,NS&I,0,C,10,17,23.71
Serious Fraud Office,SFO,0,A,0,6,31.83
Serious Fraud Office,SFO,0,A,0,8,25.15
Serious Fraud Office,SFO,0,A,3,7,30.39
Serious Fraud Office,SFO,0,A,1,12,22.96
Serious Fraud Office,SFO,0,A,3,12,21.13
Serious Fraud Office,SFO,0,A,3,14,21.12
Serious Fraud Office,SFO,0,B,6,15,24.17
Serious Fraud Office,SFO,0,B,9,12,24.49
Serious Fraud Office,SFO,0,B,8,6,30.33
Serious Fraud Office,SFO,0,B,9,17,20.19
Serious Fraud Office,SFO,0,B,9,16,22.53
Serious Fraud Office,SFO,0,B,7,17,20.98
Serious Fraud Office,SFO,0,C,14,11,28.61
Serious Fraud Office,SFO,0,C,14,18,21.58
Serious Fraud Office,SFO,0,C,13,13,25.78
Serious Fraud Office,SFO,0,C,11,9,30.4
Serious Fraud Office,SFO,0,C,13,19,18.11
Serious Fraud Office,SFO,0,C,14,16,25.57
National Crime Agency,NCA,0,A,4,7,27.62
National Crime Agency,NCA,0,A,1,10,26.24
National Crime Agency,NCA,0,A,2,15,22.08
National Crime Agency,NCA,0,A,0,0,34.43
National Crime Agency,NCA,0,A,1,12,19.7
National Crime Agency,NCA,0,A,4,14,22.15
National Crime Agency,NCA,0,B,5,9,25.44
National Crime Agency,NCA,0,B,7,10,25.78
National Crime Agency,NCA,0,B,7,13,26.05
National Crime Agency,NCA,0,B,7,16,19.14
National Crime Agency,NCA,0,B,5,9,26.98
National Crime Agency,NCA,0,B,8,18,16.52
National Crime Agency,NCA,0,B,6,7,25.37
National Crime Agency,NCA,0,B,8,13,18.74
National Crime Agency,NCA,0,C,14,22,12.83
National Crime Agency,NCA,0,C,12,13,20.43
National Crime Agency,NCA,0,C,11,17,21.23
National Crime Agency,NCA,0,C,12,30,6.34
National Crime Agency,NCA,0,C,13,13,21.5
National Crime Agency,NCA,0,C,12,18,16.17
Office of Gas and Electricity Markets,OFGEM,0,A,3,9,26.87
Office of Gas and Electricity Markets,OFGEM,0,A,1,12,29.6
Office of Gas and Electricity Markets,OFGEM,0,A,4,9,24.76
Office of Gas and Electricity Markets,OFGEM,0,A,2,7,30.07
Office of Gas and Electricity Markets,OFGEM,0,A,1,15,22.09
Office of Gas and Electricity Markets,OFGEM,0,B,7,12,28.57
Office of Gas and Electricity Markets,OFGEM,0,B,9,20,21.72
Office of Gas and Electricity Markets,OFGEM,0,B,8,9,28.75
Office of Gas and Electricity Markets,OFGEM,0,B,6,10,26.49
Office of Gas and Electricity Markets,OFGEM,0,B,9,6,30.21
Office of Gas and Electricity Markets,OFGEM,0,C,12,21,19.6
Office of Gas and Electricity Markets,OFGEM,0,C,13,7,28.18
Office of Gas and Electricity Markets,OFGEM,0,C,12,16,22.02
Office of Gas and Electricity Markets,OFGEM,0,C,13,13,24.62
Office of Gas and Electricity Markets,OFGEM,0,C,14,16,25.21
Water Services Regulation Authority,OFWAT,1,A,0,6,34.22
Water Services Regulation Authority,OFWAT,1,A,4,8,28
Water Services Regulation Authority,OFWAT,1,A,4,16,20.26
Water Services Regulation Authority,OFWAT,1,A,3,9,30.41
Water Services Regulation Authority,OFWAT,1,A,3,12,22.53
Water Services Regulation Authority,OFWAT,1,B,8,10,29.27
Water Services Regulation Authority,OFWAT,1,B,7,12,24.61
Water Services Regulation Authority,OFWAT,1,B,6,7,32.1
Water Services Regulation Authority,OFWAT,1,B,5,15,20.61
Water Services Regulation Authority,OFWAT,1,B,7,14,23.46
Water Services Regulation Authority,OFWAT,1,B,7,16,25.21
Water Services Regulation Authority,OFWAT,1,C,12,15,21.56
Water Services Regulation Authority,OFWAT,1,C,13,16,19.67
Water Services Regulation Authority,OFWAT,1,C,10,21,17.06
Water Services Regulation Authority,OFWAT,1,C,10,13,25.55
Water Services Regulation Authority,OFWAT,1,C,11,16,21.23
Supreme Court of the United Kingdom,UKSC,0,A,3,11,25.88
Supreme Court of the United Kingdom,UKSC,0,A,0,5,29.97
Supreme Court of the United Kingdom,UKSC,0,A,2,9,30.14
Supreme Court of the United Kingdom,UKSC,0,A,1,11,25.04
Supreme Court of the United Kingdom,UKSC,0,B,9,13,24.81
Supreme Court of the United Kingdom,UKSC,0,B,5,15,23.18
Supreme Court of the United Kingdom,UKSC,0,B,9,13,25.58
Supreme Court of the United Kingdom,UKSC,0,B,8,14,20.81
Supreme Court of the United Kingdom,UKSC,0,C,12,12,25.38
Supreme Court of the United Kingdom,UKSC,0,C,13,13,22.48
Supreme Court of the United Kingdom,UKSC,0,C,10,12,22.73
Supreme Court of the United Kingdom,UKSC,0,C,11,12,21.15
Supreme Court of the United Kingdom,UKSC,0,C,13,22,14.77
