"Player","Position","Team","TotalMoney","YearlySalary"
"Trent Williams","LT","Redskins",66,13.2
"Le'Veon Bell","RB","Jets",52.5,13.125
"TY Hilton","WR","Colts",65,13
"David Johnson","RB","Cardinals",39,13
"Alshon Jeffery","WR","Eagles",52,13
"Preston Smith","34OLB","Packers",52,13
"Terron Armstead","LT","Saints",65,13
"Stephon Gilmore","CB","Patriots",65,13
"Ja'Wuan James","RT","Broncos",51,12.75
"Jaylon Smith","ILB","Cowboys",63.75,12.75
"Linval Joseph","43DT","Vikings",50,12.5
"Janoris Jenkins","CB","Giants",62.5,12.5
"Luke Kuechly","ILB","Panthers",61.795,12.359
"Sheldon Richardson","43DT","Browns",37,12.333
"Malcolm Butler","CB","Titans",61.25,12.25
"Tyron Smith","LT","Cowboys",97.6,12.2
"Chris Harris, Jr.","CB","Broncos",12.05,12.05
"Darius Slay","CB","Lions",48,12
"David Bakhtiari","LT","Packers",48,12
"Stephon Tuitt","34DE","Steelers",60,12
"Eric Fisher","LT","Chiefs",48,12
"Cordy Glenn","LT","Bengals",60,12
"Akiem Hicks","34DE","Bears",48,12
"Kevin Zeitler","RG","Giants",60,12
"Dante Fowler, Jr.","34OLB","Rams",12,12
"Reshad Jones","S","Dolphins",48,12
"Riley Reiff","LT","Vikings",58.75,11.75
"Ryan Kerrigan","34OLB","Redskins",57.5,11.5
"Duane Brown","LT","Seahawks",34.5,11.5
"Justin Houston","43DE","Colts",23,11.5
"Casey Hayward","CB","Chargers",34.25,11.417
"Rodney Hudson","C","Raiders",33.75,11.25
"Lane Johnson","RT","Eagles",56.25,11.25
"Keenan Allen","WR","Chargers",45,11.25
"Andrew Whitworth","LT","Rams",33.75,11.25
"Damon Harrison","34DT","Lions",11.25,11.25
"Trai Turner","RG","Panthers",45,11.25
"Mitch Morse","C","Bills",44.5,11.125
"Tyrell Williams","WR","Raiders",44.4,11.1
"Michael Brockers","34DE","Rams",33.25,11.083
"Nick Martin","C","Texans",33,11
"Gabe Jackson","RG","Raiders",55,11
"Larry Fitzgerald","WR","Cardinals",11,11
"Joe Haden","CB","Steelers",22,11
"Maurkice Pouncey","C","Steelers",22,11
"Emmanuel Sanders","WR","49ers",33,11
"Kareem Jackson","S","Broncos",33,11
"Rodger Saffold","LG","Titans",44,11
"Anthony Castonzo","LT","Colts",43.812,10.953
"Ali Marpet","LG","Buccaneers",54.125,10.825
"Tyler Boyd","WR","Bengals",43,10.75
"Jerry Hughes","43DE","Bills",21.5,10.75
"Tyler Lockett","WR","Seahawks",31.8,10.6
"Eddie Goldman","34DT","Bears",42.04,10.51
"Ryan Jensen","C","Buccaneers",42,10.5
"Alec Ogletree","ILB","Giants",42,10.5
"Brandon Williams","34DE","Ravens",52.5,10.5
"Dre Kirkpatrick","CB","Bengals",52.5,10.5
"Lamarcus Joyner","S","Raiders",42,10.5
"Cameron Heyward","34DE","Steelers",52.281,10.456
"Brandon Linder","C","Jaguars",51.703,10.341
"Jimmy Smith","CB","Ravens",41.102,10.276
"Cody Whitehair","C","Bears",51.25,10.25
"Harrison Smith","S","Vikings",51.25,10.25
"Sterling Shepard","WR","Giants",41,10.25
"Lavonte David","ILB","Buccaneers",50.25,10.05
"Star Lotulelei","43DT","Bills",50,10
"Benardrick McKinney","ILB","Texans",50,10
"Devin Funchess","WR","Colts",10,10
"David DeCastro","RG","Steelers",50,10
"Eric Kendricks","ILB","Vikings",50,10
"Malik Jackson","43DT","Eagles",30,10
"Joel Bitonio","LG","Browns",50,10
"La'el Collins","RT","Cowboys",50,10
"Jimmy Graham","TE","Packers",30,10
"Marshal Yanda","RG","Ravens",10,10
"Logan Ryan","CB","Titans",30,10
"Bradley Roby","CB","Texans",10,10
"Christian Kirksey","43OLB","Browns",38,9.5
"Jamison Crowder","WR","Jets",28.5,9.5
"Devin McCourty","S","Patriots",47.5,9.5
"Ricky Wagner","RT","Lions",47.5,9.5
"Aqib Talib","CB","Dolphins",57,9.5
"Weston Richburg","C","49ers",47.5,9.5
"Travis Frederick","C","Cowboys",56.4,9.4
"Golden Tate","WR","Giants",37.5,9.375
"Travis Kelce","TE","Chiefs",46.842,9.368
"Jordan Reed","TE","Redskins",46.75,9.35
"Dontari Poe","43DT","Panthers",28,9.333
"Charles Leno, Jr.","LT","Bears",37,9.25
"Ndamukong Suh","34DE","Buccaneers",9.25,9.25
"Derek Wolfe","34DE","Broncos",36.7,9.175
"Richard Sherman","CB","49ers",27.15,9.05
"Kyle Rudolph","TE","Vikings",36.1,9.025
"Matt Paradis","C","Panthers",27.03,9.01
"Justin Pugh","RG","Cardinals",45.025,9.005
"Alex Mack","C","Falcons",45,9
"Justin Coleman","CB","Lions",36,9
"Quincy Enunwa","WR","Jets",36,9
"DeSean Jackson","WR","Eagles",27,9
"Ronald Leary","RG","Broncos",36,9
"Tyrone Crawford","43DT","Cowboys",45,9
"Shaquille Mason","RG","Patriots",45,9
"Prince Amukamara","CB","Bears",27,9
"Adrian Amos","S","Packers",36,9
"Anthony Hitchens","43OLB","Chiefs",45,9
"Adam Humphries","WR","Titans",36,9
"John Brown","WR","Bills",27,9
"Justin Britt","C","Seahawks",27,9
"Ezekiel Ansah","43DE","Seahawks",9,9
"Dont'a Hightower","43OLB","Patriots",35.5,8.875
"Kyler Murray","QB","Cardinals",35.159,8.79
"Malcolm Jenkins","S","Eagles",35,8.75
"Tavon Young","CB","Ravens",25.8,8.6
"Greg Olsen","TE","Panthers",17.1,8.55
"Steven Nelson","CB","Steelers",25.5,8.5
"Jabaal Sheard","43DE","Colts",25.5,8.5
"Zach Ertz","TE","Eagles",42.5,8.5
"Delanie Walker","TE","Titans",17,8.5
"Mike Pouncey","C","Chargers",8.5,8.5
"Tony Jefferson","S","Ravens",34,8.5
"Marqise Lee","WR","Jaguars",34,8.5
"Jordan Hicks","ILB","Cardinals",34,8.5
"Corey Linsley","C","Packers",25.5,8.5
"Larry Warford","RG","Saints",34,8.5
"Ryan Kalil","C","Jets",8.4,8.4
"Henry Anderson","34DE","Jets",25.2,8.4
"Nick Bosa","43DE","49ers",33.552,8.388
"Michael Bennett","43DE","Cowboys",16.75,8.375
"Kenny Moore","CB","Colts",33.3,8.325
"Laurent Duvernay-Tardif","RG","Chiefs",41.265,8.253
"Devonta Freeman","RB","Falcons",41.25,8.25
"Baker Mayfield","QB","Browns",32.683,8.171
"Jason Kelce","C","Eagles",24.5,8.167
"Quinnen Williams","34DT","Jets",32.529,8.132
"Rob Havenstein","RT","Rams",32.5,8.125
"Mike Daniels","43DT","Lions",8.1,8.1
"Gerald McCoy","43DT","Panthers",8,8
"Kenny Stills","WR","Texans",32,8
"Robert Quinn","43DE","Cowboys",8,8
"Kelvin Beachum","LT","Jets",24,8
"Demario Davis","ILB","Saints",24,8
"Brandon Brooks","RG","Eagles",40,8
"Morgan Moses","RT","Redskins",40,8
"Trey Burton","TE","Bears",32,8
"Albert Wilson","WR","Dolphins",24,8
"Paul Richardson","WR","Redskins",40,8
"Marvin Jones","WR","Lions",40,8
"Bobby Massie","RT","Bears",32,8
"Clelin Ferrell","43DE","Raiders",31.361,7.84
"Saquon Barkley","RB","Giants",31.195,7.799
"Julian Edelman","WR","Patriots",15.5,7.75
"Nigel Bradham","ILB","Eagles",31,7.75
"T.J. Carrie","CB","Browns",31,7.75
"Cameron Wake","34OLB","Titans",23,7.667
"Myles Garrett","43DE","Browns",30.412,7.603
"Sam Darnold","QB","Jets",30.248,7.562
"Jared Cook","TE","Saints",15,7.5
"Trent Murphy","43DE","Bills",22.5,7.5
"Pierre Desir","CB","Colts",22.5,7.5
"Avery Williamson","ILB","Jets",22.5,7.5
"Mario Addison","43DE","Panthers",22.5,7.5
"Case Keenum","QB","Redskins",7.5,7.5
"Jerick McKinnon","RB","49ers",30,7.5
"Robert Alford","CB","Cardinals",22.5,7.5
"Tashaun Gipson","S","Texans",22.5,7.5
"Eric Reid","S","Panthers",22.05,7.35
"Devin White","ILB","Buccaneers",29.316,7.329
"Chris Hubbard","RT","Browns",36.5,7.3
"Denzel Ward","CB","Browns",29.165,7.291
"Mitchell Trubisky","QB","Bears",29.032,7.258
"Tyler Higbee","TE","Rams",29,7.25
"Cole Beasley","WR","Bills",29,7.25
"Teddy Bridgewater","QB","Saints",7.25,7.25
"Brian Winters","RG","Jets",29,7.25
"Matt Ioannidis","34DE","Redskins",21.75,7.25
"Solomon Thomas","43DE","49ers",28.154,7.039
"Danny Trevathan","ILB","Bears",28,7
"DaQuan Jones","34DE","Titans",21,7
"Ryan Tannehill","QB","Titans",7,7
"Terrell Suggs","34OLB","Cardinals",7,7
"Bryce Callahan","CB","Broncos",21,7
"K.J. Wright","43OLB","Seahawks",14,7
"Zach Fulton","LG","Texans",28,7
"Billy Turner","LG","Packers",28,7
"Patrick Chung","S","Patriots",7,7
"Jonathan Jones","CB","Patriots",21,7
"Bradley Chubb","34OLB","Broncos",27.271,6.818
"Robert Woods","WR","Rams",34,6.8
"Cameron Brate","TE","Buccaneers",40.8,6.8
"Leonard Fournette","RB","Jaguars",27.151,6.787
"Dean Lowry","34DE","Packers",20.325,6.775
"Bryan Bulaga","RT","Packers",33.75,6.75
"Ben Jones","C","Titans",13.5,6.75
"Bobby McCain","S","Dolphins",27,6.75
"Vance McDonald","TE","Steelers",32.5,6.5
"Greg Robinson","LT","Browns",6.5,6.5
"Eric Ebron","TE","Colts",13,6.5
"Ricardo Allen","S","Falcons",19.5,6.5
"Whitney Mercilus","34OLB","Texans",26,6.5
"Ronald Darby","CB","Eagles",6.5,6.5
"Jaquiski Tartt","S","49ers",13,6.5
"Taylor Gabriel","WR","Bears",26,6.5
"Mohamed Sanu","WR","Patriots",32.5,6.5
"Lamar Miller","RB","Texans",26,6.5
"Marcus Cannon","RT","Patriots",32.5,6.5
"Joey Bosa","43DE","Chargers",25.874,6.468
"Daniel Jones","QB","Giants",25.664,6.416
"Corey Davis","WR","Titans",25.395,6.349
"Jameis Winston","QB","Buccaneers",25.351,6.338
"D.J. Hayden","CB","Jaguars",19,6.333
"Tahir Whitehead","43OLB","Raiders",19,6.333
"Jack Doyle","TE","Colts",18.9,6.3
"Marquise Goodwin","WR","49ers",18.85,6.283
"Tyler Kroft","TE","Bills",18.75,6.25
"Vince Williams","ILB","Steelers",18.6,6.2
"Quandre Diggs","S","Seahawks",18.6,6.2
"CJ Uzomah","TE","Bengals",18.3,6.1
"Kyle Long","RG","Bears",12.2,6.1
"Micah Hyde","S","Bills",30.5,6.1
"Jamon Brown","RG","Falcons",18.25,6.083
"Marcus Mariota","QB","Titans",24.214,6.053
"Denzel Perryman","ILB","Chargers",12.05,6.025
"Leonard Williams","34DE","Giants",30.038,6.008
"Willie Snead","WR","Ravens",6,6
"Jason Peters","LT","Eagles",6,6
"Daryl Williams","RT","Panthers",6,6
"Alejandro Villanueva","LT","Steelers",24,6
"Brandon Carr","CB","Ravens",24,6
"Darryl Roberts","CB","Jets",18,6
"Alex Okafor","43DE","Chiefs",18,6
"Kenny Vaccaro","S","Titans",24,6
"Johnathan Joseph","CB","Texans",6,6
"Marcus Gilbert","RT","Cardinals",30,6
"Nick Boyle","TE","Ravens",18,6
"Mark Barron","ILB","Steelers",12,6
"Quenton Nelson","LG","Colts",23.889,5.972
"Denico Autry","43DT","Colts",17.8,5.933
"Jalen Ramsey","CB","Rams",23.351,5.838
"Devon Kennard","43OLB","Lions",17.25,5.75
"Kiko Alonso","43OLB","Saints",11.4,5.7
"John Miller","RG","Bengals",17.1,5.7
"Josh Allen","43DE","Jaguars",22.743,5.686
"Amari Cooper","WR","Cowboys",22.663,5.666
"Jesse James","TE","Lions",22.6,5.65
"Isaac Seumalo","LG","Eagles",17.627,5.626
"Nick Easton","LG","Saints",22.5,5.625
"J.C. Tretter","C","Browns",16.75,5.583
"Jamal Adams","S","Jets",22.259,5.565
"Preston Brown","ILB","Bengals",16.5,5.5
"Tyrod Taylor","QB","Chargers",11,5.5
"Laken Tomlinson","LG","49ers",16.5,5.5
"Demar Dotson","RT","Buccaneers",16.5,5.5
"Ryan Fitzpatrick","QB","Dolphins",11,5.5
"Buster Skrine","CB","Bears",16.5,5.5
"William Gholston","34DE","Buccaneers",27.5,5.5
"Lane Taylor","LG","Packers",16.5,5.5
"Mark Glowinski","RG","Colts",16.2,5.4
"Bobby Hart","RT","Bengals",16.15,5.383
"Kyle Van Noy","43OLB","Patriots",10.75,5.375
"Brandon Scherff","RG","Redskins",21.216,5.304
"Josh Allen","QB","Bills",21.183,5.296
"Eric Weddle","S","Rams",10.502,5.251
"Allen Bailey","43DE","Falcons",10.5,5.25
"Thomas Davis","43OLB","Chargers",10.5,5.25
"Kyle Juszczyk","FB","49ers",21,5.25
"James Carpenter","LG","Falcons",21,5.25
"Nickell Robey-Coleman","CB","Rams",15.675,5.225
"Duke Johnson","RB","Texans",15.61,5.203
"Josh Kline","RG","Vikings",15.5,5.167
"Ronnie Stanley","LT","Ravens",20.484,5.121
"AJ Cann","RG","Jaguars",15.055,5.018
"Jesse Davis","RT","Dolphins",15.05,5.017
"Cordarrelle Patterson","WR","Bears",10,5
"Todd Davis","ILB","Broncos",15,5
"Kareem Martin","34OLB","Giants",15,5
"Patrick Robinson","CB","Saints",20,5
"Jason McCourty","CB","Patriots",10,5
"DeVante Parker","WR","Dolphins",10,5
"Vernon Davis","TE","Redskins",15,5
"Ty Nsekhe","RT","Bills",10,5
"Mark Ingram","RB","Ravens",15,5
"Jason Pierre-Paul","43DE","Buccaneers",5,5
"Chase Daniel","QB","Bears",10,5
"Tramon Williams","CB","Packers",10,5
"Randall Cobb","WR","Cowboys",5,5
"Malcom Brown","43DT","Saints",15,5
"A.J. Klein","43OLB","Saints",15,5
"Justin Tucker","K","Ravens",20,5
"T.J. Hockenson","TE","Lions",19.821,4.955
"Dion Lewis","RB","Titans",19.8,4.95
"Mike Williams","WR","Chargers",19.75,4.938
"Jakeem Grant","WR","Dolphins",19.7,4.925
"Ed Oliver","43DT","Bills",19.675,4.919
"Shawn Williams","S","Bengals",19.5,4.875
"Giovani Bernard","RB","Bengals",9.7,4.85
"Robbie Gould","K","49ers",19,4.75
"Ty Sambrailo","RT","Falcons",14.25,4.75
"Devin Bush","ILB","Steelers",18.872,4.718
"Brandon Mebane","43DT","Chargers",9.3,4.65
"Clay Matthews","34OLB","Rams",9.25,4.625
"Roquan Smith","ILB","Bears",18.477,4.619
"Mike McGlinchey","RT","49ers",18.342,4.585
"DeForest Buckner","43DT","49ers",18.191,4.548
"Donte Moncrief","WR","Panthers",9,4.5
"Jimmie Ward","CB","49ers",4.5,4.5
"Jordan Phillips","43DT","Bills",4.5,4.5
"Margus Hunt","43DE","Colts",9,4.5
"J.R. Sweezy","RG","Cardinals",9,4.5
"Mychal Kendricks","43OLB","Seahawks",4.5,4.5
"Danny Amendola","WR","Lions",4.5,4.5
"Bradley McDougald","S","Seahawks",13.5,4.5
"Rhett Ellison","TE","Giants",18,4.5
"Darqueze Dennard","CB","Bengals",4.5,4.5
"Jonah Williams","LT","Bengals",17.63,4.408
"Josh Rosen","QB","Dolphins",17.598,4.399
"James Hurst","RT","Ravens",17.5,4.375
"Christian McCaffrey","RB","Panthers",17.241,4.31
"John Ross","WR","Bengals",17.116,4.279
"Tevin Coleman","RB","49ers",8.5,4.25
"Jason Witten","TE","Cowboys",4.25,4.25
"Graham Gano","K","Panthers",17,4.25
"Johnathan Hankins","43DT","Raiders",8.5,4.25
"Stephen Gostkowski","K","Patriots",8.5,4.25
"Duron Harmon","S","Patriots",17,4.25
"Chris Boswell","K","Steelers",16.806,4.202
"Seantrel Henderson","RT","Texans",4.2,4.2
"Spencer Long","C","Bills",12.6,4.2
"Shamar Stephen","43DT","Vikings",12.45,4.15
"Cameron Erving","LT","Chiefs",8.279,4.14
"Ramon Foster","LG","Steelers",8.25,4.125
"Minkah Fitzpatrick","S","Steelers",16.448,4.112
"Patrick Mahomes","QB","Chiefs",16.426,4.106
"Harrison Butker","K","Chiefs",20.275,4.055
"Wil Lutz","K","Saints",20.25,4.05
"Mason Crosby","K","Packers",16.1,4.025
"Travis Benjamin","WR","Chargers",4,4
"Brian Hoyer","QB","Colts",12,4
"Breshad Perriman","WR","Buccaneers",4,4
"Daniel Sorensen","S","Chiefs",16,4
"Ryan Succop","K","Titans",20,4
"Beau Allen","43DT","Buccaneers",4,4
"Anthony Chickillo","34OLB","Steelers",8,4
"Tyler Eifert","TE","Bengals",4,4
"Shaquil Barrett","34OLB","Buccaneers",4,4
"Jake Ryan","ILB","Jaguars",8,4
"Angelo Blackson","34DE","Texans",12,4
"Jeff Heuerman","TE","Broncos",8,4
"Rodney McLeod","S","Eagles",4,4
"Bruce Irvin","43DE","Panthers",4,4
"James White","RB","Patriots",12,4
"Corey Peters","34DT","Cardinals",12,4
"Chris Smith","43DE","Browns",12,4
"Jack Conklin","RT","Titans",15.898,3.974
"Rashan Gary","34OLB","Packers",15.877,3.969
"Leonard Floyd","34OLB","Bears",15.783,3.946
"Daniel Kilgore","C","Dolphins",11.75,3.925
"Thomas Morstead","P","Saints",15.6,3.9
"Adam Vinatieri","K","Colts",3.875,3.875
"Stephen Hauschka","K","Bills",7.75,3.875
"Abry Jones","43DT","Jaguars",15.5,3.875
"Jason Myers","K","Seahawks",15.45,3.863
"Christian Wilkins","43DT","Dolphins",15.439,3.86
"Marshon Lattimore","CB","Saints",15.36,3.84
"Wesley Woodyard","ILB","Titans",7.65,3.825
"Matt Prater","K","Lions",11.4,3.8
"Eli Apple","CB","Saints",15.152,3.788
"Josh Lambo","K","Jaguars",15.5,3.785
"Brandon McManus","K","Broncos",11.254,3.751
"Markus Golden","34OLB","Giants",3.75,3.75
"Johnny Hekker","P","Rams",18.75,3.75
"Lorenzo Alexander","43OLB","Bills",3.75,3.75
"Cameron Fleming","LT","Cowboys",7.5,3.75
"Brennan Scarlett","34OLB","Texans",3.75,3.75
"Vita Vea","34DT","Buccaneers",14.824,3.706
"Bud Dupree","34OLB","Steelers",18.454,3.691
"Chris Lindstrom","RG","Falcons",14.709,3.677
"Ted Ginn","WR","Saints",11,3.667
"Ryan Shazier","ILB","Steelers",18.225,3.645
"Jon Feliciano","RG","Bills",7.25,3.625
"Vic Beasley","43OLB","Falcons",14.495,3.624
"Da'Ron Payne","34DT","Redskins",14.418,3.605
"Dwayne Haskins","QB","Redskins",14.417,3.604
"Latavius Murray","RB","Saints",14.4,3.6
"Lawrence Guy","43DT","Patriots",14.4,3.6
"Ed Dickson","TE","Seahawks",10.7,3.567
"Vernon Hargreaves","CB","Buccaneers",14.178,3.544
"Eric Rowe","CB","Dolphins",3.5,3.5
"Sean Lee","43OLB","Cowboys",3.5,3.5
"B.W. Webb","CB","Bengals",10.5,3.5
"Chris Thompson","RB","Redskins",7,3.5
"Quinton Dunbar","CB","Redskins",10.5,3.5
"Deshaun Watson","QB","Texans",13.854,3.464
"Marcus Davenport","43DE","Saints",13.742,3.435
"Barkevious Mingo","34OLB","Texans",6.8,3.4
"Romeo Okwara","43DE","Lions",6.8,3.4
"Brian Burns","43DE","Panthers",13.54,3.385
"Haason Reddick","ILB","Cardinals",13.478,3.37
"Kolton Miller","LT","Raiders",13.471,3.368
"Chad Henne","QB","Chiefs",6.7,3.35
"Terrance Mitchell","CB","Browns",10,3.333
"Dexter Lawrence","34DE","Giants",13.248,3.312
"Ross Cockrell","CB","Panthers",6.6,3.3
"Geoff Swaim","TE","Jaguars",6.6,3.3
"Rex Burkhead","RB","Patriots",9.75,3.25
"Drew Stanton","QB","Browns",6.5,3.25
"Antoine Bethea","S","Giants",6.5,3.25
"Sam Koch","P","Ravens",16.25,3.25
"Ereck Flowers","LG","Redskins",3.25,3.25
"Morgan Burnett","S","Browns",7.5,3.25
"Jordan Poyer","S","Bills",13,3.25
"Colt McCoy","QB","Redskins",6.5,3.25
"Trae Waynes","CB","Vikings",12.944,3.236
"Garrett Bradbury","C","Vikings",12.883,3.221
"Derek Barnett","43DE","Eagles",12.851,3.213
"Sheldon Rankins","43DT","Saints",12.802,3.2
"Brett Kern","P","Titans",12.55,3.183
"Christian Jones","43OLB","Lions",6.35,3.175
"Jeffery Simmons","34DE","Titans",12.664,3.166
"Tremaine Edmunds","ILB","Bills",12.66,3.165
"Malik Hooker","S","Colts",12.6,3.15
"Noah Fant","TE","Broncos",12.591,3.148
"Darnell Savage Jr.","S","Packers",12.518,3.129
"Senio Kelemete","LG","Texans",6.25,3.125
"Laremy Tunsil","LT","Texans",12.458,3.114
"Derwin James","S","Chargers",12.389,3.097
"George Fant","LT","Seahawks",3.095,3.095
"B.J. Finney","C","Steelers",3.095,3.095
"Robby Anderson","WR","Jets",3.095,3.095
"Daryl Worley","CB","Raiders",3.095,3.095
"Jalen Richard","RB","Raiders",3.095,3.095
"Trey Hopkins","C","Bengals",3.095,3.095
"Patrick Onwuasor","ILB","Ravens",3.095,3.095
"Michael Pierce","34DT","Ravens",3.095,3.095
"Anthony Harris","S","Vikings",3.095,3.095
"Nate Sudfeld","QB","Eagles",3.095,3.095
"Chester Rogers","WR","Colts",3.095,3.095
"Ka'imi Fairbairn","K","Texans",3.095,3.095
"Shelby Harris","34DE","Broncos",3.095,3.095
"Cory Littleton","ILB","Rams",3.095,3.095
"Andre Dillard","LT","Eagles",12.372,3.093
"Jaire Alexander","CB","Packers",12.051,3.013
"Kevin Johnson","CB","Bills",3,3
"Demetrius Harris","TE","Browns",6,3
"Lee Smith","TE","Bills",9,3
"DJ Fluker","RG","Seahawks",6,3
"Mike Davis","RB","Bears",6,3
"Jason Verrett","CB","49ers",3,3
"Brian Poole","CB","Jets",3,3
"David Andrews","C","Patriots",9,3
"Ha-Ha Clinton-Dix","S","Bears",3,3
"LeSean McCoy","RB","Chiefs",3,3
"AJ McCarron","QB","Texans",3,3
"Demaryius Thomas","WR","Jets",3,3
"Greg Mancz","C","Texans",6,3
"Josh Jacobs","RB","Raiders",11.933,2.983
"Karl Joseph","S","Raiders",11.884,2.971
"Leighton Vander Esch","43OLB","Cowboys",11.848,2.962
"Marlon Humphrey","CB","Ravens",11.847,2.962
"Josh Hill","TE","Saints",8.85,2.95
"K'Waun Williams","CB","49ers",8.85,2.95
"Marquise Brown","WR","Ravens",11.787,2.947
"Frank Ragnow","LG","Lions",11.78,2.945
"Billy Price","C","Bengals",11.712,2.928
"Damien Wilson","43OLB","Chiefs",5.835,2.918
"Montez Sweat","34OLB","Redskins",11.641,2.91
"Matt Bosher","P","Falcons",14.5,2.9
"Raheem Mostert","RB","49ers",8.65,2.9
"Rigoberto Sanchez","P","Colts",11.6,2.9
"Jonathan Allen","34DE","Redskins",11.597,2.899
"Rashaan Evans","ILB","Titans",11.577,2.894
"Tyson Alualu","34DE","Steelers",5.75,2.875
"Johnathan Abram","S","Raiders",11.495,2.874
"Virgil Green","TE","Chargers",8.6,2.867
"Isaiah Wynn","LT","Patriots",11.442,2.86
"Jerry Tillery","43DT","Chargers",11.422,2.856
"Andrus Peat","LG","Saints",11.393,2.848
"Adoree' Jackson","CB","Titans",11.283,2.821
"Geronimo Allison","WR","Packers",2.8,2.8
"Carlos Hyde","RB","Texans",2.8,2.8
"D.J. Moore","WR","Panthers",11.171,2.793
"O.J. Howard","TE","Buccaneers",11.095,2.774
"Hayden Hurst","TE","Ravens",11.036,2.759
"Garett Bolles","LT","Broncos",11.032,2.758
"Lerentee McCray","43OLB","Jaguars",5.5,2.75
"Bradley Pinion","P","Buccaneers",11,2.75
"Mike Person","LG","49ers",8.25,2.75
"Steve McLendon","34DT","Jets",2.75,2.75
