PID,age,card.pair,sym.col,trial.n,search.time.ms
P42,40,i.30,blue,18,6415
P42,40,i.45,red,27,4305
P18,22,i.10,green,39,4790
P23,36,i.08,purple,42,4390
P07,25,i.32,purple,3,4045
P34,44,i.34,green,37,7350
P47,29,i.32,purple,28.999999999999996,5110
P48,45,i.15,red,35,4820
P46,36,i.25,yellow,19,6100
P08,35,i.19,yellow,13,5900
P10,18,i.04,green,35,5305
P42,40,i.15,red,42,1285
P11,29,i.09,red,36,4430
P20,25,i.06,blue,15,8510
P49,28,i.31,yellow,31,4590
P21,22,i.03,red,41,6085
P09,24,i.05,black,43,6790
P29,38,i.32,purple,19,4170
P21,22,i.21,red,20,4255
P02,28,i.37,yellow,1,5925
P34,44,i.20,purple,33,6085
P22,28,i.20,purple,39,6275
P48,45,i.08,purple,31,6395
P38,27,i.17,black,23,5565
P06,27,i.24,blue,34,8155
P14,32,i.27,red,48,6840
P01,38,i.19,yellow,31,5175
P18,22,i.31,yellow,7.000000000000001,5750
P47,29,i.30,blue,30,7345
P18,22,i.03,red,12,6155
P50,31,i.03,red,14.000000000000002,5830
P48,45,i.29,black,28.999999999999996,2930
P46,36,i.06,blue,20,6150
P31,30,i.41,black,48,4445
P15,31,i.12,blue,37,2920
P29,38,i.21,red,24,3595
P16,31,i.27,red,44,2475
P29,38,i.45,red,42,5270
P49,28,i.24,blue,38,7500
P23,36,i.21,red,6,5135
P36,34,i.15,red,32,6470
P14,32,i.26,purple,20,4635
P46,36,i.47,black,28.000000000000004,6670
P37,49,i.24,blue,45,6855
P02,28,i.26,purple,11,3750
P11,29,i.23,black,4,6765
P14,32,i.41,black,15,9775
P37,49,i.36,blue,23,6185
P14,32,i.31,yellow,42,6940
P11,29,i.47,black,9,7190
P47,29,i.21,red,31,6140
P37,49,i.03,red,41,4495
P28,41,i.23,black,12,6335
P09,24,i.35,black,26,4550
P36,34,i.02,purple,7.000000000000001,6155
P46,36,i.36,blue,2,6015
P19,31,i.16,green,9,6390
P10,18,i.30,blue,46,8585
P31,30,i.47,black,8,5500
P02,28,i.16,green,24,4940
P31,30,i.31,yellow,45,6270
P25,46,i.40,green,34,4415
P46,36,i.18,blue,24,6370
P30,25,i.27,red,25,5100
P37,49,i.15,red,24,3915
P07,25,i.01,yellow,23,6855
P17,48,i.34,green,4,7925
P04,30,i.09,red,32,4920
P01,38,i.27,red,7.000000000000001,4925
P16,31,i.28,green,20,7540
P19,31,i.10,green,39,7415
P34,44,i.26,purple,28.999999999999996,7220
P27,47,i.39,red,28.000000000000004,3795
P22,28,i.45,red,44,3325
P42,40,i.43,yellow,3,3760
P13,28,i.41,black,17,8215
P39,20,i.31,yellow,31,5210
P12,45,i.23,black,44,7590
P38,27,i.12,blue,42,4050
P30,25,i.22,green,40,4000
P47,29,i.08,purple,47,4950
P32,28,i.40,green,37,4245
P17,48,i.10,green,17,7335
P39,20,i.24,blue,28.000000000000004,5235
P37,49,i.07,yellow,14.000000000000002,6110
P48,45,i.25,yellow,20,4025
P22,28,i.25,yellow,10,5630
P17,48,i.14,purple,40,5050
P25,46,i.20,purple,7.000000000000001,6910
P42,40,i.37,yellow,26,4930
P28,41,i.15,red,10,6655
P04,30,i.41,black,14.000000000000002,6205
P23,36,i.10,green,21,6180
P11,29,i.36,blue,38,7990
P36,34,i.31,yellow,25,2095
P24,39,i.01,yellow,45,5125
P21,22,i.28,green,14.000000000000002,9215
P45,31,i.41,black,42,6355
P22,28,i.22,green,28.000000000000004,3285
P45,31,i.03,red,28.999999999999996,5395
P02,28,i.06,blue,41,6750
P44,35,i.24,blue,21,5960
P27,47,i.29,black,35,3690
P38,27,i.04,green,28.000000000000004,6910
P28,41,i.24,blue,40,5625
P27,47,i.06,blue,24,5375
P10,18,i.34,green,12,6680
P41,22,i.35,black,14.000000000000002,4120
P10,18,i.42,blue,43,6680
P32,28,i.43,yellow,22,4680
P16,31,i.03,red,4,3100
P44,35,i.18,blue,2,5285
P12,45,i.39,red,31,5985
P14,32,i.06,blue,37,5770
P38,27,i.07,yellow,15,4185
P35,32,i.08,purple,45,7050
P35,32,i.41,black,39,5545
P23,36,i.47,black,12,6050
P26,20,i.34,green,18,6025
P24,39,i.11,black,15,5360
P11,29,i.14,purple,16,6175
P10,18,i.31,yellow,25,6605
P43,36,i.03,red,23,6835
P49,28,i.23,black,34,5745
P13,28,i.17,black,3,8485
P45,31,i.47,black,21,6680
P32,28,i.27,red,1,5125
P13,28,i.08,purple,22,4900
P03,25,i.30,blue,30,7685
P12,45,i.34,green,24,5025
P46,36,i.31,yellow,7.000000000000001,6925
P11,29,i.15,red,27,5680
P23,36,i.27,red,36,6000
P31,30,i.19,yellow,2,3840
P42,40,i.21,red,38,5485
P36,34,i.42,blue,10,5740
P45,31,i.16,green,23,6385
P44,35,i.36,blue,37,6205
P35,32,i.37,yellow,13,5235
P15,31,i.35,black,48,3330
P17,48,i.11,black,43,4455
P49,28,i.14,purple,30,6255
P50,31,i.21,red,26,5805
P22,28,i.41,black,48,5565
P48,45,i.22,green,26,3385
P39,20,i.43,yellow,33,7120
P29,38,i.30,blue,41,4175
P07,25,i.46,green,42,4860
P50,31,i.14,purple,28.000000000000004,4245
P01,38,i.07,yellow,37,4760
P46,36,i.12,blue,18,6155
P01,38,i.15,red,22,3070
P15,31,i.41,black,30,4825
P36,34,i.41,black,20,3375
P45,31,i.31,yellow,35,5075
P37,49,i.45,red,9,7305
P19,31,i.41,black,25,6435
P06,27,i.04,green,2,5590
P36,34,i.14,purple,18,6175
P19,31,i.24,blue,33,6315
P26,20,i.20,purple,26,4395
P20,25,i.46,green,28.999999999999996,6645
P33,33,i.32,purple,13,6895
P09,24,i.24,blue,48,7040
P17,48,i.32,purple,15,5900
P01,38,i.13,yellow,40,8050
P19,31,i.26,purple,48,5985
P31,30,i.43,yellow,9,5825
P01,38,i.43,yellow,9,3885
P12,45,i.12,blue,19,8485
P05,29,i.30,blue,33,5995
P13,28,i.35,black,24,7360
P33,33,i.20,purple,30,7415
P37,49,i.37,yellow,2,4615
P21,22,i.27,red,37,6275
P07,25,i.27,red,10,5320
P24,39,i.03,red,44,4395
P36,34,i.24,blue,4,6735
P01,38,i.48,blue,45,7760
P29,38,i.46,green,12,3210
P49,28,i.20,purple,35,6050
P32,28,i.02,purple,5,6115
P43,36,i.01,yellow,15,7210
P20,25,i.02,purple,10,8075
P44,35,i.39,red,1,4250
P42,40,i.48,blue,28.999999999999996,6915
P37,49,i.43,yellow,43,7835
P33,33,i.47,black,43,3940
P46,36,i.04,green,10,5785
P08,35,i.15,red,45,4385
P38,27,i.24,blue,46,8065
P05,29,i.18,blue,34,6890
P28,41,i.31,yellow,39,4810
P45,31,i.37,yellow,16,7170
P24,39,i.20,purple,35,7335
P14,32,i.08,purple,38,5910
P05,29,i.29,black,47,5940
P40,28,i.41,black,13,7645
P46,36,i.42,blue,46,5630
P44,35,i.31,yellow,38,2505
P19,31,i.07,yellow,27,5605
P48,45,i.07,yellow,5,5580
P47,29,i.05,black,21,6175
P31,30,i.21,red,12,4820
P11,29,i.41,black,32,6325
P14,32,i.24,blue,27,7370
P31,30,i.15,red,22,4760
P04,30,i.33,red,46,6810
P13,28,i.37,yellow,35,5240
P16,31,i.36,blue,25,6865
P26,20,i.26,purple,31,5340
P16,31,i.45,red,31,5465
P09,24,i.11,black,44,4130
P07,25,i.34,green,37,5290
P45,31,i.35,black,2,7365
P35,32,i.10,green,17,7035
P48,45,i.10,green,34,5745
P09,24,i.27,red,5,5625
P21,22,i.11,black,39,5495
P23,36,i.41,black,28.999999999999996,6190
P22,28,i.17,black,37,5395
P25,46,i.04,green,32,4610
P32,28,i.11,black,4,6305
P25,46,i.19,yellow,16,4795
P40,28,i.09,red,2,4650
P47,29,i.46,green,40,4975
P46,36,i.16,green,30,6900
P36,34,i.46,green,48,4510
P14,32,i.10,green,24,9060
P10,18,i.14,purple,28.999999999999996,4230
P32,28,i.18,blue,28.999999999999996,6370
P12,45,i.27,red,30,4505
P22,28,i.38,purple,22,7710
P02,28,i.48,blue,19,5370
P17,48,i.37,yellow,10,7655
P03,25,i.29,black,13,5570
P16,31,i.02,purple,35,4770
P21,22,i.08,purple,7.000000000000001,7300
P25,46,i.32,purple,41,7505
P47,29,i.41,black,32,6470
P02,28,i.33,red,38,4975
P36,34,i.06,blue,28.999999999999996,5775
P07,25,i.35,black,25,5495
P19,31,i.31,yellow,46,6605
P11,29,i.16,green,18,5205
P49,28,i.13,yellow,20,6280
P44,35,i.26,purple,28.999999999999996,4820
P17,48,i.25,yellow,5,4660
P25,46,i.18,blue,40,6635
P45,31,i.24,blue,31,7385
P49,28,i.12,blue,18,4910
P03,25,i.04,green,22,8675
P20,25,i.05,black,30,2915
P36,34,i.26,purple,39,7220
P05,29,i.28,green,27,5070
P28,41,i.01,yellow,17,3855
P27,47,i.32,purple,23,7140
P11,29,i.19,yellow,33,6100
P11,29,i.05,black,25,5695
P04,30,i.04,green,4,8535
P32,28,i.30,blue,15,5110
P44,35,i.23,black,6,5715
P48,45,i.02,purple,27,3275
P26,20,i.35,black,42,6215
P06,27,i.38,purple,23,7620
P03,25,i.03,red,48,5660
P17,48,i.01,yellow,45,5110
P39,20,i.12,blue,37,5255
P16,31,i.46,green,28.000000000000004,4095
P40,28,i.44,purple,37,5055
P08,35,i.48,blue,20,7445
P27,47,i.18,blue,40,5885
P24,39,i.43,yellow,14.000000000000002,5200
P45,31,i.22,green,33,5065
P47,29,i.19,yellow,10,5325
P22,28,i.02,purple,4,6730
P38,27,i.27,red,4,6860
P50,31,i.07,yellow,42,4400
P07,25,i.36,blue,36,5020
P20,25,i.39,red,1,6285
P10,18,i.26,purple,5,6240
P43,36,i.32,purple,24,10025
P22,28,i.14,purple,42,7250
P26,20,i.12,blue,32,6265
P04,30,i.34,green,33,5325
P43,36,i.36,blue,19,8115
P19,31,i.27,red,23,7790
P22,28,i.37,yellow,47,5830
P25,46,i.22,green,20,6005
P22,28,i.11,black,41,5995
P17,48,i.39,red,30,6465
P05,29,i.04,green,14.000000000000002,6015
P38,27,i.42,blue,40,7080
P03,25,i.37,yellow,32,3470
P08,35,i.41,black,35,5870
P40,28,i.23,black,36,6215
P26,20,i.41,black,24,5630
P46,36,i.02,purple,42,5240
P25,46,i.33,red,30,5770
P02,28,i.36,blue,17,9150
P05,29,i.39,red,26,2485
P24,39,i.39,red,12,8650
P43,36,i.47,black,37,7930
P39,20,i.04,green,11,7870
P08,35,i.21,red,1,5390
P10,18,i.38,purple,13,6305
P38,27,i.32,purple,48,5715
P24,39,i.38,purple,6,7535
P45,31,i.10,green,30,6885
P49,28,i.45,red,7.000000000000001,3225
P03,25,i.13,yellow,3,5245
P47,29,i.40,green,35,5400
P34,44,i.27,red,16,3850
P18,22,i.08,purple,38,5710
P37,49,i.28,green,46,5550
P47,29,i.18,blue,15,6550
P40,28,i.38,purple,6,5825
P28,41,i.33,red,38,4440
P26,20,i.43,yellow,39,4370
P18,22,i.44,purple,1,6185
P01,38,i.01,yellow,23,7165
P35,32,i.22,green,27,6445
P28,41,i.02,purple,5,5950
P23,36,i.30,blue,43,7115
P02,28,i.15,red,7.000000000000001,5735
P50,31,i.09,red,17,4560
P45,31,i.23,black,28.000000000000004,7675
P09,24,i.47,black,2,6135
P25,46,i.41,black,17,6920
P31,30,i.44,purple,18,8280
P16,31,i.26,purple,5,7915
P21,22,i.26,purple,47,8990
P39,20,i.05,black,43,5830
P34,44,i.11,black,17,4720
P30,25,i.19,yellow,1,6670
P22,28,i.40,green,20,4380
P01,38,i.37,yellow,2,5285
P25,46,i.07,yellow,28.000000000000004,6880
P13,28,i.39,red,32,6825
P37,49,i.04,green,34,6820
P09,24,i.32,purple,1,4795
P38,27,i.05,black,7.000000000000001,4340
P50,31,i.41,black,27,4820
P15,31,i.08,purple,34,3670
P25,46,i.27,red,3,8170
P20,25,i.36,blue,4,8515
P01,38,i.06,blue,32,5200
P28,41,i.32,purple,8,9375
P03,25,i.17,black,47,5580
P14,32,i.09,red,14.000000000000002,8240
P02,28,i.31,yellow,10,6900
P22,28,i.04,green,30,3740
P03,25,i.43,yellow,9,4480
P20,25,i.12,blue,17,7035
P28,41,i.07,yellow,7.000000000000001,4700
P40,28,i.47,black,21,7560
P30,25,i.36,blue,21,8370
P34,44,i.48,blue,6,5515
P08,35,i.31,yellow,36,7855
P40,28,i.46,green,28.000000000000004,6400
P47,29,i.45,red,3,6680
P17,48,i.15,red,22,9440
P36,34,i.37,yellow,16,5425
P17,48,i.17,black,21,8420
P24,39,i.24,blue,25,8135
P16,31,i.17,black,43,4585
P46,36,i.01,yellow,35,5405
P47,29,i.11,black,36,4555
P06,27,i.14,purple,10,7110
P02,28,i.47,black,18,5475
P10,18,i.28,green,9,6765
P41,22,i.16,green,46,5015
P06,27,i.34,green,17,8175
P18,22,i.39,red,18,3860
P37,49,i.12,blue,30,7150
P19,31,i.20,purple,21,5800
P27,47,i.34,green,33,4575
P48,45,i.46,green,10,4865
P17,48,i.07,yellow,34,3965
P03,25,i.32,purple,23,3990
P47,29,i.33,red,1,6595
P40,28,i.26,purple,26,3550
P01,38,i.35,black,46,6300
P20,25,i.22,green,7.000000000000001,6160
P15,31,i.44,purple,44,4180
P39,20,i.37,yellow,46,6310
P26,20,i.07,yellow,47,5865
P24,39,i.40,green,38,5565
P10,18,i.06,blue,2,7965
P32,28,i.32,purple,19,5840
P43,36,i.31,yellow,44,8400
P33,33,i.26,purple,35,7150
P35,32,i.45,red,24,3535
P26,20,i.03,red,28.999999999999996,8250
P42,40,i.29,black,39,6560
P49,28,i.22,green,23,6725
P45,31,i.09,red,8,5615
P39,20,i.17,black,20,8040
P17,48,i.21,red,12,6375
P33,33,i.37,yellow,41,3440
P30,25,i.31,yellow,36,10685
P45,31,i.18,blue,3,5750
P30,25,i.23,black,15,7810
P05,29,i.25,yellow,48,4695
P40,28,i.11,black,19,4060
P33,33,i.36,blue,27,5990
P49,28,i.09,red,43,6620
P24,39,i.36,blue,37,7750
P18,22,i.15,red,8,3125
P50,31,i.16,green,16,7060
P16,31,i.39,red,19,3525
P07,25,i.48,blue,46,5580
P32,28,i.46,green,46,4025
P13,28,i.34,green,48,3345
P39,20,i.38,purple,17,6710
P32,28,i.16,green,36,5620
P38,27,i.16,green,25,6180
P36,34,i.03,red,45,4825
P46,36,i.24,blue,5,7090
P14,32,i.20,purple,28.000000000000004,7545
P29,38,i.08,purple,13,4890
P04,30,i.45,red,21,4415
P22,28,i.06,blue,5,2825
P10,18,i.48,blue,22,6955
P43,36,i.42,blue,4,8765
P12,45,i.44,purple,43,6250
P20,25,i.26,purple,48,6355
P26,20,i.13,yellow,2,6735
P21,22,i.42,blue,31,6315
P25,46,i.11,black,28.999999999999996,4320
P10,18,i.16,green,38,8190
P06,27,i.45,red,30,5835
P32,28,i.36,blue,13,4425
P28,41,i.14,purple,43,6415
P17,48,i.05,black,26,8240
P50,31,i.28,green,34,6280
P46,36,i.07,yellow,47,3890
P31,30,i.26,purple,39,7775
P39,20,i.11,black,30,5880
P20,25,i.35,black,18,8230
P25,46,i.17,black,23,7685
P14,32,i.05,black,26,9400
P01,38,i.28,green,18,6090
P41,22,i.09,red,15,4585
P44,35,i.42,blue,44,6275
P36,34,i.07,yellow,22,5800
P16,31,i.06,blue,33,6435
P40,28,i.34,green,45,2665
P28,41,i.11,black,11,7070
P40,28,i.37,yellow,33,6595
P27,47,i.40,green,13,4650
P09,24,i.45,red,6,5110
P38,27,i.30,blue,43,6225
P23,36,i.07,yellow,39,4245
P34,44,i.29,black,46,6300
P50,31,i.23,black,8,6925
P32,28,i.48,blue,42,7390
P08,35,i.07,yellow,41,5900
P15,31,i.33,red,15,4870
P32,28,i.12,blue,41,4460
P07,25,i.28,green,12,5830
P39,20,i.46,green,47,5000
P34,44,i.39,red,3,7100
P16,31,i.31,yellow,16,6025
P22,28,i.47,black,40,2465
P33,33,i.43,yellow,21,4525
P20,25,i.38,purple,36,5010
P06,27,i.37,yellow,24,7135
P01,38,i.17,black,42,4890
P08,35,i.36,blue,37,7755
P39,20,i.02,purple,34,5070
P32,28,i.28,green,34,6510
P03,25,i.10,green,15,7480
P07,25,i.04,green,8,4970
P14,32,i.40,green,46,5395
P35,32,i.16,green,30,6895
P32,28,i.37,yellow,25,5395
P46,36,i.26,purple,25,5585
P09,24,i.01,yellow,17,6210
P47,29,i.37,yellow,13,6965
P29,38,i.37,yellow,30,2100
P21,22,i.43,yellow,46,4130
P07,25,i.14,purple,15,7160
P16,31,i.34,green,21,6760
P42,40,i.18,blue,46,4365
P32,28,i.45,red,9,6700
P34,44,i.19,yellow,25,5655
P02,28,i.07,yellow,28.000000000000004,3120
P48,45,i.01,yellow,25,5380
P48,45,i.47,black,43,3890
P41,22,i.02,purple,41,4680
P50,31,i.17,black,19,6705
P42,40,i.42,blue,21,4205
P47,29,i.39,red,23,6265
P20,25,i.01,yellow,12,6235
P23,36,i.29,black,10,7580
P30,25,i.25,yellow,2,6385
P16,31,i.32,purple,12,6185
P12,45,i.36,blue,1,8010
P29,38,i.04,green,28.999999999999996,3815
P27,47,i.07,yellow,14.000000000000002,5155
P20,25,i.24,blue,22,8425
P36,34,i.45,red,37,6105
P41,22,i.23,black,28.000000000000004,6370
P31,30,i.08,purple,32,4430
P38,27,i.09,red,35,6590
P10,18,i.27,red,36,4075
P49,28,i.04,green,12,6005
P17,48,i.42,blue,23,6640
P08,35,i.14,purple,38,4335
P17,48,i.48,blue,8,6125
P06,27,i.02,purple,3,8790
P29,38,i.34,green,46,3950
P40,28,i.36,blue,17,6190
P47,29,i.16,green,48,5675
P15,31,i.40,green,17,3090
P40,28,i.29,black,24,4700
P09,24,i.23,black,15,5205
P36,34,i.35,black,12,6250
P11,29,i.31,yellow,45,9510
P07,25,i.29,black,11,5440
P28,41,i.38,purple,14.000000000000002,7035
P17,48,i.06,blue,28.999999999999996,6490
P23,36,i.17,black,47,7260
P46,36,i.27,red,32,3800
P49,28,i.19,yellow,16,5225
P23,36,i.28,green,4,8555
P12,45,i.06,blue,14.000000000000002,5165
P01,38,i.29,black,16,7190
P16,31,i.40,green,30,6505
P42,40,i.44,purple,23,4645
P05,29,i.10,green,6,4335
P02,28,i.23,black,27,6730
P10,18,i.03,red,39,5425
P43,36,i.21,red,25,3945
P12,45,i.32,purple,18,4560
P30,25,i.08,purple,26,6820
P17,48,i.45,red,32,6180
P08,35,i.08,purple,40,6530
P33,33,i.48,blue,38,5885
P43,36,i.08,purple,39,5410
P49,28,i.06,blue,5,5085
P31,30,i.45,red,46,4270
P37,49,i.14,purple,16,5815
P31,30,i.01,yellow,44,4645
P48,45,i.31,yellow,36,5770
P35,32,i.28,green,47,6155
P23,36,i.23,black,7.000000000000001,7450
P12,45,i.45,red,5,5660
P24,39,i.10,green,9,7655
P24,39,i.48,blue,30,8390
P23,36,i.06,blue,23,6780
P27,47,i.11,black,16,4990
P30,25,i.29,black,4,6770
P41,22,i.01,yellow,30,2900
P29,38,i.44,purple,38,5770
P16,31,i.42,blue,48,6430
P21,22,i.45,red,23,5660
P47,29,i.28,green,42,5610
P32,28,i.10,green,8,5600
P46,36,i.38,purple,14.000000000000002,5230
P04,30,i.26,purple,23,7830
P11,29,i.28,green,11,6725
P12,45,i.04,green,12,5260
P42,40,i.34,green,44,4935
P04,30,i.20,purple,28.999999999999996,7260
P20,25,i.18,blue,16,8410
P49,28,i.40,green,27,5780
P16,31,i.37,yellow,8,4075
P25,46,i.14,purple,44,3510
P40,28,i.02,purple,27,4940
P28,41,i.46,green,44,6430
P12,45,i.11,black,16,6710
P31,30,i.03,red,27,7365
P48,45,i.30,blue,32,5300
P34,44,i.30,blue,23,5765
P19,31,i.25,yellow,36,5345
P23,36,i.11,black,37,5405
P31,30,i.42,blue,38,5670
P38,27,i.41,black,30,6140
P37,49,i.08,purple,12,6300
P33,33,i.07,yellow,33,3215
P31,30,i.48,blue,37,5690
P35,32,i.23,black,1,6210
P32,28,i.17,black,23,6800
P49,28,i.02,purple,9,7205
P34,44,i.10,green,4,6630
P49,28,i.48,blue,45,7375
P42,40,i.05,black,12,6390
P49,28,i.16,green,44,4760
P21,22,i.15,red,27,6390
P37,49,i.32,purple,33,6590
P29,38,i.31,yellow,48,3840
P17,48,i.43,yellow,16,7930
P47,29,i.43,yellow,11,5140
P28,41,i.09,red,25,4130
P22,28,i.31,yellow,6,3875
P36,34,i.38,purple,13,7795
P21,22,i.07,yellow,32,7535
P33,33,i.41,black,4,6485
P43,36,i.05,black,40,6975
P04,30,i.06,blue,2,7700
P23,36,i.19,yellow,22,4495
P46,36,i.30,blue,38,7165
P08,35,i.03,red,9,6165
P38,27,i.25,yellow,3,5890
P16,31,i.41,black,17,5385
P44,35,i.41,black,13,8105
P42,40,i.23,black,10,6170
P41,22,i.30,blue,37,5075
P06,27,i.36,blue,39,6595
P20,25,i.37,yellow,19,4720
P24,39,i.32,purple,16,7625
P29,38,i.41,black,7.000000000000001,4975
P27,47,i.45,red,34,4880
P33,33,i.23,black,16,5200
P14,32,i.28,green,39,6660
P14,32,i.48,blue,35,9345
P39,20,i.15,red,45,2780
P05,29,i.43,yellow,9,3950
P36,34,i.09,red,23,5495
P13,28,i.22,green,37,6045
P15,31,i.23,black,41,1860
P19,31,i.08,purple,16,9815
P11,29,i.17,black,34,3745
P30,25,i.17,black,3,7570
P42,40,i.14,purple,2,8135
P27,47,i.12,blue,37,6010
P48,45,i.34,green,47,6505
P28,41,i.17,black,18,8800
P17,48,i.31,yellow,13,3850
P28,41,i.30,blue,4,10400
P37,49,i.40,green,8,9355
P11,29,i.20,purple,2,8150
P16,31,i.13,yellow,14.000000000000002,4665
P08,35,i.13,yellow,34,3250
P44,35,i.10,green,43,4280
P44,35,i.33,red,16,2600
P33,33,i.35,black,47,4550
P26,20,i.33,red,40,5555
P02,28,i.12,blue,44,3975
P31,30,i.33,red,23,5575
P42,40,i.13,yellow,32,5995
P14,32,i.03,red,4,9700
P06,27,i.31,yellow,4,6935
P02,28,i.39,red,21,6865
P13,28,i.38,purple,14.000000000000002,7835
P21,22,i.32,purple,44,4065
P48,45,i.33,red,2,5270
P07,25,i.17,black,26,3880
P19,31,i.11,black,37,5030
P50,31,i.08,purple,38,4965
P30,25,i.30,blue,5,9630
P05,29,i.31,yellow,19,5120
P36,34,i.40,green,33,5050
P31,30,i.12,blue,14.000000000000002,5505
P47,29,i.35,black,2,5230
P37,49,i.02,purple,25,6375
P10,18,i.24,blue,31,5905
P29,38,i.47,black,2,7390
P35,32,i.04,green,18,7920
P18,22,i.06,blue,47,5660
P15,31,i.09,red,40,380
P33,33,i.11,black,2,3750
P45,31,i.33,red,26,5350
P44,35,i.14,purple,40,7085
P37,49,i.39,red,26,6360
P18,22,i.30,blue,27,7135
P46,36,i.22,green,40,2205
P08,35,i.22,green,6,7445
P45,31,i.40,green,39,4850
P36,34,i.29,black,46,3710
P24,39,i.04,green,5,6640
P24,39,i.26,purple,2,4800
P11,29,i.40,green,21,5280
P48,45,i.20,purple,48,4700
P50,31,i.31,yellow,44,6640
P01,38,i.38,purple,25,5500
P44,35,i.21,red,27,4590
P02,28,i.08,purple,8,4270
P38,27,i.20,purple,27,5955
P30,25,i.21,red,37,3925
P47,29,i.10,green,22,5145
P34,44,i.38,purple,15,6950
P13,28,i.03,red,43,6485
P46,36,i.37,yellow,13,4540
P19,31,i.17,black,10,6425
P40,28,i.08,purple,35,7175
P49,28,i.41,black,13,7705
P50,31,i.47,black,15,4070
P12,45,i.47,black,15,7660
P06,27,i.43,yellow,8,4505
P03,25,i.44,purple,27,5770
P27,47,i.30,blue,31,7145
P47,29,i.14,purple,39,4425
P18,22,i.02,purple,2,6410
P30,25,i.38,purple,7.000000000000001,5730
P23,36,i.45,red,15,5570
P18,22,i.35,black,45,6165
P31,30,i.37,yellow,28.999999999999996,5325
P32,28,i.41,black,40,3180
P35,32,i.20,purple,9,6130
P04,30,i.01,yellow,34,5750
P41,22,i.06,blue,12,5975
P01,38,i.09,red,12,3950
P32,28,i.25,yellow,18,5545
P43,36,i.38,purple,36,6085
P47,29,i.42,blue,14.000000000000002,6940
P16,31,i.10,green,34,6455
P09,24,i.22,green,42,4235
P41,22,i.44,purple,1,6590
P46,36,i.35,black,3,6325
P09,24,i.19,yellow,25,5820
P07,25,i.42,blue,6,6965
P12,45,i.19,yellow,17,6745
P41,22,i.10,green,48,3045
P46,36,i.23,black,34,4825
P27,47,i.36,blue,21,4640
P39,20,i.44,purple,5,8110
P01,38,i.36,blue,43,4750
P50,31,i.05,black,24,7960
P05,29,i.17,black,3,8465
P43,36,i.40,green,41,6630
P28,41,i.08,purple,28.999999999999996,6470
P12,45,i.03,red,13,3845
P27,47,i.08,purple,6,5240
P45,31,i.12,blue,40,6805
P05,29,i.14,purple,41,4955
P11,29,i.25,yellow,5,8015
P24,39,i.06,blue,41,7055
P01,38,i.33,red,1,1950
P41,22,i.11,black,13,3565
P02,28,i.27,red,25,6635
P30,25,i.20,purple,6,5255
P31,30,i.02,purple,30,4780
P36,34,i.11,black,26,3260
P11,29,i.46,green,19,6885
P40,28,i.30,blue,22,6905
P20,25,i.19,yellow,8,5595
P12,45,i.28,green,32,4090
P34,44,i.04,green,44,8560
P16,31,i.22,green,47,3215
P11,29,i.33,red,22,4590
P08,35,i.27,red,33,5815
P32,28,i.19,yellow,30,4740
P32,28,i.39,red,28.000000000000004,2145
P16,31,i.23,black,23,6350
P41,22,i.03,red,42,4970
P13,28,i.40,green,21,7825
P02,28,i.11,black,16,4405
P03,25,i.02,purple,43,6190
P05,29,i.38,purple,11,6405
P45,31,i.04,green,17,4635
P33,33,i.39,red,20,5505
