pseudonym,birthmonth,ampm,height,phone_unlock,caffeine_n,caffeine_type,eyecolour,dogcat,sleeprating,procrast,multitask,threewords
alpaca,July,Evening person,170,NA,1,tea,Brown,Cat,70,40,50,general life enjoyer
Miaomiao,March,Evening person,168,31,2,tea,Brown,Cat,80,50,50,"crazy, unpredictable, extreme"
sp99,June,Evening person,165,130,0,tea,Brown,Dog,80,0,0,"foodie, animal-lover, ADHD"
AAT,October,Morning person,159,NA,2,tea,Brown,Dog,95,65,90,NA
NA,March,Evening person,166,10,0,soft drinks (e.g. cola),Brown,Cat,80,NA,70,shy outgoing friendly
NA,January,Evening person,164,NA,1,coffee,Green,Dog,50,70,80,"enthusiastic, curios, contemplative"
NA,March,Evening person,163,44,2,coffee,Brown,Cat,40,85,20,"compassionate, creative, kind"
Saturn,December,Evening person,NA,177,0,i don't drink caffeine,Brown,Dog,51,87,90,"energetic, young, enthusiastic"
NA,November,Evening person,160,20,1,coffee,Brown,Dog,45,2,50,NA
Sam,July,NA,172,75,3,coffee,Green,Cat,76,82,2,Chaotic disciplined coffee
Eileen,February,Evening person,153,53,2,coffee,Brown,Dog,0,10,40,"autistic, chaotic, neurotic"
Yuxin,March,Evening person,158,10,3,coffee,Brown,Cat,40,80,70,mean chaotic OCD
IanTutor,May,Morning person,177.8,5,9,tea,Green,Cat,98,5,99,NA
Rowan,August,Evening person,178,NA,2,coffee,Hazel,Dog,80,75,90,"anxious, careful, smart"
NA,March,Evening person,164,NA,1,coffee,Other,Dog,80,80,75,"Organized, introvert, thinker"
Dia,May,Evening person,172,NA,1,energy drinks,Blue,Cat,50,50,80,NA
NA,October,Evening person,161,16,6,coffee,Brown,Dog,100,0,0,NA
Sian Blue,May,Evening person,165,17,1,other,Brown,Dog,36,87,89,"Shy, Rational, Thoughtful"
K,September,Evening person,174,NA,0.3,coffee,Other,Cat,89,45,33,non-slef existence
spooki,May,Evening person,163,90,1,coffee,Brown,Dog,88,60,65,"curious, kind, patient"
Josiah!,January,Morning person,177,54,5,coffee,Blue,Dog,72,35,55,i'm not sure
otfried,October,Evening person,185,94,4,coffee,Brown,Cat,30,60,30,Reliable steady practical
TPhunter,June,Evening person,178,100,2,soft drinks (e.g. cola),Brown,Cat,80,50,50,Poet Occultist Communist
JPM,February,Evening person,157,67,2,coffee,Brown,Dog,70,60,55,"Creative, curious and open-minded"
Supertrouper,July,Evening person,166,NA,1,coffee,Blue,Dog,80,50,60,NA
