"q_irritability","q_hunger","ppt","fivetwo"
17,46,"N4p4",0
26,35,"N4p4",0
22,41,"N4p4",0
23,55,"N4p4",0
24,54,"N4p5",0
10,55,"N4p5",0
1,51,"N4p5",0
17,62,"N4p5",0
13,45,"N4p5",0
14,64,"N4p6",0
30,47,"N4p6",0
14,73,"N4p6",0
29,49,"N4p6",0
26,49,"N4p6",0
22,62,"N4p7",0
26,50,"N4p7",0
25,50,"N4p7",0
27,73,"N4p7",0
13,44,"N4p7",0
25,65,"N4p8",0
30,71,"N4p8",0
23,59,"N4p8",0
24,61,"N4p8",0
34,67,"N4p8",0
27,53,"N4p9",0
28,57,"N4p9",0
21,66,"N4p9",0
19,80,"N4p9",0
28,55,"N4p9",0
18,58,"N4p10",0
13,85,"N4p10",0
18,79,"N4p10",0
15,55,"N4p10",0
15,71,"N4p10",0
0,8,"N5p1",1
8,14,"N5p1",1
6,28,"N5p1",1
21,31,"N5p1",1
32,40,"N5p1",1
14,41,"N5p2",1
17,5,"N5p2",1
21,27,"N5p2",1
22,16,"N5p2",1
27,44,"N5p2",1
25,39,"N5p3",1
30,42,"N5p3",1
15,28,"N5p3",1
44,64,"N5p3",1
24,32,"N5p3",1
11,47,"N5p4",1
14,24,"N5p4",1
15,48,"N5p4",1
17,41,"N5p4",1
13,29,"N5p4",1
33,58,"N5p5",1
31,38,"N5p5",1
38,53,"N5p5",1
25,31,"N5p5",1
17,27,"N5p5",1
22,47,"N5p6",1
29,51,"N5p6",1
34,57,"N5p6",1
24,45,"N5p6",1
35,55,"N5p6",1
52,61,"N5p7",1
33,58,"N5p7",1
25,52,"N5p7",1
31,52,"N5p7",1
20,47,"N5p7",1
39,56,"N5p8",1
44,63,"N5p8",1
37,80,"N5p8",1
27,58,"N5p8",1
31,52,"N5p8",1
22,73,"N5p9",1
30,73,"N5p9",1
26,67,"N5p9",1
37,81,"N5p9",1
25,61,"N5p9",1
2,42,"N6p1",0
11,35,"N6p1",0
1,13,"N6p1",0
4,53,"N6p1",0
7,35,"N6p1",0
15,45,"N6p2",0
12,41,"N6p2",0
4,39,"N6p2",0
0,34,"N6p2",0
6,42,"N6p2",0
8,39,"N6p3",0
10,23,"N6p3",0
11,39,"N6p3",0
8,51,"N6p3",0
0,22,"N6p3",0
2,42,"N6p4",0
6,46,"N6p4",0
2,44,"N6p4",0
3,37,"N6p4",0
0,37,"N6p4",0
12,60,"N6p5",0
7,46,"N6p5",0
4,26,"N6p5",0
0,52,"N6p5",0
0,32,"N6p5",0
32,66,"N6p6",0
1,40,"N6p6",0
1,41,"N6p6",0
5,39,"N6p6",0
25,63,"N6p6",0
24,49,"N6p7",0
14,47,"N6p7",0
19,61,"N6p7",0
16,36,"N6p7",0
14,51,"N6p7",0
16,58,"N6p8",0
0,43,"N6p8",0
15,42,"N6p8",0
5,52,"N6p8",0
12,77,"N6p8",0
1,10,"N7p1",1
25,49,"N7p1",1
16,39,"N7p1",1
18,40,"N7p1",1
25,42,"N7p1",1
28,34,"N7p2",1
35,48,"N7p2",1
8,22,"N7p2",1
19,37,"N7p2",1
27,35,"N7p2",1
38,47,"N7p3",1
39,41,"N7p3",1
34,56,"N7p3",1
31,46,"N7p3",1
22,15,"N7p3",1
30,49,"N7p4",1
36,59,"N7p4",1
32,59,"N7p4",1
0,25,"N7p4",1
10,28,"N7p4",1
27,39,"N7p5",1
27,37,"N7p5",1
28,38,"N7p5",1
40,54,"N7p5",1
31,42,"N7p5",1
55,61,"N7p6",1
36,51,"N7p6",1
57,63,"N7p6",1
21,39,"N7p6",1
41,53,"N7p6",1
17,21,"N7p7",1
13,40,"N7p7",1
22,58,"N7p7",1
23,50,"N7p7",1
21,46,"N7p7",1
5,37,"N7p8",1
27,53,"N7p8",1
32,58,"N7p8",1
10,45,"N7p8",1
9,51,"N7p8",1
43,62,"N7p9",1
32,44,"N7p9",1
35,64,"N7p9",1
42,40,"N7p9",1
35,59,"N7p9",1
9,23,"N8p1",0
19,30,"N8p1",0
28,30,"N8p1",0
0,10,"N8p1",0
41,45,"N8p1",0
16,37,"N8p2",0
10,36,"N8p2",0
13,27,"N8p2",0
13,31,"N8p2",0
16,35,"N8p2",0
12,24,"N8p3",0
13,39,"N8p3",0
11,16,"N8p3",0
27,40,"N8p3",0
20,48,"N8p3",0
29,46,"N8p4",0
19,45,"N8p4",0
21,52,"N8p4",0
28,39,"N8p4",0
18,31,"N8p4",0
23,73,"N8p5",0
14,41,"N8p5",0
9,34,"N8p5",0
38,68,"N8p5",0
27,55,"N8p5",0
21,53,"N8p6",0
25,56,"N8p6",0
28,36,"N8p6",0
29,50,"N8p6",0
22,64,"N8p6",0
27,42,"N8p7",0
20,50,"N8p7",0
27,62,"N8p7",0
20,59,"N8p7",0
25,81,"N8p7",0
5,16,"N9p1",1
18,43,"N9p1",1
12,26,"N9p1",1
1,12,"N9p1",1
21,42,"N9p1",1
23,38,"N9p2",1
30,36,"N9p2",1
21,20,"N9p2",1
22,29,"N9p2",1
29,28,"N9p2",1
18,44,"N9p3",1
9,29,"N9p3",1
19,29,"N9p3",1
5,14,"N9p3",1
17,32,"N9p3",1
28,51,"N9p4",1
28,44,"N9p4",1
28,45,"N9p4",1
37,46,"N9p4",1
31,29,"N9p4",1
21,43,"N9p5",1
24,48,"N9p5",1
42,67,"N9p5",1
26,46,"N9p5",1
27,28,"N9p5",1
40,50,"N9p6",1
34,48,"N9p6",1
51,69,"N9p6",1
31,59,"N9p6",1
36,62,"N9p6",1
16,49,"N9p7",1
21,48,"N9p7",1
22,50,"N9p7",1
25,64,"N9p7",1
20,53,"N9p7",1
16,46,"N9p8",1
28,58,"N9p8",1
46,71,"N9p8",1
38,67,"N9p8",1
22,51,"N9p8",1
