ID,IQ1,IQ2,IQ3,IQ4,IQ5
175,11,10,15,4,15
176,26,22,4,4,15
177,32,40,5,17,15
178,25,24,2,19,15
179,19,11,4,9,15
180,15,13,4,3,15
181,14,11,2,4,15
182,9,7,1,1,15
183,15,8,2,0,15
184,8,8,3,0,15
185,13,10,6,0,15
186,16,28,7,14,15
187,33,18,6,12,15
188,18,11,4,10,15
189,5,11,20,2,15
190,28,35,27,8,16
191,23,24,16,9,16
192,35,40,40,30,16
193,15,11,1,6,16
194,10,17,0,0,16
195,20,21,10,1,16
196,27,23,11,12,16
197,22,19,2,4,16
198,15,32,4,0,16
199,16,14,24,6,16
200,12,12,0,15,16
201,6,3,0,0,16
202,11,12,6,9,16
203,10,12,10,11,16
204,18,12,12,21,16
205,14,19,22,8,16
206,19,20,10,34,16
207,23,30,10,16,16
208,9,11,1,18,16
209,13,9,8,14,16
210,25,13,28,6,16
211,10,11,6,0,16
212,31,17,9,20,16
213,14,34,10,11,16
214,8,8,0,0,16
215,24,32,5,0,16
216,9,11,1,0,16
217,18,15,5,6,16
218,16,4,6,8,17
219,11,16,2,13,17
220,8,9,6,1,17
221,21,13,1,3,17
222,18,12,0,18,17
223,11,10,4,4,17
224,20,22,4,1,17
225,25,15,20,22,17
226,11,14,6,9,17
227,11,9,2,10,17
228,13,18,2,5,17
229,13,14,13,34,17
230,16,16,11,8,17
231,13,30,23,7,17
232,31,16,18,10,17
233,16,12,6,4,17
234,12,9,3,7,17
235,16,6,0,10,17
236,23,23,9,14,17
237,18,17,19,3,17
238,15,22,25,0,17
239,8,13,17,19,17
240,32,24,16,13,17
241,24,34,20,34,17
242,8,14,0,0,17
243,15,17,11,4,17
244,11,11,3,13,17
245,0,7,0,3,17
246,17,9,6,21,18
247,10,18,1,3,18
248,14,13,21,2,18
249,19,15,18,11,18
250,9,5,4,7,18
251,8,5,4,2,18
252,32,14,30,10,18
253,7,10,10,12,18
254,8,7,14,6,18
255,30,29,9,6,18
256,5,10,0,19,18
257,25,30,40,18,18
258,2,11,8,4,18
259,9,17,2,20,18
260,24,24,12,3,18
261,41,32,19,21,18
262,11,19,6,3,18
263,17,24,5,22,18
264,41,28,8,10,18
265,18,14,7,15,18
266,27,23,17,10,18
267,11,15,14,5,18
268,17,19,2,3,18
269,20,24,8,26,18
270,39,20,8,2,18
271,25,34,7,10,18
272,12,10,0,6,18
273,9,12,8,1,18
274,11,8,5,7,19
275,15,18,1,4,19
276,13,25,41,16,19
277,21,12,5,3,19
278,23,13,7,3,19
279,35,33,8,11,19
280,9,8,1,1,19
281,15,13,13,24,19
282,13,9,4,6,19
283,33,14,24,14,19
284,20,16,7,0,19
285,12,19,17,1,19
286,9,21,12,7,19
287,18,29,4,14,19
288,16,30,14,20,19
289,16,9,7,6,19
290,20,14,3,18,19
291,15,4,11,5,19
292,14,32,3,12,19
293,14,14,1,5,19
294,8,18,3,5,19
295,21,21,5,2,20
296,9,7,9,6,20
297,22,16,29,1,20
298,21,26,18,25,20
299,25,28,27,10,20
300,20,14,5,14,20
301,26,22,16,19,20
302,6,8,5,8,20
303,11,11,21,19,20
304,6,10,4,3,20
305,14,11,7,5,20
306,8,14,3,8,20
307,16,25,4,14,20
308,30,11,29,14,20
309,17,21,5,11,20
310,17,16,4,15,20
311,39,36,53,29,20
312,13,16,13,14,20
313,7,10,3,5,20
314,16,18,19,6,20
315,26,28,12,18,20
316,13,18,2,13,20
317,13,12,6,2,20
318,15,13,5,8,20
319,31,21,32,7,21
320,17,22,15,20,21
321,34,34,8,19,21
322,12,12,13,5,21
323,16,22,2,2,21
324,0,2,0,0,21
325,25,23,29,28,21
326,37,33,6,24,21
327,25,37,8,17,21
328,16,7,6,21,21
329,13,13,2,3,21
330,8,12,17,13,21
331,15,15,22,4,21
332,9,13,10,14,21
333,12,14,10,18,21
334,11,21,14,13,21
335,17,17,2,7,21
336,20,11,3,24,21
337,25,28,0,6,21
338,26,18,10,9,21
339,7,7,3,11,22
340,22,16,1,5,22
341,7,8,4,0,22
342,8,9,22,6,22
343,19,19,18,12,22
344,9,12,11,16,22
345,14,17,9,33,22
346,26,30,11,4,22
347,14,25,8,0,22
348,16,19,16,12,22
349,26,22,24,11,22
350,28,28,23,16,22
351,7,13,5,8,22
352,23,17,19,1,22
353,11,13,9,1,22
354,8,10,11,18,22
355,23,21,17,2,22
356,30,42,13,11,23
357,29,20,10,10,23
358,20,13,12,18,23
359,18,13,2,7,23
360,24,28,27,29,23
361,14,21,8,2,23
362,10,15,1,10,23
363,18,20,19,12,23
364,10,13,8,2,23
365,11,14,3,8,23
366,15,19,22,9,23
367,19,13,10,6,23
368,37,16,9,29,23
369,19,15,9,12,23
370,32,21,6,5,23
371,27,27,41,4,23
372,34,19,11,10,23
373,16,24,8,7,24
374,18,22,5,0,24
375,19,17,4,31,24
376,24,15,7,11,24
377,14,7,7,37,24
378,14,18,14,11,24
379,13,14,27,6,24
380,14,11,4,14,24
381,13,15,0,1,24
382,16,22,8,2,24
383,16,14,33,17,24
384,23,19,24,3,24
385,12,7,4,14,24
386,21,22,21,7,24
387,30,21,16,23,24
388,22,14,0,4,24
389,15,25,3,12,24
390,38,24,8,3,24
391,13,9,5,12,24
392,22,40,34,30,24
393,15,17,5,9,25
394,5,12,10,5,25
395,16,18,28,14,25
396,31,34,32,39,25
397,18,20,6,17,25
398,14,9,18,24,25
399,24,33,20,19,25
400,35,42,14,27,25
401,15,17,23,15,25
402,11,11,13,2,25
403,13,9,24,20,25
404,24,41,22,19,25
405,19,28,3,22,25
406,23,32,17,16,26
407,12,8,0,10,26
408,13,13,1,0,26
409,33,28,30,20,26
410,6,10,3,15,26
411,64,35,15,17,26
412,38,36,15,32,26
413,28,20,13,30,26
414,29,13,31,11,26
415,29,47,12,50,26
416,18,33,4,27,26
417,53,36,40,45,26
418,26,23,40,11,26
419,11,12,4,22,26
420,16,13,10,24,27
421,16,13,14,12,27
422,34,25,20,11,27
423,22,28,15,16,27
424,37,52,6,11,27
425,38,23,17,10,27
426,19,15,3,9,27
427,21,24,21,16,27
428,47,38,22,17,27
429,12,16,18,6,27
430,33,22,22,26,27
431,19,16,18,35,27
432,17,17,4,5,28
433,10,30,10,16,28
434,22,14,3,3,28
435,44,43,4,22,28
436,12,15,33,22,28
437,23,18,6,16,28
438,19,30,28,31,28
439,17,16,39,18,29
440,24,23,21,18,29
441,13,16,11,14,29
442,11,21,27,20,29
443,15,10,11,26,29
444,15,15,15,7,29
445,41,36,26,30,29
446,20,33,14,6,29
447,24,19,8,24,29
448,18,28,24,27,30
449,30,19,25,25,30
450,13,25,6,28,30
451,29,28,21,19,30
452,10,15,26,10,30
453,14,13,0,1,30
454,26,41,28,29,30
455,17,19,14,22,31
456,21,19,18,14,31
457,14,11,2,17,31
458,17,13,7,9,31
459,43,31,26,13,32
460,12,4,1,17,32
461,53,72,28,17,32
462,15,13,7,7,32
463,26,24,26,4,32
464,37,31,13,21,33
465,16,37,28,14,33
466,23,28,9,16,33
467,25,31,33,5,33
468,31,14,15,15,33
469,18,14,8,15,33
470,17,19,65,32,34
471,52,47,37,30,35
472,19,23,19,17,35
473,22,13,18,29,35
474,14,10,12,15,35
475,42,50,12,16,35
476,34,44,10,29,35
477,27,18,34,21,36
478,19,23,34,26,36
479,17,14,16,10,36
480,49,30,7,4,37
481,30,51,19,20,39
482,33,36,14,41,40
483,20,16,43,22,41
484,24,17,20,14,41
485,20,18,11,17,42
486,23,24,17,6,42
487,44,27,27,42,43
488,15,25,26,19,44
489,14,31,17,16,44
490,59,42,19,22,46
491,18,39,35,30,47
492,33,34,24,7,48
493,33,48,23,29,51
494,18,22,24,22,53
495,24,25,16,52,55
496,19,15,22,20,58
497,34,31,23,19,59
498,52,33,31,21,60
499,35,18,21,5,63
500,40,34,28,56,78
