ID,Assessment,Condition,Wellbeing
156,0,4day_week,39
156,1,4day_week,37
156,2,4day_week,61
156,3,4day_week,57
157,0,4day_week,36
157,1,4day_week,40
157,2,4day_week,41
157,3,4day_week,45
158,0,4day_week,33
158,1,4day_week,40
158,2,4day_week,40
158,3,4day_week,35
159,0,4day_week,41
159,1,4day_week,38
159,2,4day_week,50
159,3,4day_week,51
160,0,4day_week,42
160,1,4day_week,43
160,2,4day_week,39
160,3,4day_week,39
201,0,unlimited_leave,39
201,1,unlimited_leave,41
201,2,unlimited_leave,54
201,3,unlimited_leave,54
202,0,unlimited_leave,38
202,1,unlimited_leave,43
202,2,unlimited_leave,39
202,3,unlimited_leave,42
203,0,unlimited_leave,34
203,1,unlimited_leave,44
203,2,unlimited_leave,43
203,3,unlimited_leave,45
204,0,unlimited_leave,33
204,1,unlimited_leave,37
204,2,unlimited_leave,39
204,3,unlimited_leave,38
205,0,unlimited_leave,41
205,1,unlimited_leave,36
205,2,unlimited_leave,43
205,3,unlimited_leave,37
206,0,unlimited_leave,37
206,1,unlimited_leave,37
206,2,unlimited_leave,39
206,3,unlimited_leave,41
207,0,unlimited_leave,43
207,1,unlimited_leave,40
207,2,unlimited_leave,34
207,3,unlimited_leave,30
208,0,unlimited_leave,42
208,1,unlimited_leave,45
208,2,unlimited_leave,46
208,3,unlimited_leave,48
209,0,unlimited_leave,37
209,1,unlimited_leave,36
209,2,unlimited_leave,45
209,3,unlimited_leave,45
210,0,unlimited_leave,40
210,1,unlimited_leave,40
210,2,unlimited_leave,43
210,3,unlimited_leave,50
211,0,unlimited_leave,36
211,1,unlimited_leave,41
211,2,unlimited_leave,42
211,3,unlimited_leave,46
212,0,unlimited_leave,39
212,1,unlimited_leave,40
212,2,unlimited_leave,40
212,3,unlimited_leave,38
213,0,unlimited_leave,40
213,1,unlimited_leave,39
213,2,unlimited_leave,47
213,3,unlimited_leave,42
214,0,unlimited_leave,33
214,1,unlimited_leave,40
214,2,unlimited_leave,35
214,3,unlimited_leave,39
215,0,unlimited_leave,40
215,1,unlimited_leave,39
215,2,unlimited_leave,29
215,3,unlimited_leave,33
216,0,unlimited_leave,32
216,1,unlimited_leave,43
216,2,unlimited_leave,45
216,3,unlimited_leave,46
217,0,unlimited_leave,44
217,1,unlimited_leave,40
217,2,unlimited_leave,38
217,3,unlimited_leave,38
218,0,unlimited_leave,36
218,1,unlimited_leave,44
218,2,unlimited_leave,40
218,3,unlimited_leave,46
219,0,unlimited_leave,34
219,1,unlimited_leave,42
219,2,unlimited_leave,44
219,3,unlimited_leave,42
220,0,unlimited_leave,47
220,1,unlimited_leave,39
220,2,unlimited_leave,41
220,3,unlimited_leave,38
221,0,unlimited_leave,39
221,1,unlimited_leave,43
221,2,unlimited_leave,41
221,3,unlimited_leave,41
222,0,unlimited_leave,33
222,1,unlimited_leave,37
222,2,unlimited_leave,42
222,3,unlimited_leave,37
223,0,unlimited_leave,42
223,1,unlimited_leave,45
223,2,unlimited_leave,47
223,3,unlimited_leave,43
224,0,unlimited_leave,36
224,1,unlimited_leave,34
224,2,unlimited_leave,40
224,3,unlimited_leave,38
225,0,unlimited_leave,27
225,1,unlimited_leave,36
225,2,unlimited_leave,43
225,3,unlimited_leave,44
226,0,unlimited_leave,42
226,1,unlimited_leave,39
226,2,unlimited_leave,37
226,3,unlimited_leave,43
227,0,unlimited_leave,31
227,1,unlimited_leave,38
227,2,unlimited_leave,40
227,3,unlimited_leave,49
228,0,unlimited_leave,32
228,1,unlimited_leave,40
228,2,unlimited_leave,42
228,3,unlimited_leave,37
229,0,unlimited_leave,39
229,1,unlimited_leave,43
229,2,unlimited_leave,41
229,3,unlimited_leave,40
230,0,unlimited_leave,38
230,1,unlimited_leave,42
230,2,unlimited_leave,43
230,3,unlimited_leave,37
231,0,unlimited_leave,37
231,1,unlimited_leave,41
231,2,unlimited_leave,43
231,3,unlimited_leave,40
232,0,unlimited_leave,37
232,1,unlimited_leave,43
232,2,unlimited_leave,47
232,3,unlimited_leave,52
233,0,unlimited_leave,35
233,1,unlimited_leave,39
233,2,unlimited_leave,45
233,3,unlimited_leave,47
234,0,unlimited_leave,33
234,1,unlimited_leave,40
234,2,unlimited_leave,43
234,3,unlimited_leave,49
235,0,unlimited_leave,34
235,1,unlimited_leave,39
235,2,unlimited_leave,43
235,3,unlimited_leave,52
236,0,unlimited_leave,37
236,1,unlimited_leave,46
236,2,unlimited_leave,43
236,3,unlimited_leave,43
237,0,unlimited_leave,43
237,1,unlimited_leave,35
237,2,unlimited_leave,33
237,3,unlimited_leave,40
238,0,unlimited_leave,39
238,1,unlimited_leave,36
238,2,unlimited_leave,39
238,3,unlimited_leave,36
239,0,unlimited_leave,40
239,1,unlimited_leave,39
239,2,unlimited_leave,46
239,3,unlimited_leave,39
240,0,unlimited_leave,39
240,1,unlimited_leave,29
240,2,unlimited_leave,43
240,3,unlimited_leave,36
241,0,unlimited_leave,34
241,1,unlimited_leave,36
241,2,unlimited_leave,41
241,3,unlimited_leave,38
242,0,unlimited_leave,41
242,1,unlimited_leave,38
242,2,unlimited_leave,45
242,3,unlimited_leave,43
243,0,unlimited_leave,43
243,1,unlimited_leave,35
243,2,unlimited_leave,42
243,3,unlimited_leave,34
244,0,unlimited_leave,41
244,1,unlimited_leave,46
244,2,unlimited_leave,44
244,3,unlimited_leave,36
245,0,unlimited_leave,41
245,1,unlimited_leave,38
245,2,unlimited_leave,38
245,3,unlimited_leave,41
246,0,unlimited_leave,38
246,1,unlimited_leave,48
246,2,unlimited_leave,47
246,3,unlimited_leave,55
247,0,unlimited_leave,38
247,1,unlimited_leave,37
247,2,unlimited_leave,42
247,3,unlimited_leave,38
248,0,unlimited_leave,41
248,1,unlimited_leave,45
248,2,unlimited_leave,45
248,3,unlimited_leave,39
249,0,unlimited_leave,35
249,1,unlimited_leave,40
249,2,unlimited_leave,46
249,3,unlimited_leave,37
250,0,unlimited_leave,35
250,1,unlimited_leave,47
250,2,unlimited_leave,49
250,3,unlimited_leave,55
251,0,unlimited_leave,35
251,1,unlimited_leave,33
251,2,unlimited_leave,43
251,3,unlimited_leave,37
252,0,unlimited_leave,40
252,1,unlimited_leave,38
252,2,unlimited_leave,38
252,3,unlimited_leave,43
253,0,unlimited_leave,33
253,1,unlimited_leave,32
253,2,unlimited_leave,40
253,3,unlimited_leave,50
254,0,unlimited_leave,42
254,1,unlimited_leave,39
254,2,unlimited_leave,38
254,3,unlimited_leave,41
255,0,unlimited_leave,45
255,1,unlimited_leave,42
255,2,unlimited_leave,39
255,3,unlimited_leave,38
256,0,unlimited_leave,48
256,1,unlimited_leave,37
256,2,unlimited_leave,41
256,3,unlimited_leave,42
257,0,unlimited_leave,40
257,1,unlimited_leave,37
257,2,unlimited_leave,41
257,3,unlimited_leave,41
258,0,unlimited_leave,37
258,1,unlimited_leave,44
258,2,unlimited_leave,42
258,3,unlimited_leave,39
259,0,unlimited_leave,37
259,1,unlimited_leave,40
259,2,unlimited_leave,46
259,3,unlimited_leave,46
260,0,unlimited_leave,40
260,1,unlimited_leave,40
260,2,unlimited_leave,36
260,3,unlimited_leave,32
301,0,none,41
301,1,none,37
301,2,none,34
301,3,none,37
302,0,none,44
302,1,none,37
302,2,none,45
302,3,none,51
303,0,none,39
303,1,none,37
303,2,none,40
303,3,none,41
304,0,none,37
304,1,none,35
304,2,none,40
304,3,none,38
305,0,none,45
305,1,none,38
305,2,none,31
305,3,none,37
306,0,none,39
306,1,none,41
306,2,none,40
306,3,none,43
307,0,none,37
307,1,none,35
307,2,none,37
307,3,none,35
308,0,none,36
308,1,none,36
308,2,none,38
308,3,none,39
309,0,none,40
309,1,none,37
309,2,none,38
309,3,none,33
310,0,none,36
310,1,none,39
310,2,none,33
310,3,none,32
311,0,none,41
311,1,none,38
311,2,none,36
311,3,none,39
312,0,none,41
312,1,none,31
312,2,none,43
312,3,none,37
313,0,none,40
313,1,none,37
313,2,none,47
313,3,none,42
314,0,none,35
314,1,none,35
314,2,none,30
314,3,none,30
315,0,none,43
315,1,none,40
315,2,none,40
315,3,none,40
316,0,none,38
316,1,none,46
316,2,none,28
316,3,none,26
317,0,none,35
317,1,none,46
317,2,none,35
317,3,none,43
318,0,none,42
318,1,none,37
318,2,none,32
318,3,none,33
319,0,none,38
319,1,none,40
319,2,none,39
319,3,none,27
320,0,none,37
320,1,none,42
320,2,none,34
320,3,none,32
321,0,none,41
321,1,none,40
321,2,none,29
321,3,none,32
322,0,none,37
322,1,none,35
322,2,none,46
322,3,none,48
323,0,none,35
323,1,none,42
323,2,none,32
323,3,none,28
324,0,none,40
324,1,none,34
324,2,none,38
324,3,none,37
325,0,none,38
325,1,none,34
325,2,none,34
325,3,none,36
326,0,none,39
326,1,none,38
326,2,none,31
326,3,none,30
327,0,none,39
327,1,none,45
327,2,none,45
327,3,none,50
328,0,none,39
328,1,none,39
328,2,none,40
328,3,none,44
329,0,none,42
329,1,none,32
329,2,none,35
329,3,none,36
330,0,none,35
330,1,none,39
330,2,none,36
330,3,none,26
331,0,none,37
331,1,none,37
331,2,none,38
331,3,none,42
332,0,none,36
332,1,none,43
332,2,none,33
332,3,none,42
333,0,none,34
333,1,none,47
333,2,none,39
333,3,none,37
334,0,none,34
334,1,none,35
334,2,none,32
334,3,none,32
335,0,none,41
335,1,none,37
335,2,none,38
335,3,none,33
336,0,none,38
336,1,none,32
336,2,none,34
336,3,none,35
337,0,none,41
337,1,none,39
337,2,none,44
337,3,none,40
338,0,none,39
338,1,none,38
338,2,none,32
338,3,none,30
339,0,none,39
339,1,none,33
339,2,none,26
339,3,none,29
340,0,none,38
340,1,none,39
340,2,none,42
340,3,none,53
341,0,none,41
341,1,none,42
341,2,none,39
341,3,none,38
342,0,none,35
342,1,none,34
342,2,none,40
342,3,none,42
343,0,none,40
343,1,none,43
343,2,none,41
343,3,none,45
344,0,none,38
344,1,none,38
344,2,none,39
344,3,none,42
345,0,none,42
345,1,none,42
345,2,none,38
345,3,none,39
346,0,none,36
346,1,none,40
346,2,none,52
346,3,none,51
347,0,none,36
347,1,none,41
347,2,none,44
347,3,none,40
348,0,none,31
348,1,none,33
348,2,none,33
348,3,none,31
349,0,none,43
349,1,none,29
349,2,none,37
349,3,none,36
350,0,none,33
350,1,none,42
350,2,none,34
350,3,none,38
351,0,none,34
351,1,none,42
351,2,none,48
351,3,none,50
352,0,none,35
352,1,none,40
352,2,none,33
352,3,none,39
353,0,none,35
353,1,none,33
353,2,none,41
353,3,none,44
354,0,none,37
354,1,none,37
354,2,none,43
354,3,none,38
355,0,none,47
355,1,none,32
355,2,none,41
355,3,none,34
356,0,none,34
356,1,none,45
356,2,none,39
356,3,none,40
357,0,none,42
357,1,none,40
357,2,none,45
357,3,none,46
358,0,none,36
358,1,none,46
358,2,none,55
358,3,none,45
359,0,none,40
359,1,none,40
359,2,none,42
359,3,none,41
360,0,none,40
360,1,none,43
360,2,none,42
360,3,none,47
