"ID","Dep1","Dep2","Dep3","Dep4","Dep5","Dep6","Avail1","Avail2","Avail3","Avail4","CAnx1","CAnx2","CAnx3","CAnx4","CDep1","CDep2","CDep3","CDep4"
71,3,2,4,4,2,3,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,2,1,2
73,3,4,4,5,3,4,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA
74,3,2,2,3,4,2,3,3,2,3,3,2,3,4,2,4,3,4
75,2,2,3,2,2,3,4,4,4,3,3,3,3,2,2,3,3,3
76,3,4,3,3,2,4,3,3,2,3,4,4,4,3,3,2,2,4
77,3,3,3,3,2,2,2,3,2,2,3,2,2,2,1,4,2,2
78,2,2,2,3,3,1,2,2,2,3,2,2,2,2,3,1,2,2
79,3,2,2,3,4,2,3,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA
80,3,4,4,3,4,2,4,4,4,4,4,3,4,5,4,3,3,2
81,3,1,4,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4
82,2,2,4,3,4,2,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA
83,3,2,3,3,3,2,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA
84,3,1,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3
85,1,1,4,3,2,3,1,3,2,2,4,2,3,3,2,2,1,3
86,2,1,2,3,3,2,3,3,4,3,2,1,2,3,2,2,3,1
87,3,2,4,4,3,4,4,4,4,3,3,4,4,4,2,3,3,2
88,3,2,3,2,4,2,2,3,2,2,4,2,3,2,2,2,2,2
89,4,4,5,4,4,4,2,3,2,1,3,4,4,2,4,3,3,5
90,3,3,2,3,3,4,2,2,3,3,2,3,2,2,3,3,2,3
91,1,2,3,3,3,3,3,2,4,2,4,2,3,4,3,2,4,4
92,2,2,3,4,3,4,3,4,5,3,3,3,4,3,5,3,3,4
93,1,1,1,2,1,2,3,3,3,2,3,3,3,3,2,3,2,2
94,2,2,2,3,3,3,3,2,2,3,4,2,3,3,4,4,3,3
95,3,4,4,5,3,4,3,4,4,3,3,3,3,3,4,5,4,4
96,3,4,4,3,4,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
97,3,1,3,3,2,2,2,2,2,3,2,2,2,2,2,2,3,1
98,3,3,4,4,5,3,2,3,3,3,3,3,4,4,3,3,3,3
99,3,3,3,3,3,3,4,3,4,4,4,3,5,3,4,5,3,4
100,2,2,3,2,2,3,3,1,3,2,3,3,3,4,3,4,3,3
101,4,2,5,4,4,3,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA
102,3,3,2,3,4,4,3,3,2,3,3,3,3,2,3,3,4,4
103,3,2,3,3,3,3,3,3,3,2,2,3,2,2,1,2,2,2
104,3,3,3,2,2,3,2,2,2,2,3,2,2,3,3,3,3,3
105,2,1,3,3,2,1,2,3,3,2,2,2,1,1,2,2,1,3
106,2,1,3,3,2,1,3,2,2,1,2,2,3,3,2,3,2,2
107,3,1,2,3,3,3,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA
108,3,3,4,4,3,3,3,3,3,3,3,3,2,4,2,3,4,5
109,2,2,2,2,2,1,3,3,2,4,3,2,2,3,1,2,3,2
110,5,3,5,4,4,4,3,3,3,2,4,4,3,3,3,3,5,4
111,3,2,4,4,1,3,1,3,2,1,2,2,2,2,3,2,2,2
112,2,2,5,4,2,2,3,3,3,2,4,3,3,4,3,3,2,2
113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,2,2,2,2,3,2,2,2,3,2,3,3,2,2,2,2,1,1
115,4,2,3,3,2,3,5,5,5,4,4,4,3,5,3,3,2,2
116,2,2,3,3,2,3,3,2,3,2,4,3,3,3,2,2,1,2
117,4,5,5,5,5,4,3,3,3,3,4,3,3,5,4,4,4,3
118,2,2,3,2,3,2,1,3,3,2,3,3,4,2,3,2,3,3
119,2,1,2,1,2,2,2,3,3,2,2,2,2,3,3,3,3,4
120,3,3,4,4,4,3,4,4,4,3,2,4,3,3,3,2,3,3
121,3,2,4,5,3,4,4,4,4,3,3,3,5,4,4,3,4,3
122,4,3,3,3,3,4,3,4,5,3,3,3,3,4,3,4,2,3
123,5,3,4,4,3,4,3,3,3,1,3,3,3,3,2,3,4,2
124,2,3,4,3,3,2,3,3,3,3,3,2,2,2,3,4,3,4
125,3,2,3,3,2,2,2,3,3,2,3,3,3,3,2,3,2,4
126,4,1,4,3,4,4,3,4,2,3,3,3,4,3,3,4,4,4
127,3,2,4,4,4,4,1,2,2,3,3,3,3,2,3,3,4,3
128,5,3,4,4,3,4,2,3,4,2,4,3,4,4,4,3,2,3
129,3,3,3,3,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
130,3,3,2,3,2,2,3,2,3,3,3,4,3,3,2,3,3,2
131,4,4,3,2,2,3,2,3,4,4,4,3,3,2,5,4,3,4
132,3,2,4,3,3,4,3,2,2,2,4,2,2,3,2,3,3,3
133,2,3,4,4,2,2,3,2,3,3,3,3,3,4,3,2,2,3
134,1,2,3,3,3,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA
135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,4,5,3
136,3,2,3,2,3,3,3,3,1,2,2,2,2,2,2,3,3,2
137,3,2,3,2,3,1,1,2,4,3,2,2,3,1,2,2,1,3
138,2,2,3,2,2,2,3,2,4,2,3,2,3,2,2,2,1,2
139,3,3,2,3,3,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA
140,2,2,3,3,3,2,2,4,4,2,3,3,3,4,4,4,4,3
141,3,4,5,3,3,4,3,3,2,2,2,2,2,2,4,3,2,2
142,2,3,2,3,3,2,1,3,2,3,3,5,3,3,3,4,5,4
143,2,3,3,3,3,3,2,3,2,1,3,3,2,3,4,3,2,2
144,3,3,2,3,2,3,3,2,2,3,3,3,2,3,2,2,3,2
145,4,3,3,3,2,3,4,2,2,3,2,3,1,3,4,3,3,2
146,3,3,4,3,3,3,2,5,4,3,3,3,3,3,3,4,4,3
147,2,2,2,2,3,3,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA
148,3,3,3,3,2,3,4,4,4,3,3,2,2,3,3,3,3,2
149,3,2,4,3,4,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
150,4,3,5,3,3,4,3,4,3,2,4,3,4,3,3,4,3,3
151,2,1,2,3,2,1,3,4,4,3,3,4,2,1,2,3,2,2
152,2,2,3,4,4,2,2,4,3,1,4,3,3,3,2,3,3,4
153,3,3,4,4,3,4,2,2,3,1,3,2,2,3,3,3,1,3
154,3,3,3,3,2,2,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA
155,4,2,3,3,4,4,3,4,2,3,2,2,3,2,3,3,3,4
156,3,4,4,3,3,4,4,4,4,4,4,3,3,3,4,3,4,3
157,2,2,3,2,2,3,2,2,3,2,2,3,2,3,2,3,3,2
158,4,3,4,4,3,3,2,3,2,4,3,2,3,2,3,3,2,1
159,2,1,3,3,4,2,3,3,3,3,3,2,2,3,3,3,3,3
160,4,4,4,5,4,3,4,3,4,3,3,3,2,3,4,4,4,4
161,3,3,3,3,3,2,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA
162,3,3,3,3,4,2,2,3,2,2,2,2,2,3,2,2,3,3
163,3,2,4,5,3,2,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA
164,2,1,1,1,2,2,1,2,2,2,1,2,2,1,1,2,2,2
165,3,3,4,4,2,4,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA
166,2,2,2,3,3,2,2,3,3,3,3,2,3,3,2,2,2,3
167,3,3,4,4,3,3,3,3,2,3,3,3,3,3,4,4,4,4
168,3,4,3,4,4,4,4,4,3,3,4,4,3,4,3,4,3,4
169,3,2,2,2,2,3,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
170,3,3,3,2,3,1,3,3,3,4,3,1,3,3,3,2,3,3
171,3,1,2,3,2,2,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA
172,3,3,5,4,3,3,3,3,1,2,4,2,3,3,4,5,4,3
173,4,4,4,4,5,4,3,3,2,3,3,2,3,4,4,4,3,4
174,4,3,4,3,3,3,2,3,3,4,3,2,2,3,3,2,3,3
175,4,4,4,4,2,3,2,3,2,3,3,2,3,4,4,2,3,3
176,1,2,4,3,3,2,2,3,3,4,2,1,2,3,2,3,4,2
177,4,3,4,4,4,4,4,4,4,4,3,3,4,5,4,5,3,4
178,3,2,3,2,3,1,1,2,2,4,2,2,3,2,3,2,1,2
179,3,2,4,4,4,4,3,3,3,3,5,3,4,4,2,3,3,4
180,2,3,4,3,4,1,3,3,3,3,2,2,2,3,3,3,3,3
181,2,4,3,3,3,4,2,4,3,3,3,3,3,3,3,4,4,3
182,3,2,3,3,3,3,3,4,3,3,5,4,3,3,4,4,4,5
183,3,3,2,2,2,2,3,4,4,4,3,2,3,3,3,4,4,3
184,4,3,4,3,4,3,4,5,3,3,3,2,2,2,1,2,3,3
185,4,4,3,3,4,4,4,4,3,4,5,4,4,4,4,5,5,5
186,3,3,5,4,4,4,3,2,2,2,3,3,3,4,5,4,4,4
187,2,3,3,2,3,2,3,3,2,3,2,2,2,2,2,2,2,1
188,3,2,2,3,2,2,3,2,2,5,1,1,2,1,2,3,2,2
189,4,2,4,3,3,3,1,3,3,3,3,1,2,2,3,3,4,3
190,1,1,1,2,2,1,2,3,1,2,2,3,2,3,2,1,3,2
191,2,2,3,2,2,3,2,1,2,2,2,2,2,2,2,2,2,3
192,4,4,4,3,4,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA
193,3,3,2,2,3,3,3,3,3,3,3,3,3,2,2,3,4,4
194,5,3,4,4,4,3,3,2,2,2,4,3,3,3,4,4,4,4
195,2,3,3,2,3,3,2,2,3,3,4,5,4,3,4,3,3,2
196,3,3,3,3,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
197,2,3,3,3,2,2,2,1,1,2,2,2,3,3,3,3,2,2
198,3,4,4,4,3,2,3,3,3,1,4,3,3,3,3,4,4,4
199,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2
200,3,2,4,4,4,3,3,4,3,2,3,2,2,3,3,3,3,2
201,3,2,4,3,2,4,4,4,3,3,4,3,3,4,4,2,3,4
202,3,4,4,3,3,3,1,2,2,1,3,3,2,3,3,3,2,3
203,3,3,4,4,5,3,3,4,3,3,3,3,3,2,2,3,4,3
204,2,1,2,3,2,2,3,3,2,5,3,4,3,3,3,3,2,2
205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,4,3
206,4,2,3,4,3,2,4,5,3,2,5,4,4,4,3,3,4,4
207,1,1,2,1,2,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
208,4,4,4,4,4,3,4,3,4,4,3,4,4,3,3,4,4,5
209,3,2,3,2,2,1,3,3,3,3,2,3,3,4,3,3,2,1
210,2,3,4,3,3,2,3,2,2,2,2,3,2,2,2,3,2,3
211,3,2,4,4,3,2,3,3,3,3,3,3,2,3,4,2,3,3
212,3,3,4,3,2,2,3,2,2,3,4,4,4,3,3,2,3,2
213,2,4,3,3,3,3,3,3,3,3,3,2,4,3,2,2,3,2
214,2,1,3,4,3,4,2,4,2,2,3,3,2,4,4,2,2,3
215,3,2,5,3,3,3,3,4,3,4,4,5,4,3,4,3,4,4
216,4,4,3,5,4,3,4,3,2,3,1,2,2,3,3,3,4,3
217,1,1,2,2,2,1,1,2,1,2,2,3,2,3,2,1,1,1
218,2,2,2,4,3,2,3,5,4,3,3,3,4,4,2,3,4,3
219,4,3,3,4,3,3,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA
220,3,2,4,3,3,3,3,2,2,3,3,3,2,2,3,3,3,4
221,2,1,4,2,2,2,2,3,2,4,4,4,2,3,3,3,3,4
222,2,2,3,3,3,2,3,4,3,4,2,2,3,2,3,3,4,3
223,4,4,5,5,4,4,1,2,2,2,4,3,3,2,3,2,3,4
224,2,3,3,3,3,3,4,2,2,2,3,2,1,2,4,3,4,3
225,3,3,4,4,4,4,1,1,2,2,1,1,3,2,2,3,2,3
226,2,2,2,2,3,2,3,3,3,3,4,3,4,3,3,4,2,3
227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,4,3,3,3
228,2,3,3,4,3,3,4,4,2,2,3,2,2,2,3,2,3,2
229,3,4,4,3,4,3,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA
230,3,3,4,3,3,4,3,2,4,2,3,4,4,4,4,4,3,3
231,2,2,2,2,3,4,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
232,3,3,4,3,4,4,3,3,3,3,4,4,3,3,4,5,3,4
233,3,4,4,4,3,4,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA
234,4,3,5,5,4,5,5,5,3,3,3,2,4,3,4,3,4,4
235,1,3,4,3,3,3,4,4,3,3,3,2,4,3,3,2,3,3
236,4,2,3,4,4,2,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA
237,3,3,5,3,3,3,2,2,2,2,2,2,3,2,2,4,3,4
238,3,3,3,3,2,3,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
239,3,4,4,5,3,4,3,3,3,4,3,2,2,2,2,3,2,3
240,4,4,5,4,4,3,5,5,4,5,4,4,4,4,4,4,4,5
241,1,2,4,2,3,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA
242,2,2,3,2,3,2,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA
243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,2,4,2
244,3,2,4,4,4,3,2,4,2,2,4,2,4,3,3,3,3,3
245,3,4,4,4,4,4,3,4,2,3,2,4,3,3,2,3,4,5
246,2,4,3,4,3,4,4,5,4,4,4,3,4,3,4,4,5,5
247,2,3,4,3,2,2,4,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA
248,2,2,4,3,3,3,4,3,4,3,2,3,3,3,2,3,2,3
249,2,1,1,1,2,2,2,2,3,3,1,1,2,1,1,3,1,3
250,4,3,4,4,4,4,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA
251,3,3,3,4,3,2,2,2,2,3,4,3,3,2,3,3,3,4
252,3,4,5,3,3,4,3,4,4,4,3,3,3,4,5,4,3,4
253,3,3,4,3,4,3,3,4,3,3,4,4,3,4,4,4,5,4
254,4,3,4,5,4,4,3,4,3,4,4,4,3,4,3,4,4,3
255,3,2,3,2,3,2,3,3,3,3,3,2,1,2,3,3,3,2
256,2,1,3,4,2,2,3,4,3,4,4,3,3,3,2,3,2,1
257,1,2,3,3,2,2,1,2,3,3,3,2,1,2,4,3,2,2
258,3,3,4,5,4,3,3,4,3,2,4,3,2,4,3,3,3,2
259,3,3,4,4,3,3,3,4,3,3,2,4,2,2,2,2,3,2
260,3,3,3,4,3,3,1,1,2,2,2,3,4,3,2,3,4,2
261,2,2,4,2,3,2,3,4,3,3,3,3,4,4,3,4,4,3
262,4,3,3,4,4,4,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA
263,3,2,4,2,3,3,2,3,1,2,2,2,3,2,3,3,3,3
264,3,3,4,5,3,2,2,3,3,2,3,3,1,3,2,2,3,3
265,4,3,3,3,3,3,3,4,4,3,3,2,3,3,3,4,4,4
266,3,2,3,3,2,3,4,3,4,4,2,3,2,2,4,3,2,4
267,4,3,4,3,4,2,5,4,4,3,4,3,5,5,4,5,4,5
268,3,2,2,3,3,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
269,2,2,4,3,2,3,3,3,3,1,2,2,4,4,3,3,4,4
270,3,1,4,2,3,4,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA
271,3,3,4,3,3,4,2,4,3,2,3,3,2,3,3,4,2,2
272,2,2,3,4,4,3,1,2,2,2,4,3,3,3,2,3,2,3
273,3,1,1,3,2,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA
274,3,1,4,3,3,2,3,4,3,3,3,3,3,3,4,4,3,4
275,3,2,4,4,3,3,3,3,2,3,2,3,3,3,3,2,2,3
276,3,2,3,2,2,1,4,3,3,2,4,2,3,3,1,2,2,3
277,3,3,3,2,3,2,2,3,2,3,2,3,2,3,2,3,2,3
278,3,2,3,3,3,4,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
279,4,3,4,4,4,3,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA
280,4,4,4,3,3,3,2,3,3,3,3,4,4,4,5,3,4,5
281,3,1,3,2,2,3,4,3,4,3,3,3,2,3,3,3,4,5
282,2,3,3,4,2,2,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA
283,2,3,4,3,3,2,3,2,2,2,3,3,3,2,3,3,3,4
284,2,2,3,2,2,2,3,3,2,3,3,3,3,3,3,2,3,3
285,2,2,3,2,4,2,3,3,3,3,3,2,3,3,3,4,3,5
286,3,2,3,4,3,4,3,4,4,3,4,5,5,4,4,4,4,3
287,3,2,3,4,3,2,3,3,3,2,3,2,2,3,1,1,2,2
288,3,3,3,3,3,2,2,4,4,4,3,3,2,4,4,3,3,1
289,4,3,3,3,3,3,2,1,2,3,3,1,2,2,3,3,2,3
290,3,4,4,4,4,3,3,3,4,3,5,4,2,4,2,2,3,3
291,3,4,5,3,3,4,4,4,4,3,4,3,5,4,4,4,4,4
292,2,4,2,3,3,2,2,3,3,2,3,2,2,3,3,3,2,3
293,2,1,2,4,3,2,3,3,3,3,2,2,1,2,2,2,3,2
294,4,3,4,4,3,3,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA
295,4,2,4,4,4,4,3,3,3,3,4,3,3,4,4,3,3,3
296,3,2,3,4,2,2,2,4,2,2,3,3,2,3,2,3,2,3
297,3,4,4,3,4,3,2,4,2,2,3,3,2,3,4,3,3,3
298,1,2,2,1,2,1,1,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA
299,2,2,2,3,2,3,3,4,2,2,3,3,4,2,3,4,4,3
300,3,3,3,3,3,2,4,2,2,2,2,1,2,2,2,2,3,3
301,4,5,5,5,4,2,3,3,3,3,4,3,2,2,4,3,4,4
302,3,3,3,2,3,2,3,4,2,3,3,4,3,4,2,3,3,4
303,4,5,4,5,4,3,4,3,5,4,4,3,3,2,3,3,5,3
304,2,3,4,3,3,2,2,3,2,3,3,3,2,3,2,3,2,2
305,2,3,3,3,3,3,2,2,2,2,3,2,3,2,4,3,2,3
306,1,1,2,2,1,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
307,5,4,5,5,4,4,4,3,3,3,3,3,3,3,4,4,4,3
308,2,3,4,2,3,4,1,3,3,3,4,3,4,3,3,4,4,3
309,4,4,5,5,4,5,3,3,3,2,2,4,3,3,3,5,3,3
310,4,4,4,5,4,3,4,3,3,2,3,3,2,2,3,3,4,4
311,4,2,5,5,5,4,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA
312,4,4,4,5,4,3,4,4,3,3,3,3,4,2,4,4,3,2
313,3,2,2,3,3,2,3,4,3,2,4,2,4,2,3,4,3,3
314,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,2,4,4
315,3,3,3,3,1,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,5,3,3,4
317,3,2,3,2,3,3,4,4,3,3,3,3,4,4,3,4,4,2
318,1,1,3,2,2,2,2,1,1,3,1,1,1,1,2,2,2,2
319,4,3,4,5,4,3,3,4,4,4,5,5,5,4,4,5,4,4
320,2,3,3,3,3,3,3,4,4,3,4,4,4,4,4,3,3,4
321,3,3,3,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3
322,5,4,4,3,4,5,2,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA
323,3,2,3,3,3,2,4,4,4,4,3,2,3,3,3,2,3,3
324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,4,4,3,3
325,4,3,4,3,3,4,2,3,3,4,3,3,2,2,3,3,3,3
326,4,3,5,4,3,3,5,5,4,4,3,4,3,4,4,4,4,3
327,2,1,4,4,3,3,3,3,3,2,3,2,3,3,2,2,3,4
328,4,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,4
329,2,2,2,3,2,3,3,1,3,3,3,2,4,4,4,3,4,3
330,3,4,4,3,4,3,3,4,4,3,4,2,2,2,2,2,2,3
331,4,4,4,4,3,4,2,2,4,4,4,3,3,3,3,4,2,4
332,3,4,5,4,3,3,3,3,2,4,4,4,5,5,3,4,4,3
333,3,3,5,3,3,3,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA
334,3,3,4,4,3,3,2,2,2,3,3,4,3,3,3,4,4,2
335,2,4,3,3,2,2,3,2,3,2,2,4,2,2,3,2,3,1
336,5,5,4,5,4,5,4,4,3,4,3,4,4,4,4,5,4,5
337,3,1,3,4,3,4,2,4,4,5,5,3,4,4,4,4,5,5
338,2,2,2,3,3,2,2,4,3,2,2,1,2,2,2,3,4,2
339,2,3,5,4,3,4,3,4,4,3,3,3,3,3,4,4,4,5
340,1,2,2,2,2,2,2,2,2,2,3,2,3,3,1,2,1,1
341,3,4,5,3,4,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA
342,2,1,3,4,3,1,3,3,3,3,2,2,1,2,1,3,2,3
343,4,2,4,4,3,3,3,3,3,3,3,4,3,3,2,3,4,3
344,2,3,4,3,3,3,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA
345,2,3,3,3,3,2,2,2,3,3,2,2,2,3,4,2,4,4
346,3,2,3,3,4,3,2,2,2,2,4,4,3,3,2,3,3,3
347,2,1,1,1,2,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA
