sub,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20
11,4.888439477,5.20394185,5.920100553,5.68406335,4.001098804,6.52709735,4.157615158,5.020058272,3.723254971,4.461350454,2.353243656,3.849162364,3.308118323,4.34189987,3.29523458,3.96791049,6.059540729,4.682204401,4.887653403,3.25254888
12,3.983211133,4.061199499,4.458573634,0.915099778,2.007815371,1.916417673,2.434143431,1.016579662,1.691628499,3.822465673,0.279233258,1.224428035,-0.866092457,2.829684005,3.546115227,2.956634074,2.334770118,2.141171027,1.96080774,2.268317733
13,5.013556258,7.013420495,6.372549981,3.649259228,5.28206972,4.906203454,6.206389395,6.486997724,6.098582169,3.833963211,4.606459189,5.191703663,5.652866805,5.79422483,5.849439432,2.872008668,4.366358976,5.78954797,6.411381263,4.589470513
14,6.46250293,5.586062994,4.059224788,2.99731162,4.485034415,6.647516731,4.609944153,3.811114482,4.03516578,4.436288961,4.297294973,5.759783871,4.739505272,7.423748665,6.550625498,4.847300774,5.050707498,4.014734731,4.599953649,7.333375737
15,3.410799443,3.682582911,6.870667901,4.433568516,5.304501626,6.374237594,1.518432175,5.561893316,4.281856429,3.605794855,2.313459122,5.439075718,5.372465363,4.45138317,2.901757549,5.534525594,5.068884046,5.768976294,3.276348868,3.448604446
16,1.434704899,3.572269101,4.315116844,4.364116486,5.035720141,4.16355325,5.245540466,5.76978295,3.532762878,5.450900474,1.644514415,4.917231714,3.994197978,3.091478513,4.5182896,4.528710657,5.14629213,5.602241229,3.46634953,6.183794073
17,3.640811519,4.716365227,6.080071087,4.783431378,4.707316166,4.477107699,4.504616736,4.509057511,4.173461145,3.584967363,5.372184843,3.761644999,5.709908825,4.960802982,5.052992585,3.834014142,3.31158629,3.765772249,3.816705743,5.723629758
18,5.242540236,2.809124491,4.771956474,3.407927066,3.799601945,1.853284278,4.535238767,2.817778477,5.49543116,2.373112041,6.138432049,3.911879008,5.978209986,5.143352546,3.042749049,5.292273062,3.632161716,4.732825424,4.70577846,5.253143812
19,6.624060382,5.012696089,6.14445174,6.080579668,6.493417254,7.870430891,5.167630403,6.216353414,5.795716688,5.185195213,6.777503311,5.926364328,6.200642917,6.957883886,6.36339194,4.096988733,6.701287904,8.759236134,5.748095872,5.348652308
20,6.06283407,5.501041793,5.818308593,6.808511684,4.797360055,4.049109226,7.122280633,5.673833674,7.285311166,5.329175126,6.540187717,6.611534894,4.489417688,4.881799395,6.719802089,8.254329367,5.000230309,7.159380473,8.178255139,4.977983933
21,5.33827404,5.560837425,4.349592181,4.942974088,5.854049174,4.358044479,4.850511432,5.181421186,6.862444554,5.474909551,5.640127836,5.800459143,6.412022741,5.683348978,5.350846107,5.361998358,5.38430253,3.953343106,4.862893408,4.733622465
22,3.415597017,5.042638696,2.773164513,3.67594967,3.365283453,4.301229743,4.747750604,3.475497826,4.109331439,4.100507509,4.746145457,3.599974934,3.661178272,3.555669378,2.901685095,3.358824558,3.868760665,3.839082594,2.900007147,5.362055961
23,4.015707197,4.049450412,5.037467353,2.388420027,4.468892639,5.673755067,4.56784282,5.416681645,6.955901295,5.996266277,3.624468045,4.42271792,6.521804561,4.573890323,5.526775042,4.686981555,4.613258723,5.76696406,4.781839441,4.689050617
24,5.417901911,6.380540032,6.805585028,5.685085563,6.418556664,4.250589944,6.083630341,5.00158852,5.675520635,5.732395219,4.692737783,6.305461567,5.424436365,5.862111287,6.143183297,3.786789545,5.187057989,6.770112999,4.026925775,2.922640461
25,5.180868479,5.715183858,7.724295314,4.671578626,5.614340614,4.973757583,6.737094578,5.841766383,4.450727525,4.599130874,4.28048797,4.713871489,6.606968615,6.361025739,5.640136314,6.281727907,6.246075474,5.8567206,7.442634718,5.695250838
26,5.146999741,5.502972222,5.203429011,6.665230455,6.325094275,1.824333761,3.560330237,2.752324852,5.152579619,5.025551845,3.834754752,3.551980737,6.73970525,0.898439339,7.37921771,2.690807995,6.021957432,5.725474935,7.014391973,7.750550634
27,6.263589567,4.851900378,6.473277496,6.385265383,6.80322671,5.455297978,4.967574663,5.282276031,4.60579806,5.854057464,3.392729829,5.592029658,4.175665316,6.07478908,5.053149342,5.806576483,5.24882159,5.004593178,4.90951868,4.922440365
28,6.528660347,5.391695468,5.903192184,6.32530081,4.611461488,4.170342545,3.804943289,4.147614849,4.438973169,5.107438073,5.938618283,4.867260665,5.122728586,4.208609149,4.477149908,3.937034421,3.058174494,3.849523915,3.158038137,5.480020338
29,1.881951367,5.124834615,4.832711425,4.983928081,5.008690951,4.139628143,5.426731701,4.25418406,3.86788624,4.18898406,3.611801858,3.480575852,3.521439274,4.18381512,4.41581622,6.430468974,5.349032315,2.806347001,4.862389065,4.038914373
30,5.237872475,4.825152831,5.43705178,4.113578355,6.202491407,4.713913891,4.381963589,3.019862973,6.784513582,6.4492295,4.584744955,5.750587613,6.00524097,5.688475498,4.301848183,4.064722068,3.353420389,4.860998069,5.560766252,3.863160807

