"ppt","rt","height"
221,691.3,176
222,467.8,164
223,561.1,168
224,649.7,165
225,559.4,158
226,567.3,173
227,419.4,166
228,495.7,177
229,500,166
230,560.7,181
231,378.1,174
232,497,176
233,367.9,168
234,527.6,168
235,559.7,182
236,715.9,167
237,410.6,171
238,431.1,160
239,427.9,181
240,680.2,177
241,636.6,166
242,499,178
243,424.1,177
244,608.8,173
245,429.6,176
246,511,166
247,816.7,169
248,431.4,173
249,453.4,169
250,405.5,159
251,561.2,164
252,575.8,172
253,566.9,183
254,507.4,173
255,886.9,171
256,459.9,176
257,399.7,167
258,587.8,183
259,419.9,174
260,443.6,167
261,545.5,175
262,460.7,163
263,444.9,174
264,609.3,170
265,476.2,177
266,567.3,161
267,557.4,158
268,421.3,170
269,489.8,172
270,429.5,172
271,389.5,156
272,509.8,167
273,589.4,166
274,601.8,159
275,634.9,174
276,547.1,156
277,651.5,172
278,675.6,180
279,372.7,168
280,516.5,170
281,418.2,163
282,453.1,167
283,703.2,166
284,526.5,168
285,765.4,184
286,601.8,171
287,513.3,173
288,545,173
289,490.6,163
290,531.8,158
291,516.3,168
292,518.1,168
293,418,173
294,489.1,173
295,776.2,177
296,302.3,176
297,517.5,180
298,560.4,181
299,522.4,165
300,698.4,182
301,478.1,172
302,700.7,164
303,567.6,165
304,559.7,162
305,504.1,154
306,567,166
307,742,176
308,434.6,172
309,486.4,171
310,485.6,167
311,566.7,170
312,619.6,171
313,420,173
314,459.1,172
315,444.5,177
316,395.9,179
317,624.5,168
318,684.8,167
319,562.3,171
320,613.5,169
321,664.1,168
322,558.8,165
323,432.5,157
324,672.4,173
325,583.4,171
326,469.6,167
327,671.9,162
328,473.6,177
329,593.6,156
330,504.7,175
331,586,177
332,607.2,166
333,408.3,160
334,637.8,171
335,412.3,155
336,551.8,187
337,469.7,161
338,451.4,170
339,459.1,172
340,367,165
341,720.1,176
342,729.8,170
343,443,174
344,717.5,173
345,470.9,175
346,637,170
347,386,166
348,504.8,168
349,521.1,162
350,555.7,166
351,402.8,175
352,456.5,163
353,439.4,164
354,561.1,158
355,459.5,163
356,478.1,163
357,363,169
358,699.2,175
359,456.6,177
360,435.5,164
361,381.9,172
362,522.4,157
363,410.2,172
364,439.6,170
365,454.8,172
366,530.3,177
367,533.1,160
368,643.6,176
369,561.7,178
370,671.2,172
371,683.5,172
372,430.1,165
373,520.2,162
374,867.5,172
375,633.9,177
376,385.2,175
377,469.9,162
378,559.1,159
379,393.7,163
380,577.5,167
381,734.7,176
382,355.7,167
383,423.6,175
384,413.4,169
385,736.8,169
386,401,166
387,534.3,179
388,456.7,161
389,453.7,166
390,404.7,174
391,597.6,166
392,494.7,170
393,401.7,162
394,617.7,162
395,488,170
396,532.5,156
397,584.4,173
398,491.6,184
399,681.2,164
400,465.9,174
401,411.1,164
402,438.1,172
403,468.9,165
404,371.9,170
405,538.6,157
406,450.7,169
407,642.5,173
408,726.1,165
409,458.3,168
410,424,161
411,606.1,183
412,409.8,175
413,393.7,172
414,403.1,170
415,527.7,172
416,400.7,185
417,462.8,164
418,593.9,163
419,548.9,153
420,553.5,181
421,450.3,171
422,619.4,173
423,378.7,173
424,503.1,155
425,393,177
426,542.3,166
427,463.4,167
428,420,182
429,437.6,160
430,436.4,160
431,560.4,162
432,389.6,164
433,389.5,174
434,466.5,163
435,701.5,170
436,529,169
437,403.3,165
438,686.5,154
439,574.9,170
440,440.2,160
441,390,160
442,546.6,190
443,709.8,169
444,675.1,181
445,380.9,167
446,545.1,175
447,465.1,178
448,545.1,178
449,433.2,170
450,512.5,166
451,429.9,175
452,608.1,172
453,477.5,169
454,421,171
455,573.1,159
456,653.7,165
457,697.5,175
458,515.8,181
459,549.1,175
460,601.1,174
461,429,163
462,593.1,161
463,434,174
464,847.6,183
465,362.7,172
466,567.8,170
467,475.3,177
468,854.4,161
469,423.1,167
470,448.9,168
471,717.4,175
472,437.3,168
473,414.7,171
474,599.6,171
475,755.1,167
476,596.7,178
477,730.2,171
478,415.9,185
479,507,169
480,508.6,170
481,518.2,163
482,405.5,165
483,399.9,167
484,377.4,176
485,530.9,175
486,464.4,172
487,359.8,173
488,601.2,161
489,475.6,169
490,492.7,167
491,805.3,161
492,597.5,160
493,436.5,173
494,441.3,168
495,413.2,175
496,937,171
497,526.8,165
498,724.6,164
499,401.2,182
500,567.4,170
