ID,z_test,z_age,intervention1,intervention2,type
ID443,-0.79,0.17,control,week4,state
ID444,-0.78,-2.16,cond1,week4,state
ID445,-0.57,-0.96,control,control,state
ID446,-0.79,0.16,cond1,control,private
ID447,-0.63,0.71,control,week2,state
ID448,-1.1,-1.52,cond1,week2,state
ID449,1.22,-0.07,control,week4,state
ID450,-0.28,0.39,cond1,week4,state
ID451,-2.76,0.09,control,control,private
ID452,-0.77,-1.08,cond1,control,state
ID453,-3.43,-0.55,control,week2,state
ID454,0.73,0.25,cond1,week2,state
ID455,-2,-1.69,control,week4,state
ID456,-1.15,-0.25,cond1,week4,private
ID457,0.3,-0.16,control,control,private
ID458,1.74,1.47,cond1,control,state
ID459,-1.74,-1.25,control,week2,state
ID460,0,0.64,cond1,week2,state
ID461,-0.52,-2.15,control,week4,state
ID462,1.5,-0.09,cond1,week4,state
ID463,-1.12,0.32,control,control,private
ID464,0.54,0.64,cond1,control,private
ID465,-1.66,0.74,control,week2,state
ID466,-1.17,0.34,cond1,week2,private
ID467,1.4,0.27,control,week4,private
ID468,0.06,1.54,cond1,week4,state
ID469,-0.04,-0.24,control,control,state
ID470,1.05,1.04,cond1,control,state
ID471,-0.71,-1.15,control,week2,state
ID472,-0.75,0.94,cond1,week2,state
ID473,1.98,0.22,control,week4,state
ID474,-0.28,0.53,cond1,week4,state
ID475,-0.5,-0.13,control,control,state
ID476,1.31,-0.88,cond1,control,state
ID477,-0.48,0.38,control,week2,state
ID478,1.71,1.84,cond1,week2,private
ID479,-0.11,1.7,control,week4,state
ID480,0.03,0.27,cond1,week4,private
ID481,0.51,-0.14,control,control,private
ID482,-0.41,-1.46,cond1,control,state
ID483,-1.73,-0.82,control,week2,state
ID484,0.37,-0.42,cond1,week2,state
ID485,1.34,1.01,control,week4,private
ID486,1.68,1.05,cond1,week4,state
ID487,-4.09,-0.77,control,control,state
ID488,1.61,1.92,cond1,control,state
ID489,-0.37,0.3,control,week2,state
ID490,-0.09,-1.6,cond1,week2,state
ID491,-0.92,0.97,control,week4,private
ID492,1.06,0.85,cond1,week4,private
ID493,-1.59,-1.07,control,control,state
ID494,1.62,0.39,cond1,control,private
ID495,0.81,0.32,control,week2,state
ID496,-0.27,1.36,cond1,week2,state
ID497,0.13,-0.98,control,week4,state
ID498,0.95,0.2,cond1,week4,state
ID499,-0.68,0.39,control,control,state
ID500,3.79,0.59,cond1,control,private
ID501,-0.54,-1.17,control,week2,state
ID502,1.14,1.2,cond1,week2,state
ID503,1.97,-0.28,control,week4,state
ID504,-0.29,0.71,cond1,week4,state
ID505,0.31,0.61,control,control,state
ID506,-0.04,0.3,cond1,control,state
ID507,1.07,1.07,control,week2,state
ID508,0.25,-1.14,cond1,week2,state
ID509,0.46,0.91,control,week4,private
ID510,1.37,0.36,cond1,week4,state
ID511,0.37,-0.57,control,control,state
ID512,0.79,1.3,cond1,control,state
ID513,-0.78,0.17,control,week2,state
ID514,0.95,-0.83,cond1,week2,state
ID515,0.11,-0.31,control,week4,state
ID516,1.47,1.13,cond1,week4,state
ID517,-1.67,-0.45,control,control,state
ID518,1.51,0.18,cond1,control,state
ID519,0.19,1.38,control,week2,state
ID520,1.64,1.08,cond1,week2,state
ID521,1.74,0.06,control,week4,state
ID522,0.35,0.01,cond1,week4,private
ID523,-2.33,-0.06,control,control,state
ID524,-0.58,-0.61,cond1,control,state
ID525,0.8,-0.31,control,week2,state
ID526,-0.21,-0.82,cond1,week2,state
ID527,1.03,0.94,control,week4,state
ID528,0.63,0.75,cond1,week4,state
ID529,-0.41,0.7,control,control,state
ID530,0.65,-0.42,cond1,control,private
ID531,-1.93,-1.15,control,week2,state
ID532,-2.2,-0.32,cond1,week2,private
ID533,0.2,-0.19,control,week4,private
ID534,-2.13,0.09,cond1,week4,state
ID535,0.29,0.51,control,control,state
ID536,0.85,0.24,cond1,control,state
ID537,-1.56,0.82,control,week2,state
ID538,0.54,-1.12,cond1,week2,state
ID539,-1.24,-0.93,control,week4,private
ID540,-0.09,0.62,cond1,week4,private
ID541,-2.18,0.22,control,control,state
ID542,0.38,0.95,cond1,control,private
ID543,-2.55,-1.14,control,week2,state
ID544,0.85,0.78,cond1,week2,state
ID545,2.2,1.37,control,week4,state
ID546,0.25,0.55,cond1,week4,state
ID547,-1.44,1.76,control,control,state
ID548,-0.42,-0.8,cond1,control,state
ID549,-1,0.09,control,week2,state
ID550,-0.39,-0.12,cond1,week2,private
ID551,0.58,-1.76,control,week4,state
ID552,-1.21,0.14,cond1,week4,state
ID553,-1.85,-0.75,control,control,state
ID554,-0.76,0.28,cond1,control,state
ID555,-0.49,0.3,control,week2,state
ID556,1.6,0.13,cond1,week2,private
ID557,-2.09,-1.29,control,week4,state
ID558,-0.06,1.13,cond1,week4,state
ID559,-1.04,-1.39,control,control,private
ID560,0.01,-0.5,cond1,control,private
ID561,-0.34,0.78,control,week2,state
ID562,-0.24,-0.6,cond1,week2,state
ID563,0.93,-0.27,control,week4,state
ID564,0.62,0.07,cond1,week4,private
ID565,-2.5,-0.98,control,control,state
ID566,-0.44,-0.12,cond1,control,state
ID567,-1.1,1.9,control,week2,state
ID568,0.6,1.25,cond1,week2,state
ID569,0.93,1.13,control,week4,state
ID570,0.85,1.22,cond1,week4,state
ID571,-2.01,0.36,control,control,private
ID572,-0.22,0.43,cond1,control,state
ID573,-2.53,-0.64,control,week2,state
ID574,0.88,0.68,cond1,week2,state
ID575,0.75,0.45,control,week4,state
ID576,-0.04,0.31,cond1,week4,state
ID577,-0.44,0.2,control,control,private
ID578,-0.89,-0.12,cond1,control,state
ID579,1.03,1.71,control,week2,state
ID580,-0.86,0.38,cond1,week2,state
ID581,0.84,0.95,control,week4,state
ID582,-0.35,0.15,cond1,week4,private
ID583,-1.45,0.11,control,control,state
ID584,1.37,2.07,cond1,control,private
ID585,-0.97,-2.91,control,week2,state
ID586,-1.4,0.39,cond1,week2,private
ID587,0.6,1.04,control,week4,private
ID588,-0.47,-1.46,cond1,week4,private
ID589,0.21,1.81,control,control,private
ID590,0.34,0.67,cond1,control,state
ID591,-0.75,0.45,control,week2,private
ID592,1.14,0.24,cond1,week2,state
ID593,-0.7,-1.04,control,week4,private
ID594,1.36,1.25,cond1,week4,state
ID595,0.28,-0.26,control,control,state
ID596,1.6,-1.11,cond1,control,state
ID597,0.64,1.72,control,week2,private
ID598,0.78,-0.63,cond1,week2,state
ID599,0.85,1.87,control,week4,private
ID600,-1.53,-0.32,cond1,week4,state
