pid,Attendance,Conscientiousness,Time,OnlineAccess,Year
272,44,Low,3PM,Sometimes,PhD
273,38,Moderate,2PM,Rarely,Y4
274,39,Moderate,1PM,Rarely,MSc
275,37,Moderate,11AM,Sometimes,Y1
276,39,Moderate,4PM,Rarely,Y3
277,37,Moderate,1PM,Sometimes,Y2
278,42,Moderate,10AM,Often,Y4
279,44,Moderate,9AM,Often,MSc
280,36,Moderate,2PM,Often,Y1
281,44,Moderate,4PM,Sometimes,PhD
282,40,Moderate,1PM,Rarely,Y1
283,41,Moderate,11AM,Sometimes,Y1
284,44,Moderate,2PM,Rarely,MSc
285,41,Moderate,2PM,Sometimes,PhD
286,42,Moderate,2PM,Sometimes,Y2
287,38,Moderate,10AM,Rarely,PhD
288,40,Moderate,10AM,Sometimes,Y3
289,40,Moderate,2PM,Often,Y2
290,43,Moderate,1PM,Often,Y2
291,42,Moderate,3PM,Often,Y2
292,38,Moderate,4PM,Often,Y3
293,37,Moderate,4PM,Sometimes,Y4
294,42,High,2PM,Sometimes,Y2
295,45,High,11AM,Often,MSc
296,44,High,11AM,Sometimes,Y2
297,40,High,1PM,Sometimes,Y1
298,41,Moderate,2PM,Often,Y4
299,40,Moderate,10AM,Sometimes,Y2
300,41,High,4PM,Sometimes,Y1
301,44,Moderate,4PM,Sometimes,PhD
302,44,High,1PM,Sometimes,PhD
303,40,High,4PM,Sometimes,Y2
304,40,High,12PM,Sometimes,Y1
305,43,High,1PM,Rarely,Y1
306,39,High,12PM,Sometimes,Y2
307,36,High,2PM,Often,Y3
308,41,High,1PM,Sometimes,PhD
309,45,High,12PM,Sometimes,Y4
310,41,High,3PM,Sometimes,Y1
311,43,High,10AM,Rarely,Y2
312,43,High,4PM,Sometimes,Y4
313,40,High,4PM,Sometimes,Y4
314,42,High,1PM,Often,Y2
315,39,High,11AM,Often,MSc
316,44,High,3PM,Often,Y1
317,36,High,4PM,Rarely,Y4
318,36,Moderate,1PM,Sometimes,Y2
319,44,High,4PM,Sometimes,Y2
320,43,High,3PM,Often,Y3
321,39,High,10AM,Often,Y2
322,44,High,4PM,Sometimes,Y3
323,36,Moderate,3PM,Often,Y1
324,41,High,10AM,Sometimes,Y3
325,43,High,1PM,Often,Y3
326,40,High,1PM,Often,Y3
327,44,High,3PM,Often,Y4
328,38,High,1PM,Sometimes,Y3
329,43,High,1PM,Often,Y1
330,39,High,3PM,Often,MSc
331,39,High,4PM,Sometimes,MSc
332,41,High,4PM,Often,Y2
333,37,High,2PM,Often,MSc
334,41,High,10AM,Rarely,Y2
335,43,High,2PM,Sometimes,Y1
336,39,High,12PM,Sometimes,PhD
337,45,High,11AM,Often,PhD
338,41,High,11AM,Sometimes,Y2
339,38,High,3PM,Sometimes,Y2
340,36,High,9AM,Often,Y4
341,43,High,2PM,Sometimes,MSc
342,39,High,2PM,Sometimes,Y2
343,41,High,2PM,Rarely,MSc
344,40,High,4PM,Sometimes,Y3
345,41,High,12PM,Sometimes,MSc
346,43,High,2PM,Sometimes,Y4
347,37,High,2PM,Often,Y4
348,42,High,4PM,Often,Y1
349,38,High,3PM,Often,MSc
350,40,High,12PM,Rarely,Y3
351,36,High,12PM,Often,Y4
352,55,Moderate,12PM,Sometimes,Y4
353,53,Moderate,1PM,Sometimes,Y4
354,48,Low,12PM,Often,Y4
355,54,Low,3PM,Often,PhD
356,53,Moderate,1PM,Sometimes,MSc
357,46,Moderate,12PM,Sometimes,Y4
358,48,Low,12PM,Often,Y4
359,50,High,3PM,Sometimes,MSc
360,46,Low,3PM,Rarely,Y3
361,53,Low,2PM,Sometimes,Y2
362,51,Moderate,3PM,Often,Y2
363,46,High,2PM,Often,Y2
364,49,High,9AM,Rarely,MSc
365,50,Low,11AM,Sometimes,PhD
366,46,High,3PM,Often,MSc
367,55,Moderate,12PM,Sometimes,Y2
368,54,Low,4PM,Sometimes,Y2
369,52,Moderate,11AM,Sometimes,Y2
370,46,Moderate,12PM,Sometimes,Y4
371,49,High,1PM,Often,Y1
372,51,High,1PM,Sometimes,MSc
373,46,High,1PM,Sometimes,Y3
374,46,Moderate,1PM,Sometimes,Y3
375,47,High,1PM,Sometimes,Y2
376,53,High,3PM,Often,Y2
377,52,High,11AM,Rarely,Y4
378,47,High,10AM,Sometimes,PhD
379,51,High,10AM,Often,PhD
380,50,High,10AM,Often,Y2
381,52,High,3PM,Sometimes,Y2
382,46,High,3PM,Often,MSc
383,46,High,12PM,Sometimes,MSc
384,46,High,3PM,Sometimes,Y3
385,46,High,11AM,Sometimes,Y2
386,46,High,11AM,Sometimes,Y3
387,50,High,10AM,Often,Y2
388,54,High,12PM,Often,MSc
389,52,High,3PM,Often,Y2
390,50,High,12PM,Sometimes,Y3
391,25,Moderate,1PM,Rarely,Y3
390,0,Low,2PM,Sometimes,Y2
391,2,Low,11AM,Rarely,Y1
392,60,High,10AM,Often,Y4
393,0,Moderate,12PM,Often,Y3
394,60,Moderate,1PM,Sometimes,Y2
395,60,Moderate,2PM,Often,PhD
