stakes,condition,sub,throw,trial_no
14,money,7,1,trial_2
9,money,7,1,trial_3
10,money,7,1,trial_4
15,money,7,0,trial_5
8,money,7,1,trial_6
2,money,7,1,trial_7
17,money,7,1,trial_8
6,money,7,1,trial_9
4,money,7,1,trial_10
3,money,7,1,trial_11
19,money,7,1,trial_12
1,money,7,1,trial_13
20,money,7,0,trial_14
7,money,7,1,trial_15
13,money,7,1,trial_16
12,money,7,1,trial_17
11,money,7,0,trial_18
16,money,7,1,trial_19
18,money,7,1,trial_20
8,money,8,1,trial_1
12,money,8,1,trial_2
10,money,8,1,trial_3
16,money,8,1,trial_4
1,money,8,1,trial_5
17,money,8,1,trial_6
9,money,8,1,trial_7
11,money,8,1,trial_8
7,money,8,1,trial_9
13,money,8,1,trial_10
20,money,8,1,trial_11
5,money,8,1,trial_12
2,money,8,1,trial_13
19,money,8,0,trial_14
18,money,8,1,trial_15
4,money,8,1,trial_16
15,money,8,1,trial_17
6,money,8,1,trial_18
3,money,8,1,trial_19
14,money,8,0,trial_20
19,money,9,0,trial_1
9,money,9,1,trial_2
1,money,9,1,trial_3
12,money,9,1,trial_4
14,money,9,1,trial_5
7,money,9,1,trial_6
3,money,9,1,trial_7
13,money,9,1,trial_8
16,money,9,1,trial_9
5,money,9,0,trial_10
20,money,9,1,trial_11
2,money,9,0,trial_12
11,money,9,1,trial_13
4,money,9,1,trial_14
17,money,9,1,trial_15
8,money,9,1,trial_16
6,money,9,1,trial_17
15,money,9,1,trial_18
10,money,9,0,trial_19
18,money,9,0,trial_20
7,money,10,1,trial_1
11,money,10,1,trial_2
10,money,10,1,trial_3
6,money,10,1,trial_4
13,money,10,0,trial_5
2,money,10,1,trial_6
20,money,10,1,trial_7
12,money,10,1,trial_8
19,money,10,0,trial_9
3,money,10,1,trial_10
4,money,10,1,trial_11
18,money,10,1,trial_12
17,money,10,1,trial_13
16,money,10,1,trial_14
14,money,10,1,trial_15
9,money,10,1,trial_16
8,money,10,1,trial_17
15,money,10,1,trial_18
1,money,10,1,trial_19
5,money,10,1,trial_20
13,money,11,1,trial_1
8,money,11,1,trial_2
10,money,11,1,trial_3
7,money,11,1,trial_4
9,money,11,1,trial_5
15,money,11,1,trial_6
16,money,11,1,trial_7
5,money,11,1,trial_8
6,money,11,0,trial_9
2,money,11,0,trial_10
20,money,11,0,trial_11
18,money,11,1,trial_12
17,money,11,0,trial_13
1,money,11,1,trial_14
19,money,11,0,trial_15
12,money,11,0,trial_16
4,money,11,1,trial_17
3,money,11,0,trial_18
11,money,11,1,trial_19
14,money,11,0,trial_20
8,money,12,1,trial_1
13,money,12,1,trial_2
2,money,12,1,trial_3
12,money,12,0,trial_4
17,money,12,1,trial_5
15,money,12,1,trial_6
11,money,12,1,trial_7
14,money,12,1,trial_8
20,money,12,1,trial_9
4,money,12,1,trial_10
18,money,12,1,trial_11
19,money,12,1,trial_12
9,money,12,0,trial_13
16,money,12,1,trial_14
3,money,12,1,trial_15
7,money,12,1,trial_16
1,money,12,0,trial_17
5,money,12,1,trial_18
6,money,12,1,trial_19
10,money,12,1,trial_20
15,money,13,1,trial_1
3,money,13,0,trial_2
7,money,13,1,trial_3
19,money,13,0,trial_4
5,money,13,0,trial_5
1,money,13,1,trial_6
10,money,13,1,trial_7
4,money,13,0,trial_8
6,money,13,1,trial_9
20,money,13,0,trial_10
13,money,13,1,trial_11
18,money,13,1,trial_12
11,money,13,1,trial_13
14,money,13,1,trial_14
8,money,13,1,trial_15
17,money,13,1,trial_16
12,money,13,0,trial_17
9,money,13,1,trial_18
2,money,13,1,trial_19
16,money,13,1,trial_20
19,money,14,0,trial_1
10,money,14,1,trial_2
6,money,14,1,trial_3
3,money,14,1,trial_4
1,money,14,1,trial_5
16,money,14,0,trial_6
5,money,14,1,trial_7
7,money,14,1,trial_8
11,money,14,1,trial_9
2,money,14,0,trial_10
18,money,14,0,trial_11
14,money,14,1,trial_12
4,money,14,1,trial_13
20,money,14,1,trial_14
15,money,14,1,trial_15
17,money,14,1,trial_16
12,money,14,1,trial_17
9,money,14,1,trial_18
13,money,14,1,trial_19
8,money,14,1,trial_20
14,money,15,1,trial_1
19,money,15,1,trial_2
2,money,15,1,trial_3
8,money,15,1,trial_4
18,money,15,1,trial_5
1,money,15,1,trial_6
20,money,15,0,trial_7
5,money,15,1,trial_8
15,money,15,1,trial_9
4,money,15,0,trial_10
16,money,15,1,trial_11
9,money,15,1,trial_12
3,money,15,1,trial_13
6,money,15,0,trial_14
11,money,15,1,trial_15
10,money,15,1,trial_16
13,money,15,1,trial_17
7,money,15,1,trial_18
12,money,15,1,trial_19
17,money,15,1,trial_20
19,kudos,16,0,trial_1
15,kudos,16,1,trial_2
12,kudos,16,1,trial_3
6,kudos,16,1,trial_4
1,kudos,16,0,trial_5
7,kudos,16,1,trial_6
2,kudos,16,1,trial_7
8,kudos,16,1,trial_8
11,kudos,16,0,trial_9
13,kudos,16,1,trial_10
18,kudos,16,1,trial_11
10,kudos,16,1,trial_12
17,kudos,16,1,trial_13
16,kudos,16,0,trial_14
3,kudos,16,0,trial_15
14,kudos,16,1,trial_16
5,kudos,16,1,trial_17
4,kudos,16,1,trial_18
20,kudos,16,1,trial_19
9,kudos,16,1,trial_20
7,kudos,17,1,trial_1
12,kudos,17,1,trial_2
18,kudos,17,1,trial_3
9,kudos,17,1,trial_4
11,kudos,17,1,trial_5
16,kudos,17,0,trial_6
13,kudos,17,1,trial_7
17,kudos,17,0,trial_8
6,kudos,17,1,trial_9
10,kudos,17,1,trial_10
14,kudos,17,0,trial_11
20,kudos,17,1,trial_12
5,kudos,17,1,trial_13
4,kudos,17,0,trial_14
2,kudos,17,0,trial_15
3,kudos,17,1,trial_16
15,kudos,17,0,trial_17
8,kudos,17,1,trial_18
19,kudos,17,1,trial_19
1,kudos,17,1,trial_20
10,kudos,18,1,trial_1
20,kudos,18,1,trial_2
3,kudos,18,1,trial_3
17,kudos,18,1,trial_4
6,kudos,18,0,trial_5
15,kudos,18,1,trial_6
7,kudos,18,1,trial_7
18,kudos,18,1,trial_8
8,kudos,18,1,trial_9
14,kudos,18,1,trial_10
12,kudos,18,1,trial_11
4,kudos,18,1,trial_12
5,kudos,18,1,trial_13
1,kudos,18,1,trial_14
9,kudos,18,0,trial_15
13,kudos,18,1,trial_16
19,kudos,18,0,trial_17
11,kudos,18,1,trial_18
2,kudos,18,1,trial_19
16,kudos,18,1,trial_20
10,kudos,19,0,trial_1
4,kudos,19,1,trial_2
12,kudos,19,1,trial_3
13,kudos,19,1,trial_4
15,kudos,19,1,trial_5
16,kudos,19,1,trial_6
17,kudos,19,1,trial_7
3,kudos,19,1,trial_8
19,kudos,19,1,trial_9
6,kudos,19,1,trial_10
18,kudos,19,1,trial_11
7,kudos,19,0,trial_12
20,kudos,19,1,trial_13
1,kudos,19,0,trial_14
14,kudos,19,1,trial_15
9,kudos,19,1,trial_16
8,kudos,19,1,trial_17
11,kudos,19,1,trial_18
5,kudos,19,1,trial_19
2,kudos,19,1,trial_20
16,kudos,20,1,trial_1
15,kudos,20,0,trial_2
1,kudos,20,1,trial_3
4,kudos,20,1,trial_4
9,kudos,20,0,trial_5
19,kudos,20,1,trial_6
7,kudos,20,1,trial_7
12,kudos,20,1,trial_8
14,kudos,20,1,trial_9
13,kudos,20,0,trial_10
10,kudos,20,1,trial_11
6,kudos,20,1,trial_12
17,kudos,20,0,trial_13
20,kudos,20,1,trial_14
8,kudos,20,0,trial_15
5,kudos,20,1,trial_16
18,kudos,20,0,trial_17
2,kudos,20,1,trial_18
3,kudos,20,1,trial_19
11,kudos,20,1,trial_20
11,kudos,21,0,trial_1
18,kudos,21,1,trial_2
3,kudos,21,1,trial_3
17,kudos,21,1,trial_4
4,kudos,21,1,trial_5
10,kudos,21,0,trial_6
13,kudos,21,1,trial_7
9,kudos,21,1,trial_8
1,kudos,21,0,trial_9
8,kudos,21,1,trial_10
16,kudos,21,1,trial_11
5,kudos,21,0,trial_12
20,kudos,21,1,trial_13
15,kudos,21,1,trial_14
7,kudos,21,1,trial_15
12,kudos,21,1,trial_16
2,kudos,21,1,trial_17
14,kudos,21,0,trial_18
6,kudos,21,0,trial_19
19,kudos,21,1,trial_20
14,kudos,22,1,trial_1
12,kudos,22,1,trial_2
17,kudos,22,1,trial_3
5,kudos,22,1,trial_4
11,kudos,22,1,trial_5
4,kudos,22,1,trial_6
13,kudos,22,1,trial_7
15,kudos,22,0,trial_8
2,kudos,22,0,trial_9
18,kudos,22,1,trial_10
7,kudos,22,1,trial_11
6,kudos,22,1,trial_12
10,kudos,22,1,trial_13
3,kudos,22,1,trial_14
1,kudos,22,1,trial_15
8,kudos,22,0,trial_16
20,kudos,22,1,trial_17
9,kudos,22,1,trial_18
16,kudos,22,1,trial_19
19,kudos,22,1,trial_20
7,kudos,23,1,trial_1
9,kudos,23,1,trial_2
3,kudos,23,1,trial_3
2,kudos,23,1,trial_4
8,kudos,23,1,trial_5
5,kudos,23,1,trial_6
15,kudos,23,1,trial_7
6,kudos,23,1,trial_8
19,kudos,23,1,trial_9
14,kudos,23,1,trial_10
1,kudos,23,1,trial_11
18,kudos,23,0,trial_12
17,kudos,23,1,trial_13
11,kudos,23,0,trial_14
13,kudos,23,1,trial_15
12,kudos,23,0,trial_16
20,kudos,23,1,trial_17
4,kudos,23,1,trial_18
16,kudos,23,1,trial_19
10,kudos,23,0,trial_20
6,kudos,24,1,trial_1
15,kudos,24,1,trial_2
16,kudos,24,1,trial_3
8,kudos,24,1,trial_4
10,kudos,24,1,trial_5
17,kudos,24,1,trial_6
12,kudos,24,1,trial_7
20,kudos,24,1,trial_8
7,kudos,24,1,trial_9
13,kudos,24,1,trial_10
11,kudos,24,1,trial_11
18,kudos,24,1,trial_12
1,kudos,24,0,trial_13
4,kudos,24,1,trial_14
3,kudos,24,1,trial_15
14,kudos,24,0,trial_16
5,kudos,24,1,trial_17
2,kudos,24,1,trial_18
9,kudos,24,1,trial_19
19,kudos,24,1,trial_20
1,kudos,25,1,trial_1
11,kudos,25,1,trial_2
10,kudos,25,1,trial_3
20,kudos,25,1,trial_4
5,kudos,25,1,trial_5
9,kudos,25,1,trial_6
18,kudos,25,1,trial_7
17,kudos,25,0,trial_8
3,kudos,25,1,trial_9
13,kudos,25,0,trial_10
19,kudos,25,0,trial_11
2,kudos,25,1,trial_12
14,kudos,25,1,trial_13
8,kudos,25,1,trial_14
12,kudos,25,1,trial_15
16,kudos,25,1,trial_16
7,kudos,25,1,trial_17
15,kudos,25,0,trial_18
6,kudos,25,0,trial_19
4,kudos,25,1,trial_20
12,kudos,26,0,trial_1
8,kudos,26,1,trial_2
9,kudos,26,1,trial_3
11,kudos,26,1,trial_4
14,kudos,26,1,trial_5
4,kudos,26,1,trial_6
10,kudos,26,0,trial_7
3,kudos,26,1,trial_8
13,kudos,26,0,trial_9
7,kudos,26,1,trial_10
6,kudos,26,1,trial_11
5,kudos,26,1,trial_12
20,kudos,26,1,trial_13
2,kudos,26,0,trial_14
18,kudos,26,1,trial_15
1,kudos,26,0,trial_16
19,kudos,26,0,trial_17
15,kudos,26,1,trial_18
17,kudos,26,1,trial_19
16,kudos,26,1,trial_20
12,kudos,27,1,trial_1
1,kudos,27,0,trial_2
7,kudos,27,1,trial_3
2,kudos,27,0,trial_4
9,kudos,27,1,trial_5
8,kudos,27,1,trial_6
19,kudos,27,1,trial_7
10,kudos,27,1,trial_8
20,kudos,27,0,trial_9
18,kudos,27,1,trial_10
16,kudos,27,0,trial_11
15,kudos,27,1,trial_12
3,kudos,27,0,trial_13
5,kudos,27,1,trial_14
4,kudos,27,1,trial_15
13,kudos,27,1,trial_16
6,kudos,27,0,trial_17
11,kudos,27,1,trial_18
14,kudos,27,1,trial_19
17,kudos,27,1,trial_20
17,kudos,28,1,trial_1
4,kudos,28,1,trial_2
11,kudos,28,1,trial_3
15,kudos,28,1,trial_4
2,kudos,28,1,trial_5
13,kudos,28,1,trial_6
6,kudos,28,1,trial_7
8,kudos,28,1,trial_8
16,kudos,28,1,trial_9
20,kudos,28,1,trial_10
18,kudos,28,1,trial_11
7,kudos,28,1,trial_12
12,kudos,28,1,trial_13
5,kudos,28,1,trial_14
9,kudos,28,1,trial_15
19,kudos,28,0,trial_16
1,kudos,28,1,trial_17
3,kudos,28,1,trial_18
10,kudos,28,1,trial_19
14,kudos,28,1,trial_20
14,kudos,29,1,trial_1
12,kudos,29,1,trial_2
17,kudos,29,1,trial_3
1,kudos,29,0,trial_4
4,kudos,29,1,trial_5
15,kudos,29,0,trial_6
7,kudos,29,1,trial_7
13,kudos,29,1,trial_8
8,kudos,29,1,trial_9
11,kudos,29,1,trial_10
16,kudos,29,0,trial_11
19,kudos,29,0,trial_12
3,kudos,29,1,trial_13
20,kudos,29,1,trial_14
5,kudos,29,1,trial_15
10,kudos,29,1,trial_16
9,kudos,29,1,trial_17
18,kudos,29,1,trial_18
6,kudos,29,1,trial_19
2,kudos,29,0,trial_20
6,kudos,30,1,trial_1
19,kudos,30,1,trial_2
1,kudos,30,1,trial_3
10,kudos,30,1,trial_4
15,kudos,30,1,trial_5
2,kudos,30,1,trial_6
11,kudos,30,0,trial_7
7,kudos,30,1,trial_8
14,kudos,30,1,trial_9
17,kudos,30,1,trial_10
16,kudos,30,0,trial_11
3,kudos,30,1,trial_12
18,kudos,30,1,trial_13
20,kudos,30,1,trial_14
5,kudos,30,1,trial_15
4,kudos,30,1,trial_16
9,kudos,30,0,trial_17
8,kudos,30,1,trial_18
13,kudos,30,1,trial_19
12,kudos,30,1,trial_20
